House of Representatives - 1998 Election: Northern Territory																																					
First Preference Votes and TCP																																					
By Candidate by Polling Place 																																					



Northern Territory (105048)																																					

		SEILER			NATTRASS			DONDAS			ZIRNGAST			ELDRIDGE			SCHIRMER			# SNOWDON			FORMAL			INFORMAL			TOTAL								
Karama	                                      	191	5.26	  	26	0.72	  	1414	38.96	  	18	0.5	  	91	2.51	  	301	8.29	  	1588	43.76	  	3629	96.01	  	151	3.99	  	3780	3.98	  	1732	47.73	  	1897	52.27	  
Katherine	                                   	64	3.68	  	14	0.81	  	874	50.26	  	13	0.75	  	47	2.7	  	193	11.1	  	534	30.71	  	1739	96.29	  	67	3.71	  	1806	1.9	  	1083	62.28	  	656	37.72	  
Katherine East	                              	51	4.41	  	7	0.61	  	554	47.88	  	8	0.69	  	31	2.68	  	133	11.5	  	373	32.24	  	1157	97.47	  	30	2.53	  	1187	1.25	  	697	60.24	  	460	39.76	  
Larapinta	                                   	75	5.58	  	9	0.67	  	702	52.19	  	5	0.37	  	32	2.38	  	100	7.43	  	422	31.38	  	1345	97.82	  	30	2.18	  	1375	1.45	  	830	61.71	  	515	38.29	  
Larrakeyah	                                  	53	3.69	  	13	0.9	  	868	60.36	  	11	0.76	  	50	3.48	  	95	6.61	  	348	24.2	  	1438	96.38	  	54	3.62	  	1492	1.57	  	990	68.85	  	448	31.15	  
Leanyer	                                     	119	5.46	  	14	0.64	  	1035	47.5	  	20	0.92	  	56	2.57	  	145	6.65	  	790	36.26	  	2179	97.06	  	66	2.94	  	2245	2.37	  	1229	56.4	  	950	43.6	  
Ludmilla	                                    	88	4.82	  	36	1.97	  	780	42.72	  	6	0.33	  	97	5.31	  	153	8.38	  	666	36.47	  	1826	95.01	  	96	4.99	  	1922	2.03	  	963	52.74	  	863	47.26	  
Moulden	                                     	27	3.64	  	15	2.02	  	283	38.19	  	5	0.67	  	14	1.89	  	81	10.93	  	316	42.65	  	741	96.48	  	27	3.52	  	768	0.81	  	362	48.85	  	379	51.15	  
Nakara	                                      	130	5.34	  	24	0.99	  	1035	42.54	  	30	1.23	  	61	2.51	  	145	5.96	  	1008	41.43	  	2433	96.43	  	90	3.57	  	2523	2.66	  	1246	51.21	  	1187	48.79	  
Nhulunbuy	                                   	72	4.43	  	11	0.68	  	716	44.06	  	9	0.55	  	47	2.89	  	141	8.68	  	629	38.71	  	1625	95.36	  	79	4.64	  	1704	1.8	  	855	52.62	  	770	47.38	  
Nightcliff	                                  	233	6.37	  	28	0.77	  	1521	41.58	  	25	0.68	  	197	5.39	  	256	7	  	1398	38.22	  	3658	96.29	  	141	3.71	  	3799	4	  	1847	50.49	  	1811	49.51	  
Parap	                                       	137	4.76	  	30	1.04	  	1317	45.79	  	39	1.36	  	134	4.66	  	163	5.67	  	1056	36.72	  	2876	95.71	  	129	4.29	  	3005	3.17	  	1522	52.92	  	1354	47.08	  
Pine Creek	                                  	4	2.15	  	1	0.54	  	80	43.01	  	1	0.54	  	1	0.54	  	38	20.43	  	61	32.8	  	186	96.37	  	7	3.63	  	193	0.2	  	104	55.91	  	82	44.09	  
Rapid Creek	                                 	95	5.42	  	17	0.97	  	583	33.26	  	13	0.74	  	74	4.22	  	132	7.53	  	839	47.86	  	1753	96.11	  	71	3.89	  	1824	1.92	  	754	43.01	  	999	56.99	  
Sadadeen	                                    	148	6.58	  	28	1.24	  	1017	45.2	  	15	0.67	  	69	3.07	  	192	8.53	  	781	34.71	  	2250	97.28	  	63	2.72	  	2313	2.44	  	1249	55.51	  	1001	44.49	  
Stuart Park	                                 	75	5.22	  	16	1.11	  	650	45.23	  	16	1.11	  	79	5.5	  	93	6.47	  	508	35.35	  	1437	96.44	  	53	3.56	  	1490	1.57	  	774	53.86	  	663	46.14	  
Tennant Creek	                               	61	4.57	  	65	4.87	  	435	32.56	  	9	0.67	  	25	1.87	  	157	11.75	  	584	43.71	  	1336	95.16	  	68	4.84	  	1404	1.48	  	645	48.28	  	691	51.72	  
Tindal	                                      	13	4.11	  	2	0.63	  	166	52.53	  	5	1.58	  	3	0.95	  	67	21.2	  	60	18.99	  	316	97.23	  	9	2.77	  	325	0.34	  	228	72.15	  	88	27.85	  
Tiwi	                                        	86	9.26	  	9	0.97	  	305	32.83	  	14	1.51	  	34	3.66	  	65	7	  	416	44.78	  	929	97.07	  	28	2.93	  	957	1.01	  	399	42.95	  	530	57.05	  
Wanguri	                                     	111	5.55	  	13	0.65	  	823	41.15	  	9	0.45	  	38	1.9	  	120	6	  	886	44.3	  	2000	95.88	  	86	4.12	  	2086	2.2	  	971	48.55	  	1029	51.45	  
West Island	                                 	3	8.57	  	1	2.86	  	10	28.57	  	1	2.86	  	2	5.71	  	0	0	  	18	51.43	  	35	94.59	  	2	5.41	  	37	0.04	  	13	37.14	  	22	62.86	  
Woodroffe	                                   	32	3.76	  	13	1.53	  	375	44.07	  	3	0.35	  	12	1.41	  	111	13.04	  	305	35.84	  	851	96.7	  	29	3.3	  	880	0.93	  	471	55.35	  	380	44.65	  
Wulagi	                                      	77	7.04	  	12	1.1	  	436	39.85	  	4	0.37	  	38	3.47	  	97	8.87	  	430	39.31	  	1094	97.24	  	31	2.76	  	1125	1.19	  	548	50.09	  	546	49.91	  
Yirara	                                      	34	5.29	  	5	0.78	  	355	55.21	  	3	0.47	  	23	3.58	  	59	9.18	  	164	25.51	  	643	96.11	  	26	3.89	  	669	0.71	  	437	67.96	  	206	32.04	  
Yulara	                                      	27	7.69	  	4	1.14	  	150	42.74	  	5	1.42	  	28	7.98	  	12	3.42	  	125	35.61	  	351	97.77	  	8	2.23	  	359	0.38	  	183	52.14	  	168	47.86	  
Special Hospitals	                           	14	6.22	  	1	0.44	  	77	34.22	  	2	0.89	  	2	0.89	  	9	4	  	120	53.33	  	225	94.94	  	12	5.06	  	237	0.25	  	95	42.22	  	130	57.78	  
Remote Mobiles	                              	643	5.2	  	82	0.66	  	1819	14.71	  	41	0.33	  	128	1.04	  	237	1.92	  	9413	76.14	  	12363	91.44	  	1157	8.56	  	13520	14.25	  	2609	21.1	  	9754	78.9	  
Prison Mobiles	                              	22	9.95	  	3	1.36	  	33	14.93	  	1	0.45	  	6	2.71	  	9	4.07	  	147	66.52	  	221	94.44	  	13	5.56	  	234	0.25	  	60	27.15	  	161	72.85	  
Total Ordinary	                              	3993	5.15	  	830	1.07	  	30145	38.87	  	528	0.68	  	2268	2.92	  	6055	7.81	  	33742	43.5	  	77561	95.6	  	3573	4.4	  	81134	85.51	  	37571	48.44	  	39990	51.56	  
POSTAL	                                      	131	4.73	  	45	1.63	  	1415	51.14	  	13	0.47	  	78	2.82	  	358	12.94	  	727	26.27	  	2767	98.05	  	55	1.95	  	2822	2.97	  	1789	64.65	  	978	35.35	  
PRE_POLL	                                    	429	5.12	  	117	1.4	  	3814	45.52	  	62	0.74	  	322	3.84	  	804	9.6	  	2831	33.79	  	8379	97.66	  	201	2.34	  	8580	9.04	  	4713	56.25	  	3666	43.75	  
PROVISIONAL	                                 	105	4.71	  	26	1.17	  	640	28.7	  	21	0.94	  	85	3.81	  	184	8.25	  	1169	52.42	  	2230	94.81	  	122	5.19	  	2352	2.48	  	878	39.37	  	1352	60.63	  
Division Summary	                            	4658	5.12	  	1018	1.12	  	36014	39.6	  	624	0.69	  	2753	3.03	  	7401	8.14	  	38469	42.3	  	90937	95.84	  	3951	4.16	  	94888	90.33	  	44951	49.43	  	45986	50.57	  
