House of Representatives - 1998 Election							
Two Party Preferred Statistics							
By Division							
* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party							
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.							


National Summary							
				Coalition			
Hughes	36179	44.48		45154	55.52	81333	-0.63
Hume	29003	41.94		40149	58.06	69152	3.71
Hunter	46405	64.69		25329	35.31	71734	7.73
Kingsford-Smith	45373	63.4		26190	36.6	71563	3.26
Lindsay	37238	48.72		39200	51.28	76438	0.3
Lowe	40527	54.63		33662	45.37	74189	7.09
Lyne	30650	40.28		45451	59.72	76101	5.71
Macarthur	37529	44.37		47060	55.63	84589	5.06
Mackellar	25578	34.36		48874	65.64	74452	0.88
Macquarie	34830	45.9		41053	54.1	75883	2.26
Mitchell	23063	30.15		53432	69.85	76495	4.47
New England	25377	37.07		43086	62.93	68463	6.25
North Sydney	29829	37.78		49124	62.22	78953	3.34
Page	35724	47.64		39265	52.36	74989	1.95
Parkes	33617	45.89		39638	54.11	73255	2.39
Parramatta	34824	48.93		36346	51.07	71170	2.8
Paterson	39268	51.22		37397	48.78	76665	1.65
Prospect	48371	69.71		21016	30.29	69387	5.81
Reid	51233	71.64		20279	28.36	71512	10.26
Richmond	40013	49.23		41270	50.77	81283	5.98
Riverina	25801	34.7		48552	65.3	74353	5.71
Robertson	36034	47.99		39051	52.01	75085	1.56
Shortland	46100	62.81		27300	37.19	73400	4.66
Sydney	50463	66.89		24974	33.11	75437	3.09
Throsby	52593	72.46		19989	27.54	72582	2.84
Warringah	26531	37.02		45145	62.98	71676	2.33
Watson	48849	67.47		23556	32.53	72405	5.79
Wentworth	31910	43.68		41147	56.32	73057	1.51
Werriwa	45974	62.67		27381	37.33	73355	6.46
State Total	1879281	51.54		1766640	48.46	3645921	4.11


Victoria							

Division	ALP			LP/NP		Total	Swing
	Votes	%		Votes	%		
Aston	36469	45.76		43227	54.24	79696	1.35
Ballarat	36050	47.23		40280	52.77	76330	0.9
Batman	61569	76.43		18984	23.57	80553	5.12
Bendigo	41726	53.47		36311	46.53	78037	4.35
Bruce	44485	56.72		33944	43.28	78429	5.96
Burke	42074	57.61		30960	42.39	73034	0.58
Calwell	55334	68.98		24885	31.02	80219	1.78
Casey	33395	45.13		40598	54.87	73993	1.78
Chisholm	40887	52.07		37629	47.93	78516	4.67
Corangamite	33950	45.5		40665	54.5	74615	3.19
Corio	46618	61.36		29359	38.64	75977	4.56
Deakin	37236	48.07		40233	51.93	77469	0.55
Dunkley	36613	47.96		39721	52.04	76334	1.32
Flinders	35711	46.28		41457	53.72	77168	6.34
Gellibrand	57875	75.91		18366	24.09	76241	4.68
Gippsland	30445	41.17		43506	58.83	73951	9.81
Goldstein	33676	41.85		46801	58.15	80477	2.79
Higgins	31246	40.38		46133	59.62	77379	1.11
Holt	48109	65.11		25777	34.89	73886	2.3
Hotham	51451	63.59		29464	36.41	80915	3.03
Indi	30266	39.89		45600	60.11	75866	7.69
Isaacs	41467	56.4		32050	43.6	73517	4.84
Jagajaga	45100	55.91		35571	44.09	80671	3.2
Kooyong	30303	38.61		48176	61.39	78479	2.42
Lalor	52893	69.82		22864	30.18	75757	1.31
La Trobe	35988	49.01		37442	50.99	73430	0.38
McEwen	37119	48.96		38699	51.04	75818	1.13
McMillan	38360	50.57		37488	49.43	75848	2.64
Mallee	23109	30.63		52328	69.37	75437	4.13
Maribyrnong	53999	72.06		20942	27.94	74941	3.2
Melbourne	56991	71.8		22383	28.2	79374	1.59
Melbourne Ports	41585	55.83		32896	44.17	74481	-0.22
Menzies	33687	44.6		41844	55.4	75531	5.59
Murray	21658	27.94		55866	72.06	77524	2.17
Scullin	55500	71.84		21757	28.16	77257	1.1
Wannon	32583	42.56		43981	57.44	76564	4.87
Wills	56033	70.96		22934	29.04	78967	-1.26
State Total	1521560	53.53		1321121	46.47	2842681	3.22


Queensland							

Division	ALP			LP/NP		Total	Swing
	Votes	%		Votes	%		
Blair	28611	41.97		39553	58.03	68164	10.61
Bowman	39641	53.29		34746	46.71	74387	4.18
Brisbane	43895	54.59		36517	45.41	80412	3.93
Capricornia	41352	55.29		33434	44.71	74786	8.75
Dawson	35375	45.58		42228	54.42	77603	6.43
Dickson	36911	50.12		36735	49.88	73646	4.02
Fadden	30540	42.41		41466	57.59	72006	9.96
Fairfax	31300	45.64		37286	54.36	68586	13.25
Fisher	26954	39		42152	61	69106	9.64
Forde	30741	44.75		37948	55.25	68689	6.76
Griffith	41689	52.43		37831	47.57	79520	3.93
Groom	27522	36.96		46951	63.04	74473	8.25
Herbert	38362	49.9		38512	50.1	76874	6.52
Hinkler	35933	49.66		36423	50.34	72356	7.6
Kennedy	29341	38.81		46254	61.19	75595	2.97
Leichhardt	32759	45.95		38535	54.05	71294	0.52
Lilley	41902	53.13		36961	46.87	78863	3.51
Longman	34236	49.08		35525	50.92	69761	8.98
McPherson	30740	41.66		43045	58.34	73785	8.82
Maranoa	26826	35.58		48576	64.42	75402	7.07
Moncrieff	26889	37.17		45450	62.83	72339	7.63
Moreton	38655	49.43		39554	50.57	78209	5.4
Oxley	41691	58.2		29937	41.8	71628	7.85
Petrie	38348	49.25		39522	50.75	77870	7.52
Rankin	40691	58.69		28645	41.31	69336	9.07
Ryan	31149	40.48		45799	59.52	76948	7.46
Wide Bay	33814	47.14		37923	52.86	71737	15.32
State Total	935867	46.95		1057508	53.05	1993375	7.17


Western Australia							

Division	ALP			LP		Total	Swing
	Votes	%		Votes	%		
Brand	43587	62.29		26392	37.71	69979	11.44
Canning	38834	53.52		33732	46.48	72566	5.16
Cowan	38208	53.56		33135	46.44	71343	7.62
Curtin	28940	36.72		49870	63.28	78810	-0.06
Forrest	32421	43.12		42775	56.88	75196	7.21
Fremantle	46338	60.02		30866	39.98	77204	5.81
Kalgoorlie	32754	47.9		35632	52.1	68386	-2.8
Moore	33026	45.87		38973	54.13	71999	4.4
O'Connor	26537	34.86		49581	65.14	76118	6.02
Pearce	33334	44.7		41246	55.3	74580	8.29
Perth	48441	63.28		28110	36.72	76551	6.6
Stirling	39176	51.04		37582	48.96	76758	4.26
Swan	40067	52.7		35964	47.3	76031	6.33
Tangney	34070	44.1		43184	55.9	77254	5.96
State Total	515733	49.46		527042	50.54	1042775	5.46


South Australia							

Division	ALP			LP		Total	Swing
	Votes	%		Votes	%		
Adelaide	36379	49.09		37731	50.91	74110	2.58
Barker	28159	36.26		49501	63.74	77660	7.14
Bonython	45935	64.53		25251	35.47	71186	5.07
Boothby	32154	42.55		43406	57.45	75560	4.16
Grey	31540	41.96		43627	58.04	75167	0.5
Hindmarsh	37224	48.77		39100	51.23	76324	6.83
Kingston	41206	50.47		40443	49.53	81649	2.48
Makin	40620	49.06		42180	50.94	82800	0.14
Mayo	33602	40.1		50189	59.9	83791	5.26
Port Adelaide	49107	66.1		25180	33.9	74287	9.06
Sturt	31025	42.71		41621	57.29	72646	2.7
Wakefield	27238	33.71		53573	66.29	80811	3.67
State Total	434189	46.89		491802	53.11	925991	4.15


Tasmania							

Division	ALP			LP		Total	Swing
	Votes	%		Votes	%		
Bass	30612	50.06		30534	49.94	61146	4.63
Braddon	31567	54.33		26540	45.67	58107	10.02
Denison	40399	64.51		22224	35.49	62623	2.72
Franklin	34759	56.6		26652	43.4	61411	1.92
Lyons	38904	60.61		25286	39.39	64190	9.3
State Total	176241	57.32		131236	42.68	307477	5.74


Australian Capital Territory							

Division	ALP			LP		Total	Swing
	Votes	%		Votes	%		
Canberra	58972	60.06		39220	39.94	98192	7.74
Fraser	62580	64.86		33911	35.14	96491	6
Territory Total	121552	62.44		73131	37.56	194683	6.98


Northern Territory							

Division	ALP			CLP		Total	Swing
	Votes	%		Votes	%		
Northern Territory	45986	50.57		44951	49.43	90937	0.94
Territory Total	45986	50.57		44951	49.43	90937	0.94
