House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Sydney (Bennelong)	125	75	60	50	40	8.19
Truscott	1376	544	39.53	832	60.47	0.53
Water Tanks	901	377	41.84	524	58.16	-0.39
West Ryde	3218	1783	55.41	1435	44.59	5.96
Wicks	476	180	37.82	296	62.18	1.24
Woolwich	570	159	27.89	411	72.11	4.85
ABSENT	6232	2560	41.08	3672	58.92	-
POSTAL	4108	1481	36.05	2627	63.95	-
PRE POLL	4746	2206	46.48	2540	53.52	-
PROVISIONAL	498	270	54.22	228	45.78	-
Division Total	75088	33013	43.97	42075	56.03	4.1


Berowra						

Polling Place	Formal	McCARROLL		RUDDOCK		Swing
	Votes	(ALP)	%	(LP)	%	%
Arcadia	751	220	29.29	531	70.71	9.18
Asquith	1851	791	42.73	1060	57.27	3.28
Beecroft	3049	913	29.94	2136	70.06	5.46
Beecroft West	2442	922	37.76	1520	62.24	9.14
Berowra	2958	1183	39.99	1775	60.01	2.57
Berowra North	1547	623	40.27	924	59.73	2.78
Berowra Waters	64	19	29.69	45	70.31	19.02
Bowden Brae	382	99	25.92	283	74.08	3.39
Brooklyn	372	176	47.31	196	52.69	-1.41
Cheltenham	1048	329	31.39	719	68.61	7.41
Cherrybrook (Berowra)	1484	459	30.93	1025	69.07	4.14
Cherrybrook South	848	241	28.42	607	71.58	7.16
Cowan	265	134	50.57	131	49.43	4.82
Dangar Island	116	81	69.83	35	30.17	15.36
Dural (Berowra)	1246	283	22.71	963	77.29	2.51
Epping (Berowra)	341	162	47.51	179	52.49	6.51
Epping Heights	1417	561	39.59	856	60.41	9.11
Epping West (Berowra)	1863	759	40.74	1104	59.26	8.53
Galston	1446	395	27.32	1051	72.68	7.39
Glenorie (Berowra)	735	177	24.08	558	75.92	3.12
Hornsby	1646	787	47.81	859	52.19	6.31
Hornsby Heights	2566	963	37.53	1603	62.47	4.33
Hornsby Hospital	377	163	43.24	214	56.76	1.17
Hornsby North	1522	624	41	898	59	3.44
Hornsby South	3009	1571	52.21	1438	47.79	7.84
Hornsby West	822	361	43.92	461	56.08	3.69
John Purchase	3654	1381	37.79	2273	62.21	6.43
Middle Dural (Berowra)	314	74	23.57	240	76.43	3.57
Mount Colah	2557	1084	42.39	1473	57.61	4.61
Mount Kuring-Gai	953	412	43.23	541	56.77	2.56
Normanhurst	2088	774	37.07	1314	62.93	4.23
Normanhurst North	1349	567	42.03	782	57.97	6.61
Normanhurst West	1889	754	39.92	1135	60.08	6
Pennant Hills	3327	1287	38.68	2040	61.32	5.53
Special Hospital Team 1	233	30	12.88	203	87.12	1.58
Special Hospital Team 2	68	18	26.47	50	73.53	10.5
Special Hospital Team 3	141	24	17.02	117	82.98	1.73
Special Hospital Team 4	162	25	15.43	137	84.57	-6.79
Special Hospital Team 5	97	20	20.62	77	79.38	1.78
Sydney (Berowra)	108	53	49.07	55	50.93	7.01
Thompsons Corner (Berowra)	1536	478	31.12	1058	68.88	7.02
Thornleigh	1230	450	36.59	780	63.41	3.95
Turramurra South (Berowra)	482	131	27.18	351	72.82	0.69
Waitara	1814	644	35.5	1170	64.5	4.07
Waitara South	408	103	25.25	305	74.75	2.4
Warrawee (Berowra)	1592	410	25.75	1182	74.25	3.19
Westleigh	2969	913	30.75	2056	69.25	4.45
ABSENT	6929	2471	35.66	4458	64.34	-
POSTAL	3262	980	30.04	2282	69.96	-
PRE POLL	7696	2704	35.14	4992	64.86	-
PROVISIONAL	415	200	48.19	215	51.81	-
Division Total	79440	28983	36.48	50457	63.52	4.88


Blaxland						

Polling Place	Formal	HATTON		SHELLEY		Swing
	Votes	(ALP)	%	(LP)	%	%
Bankstown	1713	1349	78.75	364	21.25	9.07
Bankstown Central	1845	1573	85.26	272	14.74	12.88
Bankstown North	1392	1067	76.65	325	23.35	9.92
Bankstown South	1593	1228	77.09	365	22.91	10.14
Bankstown West	2809	2371	84.41	438	15.59	9.34
Bass Hill	2283	1590	69.65	693	30.35	10.88
Bass Hill Central	1336	873	65.34	463	34.66	9.19
Bass Hill West	2717	1613	59.37	1104	40.63	7.98
Birrong	2758	1922	69.69	836	30.31	11.38
Chester Hill	3178	2266	71.3	912	28.7	9.67
Chester Hill North	2177	1465	67.29	712	32.71	10.54
Chullora	2059	1399	67.95	660	32.05	9.92
Condell Park	4607	3104	67.38	1503	32.62	9.49
Condell Park South	1719	1350	78.53	369	21.47	5.83
Georges Hall	2981	1676	56.22	1305	43.78	6.04
Gosling Park	1358	899	66.2	459	33.8	7.24
Greenacre	4977	3692	74.18	1285	25.82	9.65
Mount Lewis	1030	730	70.87	300	29.13	9.34
Parry Park	349	256	73.35	93	26.65	4.48
Punchbowl (Blaxland)	2630	2144	81.52	486	18.48	8.49
Punchbowl Central	1832	1447	78.98	385	21.02	8.65
Sefton	2174	1499	68.95	675	31.05	10.57
Special Hospital Team 1	164	83	50.61	81	49.39	5.65
Special Hospital Team 2	155	92	59.35	63	40.65	3.33
Sydney (Blaxland)	71	58	81.69	13	18.31	23.72
Villawood Central	490	449	91.63	41	8.37	12.83
Villawood East	1184	1000	84.46	184	15.54	10.43
Wattawa Heights	1391	1008	72.47	383	27.53	11.33
Wiley Park West	2996	2481	82.81	515	17.19	8.23
Yagoona	2690	2018	75.02	672	24.98	7.95
Yagoona West	1395	1008	72.26	387	27.74	9.17
ABSENT	4586	3001	65.44	1585	34.56	-
POSTAL	2821	1861	65.97	960	34.03	-
PRE POLL	3347	2327	69.52	1020	30.48	-
PROVISIONAL	989	839	84.83	150	15.17	-
Division Total	71796	51738	72.06	20058	27.94	9.08


Bradfield						

Polling Place	Formal	KAILAINATHAN		NELSON		Swing
	Votes	(ALP)	%	(LP)	%	%
Belrose (Bradfield)	1036	284	27.41	752	72.59	0.62
Belrose North (Bradfield)	1166	276	23.67	890	76.33	0.36
Castle Cove	1363	373	27.37	990	72.63	5.94
Chatswood (Bradfield)	372	166	44.62	206	55.38	6.6
Chatswood North	921	350	38	571	62	3.46
Chatswood West (Bradfield)	623	252	40.45	371	59.55	6.98
Frenchs Forest (Bradfield)	373	99	26.54	274	73.46	0.95
Gordon	2400	748	31.17	1652	68.83	4.67
Gordon East	1756	447	25.46	1309	74.54	2.52
Gordon West	1337	400	29.92	937	70.08	1.83
Kambora	723	163	22.54	560	77.46	-1.64
Killara	1458	261	17.9	1197	82.1	2.96
Killara East	1921	662	34.46	1259	65.54	8.08
Kissing Point	965	294	30.47	671	69.53	1.56
Lady Davidson Hospital	55	12	21.82	43	78.18	-0.91
Lindfield	1959	542	27.67	1417	72.33	1.27
Lindfield East	1791	514	28.7	1277	71.3	5.51
Lindfield North	2452	815	33.24	1637	66.76	4.12
Lindfield West	2151	647	30.08	1504	69.92	3.68
Mimosa	2217	570	25.71	1647	74.29	1.06
Pymble	1628	369	22.67	1259	77.33	4.71
Pymble North	1901	457	24.04	1444	75.96	2.78
Pymble West	1821	526	28.89	1295	71.11	2.99
Roseville	1366	403	29.5	963	70.5	7.62
Roseville Chase	872	246	28.21	626	71.79	2.15
Roseville East	808	233	28.84	575	71.16	2.26
Roseville South (Bradfield)	645	228	35.35	417	64.65	1.47
Special Hospital Team 1	266	28	10.53	238	89.47	-4.43
Special Hospital Team 2	208	7	3.37	201	96.63	-2.66
Special Hospital Team 3	113	20	17.7	93	82.3	2.31
Special Hospital Team 4	173	19	10.98	154	89.02	-3.38
Special Hospital Team 5	148	17	11.49	131	88.51	-0.24
St Ives	1392	301	21.62	1091	78.38	2.96
St Ives Chase	715	152	21.26	563	78.74	0.86
St Ives North	2386	524	21.96	1862	78.04	-0.43
St Ives Park	1585	342	21.58	1243	78.42	1.28
St Ives South	2407	578	24.01	1829	75.99	3.14
Sydney (Bradfield)	99	37	37.37	62	62.63	4.65
Turramurra	685	96	14.01	589	85.99	1.37
Turramurra Central	1402	368	26.25	1034	73.75	5
Turramurra North	2169	530	24.44	1639	75.56	0.74
Turramurra South (Bradfield)	1924	642	33.37	1282	66.63	1.6
Wahroonga	2506	505	20.15	2001	79.85	0.41
Wahroonga East	1524	406	26.64	1118	73.36	4.2
Warrawee (Bradfield)	1186	319	26.9	867	73.1	3.56
ABSENT	6368	1652	25.94	4716	74.06	-
POSTAL	3904	871	22.31	3033	77.69	-
PRE POLL	6660	2026	30.42	4634	69.58	-
PROVISIONAL	243	90	37.04	153	62.96	-
Division Total	74143	19867	26.8	54276	73.2	2.56


Calare						

Polling Place	Formal	CORKIN		BLUME		Swing
	Votes	(ALP)	%	(NP)	%	%
Barry	97	23	23.71	74	76.29	-
Bathurst	2380	1224	51.43	1156	48.57	-
Bathurst Central	848	440	51.89	408	48.11	-
Bathurst City	1277	660	51.68	617	48.32	-
Bathurst High	1198	603	50.33	595	49.67	-
Bathurst Hospital	753	405	53.78	348	46.22	-
Bathurst South	1154	612	53.03	542	46.97	-
Bathurst St Vincents	318	191	60.06	127	39.94	-
Bathurst West	1997	958	47.97	1039	52.03	-
Black Springs	239	83	34.73	156	65.27	-
Blayney	1610	691	42.92	919	57.08	-
Bletchington	2265	961	42.43	1304	57.57	-
Bloomfield Hospital	150	65	43.33	85	56.67	-
Borenore	243	68	27.98	175	72.02	-
Bowen	2164	987	45.61	1177	54.39	-
Bowenfels South	163	77	47.24	86	52.76	-
Burraga	77	29	37.66	48	62.34	-
Bylong	74	22	29.73	52	70.27	-
Calare School	1464	538	36.75	926	63.25	-
Canobolas	129	38	29.46	91	70.54	-
Canowindra	1207	414	34.3	793	65.7	-
Capertee	145	67	46.21	78	53.79	-
Carcoar	197	106	53.81	91	46.19	-
Cargo	256	114	44.53	142	55.47	-
Cooerwull	1769	1165	65.86	604	34.14	-
Cudal	466	130	27.9	336	72.1	-
Cullen Bullen	136	100	73.53	36	26.47	-
Cumnock	293	78	26.62	215	73.38	-
Eglinton	1297	545	42.02	752	57.98	-
Errowanbang	57	13	22.81	44	77.19	-
Euchareena	114	24	21.05	90	78.95	-
Eugowra	471	143	30.36	328	69.64	-
Glen Alice	64	12	18.75	52	81.25	-
Glenroi	1740	1033	59.37	707	40.63	-
Hampton	126	51	40.48	75	59.52	-
Hartley	257	99	38.52	158	61.48	-
Hermitage	508	357	70.28	151	29.72	-
Hill End	91	41	45.05	50	54.94	-
Ilford	178	52	29.21	126	70.79	-
Jenolan Caves	28	9	32.14	19	67.86	-
Kandos	956	583	60.98	373	39.02	-
Kelso	2356	1110	47.11	1246	52.89	-
Kirkconnell	145	74	51.03	71	48.97	-
Lithgow	1596	1038	65.04	558	34.96	-
Lithgow Hospital	96	59	61.46	37	38.54	-
Littleton	459	310	67.54	149	32.46	-
Lucknow	265	93	35.09	172	64.91	-
Lyndhurst	218	75	34.4	143	65.6	-
Mandurama	206	76	36.89	130	63.11	-
Manildra	518	207	39.96	311	60.04	-
March	208	63	30.29	145	69.71	-
Meadow Flat	161	71	44.1	90	55.9	-
Millthorpe	637	227	35.64	410	64.36	-
Mitchell Campus	74	56	75.68	18	24.32	-
Molong	1157	411	35.52	746	64.48	-
Morts Estate	414	290	70.05	124	29.95	-
Mullion Creek	259	74	28.57	185	71.43	-
Mumbil	170	63	37.06	107	62.94	-
Nashdale	266	68	25.56	198	74.44	-
Neurea	78	14	17.95	64	82.05	-
Neville	115	27	23.48	88	76.52	-
Newbridge	139	51	36.69	88	63.31	-
O'Connell	242	78	32.23	164	67.77	-
Oakey Park	222	168	75.68	54	24.32	-
Oberon	1743	677	38.84	1066	61.16	-
Orange	2106	852	40.46	1254	59.54	-
Orange East	1321	635	48.07	686	51.93	-
Orange Hospital	356	140	39.33	216	60.67	-
Orange North	716	286	39.94	430	60.06	-
Orange South	1383	542	39.19	841	60.81	-
Orange West	3162	1094	34.6	2068	65.4	-
Peel	101	38	37.62	63	62.38	-
Perthville	419	123	29.36	296	70.64	-
Portland	1085	773	71.24	312	28.76	-
Prison Mobile Team 1	0	0	0	0	0	-
Raglan	621	305	49.11	316	50.89	-
Rockley	226	62	27.43	164	72.57	-
Rydal	87	24	27.59	63	72.41	-
Rylstone	740	322	43.51	418	56.49	-
Sofala	104	38	36.54	66	63.46	-
Special Hospital Team 1	220	67	30.45	153	69.55	-
Special Hospital Team 2	103	43	41.75	60	58.25	-
Special Hospital Team 3	32	10	31.25	22	68.75	-
Special Hospital Team 4	34	5	14.71	29	85.29	-
Special Hospital Team 5	43	25	58.14	18	41.86	-
Special Hospital Team 6	28	20	71.43	8	28.57	-
Special Hospital Team 7	21	10	47.62	11	52.38	-
Spring Hill	186	57	30.65	129	69.35	-
Spring Terrace	211	55	26.07	156	73.93	-
Stuart Town	239	105	43.93	134	56.07	-
Sydney (Calare)	38	19	50	19	50	-
Tarana	78	28	35.9	50	64.1	-
The Lagoon	107	34	31.78	73	68.22	-
Towri Aboriginal Centre	149	69	46.31	80	53.69	-
Trunkey Creek	115	27	23.48	88	76.52	-
Tweed Mills	802	587	73.19	215	26.81	-
Vale Of Clwydd	450	308	68.44	142	31.56	-
Wallerawang	1054	673	63.85	381	36.15	-
Wattle Flat	119	63	52.94	56	47.06	-
Yeoval	489	137	28.02	352	71.98	-
ABSENT	5055	2373	46.94	2682	53.06	-
POSTAL	3722	1893	50.86	1829	49.14	-
PRE POLL	5495	2552	46.44	2943	53.56	-
PROVISIONAL	895	483	53.97	412	46.03	-
Division Total	72812	34068	46.79	38744	53.21	-0.31


Charlton						

Polling Place	Formal	HOARE		GATGENS		Swing
	Votes	(ALP)	%	(LP)	%	%
Ambleside	356	158	44.38	198	55.62	-4.78
Arcadia Vale	731	490	67.03	241	32.97	6.53
Argenton	815	645	79.14	170	20.86	6.92
Awaba	216	179	82.87	37	17.13	22.28
Barnsley	956	697	72.91	259	27.09	3.2
Blackalls	1352	1020	75.44	332	24.56	4.11
Bolton Point	625	381	60.96	244	39.04	1.53
Bonnells Bay	2318	1302	56.17	1016	43.83	2.32
Booragul	1249	874	69.98	375	30.02	1.43
Booragul Homes	114	71	62.28	43	37.72	5.14
Cardiff	2272	1424	62.68	848	37.32	3.13
Cardiff East	792	588	74.24	204	25.76	8.59
Cardiff Heights	1349	690	51.15	659	48.85	3.79
Cardiff North	1276	794	62.23	482	37.77	3.94
Cardiff South	1551	1129	72.79	422	27.21	5.94
Carey Bay	762	358	46.98	404	53.02	1.68
Coal Point	834	332	39.81	502	60.19	-0.8
Cooranbong	738	359	48.64	379	51.36	4.18
Dora Creek	1050	648	61.71	402	38.29	7.99
Edgeworth	3296	2341	71.03	955	28.97	2.26
Elermore Vale	1881	1222	64.97	659	35.03	4.05
Fassifern	561	397	70.77	164	29.23	8.87
Fennell Bay	1101	725	65.85	376	34.15	-0.54
Garden Suburb (Charlton)	1074	630	58.66	444	41.34	0.79
Glendale	552	417	75.54	135	24.46	3.26
Glendale East	1201	808	67.28	393	32.72	4.91
Hawkins Village	1214	882	72.65	332	27.35	5.58
Hillsborough (Charlton)	488	296	60.66	192	39.34	-0.95
Kilaben Bay	740	337	45.54	403	54.46	0.28
Killingworth	351	243	69.23	108	30.77	2.56
Martinsville	137	73	53.28	64	46.72	11.51
Maryland	2426	1665	68.63	761	31.37	2.06
Morisset	1456	853	58.59	603	41.41	7.5
Morisset Hospital	80	56	70	24	30	3.66
Mount Hutton (Charlton)	309	186	60.19	123	39.81	15.75
New Lambton Heights	462	218	47.19	244	52.81	7.05
Pittown	594	423	71.21	171	28.79	8.11
Plattsburg	1983	1472	74.23	511	25.77	6.43
Rathmines	2079	1171	56.33	908	43.67	2.16
Special Hospital Team 1	249	155	62.25	94	37.75	3.5
Special Hospital Team 2	141	89	63.12	52	36.88	6.06
Special Hospital Team 3	91	31	34.07	60	65.93	-2.83
Speers Point	2071	1321	63.79	750	36.21	4.35
Speers Point East	1151	625	54.3	526	45.7	-
Sunshine	736	424	57.61	312	42.39	5.99
Sydney (Charlton)	33	16	48.48	17	51.51	-8.27
Teralba	829	589	71.05	240	28.95	6.64
Toronto	545	347	63.67	198	36.33	8.27
Toronto North	948	562	59.28	386	40.72	-0.11
Toronto West	976	802	82.17	174	17.83	2.64
Wallsend	2313	1607	69.48	706	30.52	4.24
Wallsend Hospital	524	368	70.23	156	29.77	7.12
Wallsend South	2674	1524	56.99	1150	43.01	3.33
Wangi Wangi	1554	1015	65.32	539	34.68	3.54
Warners Bay	1789	1087	60.76	702	39.24	5.34
Warners Bay Central (Charlton)	1270	784	61.73	486	38.27	0.43
West Wallsend	1767	1379	78.04	388	21.96	2.47
Whitegates	1085	733	67.56	352	32.44	4.24
Woodrising	337	237	70.33	100	29.67	11.75
Wyee	1036	550	53.09	486	46.91	3.35
Wyee Point	276	168	60.87	108	39.13	8.85
ABSENT	5931	3706	62.49	2225	37.51	-
POSTAL	3079	1782	57.88	1297	42.12	-
PRE POLL	6862	3607	52.56	3255	47.44	-
PROVISIONAL	697	508	72.88	189	27.12	-
Division Total	80305	50570	62.97	29735	37.03	3.65


Chifley						

Polling Place	Formal	PRICE		COLES		Swing
	Votes	(ALP)	%	(LP)	%	%
Bennett Road	3696	2418	65.42	1278	34.58	6.53
Bidwill	1954	1586	81.17	368	18.83	6.54
Blackett	1742	1398	80.25	344	19.75	6.11
Blacktown West (Chifley)	530	358	67.55	172	32.45	10.49
Clairgate	2105	1239	58.86	866	41.14	5.48
Dharruk	1467	1144	77.98	323	22.02	6.18
Doonside	1586	1158	73.01	428	26.99	9.38
Doonside North	2924	2066	70.66	858	29.34	6.12
Eastern Creek	657	448	68.19	209	31.81	11.93
Emerton	885	702	79.32	183	20.68	7.07
Erskine Park	2818	1719	61	1099	39	3.57
Glendenning	2002	1458	72.83	544	27.17	6.95
Hassall Grove	2511	1840	73.28	671	26.72	3.45
Hebersham	1947	1479	75.96	468	24.04	5.22
Lethbridge Park	2136	1663	77.86	473	22.14	6.71
Madang	649	510	78.58	139	21.42	7.55
Minchinbury	2302	1496	64.99	806	35.01	4.23
Mount Druitt Hospital	384	320	83.33	64	16.67	10.24
Mount Druitt North	1445	1163	80.48	282	19.52	11.54
Mount Druitt South	2434	1626	66.8	808	33.2	6.35
O.L.C. Home	593	376	63.41	217	36.59	5.91
Oxley Park	2205	1443	65.44	762	34.56	10.95
Plumpton	3411	2487	72.91	924	27.09	7.11
Rooty Hill North	2893	2073	71.66	820	28.34	8.38
Rooty Hill South	1374	1023	74.45	351	25.55	9.35
Shalvey	1488	1125	75.6	363	24.4	4.08
Special Hospital Team 1	27	18	66.67	9	33.33	2.67
St Marys	1228	870	70.85	358	29.15	9.18
St Marys North	1921	1431	74.49	490	25.51	6.41
St Marys South	2227	1452	65.2	775	34.8	10.13
Sydney (Chifley)	73	55	75.34	18	24.66	-8.87
Tregear	1705	1369	80.29	336	19.71	9.01
Walters Road (Chifley)	2072	1392	67.18	680	32.82	6.81
Whalan	1674	1316	78.61	358	21.39	5.69
Willmot	1166	923	79.16	243	20.84	10.72
ABSENT	6229	3951	63.43	2278	36.57	-
POSTAL	2432	1651	67.89	781	32.11	-
PRE POLL	3411	2429	71.21	982	28.79	-
PROVISIONAL	1099	862	78.43	237	21.57	-
Division Total	73402	52037	70.89	21365	29.11	6.36


Cook						

Polling Place	Formal	YOUNG		BAIRD		Swing
	Votes	(ALP)	%	(LP)	%	%
Burraneer Bay	2943	877	29.8	2066	70.2	0.12
Caringbah	2917	1160	39.77	1757	60.23	4.95
Caringbah Central	1005	457	45.47	548	54.53	2.49
Caringbah North	2524	1211	47.98	1313	52.02	2.76
Caringbah West	1834	774	42.2	1060	57.8	5.14
Cronulla	2219	785	35.38	1434	64.62	2.37
Cronulla Central	1705	745	43.7	960	56.3	2.43
Cronulla North	1402	750	53.5	652	46.5	1.63
Cronulla South	2344	832	35.49	1512	64.51	1.76
Dolans Bay	978	328	33.54	650	66.46	0.24
Grays Point	1369	571	41.71	798	58.29	1.18
Gymea	2631	1342	51.01	1289	48.99	6.11
Gymea North	969	397	40.97	572	59.03	2.12
Gymea South	3206	1311	40.89	1895	59.11	2.84
Kareela	2053	750	36.53	1303	63.47	3.52
Kirrawee	1618	732	45.24	886	54.76	2.55
Kirrawee South	1398	574	41.06	824	58.94	3.38
