Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Griffith (92367)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Carina		8	0.37		919	42.08		0	0.00		81	3.71		9	0.41		69	3.16		26	1.19		1	0.05		131	6.00		715	32.74		9	0.41		214	9.80		2	0.09		2184	96.85		71	3.15		2255	2.57
Carina Heights		11	0.42		1091	41.23		0	0.00		85	3.21		28	1.06		75	2.83		26	0.98		4	0.15		148	5.59		930	35.15		22	0.83		224	8.47		2	0.08		2646	96.71		90	3.29		2736	3.12
Carindale		17	0.39		1671	38.45		3	0.07		187	4.30		30	0.69		104	2.39		38	0.87		6	0.14		249	5.73		1716	39.48		29	0.67		294	6.76		2	0.05		4346	96.30		167	3.70		4513	5.15
Cavendish Road		7	0.41		608	35.19		0	0.00		86	4.98		15	0.87		90	5.21		27	1.56		0	0.00		70	4.05		641	37.09		10	0.58		169	9.78		5	0.29		1728	96.59		61	3.41		1789	2.04
Chatsworth Road		5	0.30		434	26.07		1	0.06		82	4.92		13	0.78		87	5.23		17	1.02		4	0.24		56	3.36		794	47.69		1	0.06		171	10.27		0	0.00		1665	97.03		51	2.97		1716	1.96
Coorparoo		10	0.33		1122	36.63		0	0.00		113	3.69		11	0.36		176	5.75		58	1.89		6	0.20		94	3.07		1077	35.16		23	0.75		368	12.01		5	0.16		3063	96.62		107	3.38		3170	3.62
Coorparoo South		2	0.23		276	31.76		0	0.00		48	5.52		12	1.38		41	4.72		7	0.81		1	0.12		34	3.91		333	38.32		3	0.35		110	12.66		2	0.23		869	96.77		29	3.23		898	1.02
Greenmeadows		5	0.48		302	28.82		1	0.10		72	6.87		6	0.57		18	1.72		7	0.67		0	0.00		53	5.06		503	48.00		6	0.57		75	7.16		0	0.00		1048	97.85		23	2.15		1071	1.22
Greenslopes School (Griffith)		3	0.25		431	36.53		0	0.00		40	3.39		9	0.76		81	6.86		20	1.69		1	0.08		48	4.07		405	34.32		10	0.85		130	11.02		2	0.17		1180	96.09		48	3.91		1228	1.40
Gumdale (Griffith)		10	0.45		652	29.02		1	0.04		133	5.92		19	0.85		45	2.00		29	1.29		0	0.00		190	8.46		1008	44.86		13	0.58		147	6.54		0	0.00		2247	97.27		63	2.73		2310	2.64
Holland Park (Griffith)		0	0.00		116	32.58		0	0.00		20	5.62		2	0.56		22	6.18		6	1.69		0	0.00		16	4.49		141	39.61		3	0.84		29	8.15		1	0.28		356	96.22		14	3.78		370	0.42
Holland Park School		4	0.33		350	28.67		1	0.08		60	4.91		9	0.74		63	5.16		16	1.31		2	0.16		39	3.19		540	44.23		8	0.66		128	10.48		1	0.08		1221	97.99		25	2.01		1246	1.42
Majestic Park		1	0.12		199	23.06		0	0.00		40	4.63		0	0.00		25	2.90		10	1.16		2	0.23		26	3.01		490	56.78		0	0.00		69	8.00		1	0.12		863	98.40		14	1.60		877	1.00
Mansfield (Griffith)		11	0.37		988	32.96		2	0.07		156	5.20		73	2.43		76	2.54		30	1.00		2	0.07		117	3.90		1325	44.20		23	0.77		195	6.50		0	0.00		2998	96.68		103	3.32		3101	3.54
Morningside		7	0.36		795	40.58		2	0.10		80	4.08		13	0.66		93	4.75		32	1.63		2	0.10		106	5.41		634	32.36		8	0.41		186	9.49		1	0.05		1959	96.84		64	3.16		2023	2.31
Morningside State School		7	0.48		490	33.38		0	0.00		55	3.75		7	0.48		81	5.52		19	1.29		5	0.34		54	3.68		527	35.90		7	0.48		216	14.71		0	0.00		1468	96.83		48	3.17		1516	1.73
Mount Gravatt (Griffith)		7	0.60		408	35.14		0	0.00		49	4.22		14	1.21		65	5.60		22	1.89		0	0.00		49	4.22		434	37.38		6	0.52		104	8.96		3	0.26		1161	96.19		46	3.81		1207	1.38
Mount Gravatt East		17	0.46		1473	40.09		4	0.11		163	4.44		67	1.82		80	2.18		47	1.28		2	0.05		176	4.79		1337	36.39		32	0.87		274	7.46		2	0.05		3674	95.48		174	4.52		3848	4.39
Mt Petrie (Griffith)		1	0.11		233	24.76		0	0.00		68	7.23		14	1.49		12	1.28		6	0.64		1	0.11		43	4.57		492	52.28		4	0.43		67	7.12		0	0.00		941	97.51		24	2.49		965	1.10
Mount Thompson		9	0.60		597	39.77		0	0.00		70	4.66		15	1.00		44	2.93		12	0.80		2	0.13		96	6.40		506	33.71		8	0.53		140	9.33		2	0.13		1501	96.40		56	3.60		1557	1.78
Murarrie		12	0.88		771	56.24		2	0.15		46	3.36		8	0.58		32	2.33		19	1.39		1	0.07		101	7.37		274	19.99		20	1.46		84	6.13		1	0.07		1371	96.41		51	3.59		1422	1.62
Norman Creek		10	0.50		738	37.18		1	0.05		74	3.73		8	0.40		87	4.38		27	1.36		3	0.15		89	4.48		720	36.27		10	0.50		217	10.93		1	0.05		1985	97.02		61	2.98		2046	2.34
Norman Park		4	0.28		473	33.43		0	0.00		65	4.59		5	0.35		78	5.51		14	0.99		1	0.07		43	3.04		557	39.36		6	0.42		169	11.94		0	0.00		1415	98.33		24	1.67		1439	1.64
Regina Caeli		1	0.19		168	31.64		0	0.00		36	6.78		4	0.75		11	2.07		0	0.00		0	0.00		19	3.58		248	46.70		1	0.19		43	8.10		0	0.00		531	97.79		12	2.21		543	0.62
St James		3	0.25		424	35.04		3	0.25		59	4.88		6	0.50		50	4.13		12	0.99		1	0.08		41	3.39		472	39.01		7	0.58		132	10.91		0	0.00		1210	96.80		40	3.20		1250	1.43
Seven Hills College		4	0.28		527	36.52		0	0.00		72	4.99		7	0.49		61	4.23		21	1.46		1	0.07		81	5.61		506	35.07		5	0.35		157	10.88		1	0.07		1443	95.82		63	4.18		1506	1.72
Seville Road		9	0.69		641	48.93		0	0.00		43	3.28		16	1.22		42	3.21		19	1.45		1	0.08		76	5.80		331	25.27		8	0.61		123	9.39		1	0.08		1310	96.25		51	3.75		1361	1.55
Tingalpa		12	0.34		1644	46.17		3	0.08		105	2.95		30	0.84		86	2.42		38	1.07		0	0.00		196	5.50		1160	32.58		33	0.93		247	6.94		7	0.20		3561	96.43		132	3.57		3693	4.21
Wondall Heights (Griffith)		1	0.25		198	49.50		0	0.00		12	3.00		1	0.25		6	1.50		4	1.00		1	0.25		21	5.25		120	30.00		3	0.75		33	8.25		0	0.00		400	96.39		15	3.61		415	0.47
Special Hospitals		1	0.25		178	43.95		1	0.25		15	3.70		1	0.25		2	0.49		0	0.00		1	0.25		13	3.21		186	45.93		1	0.25		6	1.48		0	0.00		405	97.36		11	2.64		416	0.47
Total Ordinary		265	0.38		25838	36.65		32	0.05		2949	4.18		574	0.81		2541	3.60		828	1.17		74	0.10		3279	4.65		27326	38.76		440	0.62		6311	8.95		48	0.07		70505	96.73		2385	3.27		72890	83.19
ABSENT		31	0.49		2042	32.59		13	0.21		229	3.65		68	1.09		316	5.04		135	2.15		12	0.19		269	4.29		2430	38.78		78	1.24		640	10.21		3	0.05		6266	98.17		117	1.83		6383	7.28
POSTAL		18	0.39		1900	41.23		0	0.00		160	3.47		25	0.54		85	1.84		16	0.35		2	0.04		286	6.21		1870	40.58		16	0.35		228	4.95		2	0.04		4608	98.40		75	1.60		4683	5.34
PRE_POLL		8	0.27		918	31.20		0	0.00		110	3.74		31	1.05		119	4.04		22	0.75		6	0.20		112	3.81		1280	43.51		18	0.61		316	10.74		2	0.07		2942	98.72		38	1.28		2980	3.40
PROVISIONAL		4	0.60		249	37.50		1	0.15		11	1.66		8	1.20		35	5.27		26	3.92		0	0.00		22	3.31		231	34.79		10	1.51		67	10.09		0	0.00		664	96.79		22	3.21		686	0.78
Division Summary		326	0.38		30947	36.41		46	0.05		3459	4.07		706	0.83		3096	3.64		1027	1.21		94	0.11		3968	4.67		33137	38.99		562	0.66		7562	8.9		55	0.06		84985	96.99		2637	3.01		87622	94.86
