House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Dawson																								
				PUKALLUS			JONES			KELLY			FEENEY			ELLUL			OFFIELD			ROBINSON		
		TOTAL							103	38.43		138	51.49								27	10.07		268
	SIXTH								17	62.96		10	37.04									Excluded		27
		TOTAL							120	44.78		148	55.22											268
									Elected															
																								
Brandon                                                        																								
	FIRST		8	0.98		19	2.33		445	54.47		233	28.52		6	0.73		15	1.84		91	11.14		817
	SECOND			Excluded		5	62.50		0	0.00		2	25.00		1	12.50		0	0.00		0	0.00		8
		TOTAL				24	2.94		445	54.47		235	28.76		7	0.86		15	1.84		91	11.14		817
	THIRD					2	28.57		1	14.29		0	0.00			Excluded		2	28.57		2	28.57		7
		TOTAL				26	3.18		446	54.59		235	28.76					17	2.08		93	11.38		817
	FOURTH					3	17.65		3	17.65		6	35.29						Excluded		5	29.41		17
		TOTAL				29	3.55		449	54.96		241	29.50								98	12.00		817
	FIFTH						Excluded		11	37.93		10	34.48								8	27.59		29
		TOTAL							460	56.30		251	30.72								106	12.97		817
	SIXTH								50	47.17		56	52.83									Excluded		106
		TOTAL							510	62.42		307	37.58											817
									Elected															
																								
Brisbane City (Dawson)                                         																								
	FIRST		1	1.30		3	3.90		39	50.65		19	24.68		3	3.90		10	12.99		2	2.60		77
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				4	5.19		39	50.65		19	24.68		3	3.90		10	12.99		2	2.60		77
	THIRD					1	33.33		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		3
		TOTAL				5	6.49		40	51.95		19	24.68					11	14.29		2	2.60		77
	FOURTH					6	54.55		0	0.00		2	18.18						Excluded		3	27.27		11
		TOTAL				11	14.29		40	51.95		21	27.27								5	6.49		77
	FIFTH						Excluded		4	36.36		7	63.64								0	0.00		11
		TOTAL							44	57.14		28	36.36								5	6.49		77
	SIXTH								4	80.00		1	20.00									Excluded		5
		TOTAL							48	62.34		29	37.66											77
									Elected															
																								
Bucasia                                                        																								
	FIRST		6	0.41		74	5.10		644	44.41		532	36.69		21	1.45		78	5.38		95	6.55		1450
	SECOND			Excluded		4	66.67		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00		6
		TOTAL				78	5.38		644	44.41		532	36.69		22	1.52		79	5.45		95	6.55		1450
	THIRD					4	18.18		1	4.55		8	36.36			Excluded		5	22.73		4	18.18		22
		TOTAL				82	5.66		645	44.48		540	37.24					84	5.79		99	6.83		1450
	FOURTH					36	42.86		14	16.67		26	30.95						Excluded		8	9.52		84
		TOTAL				118	8.14		659	45.45		566	39.03								107	7.38		1450
	FIFTH						Excluded		38	32.20		65	55.08								15	12.71		118
		TOTAL							697	48.07		631	43.52								122	8.41		1450
	SIXTH								67	54.92		55	45.08									Excluded		122
		TOTAL							764	52.69		686	47.31											1450
									Elected															
																								
Calen                                                          																								
	FIRST		2	0.39		5	0.98		300	58.82		131	25.69		7	1.37		10	1.96		55	10.78		510
	SECOND			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL				6	1.18		300	58.82		131	25.69		7	1.37		10	1.96		56	10.98		510
	THIRD					0	0.00		1	14.29		4	57.14			Excluded		2	28.57		0	0.00		7
		TOTAL				6	1.18		301	59.02		135	26.47					12	2.35		56	10.98		510
	FOURTH					3	25.00		3	25.00		3	25.00						Excluded		3	25.00		12
		TOTAL				9	1.76		304	59.61		138	27.06								59	11.57		510
	FIFTH						Excluded		4	44.44		4	44.44								1	11.11		9
		TOTAL							308	60.39		142	27.84								60	11.76		510
	SIXTH								38	63.33		22	36.67									Excluded		60
		TOTAL							346	67.84		164	32.16											510
									Elected															
																								
Canberra Street                                                																								
	FIRST		8	1.18		15	2.21		274	40.41		311	45.87		9	1.33		4	0.59		57	8.41		678
	SECOND			Excluded		4	50.00		2	25.00		0	0.00		1	12.50		0	0.00		1	12.50		8
		TOTAL				19	2.80		276	40.71		311	45.87		10	1.47		4	0.59		58	8.55		678
	THIRD					3	30.00		2	20.00		1	10.00			Excluded		2	20.00		2	20.00		10
		TOTAL				22	3.24		278	41.00		312	46.02					6	0.88		60	8.85		678
	FOURTH					2	33.33		0	0.00		2	33.33						Excluded		2	33.33		6
		TOTAL				24	3.54		278	41.00		314	46.31								62	9.14		678
	FIFTH						Excluded		12	50.00		8	33.33								4	16.67		24
		TOTAL							290	42.77		322	47.49								66	9.73		678
	SIXTH								33	50.00		33	50.00									Excluded		66
		TOTAL							323	47.64		355	52.36											678
									Elected															
																								
Cannonvale Beach                                               																								
	FIRST		24	0.93		117	4.53		1456	56.41		678	26.27		29	1.12		124	4.80		153	5.93		2581
	SECOND			Excluded		16	66.67		5	20.83		0	0.00		1	4.17		1	4.17		1	4.17		24
		TOTAL				133	5.15		1461	56.61		678	26.27		30	1.16		125	4.84		154	5.97		2581
	THIRD					9	30.00		5	16.67		2	6.67			Excluded		8	26.67		6	20.00		30
		TOTAL				142	5.50		1466	56.80		680	26.35					133	5.15		160	6.20		2581
	FOURTH					68	51.13		28	21.05		27	20.30						Excluded		10	7.52		133
		TOTAL				210	8.14		1494	57.88		707	27.39								170	6.59		2581
	FIFTH						Excluded		64	30.48		127	60.48								19	9.05		210
		TOTAL							1558	60.36		834	32.31								189	7.32		2581
	SIXTH								87	46.03		102	53.97									Excluded		189
		TOTAL							1645	63.73		936	36.27											2581
									Elected															
																								
Carmila                                                        																								
	FIRST		0	0.00		3	1.35		116	52.02		60	26.91		5	2.24		3	1.35		36	16.14		223
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				3	1.35		116	52.02		60	26.91		5	2.24		3	1.35		36	16.14		223
	THIRD					1	20.00		2	40.00		0	0.00			Excluded		0	0.00		2	40.00		5
		TOTAL				4	1.79		118	52.91		60	26.91					3	1.35		38	17.04		223
	FOURTH					1	33.33		1	33.33		1	33.33						Excluded		0	0.00		3
		TOTAL				5	2.24		119	53.36		61	27.35								38	17.04		223
	FIFTH						Excluded		3	60.00		1	20.00								1	20.00		5
		TOTAL							122	54.71		62	27.80								39	17.49		223
	SIXTH								20	51.28		19	48.72									Excluded		39
		TOTAL							142	63.68		81	36.32											223
									Elected															
																								
Chelona                                                        																								
	FIRST		2	0.45		4	0.91		272	61.68		103	23.36		4	0.91		7	1.59		49	11.11		441
	SECOND			Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				6	1.36		272	61.68		103	23.36		4	0.91		7	1.59		49	11.11		441
	THIRD					1	25.00		1	25.00		0	0.00			Excluded		1	25.00		1	25.00		4
		TOTAL				7	1.59		273	61.90		103	23.36					8	1.81		50	11.34		441
	FOURTH					1	12.50		3	37.50		3	37.50						Excluded		1	12.50		8
		TOTAL				8	1.81		276	62.59		106	24.04								51	11.56		441
	FIFTH						Excluded		3	37.50		5	62.50								0	0.00		8
		TOTAL							279	63.27		111	25.17								51	11.56		441
	SIXTH								35	68.63		16	31.37									Excluded		51
		TOTAL							314	71.20		127	28.80											441
									Elected															
																								
Clare                                                          																								
	FIRST		1	0.37		1	0.37		211	78.44		31	11.52		0	0.00		1	0.37		24	8.92		269
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				2	0.74		211	78.44		31	11.52		0	0.00		1	0.37		24	8.92		269
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL				2	0.74		211	78.44		31	11.52					1	0.37		24	8.92		269
	FOURTH					1	100.00		0	0.00		0	0.00						Excluded		0	0.00		1
		TOTAL				3	1.12		211	78.44		31	11.52								24	8.92		269
	FIFTH						Excluded		2	66.67		1	33.33								0	0.00		3
		TOTAL							213	79.18		32	11.90								24	8.92		269
	SIXTH								12	50.00		12	50.00									Excluded		24
		TOTAL							225	83.64		44	16.36											269
									Elected															
																								
Coningsby                                                      																								
	FIRST		0	0.00		12	1.83		404	61.77		154	23.55		8	1.22		13	1.99		63	9.63		654
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				12	1.83		404	61.77		154	23.55		8	1.22		13	1.99		63	9.63		654
	THIRD					0	0.00		0	0.00		2	25.00			Excluded		2	25.00		4	50.00		8
		TOTAL				12	1.83		404	61.77		156	23.85					15	2.29		67	10.24		654
	FOURTH					8	53.33		1	6.67		2	13.33						Excluded		4	26.67		15
		TOTAL				20	3.06		405	61.93		158	24.16								71	10.86		654
	FIFTH						Excluded		6	30.00		12	60.00								2	10.00		20
		TOTAL							411	62.84		170	25.99								73	11.16		654
	SIXTH								37	50.68		36	49.32									Excluded		73
		TOTAL							448	68.50		206	31.50											654
									Elected															
																								
Conway Beach                                                   																								
	FIRST		1	0.53		7	3.74		114	60.96		56	29.95		1	0.53		2	1.07		6	3.21		187
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				8	4.28		114	60.96		56	29.95		1	0.53		2	1.07		6	3.21		187
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1
		TOTAL				8	4.28		114	60.96		56	29.95					3	1.60		6	3.21		187
	FOURTH					1	33.33		0	0.00		0	0.00						Excluded		2	66.67		3
		TOTAL				9	4.81		114	60.96		56	29.95								8	4.28		187
	FIFTH						Excluded		2	22.22		6	66.67								1	11.11		9
		TOTAL							116	62.03		62	33.16								9	4.81		187
	SIXTH								8	88.89		1	11.11									Excluded		9
		TOTAL							124	66.31		63	33.69											187
									Elected															
																								
Cunningham Home                                                																								
	FIRST		1	0.25		8	2.02		197	49.75		150	37.88		1	0.25		7	1.77		32	8.08		396
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				9	2.27		197	49.75		150	37.88		1	0.25		7	1.77		32	8.08		396
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1
		TOTAL				9	2.27		197	49.75		150	37.88					8	2.02		32	8.08		396
	FOURTH					1	12.50		1	12.50		5	62.50						Excluded		1	12.50		8
		TOTAL				10	2.53		198	50.00		155	39.14								33	8.33		396
	FIFTH						Excluded		5	50.00		3	30.00								2	20.00		10
		TOTAL							203	51.26		158	39.90								35	8.84		396
	SIXTH								19	54.29		16	45.71									Excluded		35
		TOTAL							222	56.06		174	43.94											396
									Elected															
																								
Dundula                                                        																								
	FIRST		9	1.29		14	2.00		276	39.43		307	43.86		14	2.00		11	1.57		69	9.86		700
	SECOND			Excluded		7	77.78		1	11.11		1	11.11		0	0.00		0	0.00		0	0.00		9
		TOTAL				21	3.00		277	39.57		308	44.00		14	2.00		11	1.57		69	9.86		700
	THIRD					1	7.14		4	28.57		2	14.29			Excluded		3	21.43		4	28.57		14
		TOTAL				22	3.14		281	40.14		310	44.29					14	2.00		73	10.43		700
	FOURTH					4	28.57		1	7.14		4	28.57						Excluded		5	35.71		14
		TOTAL				26	3.71		282	40.29		314	44.86								78	11.14		700
	FIFTH						Excluded		14	53.85		7	26.92								5	19.23		26
		TOTAL							296	42.29		321	45.86								83	11.86		700
	SIXTH								43	51.81		40	48.19									Excluded		83
		TOTAL							339	48.43		361	51.57											700
									Elected															
																								
East Ayr                                                       																								
	FIRST		18	1.03		24	1.37		906	51.62		562	32.02		17	0.97		38	2.17		190	10.83		1755
	SECOND			Excluded		14	77.78		4	22.22		0	0.00		0	0.00		0	0.00		0	0.00		18
		TOTAL				38	2.17		910	51.85		562	32.02		17	0.97		38	2.17		190	10.83		1755
	THIRD					2	11.76		4	23.53		3	17.65			Excluded		5	29.41		3	17.65		17
		TOTAL				40	2.28		914	52.08		565	32.19					43	2.45		193	11.00		1755
	FOURTH					18	41.86		7	16.28		10	23.26						Excluded		8	18.60		43
		TOTAL				58	3.30		921	52.48		575	32.76								201	11.45		1755
	FIFTH						Excluded		34	58.62		17	29.31								7	12.07		58
		TOTAL							955	54.42		592	33.73								208	11.85		1755
	SIXTH								89	42.79		119	57.21									Excluded		208
		TOTAL							1044	59.49		711	40.51											1755
									Elected															
																								
Eimeo                                                          																								
	FIRST		20	0.83		81	3.35		1239	51.26		810	33.51		45	1.86		68	2.81		154	6.37		2417
	SECOND			Excluded		9	45.00		4	20.00		1	5.00		3	15.00		1	5.00		2	10.00		20
		TOTAL				90	3.72		1243	51.43		811	33.55		48	1.99		69	2.85		156	6.45		2417
	THIRD					5	10.42		8	16.67		9	18.75			Excluded		17	35.42		9	18.75		48
		TOTAL				95	3.93		1251	51.76		820	33.93					86	3.56		165	6.83		2417
	FOURTH					31	36.05		22	25.58		22	25.58						Excluded		11	12.79		86
		TOTAL				126	5.21		1273	52.67		842	34.84								176	7.28		2417
	FIFTH						Excluded		43	34.13		67	53.17								16	12.70		126
		TOTAL							1316	54.45		909	37.61								192	7.94		2417
	SIXTH								81	42.19		111	57.81									Excluded		192
		TOTAL							1397	57.80		1020	42.20											2417
									Elected															
																								
Emmanuel                                                       																								
	FIRST		8	0.52		23	1.50		901	58.70		451	29.38		19	1.24		49	3.19		84	5.47		1535
	SECOND			Excluded		4	50.00		3	37.50		0	0.00		0	0.00		0	0.00		1	12.50		8
		TOTAL				27	1.76		904	58.89		451	29.38		19	1.24		49	3.19		85	5.54		1535
	THIRD					8	42.11		3	15.79		3	15.79			Excluded		4	21.05		1	5.26		19
		TOTAL				35	2.28		907	59.09		454	29.58					53	3.45		86	5.60		1535
	FOURTH					25	47.17		15	28.30		9	16.98						Excluded		4	7.55		53
		TOTAL				60	3.91		922	60.07		463	30.16								90	5.86		1535
	FIFTH						Excluded		22	36.67		28	46.67								10	16.67		60
		TOTAL							944	61.50		491	31.99								100	6.51		1535
	SIXTH								46	46.00		54	54.00									Excluded		100
		TOTAL							990	64.50		545	35.50											1535
									Elected															
																								
Eton                                                           																								
	FIRST		6	1.24		12	2.49		265	54.98		126	26.14		8	1.66		7	1.45		58	12.03		482
	SECOND			Excluded		3	50.00		0	0.00		0	0.00		1	16.67		1	16.67		1	16.67		6
		TOTAL				15	3.11		265	54.98		126	26.14		9	1.87		8	1.66		59	12.24		482
	THIRD					3	33.33		1	11.11		2	22.22			Excluded		1	11.11		2	22.22		9
		TOTAL				18	3.73		266	55.19		128	26.56					9	1.87		61	12.66		482
	FOURTH					4	44.44		1	11.11		3	33.33						Excluded		1	11.11		9
		TOTAL				22	4.56		267	55.39		131	27.18								62	12.86		482
	FIFTH						Excluded		7	31.82		10	45.45								5	22.73		22
		TOTAL							274	56.85		141	29.25								67	13.90		482
	SIXTH								34	50.75		33	49.25									Excluded		67
		TOTAL							308	63.90		174	36.10											482
									Elected															
																								
Eungella                                                       																								
	FIRST		1	0.52		9	4.69		76	39.58		57	29.69		4	2.08		9	4.69		36	18.75		192
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				10	5.21		76	39.58		57	29.69		4	2.08		9	4.69		36	18.75		192
	THIRD					1	25.00		0	0.00		0	0.00			Excluded		0	0.00		3	75.00		4
		TOTAL				11	5.73		76	39.58		57	29.69					9	4.69		39	20.31		192
	FOURTH					2	22.22		1	11.11		3	33.33						Excluded		3	33.33		9
		TOTAL				13	6.77		77	40.10		60	31.25								42	21.88		192
	FIFTH						Excluded		5	38.46		8	61.54								0	0.00		13
		TOTAL							82	42.71		68	35.42								42	21.88		192
	SIXTH								21	50.00		21	50.00									Excluded		42
		TOTAL							103	53.65		89	46.35											192
									Elected															
																								
Farleigh                                                       																								
	FIRST		7	1.60		14	3.20		220	50.23		134	30.59		13	2.97		13	2.97		37	8.45		438
	SECOND			Excluded		2	28.57		3	42.86		0	0.00		1	14.29		1	14.29		0	0.00		7
		TOTAL				16	3.65		223	50.91		134	30.59		14	3.20		14	3.20		37	8.45		438
	THIRD					5	35.71		1	7.14		5	35.71			Excluded		1	7.14		2	14.29		14
		TOTAL				21	4.79		224	51.14		139	31.74					15	3.42		39	8.90		438
	FOURTH					3	20.00		5	33.33		3	20.00						Excluded		4	26.67		15
		TOTAL				24	5.48		229	52.28		142	32.42								43	9.82		438
	FIFTH						Excluded		9	37.50		12	50.00								3	12.50		24
		TOTAL							238	54.34		154	35.16								46	10.50		438
	SIXTH								23	50.00		23	50.00									Excluded		46
		TOTAL							261	59.59		177	40.41											438
									Elected															
																								
Finch Hatton                                                   																								
	FIRST		4	1.40		12	4.21		144	50.53		91	31.93		5	1.75		4	1.40		25	8.77		285
	SECOND			Excluded		1	25.00		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		4
		TOTAL				13	4.56		146	51.23		91	31.93		6	2.11		4	1.40		25	8.77		285
	THIRD					0	0.00		1	16.67		3	50.00			Excluded		1	16.67		1	16.67		6
		TOTAL				13	4.56		147	51.58		94	32.98					5	1.75		26	9.12		285
	FOURTH					0	0.00		2	40.00		0	0.00						Excluded		3	60.00		5
		TOTAL				13	4.56		149	52.28		94	32.98								29	10.18		285
	FIFTH						Excluded		4	30.77		8	61.54								1	7.69		13
		TOTAL							153	53.68		102	35.79								30	10.53		285
	SIXTH								18	60.00		12	40.00									Excluded		30
		TOTAL							171	60.00		114	40.00											285
									Elected															
																								
Fitzgerald                                                     																								
	FIRST		22	1.05		56	2.68		1013	48.49		721	34.51		40	1.91		76	3.64		161	7.71		2089
	SECOND			Excluded		9	40.91		4	18.18		2	9.09		1	4.55		0	0.00		6	27.27		22
		TOTAL				65	3.11		1017	48.68		723	34.61		41	1.96		76	3.64		167	7.99		2089
	THIRD					4	9.76		11	26.83		11	26.83			Excluded		7	17.07		8	19.51		41
		TOTAL				69	3.30		1028	49.21		734	35.14					83	3.97		175	8.38		2089
	FOURTH					38	45.78		13	15.66		20	24.10						Excluded		12	14.46		83
		TOTAL				107	5.12		1041	49.83		754	36.09								187	8.95		2089
	FIFTH						Excluded		39	36.45		47	43.93								21	19.63		107
		TOTAL							1080	51.70		801	38.34								208	9.96		2089
	SIXTH								87	41.83		121	58.17									Excluded		208
		TOTAL							1167	55.86		922	44.14											2089
									Elected															
																								
Gargett                                                        																								
	FIRST		1	0.27		10	2.68		287	76.94		42	11.26		2	0.54		3	0.80		28	7.51		373
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL				10	2.68		287	76.94		42	11.26		3	0.80		3	0.80		28	7.51		373
	THIRD					1	33.33		0	0.00		0	0.00			Excluded		0	0.00		2	66.67		3
		TOTAL				11	2.95		287	76.94		42	11.26					3	0.80		30	8.04		373
	FOURTH					1	33.33		0	0.00		1	33.33						Excluded		1	33.33		3
		TOTAL				12	3.22		287	76.94		43	11.53								31	8.31		373
	FIFTH						Excluded		4	33.33		5	41.67								3	25.00		12
		TOTAL							291	78.02		48	12.87								34	9.12		373
	SIXTH								21	61.76		13	38.24									Excluded		34
		TOTAL							312	83.65		61	16.35											373
									Elected															
																								
Giru                                                           																								
