Senate - 2001 Election: Queensland																																																
First Preference Votes by Group																																																
By Polling Place																																																
Herbert (90904)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Cranbrook		12	0.48		776	31.32		0	0.00		70	2.82		31	1.25		54	2.18		43	1.74		6	0.24		172	6.94		1106	44.63		25	1.01		178	7.18		5	0.20		2478	97.41		66	2.59		2544	2.94
Cungulla		1	0.68		59	40.14		0	0.00		6	4.08		0	0.00		6	4.08		4	2.72		1	0.68		22	14.97		39	26.53		3	2.04		6	4.08		0	0.00		147	97.35		4	2.65		151	0.17
Currajong		11	0.43		1022	40.11		2	0.08		72	2.83		19	0.75		65	2.55		44	1.73		2	0.08		255	10.01		883	34.65		29	1.14		138	5.42		6	0.24		2548	97.77		58	2.23		2606	3.01
Currajong North		2	0.30		250	37.65		0	0.00		19	2.86		4	0.60		18	2.71		9	1.36		1	0.15		63	9.49		251	37.80		10	1.51		36	5.42		1	0.15		664	97.08		20	2.92		684	0.79
Cutheringa		5	0.52		333	34.72		0	0.00		19	1.98		5	0.52		44	4.59		16	1.67		3	0.31		105	10.95		344	35.87		11	1.15		73	7.61		1	0.10		959	96.00		40	4.00		999	1.16
Deeragun		14	0.69		583	28.76		5	0.25		80	3.95		14	0.69		32	1.58		38	1.87		3	0.15		331	16.33		830	40.95		17	0.84		79	3.90		1	0.05		2027	96.94		64	3.06		2091	2.42
Douglas		0	0.00		123	26.23		0	0.00		24	5.12		4	0.85		28	5.97		14	2.99		1	0.21		19	4.05		206	43.92		4	0.85		44	9.38		2	0.43		469	97.71		11	2.29		480	0.56
Garbutt		6	0.39		738	47.61		2	0.13		31	2.00		11	0.71		40	2.58		25	1.61		3	0.19		151	9.74		437	28.19		28	1.81		74	4.77		4	0.26		1550	95.09		80	4.91		1630	1.89
Heatley		13	0.42		1134	36.62		3	0.10		82	2.65		25	0.81		69	2.23		55	1.78		2	0.06		321	10.36		1165	37.62		44	1.42		180	5.81		4	0.13		3097	97.08		93	2.92		3190	3.69
Hermit Park		9	0.49		730	39.83		2	0.11		55	3.00		10	0.55		66	3.60		35	1.91		3	0.16		179	9.77		583	31.81		21	1.15		133	7.26		7	0.38		1833	96.68		63	3.32		1896	2.19
Hermit Park South		7	0.52		498	37.08		0	0.00		51	3.80		5	0.37		43	3.20		11	0.82		1	0.07		115	8.56		495	36.86		10	0.74		105	7.82		2	0.15		1343	96.07		55	3.93		1398	1.62
Kelso		4	0.19		789	37.91		2	0.10		52	2.50		16	0.77		47	2.26		34	1.63		6	0.29		277	13.31		732	35.18		30	1.44		88	4.23		4	0.19		2081	97.29		58	2.71		2139	2.47
Kirwan		11	0.32		1064	30.63		5	0.14		129	3.71		23	0.66		59	1.70		46	1.32		3	0.09		300	8.64		1619	46.60		41	1.18		170	4.89		4	0.12		3474	97.53		88	2.47		3562	4.12
Kirwan South		8	0.22		1201	33.41		6	0.17		91	2.53		46	1.28		70	1.95		64	1.78		1	0.03		324	9.01		1508	41.95		43	1.20		228	6.34		5	0.14		3595	97.08		108	2.92		3703	4.28
Mount Louisa		11	0.62		584	32.72		2	0.11		50	2.80		41	2.30		26	1.46		25	1.40		0	0.00		181	10.14		765	42.86		13	0.73		85	4.76		2	0.11		1785	97.97		37	2.03		1822	2.11
Mundingburra		10	0.36		910	32.70		3	0.11		79	2.84		20	0.72		120	4.31		54	1.94		5	0.18		210	7.55		1125	40.42		28	1.01		213	7.65		6	0.22		2783	97.61		68	2.39		2851	3.30
Mundingburra South		2	0.15		416	32.17		0	0.00		38	2.94		12	0.93		47	3.63		21	1.62		4	0.31		98	7.58		532	41.14		21	1.62		99	7.66		3	0.23		1293	97.73		30	2.27		1323	1.53
Nelly Bay		2	0.38		147	28.21		0	0.00		16	3.07		7	1.34		47	9.02		8	1.54		1	0.19		42	8.06		196	37.62		4	0.77		49	9.40		2	0.38		521	97.75		12	2.25		533	0.62
Nome		2	0.22		254	28.16		1	0.11		59	6.54		6	0.67		37	4.10		12	1.33		0	0.00		116	12.86		359	39.80		13	1.44		40	4.43		3	0.33		902	96.89		29	3.11		931	1.08
Northern Beaches		7	0.35		666	33.52		2	0.10		73	3.67		36	1.81		75	3.77		37	1.86		1	0.05		291	14.65		686	34.52		35	1.76		76	3.82		2	0.10		1987	97.59		49	2.41		2036	2.35
North Ward		7	0.25		693	25.22		2	0.07		75	2.73		10	0.36		143	5.20		46	1.67		3	0.11		145	5.28		1324	48.18		14	0.51		281	10.23		5	0.18		2748	97.48		71	2.52		2819	3.26
Oonoonba		2	0.18		500	45.79		1	0.09		22	2.01		3	0.27		31	2.84		19	1.74		1	0.09		153	14.01		298	27.29		13	1.19		42	3.85		7	0.64		1092	97.67		26	2.33		1118	1.29
Pallarenda		3	0.60		147	29.46		0	0.00		14	2.81		0	0.00		16	3.21		3	0.60		1	0.20		47	9.42		231	46.29		0	0.00		35	7.01		2	0.40		499	97.65		12	2.35		511	0.59
Palm Island		11	1.54		575	80.65		2	0.28		9	1.26		6	0.84		12	1.68		5	0.70		1	0.14		2	0.28		67	9.40		14	1.96		9	1.26		0	0.00		713	91.88		63	8.12		776	0.90
Picnic Bay		2	0.78		75	29.41		0	0.00		6	2.35		13	5.10		6	2.35		6	2.35		1	0.39		21	8.24		106	41.57		2	0.78		17	6.67		0	0.00		255	98.08		5	1.92		260	0.30
Pimlico		6	0.30		715	35.45		3	0.15		77	3.82		13	0.64		80	3.97		36	1.78		2	0.10		168	8.33		720	35.70		24	1.19		169	8.38		4	0.20		2017	97.96		42	2.04		2059	2.38
Railway Estate		4	0.25		654	41.21		1	0.06		53	3.34		8	0.50		71	4.47		41	2.58		2	0.13		127	8.00		495	31.19		15	0.95		110	6.93		6	0.38		1587	96.47		58	3.53		1645	1.90
Rasmussen		7	0.32		786	35.60		2	0.09		87	3.94		27	1.22		46	2.08		25	1.13		3	0.14		327	14.81		765	34.65		35	1.59		98	4.44		0	0.00		2208	96.55		79	3.45		2287	2.65
Stuart		1	0.16		245	38.64		0	0.00		15	2.37		4	0.63		11	1.74		6	0.95		1	0.16		87	13.72		232	36.59		8	1.26		22	3.47		2	0.32		634	96.65		22	3.35		656	0.76
The Weir		7	0.31		716	32.02		0	0.00		72	3.22		19	0.85		45	2.01		34	1.52		8	0.36		209	9.35		947	42.35		38	1.70		140	6.26		1	0.04		2236	97.60		55	2.40		2291	2.65
Townsville City		2	0.26		251	33.03		1	0.13		24	3.16		4	0.53		50	6.58		18	2.37		2	0.26		39	5.13		296	38.95		6	0.79		65	8.55		2	0.26		760	97.94		16	2.06		776	0.90
Townsville Hospital		1	0.23		175	39.68		1	0.23		16	3.63		8	1.81		20	4.54		5	1.13		2	0.45		28	6.35		155	35.15		4	0.91		26	5.90		0	0.00		441	97.35		12	2.65		453	0.52
Townsville South		4	0.46		375	43.25		3	0.35		32	3.69		6	0.69		44	5.07		15	1.73		0	0.00		86	9.92		235	27.10		5	0.58		60	6.92		2	0.23		867	94.65		49	5.35		916	1.06
Townsville West		5	0.61		257	31.42		1	0.12		24	2.93		9	1.10		57	6.97		20	2.44		5	0.61		62	7.58		312	38.14		8	0.98		57	6.97		1	0.12		818	96.69		28	3.31		846	0.98
Vincent		6	0.35		654	38.16		3	0.18		43	2.51		11	0.64		43	2.51		28	1.63		2	0.12		171	9.98		644	37.57		23	1.34		84	4.90		2	0.12		1714	97.22		49	2.78		1763	2.04
Willows		4	0.23		509	28.74		2	0.11		95	5.36		15	0.85		27	1.52		23	1.30		3	0.17		107	6.04		887	50.08		24	1.36		74	4.18		1	0.06		1771	98.61		25	1.39		1796	2.08
Woodstock		1	0.26		89	23.30		1	0.26		21	5.50		1	0.26		8	2.09		5	1.31		1	0.26		108	28.27		140	36.65		2	0.52		5	1.31		0	0.00		382	94.32		23	5.68		405	0.47
Wulguru		12	0.41		1182	39.93		3	0.10		126	4.26		26	0.88		61	2.06		45	1.52		1	0.03		339	11.45		985	33.28		29	0.98		146	4.93		5	0.17		2960	97.66		71	2.34		3031	3.51
Special Hospitals		4	1.19		158	46.88		2	0.59		28	8.31		2	0.59		1	0.30		0	0.00		0	0.00		12	3.56		124	36.80		2	0.59		4	1.19		0	0.00		337	95.20		17	4.80		354	0.41
Total Ordinary		254	0.35		24630	34.36		71	0.10		2420	3.38		595	0.83		2118	2.95		1140	1.59		100	0.14		6800	9.49		28302	39.48		789	1.10		4334	6.05		126	0.18		71679	97.21		2055	2.79		73734	85.28
ABSENT		14	0.38		1194	32.27		2	0.05		208	5.62		29	0.78		130	3.51		67	1.81		5	0.14		367	9.92		1352	36.54		63	1.70		261	7.05		8	0.22		3700	98.67		50	1.33		3750	4.34
POSTAL		8	0.25		1004	31.86		0	0.00		94	2.98		21	0.67		58	1.84		27	0.86		1	0.03		308	9.77		1408	44.68		29	0.92		186	5.90		7	0.22		3151	98.35		53	1.65		3204	3.71
PRE_POLL		7	0.15		1139	24.70		6	0.13		134	2.91		40	0.87		139	3.01		101	2.19		10	0.22		360	7.81		2345	50.85		40	0.87		288	6.24		3	0.07		4612	99.08		43	0.92		4655	5.38
PROVISIONAL		4	0.37		413	38.31		3	0.28		34	3.15		10	0.93		51	4.73		28	2.60		2	0.19		111	10.30		331	30.71		35	3.25		55	5.10		1	0.09		1078	96.08		44	3.92		1122	1.30
Division Summary		287	0.34		28380	33.7		82	0.1		2890	3.43		695	0.83		2496	2.96		1363	1.62		118	0.14		7946	9.43		33738	40.06		956	1.14		5124	6.08		145	0.17		84220	97.4		2245	2.6		86465	95.12
