House of Representatives - 2001 Election: Queensland																						
Distribution of Preferences 																						
By Polling Place																						
Fisher																						
					TANNOCK			ARMSTRONG			O'DONNELL			MCLEOD			SLIPPER			HOURIGAN		
	THIRD			5	13.89					18	50.00			Excluded		5	13.89		8	22.22		36
		TOTAL		96	6.93					334	24.10					790	57.00		166	11.98		1386
	FOURTH				Excluded					47	48.96					23	23.96		26	27.08		96
		TOTAL								381	27.49					813	58.66		192	13.85		1386
	FIFTH									94	48.96					98	51.04			Excluded		192
		TOTAL								475	34.27					911	65.73					1386
																Elected						
																						
Buderim Pines                                                  																						
	FIRST			75	5.24		65	4.55		303	21.19		36	2.52		825	57.69		126	8.81		1430
	SECOND			2	3.08			Excluded		12	18.46		24	36.92		16	24.62		11	16.92		65
		TOTAL		77	5.38					315	22.03		60	4.20		841	58.81		137	9.58		1430
	THIRD			4	6.67					25	41.67			Excluded		8	13.33		23	38.33		60
		TOTAL		81	5.66					340	23.78					849	59.37		160	11.19		1430
	FOURTH				Excluded					32	39.51					19	23.46		30	37.04		81
		TOTAL								372	26.01					868	60.70		190	13.29		1430
	FIFTH									71	37.37					119	62.63			Excluded		190
		TOTAL								443	30.98					987	69.02					1430
																Elected						
																						
Buderim South                                                  																						
	FIRST			32	3.54		42	4.65		148	16.39		26	2.88		563	62.35		92	10.19		903
	SECOND			1	2.38			Excluded		14	33.33		11	26.19		9	21.43		7	16.67		42
		TOTAL		33	3.65					162	17.94		37	4.10		572	63.34		99	10.96		903
	THIRD			1	2.70					18	48.65			Excluded		7	18.92		11	29.73		37
		TOTAL		34	3.77					180	19.93					579	64.12		110	12.18		903
	FOURTH				Excluded					5	14.71					19	55.88		10	29.41		34
		TOTAL								185	20.49					598	66.22		120	13.29		903
	FIFTH									46	38.33					74	61.67			Excluded		120
		TOTAL								231	25.58					672	74.42					903
																Elected						
																						
Caloundra                                                      																						
	FIRST			276	8.72		119	3.76		979	30.92		103	3.25		1530	48.33		159	5.02		3166
	SECOND			11	9.24			Excluded		20	16.81		62	52.10		13	10.92		13	10.92		119
		TOTAL		287	9.07					999	31.55		165	5.21		1543	48.74		172	5.43		3166
	THIRD			11	6.67					76	46.06			Excluded		16	9.70		62	37.58		165
		TOTAL		298	9.41					1075	33.95					1559	49.24		234	7.39		3166
	FOURTH				Excluded					134	44.97					68	22.82		96	32.21		298
		TOTAL								1209	38.19					1627	51.39		330	10.42		3166
	FIFTH									146	44.24					184	55.76			Excluded		330
		TOTAL								1355	42.80					1811	57.20					3166
																Elected						
																						
Caloundra West                                                 																						
	FIRST			56	8.89		28	4.44		196	31.11		29	4.60		293	46.51		28	4.44		630
	SECOND			2	7.14			Excluded		12	42.86		6	21.43		7	25.00		1	3.57		28
		TOTAL		58	9.21					208	33.02		35	5.56		300	47.62		29	4.60		630
	THIRD			4	11.43					15	42.86			Excluded		5	14.29		11	31.43		35
		TOTAL		62	9.84					223	35.40					305	48.41		40	6.35		630
	FOURTH				Excluded					37	59.68					5	8.06		20	32.26		62
		TOTAL								260	41.27					310	49.21		60	9.52		630
	FIFTH									34	56.67					26	43.33			Excluded		60
		TOTAL								294	46.67					336	53.33					630
																Elected						
																						
Cotton Tree                                                    																						
	FIRST			98	5.77		41	2.41		475	27.97		71	4.18		799	47.06		214	12.60		1698
	SECOND			4	9.76			Excluded		16	39.02		12	29.27		3	7.32		6	14.63		41
		TOTAL		102	6.01					491	28.92		83	4.89		802	47.23		220	12.96		1698
	THIRD			3	3.61					43	51.81			Excluded		16	19.28		21	25.30		83
		TOTAL		105	6.18					534	31.45					818	48.17		241	14.19		1698
	FOURTH				Excluded					45	42.86					24	22.86		36	34.29		105
		TOTAL								579	34.10					842	49.59		277	16.31		1698
	FIFTH									134	48.38					143	51.62			Excluded		277
		TOTAL								713	41.99					985	58.01					1698
																Elected						
																						
Currimundi                                                     																						
	FIRST			265	7.84		137	4.05		1050	31.06		178	5.26		1593	47.12		158	4.67		3381
	SECOND			8	5.84			Excluded		52	37.96		48	35.04		12	8.76		17	12.41		137
		TOTAL		273	8.07					1102	32.59		226	6.68		1605	47.47		175	5.18		3381
	THIRD			20	8.85					110	48.67			Excluded		33	14.60		63	27.88		226
		TOTAL		293	8.67					1212	35.85					1638	48.45		238	7.04		3381
	FOURTH				Excluded					145	49.49					67	22.87		81	27.65		293
		TOTAL								1357	40.14					1705	50.43		319	9.44		3381
	FIFTH									166	52.04					153	47.96			Excluded		319
		TOTAL								1523	45.05					1858	54.95					3381
																Elected						
																						
Currimundi West                                                																						
	FIRST			181	7.65		98	4.14		707	29.88		63	2.66		1200	50.72		117	4.95		2366
	SECOND			3	3.06			Excluded		15	15.31		41	41.84		36	36.73		3	3.06		98
		TOTAL		184	7.78					722	30.52		104	4.40		1236	52.24		120	5.07		2366
	THIRD			11	10.58					52	50.00			Excluded		8	7.69		33	31.73		104
		TOTAL		195	8.24					774	32.71					1244	52.58		153	6.47		2366
	FOURTH				Excluded					101	51.79					42	21.54		52	26.67		195
		TOTAL								875	36.98					1286	54.35		205	8.66		2366
	FIFTH									101	49.27					104	50.73			Excluded		205
		TOTAL								976	41.25					1390	58.75					2366
																Elected						
																						
Diddillibah                                                    																						
	FIRST			54	7.10		33	4.34		156	20.50		40	5.26		395	51.91		83	10.91		761
	SECOND			3	9.09			Excluded		9	27.27		13	39.39		4	12.12		4	12.12		33
		TOTAL		57	7.49					165	21.68		53	6.96		399	52.43		87	11.43		761
	THIRD			3	5.66					18	33.96			Excluded		7	13.21		25	47.17		53
		TOTAL		60	7.88					183	24.05					406	53.35		112	14.72		761
	FOURTH				Excluded					31	51.67					7	11.67		22	36.67		60
		TOTAL								214	28.12					413	54.27		134	17.61		761
	FIFTH									66	49.25					68	50.75			Excluded		134
		TOTAL								280	36.79					481	63.21					761
																Elected						
																						
Eudlo                                                          																						
	FIRST			73	10.22		20	2.80		171	23.95		111	15.55		266	37.25		73	10.22		714
	SECOND			0	0.00			Excluded		3	15.00		11	55.00		4	20.00		2	10.00		20
		TOTAL		73	10.22					174	24.37		122	17.09		270	37.82		75	10.50		714
	THIRD			3	2.46					82	67.21			Excluded		5	4.10		32	26.23		122
		TOTAL		76	10.64					256	35.85					275	38.52		107	14.99		714
	FOURTH				Excluded					32	42.11					14	18.42		30	39.47		76
		TOTAL								288	40.34					289	40.48		137	19.19		714
	FIFTH									73	53.28					64	46.72			Excluded		137
		TOTAL								361	50.56					353	49.44					714
																Elected						
																						
Forest Glen                                                    																						
	FIRST			89	10.80		22	2.67		146	17.72		31	3.76		444	53.88		92	11.17		824
	SECOND			1	4.55			Excluded		11	50.00		4	18.18		3	13.64		3	13.64		22
		TOTAL		90	10.92					157	19.05		35	4.25		447	54.25		95	11.53		824
	THIRD			1	2.86					17	48.57			Excluded		5	14.29		12	34.29		35
		TOTAL		91	11.04					174	21.12					452	54.85		107	12.99		824
	FOURTH				Excluded					22	24.18					27	29.67		42	46.15		91
		TOTAL								196	23.79					479	58.13		149	18.08		824
	FIFTH									69	46.31					80	53.69			Excluded		149
		TOTAL								265	32.16					559	67.84					824
																Elected						
																						
Glenview                                                       																						
	FIRST			61	8.65		32	4.54		139	19.72		22	3.12		398	56.45		53	7.52		705
	SECOND			0	0.00			Excluded		13	40.63		9	28.13		5	15.63		5	15.63		32
		TOTAL		61	8.65					152	21.56		31	4.40		403	57.16		58	8.23		705
	THIRD			4	12.90					10	32.26			Excluded		7	22.58		10	32.26		31
		TOTAL		65	9.22					162	22.98					410	58.16		68	9.65		705
	FOURTH				Excluded					26	40.00					23	35.38		16	24.62		65
		TOTAL								188	26.67					433	61.42		84	11.91		705
	FIFTH									36	42.86					48	57.14			Excluded		84
		TOTAL								224	31.77					481	68.23					705
																Elected						
																						
Golden Beach                                                   																						
	FIRST			294	8.26		78	2.19		1042	29.27		95	2.67		1847	51.88		204	5.73		3560
	SECOND			6	7.69			Excluded		25	32.05		24	30.77		10	12.82		13	16.67		78
		TOTAL		300	8.43					1067	29.97		119	3.34		1857	52.16		217	6.10		3560
	THIRD			4	3.36					64	53.78			Excluded		17	14.29		34	28.57		119
		TOTAL		304	8.54					1131	31.77					1874	52.64		251	7.05		3560
	FOURTH				Excluded					147	48.36					77	25.33		80	26.32		304
		TOTAL								1278	35.90					1951	54.80		331	9.30		3560
	FIFTH									176	53.17					155	46.83			Excluded		331
		TOTAL								1454	40.84					2106	59.16					3560
																Elected						
																						
Kawana Waters                                                  																						
	FIRST			241	8.67		105	3.78		813	29.23		88	3.16		1367	49.15		167	6.01		2781
	SECOND			5	4.76			Excluded		18	17.14		50	47.62		13	12.38		19	18.10		105
		TOTAL		246	8.85					831	29.88		138	4.96		1380	49.62		186	6.69		2781
	THIRD			20	14.49					53	38.41			Excluded		22	15.94		43	31.16		138
		TOTAL		266	9.56					884	31.79					1402	50.41		229	8.23		2781
	FOURTH				Excluded					124	46.62					54	20.30		88	33.08		266
		TOTAL								1008	36.25					1456	52.36		317	11.40		2781
	FIFTH									156	49.21					161	50.79			Excluded		317
		TOTAL								1164	41.86					1617	58.14					2781
																Elected						
																						
Kuluin                                                         																						
	FIRST			156	9.17		63	3.70		476	27.98		74	4.35		774	45.50		158	9.29		1701
	SECOND			6	9.52			Excluded		11	17.46		23	36.51		13	20.63		10	15.87		63
		TOTAL		162	9.52					487	28.63		97	5.70		787	46.27		168	9.88		1701
	THIRD			8	8.25					32	32.99			Excluded		11	11.34		46	47.42		97
		TOTAL		170	9.99					519	30.51					798	46.91		214	12.58		1701
	FOURTH				Excluded					74	43.53					38	22.35		58	34.12		170
		TOTAL								593	34.86					836	49.15		272	15.99		1701
	FIFTH									130	47.79					142	52.21			Excluded		272
		TOTAL								723	42.50					978	57.50					1701
																Elected						
																						
Little Mountain                                                																						
	FIRST			148	10.24		57	3.94		329	22.75		36	2.49		803	55.53		73	5.05		1446
	SECOND			7	12.28			Excluded		18	31.58		11	19.30		13	22.81		8	14.04		57
		TOTAL		155	10.72					347	24.00		47	3.25		816	56.43		81	5.60		1446
	THIRD			2	4.26					20	42.55			Excluded		10	21.28		15	31.91		47
		TOTAL		157	10.86					367	25.38					826	57.12		96	6.64		1446
	FOURTH				Excluded					83	52.87					32	20.38		42	26.75		157
		TOTAL								450	31.12					858	59.34		138	9.54		1446
	FIFTH									51	36.96					87	63.04			Excluded		138
		TOTAL								501	34.65					945	65.35					1446
																Elected						
																						
Maroochydore                                                   																						
	FIRST			154	7.27		106	5.01		590	27.87		86	4.06		1007	47.57		174	8.22		2117
	SECOND			8	7.55			Excluded		18	16.98		51	48.11		14	13.21		15	14.15		106
		TOTAL		162	7.65					608	28.72		137	6.47		1021	48.23		189	8.93		2117
	THIRD			6	4.38					58	42.34			Excluded		23	16.79		50	36.50		137
		TOTAL		168	7.94					666	31.46					1044	49.32		239	11.29		2117
	FOURTH				Excluded					81	48.21					33	19.64		54	32.14		168
		TOTAL								747	35.29					1077	50.87		293	13.84		2117
	FIFTH									131	44.71					162	55.29			Excluded		293
		TOTAL								878	41.47					1239	58.53					2117
																Elected						
																						
Maroochydore East                                              																						
	FIRST			217	7.65		110	3.88		728	25.67		120	4.23		1354	47.74		307	10.83		2836
	SECOND			11	10.00			Excluded		17	15.45		46	41.82		17	15.45		19	17.27		110
		TOTAL		228	8.04					745	26.27		166	5.85		1371	48.34		326	11.50		2836
	THIRD			11	6.63					77	46.39			Excluded		17	10.24		61	36.75		166
		TOTAL		239	8.43					822	28.98					1388	48.94		387	13.65		2836
	FOURTH				Excluded					108	45.19					63	26.36		68	28.45		239
		TOTAL								930	32.79					1451	51.16		455	16.04		2836
	FIFTH									228	50.11					227	49.89			Excluded		455
		TOTAL								1158	40.83					1678	59.17					2836
																Elected						
																						
Minyama                                                        																						
	FIRST			29	4.56		19	2.99		105	16.51		13	2.04		419	65.88		51	8.02		636
	SECOND			3	15.79			Excluded		4	21.05		8	42.11		2	10.53		2	10.53		19
		TOTAL		32	5.03					109	17.14		21	3.30		421	66.19		53	8.33		636
	THIRD			1	4.76					6	28.57			Excluded		6	28.57		8	38.10		21
		TOTAL		33	5.19					115	18.08					427	67.14		61	9.59		636
	FOURTH				Excluded					12	36.36					7	21.21		14	42.42		33
		TOTAL								127	19.97					434	68.24		75	11.79		636
	FIFTH									34	45.33					41	54.67			Excluded		75
		TOTAL								161	25.31					475	74.69					636
																Elected						
																						
Mooloolaba                                                     																						
	FIRST			184	5.57		147	4.45		808	24.45		184	5.57		1711	51.77		271	8.20		3305
	SECOND			16	10.88			Excluded		29	19.73		66	44.90		17	11.56		19	12.93		147
		TOTAL		200	6.05					837	25.33		250	7.56		1728	52.28		290	8.77		3305
	THIRD			20	8.00					104	41.60			Excluded		41	16.40		85	34.00		250
		TOTAL		220	6.66					941	28.47					1769	53.52		375	11.35		3305
	FOURTH				Excluded					110	50.00					48	21.82		62	28.18		220
		TOTAL								1051	31.80					1817	54.98		437	13.22		3305
	FIFTH									210	48.05					227	51.95			Excluded		437
		TOTAL								1261	38.15					2044	61.85					3305
																Elected						
																						
Mooloolah                                                      																						
	FIRST			113	10.24		45	4.08		338	30.64		77	6.98		463	41.98		67	6.07		1103
	SECOND			2	4.44			Excluded		12	26.67		15	33.33		8	17.78		8	17.78		45
		TOTAL		115	10.43					350	31.73		92	8.34		471	42.70		75	6.80		1103
	THIRD			4	4.35					52	56.52			Excluded		10	10.87		26	28.26		92
		TOTAL		119	10.79					402	36.45					481	43.61		101	9.16		1103
	FOURTH				Excluded					49	41.18					21	17.65		49	41.18		119
		TOTAL								451	40.89					502	45.51		150	13.60		1103
	FIFTH									78	52.00					72	48.00			Excluded		150
		TOTAL								529	47.96					574	52.04					1103
																Elected						
																						
Mountain Creek                                                 																						
	FIRST			200	6.26		97	3.04		727	22.76		79	2.47		1819	56.95		272	8.52		3194
	SECOND			10	10.31			Excluded		30	30.93		27	27.84		13	13.40		17	17.53		97
		TOTAL		210	6.57					757	23.70		106	3.32		1832	57.36		289	9.05		3194
	THIRD			5	4.72					39	36.79			Excluded		13	12.26		49	46.23		106
		TOTAL		215	6.73					796	24.92					1845	57.76		338	10.58		3194
	FOURTH				Excluded					92	42.79					59	27.44		64	29.77		215
		TOTAL								888	27.80					1904	59.61		402	12.59		3194
	FIFTH									210	52.24					192	47.76			Excluded		402
		TOTAL								1098	34.38					2096	65.62					3194
																Elected						
																						
Ocean View Avenue                                              																						
	FIRST			56	5.48		42	4.11		227	22.23		48	4.70		517	50.64		131	12.83		1021
	SECOND			4	9.52			Excluded		13	30.95		6	14.29		10	23.81		9	21.43		42
		TOTAL		60	5.88					240	23.51		54	5.29		527	51.62		140	13.71		1021
	THIRD			2	3.70					19	35.19			Excluded		13	24.07		20	37.04		54
		TOTAL		62	6.07					259	25.37					540	52.89		160	15.67		1021
	FOURTH				Excluded					28	45.16					11	17.74		23	37.10		62
		TOTAL								287	28.11					551	53.97		183	17.92		1021
	FIFTH									95	51.91					88	48.09			Excluded		183
		TOTAL								382	37.41					639	62.59					1021
																Elected						
																						
Palmwoods                                                      																						
	FIRST			160	8.70		80	4.35		389	21.15		108	5.87		920	50.03		182	9.90		1839
	SECOND			5	6.25			Excluded		10	12.50		42	52.50		11	13.75		12	15.00		80
		TOTAL		165	8.97					399	21.70		150	8.16		931	50.63		194	10.55		1839
	THIRD			7	4.67					82	54.67			Excluded		15	10.00		46	30.67		150
		TOTAL		172	9.35					481	26.16					946	51.44		240	13.05		1839
	FOURTH				Excluded					61	35.47					48	27.91		63	36.63		172
		TOTAL								542	29.47					994	54.05		303	16.48		1839
	FIFTH									143	47.19					160	52.81			Excluded		303
		TOTAL								685	37.25					1154	62.75					1839
																Elected						
																						
Shelly Beach                                                   																						
	FIRST			74	5.35		48	3.47		399	28.85		49	3.54		730	52.78		83	6.00		1383
	SECOND			3	6.25			Excluded		13	27.08		19	39.58		5	10.42		8	16.67		48
		TOTAL		77	5.57					412	29.79		68	4.92		735	53.15		91	6.58		1383
	THIRD			2	2.94					30	44.12			Excluded		9	13.24		27	39.71		68
		TOTAL		79	5.71					442	31.96					744	53.80		118	8.53		1383
	FOURTH				Excluded					24	30.38					26	32.91		29	36.71		79
		TOTAL								466	33.69					770	55.68		147	10.63		1383
	FIFTH									75	51.02					72	48.98			Excluded		147
		TOTAL								541	39.12					842	60.88					1383
																Elected						
																						
Sippy Downs                                                    																						
	FIRST			100	5.81		57	3.31		443	25.74		44	2.56		920	53.46		157	9.12		1721
	SECOND			2	3.51			Excluded		22	38.60		6	10.53		14	24.56		13	22.81		57
		TOTAL		102	5.93					465	27.02		50	2.91		934	54.27		170	9.88		1721
	THIRD			5	10.00					17	34.00			Excluded		11	22.00		17	34.00		50
		TOTAL		107	6.22					482	28.01					945	54.91		187	10.87		1721
	FOURTH				Excluded					46	42.99					23	21.50		38	35.51		107
		TOTAL								528	30.68					968	56.25		225	13.07		1721
	FIFTH									94	41.78					131	58.22			Excluded		225
		TOTAL								622	36.14					1099	63.86					1721
																Elected						
																						
Warana                                                         																						
	FIRST			59	9.12		17	2.63		208	32.15		12	1.85		312	48.22		39	6.03		647
	SECOND			1	5.88			Excluded		5	29.41		8	47.06		1	5.88		2	11.76		17
		TOTAL		60	9.27					213	32.92		20	3.09		313	48.38		41	6.34		647
	THIRD			3	15.00					6	30.00			Excluded		2	10.00		9	45.00		20
		TOTAL		63	9.74					219	33.85					315	48.69		50	7.73		647
	FOURTH				Excluded					31	49.21					14	22.22		18	28.57		63
		TOTAL								250	38.64					329	50.85		68	10.51		647
	FIFTH									27	39.71					41	60.29			Excluded		68
		TOTAL								277	42.81					370	57.19					647
																Elected						
																						
Woombye                                                        																						
	FIRST			138	8.48		47	2.89		366	22.48		92	5.65		840	51.60		145	8.91		1628
	SECOND			3	6.38			Excluded		9	19.15		13	27.66		15	31.91		7	14.89		47
		TOTAL		141	8.66					375	23.03		105	6.45		855	52.52		152	9.34		1628
	THIRD			10	9.52					44	41.90			Excluded		16	15.24		35	33.33		105
		TOTAL		151	9.28					419	25.74					871	53.50		187	11.49		1628
	FOURTH				Excluded					48	31.79					45	29.80		58	38.41		151
		TOTAL								467	28.69					916	56.27		245	15.05		1628
	FIFTH									111	45.31					134	54.69			Excluded		245
		TOTAL								578	35.50					1050	64.50					1628
																Elected						
																						
Wurtulla                                                       																						
	FIRST			100	10.85		23	2.49		273	29.61		20	2.17		432	46.85		74	8.03		922
	SECOND			5	21.74			Excluded		7	30.43		5	21.74		3	13.04		3	13.04		23
		TOTAL		105	11.39					280	30.37		25	2.71		435	47.18		77	8.35		922
	THIRD			5	20.00					7	28.00			Excluded		5	20.00		8	32.00		25
		TOTAL		110	11.93					287	31.13					440	47.72		85	9.22		922
	FOURTH				Excluded					61	55.45					20	18.18		29	26.36		110
		TOTAL								348	37.74					460	49.89		114	12.36		922
	FIFTH									57	50.00					57	50.00			Excluded		114
		TOTAL								405	43.93					517	56.07					922
																Elected						
																						
Special Hospital Team 1                                        																						
	FIRST			9	4.79		2	1.06		60	31.91		1	0.53		108	57.45		8	4.26		188
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		9	4.79					61	32.45		1	0.53		109	57.98		8	4.26		188
	THIRD			0	0.00					1	100.00			Excluded		0	0.00		0	0.00		1
		TOTAL		9	4.79					62	32.98					109	57.98		8	4.26		188
	FOURTH				Excluded					5	55.56					2	22.22		2	22.22		9
		TOTAL								67	35.64					111	59.04		10	5.32		188
	FIFTH									5	50.00					5	50.00			Excluded		10
		TOTAL								72	38.30					116	61.70					188
																Elected						
																						
Special Hospital Team 2                                        																						
	FIRST			9	6.34		4	2.82		32	22.54		5	3.52		85	59.86		7	4.93		142
	SECOND			1	25.00			Excluded		2	50.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		10	7.04					34	23.94		5	3.52		86	60.56		7	4.93		142
	THIRD			1	20.00					3	60.00			Excluded		0	0.00		1	20.00		5
		TOTAL		11	7.75					37	26.06					86	60.56		8	5.63		142
	FOURTH				Excluded					7	63.64					3	27.27		1	9.09		11
		TOTAL								44	30.99					89	62.68		9	6.34		142
	FIFTH									5	55.56					4	44.44			Excluded		9
		TOTAL								49	34.51					93	65.49					142
																Elected						
																						
ABSENT																						
	FIRST			332	8.19		250	6.17		954	23.54		282	6.96		1980	48.86		254	6.27		4052
	SECOND			16	6.40			Excluded		64	25.60		105	42.00		39	15.60		26	10.40		250
		TOTAL		348	8.59					1018	25.12		387	9.55		2019	49.83		280	6.91		4052
	THIRD			25	6.46					155	40.05			Excluded		67	17.31		140	36.18		387
		TOTAL		373	9.21					1173	28.95					2086	51.48		420	10.37		4052
	FOURTH				Excluded					129	34.58					110	29.49		134	35.92		373
		TOTAL								1302	32.13					2196	54.20		554	13.67		4052
	FIFTH									281	50.72					273	49.28			Excluded		554
		TOTAL								1583	39.07					2469	60.93					4052
																Elected						
																						
POSTAL																						
	FIRST			301	7.46		111	2.75		866	21.47		71	1.76		2459	60.97		225	5.58		4033
	SECOND			10	9.01			Excluded		34	30.63		33	29.73		19	17.12		15	13.51		111
		TOTAL		311	7.71					900	22.32		104	2.58		2478	61.44		240	5.95		4033
	THIRD			8	7.69					38	36.54			Excluded		21	20.19		37	35.58		104
