House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Griffith																										
					ROOKE			MCMAHON			WILSON			VASTA			RENDELL			GRAHAM			RUDD			
	SECOND				Excluded		0	0.00		0	0.00		2	40.00		2	40.00		0	0.00		1	20.00		5	
		TOTAL					10	2.30		34	7.82		136	31.26		46	10.57		5	1.15		204	46.90		435	
	THIRD						0	0.00		0	0.00		3	60.00		0	0.00			Excluded		2	40.00		5	
		TOTAL					10	2.30		34	7.82		139	31.95		46	10.57					206	47.36		435	
	FOURTH							Excluded		5	50.00		5	50.00		0	0.00					0	0.00		10	
		TOTAL								39	8.97		144	33.10		46	10.57					206	47.36		435	
	FIFTH										Excluded		10	25.64		21	53.85					8	20.51		39	
		TOTAL											154	35.40		67	15.40					214	49.20		435	
	SIXTH												18	26.87			Excluded					49	73.13		67	
		TOTAL											172	39.54								263	60.46		435	
																						Elected				
																										
Broadwater                                                     																										
	FIRST			0	0.00		13	4.08		2	0.63		108	33.86		12	3.76		11	3.45		173	54.23		319	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					13	4.08		2	0.63		108	33.86		12	3.76		11	3.45		173	54.23		319	
	THIRD						0	0.00		0	0.00		8	72.73		0	0.00			Excluded		3	27.27		11	
		TOTAL					13	4.08		2	0.63		116	36.36		12	3.76					176	55.17		319	
	FOURTH							Excluded		7	53.85		3	23.08		0	0.00					3	23.08		13	
		TOTAL								9	2.82		119	37.30		12	3.76					179	56.11		319	
	FIFTH										Excluded		1	11.11		5	55.56					3	33.33		9	
		TOTAL											120	37.62		17	5.33					182	57.05		319	
	SIXTH												6	35.29			Excluded					11	64.71		17	
		TOTAL											126	39.50								193	60.50		319	
																						Elected				
																										
Bulimba                                                        																										
	FIRST			16	0.44		58	1.59		168	4.60		1366	37.42		172	4.71		59	1.62		1811	49.62		3650	
	SECOND				Excluded		9	56.25		5	31.25		0	0.00		1	6.25		0	0.00		1	6.25		16	
		TOTAL					67	1.84		173	4.74		1366	37.42		173	4.74		59	1.62		1812	49.64		3650	
	THIRD						2	3.39		3	5.08		48	81.36		1	1.69			Excluded		5	8.47		59	
		TOTAL					69	1.89		176	4.82		1414	38.74		174	4.77					1817	49.78		3650	
	FOURTH							Excluded		23	33.33		23	33.33		6	8.70					17	24.64		69	
		TOTAL								199	5.45		1437	39.37		180	4.93					1834	50.25		3650	
	FIFTH										Excluded		29	14.57		83	41.71					87	43.72		199	
		TOTAL											1466	40.16		263	7.21					1921	52.63		3650	
	SIXTH												78	29.66			Excluded					185	70.34		263	
		TOTAL											1544	42.30								2106	57.70		3650	
																						Elected				
																										
Camp Hill                                                      																										
	FIRST			10	0.40		36	1.45		112	4.52		951	38.39		125	5.05		38	1.53		1205	48.65		2477	
	SECOND				Excluded		2	20.00		4	40.00		2	20.00		1	10.00		0	0.00		1	10.00		10	
		TOTAL					38	1.53		116	4.68		953	38.47		126	5.09		38	1.53		1206	48.69		2477	
	THIRD						0	0.00		1	2.63		30	78.95		2	5.26			Excluded		5	13.16		38	
		TOTAL					38	1.53		117	4.72		983	39.69		128	5.17					1211	48.89		2477	
	FOURTH							Excluded		5	13.16		16	42.11		5	13.16					12	31.58		38	
		TOTAL								122	4.93		999	40.33		133	5.37					1223	49.37		2477	
	FIFTH										Excluded		19	15.57		57	46.72					46	37.70		122	
		TOTAL											1018	41.10		190	7.67					1269	51.23		2477	
	SIXTH												60	31.58			Excluded					130	68.42		190	
		TOTAL											1078	43.52								1399	56.48		2477	
																						Elected				
																										
Camp Hill High                                                 																										
	FIRST			7	0.35		52	2.62		59	2.98		837	42.23		96	4.84		36	1.82		895	45.16		1982	
	SECOND				Excluded		1	14.29		2	28.57		0	0.00		1	14.29		1	14.29		2	28.57		7	
		TOTAL					53	2.67		61	3.08		837	42.23		97	4.89		37	1.87		897	45.26		1982	
	THIRD						1	2.70		1	2.70		30	81.08		0	0.00			Excluded		5	13.51		37	
		TOTAL					54	2.72		62	3.13		867	43.74		97	4.89					902	45.51		1982	
	FOURTH							Excluded		15	27.78		21	38.89		4	7.41					14	25.93		54	
		TOTAL								77	3.88		888	44.80		101	5.10					916	46.22		1982	
	FIFTH										Excluded		16	20.78		37	48.05					24	31.17		77	
		TOTAL											904	45.61		138	6.96					940	47.43		1982	
	SIXTH												29	21.01			Excluded					109	78.99		138	
		TOTAL											933	47.07								1049	52.93		1982	
																						Elected				
																										
Cannon Hill                                                    																										
	FIRST			12	0.36		96	2.89		100	3.01		917	27.59		169	5.08		43	1.29		1987	59.78		3324	
	SECOND				Excluded		6	50.00		2	16.67		1	8.33		2	16.67		0	0.00		1	8.33		12	
		TOTAL					102	3.07		102	3.07		918	27.62		171	5.14		43	1.29		1988	59.81		3324	
	THIRD						3	6.98		3	6.98		30	69.77		3	6.98			Excluded		4	9.30		43	
		TOTAL					105	3.16		105	3.16		948	28.52		174	5.23					1992	59.93		3324	
	FOURTH							Excluded		31	29.52		41	39.05		6	5.71					27	25.71		105	
		TOTAL								136	4.09		989	29.75		180	5.42					2019	60.74		3324	
	FIFTH										Excluded		28	20.59		55	40.44					53	38.97		136	
		TOTAL											1017	30.60		235	7.07					2072	62.33		3324	
	SIXTH												59	25.11			Excluded					176	74.89		235	
		TOTAL											1076	32.37								2248	67.63		3324	
																						Elected				
																										
Carina                                                         																										
	FIRST			17	0.78		70	3.23		43	1.98		688	31.71		106	4.88		45	2.07		1201	55.35		2170	
	SECOND				Excluded		6	35.29		6	35.29		0	0.00		2	11.76		0	0.00		3	17.65		17	
		TOTAL					76	3.50		49	2.26		688	31.71		108	4.98		45	2.07		1204	55.48		2170	
	THIRD						3	6.67		2	4.44		32	71.11		6	13.33			Excluded		2	4.44		45	
		TOTAL					79	3.64		51	2.35		720	33.18		114	5.25					1206	55.58		2170	
	FOURTH							Excluded		25	31.65		24	30.38		5	6.33					25	31.65		79	
		TOTAL								76	3.50		744	34.29		119	5.48					1231	56.73		2170	
	FIFTH										Excluded		16	21.05		34	44.74					26	34.21		76	
		TOTAL											760	35.02		153	7.05					1257	57.93		2170	
	SIXTH												52	33.99			Excluded					101	66.01		153	
		TOTAL											812	37.42								1358	62.58		2170	
																						Elected				
																										
Carina Heights                                                 																										
	FIRST			19	0.73		81	3.10		69	2.64		947	36.26		111	4.25		39	1.49		1346	51.53		2612	
	SECOND				Excluded		11	57.89		3	15.79		1	5.26		2	10.53		1	5.26		1	5.26		19	
		TOTAL					92	3.52		72	2.76		948	36.29		113	4.33		40	1.53		1347	51.57		2612	
	THIRD						4	10.00		2	5.00		29	72.50		1	2.50			Excluded		4	10.00		40	
		TOTAL					96	3.68		74	2.83		977	37.40		114	4.36					1351	51.72		2612	
	FOURTH							Excluded		33	34.38		27	28.13		6	6.25					30	31.25		96	
		TOTAL								107	4.10		1004	38.44		120	4.59					1381	52.87		2612	
	FIFTH										Excluded		29	27.10		52	48.60					26	24.30		107	
		TOTAL											1033	39.55		172	6.58					1407	53.87		2612	
	SIXTH												47	27.33			Excluded					125	72.67		172	
		TOTAL											1080	41.35								1532	58.65		2612	
																						Elected				
																										
Carindale                                                      																										
	FIRST			12	0.28		110	2.57		97	2.26		1717	40.08		145	3.38		76	1.77		2127	49.65		4284	
	SECOND				Excluded		9	75.00		0	0.00		0	0.00		2	16.67		1	8.33		0	0.00		12	
		TOTAL					119	2.78		97	2.26		1717	40.08		147	3.43		77	1.80		2127	49.65		4284	
	THIRD						6	7.79		0	0.00		59	76.62		5	6.49			Excluded		7	9.09		77	
		TOTAL					125	2.92		97	2.26		1776	41.46		152	3.55					2134	49.81		4284	
	FOURTH							Excluded		54	43.20		35	28.00		10	8.00					26	20.80		125	
		TOTAL								151	3.52		1811	42.27		162	3.78					2160	50.42		4284	
	FIFTH										Excluded		27	17.88		78	51.66					46	30.46		151	
		TOTAL											1838	42.90		240	5.60					2206	51.49		4284	
	SIXTH												107	44.58			Excluded					133	55.42		240	
		TOTAL											1945	45.40								2339	54.60		4284	
																						Elected				
																										
Cavendish Road                                                 																										
	FIRST			11	0.64		42	2.45		75	4.37		654	38.11		82	4.78		29	1.69		823	47.96		1716	
	SECOND				Excluded		5	45.45		2	18.18		0	0.00		3	27.27		1	9.09		0	0.00		11	
		TOTAL					47	2.74		77	4.49		654	38.11		85	4.95		30	1.75		823	47.96		1716	
	THIRD						1	3.33		1	3.33		24	80.00		3	10.00			Excluded		1	3.33		30	
		TOTAL					48	2.80		78	4.55		678	39.51		88	5.13					824	48.02		1716	
	FOURTH							Excluded		14	29.17		24	50.00		4	8.33					6	12.50		48	
		TOTAL								92	5.36		702	40.91		92	5.36					830	48.37		1716	
	FIFTH										Excluded		18	19.57		36	39.13					38	41.30		92	
		TOTAL											720	41.96		128	7.46					868	50.58		1716	
	SIXTH												37	28.91			Excluded					91	71.09		128	
		TOTAL											757	44.11								959	55.89		1716	
																						Elected				
																										
Chatsworth Road                                                																										
	FIRST			5	0.30		28	1.66		73	4.33		826	49.02		80	4.75		26	1.54		647	38.40		1685	
	SECOND				Excluded		2	40.00		2	40.00		0	0.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL					30	1.78		75	4.45		826	49.02		81	4.81		26	1.54		647	38.40		1685	
	THIRD						0	0.00		0	0.00		21	80.77		4	15.38			Excluded		1	3.85		26	
		TOTAL					30	1.78		75	4.45		847	50.27		85	5.04					648	38.46		1685	
	FOURTH							Excluded		10	33.33		10	33.33		4	13.33					6	20.00		30	
		TOTAL								85	5.04		857	50.86		89	5.28					654	38.81		1685	
	FIFTH										Excluded		6	7.06		50	58.82					29	34.12		85	
		TOTAL											863	51.22		139	8.25					683	40.53		1685	
	SIXTH												32	23.02			Excluded					107	76.98		139	
		TOTAL											895	53.12								790	46.88		1685	
																						Elected				
																										
Coorparoo                                                      																										
	FIRST			25	0.83		62	2.06		170	5.64		1028	34.10		206	6.83		58	1.92		1466	48.62		3015	
	SECOND				Excluded		11	44.00		5	20.00		5	20.00		4	16.00		0	0.00		0	0.00		25	
		TOTAL					73	2.42		175	5.80		1033	34.26		210	6.97		58	1.92		1466	48.62		3015	
	THIRD						3	5.17		4	6.90		42	72.41		1	1.72			Excluded		8	13.79		58	
		TOTAL					76	2.52		179	5.94		1075	35.66		211	7.00					1474	48.89		3015	
	FOURTH							Excluded		40	52.63		20	26.32		5	6.58					11	14.47		76	
		TOTAL								219	7.26		1095	36.32		216	7.16					1485	49.25		3015	
	FIFTH										Excluded		39	17.81		105	47.95					75	34.25		219	
		TOTAL											1134	37.61		321	10.65					1560	51.74		3015	
	SIXTH												105	32.71			Excluded					216	67.29		321	
		TOTAL											1239	41.09								1776	58.91		3015	
																						Elected				
																										
Coorparoo South                                                																										
	FIRST			7	0.81		13	1.51		37	4.29		361	41.83		40	4.63		15	1.74		390	45.19		863	
	SECOND				Excluded		3	42.86		3	42.86		0	0.00		0	0.00		0	0.00		1	14.29		7	
		TOTAL					16	1.85		40	4.63		361	41.83		40	4.63		15	1.74		391	45.31		863	
	THIRD						2	13.33		1	6.67		9	60.00		0	0.00			Excluded		3	20.00		15	
		TOTAL					18	2.09		41	4.75		370	42.87		40	4.63					394	45.65		863	
	FOURTH							Excluded		6	33.33		7	38.89		1	5.56					4	22.22		18	
		TOTAL								47	5.45		377	43.68		41	4.75					398	46.12		863	
	FIFTH										Excluded		10	21.28		22	46.81					15	31.91		47	
		TOTAL											387	44.84		63	7.30					413	47.86		863	
	SIXTH												19	30.16			Excluded					44	69.84		63	
		TOTAL											406	47.05								457	52.95		863	
																						Elected				
																										
Greenmeadows                                                   																										
	FIRST			2	0.19		22	2.14		17	1.65		524	50.97		25	2.43		28	2.72		410	39.88		1028	
	SECOND				Excluded		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL					22	2.14		17	1.65		525	51.07		25	2.43		29	2.82		410	39.88		1028	
	THIRD						0	0.00		2	6.90		25	86.21		1	3.45			Excluded		1	3.45		29	
		TOTAL					22	2.14		19	1.85		550	53.50		26	2.53					411	39.98		1028	
	FOURTH							Excluded		3	13.64		7	31.82		5	22.73					7	31.82		22	
		TOTAL								22	2.14		557	54.18		31	3.02					418	40.66		1028	
	FIFTH										Excluded		5	22.73		8	36.36					9	40.91		22	
		TOTAL											562	54.67		39	3.79					427	41.54		1028	
	SIXTH												22	56.41			Excluded					17	43.59		39	
		TOTAL											584	56.81								444	43.19		1028	
																						Elected				
																										
Greenslopes School (Griffith)                                  																										
	FIRST			13	1.12		31	2.68		64	5.54		403	34.86		93	8.04		22	1.90		530	45.85		1156	
	SECOND				Excluded		3	23.08		5	38.46		2	15.38		0	0.00		0	0.00		3	23.08		13	
		TOTAL					34	2.94		69	5.97		405	35.03		93	8.04		22	1.90		533	46.11		1156	
	THIRD						0	0.00		1	4.55		15	68.18		2	9.09			Excluded		4	18.18		22	
		TOTAL					34	2.94		70	6.06		420	36.33		95	8.22					537	46.45		1156	
	FOURTH							Excluded		11	32.35		9	26.47		4	11.76					10	29.41		34	
		TOTAL								81	7.01		429	37.11		99	8.56					547	47.32		1156	
	FIFTH										Excluded		13	16.05		42	51.85					26	32.10		81	
		TOTAL											442	38.24		141	12.20					573	49.57		1156	
	SIXTH												33	23.40			Excluded					108	76.60		141	
		TOTAL											475	41.09								681	58.91		1156	
																						Elected				
																										
Gumdale (Griffith)                                             																										
	FIRST			10	0.46		101	4.60		55	2.51		1039	47.36		66	3.01		52	2.37		871	39.70		2194	
	SECOND				Excluded		5	50.00		2	20.00		0	0.00		0	0.00		2	20.00		1	10.00		10	
		TOTAL					106	4.83		57	2.60		1039	47.36		66	3.01		54	2.46		872	39.74		2194	
	THIRD						4	7.41		2	3.70		40	74.07		3	5.56			Excluded		5	9.26		54	
		TOTAL					110	5.01		59	2.69		1079	49.18		69	3.14					877	39.97		2194	
	FOURTH							Excluded		25	22.73		47	42.73		10	9.09					28	25.45		110	
		TOTAL								84	3.83		1126	51.32		79	3.60					905	41.25		2194	
	FIFTH										Excluded		28	33.33		34	40.48					22	26.19		84	
		TOTAL											1154	52.60		113	5.15					927	42.25		2194	
	SIXTH												40	35.40			Excluded					73	64.60		113	
		TOTAL											1194	54.42								1000	45.58		2194	
																						Elected				
																										
Holland Park (Griffith)                                        																										
	FIRST			2	0.59		11	3.24		18	5.29		143	42.06		16	4.71		8	2.35		142	41.76		340	
	SECOND				Excluded		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL					11	3.24		18	5.29		144	42.35		16	4.71		9	2.65		142	41.76		340	
	THIRD						0	0.00		1	11.11		7	77.78		0	0.00			Excluded		1	11.11		9	
		TOTAL					11	3.24		19	5.59		151	44.41		16	4.71					143	42.06		340	
	FOURTH							Excluded		4	36.36		4	36.36		1	9.09					2	18.18		11	
		TOTAL								23	6.76		155	45.59		17	5.00					145	42.65		340	
	FIFTH										Excluded		4	17.39		10	43.48					9	39.13		23	
		TOTAL											159	46.76		27	7.94					154	45.29		340	
	SIXTH												8	29.63			Excluded					19	70.37		27	
		TOTAL											167	49.12								173	50.88		340	
																						Elected				
																										
Holland Park School                                            																										
	FIRST			3	0.25		25	2.10		49	4.12		532	44.71		52	4.37		26	2.18		503	42.27		1190	
	SECOND				Excluded		2	66.67		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3	
		TOTAL					27	2.27		49	4.12		533	44.79		52	4.37		26	2.18		503	42.27		1190	
	THIRD						0	0.00		1	3.85		25	96.15		0	0.00			Excluded		0	0.00		26	
		TOTAL					27	2.27		50	4.20		558	46.89		52	4.37					503	42.27		1190	
	FOURTH							Excluded		7	25.93		13	48.15		2	7.41					5	18.52		27	
		TOTAL								57	4.79		571	47.98		54	4.54					508	42.69		1190	
	FIFTH										Excluded		17	29.82		25	43.86					15	26.32		57	
		TOTAL											588	49.41		79	6.64					523	43.95		1190	
	SIXTH												20	25.32			Excluded					59	74.68		79	
		TOTAL											608	51.09								582	48.91		1190	
																						Elected				
																										
Majestic Park                                                  																										
	FIRST			4	0.46		12	1.39		21	2.43		483	55.97		19	2.20		11	1.27		313	36.27		863	
	SECOND				Excluded		2	50.00		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		4	
		TOTAL					14	1.62		22	2.55		483	55.97		19	2.20		12	1.39		313	36.27		863	
	THIRD						2	16.67		2	16.67		8	66.67		0	0.00			Excluded		0	0.00		12	
		TOTAL					16	1.85		24	2.78		491	56.89		19	2.20					313	36.27		863	
	FOURTH							Excluded		3	18.75		10	62.50		1	6.25					2	12.50		16	
		TOTAL								27	3.13		501	58.05		20	2.32					315	36.50		863	
	FIFTH										Excluded		4	14.81		11	40.74					12	44.44		27	
		TOTAL											505	58.52		31	3.59					327	37.89		863	
	SIXTH												5	16.13			Excluded					26	83.87		31	
		TOTAL											510	59.10								353	40.90		863	
																						Elected				
																										
Mansfield (Griffith)                                           																										
	FIRST			26	0.87		58	1.95		54	1.82		1388	46.67		115	3.87		66	2.22		1267	42.60		2974	
	SECOND				Excluded		11	42.31		6	23.08		3	11.54		2	7.69		3	11.54		1	3.85		26	
		TOTAL					69	2.32		60	2.02		1391	46.77		117	3.93		69	2.32		1268	42.64		2974	
	THIRD						3	4.35		1	1.45		52	75.36		6	8.70			Excluded		7	10.14		69	
		TOTAL					72	2.42		61	2.05		1443	48.52		123	4.14					1275	42.87		2974	
	FOURTH							Excluded		23	31.94		30	41.67		3	4.17					16	22.22		72	
		TOTAL								84	2.82		1473	49.53		126	4.24					1291	43.41		2974	
	FIFTH										Excluded		28	33.33		32	38.10					24	28.57		84	
		TOTAL											1501	50.47		158	5.31					1315	44.22		2974	
	SIXTH												48	30.38			Excluded					110	69.62		158	
		TOTAL											1549	52.08								1425	47.92		2974	
																						Elected				
																										
Morningside                                                    																										
	FIRST			14	0.72		60	3.10		67	3.46		605	31.27		89	4.60		31	1.60		1069	55.25		1935	
	SECOND				Excluded		7	50.00		2	14.29		2	14.29		0	0.00		1	7.14		2	14.29		14	
		TOTAL					67	3.46		69	3.57		607	31.37		89	4.60		32	1.65		1071	55.35		1935	
	THIRD						2	6.25		0	0.00		27	84.38		1	3.13			Excluded		2	6.25		32	
		TOTAL					69	3.57		69	3.57		634	32.76		90	4.65					1073	55.45		1935	
	FOURTH							Excluded		37	53.62		15	21.74		4	5.80					13	18.84		69	
		TOTAL								106	5.48		649	33.54		94	4.86					1086	56.12		1935	
	FIFTH										Excluded		21	19.81		61	57.55					24	22.64		106	
		TOTAL											670	34.63		155	8.01					1110	57.36		1935	
	SIXTH												59	38.06			Excluded					96	61.94		155	
		TOTAL											729	37.67								1206	62.33		1935	
																						Elected				
																										
Morningside State School                                       																										
	FIRST			3	0.21		32	2.22		61	4.23		487	33.75		101	7.00		18	1.25		741	51.35		1443	
	SECOND				Excluded		2	66.67		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL					34	2.36		62	4.30		487	33.75		101	7.00		18	1.25		741	51.35		1443	
	THIRD						0	0.00		4	22.22		10	55.56		3	16.67			Excluded		1	5.56		18	
		TOTAL					34	2.36		66	4.57		497	34.44		104	7.21					742	51.42		1443	
	FOURTH							Excluded		10	29.41		15	44.12		3	8.82					6	17.65		34	
		TOTAL								76	5.27		512	35.48		107	7.42					748	51.84		1443	
	FIFTH										Excluded		14	18.42		38	50.00					24	31.58		76	
		TOTAL											526	36.45		145	10.05					772	53.50		1443	
	SIXTH												48	33.10			Excluded					97	66.90		145	
		TOTAL											574	39.78								869	60.22		1443	
																						Elected				
																										
Mount Gravatt (Griffith)                                       																										
	FIRST			15	1.31		35	3.05		61	5.32		443	38.62		69	6.02		30	2.62		494	43.07		1147	
	SECOND				Excluded		7	46.67		4	26.67		0	0.00		1	6.67		1	6.67		2	13.33		15	
		TOTAL					42	3.66		65	5.67		443	38.62		70	6.10		31	2.70		496	43.24		1147	
	THIRD						2	6.45		0	0.00		27	87.10		2	6.45			Excluded		0	0.00		31	
		TOTAL					44	3.84		65	5.67		470	40.98		72	6.28					496	43.24		1147	
	FOURTH							Excluded		18	40.91		9	20.45		9	20.45					8	18.18		44	
		TOTAL								83	7.24		479	41.76		81	7.06					504	43.94		1147	
	FIFTH										Excluded		15	18.07		46	55.42					22	26.51		83	
		TOTAL											494	43.07		127	11.07					526	45.86		1147	
	SIXTH												38	29.92			Excluded					89	70.08		127	
		TOTAL											532	46.38								615	53.62		1147	
																						Elected				
																										
Mount Gravatt East                                             																										
	FIRST			33	0.91		98	2.69		78	2.14		1338	36.72		151	4.14		95	2.61		1851	50.80		3644	
	SECOND				Excluded		14	42.42		7	21.21		3	9.09		3	9.09		1	3.03		5	15.15		33	
		TOTAL					112	3.07		85	2.33		1341	36.80		154	4.23		96	2.63		1856	50.93		3644	
	THIRD						6	6.25		3	3.13		76	79.17		2	2.08			Excluded		9	9.38		96	
		TOTAL					118	3.24		88	2.41		1417	38.89		156	4.28					1865	51.18		3644	
	FOURTH							Excluded		33	27.97		38	32.20		16	13.56					31	26.27		118	
		TOTAL								121	3.32		1455	39.93		172	4.72					1896	52.03		3644	
	FIFTH										Excluded		34	28.10		49	40.50					38	31.40		121	
		TOTAL											1489	40.86		221	6.06					1934	53.07		3644	
	SIXTH												63	28.51			Excluded					158	71.49		221	
		TOTAL											1552	42.59								2092	57.41		3644	
																						Elected				
																										
Mount Thompson                                                 																										
	FIRST			6	0.40		50	3.36		37	2.48		525	35.23		54	3.62		32	2.15		786	52.75		1490	
	SECOND				Excluded		3	50.00		2	33.33		1	16.67		0	0.00		0	0.00		0	0.00		6	
		TOTAL					53	3.56		39	2.62		526	35.30		54	3.62		32	2.15		786	52.75		1490	
	THIRD						1	3.13		0	0.00		25	78.13		1	3.13			Excluded		5	15.63		32	
		TOTAL					54	3.62		39	2.62		551	36.98		55	3.69					791	53.09		1490	
	FOURTH							Excluded		25	46.30		15	27.78		4	7.41					10	18.52		54	
		TOTAL								64	4.30		566	37.99		59	3.96					801	53.76		1490	
	FIFTH										Excluded		10	15.63		40	62.50					14	21.88		64	
		TOTAL											576	38.66		99	6.64					815	54.70		1490	
	SIXTH												40	40.40			Excluded					59	59.60		99	
		TOTAL											616	41.34								874	58.66		1490	
																						Elected				
																										
Mt Petrie (Griffith)                                           																										
	FIRST			5	0.55		22	2.40		10	1.09		486	53.00		31	3.38		25	2.73		338	36.86		917	
	SECOND				Excluded		0	0.00		0	0.00		1	20.00		4	80.00		0	0.00		0	0.00		5	
		TOTAL					22	2.40		10	1.09		487	53.11		35	3.82		25	2.73		338	36.86		917	
	THIRD						2	8.00		1	4.00		17	68.00		1	4.00			Excluded		4	16.00		25	
		TOTAL					24	2.62		11	1.20		504	54.96		36	3.93					342	37.30		917	
	FOURTH							Excluded		3	12.50		12	50.00		2	8.33					7	29.17		24	
		TOTAL								14	1.53		516	56.27		38	4.14					349	38.06		917	
	FIFTH										Excluded		2	14.29		7	50.00					5	35.71		14	
		TOTAL											518	56.49		45	4.91					354	38.60		917	
	SIXTH												19	42.22			Excluded					26	57.78		45	
		TOTAL											537	58.56								380	41.44		917	
																						Elected				
																										
Murarrie                                                       																										
	FIRST			5	0.37		59	4.40		22	1.64		235	17.51		41	3.06		21	1.56		959	71.46		1342	
	SECOND				Excluded		5	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL					64	4.77		22	1.64		235	17.51		41	3.06		21	1.56		959	71.46		1342	
	THIRD						0	0.00		1	4.76		17	80.95		1	4.76			Excluded		2	9.52		21	
		TOTAL					64	4.77		23	1.71		252	18.78		42	3.13					961	71.61		1342	
	FOURTH							Excluded		15	23.44		19	29.69		8	12.50					22	34.38		64	
		TOTAL								38	2.83		271	20.19		50	3.73					983	73.25		1342	
	FIFTH										Excluded		5	13.16		16	42.11					17	44.74		38	
		TOTAL											276	20.57		66	4.92					1000	74.52		1342	
	SIXTH												21	31.82			Excluded					45	68.18		66	
		TOTAL											297	22.13								1045	77.87		1342	
																						Elected				
																										
Norman Creek                                                   																										
	FIRST			8	0.41		38	1.94		67	3.41		678	34.54		90	4.58		38	1.94		1044	53.18		1963	
	SECOND				Excluded		4	50.00		1	12.50		2	25.00		0	0.00		0	0.00		1	12.50		8	
		TOTAL					42	2.14		68	3.46		680	34.64		90	4.58		38	1.94		1045	53.23		1963	
	THIRD						2	5.26		0	0.00		30	78.95		4	10.53			Excluded		2	5.26		38	
		TOTAL					44	2.24		68	3.46		710	36.17		94	4.79					1047	53.34		1963	
	FOURTH							Excluded		16	36.36		13	29.55		3	6.82					12	27.27		44	
		TOTAL								84	4.28		723	36.83		97	4.94					1059	53.95		1963	
	FIFTH										Excluded		22	26.19		37	44.05					25	29.76		84	
		TOTAL											745	37.95		134	6.83					1084	55.22		1963	
	SIXTH												32	23.88			Excluded					102	76.12		134	
		TOTAL											777	39.58								1186	60.42		1963	
																						Elected				
																										
Norman Park                                                    																										
	FIRST			5	0.36		25	1.78		55	3.91		515	36.65		70	4.98		28	1.99		707	50.32		1405	
	SECOND				Excluded		0	0.00		1	20.00		2	40.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL					25	1.78		56	3.99		517	36.80		71	5.05		28	1.99		708	50.39		1405	
	THIRD						0	0.00		0	0.00		25	89.29		1	3.57			Excluded		2	7.14		28	
		TOTAL					25	1.78		56	3.99		542	38.58		72	5.12					710	50.53		1405	
	FOURTH							Excluded		5	20.00		12	48.00		4	16.00					4	16.00		25	
