House of Representatives - 2001 Election: Queensland																		
Distribution of Preferences 																		
By Polling Place																		
																		
																		
Bowman																		
				LAMING			MYATT			SMITH			SMITH			SCIACCA		
	FIRST		932	49.08		85	4.48		35	1.84		84	4.42		763	40.18		1899
	SECOND		9	25.71		3	8.57			Excluded		17	48.57		6	17.14		35
		TOTAL	941	49.55		88	4.63					101	5.32		769	40.49		1899
	THIRD		52	59.09			Excluded					17	19.32		19	21.59		88
		TOTAL	993	52.29								118	6.21		788	41.50		1899
	FOURTH		52	44.07									Excluded		66	55.93		118
		TOTAL	1045	55.03											854	44.97		1899
															Elected			
																		
Lake Sherrin                                                   																		
	FIRST		296	54.92		43	7.98		10	1.86		20	3.71		170	31.54		539
	SECOND		3	30.00		1	10.00			Excluded		5	50.00		1	10.00		10
		TOTAL	299	55.47		44	8.16					25	4.64		171	31.73		539
	THIRD		25	56.82			Excluded					7	15.91		12	27.27		44
		TOTAL	324	60.11								32	5.94		183	33.95		539
	FOURTH		15	46.88									Excluded		17	53.13		32
		TOTAL	339	62.89											200	37.11		539
															Elected			
																		
Lindum                                                         																		
	FIRST		311	32.74		43	4.53		28	2.95		49	5.16		519	54.63		950
	SECOND		2	7.14		2	7.14			Excluded		17	60.71		7	25.00		28
		TOTAL	313	32.95		45	4.74					66	6.95		526	55.37		950
	THIRD		19	42.22			Excluded					13	28.89		13	28.89		45
		TOTAL	332	34.95								79	8.32		539	56.74		950
	FOURTH		28	35.44									Excluded		51	64.56		79
		TOTAL	360	37.89											590	62.11		950
															Elected			
																		
Lota                                                           																		
	FIRST		518	34.28		90	5.96		48	3.18		91	6.02		764	50.56		1511
	SECOND		3	6.25		6	12.50			Excluded		23	47.92		16	33.33		48
		TOTAL	521	34.48		96	6.35					114	7.54		780	51.62		1511
	THIRD		47	48.96			Excluded					17	17.71		32	33.33		96
		TOTAL	568	37.59								131	8.67		812	53.74		1511
	FOURTH		42	32.06									Excluded		89	67.94		131
		TOTAL	610	40.37											901	59.63		1511
															Elected			
																		
Manly                                                          																		
	FIRST		469	48.10		30	3.08		37	3.79		49	5.03		390	40.00		975
	SECOND		4	10.81		5	13.51			Excluded		15	40.54		13	35.14		37
		TOTAL	473	48.51		35	3.59					64	6.56		403	41.33		975
	THIRD		20	57.14			Excluded					9	25.71		6	17.14		35
		TOTAL	493	50.56								73	7.49		409	41.95		975
	FOURTH		20	27.40									Excluded		53	72.60		73
		TOTAL	513	52.62											462	47.38		975
															Elected			
																		
Manly School                                                   																		
	FIRST		630	43.42		67	4.62		71	4.89		68	4.69		615	42.38		1451
	SECOND		9	12.68		3	4.23			Excluded		41	57.75		18	25.35		71
		TOTAL	639	44.04		70	4.82					109	7.51		633	43.63		1451
	THIRD		46	65.71			Excluded					9	12.86		15	21.43		70
		TOTAL	685	47.21								118	8.13		648	44.66		1451
	FOURTH		38	32.20									Excluded		80	67.80		118
		TOTAL	723	49.83											728	50.17		1451
															Elected			
																		
Manly West                                                     																		
	FIRST		954	44.81		90	4.23		53	2.49		95	4.46		937	44.01		2129
	SECOND		8	15.09		4	7.55			Excluded		25	47.17		16	30.19		53
		TOTAL	962	45.19		94	4.42					120	5.64		953	44.76		2129
	THIRD		53	56.38			Excluded					17	18.09		24	25.53		94
		TOTAL	1015	47.67								137	6.43		977	45.89		2129
	FOURTH		42	30.66									Excluded		95	69.34		137
		TOTAL	1057	49.65											1072	50.35		2129
															Elected			
																		
Ormiston                                                       																		
	FIRST		1451	54.61		91	3.42		69	2.60		137	5.16		909	34.21		2657
	SECOND		4	5.80		7	10.14			Excluded		38	55.07		20	28.99		69
		TOTAL	1455	54.76		98	3.69					175	6.59		929	34.96		2657
	THIRD		53	54.08			Excluded					18	18.37		27	27.55		98
		TOTAL	1508	56.76								193	7.26		956	35.98		2657
	FOURTH		70	36.27									Excluded		123	63.73		193
		TOTAL	1578	59.39											1079	40.61		2657
															Elected			
																		
Point Lookout                                                  																		
	FIRST		179	35.03		18	3.52		32	6.26		31	6.07		251	49.12		511
	SECOND		1	3.13		3	9.38			Excluded		18	56.25		10	31.25		32
		TOTAL	180	35.23		21	4.11					49	9.59		261	51.08		511
	THIRD		9	42.86			Excluded					6	28.57		6	28.57		21
		TOTAL	189	36.99								55	10.76		267	52.25		511
	FOURTH		18	32.73									Excluded		37	67.27		55
		TOTAL	207	40.51											304	59.49		511
															Elected			
																		
Roles Hill                                                     																		
	FIRST		578	38.15		73	4.82		40	2.64		61	4.03		763	50.36		1515
	SECOND		3	7.50		1	2.50			Excluded		23	57.50		13	32.50		40
		TOTAL	581	38.35		74	4.88					84	5.54		776	51.22		1515
	THIRD		42	56.76			Excluded					16	21.62		16	21.62		74
		TOTAL	623	41.12								100	6.60		792	52.28		1515
	FOURTH		28	28.00									Excluded		72	72.00		100
		TOTAL	651	42.97											864	57.03		1515
															Elected			
																		
Tangalooma                                                     																		
	FIRST		20	39.22		5	9.80		1	1.96		5	9.80		20	39.22		51
	SECOND		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1
		TOTAL	20	39.22		6	11.76					5	9.80		20	39.22		51
	THIRD		4	66.67			Excluded					2	33.33		0	0.00		6
		TOTAL	24	47.06								7	13.73		20	39.22		51
	FOURTH		4	57.14									Excluded		3	42.86		7
		TOTAL	28	54.90											23	45.10		51
															Elected			
																		
Thorneside                                                     																		
	FIRST		486	36.46		83	6.23		48	3.60		56	4.20		660	49.51		1333
	SECOND		4	8.33		5	10.42			Excluded		25	52.08		14	29.17		48
		TOTAL	490	36.76		88	6.60					81	6.08		674	50.56		1333
	THIRD		46	52.27			Excluded					11	12.50		31	35.23		88
		TOTAL	536	40.21								92	6.90		705	52.89		1333
	FOURTH		26	28.26									Excluded		66	71.74		92
		TOTAL	562	42.16											771	57.84		1333
															Elected			
																		
Thornlands                                                     																		
	FIRST		1934	49.73		168	4.32		90	2.31		229	5.89		1468	37.75		3889
	SECOND		10	11.11		11	12.22			Excluded		49	54.44		20	22.22		90
		TOTAL	1944	49.99		179	4.60					278	7.15		1488	38.26		3889
	THIRD		86	48.04			Excluded					47	26.26		46	25.70		179
		TOTAL	2030	52.20								325	8.36		1534	39.44		3889
	FOURTH		115	35.38									Excluded		210	64.62		325
		TOTAL	2145	55.16											1744	44.84		3889
															Elected			
																		
Vienna Woods                                                   																		
	FIRST		870	38.26		118	5.19		58	2.55		116	5.10		1112	48.90		2274
	SECOND		8	13.79		7	12.07			Excluded		25	43.10		18	31.03		58
		TOTAL	878	38.61		125	5.50					141	6.20		1130	49.69		2274
	THIRD		66	52.80			Excluded					29	23.20		30	24.00		125
		TOTAL	944	41.51								170	7.48		1160	51.01		2274
	FOURTH		66	38.82									Excluded		104	61.18		170
		TOTAL	1010	44.42											1264	55.58		2274
															Elected			
																		
Wellington Point                                               																		
	FIRST		1648	47.37		126	3.62		97	2.79		184	5.29		1424	40.93		3479
	SECOND		11	11.34		5	5.15			Excluded		53	54.64		28	28.87		97
		TOTAL	1659	47.69		131	3.77					237	6.81		1452	41.74		3479
	THIRD		69	52.67			Excluded					28	21.37		34	25.95		131
		TOTAL	1728	49.67								265	7.62		1486	42.71		3479
	FOURTH		83	31.32									Excluded		182	68.68		265
		TOTAL	1811	52.06											1668	47.94		3479
															Elected			
																		
Wellington Point High                                          																		
	FIRST		491	50.88		30	3.11		21	2.18		60	6.22		363	37.62		965
	SECOND		3	14.29		2	9.52			Excluded		13	61.90		3	14.29		21
		TOTAL	494	51.19		32	3.32					73	7.56		366	37.93		965
	THIRD		21	65.63			Excluded					6	18.75		5	15.63		32
		TOTAL	515	53.37								79	8.19		371	38.45		965
	FOURTH		31	39.24									Excluded		48	60.76		79
		TOTAL	546	56.58											419	43.42		965
															Elected			
																		
Wondall Heights (Bowman)                                       																		
	FIRST		1056	40.24		118	4.50		74	2.82		152	5.79		1224	46.65		2624
	SECOND		9	12.16		10	13.51			Excluded		34	45.95		21	28.38		74
		TOTAL	1065	40.59		128	4.88					186	7.09		1245	47.45		2624
	THIRD		70	54.69			Excluded					37	28.91		21	16.41		128
		TOTAL	1135	43.25								223	8.50		1266	48.25		2624
	FOURTH		79	35.43									Excluded		144	64.57		223
		TOTAL	1214	46.27											1410	53.73		2624
															Elected			
																		
Wynnum                                                         																		
	FIRST		636	38.06		75	4.49		66	3.95		71	4.25		823	49.25		1671
	SECOND		10	15.15		8	12.12			Excluded		27	40.91		21	31.82		66
		TOTAL	646	38.66		83	4.97					98	5.86		844	50.51		1671
	THIRD		33	39.76			Excluded					24	28.92		26	31.33		83
		TOTAL	679	40.63								122	7.30		870	52.06		1671
	FOURTH		37	30.33									Excluded		85	69.67		122
		TOTAL	716	42.85											955	57.15		1671
															Elected			
																		
Wynnum Central                                                 																		
	FIRST		511	33.44		98	6.41		43	2.81		48	3.14		828	54.19		1528
	SECOND		2	4.65		3	6.98			Excluded		22	51.16		16	37.21		43
		TOTAL	513	33.57		101	6.61					70	4.58		844	55.24		1528
	THIRD		55	54.46			Excluded					23	22.77		23	22.77		101
		TOTAL	568	37.17								93	6.09		867	56.74		1528
	FOURTH		29	31.18									Excluded		64	68.82		93
		TOTAL	597	39.07											931	60.93		1528
															Elected			
																		
Wynnum North                                                   																		
	FIRST		772	36.36		137	6.45		69	3.25		125	5.89		1020	48.05		2123
	SECOND		6	8.70		7	10.14			Excluded		41	59.42		15	21.74		69
		TOTAL	778	36.65		144	6.78					166	7.82		1035	48.75		2123
	THIRD		66	45.83			Excluded					35	24.31		43	29.86		144
		TOTAL	844	39.76								201	9.47		1078	50.78		2123
	FOURTH		63	31.34									Excluded		138	68.66		201
		TOTAL	907	42.72											1216	57.28		2123
															Elected			
																		
Wynnum North High                                              																		
	FIRST		441	35.88		63	5.13		41	3.34		80	6.51		604	49.15		1229
	SECOND		5	12.20		2	4.88			Excluded		20	48.78		14	34.15		41
		TOTAL	446	36.29		65	5.29					100	8.14		618	50.28		1229
	THIRD		27	41.54			Excluded					22	33.85		16	24.62		65
		TOTAL	473	38.49								122	9.93		634	51.59		1229
	FOURTH		33	27.05									Excluded		89	72.95		122
		TOTAL	506	41.17											723	58.83		1229
															Elected			
																		
Wynnum West                                                    																		
	FIRST		948	33.52		158	5.59		92	3.25		163	5.76		1467	51.87		2828
	SECOND		10	10.87		14	15.22			Excluded		49	53.26		19	20.65		92
		TOTAL	958	33.88		172	6.08					212	7.50		1486	52.55		2828
	THIRD		75	43.60			Excluded					49	28.49		48	27.91		172
		TOTAL	1033	36.53								261	9.23		1534	54.24		2828
	FOURTH		98	37.55									Excluded		163	62.45		261
		TOTAL	1131	39.99											1697	60.01		2828
															Elected			
																		
Special Hospital Team 1                                        																		
	FIRST		137	48.75		9	3.20		0	0.00		2	0.71		133	47.33		281
	SECOND		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL	137	48.75		9	3.20					2	0.71		133	47.33		281
	THIRD		6	66.67			Excluded					2	22.22		1	11.11		9
		TOTAL	143	50.89								4	1.42		134	47.69		281
	FOURTH		1	25.00									Excluded		3	75.00		4
		TOTAL	144	51.25											137	48.75		281
															Elected			
																		
Special Hospital Team 2                                        																		
	FIRST		100	47.17		5	2.36		0	0.00		1	0.47		106	50.00		212
	SECOND		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL	100	47.17		5	2.36					1	0.47		106	50.00		212
	THIRD		1	20.00			Excluded					3	60.00		1	20.00		5
		TOTAL	101	47.64								4	1.89		107	50.47		212
	FOURTH		1	25.00									Excluded		3	75.00		4
		TOTAL	102	48.11											110	51.89		212
															Elected			
																		
ABSENT																		
	FIRST		1474	40.72		238	6.57		205	5.66		232	6.41		1471	40.64		3620
	SECOND		31	15.12		25	12.20			Excluded		95	46.34		54	26.34		205
		TOTAL	1505	41.57		263	7.27					327	9.03		1525	42.13		3620
	THIRD		113	42.97			Excluded					87	33.08		63	23.95		263
		TOTAL	1618	44.70								414	11.44		1588	43.87		3620
	FOURTH		159	38.41									Excluded		255	61.59		414
		TOTAL	1777	49.09											1843	50.91		3620
															Elected			
																		
POSTAL																		
	FIRST		1655	42.41		169	4.33		77	1.97		99	2.54		1902	48.74		3902
	SECOND		13	16.88		7	9.09			Excluded		36	46.75		21	27.27		77
		TOTAL	1668	42.75		176	4.51					135	3.46		1923	49.28		3902
	THIRD		77	43.75			Excluded					39	22.16		60	34.09		176
		TOTAL	1745	44.72								174	4.46		1983	50.82		3902
	FOURTH		70	40.23									Excluded		104	59.77		174
		TOTAL	1815	46.51											2087	53.49		3902
															Elected			
																		
PRE POLL																		
	FIRST		1637	47.95		179	5.24		109	3.19		148	4.34		1341	39.28		3414
	SECOND		14	12.84		9	8.26			Excluded		49	44.95		37	33.94		109
		TOTAL	1651	48.36		188	5.51					197	5.77		1378	40.36		3414
	THIRD		82	43.62			Excluded					49	26.06		57	30.32		188
		TOTAL	1733	50.76								246	7.21		1435	42.03		3414
	FOURTH		91	36.99									Excluded		155	63.01		246
		TOTAL	1824	53.43											1590	46.57		3414
															Elected			
																		
PROVISIONAL																		
	FIRST		156	32.30		25	5.18		22	4.55		33	6.83		247	51.14		483
	SECOND		4	18.18		5	22.73			Excluded		8	36.36		5	22.73		22
		TOTAL	160	33.13		30	6.21					41	8.49		252	52.17		483
	THIRD		12	40.00			Excluded					6	20.00		12	40.00		30
		TOTAL	172	35.61								47	9.73		264	54.66		483
	FOURTH		15	31.91									Excluded		32	68.09		47
		TOTAL	187	38.72											296	61.28		483
															Elected			
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
