House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences 																													
By Polling Place																													
Blair																													
						KYSON			THOMPSON			MCKENZIE			TURNER			RYAN			WENDT			JOHNSTON			COSGROVE		
			TOTAL		5	1.75		126	44.06		6	2.10		70	24.48		15	5.24		59	20.63		5	1.75					286
		THIRD			0	0.00		1	6.67		0	0.00		6	40.00			Excluded		1	6.67		7	46.67					15
			TOTAL		5	1.75		127	44.41		6	2.10		76	26.57					60	20.98		12	4.20					286
		FOURTH			3	50.00		1	16.67			Excluded		1	16.67					1	16.67		0	0.00					6
			TOTAL		8	2.80		128	44.76					77	26.92					61	21.33		12	4.20					286
		FIFTH			3	25.00		3	25.00					6	50.00					0	0.00			Excluded					12
			TOTAL		11	3.85		131	45.80					83	29.02					61	21.33								286
		SIXTH				Excluded		3	27.27					2	18.18					6	54.55								11
			TOTAL					134	46.85					85	29.72					67	23.43								286
		SEVENTH						47	55.29						Excluded					38	44.71								85
			TOTAL					181	63.29											105	36.71								286
								Elected																					
																													
	Brassall                                                       																												
		FIRST			33	2.19		631	41.87		43	2.85		170	11.28		10	0.66		591	39.22		26	1.73		3	0.20		1507
		SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		3
			TOTAL		34	2.26		631	41.87		43	2.85		171	11.35		10	0.66		591	39.22		27	1.79					1507
		THIRD			1	10.00		3	30.00		0	0.00		1	10.00			Excluded		1	10.00		4	40.00					10
			TOTAL		35	2.32		634	42.07		43	2.85		172	11.41					592	39.28		31	2.06					1507
		FOURTH			12	27.91		7	16.28			Excluded		8	18.60					12	27.91		4	9.30					43
			TOTAL		47	3.12		641	42.53					180	11.94					604	40.08		35	2.32					1507
		FIFTH			9	25.71		11	31.43					7	20.00					8	22.86			Excluded					35
			TOTAL		56	3.72		652	43.26					187	12.41					612	40.61								1507
		SIXTH				Excluded		18	32.14					10	17.86					28	50.00								56
			TOTAL					670	44.46					197	13.07					640	42.47								1507
		SEVENTH						75	38.07						Excluded					122	61.93								197
			TOTAL					745	49.44											762	50.56								1507
								Elected																					
																													
	Brassall School                                                																												
		FIRST			89	3.78		923	39.19		98	4.16		296	12.57		22	0.93		886	37.62		29	1.23		12	0.51		2355
		SECOND			1	8.33		0	0.00		1	8.33		0	0.00		1	8.33		4	33.33		5	41.67			Excluded		12
			TOTAL		90	3.82		923	39.19		99	4.20		296	12.57		23	0.98		890	37.79		34	1.44					2355
		THIRD			2	8.70		0	0.00		1	4.35		6	26.09			Excluded		5	21.74		9	39.13					23
			TOTAL		92	3.91		923	39.19		100	4.25		302	12.82					895	38.00		43	1.83					2355
		FOURTH			36	36.00		15	15.00			Excluded		17	17.00					22	22.00		10	10.00					100
			TOTAL		128	5.44		938	39.83					319	13.55					917	38.94		53	2.25					2355
		FIFTH			21	39.62		7	13.21					12	22.64					13	24.53			Excluded					53
			TOTAL		149	6.33		945	40.13					331	14.06					930	39.49								2355
		SIXTH				Excluded		63	42.28					38	25.50					48	32.21								149
			TOTAL					1008	42.80					369	15.67					978	41.53								2355
		SEVENTH						161	43.63						Excluded					208	56.37								369
			TOTAL					1169	49.64											1186	50.36								2355
								Elected																					
																													
	Brisbane City (Blair)                                          																												
		FIRST			8	11.27		31	43.66		8	11.27		2	2.82		0	0.00		20	28.17		2	2.82		0	0.00		71
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		8	11.27		31	43.66		8	11.27		2	2.82		0	0.00		20	28.17		2	2.82					71
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0
			TOTAL		8	11.27		31	43.66		8	11.27		2	2.82					20	28.17		2	2.82					71
		FOURTH			6	75.00		0	0.00			Excluded		0	0.00					1	12.50		1	12.50					8
			TOTAL		14	19.72		31	43.66					2	2.82					21	29.58		3	4.23					71
		FIFTH			0	0.00		1	33.33					2	66.67					0	0.00			Excluded					3
			TOTAL		14	19.72		32	45.07					4	5.63					21	29.58								71
		SIXTH				Excluded		3	21.43					3	21.43					8	57.14								14
			TOTAL					35	49.30					7	9.86					29	40.85								71
		SEVENTH						4	57.14						Excluded					3	42.86								7
			TOTAL					39	54.93											32	45.07								71
								Elected																					
																													
	Brooklands                                                     																												
		FIRST			0	0.00		65	38.92		4	2.40		49	29.34		1	0.60		31	18.56		15	8.98		2	1.20		167
		SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded		2
			TOTAL		0	0.00		65	38.92		4	2.40		50	29.94		1	0.60		31	18.56		16	9.58					167
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					1
			TOTAL		0	0.00		65	38.92		4	2.40		50	29.94					31	18.56		17	10.18					167
		FOURTH			3	75.00		1	25.00			Excluded		0	0.00					0	0.00		0	0.00					4
			TOTAL		3	1.80		66	39.52					50	29.94					31	18.56		17	10.18					167
		FIFTH			2	11.76		5	29.41					7	41.18					3	17.65			Excluded					17
			TOTAL		5	2.99		71	42.51					57	34.13					34	20.36								167
		SIXTH				Excluded		0	0.00					2	40.00					3	60.00								5
			TOTAL					71	42.51					59	35.33					37	22.16								167
		SEVENTH						27	45.76						Excluded					32	54.24								59
			TOTAL					98	58.68											69	41.32								167
								Elected																					
																													
	Churchill (Blair)                                              																												
		FIRST			32	2.52		433	34.09		58	4.57		180	14.17		14	1.10		528	41.57		18	1.42		7	0.55		1270
		SECOND			2	28.57		1	14.29		0	0.00		1	14.29		0	0.00		0	0.00		3	42.86			Excluded		7
			TOTAL		34	2.68		434	34.17		58	4.57		181	14.25		14	1.10		528	41.57		21	1.65					1270
		THIRD			1	7.14		3	21.43		0	0.00		1	7.14			Excluded		4	28.57		5	35.71					14
			TOTAL		35	2.76		437	34.41		58	4.57		182	14.33					532	41.89		26	2.05					1270
		FOURTH			16	27.59		7	12.07			Excluded		10	17.24					21	36.21		4	6.90					58
			TOTAL		51	4.02		444	34.96					192	15.12					553	43.54		30	2.36					1270
		FIFTH			12	40.00		3	10.00					8	26.67					7	23.33			Excluded					30
			TOTAL		63	4.96		447	35.20					200	15.75					560	44.09								1270
		SIXTH				Excluded		26	41.27					13	20.63					24	38.10								63
			TOTAL					473	37.24					213	16.77					584	45.98								1270
		SEVENTH						97	45.54						Excluded					116	54.46								213
			TOTAL					570	44.88											700	55.12								1270
								Elected																					
																													
	Coolabunia                                                     																												
		FIRST			7	2.05		222	65.10		3	0.88		52	15.25		0	0.00		35	10.26		22	6.45		0	0.00		341
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		7	2.05		222	65.10		3	0.88		52	15.25		0	0.00		35	10.26		22	6.45					341
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0
			TOTAL		7	2.05		222	65.10		3	0.88		52	15.25					35	10.26		22	6.45					341
		FOURTH			1	33.33		2	66.67			Excluded		0	0.00					0	0.00		0	0.00					3
			TOTAL		8	2.35		224	65.69					52	15.25					35	10.26		22	6.45					341
		FIFTH			0	0.00		6	27.27					14	63.64					2	9.09			Excluded					22
			TOTAL		8	2.35		230	67.45					66	19.35					37	10.85								341
		SIXTH				Excluded		4	50.00					1	12.50					3	37.50								8
			TOTAL					234	68.62					67	19.65					40	11.73								341
		SEVENTH						26	38.81						Excluded					41	61.19								67
			TOTAL					260	76.25											81	23.75								341
								Elected																					
																													
	Coominya                                                       																												
		FIRST			21	2.68		324	41.38		16	2.04		162	20.69		11	1.40		212	27.08		35	4.47		2	0.26		783
		SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00			Excluded		2
			TOTAL		21	2.68		324	41.38		16	2.04		163	20.82		11	1.40		213	27.20		35	4.47					783
		THIRD			1	9.09		2	18.18		3	27.27		1	9.09			Excluded		2	18.18		2	18.18					11
			TOTAL		22	2.81		326	41.63		19	2.43		164	20.95					215	27.46		37	4.73					783
		FOURTH			5	26.32		8	42.11			Excluded		3	15.79					1	5.26		2	10.53					19
			TOTAL		27	3.45		334	42.66					167	21.33					216	27.59		39	4.98					783
		FIFTH			12	30.77		4	10.26					14	35.90					9	23.08			Excluded					39
			TOTAL		39	4.98		338	43.17					181	23.12					225	28.74								783
		SIXTH				Excluded		14	35.90					6	15.38					19	48.72								39
			TOTAL					352	44.96					187	23.88					244	31.16								783
		SEVENTH						80	42.78						Excluded					107	57.22								187
			TOTAL					432	55.17											351	44.83								783
								Elected																					
																													
	Cooyar                                                         																												
		FIRST			8	4.26		102	54.26		4	2.13		26	13.83		6	3.19		31	16.49		11	5.85		0	0.00		188
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		8	4.26		102	54.26		4	2.13		26	13.83		6	3.19		31	16.49		11	5.85					188
		THIRD			1	16.67		1	16.67		1	16.67		2	33.33			Excluded		0	0.00		1	16.67					6
			TOTAL		9	4.79		103	54.79		5	2.66		28	14.89					31	16.49		12	6.38					188
		FOURTH			2	40.00		0	0.00			Excluded		1	20.00					1	20.00		1	20.00					5
			TOTAL		11	5.85		103	54.79					29	15.43					32	17.02		13	6.91					188
		FIFTH			1	7.69		2	15.38					7	53.85					3	23.08			Excluded					13
			TOTAL		12	6.38		105	55.85					36	19.15					35	18.62								188
		SIXTH				Excluded		6	50.00					1	8.33					5	41.67								12
			TOTAL					111	59.04					37	19.68					40	21.28								188
		SEVENTH						23	62.16						Excluded					14	37.84								37
			TOTAL					134	71.28											54	28.72								188
								Elected																					
																													
	Crows Nest                                                     																												
		FIRST			33	2.65		656	52.61		28	2.25		175	14.03		21	1.68		207	16.60		123	9.86		4	0.32		1247
		SECOND			1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		1	25.00			Excluded		4
			TOTAL		34	2.73		656	52.61		28	2.25		176	14.11		21	1.68		208	16.68		124	9.94					1247
		THIRD			1	4.76		1	4.76		1	4.76		5	23.81			Excluded		1	4.76		12	57.14					21
			TOTAL		35	2.81		657	52.69		29	2.33		181	14.51					209	16.76		136	10.91					1247
		FOURTH			10	34.48		6	20.69			Excluded		1	3.45					6	20.69		6	20.69					29
			TOTAL		45	3.61		663	53.17					182	14.60					215	17.24		142	11.39					1247
		FIFTH			21	14.79		28	19.72					72	50.70					21	14.79			Excluded					142
			TOTAL		66	5.29		691	55.41					254	20.37					236	18.93								1247
		SIXTH				Excluded		22	33.33					12	18.18					32	48.48								66
			TOTAL					713	57.18					266	21.33					268	21.49								1247
		SEVENTH						129	48.50						Excluded					137	51.50								266
			TOTAL					842	67.52											405	32.48								1247
								Elected																					
																													
	Esk                                                            																												
		FIRST			39	3.79		446	43.39		14	1.36		177	17.22		6	0.58		280	27.24		63	6.13		3	0.29		1028
		SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		3
			TOTAL		40	3.89		446	43.39		14	1.36		177	17.22		6	0.58		281	27.33		64	6.23					1028
		THIRD			1	16.67		1	16.67		0	0.00		2	33.33			Excluded		1	16.67		1	16.67					6
			TOTAL		41	3.99		447	43.48		14	1.36		179	17.41					282	27.43		65	6.32					1028
		FOURTH			6	42.86		1	7.14			Excluded		0	0.00					6	42.86		1	7.14					14
			TOTAL		47	4.57		448	43.58					179	17.41					288	28.02		66	6.42					1028
		FIFTH			9	13.64		13	19.70					29	43.94					15	22.73			Excluded					66
			TOTAL		56	5.45		461	44.84					208	20.23					303	29.47								1028
		SIXTH				Excluded		22	39.29					12	21.43					22	39.29								56
			TOTAL					483	46.98					220	21.40					325	31.61								1028
		SEVENTH						85	38.64						Excluded					135	61.36								220
			TOTAL					568	55.25											460	44.75								1028
								Elected																					
																													
	Fernvale                                                       																												
		FIRST			55	4.65		550	46.53		27	2.28		188	15.91		13	1.10		313	26.48		35	2.96		1	0.08		1182
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
			TOTAL		55	4.65		550	46.53		27	2.28		188	15.91		14	1.18		313	26.48		35	2.96					1182
		THIRD			0	0.00		0	0.00		0	0.00		2	14.29			Excluded		4	28.57		8	57.14					14
			TOTAL		55	4.65		550	46.53		27	2.28		190	16.07					317	26.82		43	3.64					1182
		FOURTH			13	48.15		2	7.41			Excluded		2	7.41					9	33.33		1	3.70					27
			TOTAL		68	5.75		552	46.70					192	16.24					326	27.58		44	3.72					1182
		FIFTH			13	29.55		4	9.09					19	43.18					8	18.18			Excluded					44
			TOTAL		81	6.85		556	47.04					211	17.85					334	28.26								1182
		SIXTH				Excluded		26	32.10					14	17.28					41	50.62								81
			TOTAL					582	49.24					225	19.04					375	31.73								1182
		SEVENTH						97	43.11						Excluded					128	56.89								225
			TOTAL					679	57.45											503	42.55								1182
								Elected																					
																													
	Flagstone Creek                                                																												
		FIRST			0	0.00		73	59.35		1	0.81		28	22.76		4	3.25		10	8.13		7	5.69		0	0.00		123
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		0	0.00		73	59.35		1	0.81		28	22.76		4	3.25		10	8.13		7	5.69					123
		THIRD			0	0.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		1	25.00					4
			TOTAL		0	0.00		73	59.35		1	0.81		30	24.39					11	8.94		8	6.50					123
		FOURTH			0	0.00		1	100.00			Excluded		0	0.00					0	0.00		0	0.00					1
			TOTAL		0	0.00		74	60.16					30	24.39					11	8.94		8	6.50					123
		FIFTH			0	0.00		1	12.50					4	50.00					3	37.50			Excluded					8
			TOTAL		0	0.00		75	60.98					34	27.64					14	11.38								123
		SIXTH				Excluded		0	0.00					0	0.00					0	0.00								0
			TOTAL					75	60.98					34	27.64					14	11.38								123
		SEVENTH						13	38.24						Excluded					21	61.76								34
			TOTAL					88	71.54											35	28.46								123
								Elected																					
																													
	Forest Hill                                                    																												
		FIRST			20	3.29		281	46.22		16	2.63		130	21.38		9	1.48		126	20.72		24	3.95		2	0.33		608
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		2
			TOTAL		20	3.29		281	46.22		16	2.63		130	21.38		9	1.48		127	20.89		25	4.11					608
		THIRD			0	0.00		1	11.11		0	0.00		2	22.22			Excluded		0	0.00		6	66.67					9
			TOTAL		20	3.29		282	46.38		16	2.63		132	21.71					127	20.89		31	5.10					608
		FOURTH			4	25.00		4	25.00			Excluded		3	18.75					3	18.75		2	12.50					16
			TOTAL		24	3.95		286	47.04					135	22.20					130	21.38		33	5.43					608
		FIFTH			10	30.30		4	12.12					15	45.45					4	12.12			Excluded					33
			TOTAL		34	5.59		290	47.70					150	24.67					134	22.04								608
		SIXTH				Excluded		17	50.00					9	26.47					8	23.53								34
			TOTAL					307	50.49					159	26.15					142	23.36								608
		SEVENTH						75	47.17						Excluded					84	52.83								159
			TOTAL					382	62.83											226	37.17								608
								Elected																					
																													
	Gatton                                                         																												
		FIRST			35	2.30		823	54.07		33	2.17		212	13.93		10	0.66		371	24.38		36	2.37		2	0.13		1522
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
			TOTAL		35	2.30		823	54.07		33	2.17		212	13.93		10	0.66		371	24.38		38	2.50					1522
		THIRD			2	20.00		0	0.00		1	10.00		3	30.00			Excluded		1	10.00		3	30.00					10
			TOTAL		37	2.43		823	54.07		34	2.23		215	14.13					372	24.44		41	2.69					1522
		FOURTH			11	32.35		7	20.59			Excluded		5	14.71					7	20.59		4	11.76					34
			TOTAL		48	3.15		830	54.53					220	14.45					379	24.90		45	2.96					1522
		FIFTH			8	17.78		10	22.22					20	44.44					7	15.56			Excluded					45
			TOTAL		56	3.68		840	55.19					240	15.77					386	25.36								1522
		SIXTH				Excluded		27	48.21					14	25.00					15	26.79								56
			TOTAL					867	56.96					254	16.69					401	26.35								1522
		SEVENTH						139	54.72						Excluded					115	45.28								254
			TOTAL					1006	66.10											516	33.90								1522
								Elected																					
																													
	Gatton South                                                   																												
		FIRST			71	3.31		1193	55.57		55	2.56		335	15.60		25	1.16		433	20.17		29	1.35		6	0.28		2147
		SECOND			2	33.33		0	0.00		1	16.67		1	16.67		0	0.00		0	0.00		2	33.33			Excluded		6
			TOTAL		73	3.40		1193	55.57		56	2.61		336	15.65		25	1.16		433	20.17		31	1.44					2147
		THIRD			2	8.00		3	12.00		1	4.00		3	12.00			Excluded		5	20.00		11	44.00					25
			TOTAL		75	3.49		1196	55.71		57	2.65		339	15.79					438	20.40		42	1.96					2147
		FOURTH			22	38.60		9	15.79			Excluded		8	14.04					14	24.56		4	7.02					57
			TOTAL		97	4.52		1205	56.12					347	16.16					452	21.05		46	2.14					2147
		FIFTH			11	23.91		9	19.57					11	23.91					15	32.61			Excluded					46
			TOTAL		108	5.03		1214	56.54					358	16.67					467	21.75								2147
		SIXTH				Excluded		51	47.22					22	20.37					35	32.41								108
			TOTAL					1265	58.92					380	17.70					502	23.38								2147
		SEVENTH						188	49.47						Excluded					192	50.53								380
			TOTAL					1453	67.68											694	32.32								2147
								Elected																					
																													
	Glamorgan Vale                                                 																												
		FIRST			12	3.81		154	48.89		13	4.13		51	16.19		5	1.59		74	23.49		5	1.59		1	0.32		315
		SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1
			TOTAL		12	3.81		154	48.89		13	4.13		52	16.51		5	1.59		74	23.49		5	1.59					315
		THIRD			0	0.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		2	40.00					5
			TOTAL		12	3.81		154	48.89		14	4.44		52	16.51					76	24.13		7	2.22					315
		FOURTH			7	50.00		2	14.29			Excluded		0	0.00					2	14.29		3	21.43					14
			TOTAL		19	6.03		156	49.52					52	16.51					78	24.76		10	3.17					315
		FIFTH			2	20.00		4	40.00					1	10.00					3	30.00			Excluded					10
			TOTAL		21	6.67		160	50.79					53	16.83					81	25.71								315
		SIXTH				Excluded		7	33.33					3	14.29					11	52.38								21
			TOTAL					167	53.02					56	17.78					92	29.21								315
		SEVENTH						40	71.43						Excluded					16	28.57								56
			TOTAL					207	65.71											108	34.29								315
								Elected																					
																													
	Glenore Grove                                                  																												
		FIRST			42	3.18		519	39.32		28	2.12		246	18.64		11	0.83		429	32.50		44	3.33		1	0.08		1320
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
			TOTAL		42	3.18		519	39.32		28	2.12		246	18.64		11	0.83		429	32.50		45	3.41					1320
		THIRD			2	18.18		0	0.00		1	9.09		3	27.27			Excluded		3	27.27		2	18.18					11
			TOTAL		44	3.33		519	39.32		29	2.20		249	18.86					432	32.73		47	3.56					1320
		FOURTH			4	13.79		9	31.03			Excluded		3	10.34					9	31.03		4	13.79					29
			TOTAL		48	3.64		528	40.00					252	19.09					441	33.41		51	3.86					1320
		FIFTH			6	11.76		9	17.65					23	45.10					13	25.49			Excluded					51
			TOTAL		54	4.09		537	40.68					275	20.83					454	34.39								1320
		SIXTH				Excluded		19	35.19					10	18.52					25	46.30								54
			TOTAL					556	42.12					285	21.59					479	36.29								1320
		SEVENTH						119	41.75						Excluded					166	58.25								285
			TOTAL					675	51.14											645	48.86								1320
								Elected																					
																													
	Grandchester                                                   																												
		FIRST			7	2.70		113	43.63		6	2.32		48	18.53		3	1.16		78	30.12		1	0.39		3	1.16		259
		SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		3
			TOTAL		7	2.70		114	44.02		6	2.32		48	18.53		3	1.16		79	30.50		2	0.77					259
		THIRD			1	33.33		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00					3
			TOTAL		8	3.09		114	44.02		7	2.70		49	18.92					79	30.50		2	0.77					259
		FOURTH			2	28.57		3	42.86			Excluded		1	14.29					0	0.00		1	14.29					7
			TOTAL		10	3.86		117	45.17					50	19.31					79	30.50		3	1.16					259
		FIFTH			0	0.00		0	0.00					0	0.00					3	100.00			Excluded					3
			TOTAL		10	3.86		117	45.17					50	19.31					82	31.66								259
		SIXTH				Excluded		5	50.00					2	20.00					3	30.00								10
			TOTAL					122	47.10					52	20.08					85	32.82								259
		SEVENTH						28	53.85						Excluded					24	46.15								52
			TOTAL					150	57.92											109	42.08								259
								Elected																					
																													
	Grantham                                                       																												
		FIRST			12	2.12		314	55.48		9	1.59		78	13.78		11	1.94		120	21.20		21	3.71		1	0.18		566
		SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
			TOTAL		12	2.12		315	55.65		9	1.59		78	13.78		11	1.94		120	21.20		21	3.71					566
		THIRD			1	9.09		0	0.00		1	9.09		4	36.36			Excluded		1	9.09		4	36.36					11
			TOTAL		13	2.30		315	55.65		10	1.77		82	14.49					121	21.38		25	4.42					566
		FOURTH			2	20.00		3	30.00			Excluded		3	30.00					0	0.00		2	20.00					10
			TOTAL		15	2.65		318	56.18					85	15.02					121	21.38		27	4.77					566
		FIFTH			6	22.22		1	3.70					17	62.96					3	11.11			Excluded					27
			TOTAL		21	3.71		319	56.36					102	18.02					124	21.91								566
		SIXTH				Excluded		6	28.57					5	23.81					10	47.62								21
			TOTAL					325	57.42					107	18.90					134	23.67								566
		SEVENTH						52	48.60						Excluded					55	51.40								107
			TOTAL					377	66.61											189	33.39								566
								Elected																					
																													
	Haden                                                          																												
		FIRST			2	1.61		63	50.81		1	0.81		27	21.77		5	4.03		11	8.87		15	12.10		0	0.00		124
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		2	1.61		63	50.81		1	0.81		27	21.77		5	4.03		11	8.87		15	12.10					124
		THIRD			1	20.00		1	20.00		0	0.00		1	20.00			Excluded		1	20.00		1	20.00					5
			TOTAL		3	2.42		64	51.61		1	0.81		28	22.58					12	9.68		16	12.90					124
		FOURTH			0	0.00		0	0.00			Excluded		0	0.00					1	100.00		0	0.00					1
			TOTAL		3	2.42		64	51.61					28	22.58					13	10.48		16	12.90					124
		FIFTH			0	0.00		4	25.00					12	75.00					0	0.00			Excluded					16
			TOTAL		3	2.42		68	54.84					40	32.26					13	10.48								124
		SIXTH				Excluded		0	0.00					3	100.00					0	0.00								3
			TOTAL					68	54.84					43	34.68					13	10.48								124
		SEVENTH						31	72.09						Excluded					12	27.91								43
			TOTAL					99	79.84											25	20.16								124
								Elected																					
																													
	Haigslea                                                       																												
		FIRST			9	2.94		168	54.90		8	2.61		35	11.44		3	0.98		74	24.18		6	1.96		3	0.98		306
		SECOND			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		3
			TOTAL		9	2.94		168	54.90		9	2.94		36	11.76		3	0.98		74	24.18		7	2.29					306
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		2	66.67					3
			TOTAL		9	2.94		168	54.90		9	2.94		36	11.76					75	24.51		9	2.94					306
		FOURTH			3	33.33		2	22.22			Excluded		1	11.11					3	33.33		0	0.00					9
			TOTAL		12	3.92		170	55.56					37	12.09					78	25.49		9	2.94					306
		FIFTH			4	44.44		2	22.22					2	22.22					1	11.11			Excluded					9
			TOTAL		16	5.23		172	56.21					39	12.75					79	25.82								306
		SIXTH				Excluded		8	50.00					4	25.00					4	25.00								16
			TOTAL					180	58.82					43	14.05					83	27.12								306
		SEVENTH						31	72.09						Excluded					12	27.91								43
			TOTAL					211	68.95											95	31.05								306
								Elected																					
																													
	Hatton Vale                                                    																												
		FIRST			32	3.27		413	42.19		34	3.47		151	15.42		14	1.43		325	33.20		6	0.61		4	0.41		979
