House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences																															
By Polling Place																															
Wide Bay																															
				WICKS			HETHERINGTON			TRUSS			DWYER			JANSEN			PITT			TREMLIN			SMITH			DALGLEISH			
	FIFTH			9	50.00					0	0.00		2	11.11						Excluded		2	11.11					5	27.78		18
		TOTAL		22	6.96					129	40.82		48	15.19								104	32.91					13	4.11		316
	SIXTH			4	30.77					4	30.77		3	23.08								2	15.38						Excluded		13
		TOTAL		26	8.23					133	42.09		51	16.14								106	33.54								316
	SEVENTH				Excluded					6	23.08		15	57.69								5	19.23								26
		TOTAL								139	43.99		66	20.89								111	35.13								316
	EIGHTH									23	34.85			Excluded								43	65.15								66
		TOTAL								162	51.27											154	48.73								316
										Elected																					
																															
Bell Hilltop                                                   																															
	FIRST			65	4.38		3	0.20		652	43.91		104	7.00		20	1.35		111	7.47		476	32.05		28	1.89		26	1.75		1485
	SECOND			0	0.00			Excluded		0	0.00		2	66.67		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		65	4.38					652	43.91		106	7.14		21	1.41		111	7.47		476	32.05		28	1.89		26	1.75		1485
	THIRD			1	3.57					3	10.71		1	3.57		13	46.43		1	3.57		8	28.57			Excluded		1	3.57		28
		TOTAL		66	4.44					655	44.11		107	7.21		34	2.29		112	7.54		484	32.59					27	1.82		1485
	FOURTH			3	8.82					9	26.47		5	14.71			Excluded		4	11.76		10	29.41					3	8.82		34
		TOTAL		69	4.65					664	44.71		112	7.54					116	7.81		494	33.27					30	2.02		1485
	FIFTH			65	56.03					13	11.21		14	12.07						Excluded		11	9.48					13	11.21		116
		TOTAL		134	9.02					677	45.59		126	8.48								505	34.01					43	2.90		1485
	SIXTH			25	58.14					3	6.98		11	25.58								4	9.30						Excluded		43
		TOTAL		159	10.71					680	45.79		137	9.23								509	34.28								1485
	SEVENTH				Excluded					42	26.42		98	61.64								19	11.95								159
		TOTAL								722	48.62		235	15.82								528	35.56								1485
	EIGHTH									111	47.23			Excluded								124	52.77								235
		TOTAL								833	56.09											652	43.91								1485
										Elected																					
																															
Biggenden                                                      																															
	FIRST			55	7.43		11	1.49		379	51.22		99	13.38		8	1.08		33	4.46		131	17.70		5	0.68		19	2.57		740
	SECOND			2	18.18			Excluded		2	18.18		3	27.27		0	0.00		2	18.18		0	0.00		0	0.00		2	18.18		11
		TOTAL		57	7.70					381	51.49		102	13.78		8	1.08		35	4.73		131	17.70		5	0.68		21	2.84		740
	THIRD			0	0.00					0	0.00		2	40.00		1	20.00		0	0.00		1	20.00			Excluded		1	20.00		5
		TOTAL		57	7.70					381	51.49		104	14.05		9	1.22		35	4.73		132	17.84					22	2.97		740
	FOURTH			3	33.33					1	11.11		1	11.11			Excluded		0	0.00		3	33.33					1	11.11		9
		TOTAL		60	8.11					382	51.62		105	14.19					35	4.73		135	18.24					23	3.11		740
	FIFTH			24	68.57					1	2.86		2	5.71						Excluded		2	5.71					6	17.14		35
		TOTAL		84	11.35					383	51.76		107	14.46								137	18.51					29	3.92		740
	SIXTH			10	34.48					4	13.79		14	48.28								1	3.45						Excluded		29
		TOTAL		94	12.70					387	52.30		121	16.35								138	18.65								740
	SEVENTH				Excluded					38	40.43		43	45.74								13	13.83								94
		TOTAL								425	57.43		164	22.16								151	20.41								740
	EIGHTH									84	51.22			Excluded								80	48.78								164
		TOTAL								509	68.78											231	31.22								740
										Elected																					
																															
Biloela                                                        																															
	FIRST			76	2.42		70	2.23		1427	45.36		348	11.06		66	2.10		38	1.21		990	31.47		67	2.13		64	2.03		3146
	SECOND			16	22.86			Excluded		22	31.43		15	21.43		2	2.86		6	8.57		6	8.57		1	1.43		2	2.86		70
		TOTAL		92	2.92					1449	46.06		363	11.54		68	2.16		44	1.40		996	31.66		68	2.16		66	2.10		3146
	THIRD			5	7.35					16	23.53		3	4.41		11	16.18		4	5.88		16	23.53			Excluded		13	19.12		68
		TOTAL		97	3.08					1465	46.57		366	11.63		79	2.51		48	1.53		1012	32.17					79	2.51		3146
	FOURTH			9	11.39					12	15.19		14	17.72			Excluded		8	10.13		28	35.44					8	10.13		79
		TOTAL		106	3.37					1477	46.95		380	12.08					56	1.78		1040	33.06					87	2.77		3146
	FIFTH			18	32.14					4	7.14		9	16.07						Excluded		8	14.29					17	30.36		56
		TOTAL		124	3.94					1481	47.08		389	12.36								1048	33.31					104	3.31		3146
	SIXTH			50	48.08					12	11.54		27	25.96								15	14.42						Excluded		104
		TOTAL		174	5.53					1493	47.46		416	13.22								1063	33.79								3146
	SEVENTH				Excluded					72	41.38		70	40.23								32	18.39								174
		TOTAL								1565	49.75		486	15.45								1095	34.81								3146
	EIGHTH									268	55.14			Excluded								218	44.86								486
		TOTAL								1833	58.26											1313	41.74								3146
										Elected																					
																															
Binjour                                                        																															
	FIRST			10	9.90		1	0.99		64	63.37		17	16.83		0	0.00		2	1.98		4	3.96		1	0.99		2	1.98		101
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		10	9.90					65	64.36		17	16.83		0	0.00		2	1.98		4	3.96		1	0.99		2	1.98		101
	THIRD			0	0.00					0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		10	9.90					65	64.36		17	16.83		1	0.99		2	1.98		4	3.96					2	1.98		101
	FOURTH			0	0.00					1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1
		TOTAL		10	9.90					66	65.35		17	16.83					2	1.98		4	3.96					2	1.98		101
	FIFTH			2	100.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		2
		TOTAL		12	11.88					66	65.35		17	16.83								4	3.96					2	1.98		101
	SIXTH			2	100.00					0	0.00		0	0.00								0	0.00						Excluded		2
		TOTAL		14	13.86					66	65.35		17	16.83								4	3.96								101
	SEVENTH				Excluded					5	35.71		9	64.29								0	0.00								14
		TOTAL								71	70.30		26	25.74								4	3.96								101
	EIGHTH									16	61.54			Excluded								10	38.46								26
		TOTAL								87	86.14											14	13.86								101
										Elected																					
																															
Boondooma                                                      																															
	FIRST			18	12.68		0	0.00		94	66.20		15	10.56		1	0.70		3	2.11		9	6.34		2	1.41		0	0.00		142
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		18	12.68					94	66.20		15	10.56		1	0.70		3	2.11		9	6.34		2	1.41		0	0.00		142
	THIRD			0	0.00					1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2
		TOTAL		18	12.68					95	66.90		15	10.56		1	0.70		3	2.11		10	7.04					0	0.00		142
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1
		TOTAL		18	12.68					95	66.90		15	10.56					4	2.82		10	7.04					0	0.00		142
	FIFTH			3	75.00					0	0.00		0	0.00						Excluded		0	0.00					1	25.00		4
		TOTAL		21	14.79					95	66.90		15	10.56								10	7.04					1	0.70		142
	SIXTH			0	0.00					0	0.00		1	100.00								0	0.00						Excluded		1
		TOTAL		21	14.79					95	66.90		16	11.27								10	7.04								142
	SEVENTH				Excluded					6	28.57		13	61.90								2	9.52								21
		TOTAL								101	71.13		29	20.42								12	8.45								142
	EIGHTH									20	68.97			Excluded								9	31.03								29
		TOTAL								121	85.21											21	14.79								142
										Elected																					
																															
Boonooroo                                                      																															
	FIRST			9	2.54		1	0.28		148	41.69		43	12.11		4	1.13		17	4.79		123	34.65		2	0.56		8	2.25		355
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		9	2.54					148	41.69		43	12.11		4	1.13		17	4.79		123	34.65		2	0.56		9	2.54		355
	THIRD			1	50.00					0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		10	2.82					148	41.69		44	12.39		4	1.13		17	4.79		123	34.65					9	2.54		355
	FOURTH			0	0.00					1	25.00		1	25.00			Excluded		1	25.00		1	25.00					0	0.00		4
		TOTAL		10	2.82					149	41.97		45	12.68					18	5.07		124	34.93					9	2.54		355
	FIFTH			13	72.22					2	11.11		1	5.56						Excluded		1	5.56					1	5.56		18
		TOTAL		23	6.48					151	42.54		46	12.96								125	35.21					10	2.82		355
	SIXTH			5	50.00					0	0.00		5	50.00								0	0.00						Excluded		10
		TOTAL		28	7.89					151	42.54		51	14.37								125	35.21								355
	SEVENTH				Excluded					11	39.29		15	53.57								2	7.14								28
		TOTAL								162	45.63		66	18.59								127	35.77								355
	EIGHTH									28	42.42			Excluded								38	57.58								66
		TOTAL								190	53.52											165	46.48								355
										Elected																					
																															
Booral                                                         																															
	FIRST			17	3.27		2	0.38		195	37.50		67	12.88		7	1.35		9	1.73		156	30.00		8	1.54		59	11.35		520
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		18	3.46					196	37.69		67	12.88		7	1.35		9	1.73		156	30.00		8	1.54		59	11.35		520
	THIRD			0	0.00					1	12.50		0	0.00		5	62.50		0	0.00		2	25.00			Excluded		0	0.00		8
		TOTAL		18	3.46					197	37.88		67	12.88		12	2.31		9	1.73		158	30.38					59	11.35		520
	FOURTH			0	0.00					2	16.67		1	8.33			Excluded		3	25.00		5	41.67					1	8.33		12
		TOTAL		18	3.46					199	38.27		68	13.08					12	2.31		163	31.35					60	11.54		520
	FIFTH			8	66.67					0	0.00		1	8.33						Excluded		1	8.33					2	16.67		12
		TOTAL		26	5.00					199	38.27		69	13.27								164	31.54					62	11.92		520
	SIXTH			17	27.42					15	24.19		23	37.10								7	11.29						Excluded		62
		TOTAL		43	8.27					214	41.15		92	17.69								171	32.88								520
	SEVENTH				Excluded					13	30.23		27	62.79								3	6.98								43
		TOTAL								227	43.65		119	22.88								174	33.46								520
	EIGHTH									65	54.62			Excluded								54	45.38								119
		TOTAL								292	56.15											228	43.85								520
										Elected																					
																															
Brisbane City (Wide Bay)                                       																															
	FIRST			2	2.35		0	0.00		43	50.59		2	2.35		4	4.71		3	3.53		20	23.53		7	8.24		4	4.71		85
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	2.35					43	50.59		2	2.35		4	4.71		3	3.53		20	23.53		7	8.24		4	4.71		85
	THIRD			0	0.00					2	28.57		1	14.29		1	14.29		0	0.00		3	42.86			Excluded		0	0.00		7
		TOTAL		2	2.35					45	52.94		3	3.53		5	5.88		3	3.53		23	27.06					4	4.71		85
	FOURTH			2	40.00					1	20.00		0	0.00			Excluded		1	20.00		1	20.00					0	0.00		5
		TOTAL		4	4.71					46	54.12		3	3.53					4	4.71		24	28.24					4	4.71		85
	FIFTH			1	25.00					0	0.00		0	0.00						Excluded		1	25.00					2	50.00		4
		TOTAL		5	5.88					46	54.12		3	3.53								25	29.41					6	7.06		85
	SIXTH			2	33.33					1	16.67		3	50.00								0	0.00						Excluded		6
		TOTAL		7	8.24					47	55.29		6	7.06								25	29.41								85
	SEVENTH				Excluded					4	57.14		2	28.57								1	14.29								7
		TOTAL								51	60.00		8	9.41								26	30.59								85
	EIGHTH									5	62.50			Excluded								3	37.50								8
		TOTAL								56	65.88											29	34.12								85
										Elected																					
																															
Brooweena                                                      																															
	FIRST			11	6.47		0	0.00		78	45.88		14	8.24		3	1.76		21	12.35		40	23.53		2	1.18		1	0.59		170
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		11	6.47					78	45.88		14	8.24		3	1.76		21	12.35		40	23.53		2	1.18		1	0.59		170
	THIRD			0	0.00					0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2
		TOTAL		11	6.47					78	45.88		14	8.24		4	2.35		22	12.94		40	23.53					1	0.59		170
	FOURTH			1	25.00					0	0.00		0	0.00			Excluded		1	25.00		2	50.00					0	0.00		4
		TOTAL		12	7.06					78	45.88		14	8.24					23	13.53		42	24.71					1	0.59		170
	FIFTH			15	65.22					3	13.04		2	8.70						Excluded		1	4.35					2	8.70		23
		TOTAL		27	15.88					81	47.65		16	9.41								43	25.29					3	1.76		170
	SIXTH			0	0.00					1	33.33		2	66.67								0	0.00						Excluded		3
		TOTAL		27	15.88					82	48.24		18	10.59								43	25.29								170
	SEVENTH				Excluded					7	25.93		18	66.67								2	7.41								27
		TOTAL								89	52.35		36	21.18								45	26.47								170
	EIGHTH									14	38.89			Excluded								22	61.11								36
		TOTAL								103	60.59											67	39.41								170
										Elected																					
																															
Bullyard                                                       																															
	FIRST			10	7.19		0	0.00		62	44.60		20	14.39		5	3.60		4	2.88		27	19.42		3	2.16		8	5.76		139
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		10	7.19					62	44.60		20	14.39		5	3.60		4	2.88		27	19.42		3	2.16		8	5.76		139
	THIRD			0	0.00					0	0.00		0	0.00		2	66.67		0	0.00		1	33.33			Excluded		0	0.00		3
		TOTAL		10	7.19					62	44.60		20	14.39		7	5.04		4	2.88		28	20.14					8	5.76		139
	FOURTH			0	0.00					2	28.57		0	0.00			Excluded		1	14.29		1	14.29					3	42.86		7
		TOTAL		10	7.19					64	46.04		20	14.39					5	3.60		29	20.86					11	7.91		139
	FIFTH			1	20.00					1	20.00		2	40.00						Excluded		1	20.00					0	0.00		5
		TOTAL		11	7.91					65	46.76		22	15.83								30	21.58					11	7.91		139
	SIXTH			7	63.64					0	0.00		3	27.27								1	9.09						Excluded		11
		TOTAL		18	12.95					65	46.76		25	17.99								31	22.30								139
	SEVENTH				Excluded					5	27.78		10	55.56								3	16.67								18
		TOTAL								70	50.36		35	25.18								34	24.46								139
	EIGHTH									19	54.29			Excluded								16	45.71								35
		TOTAL								89	64.03											50	35.97								139
										Elected																					
																															
Burrum Heads                                                   																															
	FIRST			15	2.62		1	0.17		252	44.06		61	10.66		6	1.05		33	5.77		159	27.80		5	0.87		40	6.99		572
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		15	2.62					253	44.23		61	10.66		6	1.05		33	5.77		159	27.80		5	0.87		40	6.99		572
	THIRD			1	20.00					2	40.00		0	0.00		1	20.00		0	0.00		1	20.00			Excluded		0	0.00		5
		TOTAL		16	2.80					255	44.58		61	10.66		7	1.22		33	5.77		160	27.97					40	6.99		572
	FOURTH			1	14.29					2	28.57		0	0.00			Excluded		0	0.00		4	57.14					0	0.00		7
		TOTAL		17	2.97					257	44.93		61	10.66					33	5.77		164	28.67					40	6.99		572
	FIFTH			19	57.58					3	9.09		0	0.00						Excluded		2	6.06					9	27.27		33
		TOTAL		36	6.29					260	45.45		61	10.66								166	29.02					49	8.57		572
	SIXTH			19	38.78					9	18.37		18	36.73								3	6.12						Excluded		49
		TOTAL		55	9.62					269	47.03		79	13.81								169	29.55								572
	SEVENTH				Excluded					11	20.00		40	72.73								4	7.27								55
		TOTAL								280	48.95		119	20.80								173	30.24								572
	EIGHTH									66	55.46			Excluded								53	44.54								119
		TOTAL								346	60.49											226	39.51								572
										Elected																					
																															
Cherbourg                                                      																															
	FIRST			16	4.68		5	1.46		83	24.27		5	1.46		2	0.58		4	1.17		223	65.20		2	0.58		2	0.58		342
	SECOND			2	40.00			Excluded		1	20.00		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		18	5.26					84	24.56		6	1.75		3	0.88		4	1.17		223	65.20		2	0.58		2	0.58		342
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2
		TOTAL		18	5.26					84	24.56		6	1.75		3	0.88		4	1.17		225	65.79					2	0.58		342
	FOURTH			0	0.00					0	0.00		2	66.67			Excluded		0	0.00		0	0.00					1	33.33		3
		TOTAL		18	5.26					84	24.56		8	2.34					4	1.17		225	65.79					3	0.88		342
	FIFTH			1	25.00					2	50.00		0	0.00						Excluded		0	0.00					1	25.00		4
		TOTAL		19	5.56					86	25.15		8	2.34								225	65.79					4	1.17		342
	SIXTH			2	50.00					0	0.00		0	0.00								2	50.00						Excluded		4
		TOTAL		21	6.14					86	25.15		8	2.34								227	66.37								342
	SEVENTH				Excluded					15	71.43		3	14.29								3	14.29								21
		TOTAL								101	29.53		11	3.22								230	67.25								342
	EIGHTH									6	54.55			Excluded								5	45.45								11
		TOTAL								107	31.29											235	68.71								342
										Elected																					
																															
Cloyna                                                         																															
	FIRST			25	13.97		1	0.56		89	49.72		48	26.82		2	1.12		0	0.00		12	6.70		1	0.56		1	0.56		179
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		25	13.97					89	49.72		48	26.82		2	1.12		0	0.00		13	7.26		1	0.56		1	0.56		179
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		25	13.97					89	49.72		48	26.82		2	1.12		0	0.00		13	7.26					2	1.12		179
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					2	100.00		2
		TOTAL		25	13.97					89	49.72		48	26.82					0	0.00		13	7.26					4	2.23		179
	FIFTH			0	0.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		0
		TOTAL		25	13.97					89	49.72		48	26.82								13	7.26					4	2.23		179
	SIXTH			1	25.00					2	50.00		1	25.00								0	0.00						Excluded		4
		TOTAL		26	14.53					91	50.84		49	27.37								13	7.26								179
	SEVENTH				Excluded					6	23.08		20	76.92								0	0.00								26
		TOTAL								97	54.19		69	38.55								13	7.26								179
	EIGHTH									45	65.22			Excluded								24	34.78								69
		TOTAL								142	79.33											37	20.67								179
										Elected																					
																															
Coalstoun Lakes                                                																															
	FIRST			8	8.08		0	0.00		72	72.73		8	8.08		0	0.00		4	4.04		4	4.04		1	1.01		2	2.02		99
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	8.08					72	72.73		8	8.08		0	0.00		4	4.04		4	4.04		1	1.01		2	2.02		99
	THIRD			0	0.00					1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		8	8.08					73	73.74		8	8.08		0	0.00		4	4.04		4	4.04					2	2.02		99
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0
		TOTAL		8	8.08					73	73.74		8	8.08					4	4.04		4	4.04					2	2.02		99
	FIFTH			1	25.00					2	50.00		0	0.00						Excluded		0	0.00					1	25.00		4
		TOTAL		9	9.09					75	75.76		8	8.08								4	4.04					3	3.03		99
	SIXTH			1	33.33					1	33.33		1	33.33								0	0.00						Excluded		3
		TOTAL		10	10.10					76	76.77		9	9.09								4	4.04								99
	SEVENTH				Excluded					6	60.00		3	30.00								1	10.00								10
		TOTAL								82	82.83		12	12.12								5	5.05								99
	EIGHTH									8	66.67			Excluded								4	33.33								12
		TOTAL								90	90.91											9	9.09								99
										Elected																					
																															
Curra                                                          																															
	FIRST			26	5.25		1	0.20		164	33.13		88	17.78		17	3.43		32	6.46		147	29.70		10	2.02		10	2.02		495
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		26	5.25					165	33.33		88	17.78		17	3.43		32	6.46		147	29.70		10	2.02		10	2.02		495
	THIRD			2	20.00					2	20.00		2	20.00		2	20.00		0	0.00		1	10.00			Excluded		1	10.00		10
		TOTAL		28	5.66					167	33.74		90	18.18		19	3.84		32	6.46		148	29.90					11	2.22		495
	FOURTH			1	5.26					1	5.26		2	10.53			Excluded		3	15.79		9	47.37					3	15.79		19
		TOTAL		29	5.86					168	33.94		92	18.59					35	7.07		157	31.72					14	2.83		495
	FIFTH			28	80.00					5	14.29		2	5.71						Excluded		0	0.00					0	0.00		35
		TOTAL		57	11.52					173	34.95		94	18.99								157	31.72					14	2.83		495
	SIXTH			7	50.00					0	0.00		4	28.57								3	21.43						Excluded		14
		TOTAL		64	12.93					173	34.95		98	19.80								160	32.32								495
	SEVENTH				Excluded					20	31.25		40	62.50								4	6.25								64
		TOTAL								193	38.99		138	27.88								164	33.13								495
	EIGHTH									66	47.83			Excluded								72	52.17								138
		TOTAL								259	52.32											236	47.68								495
										Elected																					
																															
Dululu                                                         																															
	FIRST			3	2.48		4	3.31		78	64.46		17	14.05		2	1.65		2	1.65		12	9.92		1	0.83		2	1.65		121
	SECOND			0	0.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		3	75.00		0	0.00		0	0.00		4
		TOTAL		3	2.48					78	64.46		18	14.88		2	1.65		2	1.65		15	12.40		1	0.83		2	1.65		121
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		3	2.48					78	64.46		18	14.88		2	1.65		2	1.65		15	12.40					3	2.48		121
