Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Petrie (89711)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Bridgeman Downs		10	0.41		501	20.37		2	0.08		136	5.53		22	0.89		42	1.71		8	0.33		0	0.00		100	4.07		1478	60.11		11	0.45		146	5.94		3	0.12		2459	96.96		77	3.04		2536	2.96
Brisbane City (Petrie)		1	0.44		74	32.31		0	0.00		9	3.93		7	3.06		12	5.24		6	2.62		0	0.00		4	1.75		90	39.30		3	1.31		23	10.04		0	0.00		229	100.00		0	0.00		229	0.27
Carseldine		4	0.19		629	30.61		0	0.00		115	5.60		12	0.58		41	2.00		15	0.73		2	0.10		112	5.45		973	47.35		10	0.49		142	6.91		0	0.00		2055	97.53		52	2.47		2107	2.46
Chermside		0	0.00		167	41.34		0	0.00		8	1.98		7	1.73		7	1.73		10	2.48		2	0.50		20	4.95		148	36.63		5	1.24		28	6.93		2	0.50		404	96.65		14	3.35		418	0.49
Chermside Garden Settlement		2	0.43		155	33.33		1	0.22		27	5.81		3	0.65		8	1.72		2	0.43		0	0.00		18	3.87		219	47.10		6	1.29		24	5.16		0	0.00		465	92.45		38	7.55		503	0.59
Chermside West		11	0.37		893	29.72		1	0.03		152	5.06		44	1.46		104	3.46		23	0.77		3	0.10		202	6.72		1238	41.20		15	0.50		319	10.62		0	0.00		3005	96.65		104	3.35		3109	3.63
Clontarf		12	0.52		876	37.84		1	0.04		89	3.84		15	0.65		73	3.15		36	1.56		3	0.13		222	9.59		788	34.04		33	1.43		166	7.17		1	0.04		2315	96.86		75	3.14		2390	2.79
Clontarf Beach		6	0.27		894	40.82		2	0.09		72	3.29		19	0.87		40	1.83		17	0.78		3	0.14		186	8.49		749	34.20		22	1.00		178	8.13		2	0.09		2190	97.68		52	2.32		2242	2.62
Craigslea		2	0.17		345	29.72		0	0.00		55	4.74		7	0.60		40	3.45		5	0.43		0	0.00		47	4.05		588	50.65		3	0.26		68	5.86		1	0.09		1161	97.89		25	2.11		1186	1.39
Deception Bay South (Petrie)		1	0.08		539	43.29		1	0.08		26	2.09		9	0.72		20	1.61		17	1.37		1	0.08		129	10.36		381	30.60		26	2.09		92	7.39		3	0.24		1245	97.19		36	2.81		1281	1.50
Everton Park (Petrie)		2	0.52		125	32.64		0	0.00		10	2.61		4	1.04		9	2.35		3	0.78		1	0.26		23	6.01		181	47.26		1	0.26		24	6.27		0	0.00		383	96.96		12	3.04		395	0.46
Everton Park North (Petrie)		1	0.09		323	28.89		0	0.00		35	3.13		22	1.97		23	2.06		14	1.25		1	0.09		54	4.83		540	48.30		7	0.63		98	8.77		0	0.00		1118	97.90		24	2.10		1142	1.33
Kippa-Ring		10	0.31		1353	42.47		3	0.09		69	2.17		36	1.13		94	2.95		41	1.29		4	0.13		220	6.91		1129	35.44		47	1.48		179	5.62		1	0.03		3186	96.66		110	3.34		3296	3.85
Kippa-Ring North		8	0.46		673	38.90		1	0.06		52	3.01		15	0.87		34	1.97		21	1.21		0	0.00		127	7.34		699	40.40		14	0.81		85	4.91		1	0.06		1730	95.05		90	4.95		1820	2.13
Kippa-Ring West		4	0.23		737	42.09		3	0.17		89	5.08		16	0.91		35	2.00		17	0.97		3	0.17		144	8.22		586	33.47		20	1.14		97	5.54		0	0.00		1751	97.66		42	2.34		1793	2.10
McDowall		6	0.13		1187	26.51		7	0.16		202	4.51		51	1.14		93	2.08		34	0.76		3	0.07		152	3.40		2333	52.11		21	0.47		386	8.62		2	0.04		4477	97.58		111	2.42		4588	5.36
Mango Hill		1	0.08		401	33.28		0	0.00		38	3.15		24	1.99		13	1.08		12	1.00		1	0.08		90	7.47		536	44.48		15	1.24		74	6.14		0	0.00		1205	98.29		21	1.71		1226	1.43
Margate		16	0.53		1140	38.09		3	0.10		101	3.37		29	0.97		101	3.37		46	1.54		4	0.13		233	7.78		1047	34.98		31	1.04		240	8.02		2	0.07		2993	96.67		103	3.33		3096	3.62
Moreton Downs		3	0.56		215	40.49		1	0.19		6	1.13		6	1.13		11	2.07		6	1.13		1	0.19		48	9.04		199	37.48		7	1.32		26	4.90		2	0.38		531	97.43		14	2.57		545	0.64
Redcliffe		6	0.22		1079	38.92		2	0.07		81	2.92		33	1.19		84	3.03		28	1.01		4	0.14		229	8.26		997	35.97		36	1.30		193	6.96		0	0.00		2772	96.22		109	3.78		2881	3.37
Redcliffe Hospital		5	0.42		522	43.43		0	0.00		28	2.33		7	0.58		23	1.91		10	0.83		2	0.17		77	6.41		445	37.02		12	1.00		71	5.91		0	0.00		1202	95.40		58	4.60		1260	1.47
Rothwell		4	0.27		480	32.63		0	0.00		68	4.62		49	3.33		21	1.43		7	0.48		1	0.07		108	7.34		637	43.30		17	1.16		79	5.37		0	0.00		1471	96.90		47	3.10		1518	1.77
Scarborough		7	0.23		1036	33.49		1	0.03		104	3.36		34	1.10		102	3.30		38	1.23		2	0.06		227	7.34		1248	40.35		32	1.03		259	8.37		3	0.10		3093	97.23		88	2.77		3181	3.72
Scarborough North		5	0.43		403	34.53		1	0.09		54	4.63		7	0.60		29	2.49		13	1.11		2	0.17		108	9.25		466	39.93		9	0.77		70	6.00		0	0.00		1167	94.88		63	5.12		1230	1.44
Somerset Hills (Petrie)		8	0.48		603	35.85		0	0.00		84	4.99		22	1.31		68	4.04		19	1.13		1	0.06		80	4.76		609	36.21		19	1.13		168	9.99		1	0.06		1682	97.06		51	2.94		1733	2.03
Stafford (Petrie)		3	0.53		209	36.67		0	0.00		20	3.51		6	1.05		43	7.54		3	0.53		0	0.00		27	4.74		204	35.79		5	0.88		50	8.77		0	0.00		570	95.64		26	4.36		596	0.70
Stafford Central		6	0.47		509	39.64		1	0.08		63	4.91		8	0.62		40	3.12		18	1.40		3	0.23		63	4.91		448	34.89		10	0.78		115	8.96		0	0.00		1284	97.35		35	2.65		1319	1.54
Stafford Heights		6	0.24		851	34.48		1	0.04		118	4.78		34	1.38		69	2.80		37	1.50		2	0.08		134	5.43		949	38.45		20	0.81		246	9.97		1	0.04		2468	96.86		80	3.14		2548	2.98
Stafford West (Petrie)		2	0.24		283	34.26		2	0.24		17	2.06		12	1.45		32	3.87		17	2.06		2	0.24		62	7.51		326	39.47		7	0.85		62	7.51		2	0.24		826	97.18		24	2.82		850	0.99
Taigum (Petrie)		3	0.38		321	40.89		0	0.00		31	3.95		7	0.89		15	1.91		10	1.27		0	0.00		31	3.95		288	36.69		12	1.53		67	8.54		0	0.00		785	97.52		20	2.48		805	0.94
Woody Point		10	0.51		783	39.79		3	0.15		82	4.17		16	0.81		49	2.49		14	0.71		4	0.20		198	10.06		674	34.25		12	0.61		120	6.10		3	0.15		1968	96.09		80	3.91		2048	2.39
Special Hospitals		1	0.45		89	40.27		1	0.45		11	4.98		0	0.00		3	1.36		0	0.00		0	0.00		8	3.62		99	44.80		4	1.81		5	2.26		0	0.00		221	97.79		5	2.21		226	0.26
Total Ordinary		226	0.33		24032	34.91		47	0.07		2541	3.69		723	1.05		1771	2.57		702	1.02		71	0.10		4518	6.56		28331	41.15		621	0.90		5232	7.60		34	0.05		68849	96.98		2144	3.02		70993	82.99
ABSENT		19	0.33		1952	33.41		4	0.07		180	3.08		84	1.44		246	4.21		125	2.14		6	0.10		376	6.44		2231	38.19		91	1.56		522	8.94		6	0.10		5842	98.40		95	1.60		5937	6.94
POSTAL		19	0.39		1723	35.50		2	0.04		143	2.95		34	0.70		64	1.32		22	0.45		1	0.02		368	7.58		2228	45.90		39	0.80		210	4.33		1	0.02		4854	98.02		98	1.98		4952	5.79
PRE_POLL		13	0.42		1025	33.02		0	0.00		73	2.35		38	1.22		75	2.42		34	1.10		4	0.13		195	6.28		1369	44.10		43	1.39		231	7.44		4	0.13		3104	99.14		27	0.86		3131	3.66
PROVISIONAL		4	0.78		224	43.92		0	0.00		12	2.35		6	1.18		23	4.51		11	2.16		0	0.00		28	5.49		161	31.57		8	1.57		32	6.27		1	0.20		510	95.86		22	4.14		532	0.62
Division Summary		281	0.34		28956	34.82		53	0.06		2949	3.55		885	1.06		2179	2.62		894	1.08		82	0.1		5485	6.6		34320	41.27		802	0.96		6227	7.49		46	0.06		83159	97.21		2386	2.79		85545	95.36
