Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Moreton (89254)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Fairfield		9	0.83		359	32.97		1	0.09		61	5.60		19	1.74		86	7.90		19	1.74		3	0.28		66	6.06		329	30.21		11	1.01		126	11.57		0	0.00		1089	96.12		44	3.88		1133	1.35
Graceville		7	0.25		782	28.21		1	0.04		151	5.45		18	0.65		176	6.35		31	1.12		5	0.18		118	4.26		1121	40.44		6	0.22		354	12.77		2	0.07		2772	98.02		56	1.98		2828	3.36
Graceville West		1	0.19		117	21.79		0	0.00		35	6.52		1	0.19		26	4.84		6	1.12		1	0.19		28	5.21		278	51.77		3	0.56		39	7.26		2	0.37		537	97.99		11	2.01		548	0.65
Greenslopes Hospital		2	0.37		147	27.22		0	0.00		27	5.00		10	1.85		32	5.93		8	1.48		1	0.19		17	3.15		238	44.07		4	0.74		54	10.00		0	0.00		540	98.18		10	1.82		550	0.65
Greenslopes School (Moreton)		8	0.57		531	37.71		1	0.07		34	2.41		15	1.07		86	6.11		13	0.92		1	0.07		48	3.41		504	35.80		6	0.43		161	11.43		0	0.00		1408	94.56		81	5.44		1489	1.77
Holland Park (Moreton)		5	0.57		301	34.20		0	0.00		39	4.43		4	0.45		42	4.77		18	2.05		0	0.00		37	4.20		351	39.89		4	0.45		78	8.86		1	0.11		880	95.55		41	4.45		921	1.09
Junction Park		12	0.88		516	37.72		0	0.00		48	3.51		15	1.10		100	7.31		17	1.24		1	0.07		65	4.75		415	30.34		11	0.80		166	12.13		2	0.15		1368	97.37		37	2.63		1405	1.67
Kuraby (Moreton)		2	0.14		505	34.54		0	0.00		50	3.42		27	1.85		41	2.80		9	0.62		2	0.14		82	5.61		626	42.82		11	0.75		105	7.18		2	0.14		1462	96.95		46	3.05		1508	1.79
Macgregor		9	0.45		631	31.76		2	0.10		107	5.39		36	1.81		54	2.72		29	1.46		3	0.15		96	4.83		882	44.39		17	0.86		119	5.99		2	0.10		1987	95.07		103	4.93		2090	2.48
Mansfield (Moreton)		3	0.18		521	30.63		5	0.29		78	4.59		39	2.29		50	2.94		18	1.06		2	0.12		62	3.64		790	46.44		14	0.82		118	6.94		1	0.06		1701	98.49		26	1.51		1727	2.05
Market Square		7	0.29		791	32.89		3	0.12		153	6.36		18	0.75		85	3.53		15	0.62		2	0.08		132	5.49		998	41.50		28	1.16		172	7.15		1	0.04		2405	96.16		96	3.84		2501	2.97
Marshall Road		10	0.48		691	32.86		1	0.05		82	3.90		16	0.76		102	4.85		23	1.09		1	0.05		99	4.71		896	42.61		13	0.62		164	7.80		5	0.24		2103	96.29		81	3.71		2184	2.59
Moorooka		2	0.25		323	39.73		0	0.00		32	3.94		7	0.86		32	3.94		12	1.48		0	0.00		62	7.63		276	33.95		10	1.23		56	6.89		1	0.12		813	94.64		46	5.36		859	1.02
Moorooka School		11	0.48		832	36.62		3	0.13		34	1.50		17	0.75		113	4.97		40	1.76		4	0.18		144	6.34		805	35.43		15	0.66		250	11.00		4	0.18		2272	95.78		100	4.22		2372	2.82
Moorvale		2	0.25		305	37.79		0	0.00		31	3.84		2	0.25		32	3.97		7	0.87		1	0.12		63	7.81		295	36.56		2	0.25		66	8.18		1	0.12		807	94.28		49	5.72		856	1.02
Mount Gravatt (Moreton)		2	0.10		656	33.15		0	0.00		121	6.11		28	1.41		89	4.50		23	1.16		3	0.15		93	4.70		759	38.35		4	0.20		200	10.11		1	0.05		1979	97.73		46	2.27		2025	2.41
Mt Petrie (Moreton)		1	0.44		52	23.11		0	0.00		17	7.56		4	1.78		10	4.44		2	0.89		1	0.44		21	9.33		106	47.11		0	0.00		11	4.89		0	0.00		225	99.12		2	0.88		227	0.27
Robertson		9	0.47		614	32.33		1	0.05		132	6.95		17	0.90		59	3.11		16	0.84		1	0.05		71	3.74		854	44.97		16	0.84		106	5.58		3	0.16		1899	95.91		81	4.09		1980	2.35
Rochedale (Moreton)		2	0.30		158	23.72		0	0.00		68	10.21		7	1.05		9	1.35		9	1.35		0	0.00		51	7.66		331	49.70		5	0.75		25	3.75		1	0.15		666	98.38		11	1.62		677	0.80
Rocklea		1	0.13		355	46.83		0	0.00		15	1.98		2	0.26		16	2.11		12	1.58		1	0.13		117	15.44		188	24.80		6	0.79		45	5.94		0	0.00		758	95.35		37	4.65		795	0.94
Runcorn (Moreton)		5	0.39		444	35.02		2	0.16		45	3.55		11	0.87		37	2.92		15	1.18		1	0.08		95	7.49		499	39.35		9	0.71		102	8.04		3	0.24		1268	96.50		46	3.50		1314	1.56
Runcorn High School		2	0.25		321	40.58		0	0.00		24	3.03		7	0.88		22	2.78		5	0.63		0	0.00		42	5.31		301	38.05		7	0.88		60	7.59		0	0.00		791	97.78		18	2.22		809	0.96
Salisbury		18	0.60		1178	39.07		2	0.07		78	2.59		31	1.03		136	4.51		52	1.72		3	0.10		223	7.40		994	32.97		18	0.60		281	9.32		1	0.03		3015	96.14		121	3.86		3136	3.73
Sherwood		2	0.13		417	26.80		0	0.00		90	5.78		18	1.16		104	6.68		17	1.09		3	0.19		64	4.11		669	42.99		10	0.64		161	10.35		1	0.06		1556	95.99		65	4.01		1621	1.93
Sunnybank (Moreton)		8	0.42		658	34.54		1	0.05		96	5.04		23	1.21		77	4.04		15	0.79		1	0.05		127	6.67		766	40.21		17	0.89		116	6.09		0	0.00		1905	96.50		69	3.50		1974	2.34
Tarragindi		6	0.49		374	30.23		0	0.00		61	4.93		11	0.89		85	6.87		19	1.54		0	0.00		55	4.45		506	40.91		2	0.16		118	9.54		0	0.00		1237	96.11		50	3.89		1287	1.53
Tarragindi East		8	0.62		357	27.72		0	0.00		69	5.36		10	0.78		77	5.98		13	1.01		0	0.00		54	4.19		566	43.94		4	0.31		128	9.94		2	0.16		1288	96.41		48	3.59		1336	1.59
Tennyson		1	0.38		73	27.65		0	0.00		8	3.03		2	0.76		12	4.55		4	1.52		0	0.00		8	3.03		131	49.62		0	0.00		25	9.47		0	0.00		264	98.88		3	1.12		267	0.32
Thompson Estate		5	1.08		194	42.08		0	0.00		23	4.99		5	1.08		16	3.47		5	1.08		0	0.00		24	5.21		146	31.67		6	1.30		37	8.03		0	0.00		461	95.45		22	4.55		483	0.57
Upper Mt Gravatt		16	0.38		1433	33.89		0	0.00		111	2.62		41	0.97		155	3.67		36	0.85		6	0.14		250	5.91		1825	43.15		27	0.64		329	7.78		0	0.00		4229	95.96		178	4.04		4407	5.23
Warrigal Road		18	0.36		1644	32.97		2	0.04		274	5.50		50	1.00		125	2.51		44	0.88		5	0.10		201	4.03		2229	44.71		39	0.78		352	7.06		3	0.06		4986	97.16		146	2.84		5132	6.10
Wellers Hill		7	0.21		951	29.17		3	0.09		143	4.39		30	0.92		173	5.31		43	1.32		3	0.09		114	3.50		1368	41.96		22	0.67		401	12.30		2	0.06		3260	97.31		90	2.69		3350	3.98
Wishart		13	0.51		787	30.60		0	0.00		152	5.91		36	1.40		57	2.22		23	0.89		0	0.00		130	5.05		1123	43.66		16	0.62		234	9.10		1	0.04		2572	98.13		49	1.87		2621	3.11
Yeronga		7	0.34		672	32.68		3	0.15		85	4.13		13	0.63		122	5.93		25	1.22		1	0.05		72	3.50		724	35.21		8	0.39		324	15.76		0	0.00		2056	96.03		85	3.97		2141	2.54
Yeronga West		9	0.48		489	26.14		0	0.00		91	4.86		6	0.32		99	5.29		26	1.39		1	0.05		83	4.44		818	43.72		9	0.48		239	12.77		1	0.05		1871	97.45		49	2.55		1920	2.28
Special Hospitals		1	0.52		74	38.34		0	0.00		13	6.74		0	0.00		1	0.52		0	0.00		0	0.00		4	2.07		97	50.26		1	0.52		2	1.04		0	0.00		193	95.07		10	4.93		203	0.24
Total Ordinary		275	0.41		21980	33.03		38	0.06		3008	4.52		680	1.02		2876	4.32		793	1.19		67	0.10		3506	5.27		26799	40.27		449	0.67		6023	9.05		49	0.07		66543	96.60		2341	3.40		68884	81.82
ABSENT		42	0.65		1940	29.83		2	0.03		233	3.58		69	1.06		388	5.97		171	2.63		7	0.11		297	4.57		2506	38.54		80	1.23		767	11.79		1	0.02		6503	98.41		105	1.59		6608	7.85
POSTAL		15	0.31		1538	32.18		2	0.04		164	3.43		47	0.98		79	1.65		31	0.65		6	0.13		318	6.65		2285	47.80		30	0.63		263	5.50		2	0.04		4780	98.15		90	1.85		4870	5.78
PRE_POLL		7	0.23		1006	32.76		6	0.20		111	3.61		29	0.94		163	5.31		33	1.07		4	0.13		114	3.71		1280	41.68		29	0.94		287	9.35		2	0.07		3071	98.43		49	1.57		3120	3.71
PROVISIONAL		0	0.00		262	38.47		0	0.00		14	2.06		6	0.88		39	5.73		18	2.64		2	0.29		26	3.82		215	31.57		16	2.35		83	12.19		0	0.00		681	96.60		24	3.40		705	0.84
Division Summary		339	0.42		26726	32.76		48	0.06		3530	4.33		831	1.02		3545	4.35		1046	1.28		86	0.11		4261	5.22		33085	40.56		604	0.74		7423	9.1		54	0.07		81578	96.9		2609	3.1		84187	94.32
