House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Moreton																							
				HARDGRAVE			LAMB			TAYLOR			BROOKES			COMANS			WEEDON				
	FIRST			560	66.19		12	1.42		47	5.56		170	20.09		45	5.32		12	1.42		846	
	SECOND			7	58.33			Excluded		0	0.00		4	33.33		0	0.00		1	8.33		12	
		TOTAL		567	67.02					47	5.56		174	20.57		45	5.32		13	1.54		846	
	THIRD			12	92.31					0	0.00		0	0.00		1	7.69			Excluded		13	
		TOTAL		579	68.44					47	5.56		174	20.57		46	5.44					846	
	FOURTH			8	17.02						Excluded		20	42.55		19	40.43					47	
		TOTAL		587	69.39								194	22.93		65	7.68					846	
	FIFTH			14	21.54								51	78.46			Excluded					65	
		TOTAL		601	71.04								245	28.96								846	
				Elected																			
																							
Coopers Plains                                                 																							
	FIRST			827	38.68		46	2.15		89	4.16		964	45.09		111	5.19		101	4.72		2138	
	SECOND			21	45.65			Excluded		10	21.74		8	17.39		3	6.52		4	8.70		46	
		TOTAL		848	39.66					99	4.63		972	45.46		114	5.33		105	4.91		2138	
	THIRD			38	36.19					21	20.00		17	16.19		29	27.62			Excluded		105	
		TOTAL		886	41.44					120	5.61		989	46.26		143	6.69					2138	
	FOURTH			16	13.33						Excluded		39	32.50		65	54.17					120	
		TOTAL		902	42.19								1028	48.08		208	9.73					2138	
	FIFTH			47	22.60								161	77.40			Excluded					208	
		TOTAL		949	44.39								1189	55.61								2138	
				Elected																			
																							
Corinda (Moreton)                                              																							
	FIRST			162	45.51		12	3.37		18	5.06		124	34.83		27	7.58		13	3.65		356	
	SECOND			6	50.00			Excluded		0	0.00		2	16.67		2	16.67		2	16.67		12	
		TOTAL		168	47.19					18	5.06		126	35.39		29	8.15		15	4.21		356	
	THIRD			7	46.67					2	13.33		2	13.33		4	26.67			Excluded		15	
		TOTAL		175	49.16					20	5.62		128	35.96		33	9.27					356	
	FOURTH			3	15.00						Excluded		9	45.00		8	40.00					20	
		TOTAL		178	50.00								137	38.48		41	11.52					356	
	FIFTH			6	14.63								35	85.37			Excluded					41	
		TOTAL		184	51.69								172	48.31								356	
				Elected																			
																							
Dupre St                                                       																							
	FIRST			223	50.57		11	2.49		10	2.27		161	36.51		15	3.40		21	4.76		441	
	SECOND			1	9.09			Excluded		0	0.00		4	36.36		0	0.00		6	54.55		11	
		TOTAL		224	50.79					10	2.27		165	37.41		15	3.40		27	6.12		441	
	THIRD			20	74.07					0	0.00		3	11.11		4	14.81			Excluded		27	
		TOTAL		244	55.33					10	2.27		168	38.10		19	4.31					441	
	FOURTH			1	10.00						Excluded		4	40.00		5	50.00					10	
		TOTAL		245	55.56								172	39.00		24	5.44					441	
	FIFTH			7	29.17								17	70.83			Excluded					24	
		TOTAL		252	57.14								189	42.86								441	
				Elected																			
																							
Eight Mile Plains (Moreton)                                    																							
	FIRST			751	47.71		43	2.73		24	1.52		617	39.20		52	3.30		87	5.53		1574	
	SECOND			24	55.81			Excluded		4	9.30		5	11.63		4	9.30		6	13.95		43	
		TOTAL		775	49.24					28	1.78		622	39.52		56	3.56		93	5.91		1574	
	THIRD			27	29.03					16	17.20		21	22.58		29	31.18			Excluded		93	
		TOTAL		802	50.95					44	2.80		643	40.85		85	5.40					1574	
	FOURTH			10	22.73						Excluded		22	50.00		12	27.27					44	
		TOTAL		812	51.59								665	42.25		97	6.16					1574	
	FIFTH			30	30.93								67	69.07			Excluded					97	
		TOTAL		842	53.49								732	46.51								1574	
				Elected																			
																							
Fairfield                                                      																							
	FIRST			435	39.65		22	2.01		92	8.39		435	39.65		72	6.56		41	3.74		1097	
	SECOND			7	31.82			Excluded		3	13.64		8	36.36		1	4.55		3	13.64		22	
		TOTAL		442	40.29					95	8.66		443	40.38		73	6.65		44	4.01		1097	
	THIRD			15	34.09					11	25.00		1	2.27		17	38.64			Excluded		44	
		TOTAL		457	41.66					106	9.66		444	40.47		90	8.20					1097	
	FOURTH			15	14.15						Excluded		33	31.13		58	54.72					106	
		TOTAL		472	43.03								477	43.48		148	13.49					1097	
	FIFTH			26	17.57								122	82.43			Excluded					148	
		TOTAL		498	45.40								599	54.60								1097	
				Elected																			
																							
Graceville                                                     																							
	FIRST			1365	49.64		35	1.27		154	5.60		947	34.44		188	6.84		61	2.22		2750	
	SECOND			17	48.57			Excluded		7	20.00		6	17.14		4	11.43		1	2.86		35	
		TOTAL		1382	50.25					161	5.85		953	34.65		192	6.98		62	2.25		2750	
	THIRD			24	38.71					13	20.97		9	14.52		16	25.81			Excluded		62	
		TOTAL		1406	51.13					174	6.33		962	34.98		208	7.56					2750	
	FOURTH			20	11.49						Excluded		56	32.18		98	56.32					174	
		TOTAL		1426	51.85								1018	37.02		306	11.13					2750	
	FIFTH			72	23.53								234	76.47			Excluded					306	
		TOTAL		1498	54.47								1252	45.53								2750	
				Elected																			
																							
Graceville West                                                																							
	FIRST			323	59.93		11	2.04		24	4.45		148	27.46		17	3.15		16	2.97		539	
	SECOND			5	45.45			Excluded		2	18.18		2	18.18		0	0.00		2	18.18		11	
		TOTAL		328	60.85					26	4.82		150	27.83		17	3.15		18	3.34		539	
	THIRD			9	50.00					0	0.00		3	16.67		6	33.33			Excluded		18	
		TOTAL		337	62.52					26	4.82		153	28.39		23	4.27					539	
	FOURTH			7	26.92						Excluded		6	23.08		13	50.00					26	
		TOTAL		344	63.82								159	29.50		36	6.68					539	
	FIFTH			9	25.00								27	75.00			Excluded					36	
		TOTAL		353	65.49								186	34.51								539	
				Elected																			
																							
Greenslopes Hospital                                           																							
	FIRST			295	54.63		7	1.30		35	6.48		154	28.52		41	7.59		8	1.48		540	
	SECOND			1	14.29			Excluded		2	28.57		2	28.57		1	14.29		1	14.29		7	
		TOTAL		296	54.81					37	6.85		156	28.89		42	7.78		9	1.67		540	
	THIRD			5	55.56					0	0.00		1	11.11		3	33.33			Excluded		9	
		TOTAL		301	55.74					37	6.85		157	29.07		45	8.33					540	
	FOURTH			3	8.11						Excluded		12	32.43		22	59.46					37	
		TOTAL		304	56.30								169	31.30		67	12.41					540	
	FIFTH			16	23.88								51	76.12			Excluded					67	
		TOTAL		320	59.26								220	40.74								540	
				Elected																			
																							
Greenslopes School (Moreton)                                   																							
	FIRST			576	41.20		25	1.79		88	6.29		572	40.92		109	7.80		28	2.00		1398	
	SECOND			12	48.00			Excluded		6	24.00		1	4.00		3	12.00		3	12.00		25	
		TOTAL		588	42.06					94	6.72		573	40.99		112	8.01		31	2.22		1398	
	THIRD			17	54.84					5	16.13		2	6.45		7	22.58			Excluded		31	
		TOTAL		605	43.28					99	7.08		575	41.13		119	8.51					1398	
	FOURTH			14	14.14						Excluded		22	22.22		63	63.64					99	
		TOTAL		619	44.28								597	42.70		182	13.02					1398	
	FIFTH			43	23.63								139	76.37			Excluded					182	
		TOTAL		662	47.35								736	52.65								1398	
				Elected																			
																							
Holland Park (Moreton)                                         																							
	FIRST			442	49.94		19	2.15		42	4.75		326	36.84		44	4.97		12	1.36		885	
	SECOND			4	21.05			Excluded		8	42.11		1	5.26		5	26.32		1	5.26		19	
		TOTAL		446	50.40					50	5.65		327	36.95		49	5.54		13	1.47		885	
	THIRD			6	46.15					2	15.38		2	15.38		3	23.08			Excluded		13	
		TOTAL		452	51.07					52	5.88		329	37.18		52	5.88					885	
	FOURTH			3	5.77						Excluded		28	53.85		21	40.38					52	
		TOTAL		455	51.41								357	40.34		73	8.25					885	
	FIFTH			24	32.88								49	67.12			Excluded					73	
		TOTAL		479	54.12								406	45.88								885	
				Elected																			
																							
Junction Park                                                  																							
	FIRST			511	37.80		17	1.26		98	7.25		595	44.01		96	7.10		35	2.59		1352	
	SECOND			5	29.41			Excluded		7	41.18		2	11.76		2	11.76		1	5.88		17	
		TOTAL		516	38.17					105	7.77		597	44.16		98	7.25		36	2.66		1352	
	THIRD			11	30.56					4	11.11		6	16.67		15	41.67			Excluded		36	
		TOTAL		527	38.98					109	8.06		603	44.60		113	8.36					1352	
	FOURTH			14	12.84						Excluded		31	28.44		64	58.72					109	
		TOTAL		541	40.01								634	46.89		177	13.09					1352	
	FIFTH			38	21.47								139	78.53			Excluded					177	
		TOTAL		579	42.83								773	57.17								1352	
				Elected																			
																							
Kuraby (Moreton)                                               																							
	FIRST			705	49.47		42	2.95		35	2.46		521	36.56		68	4.77		54	3.79		1425	
	SECOND			28	66.67			Excluded		3	7.14		4	9.52		1	2.38		6	14.29		42	
		TOTAL		733	51.44					38	2.67		525	36.84		69	4.84		60	4.21		1425	
	THIRD			20	33.33					16	26.67		9	15.00		15	25.00			Excluded		60	
		TOTAL		753	52.84					54	3.79		534	37.47		84	5.89					1425	
	FOURTH			11	20.37						Excluded		11	20.37		32	59.26					54	
		TOTAL		764	53.61								545	38.25		116	8.14					1425	
	FIFTH			35	30.17								81	69.83			Excluded					116	
		TOTAL		799	56.07								626	43.93								1425	
				Elected																			
																							
Macgregor                                                      																							
	FIRST			1049	54.04		46	2.37		54	2.78		682	35.14		65	3.35		45	2.32		1941	
	SECOND			32	69.57			Excluded		3	6.52		2	4.35		4	8.70		5	10.87		46	
		TOTAL		1081	55.69					57	2.94		684	35.24		69	3.55		50	2.58		1941	
	THIRD			18	36.00					11	22.00		7	14.00		14	28.00			Excluded		50	
		TOTAL		1099	56.62					68	3.50		691	35.60		83	4.28					1941	
	FOURTH			10	14.71						Excluded		25	36.76		33	48.53					68	
		TOTAL		1109	57.14								716	36.89		116	5.98					1941	
	FIFTH			30	25.86								86	74.14			Excluded					116	
		TOTAL		1139	58.68								802	41.32								1941	
				Elected																			
																							
Mansfield (Moreton)                                            																							
	FIRST			925	55.49		41	2.46		44	2.64		560	33.59		60	3.60		37	2.22		1667	
	SECOND			30	73.17			Excluded		4	9.76		5	12.20		1	2.44		1	2.44		41	
		TOTAL		955	57.29					48	2.88		565	33.89		61	3.66		38	2.28		1667	
	THIRD			14	36.84					6	15.79		12	31.58		6	15.79			Excluded		38	
		TOTAL		969	58.13					54	3.24		577	34.61		67	4.02					1667	
	FOURTH			7	12.96						Excluded		23	42.59		24	44.44					54	
		TOTAL		976	58.55								600	35.99		91	5.46					1667	
	FIFTH			26	28.57								65	71.43			Excluded					91	
		TOTAL		1002	60.11								665	39.89								1667	
				Elected																			
																							
Market Square                                                  																							
	FIRST			1230	52.12		25	1.06		75	3.18		849	35.97		118	5.00		63	2.67		2360	
	SECOND			11	44.00			Excluded		4	16.00		2	8.00		4	16.00		4	16.00		25	
		TOTAL		1241	52.58					79	3.35		851	36.06		122	5.17		67	2.84		2360	
	THIRD			26	38.81					10	14.93		5	7.46		26	38.81			Excluded		67	
		TOTAL		1267	53.69					89	3.77		856	36.27		148	6.27					2360	
	FOURTH			15	16.85						Excluded		26	29.21		48	53.93					89	
		TOTAL		1282	54.32								882	37.37		196	8.31					2360	
	FIFTH			46	23.47								150	76.53			Excluded					196	
		TOTAL		1328	56.27								1032	43.73								2360	
				Elected																			
																							
Marshall Road                                                  																							
	FIRST			1088	51.64		35	1.66		102	4.84		749	35.55		86	4.08		47	2.23		2107	
	SECOND			13	37.14			Excluded		7	20.00		11	31.43		2	5.71		2	5.71		35	
		TOTAL		1101	52.25					109	5.17		760	36.07		88	4.18		49	2.33		2107	
	THIRD			21	42.86					10	20.41		10	20.41		8	16.33			Excluded		49	
		TOTAL		1122	53.25					119	5.65		770	36.54		96	4.56					2107	
	FOURTH			17	14.29						Excluded		47	39.50		55	46.22					119	
		TOTAL		1139	54.06								817	38.78		151	7.17					2107	
	FIFTH			46	30.46								105	69.54			Excluded					151	
		TOTAL		1185	56.24								922	43.76								2107	
				Elected																			
																							
Moorooka                                                       																							
	FIRST			337	41.76		13	1.61		34	4.21		359	44.49		32	3.97		32	3.97		807	
	SECOND			8	61.54			Excluded		1	7.69		1	7.69		2	15.38		1	7.69		13	
		TOTAL		345	42.75					35	4.34		360	44.61		34	4.21		33	4.09		807	
	THIRD			7	21.21					4	12.12		6	18.18		16	48.48			Excluded		33	
		TOTAL		352	43.62					39	4.83		366	45.35		50	6.20					807	
	FOURTH			5	12.82						Excluded		10	25.64		24	61.54					39	
		TOTAL		357	44.24								376	46.59		74	9.17					807	
	FIFTH			14	18.92								60	81.08			Excluded					74	
		TOTAL		371	45.97								436	54.03								807	
				Elected																			
																							
Moorooka School                                                																							
	FIRST			925	41.20		33	1.47		110	4.90		919	40.94		159	7.08		99	4.41		2245	
	SECOND			12	36.36			Excluded		9	27.27		3	9.09		3	9.09		6	18.18		33	
		TOTAL		937	41.74					119	5.30		922	41.07		162	7.22		105	4.68		2245	
	THIRD			31	29.52					13	12.38		29	27.62		32	30.48			Excluded		105	
		TOTAL		968	43.12					132	5.88		951	42.36		194	8.64					2245	
	FOURTH			15	11.36						Excluded		46	34.85		71	53.79					132	
		TOTAL		983	43.79								997	44.41		265	11.80					2245	
	FIFTH			59	22.26								206	77.74			Excluded					265	
		TOTAL		1042	46.41								1203	53.59								2245	
				Elected																			
																							
Moorvale                                                       																							
	FIRST			351	43.28		16	1.97		35	4.32		340	41.92		42	5.18		27	3.33		811	
	SECOND			5	31.25			Excluded		1	6.25		1	6.25		4	25.00		5	31.25		16	
		TOTAL		356	43.90					36	4.44		341	42.05		46	5.67		32	3.95		811	
	THIRD			11	34.38					5	15.63		8	25.00		8	25.00			Excluded		32	
		TOTAL		367	45.25					41	5.06		349	43.03		54	6.66					811	
	FOURTH			7	17.07						Excluded		15	36.59		19	46.34					41	
		TOTAL		374	46.12								364	44.88		73	9.00					811	
	FIFTH			20	27.40								53	72.60			Excluded					73	
		TOTAL		394	48.58								417	51.42								811	
				Elected																			
																							
Mount Gravatt (Moreton)                                        																							
	FIRST			928	47.32		50	2.55		94	4.79		722	36.82		121	6.17		46	2.35		1961	
	SECOND			34	68.00			Excluded		7	14.00		3	6.00		5	10.00		1	2.00		50	
		TOTAL		962	49.06					101	5.15		725	36.97		126	6.43		47	2.40		1961	
	THIRD			20	42.55					9	19.15		8	17.02		10	21.28			Excluded		47	
		TOTAL		982	50.08					110	5.61		733	37.38		136	6.94					1961	
	FOURTH			10	9.09						Excluded		32	29.09		68	61.82					110	
		TOTAL		992	50.59								765	39.01		204	10.40					1961	
	FIFTH			52	25.49								152	74.51			Excluded					204	
		TOTAL		1044	53.24								917	46.76								1961	
				Elected																			
																							
Mt Petrie (Moreton)                                            																							
	FIRST			135	61.36		4	1.82		7	3.18		55	25.00		12	5.45		7	3.18		220	
	SECOND			3	75.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		138	62.73					8	3.64		55	25.00		12	5.45		7	3.18		220	
	THIRD			1	14.29					2	28.57		3	42.86		1	14.29			Excluded		7	
		TOTAL		139	63.18					10	4.55		58	26.36		13	5.91					220	
	FOURTH			2	20.00						Excluded		5	50.00		3	30.00					10	
		TOTAL		141	64.09								63	28.64		16	7.27					220	
	FIFTH			6	37.50								10	62.50			Excluded					16	
		TOTAL		147	66.82								73	33.18								220	
				Elected																			
																							
Robertson                                                      																							
	FIRST			1016	54.51		38	2.04		68	3.65		637	34.17		73	3.92		32	1.72		1864	
	SECOND			16	42.11			Excluded		9	23.68		4	10.53		1	2.63		8	21.05		38	
		TOTAL		1032	55.36					77	4.13		641	34.39		74	3.97		40	2.15		1864	
	THIRD			18	45.00					9	22.50		8	20.00		5	12.50			Excluded		40	
		TOTAL		1050	56.33					86	4.61		649	34.82		79	4.24					1864	
	FOURTH			16	18.60						Excluded		33	38.37		37	43.02					86	
		TOTAL		1066	57.19								682	36.59		116	6.22					1864	
	FIFTH			37	31.90								79	68.10			Excluded					116	
		TOTAL		1103	59.17								761	40.83								1864	
				Elected																			
																							
Rochedale (Moreton)                                            																							
	FIRST			419	63.58		12	1.82		10	1.52		170	25.80		17	2.58		31	4.70		659	
	SECOND			5	41.67			Excluded		2	16.67		1	8.33		2	16.67		2	16.67		12	
		TOTAL		424	64.34					12	1.82		171	25.95		19	2.88		33	5.01		659	
	THIRD			13	39.39					6	18.18		12	36.36		2	6.06			Excluded		33	
		TOTAL		437	66.31					18	2.73		183	27.77		21	3.19					659	
	FOURTH			7	38.89						Excluded		3	16.67		8	44.44					18	
		TOTAL		444	67.37								186	28.22		29	4.40					659	
	FIFTH			11	37.93								18	62.07			Excluded					29	
		TOTAL		455	69.04								204	30.96								659	
				Elected																			
																							
Rocklea                                                        																							
	FIRST			214	28.80		12	1.62		22	2.96		400	53.84		17	2.29		78	10.50		743	
	SECOND			5	41.67			Excluded		4	33.33		1	8.33		0	0.00		2	16.67		12	
		TOTAL		219	29.48					26	3.50		401	53.97		17	2.29		80	10.77		743	
	THIRD			14	17.50					9	11.25		17	21.25		40	50.00			Excluded		80	
		TOTAL		233	31.36					35	4.71		418	56.26		57	7.67					743	
	FOURTH			1	2.86						Excluded		16	45.71		18	51.43					35	
		TOTAL		234	31.49								434	58.41		75	10.09					743	
	FIFTH			11	14.67								64	85.33			Excluded					75	
		TOTAL		245	32.97								498	67.03								743	
				Elected																			
																							
Runcorn (Moreton)                                              																							
	FIRST			597	48.38		31	2.51		40	3.24		456	36.95		60	4.86		50	4.05		1234	
	SECOND			12	38.71			Excluded		7	22.58		3	9.68		3	9.68		6	19.35		31	
		TOTAL		609	49.35					47	3.81		459	37.20		63	5.11		56	4.54		1234	
	THIRD			25	44.64					11	19.64		7	12.50		13	23.21			Excluded		56	
		TOTAL		634	51.38					58	4.70		466	37.76		76	6.16					1234	
	FOURTH			16	27.59						Excluded		15	25.86		27	46.55					58	
		TOTAL		650	52.67								481	38.98		103	8.35					1234	
	FIFTH			25	24.27								78	75.73			Excluded					103	
		TOTAL		675	54.70								559	45.30								1234	
				Elected																			
																							
Runcorn High School                                            																							
	FIRST			339	43.52		17	2.18		18	2.31		353	45.31		30	3.85		22	2.82		779	
	SECOND			5	29.41			Excluded		3	17.65		1	5.88		3	17.65		5	29.41		17	
		TOTAL		344	44.16					21	2.70		354	45.44		33	4.24		27	3.47		779	
	THIRD			12	44.44					4	14.81		5	18.52		6	22.22			Excluded		27	
		TOTAL		356	45.70					25	3.21		359	46.08		39	5.01					779	
	FOURTH			5	20.00						Excluded		9	36.00		11	44.00					25	
		TOTAL		361	46.34								368	47.24		50	6.42					779	
	FIFTH			16	32.00								34	68.00			Excluded					50	
		TOTAL		377	48.40								402	51.60								779	
				Elected																			
																							
Salisbury                                                      																							
	FIRST			1183	39.59		78	2.61		125	4.18		1294	43.31		179	5.99		129	4.32		2988	
	SECOND			43	55.13			Excluded		11	14.10		6	7.69		9	11.54		9	11.54		78	
		TOTAL		1226	41.03					136	4.55		1300	43.51		188	6.29		138	4.62		2988	
	THIRD			36	26.09					22	15.94		29	21.01		51	36.96			Excluded		138	
		TOTAL		1262	42.24					158	5.29		1329	44.48		239	8.00					2988	
	FOURTH			25	15.82						Excluded		54	34.18		79	50.00					158	
		TOTAL		1287	43.07								1383	46.29		318	10.64					2988	
	FIFTH			86	27.04								232	72.96			Excluded					318	
		TOTAL		1373	45.95								1615	54.05								2988	
				Elected																			
																							
Sherwood                                                       																							
	FIRST			805	51.27		30	1.91		114	7.26		493	31.40		85	5.41		43	2.74		1570	
	SECOND			19	63.33			Excluded		3	10.00		1	3.33		5	16.67		2	6.67		30	
		TOTAL		824	52.48					117	7.45		494	31.46		90	5.73		45	2.87		1570	
	THIRD			11	24.44					9	20.00		9	20.00		16	35.56			Excluded		45	
		TOTAL		835	53.18					126	8.03		503	32.04		106	6.75					1570	
	FOURTH			16	12.70						Excluded		46	36.51		64	50.79					126	
		TOTAL		851	54.20								549	34.97		170	10.83					1570	
	FIFTH			53	31.18								117	68.82			Excluded					170	
		TOTAL		904	57.58								666	42.42								1570	
				Elected																			
																							
Sunnybank (Moreton)                                            																							
	FIRST			909	48.69		24	1.29		82	4.39		731	39.15		67	3.59		54	2.89		1867	
	SECOND			13	54.17			Excluded		3	12.50		1	4.17		4	16.67		3	12.50		24	
		TOTAL		922	49.38					85	4.55		732	39.21		71	3.80		57	3.05		1867	
	THIRD			25	43.86					10	17.54		12	21.05		10	17.54			Excluded		57	
		TOTAL		947	50.72					95	5.09		744	39.85		81	4.34					1867	
	FOURTH			18	18.95						Excluded		32	33.68		45	47.37					95	
		TOTAL		965	51.69								776	41.56		126	6.75					1867	
	FIFTH			43	34.13								83	65.87			Excluded					126	
		TOTAL		1008	53.99								859	46.01								1867	
				Elected																			
																							
Tarragindi                                                     																							
	FIRST			612	49.59		18	1.46		68	5.51		428	34.68		76	6.16		32	2.59		1234	
	SECOND			12	66.67			Excluded		3	16.67		1	5.56		1	5.56		1	5.56		18	
		TOTAL		624	50.57					71	5.75		429	34.76		77	6.24		33	2.67		1234	
	THIRD			19	57.58					2	6.06		4	12.12		8	24.24			Excluded		33	
		TOTAL		643	52.11					73	5.92		433	35.09		85	6.89					1234	
	FOURTH			11	15.07						Excluded		21	28.77		41	56.16					73	
		TOTAL		654	53.00								454	36.79		126	10.21					1234	
	FIFTH			67	53.17								59	46.83			Excluded					126	
		TOTAL		721	58.43								513	41.57								1234	
				Elected																			
																							
Tarragindi East                                                																							
	FIRST			691	52.99		17	1.30		74	5.67		430	32.98		64	4.91		28	2.15		1304	
	SECOND			7	41.18			Excluded		3	17.65		4	23.53		2	11.76		1	5.88		17	
		TOTAL		698	53.53					77	5.90		434	33.28		66	5.06		29	2.22		1304	
	THIRD			14	48.28					5	17.24		2	6.90		8	27.59			Excluded		29	
		TOTAL		712	54.60					82	6.29		436	33.44		74	5.67					1304	
	FOURTH			6	7.32						Excluded		31	37.80		45	54.88					82	
		TOTAL		718	55.06								467	35.81		119	9.13					1304	
	FIFTH			30	25.21								89	74.79			Excluded					119	
		TOTAL		748	57.36								556	42.64								1304	
				Elected																			
																							
Tennyson                                                       																							
	FIRST			145	56.64		4	1.56		7	2.73		81	31.64		17	6.64		2	0.78		256	
	SECOND			2	50.00			Excluded		1	25.00		0	0.00		1	25.00		0	0.00		4	
		TOTAL		147	57.42					8	3.13		81	31.64		18	7.03		2	0.78		256	
	THIRD			1	50.00					0	0.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		148	57.81					8	3.13		82	32.03		18	7.03					256	
	FOURTH			1	12.50						Excluded		4	50.00		3	37.50					8	
		TOTAL		149	58.20								86	33.59		21	8.20					256	
	FIFTH			2	9.52								19	90.48			Excluded					21	
		TOTAL		151	58.98								105	41.02								256	
				Elected																			
																							
Thompson Estate                                                																							
	FIRST			186	40.35		10	2.17		20	4.34		209	45.34		28	6.07		8	1.74		461	
	SECOND			5	50.00			Excluded		1	10.00		4	40.00		0	0.00		0	0.00		10	
		TOTAL		191	41.43					21	4.56		213	46.20		28	6.07		8	1.74		461	
	THIRD			4	50.00					3	37.50		1	12.50		0	0.00			Excluded		8	
		TOTAL		195	42.30					24	5.21		214	46.42		28	6.07					461	
	FOURTH			7	29.17						Excluded		11	45.83		6	25.00					24	
		TOTAL		202	43.82								225	48.81		34	7.38					461	
	FIFTH			9	26.47								25	73.53			Excluded					34	
		TOTAL		211	45.77								250	54.23								461	
				Elected																			
																							
Upper Mt Gravatt                                               																							
	FIRST			2076	49.93		54	1.30		163	3.92		1507	36.24		208	5.00		150	3.61		4158	
	SECOND			27	50.00			Excluded		6	11.11		11	20.37		4	7.41		6	11.11		54	
		TOTAL		2103	50.58					169	4.06		1518	36.51		212	5.10		156	3.75		4158	
	THIRD			56	35.90					22	14.10		24	15.38		54	34.62			Excluded		156	
		TOTAL		2159	51.92					191	4.59		1542	37.09		266	6.40					4158	
	FOURTH			27	14.14						Excluded		48	25.13		116	60.73					191	
		TOTAL		2186	52.57								1590	38.24		382	9.19					4158	
	FIFTH			90	23.56								292	76.44			Excluded					382	
		TOTAL		2276	54.74								1882	45.26								4158	
				Elected																			
																							
Warrigal Road                                                  																							
	FIRST			2625	53.72		69	1.41		140	2.87		1724	35.28		215	4.40		113	2.31		4886	
	SECOND			33	47.83			Excluded		12	17.39		9	13.04		7	10.14		8	11.59		69	
		TOTAL		2658	54.40					152	3.11		1733	35.47		222	4.54		121	2.48		4886	
	THIRD			49	40.50					30	24.79		17	14.05		25	20.66			Excluded		121	
		TOTAL		2707	55.40					182	3.72		1750	35.82		247	5.06					4886	
	FOURTH			29	15.93						Excluded		46	25.27		107	58.79					182	
		TOTAL		2736	56.00								1796	36.76		354	7.25					4886	
	FIFTH			101	28.53								253	71.47			Excluded					354	
		TOTAL		2837	58.06								2049	41.94								4886	
				Elected																			
																							
Wellers Hill                                                   																							
	FIRST			1644	50.40		34	1.04		175	5.36		1111	34.06		233	7.14		65	1.99		3262	
	SECOND			12	35.29			Excluded		9	26.47		5	14.71		4	11.76		4	11.76		34	
		TOTAL		1656	50.77					184	5.64		1116	34.21		237	7.27		69	2.12		3262	
	THIRD			34	49.28					10	14.49		12	17.39		13	18.84			Excluded		69	
		TOTAL		1690	51.81					194	5.95		1128	34.58		250	7.66					3262	
	FOURTH			118	60.82						Excluded		24	12.37		52	26.80					194	
		TOTAL		1808	55.43								1152	35.32		302	9.26					3262	
	FIFTH			20	6.62								282	93.38			Excluded					302	
		TOTAL		1828	56.04								1434	43.96								3262	
				Elected																			
																							
Wishart                                                        																							
	FIRST			1369	54.50		43	1.71		63	2.51		836	33.28		133	5.29		68	2.71		2512	
	SECOND			23	53.49			Excluded		5	11.63		7	16.28		7	16.28		1	2.33		43	
