House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences 																															
By Polling Place																															
Dickson																															
					HYLAND			KERNOT			TURNER			DUTTON			KIMLIN			WHITNEY			KRAMER			KESSELS			BARNES		
	SECOND			2	22.22		0	0.00		0	0.00		1	11.11		0	0.00		0	0.00		0	0.00		6	66.67			Excluded		9
		TOTAL		43	1.01		1091	25.67		228	5.36		2444	57.51		33	0.78		75	1.76		73	1.72		263	6.19					4250
	THIRD			4	12.12		3	9.09		1	3.03		6	18.18			Excluded		5	15.15		2	6.06		12	36.36					33
		TOTAL		47	1.11		1094	25.74		229	5.39		2450	57.65					80	1.88		75	1.76		275	6.47					4250
	FOURTH				Excluded		11	23.40		11	23.40		4	8.51					4	8.51		2	4.26		15	31.91					47
		TOTAL					1105	26.00		240	5.65		2454	57.74					84	1.98		77	1.81		290	6.82					4250
	FIFTH						6	7.14		10	11.90		23	27.38						Excluded		10	11.90		35	41.67					84
		TOTAL					1111	26.14		250	5.88		2477	58.28								87	2.05		325	7.65					4250
	SIXTH						23	26.44		14	16.09		18	20.69									Excluded		32	36.78					87
		TOTAL					1134	26.68		264	6.21		2495	58.71											357	8.40					4250
	SEVENTH						124	46.97			Excluded		71	26.89											69	26.14					264
		TOTAL					1258	29.60					2566	60.38											426	10.02					4250
	EIGHTH						165	38.73					261	61.27												Excluded					426
		TOTAL					1423	33.48					2827	66.52																	4250
													Elected																		
																															
Arana Hills                                                    																															
	FIRST			27	1.56		611	35.28		129	7.45		743	42.90		12	0.69		37	2.14		58	3.35		110	6.35		5	0.29		1732
	SECOND			2	40.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	60.00			Excluded		5
		TOTAL		29	1.67		611	35.28		129	7.45		743	42.90		12	0.69		37	2.14		58	3.35		113	6.52					1732
	THIRD			2	16.67		2	16.67		2	16.67		3	25.00			Excluded		1	8.33		1	8.33		1	8.33					12
		TOTAL		31	1.79		613	35.39		131	7.56		746	43.07					38	2.19		59	3.41		114	6.58					1732
	FOURTH				Excluded		8	25.81		4	12.90		0	0.00					4	12.90		5	16.13		10	32.26					31
		TOTAL					621	35.85		135	7.79		746	43.07					42	2.42		64	3.70		124	7.16					1732
	FIFTH						6	14.29		5	11.90		12	28.57						Excluded		6	14.29		13	30.95					42
		TOTAL					627	36.20		140	8.08		758	43.76								70	4.04		137	7.91					1732
	SIXTH						14	20.00		23	32.86		10	14.29									Excluded		23	32.86					70
		TOTAL					641	37.01		163	9.41		768	44.34											160	9.24					1732
	SEVENTH						87	53.37			Excluded		29	17.79											47	28.83					163
		TOTAL					728	42.03					797	46.02											207	11.95					1732
	EIGHTH						98	47.34					109	52.66												Excluded					207
		TOTAL					826	47.69					906	52.31																	1732
													Elected																		
																															
Bray Park                                                      																															
	FIRST			104	2.47		1786	42.38		224	5.32		1530	36.31		20	0.47		144	3.42		82	1.95		301	7.14		23	0.55		4214
	SECOND			7	30.43		1	4.35		0	0.00		2	8.70		0	0.00		1	4.35		1	4.35		11	47.83			Excluded		23
		TOTAL		111	2.63		1787	42.41		224	5.32		1532	36.36		20	0.47		145	3.44		83	1.97		312	7.40					4214
	THIRD			3	15.00		1	5.00		1	5.00		4	20.00			Excluded		3	15.00		6	30.00		2	10.00					20
		TOTAL		114	2.71		1788	42.43		225	5.34		1536	36.45					148	3.51		89	2.11		314	7.45					4214
	FOURTH				Excluded		35	30.70		13	11.40		13	11.40					4	3.51		9	7.89		40	35.09					114
		TOTAL					1823	43.26		238	5.65		1549	36.76					152	3.61		98	2.33		354	8.40					4214
	FIFTH						28	18.42		9	5.92		24	15.79						Excluded		20	13.16		71	46.71					152
		TOTAL					1851	43.93		247	5.86		1573	37.33								118	2.80		425	10.09					4214
	SIXTH						23	19.49		31	26.27		11	9.32									Excluded		53	44.92					118
		TOTAL					1874	44.47		278	6.60		1584	37.59											478	11.34					4214
	SEVENTH						130	46.76			Excluded		61	21.94											87	31.29					278
		TOTAL					2004	47.56					1645	39.04											565	13.41					4214
	EIGHTH						248	43.89					317	56.11												Excluded					565
		TOTAL					2252	53.44					1962	46.56																	4214
													Elected																		
																															
Brisbane City (Dickson)                                        																															
	FIRST			4	1.90		66	31.43		13	6.19		89	42.38		1	0.48		5	2.38		12	5.71		17	8.10		3	1.43		210
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		3
		TOTAL		5	2.38		66	31.43		13	6.19		89	42.38		1	0.48		6	2.86		12	5.71		18	8.57					210
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00					1
		TOTAL		5	2.38		66	31.43		13	6.19		90	42.86					6	2.86		12	5.71		18	8.57					210
	FOURTH				Excluded		1	20.00		2	40.00		0	0.00					0	0.00		2	40.00		0	0.00					5
		TOTAL					67	31.90		15	7.14		90	42.86					6	2.86		14	6.67		18	8.57					210
	FIFTH						1	16.67		0	0.00		1	16.67						Excluded		3	50.00		1	16.67					6
		TOTAL					68	32.38		15	7.14		91	43.33								17	8.10		19	9.05					210
	SIXTH						2	11.76		3	17.65		3	17.65									Excluded		9	52.94					17
		TOTAL					70	33.33		18	8.57		94	44.76											28	13.33					210
	SEVENTH						8	44.44			Excluded		2	11.11											8	44.44					18
		TOTAL					78	37.14					96	45.71											36	17.14					210
	EIGHTH						20	55.56					16	44.44												Excluded					36
		TOTAL					98	46.67					112	53.33																	210
													Elected																		
																															
Closeburn                                                      																															
	FIRST			7	1.07		143	21.93		24	3.68		354	54.29		2	0.31		19	2.91		62	9.51		39	5.98		2	0.31		652
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		2
		TOTAL		7	1.07		143	21.93		24	3.68		354	54.29		2	0.31		19	2.91		63	9.66		40	6.13					652
	THIRD			0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					2
		TOTAL		7	1.07		144	22.09		25	3.83		354	54.29					19	2.91		63	9.66		40	6.13					652
	FOURTH				Excluded		2	28.57		0	0.00		0	0.00					2	28.57		2	28.57		1	14.29					7
		TOTAL					146	22.39		25	3.83		354	54.29					21	3.22		65	9.97		41	6.29					652
	FIFTH						3	14.29		2	9.52		7	33.33						Excluded		5	23.81		4	19.05					21
		TOTAL					149	22.85		27	4.14		361	55.37								70	10.74		45	6.90					652
	SIXTH						24	34.29		15	21.43		12	17.14									Excluded		19	27.14					70
		TOTAL					173	26.53		42	6.44		373	57.21											64	9.82					652
	SEVENTH						14	33.33			Excluded		7	16.67											21	50.00					42
		TOTAL					187	28.68					380	58.28											85	13.04					652
	EIGHTH						27	31.76					58	68.24												Excluded					85
		TOTAL					214	32.82					438	67.18																	652
													Elected																		
																															
Dakabin                                                        																															
	FIRST			7	0.83		299	35.55		43	5.11		334	39.71		6	0.71		37	4.40		30	3.57		83	9.87		2	0.24		841
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
		TOTAL		7	0.83		299	35.55		43	5.11		334	39.71		6	0.71		37	4.40		30	3.57		85	10.11					841
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	16.67		3	50.00		2	33.33					6
		TOTAL		7	0.83		299	35.55		43	5.11		334	39.71					38	4.52		33	3.92		87	10.34					841
	FOURTH				Excluded		1	14.29		1	14.29		2	28.57					1	14.29		2	28.57		0	0.00					7
		TOTAL					300	35.67		44	5.23		336	39.95					39	4.64		35	4.16		87	10.34					841
	FIFTH						10	25.64		5	12.82		8	20.51						Excluded		6	15.38		10	25.64					39
		TOTAL					310	36.86		49	5.83		344	40.90								41	4.88		97	11.53					841
	SIXTH						9	21.95		7	17.07		10	24.39									Excluded		15	36.59					41
		TOTAL					319	37.93		56	6.66		354	42.09											112	13.32					841
	SEVENTH						17	30.36			Excluded		14	25.00											25	44.64					56
		TOTAL					336	39.95					368	43.76											137	16.29					841
	EIGHTH						60	43.80					77	56.20												Excluded					137
		TOTAL					396	47.09					445	52.91																	841
													Elected																		
																															
Dayboro                                                        																															
	FIRST			19	1.26		359	23.76		47	3.11		775	51.29		10	0.66		58	3.84		130	8.60		108	7.15		5	0.33		1511
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		3	60.00			Excluded		5
		TOTAL		20	1.32		359	23.76		47	3.11		775	51.29		11	0.73		58	3.84		130	8.60		111	7.35					1511
	THIRD			1	9.09		2	18.18		2	18.18		3	27.27			Excluded		1	9.09		2	18.18		0	0.00					11
		TOTAL		21	1.39		361	23.89		49	3.24		778	51.49					59	3.90		132	8.74		111	7.35					1511
	FOURTH				Excluded		8	38.10		5	23.81		5	23.81					1	4.76		0	0.00		2	9.52					21
		TOTAL					369	24.42		54	3.57		783	51.82					60	3.97		132	8.74		113	7.48					1511
	FIFTH						5	8.33		6	10.00		21	35.00						Excluded		9	15.00		19	31.67					60
		TOTAL					374	24.75		60	3.97		804	53.21								141	9.33		132	8.74					1511
	SIXTH						39	27.66		36	25.53		20	14.18									Excluded		46	32.62					141
		TOTAL					413	27.33		96	6.35		824	54.53											178	11.78					1511
	SEVENTH						44	45.83			Excluded		17	17.71											35	36.46					96
		TOTAL					457	30.24					841	55.66											213	14.10					1511
	EIGHTH						98	46.01					115	53.99												Excluded					213
		TOTAL					555	36.73					956	63.27																	1511
													Elected																		
																															
Eatons Hill                                                    																															
	FIRST			30	0.74		988	24.46		233	5.77		2237	55.37		18	0.45		83	2.05		146	3.61		295	7.30		10	0.25		4040
	SECOND			1	10.00		2	20.00		0	0.00		0	0.00		0	0.00		1	10.00		2	20.00		4	40.00			Excluded		10
		TOTAL		31	0.77		990	24.50		233	5.77		2237	55.37		18	0.45		84	2.08		148	3.66		299	7.40					4040
	THIRD			2	11.11		2	11.11		3	16.67		2	11.11			Excluded		1	5.56		3	16.67		5	27.78					18
		TOTAL		33	0.82		992	24.55		236	5.84		2239	55.42					85	2.10		151	3.74		304	7.52					4040
	FOURTH				Excluded		10	30.30		6	18.18		6	18.18					2	6.06		4	12.12		5	15.15					33
		TOTAL					1002	24.80		242	5.99		2245	55.57					87	2.15		155	3.84		309	7.65					4040
	FIFTH						12	13.79		8	9.20		24	27.59						Excluded		17	19.54		26	29.89					87
		TOTAL					1014	25.10		250	6.19		2269	56.16								172	4.26		335	8.29					4040
	SIXTH						42	24.42		48	27.91		20	11.63									Excluded		62	36.05					172
		TOTAL					1056	26.14		298	7.38		2289	56.66											397	9.83					4040
	SEVENTH						142	47.65			Excluded		78	26.17											78	26.17					298
		TOTAL					1198	29.65					2367	58.59											475	11.76					4040
	EIGHTH						175	36.84					300	63.16												Excluded					475
		TOTAL					1373	33.99					2667	66.01																	4040
													Elected																		
																															
Everton Hills                                                  																															
	FIRST			44	1.60		858	31.13		186	6.75		1304	47.31		17	0.62		73	2.65		81	2.94		182	6.60		11	0.40		2756
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	18.18		9	81.82			Excluded		11
		TOTAL		44	1.60		858	31.13		186	6.75		1304	47.31		17	0.62		73	2.65		83	3.01		191	6.93					2756
	THIRD			1	5.88		2	11.76		3	17.65		1	5.88			Excluded		2	11.76		3	17.65		5	29.41					17
		TOTAL		45	1.63		860	31.20		189	6.86		1305	47.35					75	2.72		86	3.12		196	7.11					2756
	FOURTH				Excluded		9	20.00		5	11.11		11	24.44					7	15.56		2	4.44		11	24.44					45
		TOTAL					869	31.53		194	7.04		1316	47.75					82	2.98		88	3.19		207	7.51					2756
	FIFTH						10	12.20		5	6.10		20	24.39						Excluded		10	12.20		37	45.12					82
		TOTAL					879	31.89		199	7.22		1336	48.48								98	3.56		244	8.85					2756
	SIXTH						20	20.41		18	18.37		19	19.39									Excluded		41	41.84					98
		TOTAL					899	32.62		217	7.87		1355	49.17											285	10.34					2756
	SEVENTH						116	53.46			Excluded		60	27.65											41	18.89					217
		TOTAL					1015	36.83					1415	51.34											326	11.83					2756
	EIGHTH						131	40.18					195	59.82												Excluded					326
		TOTAL					1146	41.58					1610	58.42																	2756
													Elected																		
																															
Everton Park (Dickson)                                         																															
	FIRST			16	1.58		366	36.20		49	4.85		466	46.09		3	0.30		30	2.97		22	2.18		57	5.64		2	0.20		1011
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
		TOTAL		16	1.58		366	36.20		49	4.85		466	46.09		3	0.30		30	2.97		22	2.18		59	5.84					1011
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		1	33.33		1	33.33					3
		TOTAL		16	1.58		366	36.20		49	4.85		467	46.19					30	2.97		23	2.27		60	5.93					1011
	FOURTH				Excluded		4	25.00		3	18.75		4	25.00					1	6.25		0	0.00		4	25.00					16
		TOTAL					370	36.60		52	5.14		471	46.59					31	3.07		23	2.27		64	6.33					1011
	FIFTH						7	22.58		5	16.13		9	29.03						Excluded		0	0.00		10	32.26					31
		TOTAL					377	37.29		57	5.64		480	47.48								23	2.27		74	7.32					1011
	SIXTH						6	26.09		6	26.09		4	17.39									Excluded		7	30.43					23
		TOTAL					383	37.88		63	6.23		484	47.87											81	8.01					1011
	SEVENTH						33	52.38			Excluded		9	14.29											21	33.33					63
		TOTAL					416	41.15					493	48.76											102	10.09					1011
	EIGHTH						55	53.92					47	46.08												Excluded					102
		TOTAL					471	46.59					540	53.41																	1011
													Elected																		
																															
Everton Park North (Dickson)                                   																															
	FIRST			11	0.98		369	32.86		68	6.06		524	46.66		7	0.62		21	1.87		40	3.56		77	6.86		6	0.53		1123
	SECOND			0	0.00		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		5	83.33			Excluded		6
		TOTAL		11	0.98		369	32.86		69	6.14		524	46.66		7	0.62		21	1.87		40	3.56		82	7.30					1123
	THIRD			1	14.29		1	14.29		1	14.29		0	0.00			Excluded		1	14.29		3	42.86		0	0.00					7
		TOTAL		12	1.07		370	32.95		70	6.23		524	46.66					22	1.96		43	3.83		82	7.30					1123
	FOURTH				Excluded		4	33.33		1	8.33		0	0.00					1	8.33		1	8.33		5	41.67					12
		TOTAL					374	33.30		71	6.32		524	46.66					23	2.05		44	3.92		87	7.75					1123
	FIFTH						2	8.70		1	4.35		8	34.78						Excluded		6	26.09		6	26.09					23
		TOTAL					376	33.48		72	6.41		532	47.37								50	4.45		93	8.28					1123
	SIXTH						16	32.00		12	24.00		6	12.00									Excluded		16	32.00					50
		TOTAL					392	34.91		84	7.48		538	47.91											109	9.71					1123
	SEVENTH						41	48.81			Excluded		21	25.00											22	26.19					84
		TOTAL					433	38.56					559	49.78											131	11.67					1123
	EIGHTH						58	44.27					73	55.73												Excluded					131
		TOTAL					491	43.72					632	56.28																	1123
													Elected																		
																															
Ferny Grove (Dickson)                                          																															
	FIRST			47	1.34		1092	31.11		237	6.75		1691	48.18		17	0.48		73	2.08		118	3.36		228	6.50		7	0.20		3510
	SECOND			0	0.00		0	0.00		2	28.57		0	0.00		0	0.00		0	0.00		1	14.29		4	57.14			Excluded		7
		TOTAL		47	1.34		1092	31.11		239	6.81		1691	48.18		17	0.48		73	2.08		119	3.39		232	6.61					3510
	THIRD			1	5.88		0	0.00		2	11.76		0	0.00			Excluded		1	5.88		6	35.29		7	41.18					17
		TOTAL		48	1.37		1092	31.11		241	6.87		1691	48.18					74	2.11		125	3.56		239	6.81					3510
	FOURTH				Excluded		9	18.75		3	6.25		9	18.75					1	2.08		5	10.42		21	43.75					48
		TOTAL					1101	31.37		244	6.95		1700	48.43					75	2.14		130	3.70		260	7.41					3510
	FIFTH						17	22.67		2	2.67		23	30.67						Excluded		8	10.67		25	33.33					75
		TOTAL					1118	31.85		246	7.01		1723	49.09								138	3.93		285	8.12					3510
	SIXTH						27	19.57		56	40.58		18	13.04									Excluded		37	26.81					138
		TOTAL					1145	32.62		302	8.60		1741	49.60											322	9.17					3510
	SEVENTH						145	48.01			Excluded		77	25.50											80	26.49					302
		TOTAL					1290	36.75					1818	51.79											402	11.45					3510
	EIGHTH						169	42.04					233	57.96												Excluded					402
		TOTAL					1459	41.57					2051	58.43																	3510
													Elected																		
																															
Ferny Hills                                                    																															
	FIRST			46	1.65		904	32.37		187	6.70		1216	43.54		30	1.07		70	2.51		115	4.12		213	7.63		12	0.43		2793
	SECOND			2	16.67		1	8.33		0	0.00		0	0.00		1	8.33		1	8.33		1	8.33		6	50.00			Excluded		12
		TOTAL		48	1.72		905	32.40		187	6.70		1216	43.54		31	1.11		71	2.54		116	4.15		219	7.84					2793
	THIRD			4	12.90		4	12.90		2	6.45		9	29.03			Excluded		0	0.00		7	22.58		5	16.13					31
		TOTAL		52	1.86		909	32.55		189	6.77		1225	43.86					71	2.54		123	4.40		224	8.02					2793
	FOURTH				Excluded		14	26.92		8	15.38		6	11.54					3	5.77		2	3.85		19	36.54					52
		TOTAL					923	33.05		197	7.05		1231	44.07					74	2.65		125	4.48		243	8.70					2793
	FIFTH						13	17.57		4	5.41		21	28.38						Excluded		15	20.27		21	28.38					74
		TOTAL					936	33.51		201	7.20		1252	44.83								140	5.01		264	9.45					2793
	SIXTH						34	24.29		38	27.14		21	15.00									Excluded		47	33.57					140
		TOTAL					970	34.73		239	8.56		1273	45.58											311	11.13					2793
	SEVENTH						128	53.56			Excluded		53	22.18											58	24.27					239
		TOTAL					1098	39.31					1326	47.48											369	13.21					2793
	EIGHTH						121	32.79					248	67.21												Excluded					369
		TOTAL					1219	43.64					1574	56.36																	2793
													Elected																		
																															
Ferny Hills North                                              																															
	FIRST			50	1.54		1005	30.96		202	6.22		1544	47.57		14	0.43		63	1.94		116	3.57		242	7.46		10	0.31		3246
	SECOND			4	40.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	60.00			Excluded		10
		TOTAL		54	1.66		1005	30.96		202	6.22		1544	47.57		14	0.43		63	1.94		116	3.57		248	7.64					3246
	THIRD			2	14.29		3	21.43		0	0.00		2	14.29			Excluded		1	7.14		4	28.57		2	14.29					14
		TOTAL		56	1.73		1008	31.05		202	6.22		1546	47.63					64	1.97		120	3.70		250	7.70					3246
	FOURTH				Excluded		14	25.00		11	19.64		8	14.29					1	1.79		2	3.57		20	35.71					56
		TOTAL					1022	31.48		213	6.56		1554	47.87					65	2.00		122	3.76		270	8.32					3246
	FIFTH						13	20.00		5	7.69		19	29.23						Excluded		6	9.23		22	33.85					65
		TOTAL					1035	31.89		218	6.72		1573	48.46								128	3.94		292	9.00					3246
	SIXTH						33	25.78		39	30.47		15	11.72									Excluded		41	32.03					128
		TOTAL					1068	32.90		257	7.92		1588	48.92											333	10.26					3246
	SEVENTH						140	54.47			Excluded		48	18.68											69	26.85					257
		TOTAL					1208	37.22					1636	50.40											402	12.38					3246
	EIGHTH						190	47.26					212	52.74												Excluded					402
		TOTAL					1398	43.07					1848	56.93																	3246
													Elected																		
																															
Grovely (Dickson)                                              																															
	FIRST			46	2.51		667	36.35		93	5.07		784	42.72		9	0.49		54	2.94		67	3.65		109	5.94		6	0.33		1835
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	16.67		0	0.00		2	33.33		3	50.00			Excluded		6
		TOTAL		46	2.51		667	36.35		93	5.07		784	42.72		10	0.54		54	2.94		69	3.76		112	6.10					1835
	THIRD			1	10.00		0	0.00		0	0.00		1	10.00			Excluded		4	40.00		3	30.00		1	10.00					10
		TOTAL		47	2.56		667	36.35		93	5.07		785	42.78					58	3.16		72	3.92		113	6.16					1835
	FOURTH				Excluded		15	31.91		5	10.64		8	17.02					0	0.00		3	6.38		16	34.04					47
		TOTAL					682	37.17		98	5.34		793	43.22					58	3.16		75	4.09		129	7.03					1835
	FIFTH						7	12.07		8	13.79		18	31.03						Excluded		10	17.24		15	25.86					58
		TOTAL					689	37.55		106	5.78		811	44.20								85	4.63		144	7.85					1835
	SIXTH						15	17.65		25	29.41		10	11.76									Excluded		35	41.18					85
		TOTAL					704	38.37		131	7.14		821	44.74											179	9.75					1835
	SEVENTH						57	43.51			Excluded		35	26.72											39	29.77					131
		TOTAL					761	41.47					856	46.65											218	11.88					1835
	EIGHTH						101	46.33					117	53.67												Excluded					218
		TOTAL					862	46.98					973	53.02																	1835
													Elected																		
																															
Kallangur                                                      																															
	FIRST			95	2.14		1919	43.29		156	3.52		1563	35.26		53	1.20		237	5.35		112	2.53		277	6.25		21	0.47		4433
	SECOND			4	19.05		1	4.76		1	4.76		0	0.00		1	4.76		0	0.00		0	0.00		14	66.67			Excluded		21
		TOTAL		99	2.23		1920	43.31		157	3.54		1563	35.26		54	1.22		237	5.35		112	2.53		291	6.56					4433
	THIRD			7	12.96		3	5.56		1	1.85		8	14.81			Excluded		11	20.37		6	11.11		18	33.33					54
		TOTAL		106	2.39		1923	43.38		158	3.56		1571	35.44					248	5.59		118	2.66		309	6.97					4433
	FOURTH				Excluded		32	30.19		16	15.09		9	8.49					10	9.43		9	8.49		30	28.30					106
		TOTAL					1955	44.10		174	3.93		1580	35.64					258	5.82		127	2.86		339	7.65					4433
	FIFTH						48	18.60		16	6.20		46	17.83						Excluded		35	13.57		113	43.80					258
		TOTAL					2003	45.18		190	4.29		1626	36.68								162	3.65		452	10.20					4433
	SIXTH						34	20.99		36	22.22		13	8.02									Excluded		79	48.77					162
		TOTAL					2037	45.95		226	5.10		1639	36.97											531	11.98					4433
	SEVENTH						100	44.25			Excluded		34	15.04											92	40.71					226
		TOTAL					2137	48.21					1673	37.74											623	14.05					4433
	EIGHTH						263	42.22					360	57.78												Excluded					623
		TOTAL					2400	54.14					2033	45.86																	4433
													Elected																		
																															
Kallangur East                                                 																															
	FIRST			31	2.24		569	41.20		66	4.78		477	34.54		9	0.65		56	4.06		39	2.82		127	9.20		7	0.51		1381
	SECOND			2	28.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	71.43			Excluded		7
		TOTAL		33	2.39		569	41.20		66	4.78		477	34.54		9	0.65		56	4.06		39	2.82		132	9.56					1381
	THIRD			0	0.00		1	11.11		0	0.00		2	22.22			Excluded		4	44.44		1	11.11		1	11.11					9
		TOTAL		33	2.39		570	41.27		66	4.78		479	34.69					60	4.34		40	2.90		133	9.63					1381
	FOURTH				Excluded		6	18.18		14	42.42		0	0.00					5	15.15		3	9.09		5	15.15					33
		TOTAL					576	41.71		80	5.79		479	34.69					65	4.71		43	3.11		138	9.99					1381
	FIFTH						15	23.08		2	3.08		15	23.08						Excluded		14	21.54		19	29.23					65
		TOTAL					591	42.80		82	5.94		494	35.77								57	4.13		157	11.37					1381
	SIXTH						10	17.54		15	26.32		4	7.02									Excluded		28	49.12					57
		TOTAL					601	43.52		97	7.02		498	36.06											185	13.40					1381
	SEVENTH						40	41.24			Excluded		24	24.74											33	34.02					97
		TOTAL					641	46.42					522	37.80											218	15.79					1381
	EIGHTH						103	47.25					115	52.75												Excluded					218
		TOTAL					744	53.87					637	46.13																	1381
													Elected																		
																															
Kallangur West                                                 																															
	FIRST			14	1.94		277	38.42		29	4.02		256	35.51		7	0.97		37	5.13		21	2.91		75	10.40		5	0.69		721
	SECOND			0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		3	60.00			Excluded		5
		TOTAL		14	1.94		278	38.56		30	4.16		256	35.51		7	0.97		37	5.13		21	2.91		78	10.82					721
	THIRD			1	14.29		1	14.29		0	0.00		3	42.86			Excluded		1	14.29		1	14.29		0	0.00					7
		TOTAL		15	2.08		279	38.70		30	4.16		259	35.92					38	5.27		22	3.05		78	10.82					721
	FOURTH				Excluded		3	20.00		4	26.67		1	6.67					0	0.00		1	6.67		6	40.00					15
		TOTAL					282	39.11		34	4.72		260	36.06					38	5.27		23	3.19		84	11.65					721
	FIFTH						6	15.79		1	2.63		11	28.95						Excluded		7	18.42		13	34.21					38
		TOTAL					288	39.94		35	4.85		271	37.59								30	4.16		97	13.45					721
	SIXTH						7	23.33		8	26.67		6	20.00									Excluded		9	30.00					30
		TOTAL					295	40.92		43	5.96		277	38.42											106	14.70					721
	SEVENTH						16	37.21			Excluded		9	20.93											18	41.86					43
		TOTAL					311	43.13					286	39.67											124	17.20					721
	EIGHTH						64	51.61					60	48.39												Excluded					124
		TOTAL					375	52.01					346	47.99																	721
													Elected																		
																															
Keperra (Dickson)                                              																															
	FIRST			6	1.34		146	32.52		18	4.01		225	50.11		2	0.45		14	3.12		18	4.01		18	4.01		2	0.45		449
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		7	1.56		146	32.52		18	4.01		225	50.11		2	0.45		14	3.12		18	4.01		19	4.23					449
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00					2
		TOTAL		7	1.56		146	32.52		18	4.01		225	50.11					15	3.34		19	4.23		19	4.23					449
	FOURTH				Excluded		0	0.00		0	0.00		2	28.57					1	14.29		1	14.29		3	42.86					7
		TOTAL					146	32.52		18	4.01		227	50.56					16	3.56		20	4.45		22	4.90					449
	FIFTH						0	0.00		2	12.50		5	31.25						Excluded		2	12.50		7	43.75					16
		TOTAL					146	32.52		20	4.45		232	51.67								22	4.90		29	6.46					449
	SIXTH						7	31.82		6	27.27		3	13.64									Excluded		6	27.27					22
		TOTAL					153	34.08		26	5.79		235	52.34											35	7.80					449
	SEVENTH						12	46.15			Excluded		6	23.08											8	30.77					26
		TOTAL					165	36.75					241	53.67											43	9.58					449
	EIGHTH						22	51.16					21	48.84												Excluded					43
		TOTAL					187	41.65					262	58.35																	449
													Elected																		
																															
Kurwongbah                                                     																															
