House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Herbert																							
					WEIL			HOOLIHAN			BOWN			HILL			LINDSAY			GODDARD			
		TOTAL		58	4.86		72	6.03		103	8.63		393	32.91		568	47.57					1194	
	THIRD			2	2.78			Excluded		17	23.61		44	61.11		9	12.50					72	
		TOTAL		60	5.03					120	10.05		437	36.60		577	48.32					1194	
	FOURTH				Excluded					35	58.33		14	23.33		11	18.33					60	
		TOTAL								155	12.98		451	37.77		588	49.25					1194	
	FIFTH										Excluded		91	58.71		64	41.29					155	
		TOTAL											542	45.39		652	54.61					1194	
																Elected							
																							
Brisbane City (Herbert)                                        																							
	FIRST			2	3.33		3	5.00		4	6.67		20	33.33		28	46.67		3	5.00		60	
	SECOND			0	0.00		3	100.00		0	0.00		0	0.00		0	0.00			Excluded		3	
		TOTAL		2	3.33		6	10.00		4	6.67		20	33.33		28	46.67					60	
	THIRD			0	0.00			Excluded		1	16.67		4	66.67		1	16.67					6	
		TOTAL		2	3.33					5	8.33		24	40.00		29	48.33					60	
	FOURTH				Excluded					0	0.00		2	100.00		0	0.00					2	
		TOTAL								5	8.33		26	43.33		29	48.33					60	
	FIFTH										Excluded		2	40.00		3	60.00					5	
		TOTAL											28	46.67		32	53.33					60	
																Elected							
																							
Condon                                                         																							
	FIRST			160	7.29		63	2.87		201	9.16		897	40.87		848	38.63		26	1.18		2195	
	SECOND			5	19.23		6	23.08		4	15.38		9	34.62		2	7.69			Excluded		26	
		TOTAL		165	7.52		69	3.14		205	9.34		906	41.28		850	38.72					2195	
	THIRD			9	13.04			Excluded		16	23.19		32	46.38		12	17.39					69	
		TOTAL		174	7.93					221	10.07		938	42.73		862	39.27					2195	
	FOURTH				Excluded					117	67.24		29	16.67		28	16.09					174	
		TOTAL								338	15.40		967	44.05		890	40.55					2195	
	FIFTH										Excluded		202	59.76		136	40.24					338	
		TOTAL											1169	53.26		1026	46.74					2195	
																Elected							
																							
Cranbrook                                                      																							
	FIRST			105	4.37		73	3.04		201	8.36		847	35.25		1127	46.90		50	2.08		2403	
	SECOND			2	4.00		16	32.00		9	18.00		17	34.00		6	12.00			Excluded		50	
		TOTAL		107	4.45		89	3.70		210	8.74		864	35.96		1133	47.15					2403	
	THIRD			7	7.87			Excluded		23	25.84		48	53.93		11	12.36					89	
		TOTAL		114	4.74					233	9.70		912	37.95		1144	47.61					2403	
	FOURTH				Excluded					62	54.39		29	25.44		23	20.18					114	
		TOTAL								295	12.28		941	39.16		1167	48.56					2403	
	FIFTH										Excluded		137	46.44		158	53.56					295	
		TOTAL											1078	44.86		1325	55.14					2403	
																Elected							
																							
Cungulla                                                       																							
	FIRST			19	13.48		3	2.13		4	2.84		62	43.97		52	36.88		1	0.71		141	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		19	13.48		3	2.13		4	2.84		63	44.68		52	36.88					141	
	THIRD			0	0.00			Excluded		1	33.33		2	66.67		0	0.00					3	
		TOTAL		19	13.48					5	3.55		65	46.10		52	36.88					141	
	FOURTH				Excluded					9	47.37		3	15.79		7	36.84					19	
		TOTAL								14	9.93		68	48.23		59	41.84					141	
	FIFTH										Excluded		11	78.57		3	21.43					14	
		TOTAL											79	56.03		62	43.97					141	
																Elected							
																							
Currajong                                                      																							
	FIRST			198	7.90		65	2.59		182	7.27		1070	42.71		939	37.49		51	2.04		2505	
	SECOND			6	11.76		15	29.41		10	19.61		10	19.61		10	19.61			Excluded		51	
		TOTAL		204	8.14		80	3.19		192	7.66		1080	43.11		949	37.88					2505	
	THIRD			5	6.25			Excluded		26	32.50		40	50.00		9	11.25					80	
		TOTAL		209	8.34					218	8.70		1120	44.71		958	38.24					2505	
	FOURTH				Excluded					126	60.29		40	19.14		43	20.57					209	
		TOTAL								344	13.73		1160	46.31		1001	39.96					2505	
	FIFTH										Excluded		220	63.95		124	36.05					344	
		TOTAL											1380	55.09		1125	44.91					2505	
																Elected							
																							
Currajong North                                                																							
	FIRST			36	5.52		11	1.69		60	9.20		276	42.33		255	39.11		14	2.15		652	
	SECOND			1	7.14		5	35.71		2	14.29		4	28.57		2	14.29			Excluded		14	
		TOTAL		37	5.67		16	2.45		62	9.51		280	42.94		257	39.42					652	
	THIRD			1	6.25			Excluded		6	37.50		8	50.00		1	6.25					16	
		TOTAL		38	5.83					68	10.43		288	44.17		258	39.57					652	
	FOURTH				Excluded					30	78.95		6	15.79		2	5.26					38	
		TOTAL								98	15.03		294	45.09		260	39.88					652	
	FIFTH										Excluded		43	43.88		55	56.12					98	
		TOTAL											337	51.69		315	48.31					652	
																Elected							
																							
Cutheringa                                                     																							
	FIRST			67	7.06		42	4.43		69	7.27		360	37.93		372	39.20		39	4.11		949	
	SECOND			2	5.13		16	41.03		6	15.38		11	28.21		4	10.26			Excluded		39	
		TOTAL		69	7.27		58	6.11		75	7.90		371	39.09		376	39.62					949	
	THIRD			7	12.07			Excluded		14	24.14		32	55.17		5	8.62					58	
		TOTAL		76	8.01					89	9.38		403	42.47		381	40.15					949	
	FOURTH				Excluded					55	72.37		10	13.16		11	14.47					76	
		TOTAL								144	15.17		413	43.52		392	41.31					949	
	FIFTH										Excluded		89	61.81		55	38.19					144	
		TOTAL											502	52.90		447	47.10					949	
																Elected							
																							
Deeragun                                                       																							
	FIRST			245	12.57		30	1.54		158	8.11		624	32.02		863	44.28		29	1.49		1949	
	SECOND			1	3.45		4	13.79		9	31.03		10	34.48		5	17.24			Excluded		29	
		TOTAL		246	12.62		34	1.74		167	8.57		634	32.53		868	44.54					1949	
	THIRD			4	11.76			Excluded		14	41.18		11	32.35		5	14.71					34	
		TOTAL		250	12.83					181	9.29		645	33.09		873	44.79					1949	
	FOURTH				Excluded					142	56.80		53	21.20		55	22.00					250	
		TOTAL								323	16.57		698	35.81		928	47.61					1949	
	FIFTH										Excluded		197	60.99		126	39.01					323	
		TOTAL											895	45.92		1054	54.08					1949	
																Elected							
																							
Douglas                                                        																							
	FIRST			8	1.74		24	5.21		50	10.85		139	30.15		209	45.34		31	6.72		461	
	SECOND			0	0.00		12	38.71		2	6.45		12	38.71		5	16.13			Excluded		31	
		TOTAL		8	1.74		36	7.81		52	11.28		151	32.75		214	46.42					461	
	THIRD			0	0.00			Excluded		11	30.56		18	50.00		7	19.44					36	
		TOTAL		8	1.74					63	13.67		169	36.66		221	47.94					461	
	FOURTH				Excluded					5	62.50		3	37.50		0	0.00					8	
		TOTAL								68	14.75		172	37.31		221	47.94					461	
	FIFTH										Excluded		32	47.06		36	52.94					68	
		TOTAL											204	44.25		257	55.75					461	
																Elected							
																							
Garbutt                                                        																							
	FIRST			125	8.22		56	3.68		109	7.17		763	50.20		432	28.42		35	2.30		1520	
	SECOND			3	8.57		12	34.29		7	20.00		8	22.86		5	14.29			Excluded		35	
		TOTAL		128	8.42		68	4.47		116	7.63		771	50.72		437	28.75					1520	
	THIRD			8	11.76			Excluded		16	23.53		36	52.94		8	11.76					68	
		TOTAL		136	8.95					132	8.68		807	53.09		445	29.28					1520	
	FOURTH				Excluded					85	62.50		30	22.06		21	15.44					136	
		TOTAL								217	14.28		837	55.07		466	30.66					1520	
	FIFTH										Excluded		133	61.29		84	38.71					217	
		TOTAL											970	63.82		550	36.18					1520	
																Elected							
																							
Heatley                                                        																							
	FIRST			222	7.42		85	2.84		236	7.89		1164	38.90		1213	40.54		72	2.41		2992	
	SECOND			4	5.56		14	19.44		17	23.61		24	33.33		13	18.06			Excluded		72	
		TOTAL		226	7.55		99	3.31		253	8.46		1188	39.71		1226	40.98					2992	
	THIRD			10	10.10			Excluded		20	20.20		53	53.54		16	16.16					99	
		TOTAL		236	7.89					273	9.12		1241	41.48		1242	41.51					2992	
	FOURTH				Excluded					138	58.47		51	21.61		47	19.92					236	
		TOTAL								411	13.74		1292	43.18		1289	43.08					2992	
	FIFTH										Excluded		227	55.23		184	44.77					411	
		TOTAL											1519	50.77		1473	49.23					2992	
																Elected							
																							
Hermit Park                                                    																							
	FIRST			126	7.05		68	3.81		130	7.27		762	42.64		633	35.42		68	3.81		1787	
	SECOND			1	1.47		36	52.94		14	20.59		13	19.12		4	5.88			Excluded		68	
		TOTAL		127	7.11		104	5.82		144	8.06		775	43.37		637	35.65					1787	
	THIRD			7	6.73			Excluded		33	31.73		57	54.81		7	6.73					104	
		TOTAL		134	7.50					177	9.90		832	46.56		644	36.04					1787	
	FOURTH				Excluded					79	58.96		25	18.66		30	22.39					134	
		TOTAL								256	14.33		857	47.96		674	37.72					1787	
	FIFTH										Excluded		162	63.28		94	36.72					256	
		TOTAL											1019	57.02		768	42.98					1787	
																Elected							
																							
Hermit Park South                                              																							
	FIRST			91	6.87		36	2.72		76	5.74		564	42.57		523	39.47		35	2.64		1325	
	SECOND			1	2.86		12	34.29		4	11.43		14	40.00		4	11.43			Excluded		35	
		TOTAL		92	6.94		48	3.62		80	6.04		578	43.62		527	39.77					1325	
	THIRD			3	6.25			Excluded		13	27.08		27	56.25		5	10.42					48	
		TOTAL		95	7.17					93	7.02		605	45.66		532	40.15					1325	
	FOURTH				Excluded					49	51.58		28	29.47		18	18.95					95	
		TOTAL								142	10.72		633	47.77		550	41.51					1325	
	FIFTH										Excluded		77	54.23		65	45.77					142	
		TOTAL											710	53.58		615	46.42					1325	
																Elected							
																							
Kelso                                                          																							
	FIRST			202	9.94		43	2.12		156	7.68		849	41.78		747	36.76		35	1.72		2032	
	SECOND			5	14.29		7	20.00		7	20.00		12	34.29		4	11.43			Excluded		35	
		TOTAL		207	10.19		50	2.46		163	8.02		861	42.37		751	36.96					2032	
	THIRD			5	10.00			Excluded		21	42.00		16	32.00		8	16.00					50	
		TOTAL		212	10.43					184	9.06		877	43.16		759	37.35					2032	
	FOURTH				Excluded					139	65.57		37	17.45		36	16.98					212	
		TOTAL								323	15.90		914	44.98		795	39.12					2032	
	FIFTH										Excluded		215	66.56		108	33.44					323	
		TOTAL											1129	55.56		903	44.44					2032	
																Elected							
																							
Kirwan                                                         																							
	FIRST			211	6.28		75	2.23		307	9.13		1094	32.55		1632	48.56		42	1.25		3361	
	SECOND			4	9.52		6	14.29		13	30.95		12	28.57		7	16.67			Excluded		42	
		TOTAL		215	6.40		81	2.41		320	9.52		1106	32.91		1639	48.77					3361	
	THIRD			11	13.58			Excluded		29	35.80		27	33.33		14	17.28					81	
		TOTAL		226	6.72					349	10.38		1133	33.71		1653	49.18					3361	
	FOURTH				Excluded					135	59.73		46	20.35		45	19.91					226	
		TOTAL								484	14.40		1179	35.08		1698	50.52					3361	
	FIFTH										Excluded		273	56.40		211	43.60					484	
		TOTAL											1452	43.20		1909	56.80					3361	
																Elected							
																							
Kirwan South                                                   																							
	FIRST			235	6.70		106	3.02		314	8.95		1240	35.35		1546	44.07		67	1.91		3508	
	SECOND			7	10.45		23	34.33		15	22.39		14	20.90		8	11.94			Excluded		67	
		TOTAL		242	6.90		129	3.68		329	9.38		1254	35.75		1554	44.30					3508	
	THIRD			8	6.20			Excluded		32	24.81		64	49.61		25	19.38					129	
		TOTAL		250	7.13					361	10.29		1318	37.57		1579	45.01					3508	
	FOURTH				Excluded					153	61.20		40	16.00		57	22.80					250	
		TOTAL								514	14.65		1358	38.71		1636	46.64					3508	
	FIFTH										Excluded		291	56.61		223	43.39					514	
		TOTAL											1649	47.01		1859	52.99					3508	
																Elected							
																							
Mount Louisa                                                   																							
	FIRST			113	6.52		35	2.02		150	8.66		625	36.06		786	45.35		24	1.38		1733	
	SECOND			2	8.33		3	12.50		8	33.33		6	25.00		5	20.83			Excluded		24	
		TOTAL		115	6.64		38	2.19		158	9.12		631	36.41		791	45.64					1733	
	THIRD			4	10.53			Excluded		12	31.58		12	31.58		10	26.32					38	
		TOTAL		119	6.87					170	9.81		643	37.10		801	46.22					1733	
	FOURTH				Excluded					77	64.71		15	12.61		27	22.69					119	
		TOTAL								247	14.25		658	37.97		828	47.78					1733	
	FIFTH										Excluded		131	53.04		116	46.96					247	
		TOTAL											789	45.53		944	54.47					1733	
																Elected							
																							
Mundingburra                                                   																							
	FIRST			163	5.99		96	3.53		213	7.83		943	34.64		1183	43.46		124	4.56		2722	
	SECOND			17	13.71		47	37.90		14	11.29		32	25.81		14	11.29			Excluded		124	
		TOTAL		180	6.61		143	5.25		227	8.34		975	35.82		1197	43.98					2722	
	THIRD			8	5.59			Excluded		36	25.17		81	56.64		18	12.59					143	
		TOTAL		188	6.91					263	9.66		1056	38.80		1215	44.64					2722	
	FOURTH				Excluded					117	62.23		27	14.36		44	23.40					188	
		TOTAL								380	13.96		1083	39.79		1259	46.25					2722	
	FIFTH										Excluded		216	56.84		164	43.16					380	
		TOTAL											1299	47.72		1423	52.28					2722	
																Elected							
																							
Mundingburra South                                             																							
	FIRST			61	4.78		39	3.06		131	10.27		449	35.19		553	43.34		43	3.37		1276	
	SECOND			3	6.98		16	37.21		8	18.60		10	23.26		6	13.95			Excluded		43	
		TOTAL		64	5.02		55	4.31		139	10.89		459	35.97		559	43.81					1276	
	THIRD			3	5.45			Excluded		18	32.73		30	54.55		4	7.27					55	
		TOTAL		67	5.25					157	12.30		489	38.32		563	44.12					1276	
	FOURTH				Excluded					34	50.75		16	23.88		17	25.37					67	
		TOTAL								191	14.97		505	39.58		580	45.45					1276	
	FIFTH										Excluded		96	50.26		95	49.74					191	
		TOTAL											601	47.10		675	52.90					1276	
																Elected							
																							
Nelly Bay                                                      																							
	FIRST			33	6.35		28	5.38		36	6.92		171	32.88		209	40.19		43	8.27		520	
	SECOND			0	0.00		26	60.47		2	4.65		13	30.23		2	4.65			Excluded		43	
		TOTAL		33	6.35		54	10.38		38	7.31		184	35.38		211	40.58					520	
	THIRD			1	1.85			Excluded		10	18.52		37	68.52		6	11.11					54	
		TOTAL		34	6.54					48	9.23		221	42.50		217	41.73					520	
	FOURTH				Excluded					15	44.12		6	17.65		13	38.24					34	
		TOTAL								63	12.12		227	43.65		230	44.23					520	
	FIFTH										Excluded		38	60.32		25	39.68					63	
		TOTAL											265	50.96		255	49.04					520	
																Elected							
																							
Nome                                                           																							
	FIRST			95	10.89		18	2.06		47	5.39		293	33.60		397	45.53		22	2.52		872	
	SECOND			2	9.09		6	27.27		4	18.18		10	45.45		0	0.00			Excluded		22	
		TOTAL		97	11.12		24	2.75		51	5.85		303	34.75		397	45.53					872	
	THIRD			2	8.33			Excluded		6	25.00		12	50.00		4	16.67					24	
		TOTAL		99	11.35					57	6.54		315	36.12		401	45.99					872	
	FOURTH				Excluded					58	58.59		18	18.18		23	23.23					99	
		TOTAL								115	13.19		333	38.19		424	48.62					872	
	FIFTH										Excluded		63	54.78		52	45.22					115	
		TOTAL											396	45.41		476	54.59					872	
																Elected							
																							
North Ward                                                     																							
	FIRST			95	3.52		138	5.11		208	7.70		805	29.79		1325	49.04		131	4.85		2702	
	SECOND			4	3.05		64	48.85		20	15.27		31	23.66		12	9.16			Excluded		131	
		TOTAL		99	3.66		202	7.48		228	8.44		836	30.94		1337	49.48					2702	
	THIRD			12	5.94			Excluded		44	21.78		121	59.90		25	12.38					202	
		TOTAL		111	4.11					272	10.07		957	35.42		1362	50.41					2702	
	FOURTH				Excluded					65	58.56		18	16.22		28	25.23					111	
		TOTAL								337	12.47		975	36.08		1390	51.44					2702	
	FIFTH										Excluded		167	49.55		170	50.45					337	
		TOTAL											1142	42.26		1560	57.74					2702	
																Elected							
																							
Northern Beaches                                               																							
	FIRST			237	12.26		44	2.28		153	7.92		699	36.16		748	38.70		52	2.69		1933	
	SECOND			5	9.62		17	32.69		11	21.15		10	19.23		9	17.31			Excluded		52	
		TOTAL		242	12.52		61	3.16		164	8.48		709	36.68		757	39.16					1933	
	THIRD			13	21.31			Excluded		18	29.51		22	36.07		8	13.11					61	
		TOTAL		255	13.19					182	9.42		731	37.82		765	39.58					1933	
	FOURTH				Excluded					152	59.61		60	23.53		43	16.86					255	
		TOTAL								334	17.28		791	40.92		808	41.80					1933	
	FIFTH										Excluded		210	62.87		124	37.13					334	
		TOTAL											1001	51.78		932	48.22					1933	
																Elected							
																							
Oonoonba                                                       																							
	FIRST			127	11.91		28	2.63		47	4.41		513	48.12		315	29.55		36	3.38		1066	
	SECOND			6	16.67		5	13.89		7	19.44		15	41.67		3	8.33			Excluded		36	
		TOTAL		133	12.48		33	3.10		54	5.07		528	49.53		318	29.83					1066	
	THIRD			5	15.15			Excluded		12	36.36		12	36.36		4	12.12					33	
		TOTAL		138	12.95					66	6.19		540	50.66		322	30.21					1066	
	FOURTH				Excluded					82	59.42		34	24.64		22	15.94					138	
		TOTAL								148	13.88		574	53.85		344	32.27					1066	
	FIFTH										Excluded		102	68.92		46	31.08					148	
		TOTAL											676	63.41		390	36.59					1066	
																Elected							
																							
Pallarenda                                                     																							
	FIRST			19	3.89		14	2.86		26	5.32		171	34.97		250	51.12		9	1.84		489	
	SECOND			0	0.00		1	11.11		1	11.11		7	77.78		0	0.00			Excluded		9	
		TOTAL		19	3.89		15	3.07		27	5.52		178	36.40		250	51.12					489	
	THIRD			0	0.00			Excluded		5	33.33		8	53.33		2	13.33					15	
		TOTAL		19	3.89					32	6.54		186	38.04		252	51.53					489	
	FOURTH				Excluded					16	84.21		1	5.26		2	10.53					19	
		TOTAL								48	9.82		187	38.24		254	51.94					489	
	FIFTH										Excluded		25	52.08		23	47.92					48	
		TOTAL											212	43.35		277	56.65					489	
																Elected							
																							
Palm Island                                                    																							
	FIRST			15	2.20		27	3.95		6	0.88		505	73.94		123	18.01		7	1.02		683	
	SECOND			0	0.00		1	14.29		0	0.00		3	42.86		3	42.86			Excluded		7	
		TOTAL		15	2.20		28	4.10		6	0.88		508	74.38		126	18.45					683	
	THIRD			6	21.43			Excluded		7	25.00		13	46.43		2	7.14					28	
		TOTAL		21	3.07					13	1.90		521	76.28		128	18.74					683	
	FOURTH				Excluded					14	66.67		3	14.29		4	19.05					21	
		TOTAL								27	3.95		524	76.72		132	19.33					683	
	FIFTH										Excluded		21	77.78		6	22.22					27	
		TOTAL											545	79.80		138	20.20					683	
																Elected							
																							
Picnic Bay                                                     																							
	FIRST			12	4.86		16	6.48		10	4.05		84	34.01		107	43.32		18	7.29		247	
	SECOND			1	5.56		9	50.00		0	0.00		8	44.44		0	0.00			Excluded		18	
		TOTAL		13	5.26		25	10.12		10	4.05		92	37.25		107	43.32					247	
	THIRD			0	0.00			Excluded		5	20.00		18	72.00		2	8.00					25	
		TOTAL		13	5.26					15	6.07		110	44.53		109	44.13					247	
	FOURTH				Excluded					1	7.69		1	7.69		11	84.62					13	
		TOTAL								16	6.48		111	44.94		120	48.58					247	
	FIFTH										Excluded		10	62.50		6	37.50					16	
		TOTAL											121	48.99		126	51.01					247	
																Elected							
																							
Pimlico                                                        																							
	FIRST			123	6.20		74	3.73		178	8.97		759	38.24		787	39.65		64	3.22		1985	
	SECOND			3	4.69		29	45.31		12	18.75		17	26.56		3	4.69			Excluded		64	
		TOTAL		126	6.35		103	5.19		190	9.57		776	39.09		790	39.80					1985	
	THIRD			10	9.71			Excluded		38	36.89		46	44.66		9	8.74					103	
		TOTAL		136	6.85					228	11.49		822	41.41		799	40.25					1985	
	FOURTH				Excluded					79	58.09		25	18.38		32	23.53					136	
		TOTAL								307	15.47		847	42.67		831	41.86					1985	
	FIFTH										Excluded		184	59.93		123	40.07					307	
		TOTAL											1031	51.94		954	48.06					1985	
																Elected							
																							
Railway Estate                                                 																							
	FIRST			112	7.15		69	4.41		136	8.68		695	44.38		500	31.93		54	3.45		1566	
	SECOND			2	3.70		19	35.19		10	18.52		17	31.48		6	11.11			Excluded		54	
		TOTAL		114	7.28		88	5.62		146	9.32		712	45.47		506	32.31					1566	
	THIRD			4	4.55			Excluded		22	25.00		53	60.23		9	10.23					88	
		TOTAL		118	7.54					168	10.73		765	48.85		515	32.89					1566	
	FOURTH				Excluded					59	50.00		27	22.88		32	27.12					118	
		TOTAL								227	14.50		792	50.57		547	34.93					1566	
	FIFTH										Excluded		123	54.19		104	45.81					227	
		TOTAL											915	58.43		651	41.57					1566	
																Elected							
																							
Rasmussen                                                      																							
	FIRST			228	10.67		49	2.29		188	8.80		825	38.62		815	38.16		31	1.45		2136	
	SECOND			4	12.90		10	32.26		8	25.81		5	16.13		4	12.90			Excluded		31	
		TOTAL		232	10.86		59	2.76		196	9.18		830	38.86		819	38.34					2136	
	THIRD			6	10.17			Excluded		21	35.59		26	44.07		6	10.17					59	
		TOTAL		238	11.14					217	10.16		856	40.07		825	38.62					2136	
	FOURTH				Excluded					163	68.49		39	16.39		36	15.13					238	
		TOTAL								380	17.79		895	41.90		861	40.31					2136	
	FIFTH										Excluded		242	63.68		138	36.32					380	
		TOTAL											1137	53.23		999	46.77					2136	
																Elected							
																							
Stuart                                                         																							
	FIRST			73	11.81		14	2.27		32	5.18		260	42.07		230	37.22		9	1.46		618	
	SECOND			0	0.00		2	22.22		4	44.44		3	33.33		0	0.00			Excluded		9	
		TOTAL		73	11.81		16	2.59		36	5.83		263	42.56		230	37.22					618	
	THIRD			2	12.50			Excluded		5	31.25		7	43.75		2	12.50					16	
		TOTAL		75	12.14					41	6.63		270	43.69		232	37.54					618	
	FOURTH				Excluded					44	58.67		14	18.67		17	22.67					75	
		TOTAL								85	13.75		284	45.95		249	40.29					618	
	FIFTH										Excluded		51	60.00		34	40.00					85	
		TOTAL											335	54.21		283	45.79					618	
																Elected							
																							
The Weir                                                       																							
	FIRST			153	6.92		63	2.85		199	9.00		765	34.58		1000	45.21		32	1.45		2212	
	SECOND			4	12.50		5	15.63		11	34.38		7	21.88		5	15.63			Excluded		32	
		TOTAL		157	7.10		68	3.07		210	9.49		772	34.90		1005	45.43					2212	
	THIRD			9	13.24			Excluded		24	35.29		25	36.76		10	14.71					68	
		TOTAL		166	7.50					234	10.58		797	36.03		1015	45.89					2212	
	FOURTH				Excluded					111	66.87		18	10.84		37	22.29					166	
		TOTAL								345	15.60		815	36.84		1052	47.56					2212	
	FIFTH										Excluded		205	59.42		140	40.58					345	
		TOTAL											1020	46.11		1192	53.89					2212	
																Elected							
																							
Townsville City                                                																							
	FIRST			20	2.71		33	4.48		67	9.09		281	38.13		282	38.26		54	7.33		737	
	SECOND			2	3.70		25	46.30		11	20.37		13	24.07		3	5.56			Excluded		54	
		TOTAL		22	2.99		58	7.87		78	10.58		294	39.89		285	38.67					737	
	THIRD			1	1.72			Excluded		17	29.31		31	53.45		9	15.52					58	
		TOTAL		23	3.12					95	12.89		325	44.10		294	39.89					737	
	FOURTH				Excluded					13	56.52		2	8.70		8	34.78					23	
		TOTAL								108	14.65		327	44.37		302	40.98					737	
	FIFTH										Excluded		56	51.85		52	48.15					108	
		TOTAL											383	51.97		354	48.03					737	
																Elected							
																							
Townsville Hospital                                            																							
	FIRST			24	5.62		13	3.04		29	6.79		177	41.45		168	39.34		16	3.75		427	
	SECOND			1	6.25		3	18.75		1	6.25		5	31.25		6	37.50			Excluded		16	
		TOTAL		25	5.85		16	3.75		30	7.03		182	42.62		174	40.75					427	
	THIRD			0	0.00			Excluded		4	25.00		11	68.75		1	6.25					16	
		TOTAL		25	5.85					34	7.96		193	45.20		175	40.98					427	
	FOURTH				Excluded					9	36.00		10	40.00		6	24.00					25	
		TOTAL								43	10.07		203	47.54		181	42.39					427	
	FIFTH										Excluded		26	60.47		17	39.53					43	
		TOTAL											229	53.63		198	46.37					427	
																Elected							
																							
Townsville South                                               																							
	FIRST			57	6.70		31	3.64		59	6.93		415	48.77		259	30.43		30	3.53		851	
	SECOND			1	3.33		14	46.67		4	13.33		9	30.00		2	6.67			Excluded		30	
		TOTAL		58	6.82		45	5.29		63	7.40		424	49.82		261	30.67					851	
	THIRD			0	0.00			Excluded		15	33.33		25	55.56		5	11.11					45	
		TOTAL		58	6.82					78	9.17		449	52.76		266	31.26					851	
