Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Ryan (88171)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Indooroopilly		4	0.21		495	25.46		0	0.00		109	5.61		24	1.23		157	8.08		41	2.11		2	0.10		42	2.16		786	40.43		12	0.62		269	13.84		3	0.15		1944	97.69		46	2.31		1990	2.36
Indooroopilly East		11	0.50		444	20.28		2	0.09		188	8.59		16	0.73		162	7.40		28	1.28		2	0.09		36	1.64		1026	46.87		7	0.32		263	12.01		4	0.18		2189	97.94		46	2.06		2235	2.65
Indooroopilly West		4	0.16		539	20.92		2	0.08		214	8.31		24	0.93		179	6.95		38	1.48		5	0.19		58	2.25		1177	45.69		11	0.43		319	12.38		6	0.23		2576	98.17		48	1.83		2624	3.11
Ironside		4	0.14		558	19.07		1	0.03		253	8.65		14	0.48		225	7.69		44	1.50		9	0.31		60	2.05		1354	46.27		3	0.10		401	13.70		0	0.00		2926	98.45		46	1.55		2972	3.53
Jamboree Heights		11	0.22		1545	31.42		1	0.02		205	4.17		49	1.00		140	2.85		52	1.06		2	0.04		159	3.23		2330	47.38		21	0.43		403	8.19		0	0.00		4918	97.39		132	2.61		5050	5.99
Jindalee		6	0.18		854	26.01		1	0.03		192	5.85		29	0.88		132	4.02		39	1.19		2	0.06		121	3.69		1617	49.25		22	0.67		267	8.13		1	0.03		3283	97.36		89	2.64		3372	4.00
Jindalee South		1	0.06		419	25.24		3	0.18		161	9.70		15	0.90		59	3.55		17	1.02		3	0.18		71	4.28		805	48.49		4	0.24		101	6.08		1	0.06		1660	96.91		53	3.09		1713	2.03
Kenmore		3	0.10		694	22.22		0	0.00		248	7.94		51	1.63		177	5.67		43	1.38		6	0.19		85	2.72		1507	48.25		7	0.22		301	9.64		1	0.03		3123	97.20		90	2.80		3213	3.81
Kenmore South		8	0.25		684	21.22		0	0.00		282	8.75		27	0.84		167	5.18		36	1.12		2	0.06		97	3.01		1614	50.08		6	0.19		298	9.25		2	0.06		3223	97.31		89	2.69		3312	3.93
Middle Park		8	0.22		1014	27.44		1	0.03		193	5.22		27	0.73		118	3.19		42	1.14		2	0.05		132	3.57		1831	49.54		16	0.43		310	8.39		2	0.05		3696	98.35		62	1.65		3758	4.46
Moggill		3	0.09		695	21.81		1	0.03		238	7.47		29	0.91		138	4.33		42	1.32		4	0.13		139	4.36		1555	48.81		10	0.31		331	10.39		1	0.03		3186	97.82		71	2.18		3257	3.86
Oxley		11	0.57		748	38.70		3	0.16		69	3.57		32	1.66		74	3.83		41	2.12		2	0.10		127	6.57		623	32.23		17	0.88		185	9.57		1	0.05		1933	95.60		89	4.40		2022	2.40
Oxley South		5	0.66		310	40.95		2	0.26		28	3.70		10	1.32		26	3.43		15	1.98		0	0.00		54	7.13		247	32.63		8	1.06		51	6.74		1	0.13		757	96.56		27	3.44		784	0.93
Pinjarra Hills		0	0.00		67	23.93		0	0.00		25	8.93		5	1.79		7	2.50		0	0.00		0	0.00		9	3.21		152	54.29		1	0.36		14	5.00		0	0.00		280	95.56		13	4.44		293	0.35
Pullenvale		1	0.10		184	17.64		0	0.00		105	10.07		5	0.48		68	6.52		14	1.34		1	0.10		36	3.45		535	51.29		7	0.67		84	8.05		3	0.29		1043	98.21		19	1.79		1062	1.26
St Lucia		8	0.37		469	21.65		1	0.05		167	7.71		20	0.92		153	7.06		30	1.39		5	0.23		50	2.31		921	42.52		6	0.28		335	15.47		1	0.05		2166	98.10		42	1.90		2208	2.62
Sinnamon Park		8	0.41		597	30.38		0	0.00		107	5.45		26	1.32		50	2.54		21	1.07		3	0.15		92	4.68		920	46.82		11	0.56		130	6.62		0	0.00		1965	96.94		62	3.06		2027	2.40
Taringa		4	0.23		417	23.98		0	0.00		120	6.90		8	0.46		126	7.25		27	1.55		2	0.12		53	3.05		735	42.27		5	0.29		242	13.92		0	0.00		1739	97.59		43	2.41		1782	2.11
The Gap		6	0.19		865	27.57		3	0.10		161	5.13		21	0.67		167	5.32		33	1.05		1	0.03		103	3.28		1411	44.96		19	0.61		345	10.99		3	0.10		3138	97.91		67	2.09		3205	3.80
The Gap East		9	0.27		897	26.59		1	0.03		160	4.74		17	0.50		213	6.31		43	1.27		2	0.06		96	2.85		1514	44.87		11	0.33		408	12.09		3	0.09		3374	97.15		99	2.85		3473	4.12
The Gap West		4	0.18		543	24.35		1	0.04		129	5.78		18	0.81		113	5.07		28	1.26		6	0.27		64	2.87		1108	49.69		7	0.31		209	9.37		0	0.00		2230	97.76		51	2.24		2281	2.71
Toowong (Ryan)		12	0.43		729	25.82		1	0.04		192	6.80		19	0.67		183	6.48		42	1.49		2	0.07		54	1.91		1149	40.70		8	0.28		428	15.16		4	0.14		2823	98.12		54	1.88		2877	3.41
Toowong West		9	0.92		237	24.36		0	0.00		67	6.89		0	0.00		98	10.07		13	1.34		0	0.00		33	3.39		360	37.00		2	0.21		151	15.52		3	0.31		973	98.38		16	1.62		989	1.17
Upper Brookfield		1	0.36		63	22.42		0	0.00		29	10.32		0	0.00		46	16.37		4	1.42		0	0.00		22	7.83		95	33.81		2	0.71		19	6.76		0	0.00		281	97.91		6	2.09		287	0.34
Special Hospitals		0	0.00		113	27.90		2	0.49		52	12.84		1	0.25		2	0.49		0	0.00		0	0.00		10	2.47		216	53.33		0	0.00		9	2.22		0	0.00		405	94.19		25	5.81		430	0.51
Total Ordinary		179	0.26		17679	25.66		28	0.04		4613	6.70		591	0.86		3640	5.28		894	1.30		79	0.11		2262	3.28		31420	45.61		277	0.40		7171	10.41		52	0.08		68885	97.58		1705	2.42		70590	83.73
ABSENT		18	0.33		1304	23.57		1	0.02		235	4.25		69	1.25		375	6.78		146	2.64		9	0.16		208	3.76		2465	44.55		40	0.72		654	11.82		9	0.16		5533	98.38		91	1.62		5624	6.67
POSTAL		4	0.11		872	24.60		3	0.08		196	5.53		28	0.79		142	4.01		13	0.37		4	0.11		158	4.46		1797	50.69		23	0.65		300	8.46		5	0.14		3545	98.64		49	1.36		3594	4.26
PRE_POLL		9	0.23		1036	26.23		1	0.03		236	5.98		38	0.96		210	5.32		39	0.99		8	0.20		122	3.09		1784	45.18		16	0.41		445	11.27		5	0.13		3949	98.92		43	1.08		3992	4.74
PROVISIONAL		1	0.20		147	29.82		1	0.20		25	5.07		3	0.61		35	7.10		13	2.64		0	0.00		14	2.84		184	37.32		6	1.22		64	12.98		0	0.00		493	97.24		14	2.76		507	0.60
Division Summary		211	0.26		21038	25.53		34	0.04		5305	6.44		729	0.88		4402	5.34		1105	1.34		100	0.12		2764	3.35		37650	45.69		362	0.44		8634	10.48		71	0.09		82405	97.74		1902	2.26		84307	95.62
