Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Fairfax (84217)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Cooran		2	0.31		186	28.97		0	0.00		55	8.57		5	0.78		49	7.63		20	3.12		1	0.16		100	15.58		160	24.92		7	1.09		57	8.88		0	0.00		642	97.27		18	2.73		660	0.83
Cooroy		9	0.31		708	24.57		2	0.07		122	4.23		39	1.35		164	5.69		42	1.46		3	0.10		358	12.42		1190	41.29		36	1.25		205	7.11		4	0.14		2882	98.26		51	1.74		2933	3.68
Deep Creek		2	0.60		73	21.92		1	0.30		40	12.01		1	0.30		14	4.20		2	0.60		2	0.60		89	26.73		77	23.12		9	2.70		18	5.41		5	1.50		333	95.69		15	4.31		348	0.44
Eumundi		3	0.16		419	22.56		0	0.00		106	5.71		18	0.97		209	11.25		40	2.15		5	0.27		182	9.80		672	36.19		31	1.67		171	9.21		1	0.05		1857	96.47		68	3.53		1925	2.42
Federal		0	0.00		45	17.72		0	0.00		55	21.65		0	0.00		5	1.97		5	1.97		1	0.39		46	18.11		67	26.38		7	2.76		23	9.06		0	0.00		254	96.58		9	3.42		263	0.33
Goomboorian		2	0.39		90	17.41		1	0.19		137	26.50		9	1.74		17	3.29		6	1.16		0	0.00		138	26.69		90	17.41		7	1.35		18	3.48		2	0.39		517	97.92		11	2.08		528	0.66
Gympie Central		10	0.46		586	26.94		5	0.23		357	16.41		45	2.07		55	2.53		27	1.24		4	0.18		351	16.14		574	26.39		33	1.52		125	5.75		3	0.14		2175	97.14		64	2.86		2239	2.81
Gympie East		6	0.40		432	29.13		3	0.20		257	17.33		11	0.74		41	2.76		19	1.28		3	0.20		238	16.05		333	22.45		43	2.90		95	6.41		2	0.13		1483	97.76		34	2.24		1517	1.90
Gympie North		3	0.17		429	24.91		0	0.00		433	25.15		34	1.97		36	2.09		8	0.46		0	0.00		286	16.61		390	22.65		29	1.68		67	3.89		7	0.41		1722	97.23		49	2.77		1771	2.22
Gympie South		7	0.32		537	24.83		5	0.23		446	20.62		26	1.20		45	2.08		18	0.83		5	0.23		329	15.21		552	25.52		33	1.53		156	7.21		4	0.18		2163	97.30		60	2.70		2223	2.79
Gympie West		7	0.60		309	26.57		1	0.09		289	24.85		20	1.72		25	2.15		13	1.12		3	0.26		167	14.36		244	20.98		9	0.77		72	6.19		4	0.34		1163	96.43		43	3.57		1206	1.51
Imbil		6	0.81		159	21.40		1	0.13		156	21.00		10	1.35		25	3.36		20	2.69		0	0.00		156	21.00		162	21.80		14	1.88		33	4.44		1	0.13		743	96.49		27	3.51		770	0.97
Jones Hill		8	0.80		184	18.36		0	0.00		275	27.45		15	1.50		15	1.50		5	0.50		0	0.00		179	17.86		252	25.15		15	1.50		52	5.19		2	0.20		1002	98.53		15	1.47		1017	1.28
Kandanga		1	0.24		76	18.49		0	0.00		96	23.36		5	1.22		10	2.43		10	2.43		2	0.49		105	25.55		75	18.25		7	1.70		24	5.84		0	0.00		411	96.71		14	3.29		425	0.53
Kenilworth		1	0.17		131	22.35		2	0.34		132	22.53		12	2.05		31	5.29		15	2.56		1	0.17		90	15.36		126	21.50		8	1.37		37	6.31		0	0.00		586	96.70		20	3.30		606	0.76
Kin Kin		1	0.32		75	23.73		0	0.00		41	12.97		0	0.00		24	7.59		10	3.16		0	0.00		60	18.99		72	22.78		12	3.80		20	6.33		1	0.32		316	96.34		12	3.66		328	0.41
Kureelpa		0	0.00		113	17.99		2	0.32		76	12.10		8	1.27		32	5.10		9	1.43		0	0.00		66	10.51		255	40.61		7	1.11		57	9.08		3	0.48		628	98.74		8	1.26		636	0.80
Kybong		0	0.00		58	14.65		0	0.00		75	18.94		3	0.76		10	2.53		2	0.51		1	0.25		85	21.46		134	33.84		7	1.77		21	5.30		0	0.00		396	98.02		8	1.98		404	0.51
Mapleton		2	0.18		222	20.27		2	0.18		74	6.76		20	1.83		72	6.58		15	1.37		0	0.00		130	11.87		414	37.81		11	1.00		132	12.05		1	0.09		1095	97.33		30	2.67		1125	1.41
Monkland		2	0.31		143	22.48		0	0.00		127	19.97		4	0.63		12	1.89		14	2.20		0	0.00		117	18.40		168	26.42		10	1.57		37	5.82		2	0.31		636	98.15		12	1.85		648	0.81
Montville		0	0.00		119	20.03		0	0.00		73	12.29		3	0.51		57	9.60		6	1.01		1	0.17		50	8.42		231	38.89		4	0.67		50	8.42		0	0.00		594	98.34		10	1.66		604	0.76
Mothar Mountain		2	0.83		45	18.67		1	0.41		25	10.37		3	1.24		11	4.56		4	1.66		1	0.41		69	28.63		60	24.90		2	0.83		16	6.64		2	0.83		241	97.57		6	2.43		247	0.31
Mount Coolum		9	0.52		516	29.88		0	0.00		44	2.55		15	0.87		129	7.47		27	1.56		1	0.06		119	6.89		697	40.36		17	0.98		152	8.80		1	0.06		1727	97.96		36	2.04		1763	2.21
Mudjimba		3	0.28		322	30.38		1	0.09		35	3.30		11	1.04		54	5.09		15	1.42		0	0.00		104	9.81		402	37.92		11	1.04		100	9.43		2	0.19		1060	96.80		35	3.20		1095	1.37
Nambour		16	0.68		601	25.73		1	0.04		171	7.32		50	2.14		127	5.44		52	2.23		2	0.09		271	11.60		813	34.80		28	1.20		200	8.56		4	0.17		2336	97.09		70	2.91		2406	3.02
Nambour Hospital		4	0.38		271	26.06		0	0.00		102	9.81		15	1.44		42	4.04		15	1.44		4	0.38		98	9.42		382	36.73		14	1.35		90	8.65		3	0.29		1040	98.21		19	1.79		1059	1.33
Nambour South		7	0.76		224	24.37		0	0.00		85	9.25		24	2.61		39	4.24		14	1.52		0	0.00		111	12.08		327	35.58		15	1.63		72	7.83		1	0.11		919	97.66		22	2.34		941	1.18
Nambour West		1	0.15		150	21.99		0	0.00		83	12.17		15	2.20		28	4.11		3	0.44		2	0.29		97	14.22		253	37.10		3	0.44		47	6.89		0	0.00		682	97.29		19	2.71		701	0.88
Noosa Heads		7	0.20		881	24.75		3	0.08		82	2.30		26	0.73		247	6.94		54	1.52		8	0.22		142	3.99		1723	48.41		36	1.01		350	9.83		0	0.00		3559	97.05		108	2.95		3667	4.60
Noosaville		8	0.25		624	19.40		4	0.12		87	2.71		31	0.96		140	4.35		47	1.46		1	0.03		194	6.03		1835	57.06		22	0.68		221	6.87		2	0.06		3216	96.58		114	3.42		3330	4.18
Noosaville School		6	0.36		366	22.03		2	0.12		24	1.44		22	1.32		65	3.91		22	1.32		4	0.24		165	9.93		865	52.08		16	0.96		104	6.26		0	0.00		1661	96.85		54	3.15		1715	2.15
Noosaville West		3	0.20		312	20.37		1	0.07		46	3.00		24	1.57		77	5.03		26	1.70		0	0.00		112	7.31		817	53.33		13	0.85		100	6.53		1	0.07		1532	97.64		37	2.36		1569	1.97
North Arm		1	0.45		45	20.18		0	0.00		34	15.25		2	0.90		18	8.07		2	0.90		0	0.00		45	20.18		62	27.80		1	0.45		13	5.83		0	0.00		223	97.81		5	2.19		228	0.29
North Shore		0	0.00		7	13.73		0	0.00		3	5.88		0	0.00		3	5.88		1	1.96		0	0.00		8	15.69		29	56.86		0	0.00		0	0.00		0	0.00		51	100.00		0	0.00		51	0.06
Pacific Paradise		7	0.37		617	32.39		0	0.00		47	2.47		24	1.26		82	4.30		55	2.89		2	0.10		186	9.76		735	38.58		19	1.00		128	6.72		3	0.16		1905	96.80		63	3.20		1968	2.47
Peregian Beach		5	0.27		456	25.00		1	0.05		39	2.14		14	0.77		188	10.31		24	1.32		4	0.22		124	6.80		790	43.31		18	0.99		161	8.83		0	0.00		1824	96.97		57	3.03		1881	2.36
Pie Creek		0	0.00		100	23.36		1	0.23		110	25.70		5	1.17		8	1.87		4	0.93		0	0.00		102	23.83		83	19.39		1	0.23		14	3.27		0	0.00		428	96.40		16	3.60		444	0.56
Pomona		2	0.14		404	27.98		2	0.14		88	6.09		15	1.04		115	7.96		24	1.66		2	0.14		202	13.99		469	32.48		26	1.80		94	6.51		1	0.07		1444	96.85		47	3.15		1491	1.87
Tewantin		13	0.30		1204	27.97		4	0.09		112	2.60		50	1.16		160	3.72		61	1.42		4	0.09		428	9.94		1896	44.05		43	1.00		325	7.55		4	0.09		4304	96.14		173	3.86		4477	5.62
Tinbeerwah		2	0.28		143	20.23		1	0.14		35	4.95		2	0.28		30	4.24		9	1.27		0	0.00		63	8.91		367	51.91		4	0.57		51	7.21		0	0.00		707	97.65		17	2.35		724	0.91
Veteran		0	0.00		49	15.41		0	0.00		60	18.87		11	3.46		9	2.83		2	0.63		0	0.00		82	25.79		84	26.42		6	1.89		12	3.77		3	0.94		318	97.85		7	2.15		325	0.41
Wolvi		1	0.36		63	22.58		1	0.36		44	15.77		1	0.36		8	2.87		3	1.08		0	0.00		71	25.45		65	23.30		8	2.87		11	3.94		3	1.08		279	97.89		6	2.11		285	0.36
Yandina		8	0.31		627	23.92		4	0.15		263	10.03		37	1.41		179	6.83		53	2.02		4	0.15		280	10.68		923	35.22		35	1.34		204	7.78		4	0.15		2621	96.68		90	3.32		2711	3.40
Special Hospitals		1	0.19		144	27.53		1	0.19		75	14.34		2	0.38		7	1.34		1	0.19		0	0.00		36	6.88		246	47.04		2	0.38		8	1.53		0	0.00		523	95.26		26	4.74		549	0.69
Total Ordinary		213	0.33		16033	24.76		66	0.10		5770	8.91		835	1.29		3325	5.14		1003	1.55		79	0.12		7518	11.61		24200	37.38		803	1.24		4814	7.44		84	0.13		64743	97.10		1937	2.90		66680	83.66
ABSENT		9	0.19		1130	24.43		4	0.09		310	6.70		79	1.71		318	6.88		123	2.66		6	0.13		473	10.23		1716	37.10		65	1.41		387	8.37		5	0.11		4625	98.13		88	1.87		4713	5.91
POSTAL		1	0.03		762	22.09		7	0.20		228	6.61		39	1.13		107	3.10		28	0.81		3	0.09		333	9.65		1669	48.38		41	1.19		231	6.70		1	0.03		3450	98.37		57	1.63		3507	4.40
PRE_POLL		8	0.20		1013	25.46		2	0.05		270	6.79		45	1.13		217	5.45		38	0.96		5	0.13		469	11.79		1542	38.75		60	1.51		300	7.54		10	0.25		3979	98.56		58	1.44		4037	5.06
PROVISIONAL		2	0.27		218	29.11		1	0.13		19	2.54		18	2.40		57	7.61		40	5.34		2	0.27		73	9.75		241	32.18		13	1.74		65	8.68		0	0.00		749	97.27		21	2.73		770	0.97
Division Summary		233	0.3		19156	24.7		80	0.1		6597	8.51		1016	1.31		4024	5.19		1232	1.59		95	0.12		8866	11.43		29368	37.87		982	1.27		5797	7.48		100	0.13		77546	97.29		2161	2.71		79707	94.64
