House of Representatives - 2001 Election: Queensland																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										
Ryan (88171)																																										
		GILLIES			# JOHNSON			LANGENAUER			STASSE			DREW			SHORT			BRAZIER			ALLEN-ANKINS			FORMAL			INFORMAL			TOTAL										
		Stewart			Michael			Jason			Mike			John			Leonie			Clive			Stephen												Two Candidate Preferred							
		NP			LP			DEM			GRN			HAN			ALP			HMP			IND												# JOHNSON LP			 SHORT ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Oxley South	33	4.40		256	34.13		28	3.73		19	2.53		35	4.67		354	47.20		11	1.47		14	1.87		750	95.91		32	4.09		782	0.93		329	43.87		421	56.13
	Pinjarra Hills	34	12.01		141	49.82		11	3.89		8	2.83		3	1.06		81	28.62		1	0.35		4	1.41		283	96.59		10	3.41		293	0.35		181	63.96		102	36.04
	Pullenvale	103	9.88		580	55.61		40	3.84		56	5.37		13	1.25		229	21.96		12	1.15		10	0.96		1043	98.12		20	1.88		1063	1.26		727	69.70		316	30.30
	St Lucia	177	8.28		924	43.24		196	9.17		160	7.49		25	1.17		599	28.03		32	1.50		24	1.12		2137	96.74		72	3.26		2209	2.62		1218	57.00		919	43.00
	Sinnamon Park	98	5.02		996	51.05		59	3.02		38	1.95		33	1.69		688	35.26		20	1.03		19	0.97		1951	96.20		77	3.80		2028	2.41		1166	59.76		785	40.24			
	Taringa	114	6.58		771	44.49		123	7.10		118	6.81		21	1.21		540	31.16		31	1.79		15	0.87		1733	97.09		52	2.91		1785	2.12		981	56.61		752	43.39			
	The Gap	122	3.94		1456	47.06		188	6.08		160	5.17		46	1.49		1047	33.84		37	1.20		38	1.23		3094	96.57		110	3.43		3204	3.81		1732	55.98		1362	44.02			
	The Gap East	158	4.70		1538	45.77		193	5.74		209	6.22		43	1.28		1139	33.90		47	1.40		33	0.98		3360	96.72		114	3.28		3474	4.13		1858	55.30		1502	44.70			
	The Gap West	132	5.97		1117	50.50		116	5.24		102	4.61		26	1.18		672	30.38		25	1.13		22	0.99		2212	96.98		69	3.02		2281	2.71		1343	60.71		869	39.29			
	Toowong (Ryan)	162	5.80		1154	41.33		263	9.42		198	7.09		32	1.15		890	31.88		48	1.72		45	1.61		2792	96.84		91	3.16		2883	3.43		1501	53.76		1291	46.24			
	Toowong West	51	5.26		384	39.63		67	6.91		97	10.01		12	1.24		333	34.37		15	1.55		10	1.03		969	98.08		19	1.92		988	1.17		476	49.12		493	50.88			
	Upper Brookfield	43	15.25		94	33.33		3	1.06		40	14.18		10	3.55		84	29.79		6	2.13		2	0.71		282	98.26		5	1.74		287	0.34		150	53.19		132	46.81			
	Special Hospitals	64	15.53		223	54.13		4	0.97		1	0.24		6	1.46		113	27.43		1	0.24		0	0.00		412	95.81		18	4.19		430	0.51		291	70.63		121	29.37			
	Total Ordinary	4352	6.35		32553	47.53		3931	5.74		3303	4.82		1035	1.51		21612	31.55		876	1.28		830	1.21		68492	96.99		2125	3.01		70617	83.91		40136	58.60		28356	41.40			
	ABSENT	247	4.63		2445	45.83		416	7.80		369	6.92		131	2.46		1506	28.23		129	2.42		92	1.72		5335	97.64		129	2.36		5464	6.49		3099	58.09		2236	41.91			
	POSTAL	210	5.67		1941	52.43		141	3.81		132	3.57		94	2.54		1126	30.42		20	0.54		38	1.03		3702	98.75		47	1.25		3749	4.45		2289	61.83		1413	38.17			
	PRE_POLL	226	5.85		1793	46.44		234	6.06		197	5.10		70	1.81		1249	32.35		47	1.22		45	1.17		3861	97.87		84	2.13		3945	4.69		2203	57.06		1658	42.94			
	PROVISIONAL	14	3.83		162	44.26		20	5.46		34	9.29		9	2.46		110	30.05		12	3.28		5	1.37		366	95.06		19	4.94		385	0.46		201	54.92		165	45.08			
	Division Summary	5049	6.18		38894	47.57		4742	5.80		4035	4.94		1339	1.64		25603	31.32		1084	1.33		1010	1.24		81756	97.14		2404	2.86		84160	95.45		47928	58.62		33828	41.38			
																																										
																																							
																																							
																																							
																																							
