Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Moncrieff (89483)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Carrara		0	0.00		188	22.84		0	0.00		47	5.71		17	2.07		29	3.52		7	0.85		2	0.24		64	7.78		415	50.43		9	1.09		45	5.47		0	0.00		823	97.74		19	2.26		842	1.00
Chevron Island		4	0.22		349	19.13		3	0.16		81	4.44		6	0.33		76	4.17		22	1.21		4	0.22		116	6.36		1042	57.13		22	1.21		98	5.37		1	0.05		1824	95.90		78	4.10		1902	2.27
Earle Haven		11	2.03		122	22.51		1	0.18		27	4.98		6	1.11		4	0.74		1	0.18		0	0.00		40	7.38		309	57.01		2	0.37		19	3.51		0	0.00		542	96.44		20	3.56		562	0.67
Evandale		7	0.27		469	17.83		1	0.04		142	5.40		20	0.76		80	3.04		18	0.68		4	0.15		219	8.33		1525	57.98		18	0.68		124	4.71		3	0.11		2630	97.37		71	2.63		2701	3.22
Florida Gardens		0	0.00		134	18.51		0	0.00		38	5.25		5	0.69		24	3.31		7	0.97		1	0.14		50	6.91		421	58.15		3	0.41		41	5.66		0	0.00		724	97.18		21	2.82		745	0.89
Gilston		1	0.11		159	17.19		0	0.00		42	4.54		5	0.54		38	4.11		9	0.97		0	0.00		102	11.03		511	55.24		4	0.43		54	5.84		0	0.00		925	98.30		16	1.70		941	1.12
Harley Park		8	0.50		513	32.35		0	0.00		83	5.23		8	0.50		54	3.40		19	1.20		1	0.06		155	9.77		646	40.73		15	0.95		84	5.30		0	0.00		1586	96.30		61	3.70		1647	1.96
Isle Of Capri		4	0.16		354	14.53		4	0.16		107	4.39		6	0.25		60	2.46		20	0.82		3	0.12		173	7.10		1590	65.27		15	0.62		100	4.11		0	0.00		2436	95.08		126	4.92		2562	3.05
Keebra Park		8	0.53		487	32.40		1	0.07		51	3.39		25	1.66		63	4.19		23	1.53		4	0.27		116	7.72		604	40.19		17	1.13		103	6.85		1	0.07		1503	95.85		65	4.15		1568	1.87
Labrador		11	0.34		1105	34.41		0	0.00		125	3.89		28	0.87		111	3.46		65	2.02		2	0.06		293	9.12		1229	38.27		43	1.34		198	6.17		1	0.03		3211	96.92		102	3.08		3313	3.95
Main Beach		0	0.00		272	12.44		0	0.00		77	3.52		3	0.14		58	2.65		19	0.87		2	0.09		146	6.68		1505	68.85		9	0.41		94	4.30		1	0.05		2186	97.98		45	2.02		2231	2.66
Mermaid Waters (Moncrieff)		4	0.53		172	22.99		0	0.00		31	4.14		5	0.67		21	2.81		7	0.94		0	0.00		43	5.75		405	54.14		10	1.34		50	6.68		0	0.00		748	98.16		14	1.84		762	0.91
Merrimac (Moncrieff)		3	0.18		343	20.95		2	0.12		85	5.19		27	1.65		39	2.38		21	1.28		1	0.06		101	6.17		917	56.02		13	0.79		84	5.13		1	0.06		1637	96.69		56	3.31		1693	2.02
Moana Park (Moncrieff)		6	0.40		269	17.79		0	0.00		88	5.82		4	0.26		30	1.98		18	1.19		2	0.13		114	7.54		914	60.45		7	0.46		60	3.97		0	0.00		1512	97.23		43	2.77		1555	1.85
Musgrave Hill		11	0.37		987	33.43		5	0.17		102	3.46		20	0.68		120	4.07		52	1.76		2	0.07		280	9.49		1122	38.01		38	1.29		212	7.18		1	0.03		2952	95.97		124	4.03		3076	3.67
Nerang		5	0.25		497	24.90		2	0.10		88	4.41		20	1.00		63	3.16		27	1.35		0	0.00		212	10.62		930	46.59		19	0.95		133	6.66		0	0.00		1996	96.10		81	3.90		2077	2.48
Nerang South		7	0.18		1077	27.42		3	0.08		129	3.28		47	1.20		125	3.18		63	1.60		6	0.15		384	9.78		1790	45.57		50	1.27		247	6.29		0	0.00		3928	95.99		164	4.01		4092	4.88
Nerang West (Moncrieff)		7	0.23		821	26.97		2	0.07		132	4.34		34	1.12		129	4.24		47	1.54		4	0.13		235	7.72		1413	46.42		43	1.41		175	5.75		2	0.07		3044	97.85		67	2.15		3111	3.71
Parklands		0	0.00		116	22.14		0	0.00		26	4.96		9	1.72		17	3.24		3	0.57		1	0.19		34	6.49		284	54.20		3	0.57		31	5.92		0	0.00		524	97.40		14	2.60		538	0.64
Southport		14	0.61		671	29.25		2	0.09		82	3.57		19	0.83		97	4.23		28	1.22		1	0.04		179	7.80		1014	44.20		22	0.96		163	7.11		2	0.09		2294	96.88		74	3.13		2368	2.82
Southport North		1	0.18		155	28.28		0	0.00		26	4.74		6	1.09		24	4.38		14	2.55		3	0.55		39	7.12		231	42.15		9	1.64		40	7.30		0	0.00		548	97.68		13	2.32		561	0.67
Southport West		8	0.51		473	29.92		0	0.00		101	6.39		25	1.58		72	4.55		20	1.27		4	0.25		143	9.04		624	39.47		13	0.82		98	6.20		0	0.00		1581	95.07		82	4.93		1663	1.98
Surfers Paradise		6	0.43		375	26.75		1	0.07		79	5.63		7	0.50		64	4.56		21	1.50		5	0.36		102	7.28		660	47.08		13	0.93		69	4.92		0	0.00		1402	94.28		85	5.72		1487	1.77
Tallai (Moncrieff)		0	0.00		233	17.04		1	0.07		32	2.34		10	0.73		53	3.88		12	0.88		3	0.22		112	8.19		814	59.55		12	0.88		84	6.14		1	0.07		1367	97.85		30	2.15		1397	1.67
William Duncan		12	0.38		842	26.65		2	0.06		106	3.36		41	1.30		123	3.89		33	1.04		4	0.13		233	7.38		1542	48.81		44	1.39		177	5.60		0	0.00		3159	96.90		101	3.10		3260	3.89
Worongary		2	0.29		201	29.26		0	0.00		27	3.93		8	1.16		20	2.91		8	1.16		1	0.15		45	6.55		319	46.43		10	1.46		46	6.70		0	0.00		687	98.42		11	1.58		698	0.83
Special Hospitals		8	0.82		251	25.82		2	0.21		51	5.25		11	1.13		8	0.82		1	0.10		2	0.21		31	3.19		579	59.57		3	0.31		24	2.47		1	0.10		972	94.55		56	5.45		1028	1.23
Total Ordinary		199	0.30		15949	24.16		43	0.07		2845	4.31		546	0.83		2197	3.33		811	1.23		78	0.12		5152	7.81		33702	51.06		641	0.97		3824	5.79		21	0.03		66008	96.63		2301	3.37		68309	81.44
ABSENT		11	0.25		1032	23.63		3	0.07		166	3.80		53	1.21		225	5.15		82	1.88		3	0.07		337	7.72		2056	47.07		72	1.65		325	7.44		3	0.07		4368	97.67		104	2.33		4472	5.33
POSTAL		8	0.22		875	24.22		1	0.03		162	4.49		33	0.91		64	1.77		22	0.61		3	0.08		333	9.22		1913	52.96		42	1.16		153	4.24		3	0.08		3612	97.75		83	2.25		3695	4.41
PRE_POLL		17	0.27		1608	25.54		6	0.10		249	3.95		38	0.60		202	3.21		60	0.95		6	0.10		487	7.73		3208	50.94		49	0.78		364	5.78		3	0.05		6297	97.92		134	2.08		6431	7.67
PROVISIONAL		4	0.43		242	26.11		1	0.11		36	3.88		7	0.76		52	5.61		19	2.05		10	1.08		55	5.93		434	46.82		23	2.48		43	4.64		1	0.11		927	95.47		44	4.53		971	1.16
Division Summary		239	0.29		19706	24.26		54	0.07		3458	4.26		677	0.83		2740	3.37		994	1.22		100	0.12		6364	7.84		41313	50.87		827	1.02		4709	5.8		31	0.04		81212	96.82		2666	3.18		83878	93.74
