Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
McPherson (94653)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Currumbin		10	0.39		828	32.01		1	0.04		90	3.48		10	0.39		103	3.98		28	1.08		2	0.08		231	8.93		1148	44.38		23	0.89		113	4.37		0	0.00		2587	95.81		113	4.19		2700	3.02
Currumbin Valley		0	0.00		64	20.32		0	0.00		31	9.84		2	0.63		20	6.35		4	1.27		2	0.63		48	15.24		120	38.10		2	0.63		22	6.98		0	0.00		315	94.59		18	5.41		333	0.37
Currumbin Waters		8	0.36		628	28.00		1	0.04		61	2.72		11	0.49		99	4.41		25	1.11		3	0.13		238	10.61		1041	46.41		13	0.58		115	5.13		0	0.00		2243	96.60		79	3.40		2322	2.60
Elanora		5	0.18		725	26.67		2	0.07		55	2.02		30	1.10		99	3.64		22	0.81		1	0.04		225	8.28		1346	49.52		20	0.74		185	6.81		3	0.11		2718	97.31		75	2.69		2793	3.13
Elanora High		7	0.29		744	30.63		4	0.16		57	2.35		21	0.86		66	2.72		22	0.91		1	0.04		236	9.72		1129	46.48		14	0.58		126	5.19		2	0.08		2429	95.63		111	4.37		2540	2.84
Kirra		9	0.60		523	35.01		1	0.07		47	3.15		19	1.27		71	4.75		28	1.87		1	0.07		139	9.30		551	36.88		23	1.54		81	5.42		1	0.07		1494	96.39		56	3.61		1550	1.74
Mermaid Beach		3	0.23		289	21.83		0	0.00		59	4.46		4	0.30		64	4.83		15	1.13		0	0.00		97	7.33		705	53.25		16	1.21		70	5.29		2	0.15		1324	97.21		38	2.79		1362	1.53
Mermaid Waters (McPherson)		9	0.31		667	23.06		5	0.17		77	2.66		12	0.41		70	2.42		29	1.00		2	0.07		206	7.12		1620	56.00		21	0.73		175	6.05		0	0.00		2893	94.57		166	5.43		3059	3.43
Merrimac (McPherson)		3	0.17		428	23.78		0	0.00		90	5.00		21	1.17		53	2.94		25	1.39		1	0.06		138	7.67		922	51.22		26	1.44		92	5.11		1	0.06		1800	97.88		39	2.12		1839	2.06
Merrimac High		5	0.34		286	19.62		0	0.00		74	5.08		6	0.41		34	2.33		18	1.23		2	0.14		129	8.85		829	56.86		16	1.10		59	4.05		0	0.00		1458	97.14		43	2.86		1501	1.68
Miami		13	0.73		550	30.81		2	0.11		61	3.42		12	0.67		111	6.22		37	2.07		0	0.00		135	7.56		768	43.03		15	0.84		81	4.54		0	0.00		1785	95.66		81	4.34		1866	2.09
Miami West		9	0.29		842	26.98		1	0.03		105	3.36		21	0.67		115	3.68		38	1.22		3	0.10		220	7.05		1560	49.98		31	0.99		174	5.58		2	0.06		3121	96.63		109	3.37		3230	3.62
Moana Park (McPherson)		2	0.40		117	23.17		0	0.00		15	2.97		1	0.20		12	2.38		6	1.19		0	0.00		44	8.71		280	55.45		2	0.40		26	5.15		0	0.00		505	96.74		17	3.26		522	0.58
Mudgeeraba		0	0.00		416	20.60		1	0.05		73	3.62		24	1.19		81	4.01		31	1.54		1	0.05		173	8.57		1087	53.84		18	0.89		114	5.65		0	0.00		2019	97.11		60	2.89		2079	2.33
Palm Beach		9	0.45		578	29.00		0	0.00		69	3.46		15	0.75		59	2.96		20	1.00		4	0.20		215	10.79		920	46.16		12	0.60		92	4.62		0	0.00		1993	96.19		79	3.81		2072	2.32
Palm Beach North		4	0.12		966	29.51		2	0.06		103	3.15		22	0.67		143	4.37		56	1.71		2	0.06		244	7.45		1493	45.60		33	1.01		206	6.29		0	0.00		3274	95.90		140	4.10		3414	3.82
Palm Beach South		9	0.35		830	32.28		1	0.04		85	3.31		20	0.78		148	5.76		46	1.79		2	0.08		170	6.61		1074	41.77		27	1.05		159	6.18		0	0.00		2571	97.39		69	2.61		2640	2.96
Reedy Creek		3	0.24		311	24.43		0	0.00		22	1.73		76	5.97		35	2.75		9	0.71		3	0.24		88	6.91		667	52.40		6	0.47		53	4.16		0	0.00		1273	97.77		29	2.23		1302	1.46
Robina		6	0.20		616	20.92		2	0.07		108	3.67		25	0.85		67	2.28		22	0.75		4	0.14		193	6.56		1735	58.93		24	0.82		140	4.76		2	0.07		2944	97.84		65	2.16		3009	3.37
Robina North		5	0.17		559	18.60		0	0.00		122	4.06		19	0.63		52	1.73		18	0.60		2	0.07		174	5.79		1862	61.94		17	0.57		176	5.85		0	0.00		3006	97.12		89	2.88		3095	3.47
Robina Town		3	0.20		374	25.19		0	0.00		60	4.04		23	1.55		49	3.30		13	0.88		1	0.07		73	4.92		786	52.93		9	0.61		92	6.20		2	0.13		1485	97.83		33	2.17		1518	1.70
Springbrook		0	0.00		77	26.83		0	0.00		16	5.57		2	0.70		53	18.47		1	0.35		0	0.00		36	12.54		73	25.44		0	0.00		29	10.10		0	0.00		287	95.99		12	4.01		299	0.33
Stephens		13	0.46		924	32.95		2	0.07		90	3.21		25	0.89		76	2.71		26	0.93		2	0.07		267	9.52		1191	42.48		37	1.32		150	5.35		1	0.04		2804	96.13		113	3.87		2917	3.27
Tallai (McPherson)		6	0.23		633	24.00		1	0.04		84	3.18		43	1.63		101	3.83		33	1.25		0	0.00		212	8.04		1378	52.24		21	0.80		126	4.78		0	0.00		2638	96.42		98	3.58		2736	3.06
Tallebudgera		1	0.07		333	23.53		1	0.07		55	3.89		2	0.14		68	4.81		17	1.20		1	0.07		141	9.96		698	49.33		10	0.71		88	6.22		0	0.00		1415	97.79		32	2.21		1447	1.62
Tallebudgera Valley		2	0.43		94	20.39		0	0.00		10	2.17		2	0.43		36	7.81		5	1.08		0	0.00		49	10.63		225	48.81		6	1.30		32	6.94		0	0.00		461	98.29		8	1.71		469	0.53
Tugun		6	0.17		1073	30.32		1	0.03		71	2.01		20	0.57		158	4.46		42	1.19		2	0.06		394	11.13		1538	43.46		23	0.65		209	5.91		2	0.06		3539	97.31		98	2.69		3637	4.07
Special Hospitals		2	0.43		181	38.92		1	0.22		17	3.66		2	0.43		2	0.43		0	0.00		0	0.00		15	3.23		236	50.75		1	0.22		8	1.72		0	0.00		465	97.08		14	2.92		479	0.54
Total Ordinary		189	0.27		18802	26.71		34	0.05		2318	3.29		595	0.85		2771	3.94		847	1.20		55	0.08		5732	8.14		34478	48.98		589	0.84		3957	5.62		22	0.03		70389	96.70		2400	3.30		72789	81.51
ABSENT		9	0.25		879	24.30		3	0.08		131	3.62		62	1.71		173	4.78		89	2.46		4	0.11		246	6.80		1696	46.89		56	1.55		267	7.38		2	0.06		3617	98.26		64	1.74		3681	4.12
POSTAL		10	0.29		866	24.89		1	0.03		106	3.05		33	0.95		71	2.04		19	0.55		7	0.20		271	7.79		1882	54.08		20	0.57		194	5.57		0	0.00		3480	98.11		67	1.89		3547	3.97
PRE_POLL		23	0.28		2211	27.20		0	0.00		309	3.80		55	0.68		257	3.16		68	0.84		11	0.14		643	7.91		4022	49.48		85	1.05		441	5.43		4	0.05		8129	98.16		152	1.84		8281	9.27
PROVISIONAL		3	0.31		285	29.02		0	0.00		14	1.43		11	1.12		61	6.21		22	2.24		1	0.10		61	6.21		460	46.84		18	1.83		46	4.68		0	0.00		982	97.71		23	2.29		1005	1.13
Division Summary		234	0.27		23043	26.61		38	0.04		2878	3.32		756	0.87		3333	3.85		1045	1.21		78	0.09		6953	8.03		42538	49.12		768	0.89		4905	5.66		28	0.03		86597	96.97		2706	3.03		89303	94.35
