House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							
McPherson (94653)																																							
		LIGHT			LEWIS			# MAY			BRADLEY			TRIGGER			GOODWIN			WHITE			FORMAL			INFORMAL			TOTAL										
		Inge			Paul			Margaret			Ronald			Kellie			Kevin Patrick			Russell V												Two Candidate Preferred							
		GRN			HAN			LP			IND			ALP			IND			DEM												# MAY LP			 TRIGGER ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Kirra	91	6.29		101	6.98		625	43.19		14	0.97		556	38.42		18	1.24		42	2.90		1447	93.29		104	6.71		1551	1.74		763	52.73		684	47.27
	Mermaid Beach	80	6.17		62	4.78		796	61.42		15	1.16		282	21.76		4	0.31		57	4.40		1296	95.08		67	4.92		1363	1.53		895	69.06		401	30.94
	Mermaid Waters (McPherson)	96	3.42		146	5.20		1699	60.57		17	0.61		693	24.71		15	0.53		139	4.96		2805	91.76		252	8.24		3057	3.43		1882	67.09		923	32.91
	Merrimac (McPherson)	72	4.17		106	6.14		1038	60.17		12	0.70		427	24.75		10	0.58		60	3.48		1725	93.65		117	6.35		1842	2.06		1170	67.83		555	32.17
	Merrimac High	43	3.03		69	4.87		891	62.83		13	0.92		356	25.11		13	0.92		33	2.33		1418	94.47		83	5.53		1501	1.68		966	68.12		452	31.88
	Miami	153	8.81		96	5.53		830	47.78		14	0.81		583	33.56		10	0.58		51	2.94		1737	93.19		127	6.81		1864	2.09		984	56.65		753	43.35
	Miami West	143	4.66		152	4.95		1740	56.71		29	0.95		878	28.62		17	0.55		109	3.55		3068	94.98		162	5.02		3230	3.62		1943	63.33		1125	36.67
	Moana Park (McPherson)	17	3.45		37	7.51		296	60.04		5	1.01		114	23.12		7	1.42		17	3.45		493	94.44		29	5.56		522	0.58		344	69.78		149	30.22
	Mudgeeraba	100	5.17		136	7.03		1178	60.91		11	0.57		411	21.25		16	0.83		82	4.24		1934	93.16		142	6.84		2076	2.33		1341	69.34		593	30.66
	Palm Beach	82	4.14		127	6.41		1059	53.48		12	0.61		633	31.97		12	0.61		55	2.78		1980	95.61		91	4.39		2071	2.32		1191	60.15		789	39.85
	Palm Beach North	176	5.46		177	5.49		1646	51.09		25	0.78		1031	32.00		17	0.53		150	4.66		3222	94.38		192	5.62		3414	3.83		1894	58.78		1328	41.22
	Palm Beach South	171	6.85		135	5.40		1181	47.28		16	0.64		861	34.47		12	0.48		122	4.88		2498	94.51		145	5.49		2643	2.96		1356	54.28		1142	45.72			
	Reedy Creek	43	3.50		79	6.43		730	59.45		12	0.98		317	25.81		9	0.73		38	3.09		1228	94.24		75	5.76		1303	1.46		824	67.10		404	32.90			
	Robina	86	2.95		106	3.64		1951	66.93		15	0.51		640	21.96		8	0.27		109	3.74		2915	96.84		95	3.16		3010	3.37		2099	72.01		816	27.99			
	Robina North	65	2.25		111	3.85		1984	68.82		18	0.62		579	20.08		5	0.17		121	4.20		2883	93.18		211	6.82		3094	3.47		2129	73.85		754	26.15			
	Robina Town	53	3.66		55	3.80		856	59.16		10	0.69		395	27.30		9	0.62		69	4.77		1447	95.32		71	4.68		1518	1.70		946	65.38		501	34.62			
	Springbrook	56	20.14		16	5.76		101	36.33		0	0.00		86	30.94		2	0.72		17	6.12		278	92.98		21	7.02		299	0.34		124	44.60		154	55.40			
	Stephens	101	3.72		233	8.58		1292	47.55		17	0.63		946	34.82		14	0.52		114	4.20		2717	93.11		201	6.89		2918	3.27		1498	55.13		1219	44.87			
	Tallai (McPherson)	131	5.15		189	7.43		1465	57.56		20	0.79		633	24.87		13	0.51		94	3.69		2545	93.09		189	6.91		2734	3.06		1678	65.93		867	34.07			
	Tallebudgera	81	5.88		96	6.97		776	56.31		8	0.58		350	25.40		4	0.29		63	4.57		1378	95.30		68	4.70		1446	1.62		883	64.08		495	35.92			
	Tallebudgera Valley	42	9.35		30	6.68		252	56.12		3	0.67		107	23.83		2	0.45		13	2.90		449	95.94		19	4.06		468	0.52		278	61.92		171	38.08			
	Tugun	176	5.05		258	7.41		1712	49.17		24	0.69		1131	32.48		18	0.52		163	4.68		3482	95.69		157	4.31		3639	4.08		1976	56.75		1506	43.25			
	Special Hospitals	11	2.41		8	1.75		289	63.24		5	1.09		136	29.76		2	0.44		6	1.31		457	95.81		20	4.19		477	0.53		309	67.61		148	32.39			
	Total Ordinary	3416	4.98		4011	5.84		37842	55.12		475	0.69		19726	28.73		385	0.56		2796	4.07		68651	94.32		4137	5.68		72788	81.57		42767	62.30		25884	37.70			
	ABSENT	275	8.15		234	6.94		1741	51.62		44	1.30		834	24.73		27	0.80		218	6.46		3373	94.22		207	5.78		3580	4.01		2136	63.33		1237	36.67			
	POSTAL	97	2.66		215	5.90		2181	59.82		22	0.60		989	27.13		23	0.63		119	3.26		3646	97.05		111	2.95		3757	4.21		2414	66.21		1232	33.79			
	PRE_POLL	370	4.63		468	5.86		4479	56.06		59	0.74		2262	28.31		41	0.51		310	3.88		7989	96.97		250	3.03		8239	9.23		5037	63.05		2952	36.95			
	PROVISIONAL	62	7.57		61	7.45		398	48.60		7	0.85		244	29.79		5	0.61		42	5.13		819	94.35		49	5.65		868	0.97		485	59.22		334	40.78			
	Division Summary	4220	5.00		4989	5.91		46641	55.21		607	0.72		24055	28.47		481	0.57		3485	4.13		84478	94.67		4754	5.33		89232	94.27		52839	62.55		31639	37.45			
																																							
																																							
																																							
																																							
																																							
