Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Longman (83408)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Burpengary East		4	0.28		462	32.58		2	0.14		46	3.24		14	0.99		16	1.13		7	0.49		2	0.14		161	11.35		601	42.38		14	0.99		88	6.21		1	0.07		1418	96.33		54	3.67		1472	1.85
Burpengary South		7	0.42		491	29.17		0	0.00		65	3.86		43	2.55		41	2.44		14	0.83		4	0.24		191	11.35		693	41.18		15	0.89		118	7.01		1	0.06		1683	98.42		27	1.58		1710	2.15
Burpengary West		8	0.27		1036	34.66		2	0.07		67	2.24		32	1.07		90	3.01		39	1.30		0	0.00		274	9.17		1193	39.91		33	1.10		213	7.13		2	0.07		2989	97.62		73	2.38		3062	3.85
Caboolture		22	0.45		1769	36.40		7	0.14		182	3.74		52	1.07		138	2.84		86	1.77		7	0.14		521	10.72		1680	34.57		57	1.17		335	6.89		4	0.08		4860	95.44		232	4.56		5092	6.39
Caboolture East		12	0.52		894	38.55		5	0.22		95	4.10		25	1.08		82	3.54		39	1.68		1	0.04		258	11.13		692	29.84		45	1.94		169	7.29		2	0.09		2319	96.42		86	3.58		2405	3.02
Caboolture West		9	0.34		919	34.89		2	0.08		137	5.20		59	2.24		65	2.47		32	1.21		1	0.04		284	10.78		920	34.93		41	1.56		164	6.23		1	0.04		2634	97.56		66	2.44		2700	3.39
Conondale		2	0.52		83	21.73		0	0.00		42	10.99		0	0.00		80	20.94		5	1.31		1	0.26		50	13.09		78	20.42		3	0.79		38	9.95		0	0.00		382	96.46		14	3.54		396	0.50
Deception Bay		4	0.36		514	46.52		2	0.18		14	1.27		16	1.45		19	1.72		22	1.99		0	0.00		151	13.67		299	27.06		14	1.27		49	4.43		1	0.09		1105	96.09		45	3.91		1150	1.44
Deception Bay North		19	0.59		1380	43.18		4	0.13		79	2.47		36	1.13		72	2.25		36	1.13		2	0.06		408	12.77		917	28.69		57	1.78		183	5.73		3	0.09		3196	96.53		115	3.47		3311	4.16
Deception Bay South (Longman)		8	0.93		383	44.64		0	0.00		16	1.86		15	1.75		9	1.05		13	1.52		0	0.00		71	8.28		282	32.87		13	1.52		48	5.59		0	0.00		858	96.19		34	3.81		892	1.12
Donnybrook		2	0.48		151	35.87		0	0.00		17	4.04		2	0.48		6	1.43		4	0.95		0	0.00		80	19.00		126	29.93		4	0.95		29	6.89		0	0.00		421	93.97		27	6.03		448	0.56
Elimbah		3	0.21		436	30.94		1	0.07		50	3.55		13	0.92		41	2.91		20	1.42		1	0.07		174	12.35		546	38.75		27	1.92		96	6.81		1	0.07		1409	97.92		30	2.08		1439	1.81
Glass House Mountains		5	0.27		519	27.92		2	0.11		228	12.26		12	0.65		61	3.28		20	1.08		0	0.00		193	10.38		702	37.76		17	0.91		100	5.38		0	0.00		1859	96.77		62	3.23		1921	2.41
Landsborough		6	0.34		537	30.44		2	0.11		110	6.24		18	1.02		125	7.09		22	1.25		1	0.06		246	13.95		575	32.60		18	1.02		104	5.90		0	0.00		1764	96.13		71	3.87		1835	2.30
Maleny		5	0.17		641	21.18		5	0.17		235	7.76		36	1.19		337	11.13		33	1.09		4	0.13		244	8.06		1142	37.73		23	0.76		319	10.54		3	0.10		3027	97.21		87	2.79		3114	3.91
Morayfield		20	0.47		1511	35.55		2	0.05		113	2.66		62	1.46		139	3.27		91	2.14		3	0.07		445	10.47		1544	36.33		59	1.39		258	6.07		3	0.07		4250	97.59		105	2.41		4355	5.47
Morayfield East		11	0.53		751	36.19		0	0.00		70	3.37		15	0.72		47	2.27		21	1.01		0	0.00		183	8.82		806	38.84		20	0.96		151	7.28		0	0.00		2075	96.60		73	3.40		2148	2.70
Morayfield West		12	0.44		958	35.08		0	0.00		78	2.86		21	0.77		81	2.97		32	1.17		0	0.00		287	10.51		1004	36.76		38	1.39		220	8.06		0	0.00		2731	97.68		65	2.32		2796	3.51
Mount Mee		1	0.44		47	20.61		2	0.88		26	11.40		2	0.88		6	2.63		3	1.32		0	0.00		45	19.74		73	32.02		2	0.88		21	9.21		0	0.00		228	97.44		6	2.56		234	0.29
Narangba		5	0.15		1011	31.24		1	0.03		77	2.38		43	1.33		138	4.26		23	0.71		3	0.09		271	8.37		1347	41.63		32	0.99		282	8.71		3	0.09		3236	98.15		61	1.85		3297	4.14
Narangba North		0	0.00		137	32.46		0	0.00		11	2.61		12	2.84		17	4.03		3	0.71		2	0.47		28	6.64		162	38.39		4	0.95		45	10.66		1	0.24		422	98.83		5	1.17		427	0.54
Ningi		11	0.48		846	37.11		0	0.00		40	1.75		11	0.48		45	1.97		24	1.05		2	0.09		288	12.63		869	38.11		32	1.40		112	4.91		0	0.00		2280	96.53		82	3.47		2362	2.97
Peachester		4	0.65		152	24.84		0	0.00		68	11.11		4	0.65		32	5.23		7	1.14		0	0.00		79	12.91		216	35.29		7	1.14		42	6.86		1	0.16		612	96.08		25	3.92		637	0.80
Toorbul		3	0.56		173	32.52		2	0.38		27	5.08		3	0.56		8	1.50		4	0.75		1	0.19		110	20.68		175	32.89		8	1.50		18	3.38		0	0.00		532	96.90		17	3.10		549	0.69
Wamuran		6	0.48		315	25.44		3	0.24		128	10.34		4	0.32		44	3.55		15	1.21		1	0.08		187	15.11		442	35.70		11	0.89		82	6.62		0	0.00		1238	96.04		51	3.96		1289	1.62
Woodford		10	0.50		609	30.66		14	0.70		180	9.06		17	0.86		67	3.37		21	1.06		0	0.00		305	15.36		628	31.62		19	0.96		116	5.84		0	0.00		1986	95.71		89	4.29		2075	2.61
Woorim		5	0.46		394	36.21		0	0.00		42	3.86		8	0.74		34	3.13		10	0.92		2	0.18		107	9.83		408	37.50		15	1.38		63	5.79		0	0.00		1088	98.02		22	1.98		1110	1.39
Special Hospitals		6	1.24		173	35.82		1	0.21		46	9.52		8	1.66		5	1.04		1	0.21		0	0.00		34	7.04		196	40.58		1	0.21		12	2.48		0	0.00		483	90.96		48	9.04		531	0.67
Total Ordinary		271	0.41		22218	33.69		70	0.11		2882	4.37		692	1.05		2187	3.32		799	1.21		53	0.08		7483	11.35		24176	36.66		774	1.17		4314	6.54		34	0.05		65953	96.69		2261	3.31		68214	85.66
ABSENT		21	0.48		1397	31.71		6	0.14		172	3.90		47	1.07		248	5.63		97	2.20		8	0.18		468	10.62		1523	34.57		78	1.77		334	7.58		7	0.16		4406	98.35		74	1.65		4480	5.63
POSTAL		17	0.51		983	29.56		6	0.18		160	4.81		32	0.96		65	1.95		26	0.78		5	0.15		418	12.57		1399	42.06		41	1.23		169	5.08		5	0.15		3326	98.26		59	1.74		3385	4.25
PRE_POLL		12	0.43		921	32.73		3	0.11		80	2.84		31	1.10		76	2.70		29	1.03		1	0.04		351	12.47		1113	39.55		38	1.35		157	5.58		2	0.07		2814	98.01		57	1.99		2871	3.61
PROVISIONAL		2	0.30		245	37.35		0	0.00		20	3.05		6	0.91		48	7.32		22	3.35		0	0.00		72	10.98		190	28.96		16	2.44		35	5.34		0	0.00		656	96.47		24	3.53		680	0.85
Division Summary		323	0.42		25764	33.39		85	0.11		3314	4.3		808	1.05		2624	3.4		973	1.26		67	0.09		8792	11.4		28401	36.81		947	1.23		5009	6.49		48	0.06		77155	96.89		2475	3.11		79630	95.47
