House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Kennedy																										
				WALL			RIVAS			NEILAN			LYLE			HARRIS			KATTER			BURNETT				
	SIXTH									7	18.92			Excluded					30	81.08					37	
		TOTAL								41	20.00								164	80.00					205	
																			Elected							
																										
Bellenden Ker                                                  																										
	FIRST			4	3.42		6	5.13		11	9.40		19	16.24		0	0.00		68	58.12		9	7.69		117	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		4	3.42		6	5.13		11	9.40		19	16.24					68	58.12		9	7.69		117	
	THIRD			3	50.00			Excluded		1	16.67		0	0.00					1	16.67		1	16.67		6	
		TOTAL		7	5.98					12	10.26		19	16.24					69	58.97		10	8.55		117	
	FOURTH				Excluded					3	42.86		2	28.57					1	14.29		1	14.29		7	
		TOTAL								15	12.82		21	17.95					70	59.83		11	9.40		117	
	FIFTH									1	9.09		1	9.09					9	81.82			Excluded		11	
		TOTAL								16	13.68		22	18.80					79	67.52					117	
	SIXTH									3	13.64			Excluded					19	86.36					22	
		TOTAL								19	16.24								98	83.76					117	
																			Elected							
																										
Biboohra                                                       																										
	FIRST			6	2.26		6	2.26		32	12.08		20	7.55		2	0.75		162	61.13		37	13.96		265	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		2	
		TOTAL		6	2.26		6	2.26		32	12.08		20	7.55					164	61.89		37	13.96		265	
	THIRD			1	16.67			Excluded		2	33.33		0	0.00					2	33.33		1	16.67		6	
		TOTAL		7	2.64					34	12.83		20	7.55					166	62.64		38	14.34		265	
	FOURTH				Excluded					4	57.14		0	0.00					1	14.29		2	28.57		7	
		TOTAL								38	14.34		20	7.55					167	63.02		40	15.09		265	
	FIFTH									7	17.50		2	5.00					31	77.50			Excluded		40	
		TOTAL								45	16.98		22	8.30					198	74.72					265	
	SIXTH									4	18.18			Excluded					18	81.82					22	
		TOTAL								49	18.49								216	81.51					265	
																			Elected							
																										
Bluewater                                                      																										
	FIRST			32	2.33		42	3.06		408	29.72		264	19.23		2	0.15		466	33.94		159	11.58		1373	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		33	2.40		42	3.06		408	29.72		264	19.23					467	34.01		159	11.58		1373	
	THIRD			19	45.24			Excluded		8	19.05		2	4.76					11	26.19		2	4.76		42	
		TOTAL		52	3.79					416	30.30		266	19.37					478	34.81		161	11.73		1373	
	FOURTH				Excluded					26	50.00		10	19.23					12	23.08		4	7.69		52	
		TOTAL								442	32.19		276	20.10					490	35.69		165	12.02		1373	
	FIFTH									29	17.58		21	12.73					115	69.70			Excluded		165	
		TOTAL								471	34.30		297	21.63					605	44.06					1373	
	SIXTH									55	18.52			Excluded					242	81.48					297	
		TOTAL								526	38.31								847	61.69					1373	
																			Elected							
																										
Boulia                                                         																										
	FIRST			3	1.69		29	16.38		52	29.38		22	12.43		0	0.00		61	34.46		10	5.65		177	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		3	1.69		29	16.38		52	29.38		22	12.43					61	34.46		10	5.65		177	
	THIRD			5	17.24			Excluded		6	20.69		2	6.90					15	51.72		1	3.45		29	
		TOTAL		8	4.52					58	32.77		24	13.56					76	42.94		11	6.21		177	
	FOURTH				Excluded					6	75.00		2	25.00					0	0.00		0	0.00		8	
		TOTAL								64	36.16		26	14.69					76	42.94		11	6.21		177	
	FIFTH									1	9.09		1	9.09					9	81.82			Excluded		11	
		TOTAL								65	36.72		27	15.25					85	48.02					177	
	SIXTH									8	29.63			Excluded					19	70.37					27	
		TOTAL								73	41.24								104	58.76					177	
																			Elected							
																										
Bramston Beach                                                 																										
	FIRST			4	4.26		4	4.26		10	10.64		4	4.26		0	0.00		56	59.57		16	17.02		94	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		4	4.26		4	4.26		10	10.64		4	4.26					56	59.57		16	17.02		94	
	THIRD			2	50.00			Excluded		2	50.00		0	0.00					0	0.00		0	0.00		4	
		TOTAL		6	6.38					12	12.77		4	4.26					56	59.57		16	17.02		94	
	FOURTH				Excluded					3	50.00		2	33.33					1	16.67		0	0.00		6	
		TOTAL								15	15.96		6	6.38					57	60.64		16	17.02		94	
	FIFTH									2	12.50		1	6.25					13	81.25			Excluded		16	
		TOTAL								17	18.09		7	7.45					70	74.47					94	
	SIXTH									3	42.86			Excluded					4	57.14					7	
		TOTAL								20	21.28								74	78.72					94	
																			Elected							
																										
Brisbane City (Kennedy)                                        																										
	FIRST			4	7.27		1	1.82		10	18.18		11	20.00		0	0.00		27	49.09		2	3.64		55	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		4	7.27		1	1.82		10	18.18		11	20.00					27	49.09		2	3.64		55	
	THIRD			0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		1	
		TOTAL		4	7.27					10	18.18		12	21.82					27	49.09		2	3.64		55	
	FOURTH				Excluded					1	25.00		2	50.00					0	0.00		1	25.00		4	
		TOTAL								11	20.00		14	25.45					27	49.09		3	5.45		55	
	FIFTH									1	33.33		0	0.00					2	66.67			Excluded		3	
		TOTAL								12	21.82		14	25.45					29	52.73					55	
	SIXTH									5	35.71			Excluded					9	64.29					14	
		TOTAL								17	30.91								38	69.09					55	
																			Elected							
																										
Burketown                                                      																										
	FIRST			3	3.61		1	1.20		28	33.73		7	8.43		0	0.00		39	46.99		5	6.02		83	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		3	3.61		1	1.20		28	33.73		7	8.43					39	46.99		5	6.02		83	
	THIRD			0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL		3	3.61					29	34.94		7	8.43					39	46.99		5	6.02		83	
	FOURTH				Excluded					3	100.00		0	0.00					0	0.00		0	0.00		3	
		TOTAL								32	38.55		7	8.43					39	46.99		5	6.02		83	
	FIFTH									0	0.00		2	40.00					3	60.00			Excluded		5	
		TOTAL								32	38.55		9	10.84					42	50.60					83	
	SIXTH									4	44.44			Excluded					5	55.56					9	
		TOTAL								36	43.37								47	56.63					83	
																			Elected							
																										
Butchers Creek                                                 																										
	FIRST			5	3.57		7	5.00		21	15.00		9	6.43		0	0.00		78	55.71		20	14.29		140	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		5	3.57		7	5.00		21	15.00		9	6.43					78	55.71		20	14.29		140	
	THIRD			6	85.71			Excluded		0	0.00		0	0.00					0	0.00		1	14.29		7	
		TOTAL		11	7.86					21	15.00		9	6.43					78	55.71		21	15.00		140	
	FOURTH				Excluded					7	63.64		1	9.09					2	18.18		1	9.09		11	
		TOTAL								28	20.00		10	7.14					80	57.14		22	15.71		140	
	FIFTH									3	13.64		0	0.00					19	86.36			Excluded		22	
		TOTAL								31	22.14		10	7.14					99	70.71					140	
	SIXTH									2	20.00			Excluded					8	80.00					10	
		TOTAL								33	23.57								107	76.43					140	
																			Elected							
																										
Camooweal                                                      																										
	FIRST			0	0.00		0	0.00		35	44.30		17	21.52		0	0.00		23	29.11		4	5.06		79	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		35	44.30		17	21.52					23	29.11		4	5.06		79	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					35	44.30		17	21.52					23	29.11		4	5.06		79	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								35	44.30		17	21.52					23	29.11		4	5.06		79	
	FIFTH									0	0.00		0	0.00					4	100.00			Excluded		4	
		TOTAL								35	44.30		17	21.52					27	34.18					79	
	SIXTH									2	11.76			Excluded					15	88.24					17	
		TOTAL								37	46.84								42	53.16					79	
																			Elected							
																										
Cardwell                                                       																										
	FIRST			8	1.00		17	2.13		130	16.25		123	15.38		3	0.38		422	52.75		97	12.13		800	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00			Excluded		2	66.67		0	0.00		3	
		TOTAL		8	1.00		17	2.13		131	16.38		123	15.38					424	53.00		97	12.13		800	
	THIRD			8	47.06			Excluded		5	29.41		2	11.76					1	5.88		1	5.88		17	
		TOTAL		16	2.00					136	17.00		125	15.63					425	53.13		98	12.25		800	
	FOURTH				Excluded					8	50.00		3	18.75					4	25.00		1	6.25		16	
		TOTAL								144	18.00		128	16.00					429	53.63		99	12.38		800	
	FIFTH									5	5.05		0	0.00					94	94.95			Excluded		99	
		TOTAL								149	18.63		128	16.00					523	65.38					800	
	SIXTH									18	14.06			Excluded					110	85.94					128	
		TOTAL								167	20.88								633	79.13					800	
																			Elected							
																										
Charters Towers                                                																										
	FIRST			27	2.23		15	1.24		292	24.09		158	13.04		1	0.08		625	51.57		94	7.76		1212	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		28	2.31		15	1.24		292	24.09		158	13.04					625	51.57		94	7.76		1212	
	THIRD			4	26.67			Excluded		6	40.00		1	6.67					4	26.67		0	0.00		15	
		TOTAL		32	2.64					298	24.59		159	13.12					629	51.90		94	7.76		1212	
	FOURTH				Excluded					14	43.75		8	25.00					8	25.00		2	6.25		32	
		TOTAL								312	25.74		167	13.78					637	52.56		96	7.92		1212	
	FIFTH									19	19.79		9	9.38					68	70.83			Excluded		96	
		TOTAL								331	27.31		176	14.52					705	58.17					1212	
	SIXTH									30	17.05			Excluded					146	82.95					176	
		TOTAL								361	29.79								851	70.21					1212	
																			Elected							
																										
Charters Towers Central                                        																										
	FIRST			12	1.20		9	0.90		239	23.90		95	9.50		4	0.40		543	54.30		98	9.80		1000	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00			Excluded		3	75.00		0	0.00		4	
		TOTAL		12	1.20		10	1.00		239	23.90		95	9.50					546	54.60		98	9.80		1000	
	THIRD			2	20.00			Excluded		2	20.00		2	20.00					1	10.00		3	30.00		10	
		TOTAL		14	1.40					241	24.10		97	9.70					547	54.70		101	10.10		1000	
	FOURTH				Excluded					11	78.57		1	7.14					1	7.14		1	7.14		14	
		TOTAL								252	25.20		98	9.80					548	54.80		102	10.20		1000	
	FIFTH									10	9.80		8	7.84					84	82.35			Excluded		102	
		TOTAL								262	26.20		106	10.60					632	63.20					1000	
	SIXTH									16	15.09			Excluded					90	84.91					106	
		TOTAL								278	27.80								722	72.20					1000	
																			Elected							
																										
Charters Towers North                                          																										
	FIRST			4	1.56		3	1.17		65	25.29		38	14.79		1	0.39		132	51.36		14	5.45		257	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		4	1.56		3	1.17		65	25.29		39	15.18					132	51.36		14	5.45		257	
	THIRD			2	66.67			Excluded		1	33.33		0	0.00					0	0.00		0	0.00		3	
		TOTAL		6	2.33					66	25.68		39	15.18					132	51.36		14	5.45		257	
	FOURTH				Excluded					4	66.67		2	33.33					0	0.00		0	0.00		6	
		TOTAL								70	27.24		41	15.95					132	51.36		14	5.45		257	
	FIFTH									2	14.29		0	0.00					12	85.71			Excluded		14	
		TOTAL								72	28.02		41	15.95					144	56.03					257	
	SIXTH									9	21.95			Excluded					32	78.05					41	
		TOTAL								81	31.52								176	68.48					257	
																			Elected							
																										
Chillagoe                                                      																										
	FIRST			2	1.17		4	2.34		15	8.77		20	11.70		0	0.00		103	60.23		27	15.79		171	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	1.17		4	2.34		15	8.77		20	11.70					103	60.23		27	15.79		171	
	THIRD			1	25.00			Excluded		2	50.00		1	25.00					0	0.00		0	0.00		4	
		TOTAL		3	1.75					17	9.94		21	12.28					103	60.23		27	15.79		171	
	FOURTH				Excluded					2	66.67		0	0.00					1	33.33		0	0.00		3	
		TOTAL								19	11.11		21	12.28					104	60.82		27	15.79		171	
	FIFTH									1	3.70		2	7.41					24	88.89			Excluded		27	
		TOTAL								20	11.70		23	13.45					128	74.85					171	
	SIXTH									5	21.74			Excluded					18	78.26					23	
		TOTAL								25	14.62								146	85.38					171	
																			Elected							
																										
Cloncurry                                                      																										
	FIRST			38	3.06		13	1.05		332	26.71		265	21.32		2	0.16		516	41.51		77	6.19		1243	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		38	3.06		13	1.05		332	26.71		266	21.40					517	41.59		77	6.19		1243	
	THIRD			5	38.46			Excluded		2	15.38		3	23.08					3	23.08		0	0.00		13	
		TOTAL		43	3.46					334	26.87		269	21.64					520	41.83		77	6.19		1243	
	FOURTH				Excluded					24	55.81		7	16.28					10	23.26		2	4.65		43	
		TOTAL								358	28.80		276	22.20					530	42.64		79	6.36		1243	
	FIFTH									8	10.13		13	16.46					58	73.42			Excluded		79	
		TOTAL								366	29.44		289	23.25					588	47.30					1243	
	SIXTH									43	14.88			Excluded					246	85.12					289	
		TOTAL								409	32.90								834	67.10					1243	
																			Elected							
																										
Croydon                                                        																										
	FIRST			3	2.22		2	1.48		35	25.93		11	8.15		1	0.74		69	51.11		14	10.37		135	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		3	2.22		2	1.48		35	25.93		11	8.15					70	51.85		14	10.37		135	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	50.00		1	50.00		2	
		TOTAL		3	2.22					35	25.93		11	8.15					71	52.59		15	11.11		135	
	FOURTH				Excluded					2	66.67		0	0.00					1	33.33		0	0.00		3	
		TOTAL								37	27.41		11	8.15					72	53.33		15	11.11		135	
	FIFTH									1	6.67		2	13.33					12	80.00			Excluded		15	
		TOTAL								38	28.15		13	9.63					84	62.22					135	
	SIXTH									1	7.69			Excluded					12	92.31					13	
		TOTAL								39	28.89								96	71.11					135	
																			Elected							
																										
Dajarra                                                        																										
	FIRST			2	2.35		2	2.35		47	55.29		9	10.59		0	0.00		25	29.41		0	0.00		85	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	2.35		2	2.35		47	55.29		9	10.59					25	29.41		0	0.00		85	
	THIRD			0	0.00			Excluded		0	0.00		2	100.00					0	0.00		0	0.00		2	
		TOTAL		2	2.35					47	55.29		11	12.94					25	29.41		0	0.00		85	
	FOURTH				Excluded					1	50.00		1	50.00					0	0.00		0	0.00		2	
		TOTAL								48	56.47		12	14.12					25	29.41		0	0.00		85	
	FIFTH									0	0.00		0	0.00					0	0.00			Excluded		0	
		TOTAL								48	56.47		12	14.12					25	29.41					85	
	SIXTH									6	50.00			Excluded					6	50.00					12	
		TOTAL								54	63.53								31	36.47					85	
																			Elected							
																										
Dimbulah                                                       																										
	FIRST			10	1.89		10	1.89		103	19.47		51	9.64		1	0.19		277	52.36		77	14.56		529	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		10	1.89		11	2.08		103	19.47		51	9.64					277	52.36		77	14.56		529	
	THIRD			4	36.36			Excluded		2	18.18		3	27.27					1	9.09		1	9.09		11	
		TOTAL		14	2.65					105	19.85		54	10.21					278	52.55		78	14.74		529	
	FOURTH				Excluded					10	71.43		2	14.29					1	7.14		1	7.14		14	
		TOTAL								115	21.74		56	10.59					279	52.74		79	14.93		529	
	FIFTH									10	12.66		6	7.59					63	79.75			Excluded		79	
		TOTAL								125	23.63		62	11.72					342	64.65					529	
	SIXTH									8	12.90			Excluded					54	87.10					62	
		TOTAL								133	25.14								396	74.86					529	
																			Elected							
																										
Doomadgee                                                      																										
	FIRST			12	3.32		2	0.55		269	74.52		12	3.32		1	0.28		60	16.62		5	1.39		361	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		12	3.32		2	0.55		269	74.52		13	3.60					60	16.62		5	1.39		361	
	THIRD			2	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL		14	3.88					269	74.52		13	3.60					60	16.62		5	1.39		361	
	FOURTH				Excluded					11	78.57		1	7.14					1	7.14		1	7.14		14	
		TOTAL								280	77.56		14	3.88					61	16.90		6	1.66		361	
	FIFTH									3	50.00		1	16.67					2	33.33			Excluded		6	
		TOTAL								283	78.39		15	4.16					63	17.45					361	
	SIXTH									7	46.67			Excluded					8	53.33					15	
		TOTAL								290	80.33								71	19.67					361	
																			Elected							
																										
East Palmerston                                                																										
	FIRST			0	0.00		1	0.46		27	12.39		13	5.96		1	0.46		140	64.22		36	16.51		218	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		0	0.00		1	0.46		27	12.39		13	5.96					141	64.68		36	16.51		218	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL		1	0.46					27	12.39		13	5.96					141	64.68		36	16.51		218	
	FOURTH				Excluded					0	0.00		1	100.00					0	0.00		0	0.00		1	
		TOTAL								27	12.39		14	6.42					141	64.68		36	16.51		218	
	FIFTH									6	16.67		4	11.11					26	72.22			Excluded		36	
		TOTAL								33	15.14		18	8.26					167	76.61					218	
	SIXTH									4	22.22			Excluded					14	77.78					18	
		TOTAL								37	16.97								181	83.03					218	
																			Elected							
																										
Einasleigh                                                     																										
	FIRST			0	0.00		0	0.00		2	6.25		8	25.00		0	0.00		13	40.63		9	28.13		32	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		2	6.25		8	25.00					13	40.63		9	28.13		32	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					2	6.25		8	25.00					13	40.63		9	28.13		32	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								2	6.25		8	25.00					13	40.63		9	28.13		32	
	FIFTH									0	0.00		3	33.33					6	66.67			Excluded		9	
		TOTAL								2	6.25		11	34.38					19	59.38					32	
	SIXTH									1	9.09			Excluded					10	90.91					11	
		TOTAL								3	9.38								29	90.63					32	
																			Elected							
																										
El Arish                                                       																										
	FIRST			8	1.93		8	1.93		86	20.77		39	9.42		2	0.48		227	54.83		44	10.63		414	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		8	1.93		8	1.93		86	20.77		40	9.66					228	55.07		44	10.63		414	
	THIRD			1	12.50			Excluded		3	37.50		1	12.50					2	25.00		1	12.50		8	
		TOTAL		9	2.17					89	21.50		41	9.90					230	55.56		45	10.87		414	
	FOURTH				Excluded					4	44.44		3	33.33					2	22.22		0	0.00		9	
		TOTAL								93	22.46		44	10.63					232	56.04		45	10.87		414	
	FIFTH									1	2.22		3	6.67					41	91.11			Excluded		45	
		TOTAL								94	22.71		47	11.35					273	65.94					414	
	SIXTH									10	21.28			Excluded					37	78.72					47	
		TOTAL								104	25.12								310	74.88					414	
																			Elected							
																										
Emerald Creek                                                  																										
	FIRST			5	1.83		3	1.10		21	7.69		36	13.19		2	0.73		181	66.30		25	9.16		273	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		2	
		TOTAL		5	1.83		3	1.10		21	7.69		36	13.19					183	67.03		25	9.16		273	
	THIRD			2	66.67			Excluded		1	33.33		0	0.00					0	0.00		0	0.00		3	
		TOTAL		7	2.56					22	8.06		36	13.19					183	67.03		25	9.16		273	
	FOURTH				Excluded					3	42.86		1	14.29					3	42.86		0	0.00		7	
		TOTAL								25	9.16		37	13.55					186	68.13		25	9.16		273	
	FIFTH									1	4.00		4	16.00					20	80.00			Excluded		25	
		TOTAL								26	9.52		41	15.02					206	75.46					273	
	SIXTH									7	17.07			Excluded					34	82.93					41	
		TOTAL								33	12.09								240	87.91					273	
																			Elected							
																										
Evelyn Central                                                 																										
	FIRST			1	1.61		0	0.00		13	20.97		5	8.06		0	0.00		37	59.68		6	9.68		62	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	1.61		0	0.00		13	20.97		5	8.06					37	59.68		6	9.68		62	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		1	1.61					13	20.97		5	8.06					37	59.68		6	9.68		62	
	FOURTH				Excluded					1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL								14	22.58		5	8.06					37	59.68		6	9.68		62	
	FIFTH									3	50.00		0	0.00					3	50.00			Excluded		6	
		TOTAL								17	27.42		5	8.06					40	64.52					62	
	SIXTH									0	0.00			Excluded					5	100.00					5	
		TOTAL								17	27.42								45	72.58					62	
																			Elected							
																										
Feluga                                                         																										
	FIRST			4	1.74		5	2.17		28	12.17		30	13.04		2	0.87		144	62.61		17	7.39		230	
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		5	2.17		5	2.17		28	12.17		31	13.48					144	62.61		17	7.39		230	
	THIRD			1	20.00			Excluded		0	0.00		0	0.00					4	80.00		0	0.00		5	
		TOTAL		6	2.61					28	12.17		31	13.48					148	64.35		17	7.39		230	
	FOURTH				Excluded					3	50.00		0	0.00					2	33.33		1	16.67		6	
		TOTAL								31	13.48		31	13.48					150	65.22		18	7.83		230	
	FIFTH									2	11.11		1	5.56					15	83.33			Excluded		18	
		TOTAL								33	14.35		32	13.91					165	71.74					230	
	SIXTH									2	6.25			Excluded					30	93.75					32	
		TOTAL								35	15.22								195	84.78					230	
																			Elected							
																										
Flying Fish Point                                              																										
	FIRST			2	0.72		12	4.35		66	23.91		30	10.87		0	0.00		143	51.81		23	8.33		276	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
