House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Leichhardt																							
				EAST			ENTSCH			TREZISE			METCALFE			PUGH			SALIER				
	FOURTH			16	21.33		17	22.67		42	56.00			Excluded								75	
		TOTAL		117	8.67		864	64.05		368	27.28											1349	
	FIFTH				Excluded		65	55.56		52	44.44											117	
		TOTAL					929	68.87		420	31.13											1349	
							Elected																
																							
Brisbane City (Leichhardt)                                     																							
	FIRST			2	3.17		29	46.03		19	30.16		5	7.94		3	4.76		5	7.94		63	
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67			Excluded		1	33.33		3	
		TOTAL		2	3.17		29	46.03		19	30.16		7	11.11					6	9.52		63	
	THIRD			1	16.67		1	16.67		1	16.67		3	50.00						Excluded		6	
		TOTAL		3	4.76		30	47.62		20	31.75		10	15.87								63	
	FOURTH			0	0.00		3	30.00		7	70.00			Excluded								10	
		TOTAL		3	4.76		33	52.38		27	42.86											63	
	FIFTH				Excluded		2	66.67		1	33.33											3	
		TOTAL					35	55.56		28	44.44											63	
							Elected																
																							
Cairns                                                         																							
	FIRST			52	6.85		363	47.83		217	28.59		79	10.41		5	0.66		43	5.67		759	
	SECOND			1	20.00		0	0.00		0	0.00		3	60.00			Excluded		1	20.00		5	
		TOTAL		53	6.98		363	47.83		217	28.59		82	10.80					44	5.80		759	
	THIRD			3	6.82		7	15.91		13	29.55		21	47.73						Excluded		44	
		TOTAL		56	7.38		370	48.75		230	30.30		103	13.57								759	
	FOURTH			18	17.48		16	15.53		69	66.99			Excluded								103	
		TOTAL		74	9.75		386	50.86		299	39.39											759	
	FIFTH				Excluded		41	55.41		33	44.59											74	
		TOTAL					427	56.26		332	43.74											759	
							Elected																
																							
Cairns Base Hospital                                           																							
	FIRST			35	6.58		238	44.74		205	38.53		34	6.39		1	0.19		19	3.57		532	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		35	6.58		238	44.74		206	38.72		34	6.39					19	3.57		532	
	THIRD			1	5.26		2	10.53		7	36.84		9	47.37						Excluded		19	
		TOTAL		36	6.77		240	45.11		213	40.04		43	8.08								532	
	FOURTH			1	2.33		9	20.93		33	76.74			Excluded								43	
		TOTAL		37	6.95		249	46.80		246	46.24											532	
	FIFTH				Excluded		19	51.35		18	48.65											37	
		TOTAL					268	50.38		264	49.62											532	
							Elected																
																							
Cairns North                                                   																							
	FIRST			116	7.21		793	49.32		484	30.10		142	8.83		12	0.75		61	3.79		1608	
	SECOND			1	8.33		2	16.67		3	25.00		5	41.67			Excluded		1	8.33		12	
		TOTAL		117	7.28		795	49.44		487	30.29		147	9.14					62	3.86		1608	
	THIRD			4	6.45		7	11.29		18	29.03		33	53.23						Excluded		62	
		TOTAL		121	7.52		802	49.88		505	31.41		180	11.19								1608	
	FOURTH			20	11.11		39	21.67		121	67.22			Excluded								180	
		TOTAL		141	8.77		841	52.30		626	38.93											1608	
	FIFTH				Excluded		71	50.35		70	49.65											141	
		TOTAL					912	56.72		696	43.28											1608	
							Elected																
																							
Cairns West                                                    																							
	FIRST			235	9.07		1061	40.93		1112	42.90		117	4.51		17	0.66		50	1.93		2592	
	SECOND			1	5.88		4	23.53		3	17.65		2	11.76			Excluded		7	41.18		17	
		TOTAL		236	9.10		1065	41.09		1115	43.02		119	4.59					57	2.20		2592	
	THIRD			5	8.77		12	21.05		18	31.58		22	38.60						Excluded		57	
		TOTAL		241	9.30		1077	41.55		1133	43.71		141	5.44								2592	
	FOURTH			22	15.60		30	21.28		89	63.12			Excluded								141	
		TOTAL		263	10.15		1107	42.71		1222	47.15											2592	
	FIFTH				Excluded		144	54.75		119	45.25											263	
		TOTAL					1251	48.26		1341	51.74											2592	
							Elected																
																							
Caravonica                                                     																							
	FIRST			259	9.09		1540	54.05		708	24.85		157	5.51		29	1.02		156	5.48		2849	
	SECOND			8	27.59		3	10.34		2	6.90		10	34.48			Excluded		6	20.69		29	
		TOTAL		267	9.37		1543	54.16		710	24.92		167	5.86					162	5.69		2849	
	THIRD			13	8.02		20	12.35		31	19.14		98	60.49						Excluded		162	
		TOTAL		280	9.83		1563	54.86		741	26.01		265	9.30								2849	
	FOURTH			25	9.43		57	21.51		183	69.06			Excluded								265	
		TOTAL		305	10.71		1620	56.86		924	32.43											2849	
	FIFTH				Excluded		167	54.75		138	45.25											305	
		TOTAL					1787	62.72		1062	37.28											2849	
							Elected																
																							
Clifton Beach                                                  																							
	FIRST			102	7.59		736	54.80		342	25.47		113	8.41		6	0.45		44	3.28		1343	
	SECOND			1	16.67		1	16.67		0	0.00		2	33.33			Excluded		2	33.33		6	
		TOTAL		103	7.67		737	54.88		342	25.47		115	8.56					46	3.43		1343	
	THIRD			1	2.17		6	13.04		19	41.30		20	43.48						Excluded		46	
		TOTAL		104	7.74		743	55.32		361	26.88		135	10.05								1343	
	FOURTH			10	7.41		26	19.26		99	73.33			Excluded								135	
		TOTAL		114	8.49		769	57.26		460	34.25											1343	
	FIFTH				Excluded		59	51.75		55	48.25											114	
		TOTAL					828	61.65		515	38.35											1343	
							Elected																
																							
Coen                                                           																							
	FIRST			22	13.84		48	30.19		78	49.06		1	0.63		2	1.26		8	5.03		159	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		22	13.84		49	30.82		78	49.06		2	1.26					8	5.03		159	
	THIRD			1	12.50		1	12.50		4	50.00		2	25.00						Excluded		8	
		TOTAL		23	14.47		50	31.45		82	51.57		4	2.52								159	
	FOURTH			2	50.00		0	0.00		2	50.00			Excluded								4	
		TOTAL		25	15.72		50	31.45		84	52.83											159	
	FIFTH				Excluded		18	72.00		7	28.00											25	
		TOTAL					68	42.77		91	57.23											159	
							Elected																
																							
Cooktown                                                       																							
	FIRST			157	17.16		457	49.95		243	26.56		26	2.84		5	0.55		27	2.95		915	
	SECOND			1	20.00		1	20.00		1	20.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		158	17.27		458	50.05		244	26.67		27	2.95					28	3.06		915	
	THIRD			3	10.71		5	17.86		9	32.14		11	39.29						Excluded		28	
		TOTAL		161	17.60		463	50.60		253	27.65		38	4.15								915	
	FOURTH			3	7.89		7	18.42		28	73.68			Excluded								38	
		TOTAL		164	17.92		470	51.37		281	30.71											915	
	FIFTH				Excluded		86	52.44		78	47.56											164	
		TOTAL					556	60.77		359	39.23											915	
							Elected																
																							
Daintree                                                       																							
	FIRST			26	16.46		71	44.94		43	27.22		16	10.13		1	0.63		1	0.63		158	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		26	16.46		72	45.57		43	27.22		16	10.13					1	0.63		158	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		26	16.46		73	46.20		43	27.22		16	10.13								158	
	FOURTH			1	6.25		2	12.50		13	81.25			Excluded								16	
		TOTAL		27	17.09		75	47.47		56	35.44											158	
	FIFTH				Excluded		17	62.96		10	37.04											27	
		TOTAL					92	58.23		66	41.77											158	
							Elected																
																							
Earlville                                                      																							
	FIRST			267	8.61		1745	56.25		896	28.88		94	3.03		17	0.55		83	2.68		3102	
	SECOND			3	17.65		3	17.65		5	29.41		4	23.53			Excluded		2	11.76		17	
		TOTAL		270	8.70		1748	56.35		901	29.05		98	3.16					85	2.74		3102	
	THIRD			8	9.41		14	16.47		21	24.71		42	49.41						Excluded		85	
		TOTAL		278	8.96		1762	56.80		922	29.72		140	4.51								3102	
	FOURTH			21	15.00		32	22.86		87	62.14			Excluded								140	
		TOTAL		299	9.64		1794	57.83		1009	32.53											3102	
	FIFTH				Excluded		146	48.83		153	51.17											299	
		TOTAL					1940	62.54		1162	37.46											3102	
							Elected																
																							
Edge Hill                                                      																							
	FIRST			261	7.40		1852	52.49		950	26.93		260	7.37		42	1.19		163	4.62		3528	
	SECOND			9	21.43		4	9.52		3	7.14		17	40.48			Excluded		9	21.43		42	
		TOTAL		270	7.65		1856	52.61		953	27.01		277	7.85					172	4.88		3528	
	THIRD			8	4.65		25	14.53		38	22.09		101	58.72						Excluded		172	
		TOTAL		278	7.88		1881	53.32		991	28.09		378	10.71								3528	
	FOURTH			37	9.79		84	22.22		257	67.99			Excluded								378	
		TOTAL		315	8.93		1965	55.70		1248	35.37											3528	
	FIFTH				Excluded		179	56.83		136	43.17											315	
		TOTAL					2144	60.77		1384	39.23											3528	
							Elected																
																							
Edmonton                                                       																							
	FIRST			375	10.53		1912	53.68		1074	30.15		74	2.08		15	0.42		112	3.14		3562	
	SECOND			4	26.67		6	40.00		2	13.33		2	13.33			Excluded		1	6.67		15	
		TOTAL		379	10.64		1918	53.85		1076	30.21		76	2.13					113	3.17		3562	
	THIRD			9	7.96		18	15.93		29	25.66		57	50.44						Excluded		113	
		TOTAL		388	10.89		1936	54.35		1105	31.02		133	3.73								3562	
	FOURTH			21	15.79		27	20.30		85	63.91			Excluded								133	
		TOTAL		409	11.48		1963	55.11		1190	33.41											3562	
	FIFTH				Excluded		196	47.92		213	52.08											409	
		TOTAL					2159	60.61		1403	39.39											3562	
							Elected																
																							
Freshwater                                                     																							
	FIRST			63	6.38		540	54.71		269	27.25		64	6.48		6	0.61		45	4.56		987	
	SECOND			0	0.00		4	66.67		0	0.00		1	16.67			Excluded		1	16.67		6	
		TOTAL		63	6.38		544	55.12		269	27.25		65	6.59					46	4.66		987	
	THIRD			1	2.17		3	6.52		11	23.91		31	67.39						Excluded		46	
		TOTAL		64	6.48		547	55.42		280	28.37		96	9.73								987	
	FOURTH			5	5.21		23	23.96		68	70.83			Excluded								96	
		TOTAL		69	6.99		570	57.75		348	35.26											987	
	FIFTH				Excluded		35	50.72		34	49.28											69	
		TOTAL					605	61.30		382	38.70											987	
							Elected																
																							
Hambledon                                                      																							
	FIRST			349	12.29		1392	49.03		906	31.91		75	2.64		23	0.81		94	3.31		2839	
	SECOND			9	39.13		4	17.39		3	13.04		4	17.39			Excluded		3	13.04		23	
		TOTAL		358	12.61		1396	49.17		909	32.02		79	2.78					97	3.42		2839	
	THIRD			9	9.28		13	13.40		16	16.49		59	60.82						Excluded		97	
		TOTAL		367	12.93		1409	49.63		925	32.58		138	4.86								2839	
	FOURTH			20	14.49		36	26.09		82	59.42			Excluded								138	
		TOTAL		387	13.63		1445	50.90		1007	35.47											2839	
	FIFTH				Excluded		203	52.45		184	47.55											387	
		TOTAL					1648	58.05		1191	41.95											2839	
							Elected																
																							
Holloways Beach                                                																							
	FIRST			87	8.62		469	46.48		326	32.31		57	5.65		7	0.69		63	6.24		1009	
	SECOND			4	57.14		0	0.00		0	0.00		3	42.86			Excluded		0	0.00		7	
		TOTAL		91	9.02		469	46.48		326	32.31		60	5.95					63	6.24		1009	
	THIRD			3	4.76		11	17.46		11	17.46		38	60.32						Excluded		63	
		TOTAL		94	9.32		480	47.57		337	33.40		98	9.71								1009	
	FOURTH			12	12.24		14	14.29		72	73.47			Excluded								98	
		TOTAL		106	10.51		494	48.96		409	40.54											1009	
	FIFTH				Excluded		59	55.66		47	44.34											106	
		TOTAL					553	54.81		456	45.19											1009	
							Elected																
																							
Hope Vale                                                      																							
	FIRST			8	2.65		98	32.45		189	62.58		3	0.99		0	0.00		4	1.32		302	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	2.65		98	32.45		189	62.58		3	0.99					4	1.32		302	
	THIRD			1	25.00		1	25.00		2	50.00		0	0.00						Excluded		4	
		TOTAL		9	2.98		99	32.78		191	63.25		3	0.99								302	
	FOURTH			0	0.00		1	33.33		2	66.67			Excluded								3	
		TOTAL		9	2.98		100	33.11		193	63.91											302	
	FIFTH				Excluded		4	44.44		5	55.56											9	
		TOTAL					104	34.44		198	65.56											302	
							Elected																
																							
Horn Island                                                    																							
	FIRST			8	3.96		68	33.66		118	58.42		6	2.97		0	0.00		2	0.99		202	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	3.96		68	33.66		118	58.42		6	2.97					2	0.99		202	
	THIRD			0	0.00		1	50.00		1	50.00		0	0.00						Excluded		2	
		TOTAL		8	3.96		69	34.16		119	58.91		6	2.97								202	
	FOURTH			1	16.67		4	66.67		1	16.67			Excluded								6	
		TOTAL		9	4.46		73	36.14		120	59.41											202	
	FIFTH				Excluded		2	22.22		7	77.78											9	
		TOTAL					75	37.13		127	62.87											202	
							Elected																
																							
Injinoo                                                        																							
	FIRST			15	6.79		58	26.24		136	61.54		6	2.71		1	0.45		5	2.26		221	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		15	6.79		58	26.24		136	61.54		6	2.71					6	2.71		221	
	THIRD			1	16.67		0	0.00		2	33.33		3	50.00						Excluded		6	
		TOTAL		16	7.24		58	26.24		138	62.44		9	4.07								221	
	FOURTH			2	22.22		2	22.22		5	55.56			Excluded								9	
		TOTAL		18	8.14		60	27.15		143	64.71											221	
	FIFTH				Excluded		14	77.78		4	22.22											18	
		TOTAL					74	33.48		147	66.52											221	
							Elected																
																							
Julatten                                                       																							
	FIRST			55	14.99		176	47.96		84	22.89		37	10.08		3	0.82		12	3.27		367	
	SECOND			0	0.00		1	33.33		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		55	14.99		177	48.23		85	23.16		38	10.35					12	3.27		367	
	THIRD			1	8.33		0	0.00		3	25.00		8	66.67						Excluded		12	
		TOTAL		56	15.26		177	48.23		88	23.98		46	12.53								367	
	FOURTH			3	6.52		10	21.74		33	71.74			Excluded								46	
		TOTAL		59	16.08		187	50.95		121	32.97											367	
	FIFTH				Excluded		32	54.24		27	45.76											59	
		TOTAL					219	59.67		148	40.33											367	
							Elected																
																							
Kowanyama                                                      																							
	FIRST			18	4.31		77	18.42		318	76.08		2	0.48		2	0.48		1	0.24		418	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		19	4.55		78	18.66		318	76.08		2	0.48					1	0.24		418	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		19	4.55		78	18.66		318	76.08		3	0.72								418	
	FOURTH			0	0.00		0	0.00		3	100.00			Excluded								3	
		TOTAL		19	4.55		78	18.66		321	76.79											418	
	FIFTH				Excluded		14	73.68		5	26.32											19	
		TOTAL					92	22.01		326	77.99											418	
							Elected																
																							
Kuranda                                                        																							
	FIRST			134	8.83		601	39.59		475	31.29		212	13.97		10	0.66		86	5.67		1518	
	SECOND			3	30.00		3	30.00		0	0.00		2	20.00			Excluded		2	20.00		10	
		TOTAL		137	9.03		604	39.79		475	31.29		214	14.10					88	5.80		1518	
	THIRD			3	3.41		9	10.23		20	22.73		56	63.64						Excluded		88	
		TOTAL		140	9.22		613	40.38		495	32.61		270	17.79								1518	
	FOURTH			23	8.52		28	10.37		219	81.11			Excluded								270	
		TOTAL		163	10.74		641	42.23		714	47.04											1518	
	FIFTH				Excluded		84	51.53		79	48.47											163	
		TOTAL					725	47.76		793	52.24											1518	
							Elected																
																							
Laura                                                          																							
	FIRST			2	3.13		21	32.81		39	60.94		0	0.00		1	1.56		1	1.56		64	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		2	3.13		21	32.81		39	60.94		1	1.56					1	1.56		64	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		2	3.13		21	32.81		39	60.94		2	3.13								64	
	FOURTH			0	0.00		1	50.00		1	50.00			Excluded								2	
		TOTAL		2	3.13		22	34.38		40	62.50											64	
	FIFTH				Excluded		2	100.00		0	0.00											2	
		TOTAL					24	37.50		40	62.50											64	
							Elected																
																							
Lockhart River                                                 																							
	FIRST			18	6.50		62	22.38		174	62.82		12	4.33		3	1.08		8	2.89		277	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		18	6.50		63	22.74		174	62.82		13	4.69					9	3.25		277	
	THIRD			2	22.22		1	11.11		3	33.33		3	33.33						Excluded		9	
		TOTAL		20	7.22		64	23.10		177	63.90		16	5.78								277	
	FOURTH			2	12.50		5	31.25		9	56.25			Excluded								16	
		TOTAL		22	7.94		69	24.91		186	67.15											277	
	FIFTH				Excluded		14	63.64		8	36.36											22	
		TOTAL					83	29.96		194	70.04											277	
							Elected																
																							
Machans Beach                                                  																							
	FIRST			33	6.35		150	28.85		203	39.04		109	20.96		2	0.38		23	4.42		520	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		33	6.35		150	28.85		204	39.23		109	20.96					24	4.62		520	
	THIRD			0	0.00		2	8.33		12	50.00		10	41.67						Excluded		24	
		TOTAL		33	6.35		152	29.23		216	41.54		119	22.88								520	
	FOURTH			6	5.04		6	5.04		107	89.92			Excluded								119	
		TOTAL		39	7.50		158	30.38		323	62.12											520	
	FIFTH				Excluded		21	53.85		18	46.15											39	
		TOTAL					179	34.42		341	65.58											520	
							Elected																
																							
Manunda                                                        																							
	FIRST			94	7.69		577	47.18		405	33.12		98	8.01		11	0.90		38	3.11		1223	
	SECOND			3	27.27		0	0.00		1	9.09		4	36.36			Excluded		3	27.27		11	
		TOTAL		97	7.93		577	47.18		406	33.20		102	8.34					41	3.35		1223	
	THIRD			2	4.88		6	14.63		16	39.02		17	41.46						Excluded		41	
		TOTAL		99	8.09		583	47.67		422	34.51		119	9.73								1223	
	FOURTH			12	10.08		20	16.81		87	73.11			Excluded								119	
		TOTAL		111	9.08		603	49.30		509	41.62											1223	
	FIFTH				Excluded		65	58.56		46	41.44											111	
		TOTAL					668	54.62		555	45.38											1223	
							Elected																
																							
Miallo                                                         																							
	FIRST			42	12.65		210	63.25		55	16.57		16	4.82		0	0.00		9	2.71		332	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		42	12.65		210	63.25		55	16.57		16	4.82					9	2.71		332	
	THIRD			3	33.33		1	11.11		1	11.11		4	44.44						Excluded		9	
		TOTAL		45	13.55		211	63.55		56	16.87		20	6.02								332	
	FOURTH			1	5.00		1	5.00		18	90.00			Excluded								20	
		TOTAL		46	13.86		212	63.86		74	22.29											332	
	FIFTH				Excluded		24	52.17		22	47.83											46	
		TOTAL					236	71.08		96	28.92											332	
							Elected																
																							
Mossman                                                        																							
	FIRST			189	11.06		835	48.86		579	33.88		59	3.45		7	0.41		40	2.34		1709	
	SECOND			0	0.00		1	14.29		2	28.57		0	0.00			Excluded		4	57.14		7	
		TOTAL		189	11.06		836	48.92		581	34.00		59	3.45					44	2.57		1709	
	THIRD			5	11.36		7	15.91		15	34.09		17	38.64						Excluded		44	
		TOTAL		194	11.35		843	49.33		596	34.87		76	4.45								1709	
	FOURTH			18	23.68		8	10.53		50	65.79			Excluded								76	
		TOTAL		212	12.40		851	49.80		646	37.80											1709	
	FIFTH				Excluded		120	56.60		92	43.40											212	
		TOTAL					971	56.82		738	43.18											1709	
							Elected																
																							
Mount Molloy                                                   																							
	FIRST			31	18.24		66	38.82		54	31.76		13	7.65		0	0.00		6	3.53		170	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		31	18.24		66	38.82		54	31.76		13	7.65					6	3.53		170	
	THIRD			0	0.00		0	0.00		4	66.67		2	33.33						Excluded		6	
		TOTAL		31	18.24		66	38.82		58	34.12		15	8.82								170	
	FOURTH			2	13.33		3	20.00		10	66.67			Excluded								15	
		TOTAL		33	19.41		69	40.59		68	40.00											170	
	FIFTH				Excluded		11	33.33		22	66.67											33	
		TOTAL					80	47.06		90	52.94											170	
							Elected																
																							
Napranum                                                       																							
	FIRST			16	5.35		88	29.43		186	62.21		4	1.34		3	1.00		2	0.67		299	
	SECOND			0	0.00		1	33.33		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		16	5.35		89	29.77		187	62.54		5	1.67					2	0.67		299	
	THIRD			0	0.00		1	50.00		0	0.00		1	50.00						Excluded		2	
		TOTAL		16	5.35		90	30.10		187	62.54		6	2.01								299	
	FOURTH			1	16.67		2	33.33		3	50.00			Excluded								6	
		TOTAL		17	5.69		92	30.77		190	63.55											299	
	FIFTH				Excluded		10	58.82		7	41.18											17	
		TOTAL					102	34.11		197	65.89											299	
							Elected																
																							
New Mapoon                                                     																							
	FIRST			9	4.86		73	39.46		100	54.05		1	0.54		0	0.00		2	1.08		185	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		9	4.86		73	39.46		100	54.05		1	0.54					2	1.08		185	
	THIRD			1	50.00		0	0.00		0	0.00		1	50.00						Excluded		2	
		TOTAL		10	5.41		73	39.46		100	54.05		2	1.08								185	
	FOURTH			0	0.00		1	50.00		1	50.00			Excluded								2	
		TOTAL		10	5.41		74	40.00		101	54.59											185	
	FIFTH				Excluded		5	50.00		5	50.00											10	
		TOTAL					79	42.70		106	57.30											185	
							Elected																
																							
Parramatta                                                     																							
	FIRST			247	9.08		1206	44.32		937	34.44		209	7.68		25	0.92		97	3.56		2721	
	SECOND			4	16.00		6	24.00		5	20.00		6	24.00			Excluded		4	16.00		25	
		TOTAL		251	9.22		1212	44.54		942	34.62		215	7.90					101	3.71		2721	
	THIRD			14	13.86		12	11.88		30	29.70		45	44.55						Excluded		101	
		TOTAL		265	9.74		1224	44.98		972	35.72		260	9.56								2721	
	FOURTH			34	13.08		55	21.15		171	65.77			Excluded								260	
		TOTAL		299	10.99		1279	47.00		1143	42.01											2721	
	FIFTH				Excluded		157	52.51		142	47.49											299	
		TOTAL					1436	52.77		1285	47.23											2721	
							Elected																
																							
Pormpuraaw                                                     																							
	FIRST			52	17.16		130	42.90		99	32.67		5	1.65		6	1.98		11	3.63		303	
	SECOND			0	0.00		0	0.00		3	50.00		2	33.33			Excluded		1	16.67		6	
		TOTAL		52	17.16		130	42.90		102	33.66		7	2.31					12	3.96		303	
	THIRD			1	8.33		1	8.33		5	41.67		5	41.67						Excluded		12	
		TOTAL		53	17.49		131	43.23		107	35.31		12	3.96								303	
	FOURTH			2	16.67		3	25.00		7	58.33			Excluded								12	
		TOTAL		55	18.15		134	44.22		114	37.62											303	
	FIFTH				Excluded		39	70.91		16	29.09											55	
		TOTAL					173	57.10		130	42.90											303	
							Elected																
																							
Port Douglas                                                   																							
	FIRST			115	7.14		902	56.02		393	24.41		122	7.58		13	0.81		65	4.04		1610	
	SECOND			4	30.77		3	23.08		1	7.69		4	30.77			Excluded		1	7.69		13	
		TOTAL		119	7.39		905	56.21		394	24.47		126	7.83					66	4.10		1610	
	THIRD			3	4.55		7	10.61		15	22.73		41	62.12						Excluded		66	
		TOTAL		122	7.58		912	56.65		409	25.40		167	10.37								1610	
	FOURTH			14	8.38		49	29.34		104	62.28			Excluded								167	
		TOTAL		136	8.45		961	59.69		513	31.86											1610	
	FIFTH				Excluded		70	51.47		66	48.53											136	
		TOTAL					1031	64.04		579	35.96											1610	
							Elected																
																							
Redlynch                                                       																							
	FIRST			133	9.42		822	58.22		347	24.58		62	4.39		10	0.71		38	2.69		1412	
	SECOND			2	20.00		1	10.00		3	30.00		4	40.00			Excluded		0	0.00		10	
		TOTAL		135	9.56		823	58.29		350	24.79		66	4.67					38	2.69		1412	
	THIRD			2	5.26		10	26.32		5	13.16		21	55.26						Excluded		38	
		TOTAL		137	9.70		833	58.99		355	25.14		87	6.16								1412	
	FOURTH			16	18.39		19	21.84		52	59.77			Excluded								87	
		TOTAL		153	10.84		852	60.34		407	28.82											1412	
