General Information - 2001 Election: Queensland			
Polling Places			
			
Polling Place Name	Premises	Address	Suburb
Buranda	The Rock Christian Church	44 O'Keefe St	WOOLLOONGABBA
Dorrington	Oakleigh State School	47 Buxton St	ASHGROVE
Dutton Park	St Ita's School Hall	cnr Pope & Waterview Sts	DUTTON PARK
East Brisbane	St Paul's Anglican Church Hall	554 Vulture St	EAST BRISBANE
Enoggera	St John's Anglican Church Hall	187 Wardell St	ENOGGERA
Ferny Grove (Brisbane)	Ferny Grove State Pre School	Archdale Rd	FERNY GROVE
Fortitude Valley	Fortitude Valley State School	81 Brookes St	FORTITUDE VALLEY
Gaythorne	Enoggera Early Education Centre	238 Pickering St	ENOGGERA
Grange	Wilston Scout Hall	72 Sellheim St	GRANGE
Grange West	Uniting Church Hall	26 Progress Pde	ALDERLEY
Grovely (Brisbane)	Grovely State Pre-school	193 Dawson Pde	KEPERRA
Hill End	St Francis' Church Hall	47 Dornoch Tce	WEST END
Holy Spirit	Holy Spirit Hall	36 Villiers St	NEW FARM
Ithaca Creek	Ithaca Creek State School	49 Lugg St	BARDON
Ithaca South	Boys Brigade Hall	80 Enoggera Tce	RED HILL
Kangaroo Point	Kangaroo Point College Of TAFE	417 Main St	KANGAROO POINT
Kelvin Grove	Kelvin Grove State School	57 School St	KELVIN GROVE
Keperra (Brisbane)	Baptist Church Hall	980 Samford Rd	KEPERRA
Mater Hospital	Mater Hospital	Stanley St	WOOLLOONGABBA
Merthyr	St Michael & All Angels Church Hall	16 Balfour St	NEW FARM
Milton	Milton State School	14 Bayswater St	PADDINGTON
Mitchelton (Brisbane)	Mitchelton State School	47 Glen Retreat Rd	MITCHELTON
New Farm	New Farm State School	James St	NEW FARM
Newmarket	Newmarket State School	17 Banks St	NEWMARKET
Newmarket South	Norwegian Club	23 Parker St	NEWMARKET
Oxford Park (Brisbane)	Grovely Scout Hall	170 Blaker Rd	MITCHELTON
Paddington	Brisbane West Senior Citizens Club	132 Latrobe Tce	PADDINGTON
Petrie Terrace	Petrie Terrace State School	20 Moreton St	PADDINGTON
Princess Alexandra Hospital	Princess Alexandra Hospital	Ipswich Rd	WOOLLOONGABBA
Rainworth	Rainworth State School	155 Boundary Rd	BARDON
Red Hill	Red Hill Baptist Church Hall	16 Windsor Rd	RED HILL
Royal Brisbane Hospital	Royal Brisbane Hospital	30 Bowen Bridge Rd	HERSTON
South Brisbane	Brisbane State High School	150 Vulture St	SOUTH BRISBANE
Spring Hill	Brisbane Central State School	64 St Paul's Tce	SPRING HILL
Stafford (Brisbane)	Stafford State School	314 Stafford Rd	STAFFORD
Stafford West (Brisbane)	Everton Park High School	624 Stafford Rd	EVERTON PARK
Toowong (Brisbane)	Toowong Uniting Church	80 Sherwood Rd	TOOWONG
West End	West End State School	24 Vulture St	WEST END
Wilston School	Wilston State School	11 Primrose St	GRANGE
Windsor	St George's Anglican Church Hall	12 Newmarket Rd	WINDSOR
Windsor School	Windsor State School	Harris Street	WINDSOR


Capricornia			
Allenstown	Allenstown State Preschool	Margaret St	ROCKHAMPTON
Alpha	Alpha State School	Milton St	ALPHA
Alton Downs	Alton Downs Hall	Ridgelands Rd	ALTON DOWNS
Applegarth	Talbot Estate Hall	Bedden Ave	ROCKHAMPTON
Aramac	Aramac State School	Porter St	ARAMAC
Archer Park	Rockhampton Table Tennis Centre	Campbell St	ROCKHAMPTON
Barcaldine	Barcaldine Court House	Ash St	BARCALDINE
Berserker	Berserker Street State School	Berserker St	NORTH ROCKHAMPTON
Bouldercombe	Bouldercombe State School	Burnett Hwy	BOULDERCOMBE
Brisbane City (Capricornia)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Burnett Street	St Stephen's Church Hall	Burnett St	NORTH ROCKHAMPTON
Capella	Capella State High School	Gordon St	CAPELLA
Cawarral	Cawarral State School	Annie Dr	CAWARRAL
Clermont	Clermont State High School	Kitchener St	CLERMONT
Collinsville	Collinsville State Preschool	Devlin St	COLLINSVILLE
Coppabella	Coppabella State School	Mathieson St	COPPABELLA
Crescent Lagoon	Crescent Lagoon State School	6 North St Ext	ROCKHAMPTON
Depot Hill	Depot Hill State Pre-School	O'Connell St	ROCKHAMPTON
Dysart	Dysart State School	Garnham Dr	DYSART
Emmaus College	Emmaus College	362 Yaamba Rd	NORTH ROCKHAMPTON
Emu Park	State Pre School Centre	Fountain St	EMU PARK
Farnborough	Farnborough State School	Farnborough Rd	FARNBOROUGH
Frenchville	Frenchville State School	Frenchville Rd	NORTH ROCKHAMPTON
Glenden	Glenden State School	Gillham Tce	GLENDEN
Glenmore	Glenmore High School	"Indoor Activities Centre, Farm St"	NORTH ROCKHAMPTON
Gracemere	Gracemere Community Hall	Barry St	GRACEMERE
Ilfracombe	Ilfracombe State School	Main Ave	ILFRACOMBE
Jericho	Jericho State School	Pasteur St	JERICHO
Keppel Sands	Keppel Sands State School	Keppel Sands Rd	KEPPEL SANDS
Kilcummin	Kilcummin State School	Kilcummin Rd	KILCUMMIN
Koongal	Q C W A Hall	346 Rockonia Rd	NORTH ROCKHAMPTON
Lakes Creek	Lakes Creek State School	Paterson St	NORTH ROCKHAMPTON
Longreach	Longreach Civic & Cultural Centre	Ilfracombe Road	LONGREACH
Marlborough	Marlborough State School	Magog St	MARLBOROUGH
Middlemount	Middlemount Community School	James Randall Dr	MIDDLEMOUNT
Moranbah	Moranbah State High School	Mills Ave	MORANBAH
Moranbah West	Moranbah State School	Belyando Ave	MORANBAH
Mount Archer	Mount Archer State School	Thozet Rd	NORTH ROCKHAMPTON
Muttaburra	Muttaburra State School	Sword St	MUTTABURRA
Nebo	Nebo Memorial Hall	Reynolds St	NEBO
Norman Road	Kallahra Child Care Centre	621 Norman Rd	NORTH ROCKHAMPTON
North Rockhampton	North Rockhampton High School	Performing Arts Building	NORTH ROCKHAMPTON
Park Avenue	Park Avenue State School	Main St	NORTH ROCKHAMPTON
Parkhurst	Parkhurst State School	Bruce Hwy	PARKHURST
Port Curtis	Port Curtis Rd State School	Port Curtis Rd	ROCKHAMPTON
Ridgelands	Ridgelands State School	Crowe Street	RIDGELANDS
Rockhampton	Rockhampton College Of T.A.F.E.	200 Bolsover St	ROCKHAMPTON
Rockhampton Central	The Cathedral College	189 William St	ROCKHAMPTON
Rockhampton High School	Rockhampton State High School	Campbell St	ROCKHAMPTON
Rockhampton South	St Peter's School	170 Upper Dawson Rd	ROCKHAMPTON
St Brendan's College	St Brendan's College	Adelaide Park Rd	YEPPOON
St Lawrence	Broadsound Memorial Hall	Railway Parade	ST LAWRENCE
Stanwell	Stanwell State School	Dalma-Ridgelands Rd	STANWELL
Taranganba	Taranganba State School	Taranganba Rd	TARANGANBA
The Caves	The Caves State School	Cnr Rossmoya & Barmoya Rds	THE CAVES
Tieri	Tieri State School	Bottlebrush La	TIERI
Wandal	St Joseph's School	Rundle St	ROCKHAMPTON
Westwood	Westwood State School	Herbert St	WESTWOOD
Winton	Winton Court House	59 Vindex Street	WINTON
Yaamba	S.E.S. Hall	Bruce Hwy	YAAMBA
Yeppoon	St Ursula's Cultural Centre	Queen Street	YEPPOON


Dawson			
Airlie Beach	Whitsunday Wanderers Resort	Shute Harbour Road	AIRLIE BEACH
Airville	Airville State School	Old Clare Rd	AIRVILLE
Alligator Creek	Alligator Creek State School	Grasstree Rd	ALLIGATOR CREEK
Andergrove	Andergrove State School	Banksia Ave	ANDERGROVE
Ayr	Koinonia Place Hall	124 McKenzie St	AYR
Ayr North	Endeavour Foundation Premises	10 Wilmington St	AYR
Beaconsfield	Beaconsfield State School	Nadina St	BEACONSFIELD
Bloomsbury	Bloomsbury State School	Bruce Hwy	BLOOMSBURY
Bowen	Anglican Church Hall	Gordon St	BOWEN
Bowen Hospital	Bowen Hospital	Gregory Street	BOWEN
Brandon	Brandon State School	Drysdale St	BRANDON
Brisbane City (Dawson)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Bucasia	Bucasia State School	Kemp St	BUCASIA
Calen	Calen State School	McIntyre St	CALEN
Canberra Street	St Joseph's Primary School	Canberra St	NORTH MACKAY
Cannonvale Beach	Whitsunday TAFE Clge(Cannonvale Campus)	Cannonvale Campus	CANNONVALE
Carmila	Carmila State School	Carmila West Rd	CARMILA
Chelona	Chelona State School	Bruce Hwy	CHELONA
Clare	Clare State School	Larkin St	CLARE
Coningsby	Coningsby State School	Bruce Hwy	CONINGSBY
Conway Beach	Penhallurick's Residence	Penhallurick Dr	CONWAY BEACH
Cunningham Home	AHW Cunningham Memorial Home	Tollington Rd	QUEENS BEACH
Dundula	Dundula State School	1 Main St	DUNDULA
East Ayr	Ayr East State School	43 Ross St	AYR
Eimeo	Eimeo Road State School	Eimeo Rd	EIMEO
Emmanuel	Emmanuel Catholic Primary School	Baxter Dr	MOUNT PLEASANT
Eton	Eton State School	Prospect St	ETON
Eungella	Eungella State School	Chelmer Rd	EUNGELLA
Farleigh	Farleigh State School	Chidlow St	FARLEIGH
Finch Hatton	RSL Hall	Eungella Rd	FINCH HATTON
Fitzgerald	Fitzgerald State School	Norris Rd	NORTH MACKAY
Gargett	Gargett State School	Eungella Rd	GARGETT
Giru	Giru State School	Luxton St	GIRU
Glenella	Glenella State School	Hill End Rd	GLENELLA
Goose Ponds	Mackay North State School	Harvey St	NORTH MACKAY
Gumlu	Gumlu State School	Bruce Hwy	GUMLU
Habana	Catholic Church Hall	Habana Rd	HABANA
Hampden	Hampden State School	Bruce Hwy	KUTTABUL
Homebush	Homebush State School	Homebush Rd	HOMEBUSH
Homefield	Homefield Aged Persons Home	George St	MACKAY
Home Hill	St Stephens Memorial Parish Hall	Cnr First St & Eighth Ave	HOME HILL
Inkerman	MRD Inkerman Maintenance Depot	Wallace Rd	INKERMAN
Jarvisfield	Jarvisfield State School	Rita Island Rd	JARVISFIELD
Kalamia	Kalamia State School	Kalamia Mill Est	KALAMIA
Koumala	Koumala State School	Bull St	KOUMALA
Mackay	Mackay Central State School	Alfred St	MACKAY
Mackay East	Mackay Indoor Bowling Association	Bridge Road	MACKAY
Mackay Hospital	Mackay Hospital	Bridge Rd	MACKAY
Mackay Mater Hospital	Mater Hospital	Gordon St	MACKAY
Mackay South	Mercy College	Juliet St	MACKAY
Mackay West	Mackay West Preschool	Brooks St	MACKAY
Marian	Marian State School	Anzac Ave	MARIAN
Merinda	Merinda State School	Bergl St	MERINDA
Millaroo	Millaroo State School	Cunningham St	MILLAROO
Mirani	Mirani State School	Maud St	MIRANI
Mount Julian	O'Hanlon's Residence	5 Roslyn Road	MOUNT JULIAN
Mount Ossa	Mount Ossa Hall	Bruce Hwy	MOUNT OSSA
Nebo Road	Sugar Research Institute	Nebo Rd	MACKAY
North Eton	Eton North State School	Barber Rd	NORTH ETON
North Mackay	Mackay North High School	Valley St	NORTH MACKAY
Oakenden	Oakenden State School	Homebush Rd	OAKENDEN
Osborne	Osborne State School	Kirknie Rd	OSBORNE
Parkside	Big Birds Nest Child Care Centre	26 Darwin St	AYR
Pioneer	Pioneer High School	Bedford Road	ANDERGROVE
Planlands	Mackay Kennel Club	Rainlover Street	PLANLAND
Proserpine	Proserpine Court House	Main St	PROSERPINE
Proserpine Hospital	Proserpine Hospital	26-32 Taylor Street	PROSERPINE
Queens Beach	Queens Beach State School	Tracey St	QUEENS BEACH
Racecourse	Racecourse Mill Training Room	Peak Downs Hwy	RACECOURSE
Sarina Beach	Double Brick Garage	8 Owen Jenkins Dr	SARINA BEACH
Sarina Central	St Lukes Hall	Broad St	SARINA
Sarina East	Presbyterian Church Hall	Lot 1 Beach Rd	SARINA
Sarina Range	QCWA Hall	Marlborough Rd	COLSTON PARK
Seaforth	Qld Ambulance Service Centre	Palm Ave	SEAFORTH
Shinfield	Swayneville State School	Range Rd	SHINFIELD
Slade Point	Slade Point Community Centre	Wren St	SLADE POINT
Victoria Park	Victoria Park State School	Goldsmith St	MACKAY
Walkerston	Walkerston State School	Dutton St	WALKERSTON


Dickson			
Albany Creek	Albany Creek State School	696 Albany Creek Rd	ALBANY CREEK
Albany Creek South	Albany Creek State High School	Old Northern Rd	ALBANY CREEK
Arana Hills	Church Of Christ Hall	2 Bringelly st	ARANA HILLS
Bray Park	Bray Park State School	Hopetoun St	BRAY PARK
Brisbane City (Dickson)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Closeburn	Cedar Creek Public Hall	Mt Samson Rd	CLOSEBURN
Dakabin	Dakabin State High School	Marsden Rd	DAKABIN
Dayboro	Dayboro State School	58 McKenzie St	DAYBORO
Eatons Hill	South Pine Community Church	Eatons Crossing Rd	EATONS HILL
Everton Hills	Wesleyan Methodist Church Hall	79 Queens Rd	EVERTON HILLS
Everton Park (Dickson)	St Jude's Anglican Church Hall	27 McIlwraith St (cr Buller St)	EVERTON PARK
Everton Park North (Dickson)	Everton Park State School	1 Deakin St	EVERTON PARK
Ferny Grove (Dickson)	Ferny Grove State Pre School	Archdale Rd	FERNY GROVE
Ferny Hills	Ferny Hills State School	Illuta Ave	FERNY HILLS
Ferny Hills North	Patricks Rd Pre School	Patricks Rd	FERNY HILLS
Grovely (Dickson)	Grovely State Pre-school	193 Dawson Pde	KEPERRA
Kallangur	Kallangur State School	139 School Rd	KALLANGUR
Kallangur East	Kallangur Community Centre	1480 Anzac Ave	KALLANGUR
Kallangur West	Kruger Hall	Penson Park, Ann St	KALLANGUR
Keperra (Dickson)	Baptist Church Hall	980 Samford Rd	KEPERRA
Kurwongbah	Kurwongbah State School	Eacham St	PETRIE
Lawnton	Lawnton State School	Todds Rd	LAWNTON
Mitchelton (Dickson)	Mitchelton State School	47 Glen Retreat Rd	MITCHELTON
Mount Nebo	Mount Nebo State School	Mount Nebo Rd	MOUNT NEBO
Murrumba Downs	Undurba State School	Ogg Rd	MURRUMBA DOWNS
Oxford Park (Dickson)	Grovely Scout Hall	170 Blaker Rd	MITCHELTON
Petrie	North Pine School Of Arts	Anzac Ave	PETRIE
Samford	Farmers Hall	Main St	SAMFORD
Strathpine	Pine Rivers High School	Ash Ct (Off Spitfire Ave)	STRATHPINE
Strathpine East	Strathpine Pre School Centre	Grahams Rd	STRATHPINE
Strathpine West	Strathpine West State School	Garbala Dr	STRATHPINE
Warner	Pendicup Place	365 Samsonvale Rd	WARNER


Fadden			
Alberton	St Peters Lutheran Church Hall	Alberton Rd	ALBERTON
Biggera Waters	Biggera Waters State School	Coombabah Rd	BIGGERA WATERS
Brisbane City (Fadden)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Canowindra (Fadden)	Ormeau State School	Mirambeena Dr	PIMPAMA
Capalaba School (Fadden)	Capalaba State Primary School	150 Mt Cotton Rd	CAPALABA
Carbrook	Carbrook State School	Beenleigh-Redland Bay Rd	CARBROOK
Chatswood Hills	Chatswood Hills State School	Raleigh St	SPRINGWOOD
Coochiemudlo Island	School Lodge	Elizabeth St	COOCHIEMUDLO ISLAND
Coombabah	Coombabah State School	Oxley Dr	COOMBABAH
Coombabah High	Coombabah High School	Pine Ridge Rd	COOMBABAH
Coomera (Fadden)	Coomera State School	Dreamworld Parkwy	COOMERA
Cornubia (Fadden)	Chisholm Catholic College	204 California Creek Rd	CORNUBIA
Eight Mile Plains (Fadden)	Eight Mile Plains State School	Underwood Rd	EIGHT MILE PLAINS
Helensvale	Helensvale State School	Lindfield Rd	HELENSVALE
Helensvale North (Fadden)	Helensvale State High School	Discovery Dr	HELENSVALE
Hope Island	Banksia Park Hall	Crescent Ave	HOPE ISLAND
Jacobs Well	Jacobs Well Community Centre	118 Stapylton-Jacobs Well Rd	JACOBS WELL
Kimberley Park	Kimberley Park State School	Floret St	SHAILER PARK
Lamb Island	Pioneer Hall	Lucas Dr	LAMB ISLAND
Macleay Island	Macleay Island Progress Hall	Russell Tce	MACLEAY ISLAND
Mt Cotton	Mt Cotton State School	Mt Cotton Rd	MOUNT COTTON
Paradise Lakes	Coombabah Progress Assn Hall	91 Hansford Rd	COOMBABAH
Paradise Point	Paradise Point Community Centre	Community La	PARADISE POINT
Redland Bay	Redland Bay State School	Gordon Rd	REDLAND BAY
Rochedale (Fadden)	Rochedale State School	Rochedale Rd	ROCHEDALE
Rochedale South	Rochedale South State School	Wendron St	ROCHEDALE SOUTH
Runaway Bay	Runaway Bay Community Centre	Lae Dr	RUNAWAY BAY
Russell Island	Russell Island State School	High St	RUSSELL ISLAND
Shailer Park (Fadden)	Shailer Park State High School	Leaf St	SHAILER PARK
Slacks Creek (Fadden)	Slacks Creek State School	Daisy Hill Rd	SLACKS CREEK
Springwood Central	Springwood Central State School	Dennis Rd	SPRINGWOOD
Springwood Road	Springwood Road State School	Springwood Rd	SPRINGWOOD
Victoria Point	Victoria Point State School	Colburn Ave	VICTORIA POINT
Victoria Point South	St Rita's School	39 Benfer Rd	VICTORIA POINT
Woongoolba	Woongoolba State School	Stapylton-Jacobs Well Rd	WOONGOOLBA


Fairfax			
Amamoor	Amamoor State School	Elizabeth St	AMAMOOR
Bli Bli	Bli Bli State School	School Rd	BLI BLI
Boreen Point	Boreen Point Rural Fire Brigade	cnr Teewah Rd & Boreen Pde	BOREEN POINT
Brisbane City (Fairfax)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Burnside	Burnside State School	Blaxland Rd	BURNSIDE
Chatsworth	Chatsworth State School	Bruce Hwy North	CHATSWORTH
Coolum Beach	Coolum State School	School Road	COOLUM BEACH
Coolum Beach North	Coolum State High School	Havana Rd East	PEREGIAN BEACH SOUTH
Cooran	Cooran State School	James St	COORAN
Cooroy	Noosa District High School	Tulip St	COOROY
Deep Creek	Gympie East State School	Cedar Pocket Rd	GYMPIE
Eumundi	Eumundi State School	Eumundi Noosa Rd	EUMUNDI
Federal	Federal State School	1612 Bruce Hwy	SKYRINGS CREEK
Goomboorian	Goomboorian Memorial Hall	Tin Can Bay & Ross Rds	GOOMBOORIAN
Gympie Central	Gympie Senior Citizens Hall	Mellor St	GYMPIE
Gympie East	Gympie State High School	Cootharaba Rd	GYMPIE
Gympie North	Gympie Church of Christ	10 Tucker St, Horseshoe Bend	GYMPIE
Gympie South	Gympie South State School	Exhibition Rd	GYMPIE
Gympie West	James Nash High School	Myall St	GYMPIE
Imbil	Imbil State School	Edward St	IMBIL
Jones Hill	Jones Hill State School	21 McIntosh Creek Rd	GYMPIE
Kandanga	Kandanga State School	84 Main St	KANDANGA
Kenilworth	Kenilworth State School	Elizabeth St	KENILWORTH
Kin Kin	Kin Kin State School	Main St	KIN KIN
Kureelpa	Kureelpa Public Hall	Nambour Mapleton Rd	KUREELPA
Kybong	Kybong Hall	Bruce Hwy	KYBONG
Mapleton	Mapleton State School	Flaxton Dr	MAPLETON
Monkland	Monkland State School	220 Brisbane Rd	GYMPIE
Montville	Montville State School	Main Street	MONTVILLE
Mothar Mountain	Mothar Mountain Community Hall	Old Noosa & Shadbolt Rds	MOTHAR MOUNTAIN
Mount Coolum	Mount Coolum Day Care Centre	30 Suncoast Beach Rd	MOUNT COOLUM
Mudjimba	Mudjimba Community Hall	41 Cottonwood St	MUDJIMBA
Nambour	Hungerford Hall	Nambour High School, Carroll St	NAMBOUR
Nambour Hospital	Nambour Hospital	Hospital Rd	NAMBOUR
Nambour South	Salvation Army Hall	Sydney St	NAMBOUR
Nambour West	Nambour Heights Bowls Club	54 Isabella Ave	NAMBOUR
Noosa Heads	Noosa Bicentennial Community Centre	Bicentennial Dr	SUNSHINE BEACH
Noosaville	Noosaville Baptist Church Hall	213 Weyba Rd	NOOSAVILLE
Noosaville School	Noosaville State School	Beckmans Rd	NOOSAVILLE
Noosaville West	Good Shepherd Lutheran College	115 Eumundi Rd	NOOSAVILLE
North Arm	North Arm State School	North Arm Yandina Creek Rd	NORTH ARM
North Shore	Noosa North Shore Retreat	Maximillian Rd	LAKE COOROIBAH
