House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences																													
By Polling Place																													
Ryan																													
				GILLIES			JOHNSON			LANGENAUER			STASSE			DREW			SHORT			BRAZIER			ALLEN-ANKINS				
	FIRST			103	5.34		798	41.37		187	9.69		132	6.84		10	0.52		633	32.81		32	1.66		34	1.76		1929	
	SECOND			1	2.94		10	29.41		3	8.82		5	14.71		1	2.94		8	23.53		6	17.65			Excluded		34	
		TOTAL		104	5.39		808	41.89		190	9.85		137	7.10		11	0.57		641	33.23		38	1.97					1929	
	THIRD			1	2.63		7	18.42		5	13.16		18	47.37		3	7.89		4	10.53			Excluded					38	
		TOTAL		105	5.44		815	42.25		195	10.11		155	8.04		14	0.73		645	33.44								1929	
	FOURTH			4	28.57		3	21.43		0	0.00		3	21.43			Excluded		4	28.57								14	
		TOTAL		109	5.65		818	42.41		195	10.11		158	8.19					649	33.64								1929	
	FIFTH			7	4.43		13	8.23		91	57.59			Excluded					47	29.75								158	
		TOTAL		116	6.01		831	43.08		286	14.83								696	36.08								1929	
	SIXTH				Excluded		94	81.03		15	12.93								7	6.03								116	
		TOTAL					925	47.95		301	15.60								703	36.44								1929	
	SEVENTH						89	29.57			Excluded								212	70.43								301	
		TOTAL					1014	52.57											915	47.43								1929	
							Elected																						
																													
Indooroopilly East                                             																													
	FIRST			183	8.34		1064	48.47		147	6.70		150	6.83		13	0.59		593	27.02		27	1.23		18	0.82		2195	
	SECOND			2	11.11		6	33.33		2	11.11		0	0.00		3	16.67		2	11.11		3	16.67			Excluded		18	
		TOTAL		185	8.43		1070	48.75		149	6.79		150	6.83		16	0.73		595	27.11		30	1.37					2195	
	THIRD			4	13.33		4	13.33		3	10.00		13	43.33		1	3.33		5	16.67			Excluded					30	
		TOTAL		189	8.61		1074	48.93		152	6.92		163	7.43		17	0.77		600	27.33								2195	
	FOURTH			4	23.53		9	52.94		2	11.76		1	5.88			Excluded		1	5.88								17	
		TOTAL		193	8.79		1083	49.34		154	7.02		164	7.47					601	27.38								2195	
	FIFTH			7	4.27		18	10.98		77	46.95			Excluded					62	37.80								164	
		TOTAL		200	9.11		1101	50.16		231	10.52								663	30.21								2195	
	SIXTH				Excluded		163	81.50		20	10.00								17	8.50								200	
		TOTAL					1264	57.59		251	11.44								680	30.98								2195	
	SEVENTH						82	32.67			Excluded								169	67.33								251	
		TOTAL					1346	61.32											849	38.68								2195	
							Elected																						
																													
Indooroopilly West                                             																													
	FIRST			177	6.96		1234	48.53		159	6.25		166	6.53		31	1.22		694	27.29		41	1.61		41	1.61		2543	
	SECOND			4	9.76		6	14.63		5	12.20		11	26.83		2	4.88		5	12.20		8	19.51			Excluded		41	
		TOTAL		181	7.12		1240	48.76		164	6.45		177	6.96		33	1.30		699	27.49		49	1.93					2543	
	THIRD			4	8.16		2	4.08		7	14.29		25	51.02		3	6.12		8	16.33			Excluded					49	
		TOTAL		185	7.27		1242	48.84		171	6.72		202	7.94		36	1.42		707	27.80								2543	
	FOURTH			2	5.56		15	41.67		7	19.44		5	13.89			Excluded		7	19.44								36	
		TOTAL		187	7.35		1257	49.43		178	7.00		207	8.14					714	28.08								2543	
	FIFTH			10	4.83		20	9.66		99	47.83			Excluded					78	37.68								207	
		TOTAL		197	7.75		1277	50.22		277	10.89								792	31.14								2543	
	SIXTH				Excluded		173	87.82		17	8.63								7	3.55								197	
		TOTAL					1450	57.02		294	11.56								799	31.42								2543	
	SEVENTH						95	32.31			Excluded								199	67.69								294	
		TOTAL					1545	60.76											998	39.24								2543	
							Elected																						
																													
Ironside                                                       																													
	FIRST			276	9.42		1386	47.32		232	7.92		199	6.79		21	0.72		739	25.23		46	1.57		30	1.02		2929	
	SECOND			7	23.33		4	13.33		3	10.00		7	23.33		2	6.67		4	13.33		3	10.00			Excluded		30	
		TOTAL		283	9.66		1390	47.46		235	8.02		206	7.03		23	0.79		743	25.37		49	1.67					2929	
	THIRD			2	4.08		5	10.20		5	10.20		31	63.27		2	4.08		4	8.16			Excluded					49	
		TOTAL		285	9.73		1395	47.63		240	8.19		237	8.09		25	0.85		747	25.50								2929	
	FOURTH			7	28.00		9	36.00		3	12.00		2	8.00			Excluded		4	16.00								25	
		TOTAL		292	9.97		1404	47.93		243	8.30		239	8.16					751	25.64								2929	
	FIFTH			5	2.09		17	7.11		154	64.44			Excluded					63	26.36								239	
		TOTAL		297	10.14		1421	48.51		397	13.55								814	27.79								2929	
	SIXTH				Excluded		247	83.16		29	9.76								21	7.07								297	
		TOTAL					1668	56.95		426	14.54								835	28.51								2929	
	SEVENTH						122	28.64			Excluded								304	71.36								426	
		TOTAL					1790	61.11											1139	38.89								2929	
							Elected																						
																													
Jamboree Heights                                               																													
	FIRST			158	3.25		2439	50.14		226	4.65		126	2.59		83	1.71		1733	35.63		50	1.03		49	1.01		4864	
	SECOND			10	20.41		18	36.73		10	20.41		1	2.04		2	4.08		5	10.20		3	6.12			Excluded		49	
		TOTAL		168	3.45		2457	50.51		236	4.85		127	2.61		85	1.75		1738	35.73		53	1.09					4864	
	THIRD			4	7.55		8	15.09		6	11.32		20	37.74		3	5.66		12	22.64			Excluded					53	
		TOTAL		172	3.54		2465	50.68		242	4.98		147	3.02		88	1.81		1750	35.98								4864	
	FOURTH			24	27.27		24	27.27		8	9.09		16	18.18			Excluded		16	18.18								88	
		TOTAL		196	4.03		2489	51.17		250	5.14		163	3.35					1766	36.31								4864	
	FIFTH			12	7.36		30	18.40		74	45.40			Excluded					47	28.83								163	
		TOTAL		208	4.28		2519	51.79		324	6.66								1813	37.27								4864	
	SIXTH				Excluded		167	80.29		25	12.02								16	7.69								208	
		TOTAL					2686	55.22		349	7.18								1829	37.60								4864	
	SEVENTH						131	37.54			Excluded								218	62.46								349	
		TOTAL					2817	57.92											2047	42.08								4864	
							Elected																						
																													
Jindalee                                                       																													
	FIRST			162	4.98		1689	51.97		161	4.95		121	3.72		63	1.94		993	30.55		27	0.83		34	1.05		3250	
	SECOND			3	8.82		9	26.47		3	8.82		3	8.82		2	5.88		7	20.59		7	20.59			Excluded		34	
		TOTAL		165	5.08		1698	52.25		164	5.05		124	3.82		65	2.00		1000	30.77		34	1.05					3250	
	THIRD			0	0.00		4	11.76		3	8.82		14	41.18		3	8.82		10	29.41			Excluded					34	
		TOTAL		165	5.08		1702	52.37		167	5.14		138	4.25		68	2.09		1010	31.08								3250	
	FOURTH			13	19.12		15	22.06		4	5.88		15	22.06			Excluded		21	30.88								68	
		TOTAL		178	5.48		1717	52.83		171	5.26		153	4.71					1031	31.72								3250	
	FIFTH			14	9.15		18	11.76		69	45.10			Excluded					52	33.99								153	
		TOTAL		192	5.91		1735	53.38		240	7.38								1083	33.32								3250	
	SIXTH				Excluded		160	83.33		23	11.98								9	4.69								192	
		TOTAL					1895	58.31		263	8.09								1092	33.60								3250	
	SEVENTH						94	35.74			Excluded								169	64.26								263	
		TOTAL					1989	61.20											1261	38.80								3250	
							Elected																						
																													
Jindalee South                                                 																													
	FIRST			96	5.78		926	55.72		53	3.19		38	2.29		26	1.56		488	29.36		15	0.90		20	1.20		1662	
	SECOND			2	10.00		6	30.00		3	15.00		2	10.00		0	0.00		4	20.00		3	15.00			Excluded		20	
		TOTAL		98	5.90		932	56.08		56	3.37		40	2.41		26	1.56		492	29.60		18	1.08					1662	
	THIRD			1	5.56		1	5.56		1	5.56		6	33.33		4	22.22		5	27.78			Excluded					18	
		TOTAL		99	5.96		933	56.14		57	3.43		46	2.77		30	1.81		497	29.90								1662	
	FOURTH			5	16.67		9	30.00		0	0.00		8	26.67			Excluded		8	26.67								30	
		TOTAL		104	6.26		942	56.68		57	3.43		54	3.25					505	30.39								1662	
	FIFTH			7	12.96		8	14.81		19	35.19			Excluded					20	37.04								54	
		TOTAL		111	6.68		950	57.16		76	4.57								525	31.59								1662	
	SIXTH				Excluded		87	78.38		11	9.91								13	11.71								111	
		TOTAL					1037	62.39		87	5.23								538	32.37								1662	
	SEVENTH						28	32.18			Excluded								59	67.82								87	
		TOTAL					1065	64.08											597	35.92								1662	
							Elected																						
																													
Kenmore                                                        																													
	FIRST			245	7.86		1599	51.27		159	5.10		154	4.94		32	1.03		839	26.90		47	1.51		44	1.41		3119	
	SECOND			6	13.64		15	34.09		3	6.82		8	18.18		5	11.36		6	13.64		1	2.27			Excluded		44	
		TOTAL		251	8.05		1614	51.75		162	5.19		162	5.19		37	1.19		845	27.09		48	1.54					3119	
	THIRD			0	0.00		4	8.33		8	16.67		27	56.25		2	4.17		7	14.58			Excluded					48	
		TOTAL		251	8.05		1618	51.88		170	5.45		189	6.06		39	1.25		852	27.32								3119	
	FOURTH			12	30.77		16	41.03		1	2.56		6	15.38			Excluded		4	10.26								39	
		TOTAL		263	8.43		1634	52.39		171	5.48		195	6.25					856	27.44								3119	
	FIFTH			14	7.18		21	10.77		96	49.23			Excluded					64	32.82								195	
		TOTAL		277	8.88		1655	53.06		267	8.56								920	29.50								3119	
	SIXTH				Excluded		242	87.36		19	6.86								16	5.78								277	
		TOTAL					1897	60.82		286	9.17								936	30.01								3119	
	SEVENTH						86	30.07			Excluded								200	69.93								286	
		TOTAL					1983	63.58											1136	36.42								3119	
							Elected																						
																													
Kenmore South                                                  																													
	FIRST			293	9.10		1633	50.71		179	5.56		150	4.66		29	0.90		873	27.11		31	0.96		32	0.99		3220	
	SECOND			6	18.75		12	37.50		1	3.13		2	6.25		0	0.00		9	28.13		2	6.25			Excluded		32	
		TOTAL		299	9.29		1645	51.09		180	5.59		152	4.72		29	0.90		882	27.39		33	1.02					3220	
	THIRD			0	0.00		2	6.06		4	12.12		16	48.48		4	12.12		7	21.21			Excluded					33	
		TOTAL		299	9.29		1647	51.15		184	5.71		168	5.22		33	1.02		889	27.61								3220	
	FOURTH			6	18.18		7	21.21		1	3.03		13	39.39			Excluded		6	18.18								33	
		TOTAL		305	9.47		1654	51.37		185	5.75		181	5.62					895	27.80								3220	
	FIFTH			13	7.18		25	13.81		91	50.28			Excluded					52	28.73								181	
		TOTAL		318	9.88		1679	52.14		276	8.57								947	29.41								3220	
	SIXTH				Excluded		276	86.79		18	5.66								24	7.55								318	
		TOTAL					1955	60.71		294	9.13								971	30.16								3220	
	SEVENTH						105	35.71			Excluded								189	64.29								294	
		TOTAL					2060	63.98											1160	36.02								3220	
							Elected																						
																													
Middle Park                                                    																													
	FIRST			142	3.87		1900	51.74		170	4.63		113	3.08		67	1.82		1199	32.65		51	1.39		30	0.82		3672	
	SECOND			6	20.00		10	33.33		5	16.67		2	6.67		0	0.00		5	16.67		2	6.67			Excluded		30	
		TOTAL		148	4.03		1910	52.02		175	4.77		115	3.13		67	1.82		1204	32.79		53	1.44					3672	
	THIRD			5	9.43		7	13.21		3	5.66		24	45.28		6	11.32		8	15.09			Excluded					53	
		TOTAL		153	4.17		1917	52.21		178	4.85		139	3.79		73	1.99		1212	33.01								3672	
	FOURTH			9	12.33		21	28.77		10	13.70		10	13.70			Excluded		23	31.51								73	
		TOTAL		162	4.41		1938	52.78		188	5.12		149	4.06					1235	33.63								3672	
	FIFTH			7	4.70		22	14.77		65	43.62			Excluded					55	36.91								149	
		TOTAL		169	4.60		1960	53.38		253	6.89								1290	35.13								3672	
	SIXTH				Excluded		138	81.66		15	8.88								16	9.47								169	
		TOTAL					2098	57.14		268	7.30								1306	35.57								3672	
	SEVENTH						108	40.30			Excluded								160	59.70								268	
		TOTAL					2206	60.08											1466	39.92								3672	
							Elected																						
																													
Moggill                                                        																													
	FIRST			221	6.97		1659	52.35		178	5.62		103	3.25		49	1.55		902	28.46		29	0.92		28	0.88		3169	
	SECOND			6	21.43		5	17.86		3	10.71		6	21.43		1	3.57		1	3.57		6	21.43			Excluded		28	
		TOTAL		227	7.16		1664	52.51		181	5.71		109	3.44		50	1.58		903	28.49		35	1.10					3169	
	THIRD			2	5.71		5	14.29		2	5.71		14	40.00		3	8.57		9	25.71			Excluded					35	
		TOTAL		229	7.23		1669	52.67		183	5.77		123	3.88		53	1.67		912	28.78								3169	
	FOURTH			15	28.30		10	18.87		2	3.77		14	26.42			Excluded		12	22.64								53	
		TOTAL		244	7.70		1679	52.98		185	5.84		137	4.32					924	29.16								3169	
	FIFTH			7	5.11		23	16.79		71	51.82			Excluded					36	26.28								137	
		TOTAL		251	7.92		1702	53.71		256	8.08								960	30.29								3169	
	SIXTH				Excluded		202	80.48		24	9.56								25	9.96								251	
		TOTAL					1904	60.08		280	8.84								985	31.08								3169	
	SEVENTH						107	38.21			Excluded								173	61.79								280	
		TOTAL					2011	63.46											1158	36.54								3169	
							Elected																						
																													
Oxley                                                          																													
	FIRST			81	4.16		656	33.71		97	4.98		66	3.39		86	4.42		896	46.04		32	1.64		32	1.64		1946	
	SECOND			4	12.50		6	18.75		1	3.13		7	21.88		2	6.25		6	18.75		6	18.75			Excluded		32	
		TOTAL		85	4.37		662	34.02		98	5.04		73	3.75		88	4.52		902	46.35		38	1.95					1946	
	THIRD			0	0.00		1	2.63		8	21.05		15	39.47		8	21.05		6	15.79			Excluded					38	
		TOTAL		85	4.37		663	34.07		106	5.45		88	4.52		96	4.93		908	46.66								1946	
	FOURTH			39	40.63		12	12.50		10	10.42		18	18.75			Excluded		17	17.71								96	
		TOTAL		124	6.37		675	34.69		116	5.96		106	5.45					925	47.53								1946	
	FIFTH			9	8.49		14	13.21		53	50.00			Excluded					30	28.30								106	
		TOTAL		133	6.83		689	35.41		169	8.68								955	49.08								1946	
	SIXTH				Excluded		103	77.44		18	13.53								12	9.02								133	
		TOTAL					792	40.70		187	9.61								967	49.69								1946	
	SEVENTH						61	32.62			Excluded								126	67.38								187	
		TOTAL					853	43.83											1093	56.17								1946	
							Elected																						
																													
Oxley South                                                    																													
	FIRST			33	4.40		256	34.13		28	3.73		19	2.53		35	4.67		354	47.20		11	1.47		14	1.87		750	
	SECOND			0	0.00		1	7.14		2	14.29		0	0.00		5	35.71		1	7.14		5	35.71			Excluded		14	
		TOTAL		33	4.40		257	34.27		30	4.00		19	2.53		40	5.33		355	47.33		16	2.13					750	
	THIRD			2	12.50		0	0.00		0	0.00		10	62.50		1	6.25		3	18.75			Excluded					16	
		TOTAL		35	4.67		257	34.27		30	4.00		29	3.87		41	5.47		358	47.73								750	
	FOURTH			8	19.51		14	34.15		3	7.32		6	14.63			Excluded		10	24.39								41	
		TOTAL		43	5.73		271	36.13		33	4.40		35	4.67					368	49.07								750	
	FIFTH			6	17.14		2	5.71		19	54.29			Excluded					8	22.86								35	
		TOTAL		49	6.53		273	36.40		52	6.93								376	50.13								750	
	SIXTH				Excluded		37	75.51		6	12.24								6	12.24								49	
		TOTAL					310	41.33		58	7.73								382	50.93								750	
	SEVENTH						19	32.76			Excluded								39	67.24								58	
		TOTAL					329	43.87											421	56.13								750	
							Elected																						
																													
Pinjarra Hills                                                 																													
	FIRST			34	12.01		141	49.82		11	3.89		8	2.83		3	1.06		81	28.62		1	0.35		4	1.41		283	
	SECOND			1	25.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		35	12.37		143	50.53		11	3.89		8	2.83		3	1.06		81	28.62		2	0.71					283	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded					2	
		TOTAL		35	12.37		143	50.53		11	3.89		9	3.18		4	1.41		81	28.62								283	
	FOURTH			0	0.00		0	0.00		0	0.00		2	50.00			Excluded		2	50.00								4	
		TOTAL		35	12.37		143	50.53		11	3.89		11	3.89					83	29.33								283	
	FIFTH			0	0.00		2	18.18		5	45.45			Excluded					4	36.36								11	
		TOTAL		35	12.37		145	51.24		16	5.65								87	30.74								283	
	SIXTH				Excluded		31	88.57		2	5.71								2	5.71								35	
		TOTAL					176	62.19		18	6.36								89	31.45								283	
	SEVENTH						5	27.78			Excluded								13	72.22								18	
		TOTAL					181	63.96											102	36.04								283	
							Elected																						
																													
Pullenvale                                                     																													
	FIRST			103	9.88		580	55.61		40	3.84		56	5.37		13	1.25		229	21.96		12	1.15		10	0.96		1043	
	SECOND			1	10.00		2	20.00		1	10.00		3	30.00		0	0.00		3	30.00		0	0.00			Excluded		10	
		TOTAL		104	9.97		582	55.80		41	3.93		59	5.66		13	1.25		232	22.24		12	1.15					1043	
	THIRD			2	16.67		2	16.67		1	8.33		5	41.67		1	8.33		1	8.33			Excluded					12	
		TOTAL		106	10.16		584	55.99		42	4.03		64	6.14		14	1.34		233	22.34								1043	
	FOURTH			4	28.57		7	50.00		2	14.29		0	0.00			Excluded		1	7.14								14	
		TOTAL		110	10.55		591	56.66		44	4.22		64	6.14					234	22.44								1043	
	FIFTH			6	9.38		8	12.50		29	45.31			Excluded					21	32.81								64	
		TOTAL		116	11.12		599	57.43		73	7.00								255	24.45								1043	
	SIXTH				Excluded		96	82.76		9	7.76								11	9.48								116	
		TOTAL					695	66.63		82	7.86								266	25.50								1043	
	SEVENTH						32	39.02			Excluded								50	60.98								82	
		TOTAL					727	69.70											316	30.30								1043	
							Elected																						
																													
Sinnamon Park                                                  																													
	FIRST			98	5.02		996	51.05		59	3.02		38	1.95		33	1.69		688	35.26		20	1.03		19	0.97		1951	
	SECOND			1	5.26		6	31.58		1	5.26		4	21.05		3	15.79		2	10.53		2	10.53			Excluded		19	
		TOTAL		99	5.07		1002	51.36		60	3.08		42	2.15		36	1.85		690	35.37		22	1.13					1951	
	THIRD			1	4.55		3	13.64		1	4.55		10	45.45		3	13.64		4	18.18			Excluded					22	
		TOTAL		100	5.13		1005	51.51		61	3.13		52	2.67		39	2.00		694	35.57								1951	
	FOURTH			9	23.08		16	41.03		3	7.69		6	15.38			Excluded		5	12.82								39	
		TOTAL		109	5.59		1021	52.33		64	3.28		58	2.97					699	35.83								1951	
	FIFTH			7	12.07		9	15.52		27	46.55			Excluded					15	25.86								58	
		TOTAL		116	5.95		1030	52.79		91	4.66								714	36.60								1951	
	SIXTH				Excluded		100	86.21		11	9.48								5	4.31								116	
		TOTAL					1130	57.92		102	5.23								719	36.85								1951	
	SEVENTH						36	35.29			Excluded								66	64.71								102	
		TOTAL					1166	59.76											785	40.24								1951	
							Elected																						
																													
St Lucia                                                       																													
	FIRST			177	8.28		924	43.24		196	9.17		160	7.49		25	1.17		599	28.03		32	1.50		24	1.12		2137	
