House of Representatives - 2001 Election: Queensland							
Swing to ALP							
By Division by Polling Place							
Blair							
							
Polling Place	Formal	WENDT		THOMPSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
POSTAL	3530	1381	39.12	2149	60.88	-	
PRE POLL	1850	741	40.05	1109	59.95	-	
PROVISIONAL	354	184	51.98	170	48.02	-	
Division Total	69621	28894	41.50	40727	58.50		
							
							
Bowman							
							
Polling Place	Formal	SCIACCA		LAMING		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alexandra Hills	2726	1601	58.73	1125	41.27	-1.01	
Alexandra Park	2475	1346	54.38	1129	45.62	1.71	
Amity Point	261	149	57.09	112	42.91	-5.05	
Birkdale	4046	1959	48.42	2087	51.58	-2.48
Birkdale South	3555	1866	52.49	1689	47.51	-1.33
Brisbane City (Bowman)	143	71	49.65	72	50.35	-4.67
Capalaba	2217	1242	56.02	975	43.98	-2.06
Capalaba School (Bowman)	2915	1653	56.71	1262	43.29	0.96
Cleveland	2150	928	43.16	1222	56.84	-2.01
Cleveland School	4259	1591	37.36	2668	62.64	-3.06
Coolnwynpin	2561	1253	48.93	1308	51.07	-1.23
Dunwich	531	365	68.74	166	31.26	6.15
Gumdale (Bowman)	345	151	43.77	194	56.23	-10.33
Hemmant	1006	629	62.52	377	37.48	-5.42
Hilliard	1899	854	44.97	1045	55.03	-0.14
Lake Sherrin	539	200	37.11	339	62.89	-4.90
Lindum	950	590	62.11	360	37.89	-1.72
Lota	1511	901	59.63	610	40.37	-1.33
Manly	975	462	47.38	513	52.62	-1.83
Manly School	1451	728	50.17	723	49.83	-1.81
Manly West	2129	1072	50.35	1057	49.65	-3.66
Ormiston	2657	1079	40.61	1578	59.39	0.37
Point Lookout	511	304	59.49	207	40.51	3.32
Roles Hill	1515	864	57.03	651	42.97	-3.59
Special Hospital Team 1	281	137	48.75	144	51.25	0.77
Special Hospital Team 2	212	110	51.89	102	48.11	-5.94
Tangalooma	51	23	45.10	28	54.90	-1.45
Thorneside	1333	771	57.84	562	42.16	0.56
Thornlands	3889	1744	44.84	2145	55.16	-0.10
Vienna Woods	2274	1264	55.58	1010	44.42	-1.21
Wellington Point	3479	1668	47.94	1811	52.06	-1.27
Wellington Point High	965	419	43.42	546	56.58	-4.56
Wondall Heights (Bowman)	2624	1410	53.73	1214	46.27	-1.95
Wynnum	1671	955	57.15	716	42.85	-1.32
Wynnum Central	1528	931	60.93	597	39.07	-4.85
Wynnum North	2123	1216	57.28	907	42.72	-3.75	
Wynnum North High	1229	723	58.83	506	41.17	-4.60	
Wynnum West	2828	1697	60.01	1131	39.99	-3.29	
ABSENT	3620	1843	50.91	1777	49.09	-	
POSTAL	3902	2087	53.49	1815	46.51	-	
PRE POLL	3414	1590	46.57	1824	53.43	-	
PROVISIONAL	483	296	61.28	187	38.72	-	
Division Total	79233	40742	51.42	38491	48.58	-1.87	
							
							
Brisbane							
							
Polling Place	Formal	BEVIS		MONSOUR		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alderley	1914	1051	54.91	863	45.09	-1.18	
Ashgrove	3130	1548	49.46	1582	50.54	0.17	
Ashgrove West	2148	1017	47.35	1131	52.65	1.29
Auchenflower	1620	770	47.53	850	52.47	1.84
Ballymore	545	280	51.38	265	48.62	0.50
Bardon	1316	670	50.91	646	49.09	-0.26
Brisbane City (Brisbane)	2159	1156	53.54	1003	46.46	-5.98
Buranda	598	351	58.70	247	41.30	-6.92
Dorrington	1188	591	49.75	597	50.25	-1.75
Dutton Park	1004	660	65.74	344	34.26	0.04
East Brisbane	2462	1301	52.84	1161	47.16	-4.32
Enoggera	1163	575	49.44	588	50.56	-4.62
Ferny Grove (Brisbane)	237	114	48.10	123	51.90	-2.37
Fortitude Valley	569	310	54.48	259	45.52	-2.92
Gaythorne	1219	709	58.16	510	41.84	2.67
Grange	874	469	53.66	405	46.34	1.26
Grange West	749	396	52.87	353	47.13	0.89
Grovely (Brisbane)	408	265	64.95	143	35.05	-1.79
Hill End	1512	988	65.34	524	34.66	-1.25
Holy Spirit	2112	1125	53.27	987	46.73	-3.21
Ithaca Creek	1322	716	54.16	606	45.84	-4.01
Ithaca South	1528	772	50.52	756	49.48	-1.42
Kangaroo Point	1782	738	41.41	1044	58.59	-1.48
Kelvin Grove	1176	604	51.36	572	48.64	-2.84
Keperra (Brisbane)	2280	1157	50.75	1123	49.25	-2.47
Mater Hospital	989	557	56.32	432	43.68	-6.77
Merthyr	1238	643	51.94	595	48.06	-4.66
Milton	2985	1435	48.07	1550	51.93	0.22
Mitchelton (Brisbane)	1950	1053	54.00	897	46.00	-3.12
New Farm	3190	1668	52.29	1522	47.71	-4.10
Newmarket	1919	1009	52.58	910	47.42	-1.59
Newmarket South	707	368	52.05	339	47.95	-0.67
Oxford Park (Brisbane)	609	342	56.16	267	43.84	-1.36
Paddington	1581	838	53.00	743	47.00	1.03
Petrie Terrace	877	487	55.53	390	44.47	-5.31
Princess Alexandra Hospital	345	240	69.57	105	30.43	3.99
Rainworth	1946	918	47.17	1028	52.83	3.25
Red Hill	1571	878	55.89	693	44.11	-0.89
Royal Brisbane Hospital	280	166	59.29	114	40.71	-0.77
South Brisbane	1590	1023	64.34	567	35.66	-0.65
Special Hospital Team 1	217	95	43.78	122	56.22	-0.31
Special Hospital Team 2	85	44	51.76	41	48.24	-17.06
Special Hospital Team 3	116	58	50.00	58	50.00	4.84
Special Hospital Team 4	167	83	49.70	84	50.30	-0.81
Spring Hill	1172	561	47.87	611	52.13	-4.96
Stafford (Brisbane)	463	253	54.64	210	45.36	-3.32
Stafford West (Brisbane)	302	154	50.99	148	49.01	-0.31
Toowong (Brisbane)	427	224	52.46	203	47.54	5.01
West End	2565	1916	74.70	649	25.30	0.86
Wilston School	3073	1574	51.22	1499	48.78	2.25
Windsor	1448	785	54.21	663	45.79	-1.26	
Windsor School	1393	770	55.28	623	44.72	-2.98	
ABSENT	7672	3886	50.65	3786	49.35	-	
POSTAL	4535	2478	54.64	2057	45.36	-	
PRE POLL	4524	2225	49.18	2299	50.82	-	
PROVISIONAL	777	484	62.29	293	37.71	-	
Division Total	85728	45548	53.13	40180	46.87	-1.46	
							
							
Capricornia							
							
Polling Place	Formal	LIVERMORE		LEVER		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Allenstown	2221	1284	57.81	937	42.19	2.97	
Alpha	326	120	36.81	206	63.19	1.34	
Alton Downs	476	200	42.02	276	57.98	1.75	
Applegarth	170	104	61.18	66	38.82	6.76
Aramac	246	118	47.97	128	52.03	-6.73
Archer Park	665	413	62.11	252	37.89	0.32
Barcaldine	801	522	65.17	279	34.83	-2.14
Berserker	2219	1508	67.96	711	32.04	-0.30
Bouldercombe	468	255	54.49	213	45.51	3.05
Brisbane City (Capricornia)	120	55	45.83	65	54.17	1.56
Burnett Street	606	388	64.03	218	35.97	2.79
Capella	588	186	31.63	402	68.37	-0.03
Cawarral	640	330	51.56	310	48.44	-0.32
Clermont	1326	660	49.77	666	50.23	4.39
Collinsville	1084	831	76.66	253	23.34	-3.03
Coppabella	125	89	71.20	36	28.80	-2.13
Crescent Lagoon	1121	726	64.76	395	35.24	1.97
Depot Hill	554	422	76.17	132	23.83	1.83
Dysart	1058	792	74.86	266	25.14	2.31
Emmaus College	983	578	58.80	405	41.20	-2.53
Emu Park	2018	1206	59.76	812	40.24	2.98
Farnborough	1030	533	51.75	497	48.25	8.31
Frenchville	1722	830	48.20	892	51.80	1.14
Glenden	356	229	64.33	127	35.67	-1.18
Glenmore	3248	1937	59.64	1311	40.36	-1.50
Gracemere	2568	1414	55.06	1154	44.94	0.77
Ilfracombe	115	37	32.17	78	67.83	-0.83
Jericho	110	38	34.55	72	65.45	-12.17
Keppel Sands	307	177	57.65	130	42.35	2.18
Kilcummin	71	10	14.08	61	85.92	0.08
Koongal	698	471	67.48	227	32.52	2.18
Lakes Creek	850	528	62.12	322	37.88	0.86
Longreach	1751	833	47.57	918	52.43	0.71
Marlborough	144	42	29.17	102	70.83	3.93
Middlemount	763	581	76.15	182	23.85	1.45
Moranbah	1249	1002	80.22	247	19.78	4.42
Moranbah West	1455	1010	69.42	445	30.58	0.98
Mount Archer	2095	1253	59.81	842	40.19	0.70
Muttaburra	80	40	50.00	40	50.00	8.62
Nebo	238	93	39.08	145	60.92	-3.51
Norman Road	1936	1099	56.77	837	43.23	0.74
North Rockhampton	3351	1982	59.15	1369	40.85	1.33
Park Avenue	2451	1578	64.38	873	35.62	-1.14
Parkhurst	1617	775	47.93	842	52.07	0.13
Port Curtis	221	136	61.54	85	38.46	-3.85
Ridgelands	169	39	23.08	130	76.92	-6.78
Rockhampton	648	430	66.36	218	33.64	5.30
Rockhampton Central	225	135	60.00	90	40.00	1.07
Rockhampton High School	1900	1175	61.84	725	38.16	4.08
Rockhampton South	1553	705	45.40	848	54.60	4.03
Special Hospital Team 1	181	91	50.28	90	49.72	-4.27
Special Hospital Team 2	175	100	57.14	75	42.86	0.43
Special Hospital Team 3	137	60	43.80	77	56.20	10.77
Special Hospital Team 4	39	28	71.79	11	28.21	1.58
St Brendan's College	851	433	50.88	418	49.12	6.81
St Lawrence	130	56	43.08	74	56.92	-1.78
Stanwell	237	106	44.73	131	55.27	7.28
Taranganba	2114	1081	51.14	1033	48.86	5.68
The Caves	664	250	37.65	414	62.35	-2.51
Tieri	586	452	77.13	134	22.87	-0.90
Wandal	835	427	51.14	408	48.86	6.79
Westwood	101	43	42.57	58	57.43	2.89
Winton	616	280	45.45	336	54.55	-2.69
Yaamba	141	36	25.53	105	74.47	0.69
Yeppoon	3468	1849	53.32	1619	46.68	0.52
ABSENT	4846	2757	56.89	2089	43.11	-
POSTAL	5689	2658	46.72	3031	53.28	-
PRE POLL	2666	1543	57.88	1123	42.12	-	
PROVISIONAL	513	343	66.86	170	33.14	-	
Division Total	74725	42492	56.86	32233	43.14	1.57	
							
							
Dawson							
							
Polling Place	Formal	FEENEY		KELLY		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Airlie Beach	526	183	34.79	343	65.21	-1.52	
Airville	386	84	21.76	302	78.24	-0.40	
Alligator Creek	1087	562	51.70	525	48.30	0.00	
Andergrove	2691	1303	48.42	1388	51.58	-4.90	
Ayr	2368	906	38.26	1462	61.74	-2.25	
Ayr North	276	136	49.28	140	50.72	3.69	
Beaconsfield	734	373	50.82	361	49.18	-0.68	
Bloomsbury	376	106	28.19	270	71.81	-2.78
Bowen	2252	1210	53.73	1042	46.27	0.08
Bowen Hospital	268	148	55.22	120	44.78	-4.05
Brandon	817	307	37.58	510	62.42	-1.30
Brisbane City (Dawson)	77	29	37.66	48	62.34	8.08
Bucasia	1450	686	47.31	764	52.69	-1.37
Calen	510	164	32.16	346	67.84	0.12
Canberra Street	678	355	52.36	323	47.64	-7.24
Cannonvale Beach	2581	936	36.27	1645	63.73	-0.58
Carmila	223	81	36.32	142	63.68	-1.58
Chelona	441	127	28.80	314	71.20	-1.86
Clare	269	44	16.36	225	83.64	-5.21
Coningsby	654	206	31.50	448	68.50	-0.47
Conway Beach	187	63	33.69	124	66.31	-2.31
Cunningham Home	396	174	43.94	222	56.06	-2.49
Dundula	700	361	51.57	339	48.43	-4.17
East Ayr	1755	711	40.51	1044	59.49	-1.42
Eimeo	2417	1020	42.20	1397	57.80	-3.28
Emmanuel	1535	545	35.50	990	64.50	-5.32
Eton	482	174	36.10	308	63.90	-2.95
Eungella	192	89	46.35	103	53.65	7.59
Farleigh	438	177	40.41	261	59.59	4.79
Finch Hatton	285	114	40.00	171	60.00	-0.24
Fitzgerald	2089	922	44.14	1167	55.86	-5.34
Gargett	373	61	16.35	312	83.65	-6.64
Giru	537	171	31.84	366	68.16	-2.17
Glenella	984	352	35.77	632	64.23	-4.21
Goose Ponds	1349	668	49.52	681	50.48	-8.04
Gumlu	138	50	36.23	88	63.77	-1.46
Habana	383	120	31.33	263	68.67	-3.05
Hampden	456	174	38.16	282	61.84	3.51
Home Hill	1967	700	35.59	1267	64.41	-0.64
Homebush	325	96	29.54	229	70.46	0.63
Homefield	955	419	43.87	536	56.13	-6.75
Inkerman	172	37	21.51	135	78.49	-3.25
Jarvisfield	325	59	18.15	266	81.85	-1.57
Kalamia	370	127	34.32	243	65.68	-6.71
Koumala	489	187	38.24	302	61.76	1.80
Mackay	1039	511	49.18	528	50.82	-5.45
Mackay East	484	240	49.59	244	50.41	-8.19
Mackay Hospital	502	216	43.03	286	56.97	-1.74
Mackay Mater Hospital	521	201	38.58	320	61.42	-6.63
Mackay South	2628	1301	49.51	1327	50.49	-5.64
Mackay West	2015	884	43.87	1131	56.13	-7.45
Marian	765	280	36.60	485	63.40	-8.23
Merinda	458	202	44.10	256	55.90	-4.55
Millaroo	109	11	10.09	98	89.91	-2.95
Mirani	798	291	36.47	507	63.53	0.58
Mount Julian	253	82	32.41	171	67.59	0.19
Mount Ossa	178	40	22.47	138	77.53	1.31
Nebo Road	1032	386	37.40	646	62.60	-5.41
North Eton	154	43	27.92	111	72.08	-10.01
North Mackay	759	379	49.93	380	50.07	-4.04
Oakenden	85	24	28.24	61	71.76	0.33
Osborne	212	27	12.74	185	87.26	-2.65
Parkside	495	192	38.79	303	61.21	-1.85
Pioneer	1402	638	45.51	764	54.49	-7.80
Planlands	820	331	40.37	489	59.63	-7.30
Proserpine	2151	811	37.70	1340	62.30	-1.90
Proserpine Hospital	688	249	36.19	439	63.81	2.91
Queens Beach	1049	517	49.29	532	50.71	-3.23
Racecourse	342	99	28.95	243	71.05	-8.24
Sarina Beach	370	174	47.03	196	52.97	-0.89
Sarina Central	2265	1194	52.72	1071	47.28	-5.13
Sarina East	466	257	55.15	209	44.85	-2.75	
Sarina Range	105	36	34.29	69	65.71	4.01	
Seaforth	758	290	38.26	468	61.74	-6.00	
Shinfield	245	94	38.37	151	61.63	-14.85	
Slade Point	1741	931	53.48	810	46.52	-5.32	
Special Hospital Team 1	100	37	37.00	63	63.00	-13.77	
Special Hospital Team 2	23	16	69.56	7	30.43	1.57	
Special Hospital Team 3	166	57	34.34	109	65.66	-21.91	
Victoria Park	2171	1136	52.33	1035	47.67	-3.17	
Walkerston	2036	760	37.33	1276	62.67	-5.84	
ABSENT	4058	1653	40.73	2405	59.27	-	
POSTAL	3331	1282	38.49	2049	61.51	-	
PRE POLL	3866	1565	40.48	2301	59.52	-	
PROVISIONAL	697	359	51.51	338	48.49	-	
Division Total	79300	33313	42.01	45987	57.99	-3.58	
							
							
Dickson							
							
Polling Place	Formal	KERNOT		DUTTON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Albany Creek	3949	1557	39.43	2392	60.57	-4.26	
Albany Creek South	4250	1423	33.48	2827	66.52	-3.93	
Arana Hills	1732	826	47.69	906	52.31	-5.50	
Bray Park	4214	2252	53.44	1962	46.56	-3.46	
Brisbane City (Dickson)	210	98	46.67	112	53.33	-14.42	
Closeburn	652	214	32.82	438	67.18	-4.27	
Dakabin	841	396	47.09	445	52.91	-0.21	
Dayboro	1511	555	36.73	956	63.27	-0.79	
Eatons Hill	4040	1373	33.99	2667	66.01	-5.72	
Everton Hills	2756	1146	41.58	1610	58.42	-6.19	
Everton Park (Dickson)	1011	471	46.59	540	53.41	-7.70	
Everton Park North (Dickson)	1123	491	43.72	632	56.28	-6.88
Ferny Grove (Dickson)	3510	1459	41.57	2051	58.43	-6.13
Ferny Hills	2793	1219	43.64	1574	56.36	-7.20
Ferny Hills North	3246	1398	43.07	1848	56.93	-6.68
Grovely (Dickson)	1835	862	46.98	973	53.02	-8.24
Kallangur	4433	2400	54.14	2033	45.86	-4.09
Kallangur East	1381	744	53.87	637	46.13	-4.32
Kallangur West	721	375	52.01	346	47.99	-5.05
Keperra (Dickson)	449	187	41.65	262	58.35	-6.25
Kurwongbah	2273	1063	46.77	1210	53.23	-3.91
Lawnton	2850	1542	54.11	1308	45.89	-5.65
Mitchelton (Dickson)	404	208	51.49	196	48.51	-5.40
Mount Nebo	308	182	59.09	126	40.91	-3.87
Murrumba Downs	2889	1181	40.88	1708	59.12	-6.07
Oxford Park (Dickson)	794	437	55.04	357	44.96	-4.96
Petrie	2829	1253	44.29	1576	55.71	-7.30
Samford	3556	1170	32.90	2386	67.10	-5.23	
Special Hospital Team 1	314	94	29.94	220	70.06	-28.54	
Strathpine	1951	978	50.13	973	49.87	-5.55	
Strathpine East	1241	644	51.89	597	48.11	-3.86	
Strathpine West	1894	989	52.22	905	47.78	-3.85	
Warner	2255	899	39.87	1356	60.13	-5.84	
ABSENT	4833	2197	45.46	2636	54.54	-	
POSTAL	3587	1497	41.73	2090	58.27	-	
PRE POLL	2890	1210	41.87	1680	58.13	-	
PROVISIONAL	318	165	51.89	153	48.11	-	
Division Total	79843	35155	44.03	44688	55.97	-6.09	
							
							
Fadden							
							
Polling Place	Formal	MERLEHAN		JULL		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alberton	455	172	37.80	283	62.20	2.80	
Biggera Waters	2801	1124	40.13	1677	59.87	-3.20	
Brisbane City (Fadden)	96	44	45.83	52	54.17	-5.68	
Canowindra (Fadden)	833	322	38.66	511	61.34	-1.31	
Capalaba School (Fadden)	561	219	39.04	342	60.96	-5.06	
Carbrook	825	306	37.09	519	62.91	-2.05	
Chatswood Hills	2082	819	39.34	1263	60.66	-4.68	
Coochiemudlo Island	288	143	49.65	145	50.35	-0.91	
Coombabah	2009	751	37.38	1258	62.62	-6.11	
Coombabah High	1232	576	46.75	656	53.25	-6.20	
Coomera (Fadden)	979	390	39.84	589	60.16	-1.99	
Cornubia (Fadden)	742	244	32.88	498	67.12	0.61	
Eight Mile Plains (Fadden)	1792	754	42.08	1038	57.92	-5.90	
Helensvale	2593	968	37.33	1625	62.67	-3.30	
Helensvale North (Fadden)	3111	1024	32.92	2087	67.08	-3.97	
Hope Island	1499	343	22.88	1156	77.12	-7.11
Jacobs Well	444	183	41.22	261	58.78	-6.47
Kimberley Park	1666	586	35.17	1080	64.83	-2.89
Lamb Island	185	107	57.84	78	42.16	-1.06
Macleay Island	835	451	54.01	384	45.99	-5.15
Mt Cotton	1348	503	37.31	845	62.69	-2.42
Paradise Lakes	1545	678	43.88	867	56.12	-7.80
Paradise Point	3087	988	32.01	2099	67.99	-2.19
Redland Bay	3379	1408	41.67	1971	58.33	-5.40
Rochedale (Fadden)	893	320	35.83	573	64.17	-5.42
Rochedale South	2875	1232	42.85	1643	57.15	-6.03
Runaway Bay	3992	1120	28.06	2872	71.94	-4.78
Russell Island	739	390	52.77	349	47.23	-8.71
Shailer Park (Fadden)	4147	1389	33.49	2758	66.51	-7.51
Slacks Creek (Fadden)	3718	1485	39.94	2233	60.06	-2.97
Special Hospital Team 1	147	46	31.29	101	68.71	-2.26
Special Hospital Team 2	63	28	44.44	35	55.56	26.98	
Springwood Central	2019	817	40.47	1202	59.53	-3.73	
Springwood Road	4002	1537	38.41	2465	61.59	-6.58	
Victoria Point	3775	1532	40.58	2243	59.42	-5.74	
Victoria Point South	2238	915	40.88	1323	59.12	-7.50	
Woongoolba	724	262	36.19	462	63.81	-2.95	
ABSENT	5172	2095	40.51	3077	59.49	-	
POSTAL	3898	1240	31.81	2658	68.19	-	
PRE POLL	3620	1280	35.36	2340	64.64	-	
PROVISIONAL	391	171	43.73	220	56.27	-	
Division Total	76800	28962	37.71	47838	62.29	-4.70	
							
							
Fairfax							
							
Polling Place	Formal	HENDERSON		SOMLYAY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Amamoor	414	139	33.57	275	66.43	-15.17	
Bli Bli	2747	1077	39.21	1670	60.79	-3.93	
Boreen Point	328	178	54.27	150	45.73	3.18	
Brisbane City (Fairfax)	86	24	27.91	62	72.09	-23.38	
Burnside	2077	856	41.21	1221	58.79	-6.79	
Chatsworth	475	160	33.68	315	66.32	-8.79	
Coolum Beach	3797	1863	49.07	1934	50.93	-4.11	
Coolum Beach North	443	216	48.76	227	51.24	-2.17	
Cooran	631	349	55.31	282	44.69	-6.00	
Cooroy	2853	1195	41.89	1658	58.11	-2.91	
Deep Creek	330	141	42.73	189	57.27	-9.20	
Eumundi	1827	832	45.54	995	54.46	-2.08	
Federal	254	98	38.58	156	61.42	-5.38	
Goomboorian	507	185	36.49	322	63.51	-7.46	
Gympie Central	2136	910	42.60	1226	57.40	-3.88	
Gympie East	1487	670	45.06	817	54.94	-6.82
Gympie North	1704	659	38.67	1045	61.33	-7.99
Gympie South	2129	870	40.86	1259	59.14	-4.69
Gympie West	1149	449	39.08	700	60.92	-6.13
Imbil	742	285	38.41	457	61.59	-9.87
Jones Hill	985	299	30.36	686	69.64	-6.86
Kandanga	402	150	37.31	252	62.69	-7.00
Kenilworth	580	239	41.21	341	58.79	-4.77
Kin Kin	307	153	49.84	154	50.16	-2.99
Kureelpa	619	215	34.73	404	65.27	-4.25
Kybong	381	121	31.76	260	68.24	-12.39
Mapleton	1079	469	43.47	610	56.53	-0.12
Monkland	616	246	39.94	370	60.06	-2.66
Montville	584	211	36.13	373	63.87	-1.01
Mothar Mountain	234	94	40.17	140	59.83	-7.38
Mount Coolum	1693	777	45.89	916	54.11	-7.57
Mudjimba	1043	505	48.42	538	51.58	-6.79
Nambour	2306	1024	44.41	1282	55.59	-3.22
Nambour Hospital	1026	419	40.84	607	59.16	-6.32
Nambour South	912	379	41.56	533	58.44	-7.83
Nambour West	682	263	38.56	419	61.44	-8.92
Noosa Heads	3514	1430	40.69	2084	59.31	-3.12
Noosaville	3173	1021	32.18	2152	67.82	-2.67
Noosaville School	1617	554	34.26	1063	65.74	-3.36
Noosaville West	1506	494	32.80	1012	67.20	-10.11
North Arm	219	96	43.84	123	56.16	-3.48
North Shore	48	7	14.58	41	85.42	-33.14
Pacific Paradise	1844	851	46.15	993	53.85	-9.57
Peregian Beach	1789	812	45.39	977	54.61	-1.96
Pie Creek	415	158	38.07	257	61.93	-0.48
Pomona	1426	678	47.55	748	52.45	-4.98
Special Hospital Team 1	252	62	24.60	190	75.40	-2.79
Special Hospital Team 2	138	48	34.78	90	65.22	-6.11	
Special Hospital Team 3	129	46	35.66	83	64.34	5.73	
Tewantin	4239	1798	42.42	2441	57.58	-2.30	
Tinbeerwah	699	235	33.62	464	66.38	-10.43	
Veteran	315	113	35.87	202	64.13	-9.91	
Wolvi	265	115	43.40	150	56.60	-1.44	
Yandina	2544	1098	43.16	1446	56.84	-5.94	
ABSENT	4379	1791	40.90	2588	59.10	-	
POSTAL	3673	1160	31.58	2513	68.42	-	
PRE POLL	3894	1528	39.24	2366	60.76	-	
PROVISIONAL	587	280	47.70	307	52.30	-	
Division Total	76230	31095	40.79	45135	59.21	-4.85	
							
							
Fisher							
							
Polling Place	Formal	O'DONNELL		SLIPPER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alexandra Headland	598	213	35.62	385	64.38	-0.57	
Aroona	1347	520	38.60	827	61.40	-1.06	
Arthur Street	411	171	41.61	240	58.39	-1.08	
Brisbane City (Fisher)	100	34	34.00	66	66.00	-1.78	
Buddina	3961	1649	41.63	2312	58.37	0.18	
Buderim	4285	1408	32.86	2877	67.14	3.16	
Buderim Central	679	195	28.72	484	71.28	-0.93	
Buderim Garden Village	1246	382	30.66	864	69.34	-1.76	
Buderim Immanuel Lutheran Colleg	330	104	31.52	226	68.48	7.50	
Buderim North	1386	475	34.27	911	65.73	-3.88	
Buderim Pines	1430	443	30.98	987	69.02	-2.78	
Buderim South	903	231	25.58	672	74.42	-1.21	
Caloundra	3166	1355	42.80	1811	57.20	0.02	
Caloundra West	630	294	46.67	336	53.33	5.44	
Cotton Tree	1698	713	41.99	985	58.01	-3.32
Currimundi	3381	1523	45.05	1858	54.95	-1.59
Currimundi West	2366	976	41.25	1390	58.75	-1.44
Diddillibah	761	280	36.79	481	63.21	-3.79
Eudlo	714	361	50.56	353	49.44	4.83
Forest Glen	824	265	32.16	559	67.84	-1.10
Glenview	705	224	31.77	481	68.23	-0.93
Golden Beach	3560	1454	40.84	2106	59.16	-1.29
Kawana Waters	2781	1164	41.86	1617	58.14	-4.82
