House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Hinkler																							
					BATES			MELVILLE			WHITE			DORRON			NEVILLE			JANKE			
Avondale                                                       																							
	FIRST			7	2.92		26	10.83		1	0.42		62	25.83		125	52.08		19	7.92		240	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		7	2.92		27	11.25					62	25.83		125	52.08		19	7.92		240	
	THIRD				Excluded		3	42.86					3	42.86		0	0.00		1	14.29		7	
		TOTAL					30	12.50					65	27.08		125	52.08		20	8.33		240	
	FOURTH						10	50.00					3	15.00		7	35.00			Excluded		20	
		TOTAL					40	16.67					68	28.33		132	55.00					240	
	FIFTH							Excluded					23	57.50		17	42.50					40	
		TOTAL											91	37.92		149	62.08					240	
																Elected							
																							
Bajool                                                         																							
	FIRST			1	0.43		13	5.58		1	0.43		82	35.19		95	40.77		41	17.60		233	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		1	0.43		14	6.01					82	35.19		95	40.77		41	17.60		233	
	THIRD				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL					15	6.44					82	35.19		95	40.77		41	17.60		233	
	FOURTH						22	53.66					6	14.63		13	31.71			Excluded		41	
		TOTAL					37	15.88					88	37.77		108	46.35					233	
	FIFTH							Excluded					23	62.16		14	37.84					37	
		TOTAL											111	47.64		122	52.36					233	
																Elected							
																							
Baree                                                          																							
	FIRST			9	2.40		13	3.47		5	1.33		218	58.13		101	26.93		29	7.73		375	
	SECOND			0	0.00		0	0.00			Excluded		2	40.00		2	40.00		1	20.00		5	
		TOTAL		9	2.40		13	3.47					220	58.67		103	27.47		30	8.00		375	
	THIRD				Excluded		9	100.00					0	0.00		0	0.00		0	0.00		9	
		TOTAL					22	5.87					220	58.67		103	27.47		30	8.00		375	
	FOURTH						13	43.33					8	26.67		9	30.00			Excluded		30	
		TOTAL					35	9.33					228	60.80		112	29.87					375	
	FIFTH							Excluded					26	74.29		9	25.71					35	
		TOTAL											254	67.73		121	32.27					375	
																Elected							
																							
Bargara                                                        																							
	FIRST			68	2.38		239	8.38		44	1.54		905	31.72		1369	47.98		228	7.99		2853	
	SECOND			15	34.09		9	20.45			Excluded		10	22.73		7	15.91		3	6.82		44	
		TOTAL		83	2.91		248	8.69					915	32.07		1376	48.23		231	8.10		2853	
	THIRD				Excluded		35	42.17					40	48.19		5	6.02		3	3.61		83	
		TOTAL					283	9.92					955	33.47		1381	48.41		234	8.20		2853	
	FOURTH						100	42.74					48	20.51		86	36.75			Excluded		234	
		TOTAL					383	13.42					1003	35.16		1467	51.42					2853	
	FIFTH							Excluded					165	43.08		218	56.92					383	
		TOTAL											1168	40.94		1685	59.06					2853	
																Elected							
																							
Benaraby                                                       																							
	FIRST			12	2.45		51	10.41		5	1.02		166	33.88		209	42.65		47	9.59		490	
	SECOND			1	20.00		2	40.00			Excluded		2	40.00		0	0.00		0	0.00		5	
		TOTAL		13	2.65		53	10.82					168	34.29		209	42.65		47	9.59		490	
	THIRD				Excluded		7	53.85					4	30.77		1	7.69		1	7.69		13	
		TOTAL					60	12.24					172	35.10		210	42.86		48	9.80		490	
	FOURTH						31	64.58					11	22.92		6	12.50			Excluded		48	
		TOTAL					91	18.57					183	37.35		216	44.08					490	
	FIFTH							Excluded					56	61.54		35	38.46					91	
		TOTAL											239	48.78		251	51.22					490	
																Elected							
																							
Booyal                                                         																							
	FIRST			1	0.95		12	11.43		1	0.95		30	28.57		54	51.43		7	6.67		105	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	1.90		12	11.43					30	28.57		54	51.43		7	6.67		105	
	THIRD				Excluded		1	50.00					0	0.00		0	0.00		1	50.00		2	
		TOTAL					13	12.38					30	28.57		54	51.43		8	7.62		105	
	FOURTH						2	25.00					3	37.50		3	37.50			Excluded		8	
		TOTAL					15	14.29					33	31.43		57	54.29					105	
	FIFTH							Excluded					10	66.67		5	33.33					15	
		TOTAL											43	40.95		62	59.05					105	
																Elected							
																							
Bororen                                                        																							
	FIRST			2	0.68		17	5.76		3	1.02		81	27.46		137	46.44		55	18.64		295	
	SECOND			1	33.33		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		3	1.02		17	5.76					82	27.80		138	46.78		55	18.64		295	
	THIRD				Excluded		2	66.67					1	33.33		0	0.00		0	0.00		3	
		TOTAL					19	6.44					83	28.14		138	46.78		55	18.64		295	
	FOURTH						30	54.55					8	14.55		17	30.91			Excluded		55	
		TOTAL					49	16.61					91	30.85		155	52.54					295	
	FIFTH							Excluded					27	55.10		22	44.90					49	
		TOTAL											118	40.00		177	60.00					295	
																Elected							
																							
Boyne Island                                                   																							
	FIRST			83	3.76		160	7.24		58	2.62		879	39.77		887	40.14		143	6.47		2210	
	SECOND			16	27.59		12	20.69			Excluded		20	34.48		8	13.79		2	3.45		58	
		TOTAL		99	4.48		172	7.78					899	40.68		895	40.50		145	6.56		2210	
	THIRD				Excluded		41	41.41					39	39.39		11	11.11		8	8.08		99	
		TOTAL					213	9.64					938	42.44		906	41.00		153	6.92		2210	
	FOURTH						77	50.33					33	21.57		43	28.10			Excluded		153	
		TOTAL					290	13.12					971	43.94		949	42.94					2210	
	FIFTH							Excluded					166	57.24		124	42.76					290	
		TOTAL											1137	51.45		1073	48.55					2210	
																Elected							
																							
Branyan                                                        																							
	FIRST			15	2.18		75	10.89		11	1.60		220	31.93		312	45.28		56	8.13		689	
	SECOND			1	9.09		3	27.27			Excluded		6	54.55		1	9.09		0	0.00		11	
		TOTAL		16	2.32		78	11.32					226	32.80		313	45.43		56	8.13		689	
	THIRD				Excluded		4	25.00					4	25.00		5	31.25		3	18.75		16	
		TOTAL					82	11.90					230	33.38		318	46.15		59	8.56		689	
	FOURTH						18	30.51					13	22.03		28	47.46			Excluded		59	
		TOTAL					100	14.51					243	35.27		346	50.22					689	
	FIFTH							Excluded					43	43.00		57	57.00					100	
		TOTAL											286	41.51		403	58.49					689	
																Elected							
																							
Brisbane City (Hinkler)                                        																							
	FIRST			4	4.60		6	6.90		4	4.60		26	29.89		45	51.72		2	2.30		87	
	SECOND			2	50.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		4	
		TOTAL		6	6.90		8	9.20					26	29.89		45	51.72		2	2.30		87	
	THIRD				Excluded		2	33.33					3	50.00		1	16.67		0	0.00		6	
		TOTAL					10	11.49					29	33.33		46	52.87		2	2.30		87	
	FOURTH						1	50.00					0	0.00		1	50.00			Excluded		2	
		TOTAL					11	12.64					29	33.33		47	54.02					87	
	FIFTH							Excluded					7	63.64		4	36.36					11	
		TOTAL											36	41.38		51	58.62					87	
																Elected							
																							
Bundaberg                                                      																							
	FIRST			37	2.33		169	10.65		32	2.02		589	37.11		651	41.02		109	6.87		1587	
	SECOND			8	25.00		5	15.63			Excluded		11	34.38		7	21.88		1	3.13		32	
		TOTAL		45	2.84		174	10.96					600	37.81		658	41.46		110	6.93		1587	
	THIRD				Excluded		24	53.33					12	26.67		6	13.33		3	6.67		45	
		TOTAL					198	12.48					612	38.56		664	41.84		113	7.12		1587	
	FOURTH						53	46.90					29	25.66		31	27.43			Excluded		113	
		TOTAL					251	15.82					641	40.39		695	43.79					1587	
	FIFTH							Excluded					144	57.37		107	42.63					251	
		TOTAL											785	49.46		802	50.54					1587	
																Elected							
																							
Bundaberg Central                                              																							
	FIRST			16	2.48		73	11.30		7	1.08		273	42.26		222	34.37		55	8.51		646	
	SECOND			1	14.29		3	42.86			Excluded		2	28.57		0	0.00		1	14.29		7	
		TOTAL		17	2.63		76	11.76					275	42.57		222	34.37		56	8.67		646	
	THIRD				Excluded		12	70.59					4	23.53		0	0.00		1	5.88		17	
		TOTAL					88	13.62					279	43.19		222	34.37		57	8.82		646	
	FOURTH						27	47.37					17	29.82		13	22.81			Excluded		57	
		TOTAL					115	17.80					296	45.82		235	36.38					646	
	FIFTH							Excluded					53	46.09		62	53.91					115	
		TOTAL											349	54.02		297	45.98					646	
																Elected							
																							
Bundaberg East                                                 																							
	FIRST			41	2.20		243	13.05		32	1.72		644	34.59		761	40.87		141	7.57		1862	
	SECOND			13	40.63		8	25.00			Excluded		8	25.00		1	3.13		2	6.25		32	
		TOTAL		54	2.90		251	13.48					652	35.02		762	40.92		143	7.68		1862	
	THIRD				Excluded		21	38.89					20	37.04		4	7.41		9	16.67		54	
		TOTAL					272	14.61					672	36.09		766	41.14		152	8.16		1862	
	FOURTH						76	50.00					29	19.08		47	30.92			Excluded		152	
		TOTAL					348	18.69					701	37.65		813	43.66					1862	
	FIFTH							Excluded					177	50.86		171	49.14					348	
		TOTAL											878	47.15		984	52.85					1862	
																Elected							
																							
Bundaberg North                                                																							
	FIRST			32	2.41		194	14.63		26	1.96		523	39.44		430	32.43		121	9.13		1326	
	SECOND			13	50.00		7	26.92			Excluded		3	11.54		2	7.69		1	3.85		26	
		TOTAL		45	3.39		201	15.16					526	39.67		432	32.58		122	9.20		1326	
	THIRD				Excluded		24	53.33					15	33.33		5	11.11		1	2.22		45	
		TOTAL					225	16.97					541	40.80		437	32.96		123	9.28		1326	
	FOURTH						78	63.41					24	19.51		21	17.07			Excluded		123	
		TOTAL					303	22.85					565	42.61		458	34.54					1326	
	FIFTH							Excluded					173	57.10		130	42.90					303	
		TOTAL											738	55.66		588	44.34					1326	
																Elected							
																							
Bundaberg North West                                           																							
	FIRST			16	1.17		163	11.95		24	1.76		546	40.03		466	34.16		149	10.92		1364	
	SECOND			9	37.50		5	20.83			Excluded		6	25.00		3	12.50		1	4.17		24	
		TOTAL		25	1.83		168	12.32					552	40.47		469	34.38		150	11.00		1364	
	THIRD				Excluded		13	52.00					8	32.00		1	4.00		3	12.00		25	
		TOTAL					181	13.27					560	41.06		470	34.46		153	11.22		1364	
	FOURTH						89	58.17					30	19.61		34	22.22			Excluded		153	
		TOTAL					270	19.79					590	43.26		504	36.95					1364	
	FIFTH							Excluded					146	54.07		124	45.93					270	
		TOTAL											736	53.96		628	46.04					1364	
																Elected							
																							
Bundaberg South                                                																							
	FIRST			62	2.74		254	11.23		46	2.03		860	38.02		834	36.87		206	9.11		2262	
	SECOND			9	19.57		11	23.91			Excluded		14	30.43		8	17.39		4	8.70		46	
		TOTAL		71	3.14		265	11.72					874	38.64		842	37.22		210	9.28		2262	
	THIRD				Excluded		31	43.66					23	32.39		11	15.49		6	8.45		71	
		TOTAL					296	13.09					897	39.66		853	37.71		216	9.55		2262	
	FOURTH						126	58.33					38	17.59		52	24.07			Excluded		216	
		TOTAL					422	18.66					935	41.34		905	40.01					2262	
	FIFTH							Excluded					238	56.40		184	43.60					422	
		TOTAL											1173	51.86		1089	48.14					2262	
																Elected							
																							
Bundaberg West                                                 																							
	FIRST			46	2.27		230	11.34		28	1.38		812	40.02		771	38.00		142	7.00		2029	
	SECOND			7	25.00		6	21.43			Excluded		11	39.29		3	10.71		1	3.57		28	
		TOTAL		53	2.61		236	11.63					823	40.56		774	38.15		143	7.05		2029	
	THIRD				Excluded		24	45.28					19	35.85		8	15.09		2	3.77		53	
		TOTAL					260	12.81					842	41.50		782	38.54		145	7.15		2029	
	FOURTH						80	55.17					22	15.17		43	29.66			Excluded		145	
		TOTAL					340	16.76					864	42.58		825	40.66					2029	
	FIFTH							Excluded					173	50.88		167	49.12					340	
		TOTAL											1037	51.11		992	48.89					2029	
																Elected							
																							
Burnett Heads                                                  																							
	FIRST			41	3.50		101	8.61		24	2.05		489	41.69		383	32.65		135	11.51		1173	
	SECOND			7	29.17		5	20.83			Excluded		7	29.17		3	12.50		2	8.33		24	
		TOTAL		48	4.09		106	9.04					496	42.28		386	32.91		137	11.68		1173	
	THIRD				Excluded		20	41.67					21	43.75		4	8.33		3	6.25		48	
		TOTAL					126	10.74					517	44.08		390	33.25		140	11.94		1173	
	FOURTH						84	60.00					24	17.14		32	22.86			Excluded		140	
		TOTAL					210	17.90					541	46.12		422	35.98					1173	
	FIFTH							Excluded					134	63.81		76	36.19					210	
		TOTAL											675	57.54		498	42.46					1173	
																Elected							
																							
Calliope                                                       																							
	FIRST			37	2.54		128	8.79		26	1.79		527	36.20		567	38.94		171	11.74		1456	
	SECOND			3	11.54		8	30.77			Excluded		9	34.62		3	11.54		3	11.54		26	
		TOTAL		40	2.75		136	9.34					536	36.81		570	39.15		174	11.95		1456	
	THIRD				Excluded		25	62.50					9	22.50		3	7.50		3	7.50		40	
		TOTAL					161	11.06					545	37.43		573	39.35		177	12.16		1456	
	FOURTH						101	57.06					30	16.95		46	25.99			Excluded		177	
		TOTAL					262	17.99					575	39.49		619	42.51					1456	
	FIFTH							Excluded					138	52.67		124	47.33					262	
		TOTAL											713	48.97		743	51.03					1456	
																Elected							
																							
Childers                                                       																							
	FIRST			33	2.13		102	6.59		28	1.81		559	36.11		660	42.64		166	10.72		1548	
	SECOND			8	28.57		3	10.71			Excluded		16	57.14		0	0.00		1	3.57		28	
		TOTAL		41	2.65		105	6.78					575	37.14		660	42.64		167	10.79		1548	
	THIRD				Excluded		20	48.78					13	31.71		5	12.20		3	7.32		41	
		TOTAL					125	8.07					588	37.98		665	42.96		170	10.98		1548	
	FOURTH						101	59.41					26	15.29		43	25.29			Excluded		170	
		TOTAL					226	14.60					614	39.66		708	45.74					1548	
	FIFTH							Excluded					127	56.19		99	43.81					226	
		TOTAL											741	47.87		807	52.13					1548	
																Elected							
																							
Clinton                                                        																							
	FIRST			53	2.76		178	9.28		40	2.08		966	50.34		527	27.46		155	8.08		1919	
	SECOND			11	27.50		13	32.50			Excluded		10	25.00		4	10.00		2	5.00		40	
		TOTAL		64	3.34		191	9.95					976	50.86		531	27.67		157	8.18		1919	
	THIRD				Excluded		32	50.00					21	32.81		6	9.38		5	7.81		64	
		TOTAL					223	11.62					997	51.95		537	27.98		162	8.44		1919	
	FOURTH						92	56.79					39	24.07		31	19.14			Excluded		162	
		TOTAL					315	16.41					1036	53.99		568	29.60					1919	
	FIFTH							Excluded					187	59.37		128	40.63					315	
		TOTAL											1223	63.73		696	36.27					1919	
																Elected							
																							
Clinton St John's                                              																							
	FIRST			65	3.60		136	7.53		37	2.05		773	42.78		695	38.46		101	5.59		1807	
	SECOND			12	32.43		7	18.92			Excluded		13	35.14		2	5.41		3	8.11		37	
		TOTAL		77	4.26		143	7.91					786	43.50		697	38.57		104	5.76		1807	
	THIRD				Excluded		41	53.25					23	29.87		8	10.39		5	6.49		77	
		TOTAL					184	10.18					809	44.77		705	39.01		109	6.03		1807	
	FOURTH						54	49.54					27	24.77		28	25.69			Excluded		109	
		TOTAL					238	13.17					836	46.26		733	40.56					1807	
	FIFTH							Excluded					122	51.26		116	48.74					238	
		TOTAL											958	53.02		849	46.98					1807	
																Elected							
																							
Cordalba                                                       																							
	FIRST			8	2.31		32	9.25		10	2.89		96	27.75		160	46.24		40	11.56		346	
	SECOND			2	20.00		2	20.00			Excluded		5	50.00		1	10.00		0	0.00		10	
		TOTAL		10	2.89		34	9.83					101	29.19		161	46.53		40	11.56		346	
	THIRD				Excluded		6	60.00					1	10.00		2	20.00		1	10.00		10	
		TOTAL					40	11.56					102	29.48		163	47.11		41	11.85		346	
	FOURTH						15	36.59					13	31.71		13	31.71			Excluded		41	
		TOTAL					55	15.90					115	33.24		176	50.87					346	
	FIFTH							Excluded					22	40.00		33	60.00					55	
		TOTAL											137	39.60		209	60.40					346	
																Elected							
																							
Elliott Heads                                                  																							
	FIRST			18	2.77		50	7.70		5	0.77		217	33.44		295	45.45		64	9.86		649	
	SECOND			1	20.00		1	20.00			Excluded		2	40.00		1	20.00		0	0.00		5	
		TOTAL		19	2.93		51	7.86					219	33.74		296	45.61		64	9.86		649	
	THIRD				Excluded		7	36.84					10	52.63		2	10.53		0	0.00		19	
		TOTAL					58	8.94					229	35.29		298	45.92		64	9.86		649	
	FOURTH						28	43.75					13	20.31		23	35.94			Excluded		64	
		TOTAL					86	13.25					242	37.29		321	49.46					649	
	FIFTH							Excluded					50	58.14		36	41.86					86	
		TOTAL											292	44.99		357	55.01					649	
																Elected							
																							
Givelda                                                        																							
	FIRST			3	1.79		42	25.00		3	1.79		46	27.38		52	30.95		22	13.10		168	
	SECOND			0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		3	1.79		44	26.19					47	27.98		52	30.95		22	13.10		168	
	THIRD				Excluded		1	33.33					2	66.67		0	0.00		0	0.00		3	
		TOTAL					45	26.79					49	29.17		52	30.95		22	13.10		168	
	FOURTH						14	63.64					4	18.18		4	18.18			Excluded		22	
		TOTAL					59	35.12					53	31.55		56	33.33					168	
	FIFTH							Excluded					23	38.98		36	61.02					59	
		TOTAL											76	45.24		92	54.76					168	
																Elected							
																							
Gladstone                                                      																							
	FIRST			57	4.05		92	6.54		30	2.13		600	42.67		527	37.48		100	7.11		1406	
	SECOND			8	26.67		11	36.67			Excluded		7	23.33		3	10.00		1	3.33		30	
		TOTAL		65	4.62		103	7.33					607	43.17		530	37.70		101	7.18		1406	
	THIRD				Excluded		33	50.77					24	36.92		5	7.69		3	4.62		65	
		TOTAL					136	9.67					631	44.88		535	38.05		104	7.40		1406	
	FOURTH						57	54.81					24	23.08		23	22.12			Excluded		104	
		TOTAL					193	13.73					655	46.59		558	39.69					1406	
	FIFTH							Excluded					105	54.40		88	45.60					193	
		TOTAL											760	54.05		646	45.95					1406	
																Elected							
																							
Gladstone South                                                																							
	FIRST			63	3.07		160	7.80		30	1.46		1077	52.51		556	27.11		165	8.04		2051	
	SECOND			5	16.67		7	23.33			Excluded		13	43.33		3	10.00		2	6.67		30	
		TOTAL		68	3.32		167	8.14					1090	53.14		559	27.25		167	8.14		2051	
	THIRD				Excluded		33	48.53					21	30.88		3	4.41		11	16.18		68	
		TOTAL					200	9.75					1111	54.17		562	27.40		178	8.68		2051	
	FOURTH						95	53.37					38	21.35		45	25.28			Excluded		178	
		TOTAL					295	14.38					1149	56.02		607	29.60					2051	
	FIFTH							Excluded					169	57.29		126	42.71					295	
		TOTAL											1318	64.26		733	35.74					2051	
																Elected							
																							
Gladstone Valley                                               																							
	FIRST			34	3.67		58	6.26		16	1.73		465	50.16		285	30.74		69	7.44		927	
	SECOND			8	50.00		2	12.50			Excluded		5	31.25		0	0.00		1	6.25		16	
		TOTAL		42	4.53		60	6.47					470	50.70		285	30.74		70	7.55		927	
	THIRD				Excluded		16	38.10					17	40.48		5	11.90		4	9.52		42	
		TOTAL					76	8.20					487	52.54		290	31.28		74	7.98		927	
	FOURTH						46	62.16					15	20.27		13	17.57			Excluded		74	
		TOTAL					122	13.16					502	54.15		303	32.69					927	
	FIFTH							Excluded					76	62.30		46	37.70					122	
		TOTAL											578	62.35		349	37.65					927	
																Elected							
																							
Gladstone West                                                 																							
	FIRST			51	3.10		123	7.47		56	3.40		772	46.87		523	31.75		122	7.41		1647	
	SECOND			9	16.07		15	26.79			Excluded		20	35.71		6	10.71		6	10.71		56	
		TOTAL		60	3.64		138	8.38					792	48.09		529	32.12		128	7.77		1647	
	THIRD				Excluded		32	53.33					18	30.00		6	10.00		4	6.67		60	
		TOTAL					170	10.32					810	49.18		535	32.48		132	8.01		1647	
	FOURTH						67	50.76					37	28.03		28	21.21			Excluded		132	
		TOTAL					237	14.39					847	51.43		563	34.18					1647	
	FIFTH							Excluded					127	53.59		110	46.41					237	
		TOTAL											974	59.14		673	40.86					1647	
																Elected							
																							
Gooburrum                                                      																							
	FIRST			5	0.87		79	13.74		13	2.26		134	23.30		310	53.91		34	5.91		575	
	SECOND			2	15.38		3	23.08			Excluded		4	30.77		4	30.77		0	0.00		13	
		TOTAL		7	1.22		82	14.26					138	24.00		314	54.61		34	5.91		575	
	THIRD				Excluded		3	42.86					3	42.86		0	0.00		1	14.29		7	
		TOTAL					85	14.78					141	24.52		314	54.61		35	6.09		575	
	FOURTH						20	57.14					3	8.57		12	34.29			Excluded		35	
		TOTAL					105	18.26					144	25.04		326	56.70					575	
	FIFTH							Excluded					34	32.38		71	67.62					105	
		TOTAL											178	30.96		397	69.04					575	
																Elected							
																							
Goodwood                                                       																							
	FIRST			4	2.45		14	8.59		2	1.23		70	42.94		64	39.26		9	5.52		163	
	SECOND			0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		4	2.45		14	8.59					71	43.56		65	39.88		9	5.52		163	
	THIRD				Excluded		1	25.00					2	50.00		1	25.00		0	0.00		4	
		TOTAL					15	9.20					73	44.79		66	40.49		9	5.52		163	
	FOURTH						6	66.67					2	22.22		1	11.11			Excluded		9	
		TOTAL					21	12.88					75	46.01		67	41.10					163	
	FIFTH							Excluded					9	42.86		12	57.14					21	
		TOTAL											84	51.53		79	48.47					163	
																Elected							
																							
Kalkie                                                         																							
	FIRST			18	2.64		79	11.57		9	1.32		186	27.23		343	50.22		48	7.03		683	
	SECOND			1	11.11		1	11.11			Excluded		5	55.56		2	22.22		0	0.00		9	
		TOTAL		19	2.78		80	11.71					191	27.96		345	50.51		48	7.03		683	
	THIRD				Excluded		5	26.32					8	42.11		3	15.79		3	15.79		19	
		TOTAL					85	12.45					199	29.14		348	50.95		51	7.47		683	
	FOURTH						26	50.98					10	19.61		15	29.41			Excluded		51	
		TOTAL					111	16.25					209	30.60		363	53.15					683	
	FIFTH							Excluded					48	43.24		63	56.76					111	
		TOTAL											257	37.63		426	62.37					683	
																Elected							
																							
Kepnock                                                        																							
	FIRST			22	1.55		157	11.06		19	1.34		538	37.91		569	40.10		114	8.03		1419	
	SECOND			4	21.05		9	47.37			Excluded		5	26.32		1	5.26		0	0.00		19	
		TOTAL		26	1.83		166	11.70					543	38.27		570	40.17		114	8.03		1419	
	THIRD				Excluded		9	34.62					10	38.46		4	15.38		3	11.54		26	
		TOTAL					175	12.33					553	38.97		574	40.45		117	8.25		1419	
	FOURTH						59	50.43					24	20.51		34	29.06			Excluded		117	
		TOTAL					234	16.49					577	40.66		608	42.85					1419	
	FIFTH							Excluded					129	55.13		105	44.87					234	
		TOTAL											706	49.75		713	50.25					1419	
																Elected							
																							
Kin Kora                                                       																							
	FIRST			72	3.16		168	7.36		49	2.15		1059	46.41		797	34.93		137	6.00		2282	
	SECOND			11	22.45		11	22.45			Excluded		14	28.57		11	22.45		2	4.08		49	
		TOTAL		83	3.64		179	7.84					1073	47.02		808	35.41		139	6.09		2282	
	THIRD				Excluded		29	34.94					33	39.76		11	13.25		10	12.05		83	
		TOTAL					208	9.11					1106	48.47		819	35.89		149	6.53		2282	
	FOURTH						69	46.31					37	24.83		43	28.86			Excluded		149	
		TOTAL					277	12.14					1143	50.09		862	37.77					2282	
	FIFTH							Excluded					159	57.40		118	42.60					277	
		TOTAL											1302	57.06		980	42.94					2282	
																Elected							
																							
Lowmead                                                        																							
	FIRST			2	2.15		7	7.53		1	1.08		22	23.66		53	56.99		8	8.60		93	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		2	2.15		7	7.53					22	23.66		53	56.99		9	9.68		93	
	THIRD				Excluded		0	0.00					1	50.00		0	0.00		1	50.00		2	
		TOTAL					7	7.53					23	24.73		53	56.99		10	10.75		93	
	FOURTH						3	30.00					3	30.00		4	40.00			Excluded		10	
		TOTAL					10	10.75					26	27.96		57	61.29					93	
	FIFTH							Excluded					5	50.00		5	50.00					10	
		TOTAL											31	33.33		62	66.67					93	
																Elected							
																							
Millbank                                                       																							
	FIRST			28	1.74		163	10.15		23	1.43		624	38.85		645	40.16		123	7.66		1606	
	SECOND			6	26.09		10	43.48			Excluded		5	21.74		2	8.70		0	0.00		23	
		TOTAL		34	2.12		173	10.77					629	39.17		647	40.29		123	7.66		1606	
	THIRD				Excluded		20	58.82					8	23.53		4	11.76		2	5.88		34	
		TOTAL					193	12.02					637	39.66		651	40.54		125	7.78		1606	
	FOURTH						64	51.20					24	19.20		37	29.60			Excluded		125	
		TOTAL					257	16.00					661	41.16		688	42.84					1606	
	FIFTH							Excluded					119	46.30		138	53.70					257	
