House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Petrie																							
				GRIFFITHS			PANTANO			BLACK			HUME			EATON			GAMBARO				
		TOTAL		36	5.90		20	3.28		32	5.25		244	40.00					278	45.57		610	
	THIRD			8	40.00			Excluded		2	10.00		6	30.00					4	20.00		20	
		TOTAL		44	7.21					34	5.57		250	40.98					282	46.23		610	
	FOURTH			14	41.18						Excluded		13	38.24					7	20.59		34	
		TOTAL		58	9.51								263	43.11					289	47.38		610	
	FIFTH				Excluded								32	55.17					26	44.83		58	
		TOTAL											295	48.36					315	51.64		610	
																			Elected				
																							
Ballycara                                                      																							
	FIRST			28	2.97		16	1.70		31	3.29		287	30.43		11	1.17		570	60.45		943	
	SECOND			2	18.18		2	18.18		5	45.45		2	18.18			Excluded		0	0.00		11	
		TOTAL		30	3.18		18	1.91		36	3.82		289	30.65					570	60.45		943	
	THIRD			6	33.33			Excluded		2	11.11		3	16.67					7	38.89		18	
		TOTAL		36	3.82					38	4.03		292	30.97					577	61.19		943	
	FOURTH			7	18.42						Excluded		6	15.79					25	65.79		38	
		TOTAL		43	4.56								298	31.60					602	63.84		943	
	FIFTH				Excluded								26	60.47					17	39.53		43	
		TOTAL											324	34.36					619	65.64		943	
																			Elected				
																							
Bracken Ridge                                                  																							
	FIRST			98	4.55		45	2.09		100	4.64		940	43.64		68	3.16		903	41.92		2154	
	SECOND			11	16.18		26	38.24		8	11.76		13	19.12			Excluded		10	14.71		68	
		TOTAL		109	5.06		71	3.30		108	5.01		953	44.24					913	42.39		2154	
	THIRD			44	61.97			Excluded		7	9.86		16	22.54					4	5.63		71	
		TOTAL		153	7.10					115	5.34		969	44.99					917	42.57		2154	
	FOURTH			40	34.78						Excluded		33	28.70					42	36.52		115	
		TOTAL		193	8.96								1002	46.52					959	44.52		2154	
	FIFTH				Excluded								109	56.48					84	43.52		193	
		TOTAL											1111	51.58					1043	48.42		2154	
																			Elected				
																							
Bracken Ridge East                                             																							
	FIRST			144	4.72		64	2.10		99	3.24		1210	39.63		74	2.42		1462	47.89		3053	
	SECOND			15	20.27		12	16.22		9	12.16		19	25.68			Excluded		19	25.68		74	
		TOTAL		159	5.21		76	2.49		108	3.54		1229	40.26					1481	48.51		3053	
	THIRD			49	64.47			Excluded		7	9.21		14	18.42					6	7.89		76	
		TOTAL		208	6.81					115	3.77		1243	40.71					1487	48.71		3053	
	FOURTH			38	33.04						Excluded		34	29.57					43	37.39		115	
		TOTAL		246	8.06								1277	41.83					1530	50.11		3053	
	FIFTH				Excluded								156	63.41					90	36.59		246	
		TOTAL											1433	46.94					1620	53.06		3053	
																			Elected				
																							
Bracken Ridge West                                             																							
	FIRST			146	5.63		67	2.58		124	4.78		1083	41.75		68	2.62		1106	42.64		2594	
	SECOND			10	14.71		16	23.53		6	8.82		13	19.12			Excluded		23	33.82		68	
		TOTAL		156	6.01		83	3.20		130	5.01		1096	42.25					1129	43.52		2594	
	THIRD			40	48.19			Excluded		5	6.02		25	30.12					13	15.66		83	
		TOTAL		196	7.56					135	5.20		1121	43.22					1142	44.02		2594	
	FOURTH			63	46.67						Excluded		30	22.22					42	31.11		135	
		TOTAL		259	9.98								1151	44.37					1184	45.64		2594	
	FIFTH				Excluded								175	67.57					84	32.43		259	
		TOTAL											1326	51.12					1268	48.88		2594	
																			Elected				
																							
Bridgeman Downs                                                																							
	FIRST			97	3.96		38	1.55		49	2.00		563	23.01		19	0.78		1681	68.70		2447	
	SECOND			2	10.53		5	26.32		1	5.26		2	10.53			Excluded		9	47.37		19	
		TOTAL		99	4.05		43	1.76		50	2.04		565	23.09					1690	69.06		2447	
	THIRD			18	41.86			Excluded		3	6.98		13	30.23					9	20.93		43	
		TOTAL		117	4.78					53	2.17		578	23.62					1699	69.43		2447	
	FOURTH			12	22.64						Excluded		12	22.64					29	54.72		53	
		TOTAL		129	5.27								590	24.11					1728	70.62		2447	
	FIFTH				Excluded								89	68.99					40	31.01		129	
		TOTAL											679	27.75					1768	72.25		2447	
																			Elected				
																							
Brisbane City (Petrie)                                         																							
	FIRST			15	6.85		13	5.94		5	2.28		79	36.07		2	0.91		105	47.95		219	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		16	7.31		13	5.94		5	2.28		79	36.07					106	48.40		219	
	THIRD			9	69.23			Excluded		0	0.00		4	30.77					0	0.00		13	
		TOTAL		25	11.42					5	2.28		83	37.90					106	48.40		219	
	FOURTH			1	20.00						Excluded		1	20.00					3	60.00		5	
		TOTAL		26	11.87								84	38.36					109	49.77		219	
	FIFTH				Excluded								17	65.38					9	34.62		26	
		TOTAL											101	46.12					118	53.88		219	
																			Elected				
																							
Carseldine                                                     																							
	FIRST			96	4.79		29	1.45		59	2.95		697	34.80		23	1.15		1099	54.87		2003	
	SECOND			3	13.04		8	34.78		3	13.04		4	17.39			Excluded		5	21.74		23	
		TOTAL		99	4.94		37	1.85		62	3.10		701	35.00					1104	55.12		2003	
	THIRD			19	51.35			Excluded		2	5.41		9	24.32					7	18.92		37	
		TOTAL		118	5.89					64	3.20		710	35.45					1111	55.47		2003	
	FOURTH			25	39.06						Excluded		13	20.31					26	40.63		64	
		TOTAL		143	7.14								723	36.10					1137	56.76		2003	
	FIFTH				Excluded								95	66.43					48	33.57		143	
		TOTAL											818	40.84					1185	59.16		2003	
																			Elected				
																							
Chermside                                                      																							
	FIRST			17	4.27		11	2.76		15	3.77		181	45.48		10	2.51		164	41.21		398	
	SECOND			6	60.00		0	0.00		1	10.00		1	10.00			Excluded		2	20.00		10	
		TOTAL		23	5.78		11	2.76		16	4.02		182	45.73					166	41.71		398	
	THIRD			3	27.27			Excluded		1	9.09		2	18.18					5	45.45		11	
		TOTAL		26	6.53					17	4.27		184	46.23					171	42.96		398	
	FOURTH			6	35.29						Excluded		4	23.53					7	41.18		17	
		TOTAL		32	8.04								188	47.24					178	44.72		398	
	FIFTH				Excluded								25	78.13					7	21.88		32	
		TOTAL											213	53.52					185	46.48		398	
																			Elected				
																							
Chermside Garden Settlement                                    																							
	FIRST			18	3.81		12	2.54		12	2.54		166	35.17		5	1.06		259	54.87		472	
	SECOND			0	0.00		3	60.00		1	20.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		18	3.81		15	3.18		13	2.75		167	35.38					259	54.87		472	
	THIRD			8	53.33			Excluded		1	6.67		4	26.67					2	13.33		15	
		TOTAL		26	5.51					14	2.97		171	36.23					261	55.30		472	
	FOURTH			5	35.71						Excluded		3	21.43					6	42.86		14	
		TOTAL		31	6.57								174	36.86					267	56.57		472	
	FIFTH				Excluded								22	70.97					9	29.03		31	
		TOTAL											196	41.53					276	58.47		472	
																			Elected				
																							
Chermside West                                                 																							
	FIRST			196	6.58		110	3.69		113	3.79		1025	34.42		21	0.71		1513	50.81		2978	
	SECOND			4	19.05		7	33.33		0	0.00		6	28.57			Excluded		4	19.05		21	
		TOTAL		200	6.72		117	3.93		113	3.79		1031	34.62					1517	50.94		2978	
	THIRD			79	67.52			Excluded		4	3.42		18	15.38					16	13.68		117	
		TOTAL		279	9.37					117	3.93		1049	35.22					1533	51.48		2978	
	FOURTH			68	58.12						Excluded		18	15.38					31	26.50		117	
		TOTAL		347	11.65								1067	35.83					1564	52.52		2978	
	FIFTH				Excluded								262	75.50					85	24.50		347	
		TOTAL											1329	44.63					1649	55.37		2978	
																			Elected				
																							
Clontarf                                                       																							
	FIRST			121	5.28		79	3.45		135	5.90		964	42.10		36	1.57		955	41.70		2290	
	SECOND			7	19.44		13	36.11		8	22.22		4	11.11			Excluded		4	11.11		36	
		TOTAL		128	5.59		92	4.02		143	6.24		968	42.27					959	41.88		2290	
	THIRD			45	48.91			Excluded		9	9.78		26	28.26					12	13.04		92	
		TOTAL		173	7.55					152	6.64		994	43.41					971	42.40		2290	
	FOURTH			59	38.82						Excluded		51	33.55					42	27.63		152	
		TOTAL		232	10.13								1045	45.63					1013	44.24		2290	
	FIFTH				Excluded								168	72.41					64	27.59		232	
		TOTAL											1213	52.97					1077	47.03		2290	
																			Elected				
																							
Clontarf Beach                                                 																							
	FIRST			109	5.05		41	1.90		120	5.56		971	44.95		28	1.30		891	41.25		2160	
	SECOND			7	25.00		7	25.00		7	25.00		5	17.86			Excluded		2	7.14		28	
		TOTAL		116	5.37		48	2.22		127	5.88		976	45.19					893	41.34		2160	
	THIRD			24	50.00			Excluded		5	10.42		10	20.83					9	18.75		48	
		TOTAL		140	6.48					132	6.11		986	45.65					902	41.76		2160	
	FOURTH			50	37.88						Excluded		35	26.52					47	35.61		132	
		TOTAL		190	8.80								1021	47.27					949	43.94		2160	
	FIFTH				Excluded								136	71.58					54	28.42		190	
		TOTAL											1157	53.56					1003	46.44		2160	
																			Elected				
																							
Craigslea                                                      																							
	FIRST			41	3.59		35	3.07		29	2.54		377	33.04		16	1.40		643	56.35		1141	
	SECOND			2	12.50		4	25.00		2	12.50		4	25.00			Excluded		4	25.00		16	
		TOTAL		43	3.77		39	3.42		31	2.72		381	33.39					647	56.70		1141	
	THIRD			26	66.67			Excluded		1	2.56		8	20.51					4	10.26		39	
		TOTAL		69	6.05					32	2.80		389	34.09					651	57.06		1141	
	FOURTH			7	21.88						Excluded		12	37.50					13	40.63		32	
		TOTAL		76	6.66								401	35.14					664	58.19		1141	
	FIFTH				Excluded								51	67.11					25	32.89		76	
		TOTAL											452	39.61					689	60.39		1141	
																			Elected				
																							
Deception Bay South (Petrie)                                   																							
	FIRST			86	7.04		21	1.72		111	9.09		552	45.21		24	1.97		427	34.97		1221	
	SECOND			3	12.50		6	25.00		7	29.17		4	16.67			Excluded		4	16.67		24	
		TOTAL		89	7.29		27	2.21		118	9.66		556	45.54					431	35.30		1221	
	THIRD			13	48.15			Excluded		6	22.22		6	22.22					2	7.41		27	
		TOTAL		102	8.35					124	10.16		562	46.03					433	35.46		1221	
	FOURTH			58	46.77						Excluded		36	29.03					30	24.19		124	
		TOTAL		160	13.10								598	48.98					463	37.92		1221	
	FIFTH				Excluded								127	79.38					33	20.63		160	
		TOTAL											725	59.38					496	40.62		1221	
																			Elected				
																							
Everton Park (Petrie)                                          																							
	FIRST			18	4.81		8	2.14		10	2.67		129	34.49		9	2.41		200	53.48		374	
	SECOND			3	33.33		2	22.22		1	11.11		1	11.11			Excluded		2	22.22		9	
		TOTAL		21	5.61		10	2.67		11	2.94		130	34.76					202	54.01		374	
	THIRD			4	40.00			Excluded		3	30.00		2	20.00					1	10.00		10	
		TOTAL		25	6.68					14	3.74		132	35.29					203	54.28		374	
	FOURTH			5	35.71						Excluded		4	28.57					5	35.71		14	
		TOTAL		30	8.02								136	36.36					208	55.61		374	
	FIFTH				Excluded								19	63.33					11	36.67		30	
		TOTAL											155	41.44					219	58.56		374	
																			Elected				
																							
Everton Park North (Petrie)                                    																							
	FIRST			67	6.05		25	2.26		31	2.80		354	31.95		11	0.99		620	55.96		1108	
	SECOND			1	9.09		1	9.09		2	18.18		2	18.18			Excluded		5	45.45		11	
		TOTAL		68	6.14		26	2.35		33	2.98		356	32.13					625	56.41		1108	
	THIRD			19	73.08			Excluded		2	7.69		3	11.54					2	7.69		26	
		TOTAL		87	7.85					35	3.16		359	32.40					627	56.59		1108	
	FOURTH			12	34.29						Excluded		11	31.43					12	34.29		35	
		TOTAL		99	8.94								370	33.39					639	57.67		1108	
	FIFTH				Excluded								57	57.58					42	42.42		99	
		TOTAL											427	38.54					681	61.46		1108	
																			Elected				
																							
Kippa-Ring                                                     																							
	FIRST			133	4.26		100	3.20		150	4.81		1399	44.83		59	1.89		1280	41.01		3121	
	SECOND			11	18.64		16	27.12		15	25.42		8	13.56			Excluded		9	15.25		59	
		TOTAL		144	4.61		116	3.72		165	5.29		1407	45.08					1289	41.30		3121	
	THIRD			60	51.72			Excluded		16	13.79		31	26.72					9	7.76		116	
		TOTAL		204	6.54					181	5.80		1438	46.07					1298	41.59		3121	
	FOURTH			72	39.78						Excluded		47	25.97					62	34.25		181	
		TOTAL		276	8.84								1485	47.58					1360	43.58		3121	
	FIFTH				Excluded								199	72.10					77	27.90		276	
		TOTAL											1684	53.96					1437	46.04		3121	
																			Elected				
																							
Kippa-Ring North                                               																							
	FIRST			71	4.11		39	2.26		80	4.63		724	41.92		26	1.51		787	45.57		1727	
	SECOND			3	11.54		5	19.23		5	19.23		3	11.54			Excluded		10	38.46		26	
		TOTAL		74	4.28		44	2.55		85	4.92		727	42.10					797	46.15		1727	
	THIRD			25	56.82			Excluded		8	18.18		9	20.45					2	4.55		44	
		TOTAL		99	5.73					93	5.39		736	42.62					799	46.27		1727	
	FOURTH			39	41.94						Excluded		22	23.66					32	34.41		93	
		TOTAL		138	7.99								758	43.89					831	48.12		1727	
	FIFTH				Excluded								103	74.64					35	25.36		138	
		TOTAL											861	49.86					866	50.14		1727	
																			Elected				
																							
Kippa-Ring West                                                																							
	FIRST			82	4.83		38	2.24		88	5.18		758	44.61		31	1.82		702	41.32		1699	
	SECOND			4	12.90		3	9.68		9	29.03		5	16.13			Excluded		10	32.26		31	
		TOTAL		86	5.06		41	2.41		97	5.71		763	44.91					712	41.91		1699	
	THIRD			16	39.02			Excluded		8	19.51		12	29.27					5	12.20		41	
		TOTAL		102	6.00					105	6.18		775	45.62					717	42.20		1699	
	FOURTH			46	43.81						Excluded		28	26.67					31	29.52		105	
		TOTAL		148	8.71								803	47.26					748	44.03		1699	
	FIFTH				Excluded								106	71.62					42	28.38		148	
		TOTAL											909	53.50					790	46.50		1699	
																			Elected				
																							
Mango Hill                                                     																							
	FIRST			57	4.81		19	1.60		62	5.23		424	35.78		23	1.94		600	50.63		1185	
	SECOND			3	13.04		7	30.43		7	30.43		3	13.04			Excluded		3	13.04		23	
		TOTAL		60	5.06		26	2.19		69	5.82		427	36.03					603	50.89		1185	
	THIRD			15	57.69			Excluded		6	23.08		2	7.69					3	11.54		26	
		TOTAL		75	6.33					75	6.33		429	36.20					606	51.14		1185	
	FOURTH			29	38.67						Excluded		27	36.00					19	25.33		75	
		TOTAL		104	8.78								456	38.48					625	52.74		1185	
	FIFTH				Excluded								71	68.27					33	31.73		104	
		TOTAL											527	44.47					658	55.53		1185	
																			Elected				
																							
Margate                                                        																							
	FIRST			193	6.58		99	3.38		136	4.64		1240	42.29		40	1.36		1224	41.75		2932	
	SECOND			4	10.00		7	17.50		8	20.00		8	20.00			Excluded		13	32.50		40	
		TOTAL		197	6.72		106	3.62		144	4.91		1248	42.56					1237	42.19		2932	
	THIRD			60	56.60			Excluded		16	15.09		22	20.75					8	7.55		106	
		TOTAL		257	8.77					160	5.46		1270	43.32					1245	42.46		2932	
	FOURTH			65	40.63						Excluded		37	23.13					58	36.25		160	
		TOTAL		322	10.98								1307	44.58					1303	44.44		2932	
	FIFTH				Excluded								245	76.09					77	23.91		322	
		TOTAL											1552	52.93					1380	47.07		2932	
																			Elected				
																							
McDowall                                                       																							
	FIRST			249	5.63		101	2.28		90	2.03		1284	29.03		53	1.20		2646	59.82		4423	
	SECOND			14	26.42		9	16.98		8	15.09		4	7.55			Excluded		18	33.96		53	
		TOTAL		263	5.95		110	2.49		98	2.22		1288	29.12					2664	60.23		4423	
	THIRD			59	53.64			Excluded		9	8.18		28	25.45					14	12.73		110	
		TOTAL		322	7.28					107	2.42		1316	29.75					2678	60.55		4423	
	FOURTH			40	37.38						Excluded		26	24.30					41	38.32		107	
		TOTAL		362	8.18								1342	30.34					2719	61.47		4423	
	FIFTH				Excluded								257	70.99					105	29.01		362	
		TOTAL											1599	36.15					2824	63.85		4423	
																			Elected				
																							
Moreton Downs                                                  																							
	FIRST			30	5.80		9	1.74		39	7.54		222	42.94		15	2.90		202	39.07		517	
	SECOND			2	13.33		2	13.33		2	13.33		2	13.33			Excluded		7	46.67		15	
		TOTAL		32	6.19		11	2.13		41	7.93		224	43.33					209	40.43		517	
	THIRD			4	36.36			Excluded		0	0.00		3	27.27					4	36.36		11	
		TOTAL		36	6.96					41	7.93		227	43.91					213	41.20		517	
	FOURTH			11	26.83						Excluded		8	19.51					22	53.66		41	
		TOTAL		47	9.09								235	45.45					235	45.45		517	
	FIFTH				Excluded								33	70.21					14	29.79		47	
		TOTAL											268	51.84					249	48.16		517	
																			Elected				
																							
Redcliffe                                                      																							
	FIRST			131	4.78		97	3.54		144	5.25		1173	42.79		29	1.06		1167	42.58		2741	
	SECOND			5	17.24		12	41.38		5	17.24		1	3.45			Excluded		6	20.69		29	
		TOTAL		136	4.96		109	3.98		149	5.44		1174	42.83					1173	42.79		2741	
	THIRD			42	38.53			Excluded		19	17.43		34	31.19					14	12.84		109	
		TOTAL		178	6.49					168	6.13		1208	44.07					1187	43.31		2741	
	FOURTH			67	39.88						Excluded		48	28.57					53	31.55		168	
		TOTAL		245	8.94								1256	45.82					1240	45.24		2741	
	FIFTH				Excluded								175	71.43					70	28.57		245	
		TOTAL											1431	52.21					1310	47.79		2741	
																			Elected				
																							
Redcliffe Hospital                                             																							
	FIRST			51	4.23		24	1.99		53	4.40		556	46.14		13	1.08		508	42.16		1205	
	SECOND			3	23.08		2	15.38		4	30.77		1	7.69			Excluded		3	23.08		13	
		TOTAL		54	4.48		26	2.16		57	4.73		557	46.22					511	42.41		1205	
	THIRD			13	50.00			Excluded		5	19.23		7	26.92					1	3.85		26	
		TOTAL		67	5.56					62	5.15		564	46.80					512	42.49		1205	
	FOURTH			26	41.94						Excluded		22	35.48					14	22.58		62	
		TOTAL		93	7.72								586	48.63					526	43.65		1205	
	FIFTH				Excluded								70	75.27					23	24.73		93	
		TOTAL											656	54.44					549	45.56		1205	
																			Elected				
																							
Rothwell                                                       																							
	FIRST			50	3.47		23	1.60		76	5.28		506	35.14		24	1.67		761	52.85		1440	
	SECOND			6	25.00		4	16.67		7	29.17		2	8.33			Excluded		5	20.83		24	
		TOTAL		56	3.89		27	1.88		83	5.76		508	35.28					766	53.19		1440	
	THIRD			15	55.56			Excluded		3	11.11		5	18.52					4	14.81		27	
		TOTAL		71	4.93					86	5.97		513	35.63					770	53.47		1440	
	FOURTH			29	33.72						Excluded		29	33.72					28	32.56		86	
		TOTAL		100	6.94								542	37.64					798	55.42		1440	
	FIFTH				Excluded								68	68.00					32	32.00		100	
		TOTAL											610	42.36					830	57.64		1440	
																			Elected				
																							
Scarborough                                                    																							
	FIRST			161	5.29		100	3.29		139	4.57		1153	37.89		39	1.28		1451	47.68		3043	
	SECOND			7	17.95		8	20.51		7	17.95		11	28.21			Excluded		6	15.38		39	
		TOTAL		168	5.52		108	3.55		146	4.80		1164	38.25					1457	47.88		3043	
	THIRD			63	58.33			Excluded		13	12.04		22	20.37					10	9.26		108	
		TOTAL		231	7.59					159	5.23		1186	38.97					1467	48.21		3043	
	FOURTH			61	38.36						Excluded		52	32.70					46	28.93		159	
		TOTAL		292	9.60								1238	40.68					1513	49.72		3043	
	FIFTH				Excluded								214	73.29					78	26.71		292	
		TOTAL											1452	47.72					1591	52.28		3043	
																			Elected				
																							
Scarborough North                                              																							
	FIRST			46	3.97		29	2.50		56	4.83		438	37.79		10	0.86		580	50.04		1159	
	SECOND			1	10.00		1	10.00		4	40.00		1	10.00			Excluded		3	30.00		10	
		TOTAL		47	4.06		30	2.59		60	5.18		439	37.88					583	50.30		1159	
	THIRD			15	50.00			Excluded		3	10.00		9	30.00					3	10.00		30	
		TOTAL		62	5.35					63	5.44		448	38.65					586	50.56		1159	
	FOURTH			23	36.51						Excluded		17	26.98					23	36.51		63	
		TOTAL		85	7.33								465	40.12					609	52.55		1159	
	FIFTH				Excluded								62	72.94					23	27.06		85	
		TOTAL											527	45.47					632	54.53		1159	
																			Elected				
																							
Somerset Hills (Petrie)                                        																							
	FIRST			116	6.97		79	4.74		57	3.42		648	38.92		26	1.56		739	44.38		1665	
	SECOND			5	19.23		7	26.92		6	23.08		5	19.23			Excluded		3	11.54		26	
		TOTAL		121	7.27		86	5.17		63	3.78		653	39.22					742	44.56		1665	
	THIRD			48	55.81			Excluded		10	11.63		16	18.60					12	13.95		86	
		TOTAL		169	10.15					73	4.38		669	40.18					754	45.29		1665	
	FOURTH			28	38.36						Excluded		19	26.03					26	35.62		73	
		TOTAL		197	11.83								688	41.32					780	46.85		1665	
	FIFTH				Excluded								145	73.60					52	26.40		197	
		TOTAL											833	50.03					832	49.97		1665	
																			Elected				
																							
Stafford (Petrie)                                              																							
	FIRST			32	5.62		43	7.56		15	2.64		229	40.25		9	1.58		241	42.36		569	
	SECOND			4	44.44		4	44.44		0	0.00		1	11.11			Excluded		0	0.00		9	
		TOTAL		36	6.33		47	8.26		15	2.64		230	40.42					241	42.36		569	
	THIRD			21	44.68			Excluded		4	8.51		16	34.04					6	12.77		47	
		TOTAL		57	10.02					19	3.34		246	43.23					247	43.41		569	
	FOURTH			9	47.37						Excluded		8	42.11					2	10.53		19	
		TOTAL		66	11.60								254	44.64					249	43.76		569	
	FIFTH				Excluded								50	75.76					16	24.24		66	
		TOTAL											304	53.43					265	46.57		569	
																			Elected				
																							
Stafford Central                                               																							
	FIRST			83	6.50		36	2.82		29	2.27		559	43.81		26	2.04		543	42.55		1276	
	SECOND			6	23.08		9	34.62		2	7.69		3	11.54			Excluded		6	23.08		26	
		TOTAL		89	6.97		45	3.53		31	2.43		562	44.04					549	43.03		1276	
	THIRD			29	64.44			Excluded		3	6.67		9	20.00					4	8.89		45	
		TOTAL		118	9.25					34	2.66		571	44.75					553	43.34		1276	
	FOURTH			12	35.29						Excluded		9	26.47					13	38.24		34	
		TOTAL		130	10.19								580	45.45					566	44.36		1276	
	FIFTH				Excluded								96	73.85					34	26.15		130	
		TOTAL											676	52.98					600	47.02		1276	
																			Elected				
																							
Stafford Heights                                               																							
	FIRST			163	6.71		78	3.21		81	3.33		936	38.52		38	1.56		1134	46.67		2430	
	SECOND			10	26.32		4	10.53		8	21.05		9	23.68			Excluded		7	18.42		38	
		TOTAL		173	7.12		82	3.37		89	3.66		945	38.89					1141	46.95		2430	
	THIRD			35	42.68			Excluded		6	7.32		26	31.71					15	18.29		82	
		TOTAL		208	8.56					95	3.91		971	39.96					1156	47.57		2430	
	FOURTH			28	29.47						Excluded		26	27.37					41	43.16		95	
		TOTAL		236	9.71								997	41.03					1197	49.26		2430	
	FIFTH				Excluded								189	80.08					47	19.92		236	
		TOTAL											1186	48.81					1244	51.19		2430	
																			Elected				
																							
Stafford West (Petrie)                                         																							
	FIRST			50	6.14		39	4.79		40	4.91		306	37.59		19	2.33		360	44.23		814	
	SECOND			5	26.32		3	15.79		1	5.26		3	15.79			Excluded		7	36.84		19	
		TOTAL		55	6.76		42	5.16		41	5.04		309	37.96					367	45.09		814	
	THIRD			19	45.24			Excluded		4	9.52		12	28.57					7	16.67		42	
		TOTAL		74	9.09					45	5.53		321	39.43					374	45.95		814	
	FOURTH			16	35.56						Excluded		10	22.22					19	42.22		45	
		TOTAL		90	11.06								331	40.66					393	48.28		814	
	FIFTH				Excluded								62	68.89					28	31.11		90	
		TOTAL											393	48.28					421	51.72		814	
																			Elected				
																							
Taigum (Petrie)                                                																							
	FIRST			55	7.25		27	3.56		21	2.77		317	41.77		16	2.11		323	42.56		759	
	SECOND			1	6.25		3	18.75		0	0.00		6	37.50			Excluded		6	37.50		16	
		TOTAL		56	7.38		30	3.95		21	2.77		323	42.56					329	43.35		759	
	THIRD			16	53.33			Excluded		4	13.33		7	23.33					3	10.00		30	
		TOTAL		72	9.49					25	3.29		330	43.48					332	43.74		759	
	FOURTH			12	48.00						Excluded		6	24.00					7	28.00		25	
		TOTAL		84	11.07								336	44.27					339	44.66		759	
	FIFTH				Excluded								54	64.29					30	35.71		84	
		TOTAL											390	51.38					369	48.62		759	
																			Elected				
																							
Woody Point                                                    																							
	FIRST			90	4.61		44	2.26		126	6.46		849	43.52		30	1.54		812	41.62		1951	
	SECOND			7	23.33		3	10.00		9	30.00		8	26.67			Excluded		3	10.00		30	
		TOTAL		97	4.97		47	2.41		135	6.92		857	43.93					815	41.77		1951	
	THIRD			22	46.81			Excluded		7	14.89		13	27.66					5	10.64		47	
		TOTAL		119	6.10					142	7.28		870	44.59					820	42.03		1951	
	FOURTH			58	40.85						Excluded		36	25.35					48	33.80		142	
		TOTAL		177	9.07								906	46.44					868	44.49		1951	
	FIFTH				Excluded								131	74.01					46	25.99		177	
		TOTAL											1037	53.15					914	46.85		1951	
																			Elected				
																							
Special Hospital Team 1                                        																							
	FIRST			10	4.52		1	0.45		5	2.26		84	38.01		2	0.90		119	53.85		221	
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		11	4.98		1	0.45		5	2.26		85	38.46					119	53.85		221	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	100.00		1	
		TOTAL		11	4.98					5	2.26		85	38.46					120	54.30		221	
	FOURTH			2	40.00						Excluded		1	20.00					2	40.00		5	
		TOTAL		13	5.88								86	38.91					122	55.20		221	
	FIFTH				Excluded								10	76.92					3	23.08		13	
		TOTAL											96	43.44					125	56.56		221	
																			Elected				
																							
ABSENT																							
	FIRST			426	7.76		280	5.10		299	5.45		1923	35.04		147	2.68		2413	43.97		5488	
