House of Representatives - 2001 Election: Queensland																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													
Dickson (88001)																																													
		HYLAND			KERNOT			TURNER			# DUTTON			KIMLIN			WHITNEY			KRAMER			KESSELS			BARNES			FORMAL			INFORMAL			TOTAL										
		Terry			Cheryl			Shayne			Peter			Gary			Wayne			Paul			Colin			J F												Two Candidate Preferred							
		IND			ALP			DEM			LP			ORP			HAN			GRN			IND			IND												 KERNOT ALP			# DUTTON LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Everton Park (Dickson)	16	1.58		366	36.20		49	4.85		466	46.09		3	0.30		30	2.97		22	2.18		57	5.64		2	0.20		1011	95.20		51	4.80		1062	1.26		471	46.59		540	53.41
	Everton Park North (Dickson)	11	0.98		369	32.86		68	6.06		524	46.66		7	0.62		21	1.87		40	3.56		77	6.86		6	0.53		1123	95.57		52	4.43		1175	1.39		491	43.72		632	56.28
	Ferny Grove (Dickson)	47	1.34		1092	31.11		237	6.75		1691	48.18		17	0.48		73	2.08		118	3.36		228	6.50		7	0.20		3510	94.69		197	5.31		3707	4.38		1459	41.57		2051	58.43
	Ferny Hills	46	1.65		904	32.37		187	6.70		1216	43.54		30	1.07		70	2.51		115	4.12		213	7.63		12	0.43		2793	96.14		112	3.86		2905	3.43		1219	43.64		1574	56.36
	Ferny Hills North	50	1.54		1005	30.96		202	6.22		1544	47.57		14	0.43		63	1.94		116	3.57		242	7.46		10	0.31		3246	94.97		172	5.03		3418	4.04		1398	43.07		1848	56.93
	Grovely (Dickson)	46	2.51		667	36.35		93	5.07		784	42.72		9	0.49		54	2.94		67	3.65		109	5.94		6	0.33		1835	93.05		137	6.95		1972	2.33		862	46.98		973	53.02
	Kallangur	95	2.14		1919	43.29		156	3.52		1563	35.26		53	1.20		237	5.35		112	2.53		277	6.25		21	0.47		4433	91.63		405	8.37		4838	5.72		2400	54.14		2033	45.86
	Kallangur East	31	2.24		569	41.20		66	4.78		477	34.54		9	0.65		56	4.06		39	2.82		127	9.20		7	0.51		1381	94.14		86	5.86		1467	1.73		744	53.87		637	46.13
	Kallangur West	14	1.94		277	38.42		29	4.02		256	35.51		7	0.97		37	5.13		21	2.91		75	10.40		5	0.69		721	94.87		39	5.13		760	0.90		375	52.01		346	47.99
	Keperra (Dickson)	6	1.34		146	32.52		18	4.01		225	50.11		2	0.45		14	3.12		18	4.01		18	4.01		2	0.45		449	93.54		31	6.46		480	0.57		187	41.65		262	58.35
	Kurwongbah	31	1.36		779	34.27		142	6.25		945	41.58		8	0.35		68	2.99		73	3.21		217	9.55		10	0.44		2273	97.22		65	2.78		2338	2.76		1063	46.77		1210	53.23
	Lawnton	54	1.89		1216	42.67		159	5.58		1004	35.23		13	0.46		134	4.70		81	2.84		175	6.14		14	0.49		2850	91.70		258	8.30		3108	3.67		1542	54.11		1308	45.89
	Mitchelton (Dickson)	7	1.73		146	36.14		34	8.42		151	37.38		2	0.50		19	4.70		30	7.43		15	3.71		0	0.00		404	95.06		21	4.94		425	0.50		208	51.49		196	48.51
	Mount Nebo	0	0.00		93	30.19		24	7.79		78	25.32		1	0.32		11	3.57		83	26.95		17	5.52		1	0.32		308	95.36		15	4.64		323	0.38		182	59.09		126	40.91
	Murrumba Downs	25	0.87		935	32.36		99	3.43		1440	49.84		11	0.38		88	3.05		54	1.87		225	7.79		12	0.42		2889	93.56		199	6.44		3088	3.65		1181	40.88		1708	59.12			
	Oxford Park (Dickson)	14	1.76		358	45.09		42	5.29		300	37.78		5	0.63		27	3.40		22	2.77		23	2.90		3	0.38		794	95.89		34	4.11		828	0.98		437	55.04		357	44.96			
	Petrie	37	1.31		919	32.48		163	5.76		1238	43.76		11	0.39		110	3.89		91	3.22		252	8.91		8	0.28		2829	93.40		200	6.60		3029	3.58		1253	44.29		1576	55.71			
	Samford	39	1.10		706	19.85		194	5.46		2012	56.58		7	0.20		67	1.88		250	7.03		275	7.73		6	0.17		3556	94.50		207	5.50		3763	4.45		1170	32.90		2386	67.10			
	Strathpine	39	2.00		762	39.06		79	4.05		771	39.52		8	0.41		63	3.23		82	4.20		139	7.12		8	0.41		1951	92.95		148	7.05		2099	2.48		978	50.13		973	49.87			
	Strathpine East	18	1.45		516	41.58		63	5.08		480	38.68		1	0.08		38	3.06		21	1.69		102	8.22		2	0.16		1241	92.68		98	7.32		1339	1.58		644	51.89		597	48.11			
	Strathpine West	32	1.69		764	40.34		127	6.71		716	37.80		13	0.69		76	4.01		60	3.17		95	5.02		11	0.58		1894	91.41		178	8.59		2072	2.45		989	52.22		905	47.78			
	Warner	32	1.42		673	29.84		104	4.61		1114	49.40		10	0.44		64	2.84		60	2.66		189	8.38		9	0.40		2255	92.72		177	7.28		2432	2.87		899	39.87		1356	60.13			
	Special Hospitals	8	2.55		80	25.48		8	2.55		208	66.24		0	0.00		2	0.64		2	0.64		6	1.91		0	0.00		314	95.44		15	4.56		329	0.39		94	29.94		220	70.06			
	Total Ordinary	1028	1.51		22675	33.24		3638	5.33		31058	45.53		391	0.57		2077	3.04		2338	3.43		4770	6.99		240	0.35		68215	94.06		4311	5.94		72526	85.73		30086	44.10		38129	55.90			
	ABSENT	109	2.26		1571	32.51		333	6.89		2030	42.00		56	1.16		216	4.47		273	5.65		207	4.28		38	0.79		4833	94.75		268	5.25		5101	6.03		2197	45.46		2636	54.54			
	POSTAL	23	0.64		1255	34.99		152	4.24		1797	50.10		12	0.33		164	4.57		67	1.87		104	2.90		13	0.36		3587	98.11		69	1.89		3656	4.32		1497	41.73		2090	58.27			
	PRE_POLL	49	1.70		938	32.46		156	5.40		1395	48.27		22	0.76		101	3.49		109	3.77		107	3.70		13	0.45		2890	97.57		72	2.43		2962	3.50		1210	41.87		1680	58.13			
	PROVISIONAL	11	3.46		118	37.11		17	5.35		110	34.59		4	1.26		17	5.35		25	7.86		15	4.72		1	0.31		318	90.08		35	9.92		353	0.42		165	51.89		153	48.11			
	Division Summary	1220	1.53		26557	33.26		4296	5.38		36390	45.58		485	0.61		2575	3.23		2812	3.52		5203	6.52		305	0.38		79843	94.38		4755	5.62		84598	96.13		35155	44.03		44688	55.97			
																																													
																																										
																																										
																																										
																																										
