Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Brisbane (95781)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Dorrington		4	0.34		373	31.48		0	0.00		63	5.32		6	0.51		70	5.91		9	0.76		0	0.00		58	4.89		461	38.90		4	0.34		137	11.56		0	0.00		1185	96.50		43	3.50		1228	1.37
Dutton Park		23	2.25		409	40.06		0	0.00		36	3.53		13	1.27		109	10.68		21	2.06		2	0.20		23	2.25		263	25.76		4	0.39		117	11.46		1	0.10		1021	97.05		31	2.95		1052	1.18
East Brisbane		34	1.38		802	32.47		3	0.12		108	4.37		14	0.57		171	6.92		49	1.98		3	0.12		67	2.71		869	35.18		11	0.45		333	13.48		6	0.24		2470	95.92		105	4.08		2575	2.88
Enoggera		5	0.43		369	31.67		1	0.09		47	4.03		2	0.17		64	5.49		26	2.23		2	0.17		49	4.21		456	39.14		7	0.60		136	11.67		1	0.09		1165	97.16		34	2.84		1199	1.34
Ferny Grove (Brisbane)		0	0.00		96	38.40		0	0.00		9	3.60		2	0.80		6	2.40		4	1.60		0	0.00		8	3.20		106	42.40		4	1.60		13	5.20		2	0.80		250	97.66		6	2.34		256	0.29
Fortitude Valley		2	0.35		185	32.17		0	0.00		29	5.04		4	0.70		31	5.39		17	2.96		2	0.35		23	4.00		196	34.09		5	0.87		81	14.09		0	0.00		575	95.67		26	4.33		601	0.67
Gaythorne		3	0.25		499	40.83		0	0.00		48	3.93		8	0.65		52	4.26		24	1.96		0	0.00		41	3.36		398	32.57		8	0.65		138	11.29		3	0.25		1222	96.45		45	3.55		1267	1.42
Grange		4	0.45		303	34.31		0	0.00		33	3.74		5	0.57		49	5.55		11	1.25		1	0.11		42	4.76		323	36.58		3	0.34		109	12.34		0	0.00		883	97.89		19	2.11		902	1.01
Grange West		2	0.27		250	33.20		0	0.00		32	4.25		3	0.40		40	5.31		8	1.06		0	0.00		32	4.25		289	38.38		2	0.27		95	12.62		0	0.00		753	97.79		17	2.21		770	0.86
Grovely (Brisbane)		2	0.48		201	48.43		0	0.00		5	1.20		9	2.17		16	3.86		12	2.89		2	0.48		25	6.02		102	24.58		8	1.93		33	7.95		0	0.00		415	96.51		15	3.49		430	0.48
Hill End		51	3.35		499	32.74		1	0.07		42	2.76		4	0.26		234	15.35		19	1.25		8	0.52		36	2.36		401	26.31		5	0.33		223	14.63		1	0.07		1524	97.26		43	2.74		1567	1.75
Holy Spirit		14	0.67		629	29.90		2	0.10		87	4.13		10	0.48		169	8.03		26	1.24		2	0.10		66	3.14		748	35.55		7	0.33		344	16.35		0	0.00		2104	95.20		106	4.80		2210	2.47
Ithaca Creek		4	0.30		415	31.49		0	0.00		59	4.48		8	0.61		118	8.95		14	1.06		1	0.08		36	2.73		461	34.98		7	0.53		193	14.64		2	0.15		1318	97.99		27	2.01		1345	1.50
Ithaca South		9	0.59		404	26.32		0	0.00		58	3.78		2	0.13		141	9.19		37	2.41		2	0.13		32	2.08		616	40.13		8	0.52		226	14.72		0	0.00		1535	98.15		29	1.85		1564	1.75
Kangaroo Point		14	0.77		470	25.74		0	0.00		114	6.24		5	0.27		91	4.98		22	1.20		4	0.22		63	3.45		844	46.22		9	0.49		190	10.41		0	0.00		1826	97.13		54	2.87		1880	2.10
Kelvin Grove		6	0.51		325	27.61		1	0.08		37	3.14		8	0.68		97	8.24		29	2.46		1	0.08		31	2.63		415	35.26		12	1.02		213	18.10		2	0.17		1177	96.16		47	3.84		1224	1.37
Keperra (Brisbane)		7	0.31		897	39.20		0	0.00		102	4.46		29	1.27		74	3.23		21	0.92		1	0.04		128	5.59		858	37.50		7	0.31		162	7.08		2	0.09		2288	96.30		88	3.70		2376	2.66
Mater Hospital		10	1.02		345	35.06		2	0.20		20	2.03		3	0.30		79	8.03		16	1.63		2	0.20		45	4.57		347	35.26		5	0.51		110	11.18		0	0.00		984	93.27		71	6.73		1055	1.18
Merthyr		13	1.04		378	30.34		0	0.00		55	4.41		5	0.40		101	8.11		18	1.44		2	0.16		32	2.57		471	37.80		2	0.16		169	13.56		0	0.00		1246	95.04		65	4.96		1311	1.47
Milton		25	0.84		742	24.82		2	0.07		139	4.65		16	0.54		281	9.40		52	1.74		8	0.27		66	2.21		1170	39.14		8	0.27		479	16.03		1	0.03		2989	96.95		94	3.05		3083	3.45
Mitchelton (Brisbane)		8	0.41		717	36.75		1	0.05		98	5.02		12	0.62		91	4.66		31	1.59		3	0.15		99	5.07		675	34.60		6	0.31		210	10.76		0	0.00		1951	97.16		57	2.84		2008	2.24
New Farm		30	0.93		953	29.54		6	0.19		114	3.53		6	0.19		236	7.32		48	1.49		1	0.03		63	1.95		1211	37.54		20	0.62		537	16.65		1	0.03		3226	96.94		102	3.06		3328	3.72
Newmarket		16	0.82		600	30.83		1	0.05		87	4.47		9	0.46		110	5.65		38	1.95		0	0.00		70	3.60		718	36.90		7	0.36		289	14.85		1	0.05		1946	97.20		56	2.80		2002	2.24
Newmarket South		6	0.84		235	32.91		0	0.00		27	3.78		3	0.42		31	4.34		9	1.26		1	0.14		37	5.18		277	38.80		2	0.28		83	11.62		3	0.42		714	95.97		30	4.03		744	0.83
Oxford Park (Brisbane)		2	0.32		246	39.68		0	0.00		35	5.65		14	2.26		29	4.68		7	1.13		1	0.16		33	5.32		201	32.42		3	0.48		49	7.90		0	0.00		620	97.64		15	2.36		635	0.71
Paddington		10	0.63		461	29.03		2	0.13		52	3.27		9	0.57		142	8.94		31	1.95		2	0.13		28	1.76		570	35.89		11	0.69		269	16.94		1	0.06		1588	97.36		43	2.64		1631	1.82
Petrie Terrace		6	0.68		290	32.99		2	0.23		35	3.98		5	0.57		78	8.87		17	1.93		2	0.23		31	3.53		282	32.08		2	0.23		129	14.68		0	0.00		879	97.13		26	2.87		905	1.01
Princess Alexandra Hospital		5	1.42		172	48.73		1	0.28		7	1.98		3	0.85		16	4.53		10	2.83		0	0.00		22	6.23		70	19.83		5	1.42		41	11.61		1	0.28		353	96.71		12	3.29		365	0.41
Rainworth		9	0.46		476	24.14		0	0.00		124	6.29		10	0.51		207	10.50		22	1.12		2	0.10		55	2.79		802	40.67		1	0.05		262	13.29		2	0.10		1972	98.31		34	1.69		2006	2.24
Red Hill		9	0.56		458	28.63		1	0.06		59	3.69		10	0.63		166	10.38		32	2.00		4	0.25		37	2.31		507	31.69		8	0.50		308	19.25		1	0.06		1600	97.74		37	2.26		1637	1.83
Royal Brisbane Hospital		1	0.35		103	35.89		0	0.00		6	2.09		1	0.35		23	8.01		6	2.09		0	0.00		6	2.09		92	32.06		4	1.39		44	15.33		1	0.35		287	97.95		6	2.05		293	0.33
South Brisbane		30	1.89		574	36.17		0	0.00		43	2.71		10	0.63		189	11.91		34	2.14		3	0.19		38	2.39		432	27.22		11	0.69		222	13.99		1	0.06		1587	94.46		93	5.54		1680	1.88
Spring Hill		10	0.83		326	27.19		1	0.08		63	5.25		6	0.50		106	8.84		30	2.50		0	0.00		31	2.59		461	38.45		2	0.17		162	13.51		1	0.08		1199	96.23		47	3.77		1246	1.39
Stafford (Brisbane)		2	0.42		163	34.03		0	0.00		9	1.88		5	1.04		34	7.10		7	1.46		2	0.42		29	6.05		169	35.28		2	0.42		57	11.90		0	0.00		479	97.16		14	2.84		493	0.55
Stafford West (Brisbane)		2	0.67		96	32.00		0	0.00		14	4.67		8	2.67		12	4.00		6	2.00		0	0.00		20	6.67		107	35.67		1	0.33		34	11.33		0	0.00		300	95.85		13	4.15		313	0.35
Toowong (Brisbane)		0	0.00		132	29.93		0	0.00		12	2.72		2	0.45		33	7.48		13	2.95		1	0.23		14	3.17		166	37.64		6	1.36		61	13.83		1	0.23		441	97.35		12	2.65		453	0.51
West End		70	2.73		1049	40.93		3	0.12		70	2.73		3	0.12		373	14.55		56	2.18		1	0.04		46	1.79		479	18.69		11	0.43		401	15.65		1	0.04		2563	94.19		158	5.81		2721	3.04
Wilston School		18	0.58		951	30.68		2	0.06		150	4.84		13	0.42		172	5.55		38	1.23		3	0.10		74	2.39		1199	38.68		19	0.61		460	14.84		1	0.03		3100	97.36		84	2.64		3184	3.56
Windsor		15	1.02		501	33.97		0	0.00		56	3.80		13	0.88		90	6.10		17	1.15		2	0.14		70	4.75		501	33.97		11	0.75		198	13.42		1	0.07		1475	96.22		58	3.78		1533	1.71
Windsor School		5	0.35		484	34.04		0	0.00		38	2.67		9	0.63		92	6.47		21	1.48		0	0.00		42	2.95		519	36.50		8	0.56		204	14.35		0	0.00		1422	97.87		31	2.13		1453	1.62
Special Hospitals		1	0.17		260	43.99		0	0.00		27	4.57		0	0.00		3	0.51		1	0.17		0	0.00		10	1.69		278	47.04		1	0.17		10	1.69		0	0.00		591	98.99		6	1.01		597	0.67
Total Ordinary		583	0.85		21859	31.79		40	0.06		2961	4.31		363	0.53		5194	7.55		1094	1.59		88	0.13		2188	3.18		24606	35.78		322	0.47		9430	13.71		42	0.06		68770	96.77		2299	3.23		71069	79.44
ABSENT		49	0.60		2335	28.72		1	0.01		318	3.91		70	0.86		694	8.54		223	2.74		19	0.23		240	2.95		3032	37.29		77	0.95		1069	13.15		4	0.05		8131	98.46		127	1.54		8258	9.23
POSTAL		16	0.37		1723	40.13		2	0.05		169	3.94		27	0.63		160	3.73		14	0.33		4	0.09		227	5.29		1593	37.10		24	0.56		335	7.80		0	0.00		4294	98.13		82	1.87		4376	4.89
PRE_POLL		33	0.70		1345	28.73		6	0.13		159	3.40		25	0.53		392	8.37		74	1.58		8	0.17		122	2.61		1885	40.27		15	0.32		614	13.12		3	0.06		4681	98.96		49	1.04		4730	5.29
PROVISIONAL		7	0.70		342	34.41		0	0.00		15	1.51		6	0.60		92	9.26		38	3.82		0	0.00		24	2.41		286	28.77		12	1.21		172	17.30		0	0.00		994	96.60		35	3.40		1029	1.15
Division Summary		688	0.79		27604	31.78		49	0.06		3622	4.17		491	0.57		6532	7.52		1443	1.66		119	0.14		2801	3.22		31402	36.15		450	0.52		11620	13.38		49	0.06		86870	97.1		2592	2.9		89462	93.4
