House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Longman																										
				BECKETT			SCOPES			PATRICK			BROUGH			HALLAM			HARDWICK			BOWDEN				
		TOTAL		1131	41.60					85	3.13		1311	48.22								192	7.06		2719	
	FIFTH			63	74.12						Excluded		12	14.12								10	11.76		85	
		TOTAL		1194	43.91								1323	48.66								202	7.43		2719	
	SIXTH			130	64.36								72	35.64									Excluded		202	
		TOTAL		1324	48.69								1395	51.31											2719	
													Elected													
																										
Bongaree                                                       																										
	FIRST			1008	38.80		50	1.92		55	2.12		1263	48.61		48	1.85		0	0.00		174	6.70		2598	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1008	38.80		50	1.92		55	2.12		1263	48.61		48	1.85					174	6.70		2598	
	THIRD			5	10.42		7	14.58		7	14.58		13	27.08			Excluded					16	33.33		48	
		TOTAL		1013	38.99		57	2.19		62	2.39		1276	49.11								190	7.31		2598	
	FOURTH			26	45.61			Excluded		18	31.58		9	15.79								4	7.02		57	
		TOTAL		1039	39.99					80	3.08		1285	49.46								194	7.47		2598	
	FIFTH			44	55.00						Excluded		24	30.00								12	15.00		80	
		TOTAL		1083	41.69								1309	50.38								206	7.93		2598	
	SIXTH			112	54.37								94	45.63									Excluded		206	
		TOTAL		1195	46.00								1403	54.00											2598	
													Elected													
																										
Brisbane City (Longman)                                        																										
	FIRST			28	29.47		9	9.47		7	7.37		44	46.32		3	3.16		0	0.00		4	4.21		95	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		28	29.47		9	9.47		7	7.37		44	46.32		3	3.16					4	4.21		95	
	THIRD			0	0.00		1	33.33		0	0.00		1	33.33			Excluded					1	33.33		3	
		TOTAL		28	29.47		10	10.53		7	7.37		45	47.37								5	5.26		95	
	FOURTH			5	50.00			Excluded		3	30.00		2	20.00								0	0.00		10	
		TOTAL		33	34.74					10	10.53		47	49.47								5	5.26		95	
	FIFTH			6	60.00						Excluded		3	30.00								1	10.00		10	
		TOTAL		39	41.05								50	52.63								6	6.32		95	
	SIXTH			2	33.33								4	66.67									Excluded		6	
		TOTAL		41	43.16								54	56.84											95	
													Elected													
																										
Burpengary                                                     																										
	FIRST			1018	36.87		54	1.96		119	4.31		1242	44.98		86	3.11		2	0.07		240	8.69		2761	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		1019	36.91		54	1.96		119	4.31		1242	44.98		87	3.15					240	8.69		2761	
	THIRD			12	13.79		13	14.94		8	9.20		21	24.14			Excluded					33	37.93		87	
		TOTAL		1031	37.34		67	2.43		127	4.60		1263	45.74								273	9.89		2761	
	FOURTH			21	31.34			Excluded		25	37.31		11	16.42								10	14.93		67	
		TOTAL		1052	38.10					152	5.51		1274	46.14								283	10.25		2761	
	FIFTH			98	64.47						Excluded		36	23.68								18	11.84		152	
		TOTAL		1150	41.65								1310	47.45								301	10.90		2761	
	SIXTH			163	54.15								138	45.85									Excluded		301	
		TOTAL		1313	47.56								1448	52.44											2761	
													Elected													
																										
Burpengary East                                                																										
	FIRST			484	35.59		15	1.10		51	3.75		678	49.85		30	2.21		1	0.07		101	7.43		1360	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		484	35.59		15	1.10		51	3.75		678	49.85		30	2.21					102	7.50		1360	
	THIRD			4	13.33		1	3.33		3	10.00		5	16.67			Excluded					17	56.67		30	
		TOTAL		488	35.88		16	1.18		54	3.97		683	50.22								119	8.75		1360	
	FOURTH			7	43.75			Excluded		7	43.75		2	12.50								0	0.00		16	
		TOTAL		495	36.40					61	4.49		685	50.37								119	8.75		1360	
	FIFTH			41	67.21						Excluded		13	21.31								7	11.48		61	
		TOTAL		536	39.41								698	51.32								126	9.26		1360	
	SIXTH			66	52.38								60	47.62									Excluded		126	
		TOTAL		602	44.26								758	55.74											1360	
													Elected													
																										
Burpengary South                                               																										
	FIRST			527	31.80		40	2.41		83	5.01		840	50.69		38	2.29		3	0.18		126	7.60		1657	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		2	66.67			Excluded		0	0.00		3	
		TOTAL		527	31.80		40	2.41		83	5.01		841	50.75		40	2.41					126	7.60		1657	
	THIRD			6	15.00		2	5.00		5	12.50		12	30.00			Excluded					15	37.50		40	
		TOTAL		533	32.17		42	2.53		88	5.31		853	51.48								141	8.51		1657	
	FOURTH			16	38.10			Excluded		15	35.71		5	11.90								6	14.29		42	
		TOTAL		549	33.13					103	6.22		858	51.78								147	8.87		1657	
	FIFTH			66	64.08						Excluded		24	23.30								13	12.62		103	
		TOTAL		615	37.12								882	53.23								160	9.66		1657	
	SIXTH			84	52.50								76	47.50									Excluded		160	
		TOTAL		699	42.18								958	57.82											1657	
													Elected													
																										
Burpengary West                                                																										
	FIRST			1069	37.33		83	2.90		138	4.82		1293	45.15		72	2.51		5	0.17		204	7.12		2864	
	SECOND			0	0.00		1	20.00		1	20.00		1	20.00		2	40.00			Excluded		0	0.00		5	
		TOTAL		1069	37.33		84	2.93		139	4.85		1294	45.18		74	2.58					204	7.12		2864	
	THIRD			10	13.51		16	21.62		15	20.27		18	24.32			Excluded					15	20.27		74	
		TOTAL		1079	37.67		100	3.49		154	5.38		1312	45.81								219	7.65		2864	
	FOURTH			21	21.00			Excluded		42	42.00		27	27.00								10	10.00		100	
		TOTAL		1100	38.41					196	6.84		1339	46.75								229	8.00		2864	
	FIFTH			113	57.65						Excluded		53	27.04								30	15.31		196	
		TOTAL		1213	42.35								1392	48.60								259	9.04		2864	
	SIXTH			145	55.98								114	44.02									Excluded		259	
		TOTAL		1358	47.42								1506	52.58											2864	
													Elected													
																										
Caboolture                                                     																										
	FIRST			1909	40.33		129	2.72		210	4.44		1973	41.68		109	2.30		11	0.23		393	8.30		4734	
	SECOND			1	9.09		2	18.18		1	9.09		1	9.09		4	36.36			Excluded		2	18.18		11	
		TOTAL		1910	40.35		131	2.77		211	4.46		1974	41.70		113	2.39					395	8.34		4734	
	THIRD			20	17.70		14	12.39		14	12.39		26	23.01			Excluded					39	34.51		113	
		TOTAL		1930	40.77		145	3.06		225	4.75		2000	42.25								434	9.17		4734	
	FOURTH			46	31.72			Excluded		59	40.69		22	15.17								18	12.41		145	
		TOTAL		1976	41.74					284	6.00		2022	42.71								452	9.55		4734	
	FIFTH			160	56.34						Excluded		81	28.52								43	15.14		284	
		TOTAL		2136	45.12								2103	44.42								495	10.46		4734	
	SIXTH			278	56.16								217	43.84									Excluded		495	
		TOTAL		2414	50.99								2320	49.01											4734	
													Elected													
																										
Caboolture East                                                																										
	FIRST			953	42.49		86	3.83		84	3.74		853	38.03		57	2.54		6	0.27		204	9.09		2243	
	SECOND			1	16.67		1	16.67		0	0.00		0	0.00		2	33.33			Excluded		2	33.33		6	
		TOTAL		954	42.53		87	3.88		84	3.74		853	38.03		59	2.63					206	9.18		2243	
	THIRD			14	23.73		2	3.39		7	11.86		10	16.95			Excluded					26	44.07		59	
		TOTAL		968	43.16		89	3.97		91	4.06		863	38.48								232	10.34		2243	
	FOURTH			32	35.96			Excluded		35	39.33		13	14.61								9	10.11		89	
		TOTAL		1000	44.58					126	5.62		876	39.05								241	10.74		2243	
	FIFTH			73	57.94						Excluded		33	26.19								20	15.87		126	
		TOTAL		1073	47.84								909	40.53								261	11.64		2243	
	SIXTH			153	58.62								108	41.38									Excluded		261	
		TOTAL		1226	54.66								1017	45.34											2243	
													Elected													
																										
Caboolture West                                                																										
	FIRST			952	37.30		73	2.86		112	4.39		1156	45.30		47	1.84		2	0.08		210	8.23		2552	
	SECOND			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		952	37.30		75	2.94		112	4.39		1156	45.30		47	1.84					210	8.23		2552	
	THIRD			6	12.77		12	25.53		7	14.89		10	21.28			Excluded					12	25.53		47	
		TOTAL		958	37.54		87	3.41		119	4.66		1166	45.69								222	8.70		2552	
	FOURTH			25	28.74			Excluded		39	44.83		13	14.94								10	11.49		87	
		TOTAL		983	38.52					158	6.19		1179	46.20								232	9.09		2552	
	FIFTH			105	66.46						Excluded		26	16.46								27	17.09		158	
		TOTAL		1088	42.63								1205	47.22								259	10.15		2552	
	SIXTH			146	56.37								113	43.63									Excluded		259	
		TOTAL		1234	48.35								1318	51.65											2552	
													Elected													
																										
Conondale                                                      																										
	FIRST			93	24.35		71	18.59		27	7.07		134	35.08		19	4.97		4	1.05		34	8.90		382	
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		93	24.35		72	18.85		27	7.07		135	35.34		19	4.97					36	9.42		382	
	THIRD			4	21.05		3	15.79		4	21.05		1	5.26			Excluded					7	36.84		19	
		TOTAL		97	25.39		75	19.63		31	8.12		136	35.60								43	11.26		382	
	FOURTH			25	33.33			Excluded		39	52.00		3	4.00								8	10.67		75	
		TOTAL		122	31.94					70	18.32		139	36.39								51	13.35		382	
	FIFTH			53	75.71						Excluded		9	12.86								8	11.43		70	
		TOTAL		175	45.81								148	38.74								59	15.45		382	
	SIXTH			25	42.37								34	57.63									Excluded		59	
		TOTAL		200	52.36								182	47.64											382	
													Elected													
																										
Deception Bay                                                  																										
	FIRST			544	50.98		31	2.91		31	2.91		333	31.21		20	1.87		2	0.19		106	9.93		1067	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		544	50.98		31	2.91		32	3.00		334	31.30		20	1.87					106	9.93		1067	
	THIRD			4	20.00		1	5.00		0	0.00		9	45.00			Excluded					6	30.00		20	
		TOTAL		548	51.36		32	3.00		32	3.00		343	32.15								112	10.50		1067	
	FOURTH			7	21.88			Excluded		15	46.88		5	15.63								5	15.63		32	
		TOTAL		555	52.01					47	4.40		348	32.61								117	10.97		1067	
	FIFTH			30	63.83						Excluded		10	21.28								7	14.89		47	
		TOTAL		585	54.83								358	33.55								124	11.62		1067	
	SIXTH			76	61.29								48	38.71									Excluded		124	
		TOTAL		661	61.95								406	38.05											1067	
													Elected													
																										
Deception Bay North                                            																										
	FIRST			1454	47.02		67	2.17		118	3.82		1103	35.67		56	1.81		4	0.13		290	9.38		3092	
	SECOND			0	0.00		2	50.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		1454	47.02		69	2.23		119	3.85		1103	35.67		57	1.84					290	9.38		3092	
	THIRD			12	21.05		10	17.54		6	10.53		11	19.30			Excluded					18	31.58		57	
		TOTAL		1466	47.41		79	2.55		125	4.04		1114	36.03								308	9.96		3092	
	FOURTH			27	34.18			Excluded		23	29.11		13	16.46								16	20.25		79	
		TOTAL		1493	48.29					148	4.79		1127	36.45								324	10.48		3092	
	FIFTH			89	60.14						Excluded		29	19.59								30	20.27		148	
		TOTAL		1582	51.16								1156	37.39								354	11.45		3092	
	SIXTH			202	57.06								152	42.94									Excluded		354	
		TOTAL		1784	57.70								1308	42.30											3092	
													Elected													
																										
Deception Bay South (Longman)                                  																										
	FIRST			399	48.25		9	1.09		35	4.23		303	36.64		23	2.78		1	0.12		57	6.89		827	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		399	48.25		9	1.09		35	4.23		303	36.64		23	2.78					58	7.01		827	
	THIRD			4	17.39		2	8.70		5	21.74		2	8.70			Excluded					10	43.48		23	
		TOTAL		403	48.73		11	1.33		40	4.84		305	36.88								68	8.22		827	
	FOURTH			2	18.18			Excluded		6	54.55		3	27.27								0	0.00		11	
		TOTAL		405	48.97					46	5.56		308	37.24								68	8.22		827	
	FIFTH			26	56.52						Excluded		14	30.43								6	13.04		46	
		TOTAL		431	52.12								322	38.94								74	8.95		827	
	SIXTH			36	48.65								38	51.35									Excluded		74	
		TOTAL		467	56.47								360	43.53											827	
													Elected													
																										
Donnybrook                                                     																										
	FIRST			169	41.32		7	1.71		11	2.69		154	37.65		13	3.18		1	0.24		54	13.20		409	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		169	41.32		7	1.71		11	2.69		154	37.65		14	3.42					54	13.20		409	
	THIRD			3	21.43		2	14.29		1	7.14		0	0.00			Excluded					8	57.14		14	
		TOTAL		172	42.05		9	2.20		12	2.93		154	37.65								62	15.16		409	
	FOURTH			3	33.33			Excluded		5	55.56		0	0.00								1	11.11		9	
		TOTAL		175	42.79					17	4.16		154	37.65								63	15.40		409	
	FIFTH			8	47.06						Excluded		8	47.06								1	5.88		17	
		TOTAL		183	44.74								162	39.61								64	15.65		409	
	SIXTH			39	60.94								25	39.06									Excluded		64	
		TOTAL		222	54.28								187	45.72											409	
													Elected													
																										
Elimbah                                                        																										
	FIRST			451	33.02		34	2.49		51	3.73		643	47.07		51	3.73		1	0.07		135	9.88		1366	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		451	33.02		35	2.56		51	3.73		643	47.07		51	3.73					135	9.88		1366	
	THIRD			8	15.69		5	9.80		5	9.80		10	19.61			Excluded					23	45.10		51	
		TOTAL		459	33.60		40	2.93		56	4.10		653	47.80								158	11.57		1366	
	FOURTH			10	25.00			Excluded		12	30.00		8	20.00								10	25.00		40	
		TOTAL		469	34.33					68	4.98		661	48.39								168	12.30		1366	
	FIFTH			31	45.59						Excluded		28	41.18								9	13.24		68	
		TOTAL		500	36.60								689	50.44								177	12.96		1366	
	SIXTH			101	57.06								76	42.94									Excluded		177	
		TOTAL		601	44.00								765	56.00											1366	
													Elected													
																										
Glass House Mountains                                          																										
	FIRST			557	30.55		65	3.57		60	3.29		973	53.37		30	1.65		3	0.16		135	7.41		1823	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		558	30.61		65	3.57		60	3.29		973	53.37		30	1.65					137	7.52		1823	
	THIRD			7	23.33		4	13.33		0	0.00		8	26.67			Excluded					11	36.67		30	
		TOTAL		565	30.99		69	3.78		60	3.29		981	53.81								148	8.12		1823	
	FOURTH			25	36.23			Excluded		27	39.13		11	15.94								6	8.70		69	
		TOTAL		590	32.36					87	4.77		992	54.42								154	8.45		1823	
	FIFTH			49	56.32						Excluded		28	32.18								10	11.49		87	
		TOTAL		639	35.05								1020	55.95								164	9.00		1823	
	SIXTH			83	50.61								81	49.39									Excluded		164	
		TOTAL		722	39.61								1101	60.39											1823	
													Elected													
																										
Landsborough                                                   																										
	FIRST			618	35.76		117	6.77		45	2.60		736	42.59		42	2.43		3	0.17		167	9.66		1728	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		2	66.67		3	
		TOTAL		618	35.76		117	6.77		45	2.60		736	42.59		43	2.49					169	9.78		1728	
	THIRD			7	16.28		7	16.28		2	4.65		10	23.26			Excluded					17	39.53		43	
		TOTAL		625	36.17		124	7.18		47	2.72		746	43.17								186	10.76		1728	
	FOURTH			39	31.45			Excluded		48	38.71		20	16.13								17	13.71		124	
		TOTAL		664	38.43					95	5.50		766	44.33								203	11.75		1728	
	FIFTH			55	57.89						Excluded		18	18.95								22	23.16		95	
		TOTAL		719	41.61								784	45.37								225	13.02		1728	
	SIXTH			119	52.89								106	47.11									Excluded		225	
		TOTAL		838	48.50								890	51.50											1728	
													Elected													
																										
Maleny                                                         																										
	FIRST			781	26.09		327	10.93		158	5.28		1494	49.92		83	2.77		5	0.17		145	4.84		2993	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		2	40.00			Excluded		2	40.00		5	
		TOTAL		781	26.09		328	10.96		158	5.28		1494	49.92		85	2.84					147	4.91		2993	
	THIRD			11	12.94		20	23.53		8	9.41		17	20.00			Excluded					29	34.12		85	
		TOTAL		792	26.46		348	11.63		166	5.55		1511	50.48								176	5.88		2993	
	FOURTH			131	37.64			Excluded		169	48.56		29	8.33								19	5.46		348	
		TOTAL		923	30.84					335	11.19		1540	51.45								195	6.52		2993	
	FIFTH			246	73.43						Excluded		58	17.31								31	9.25		335	
		TOTAL		1169	39.06								1598	53.39								226	7.55		2993	
	SIXTH			103	45.58								123	54.42									Excluded		226	
		TOTAL		1272	42.50								1721	57.50											2993	
													Elected													
																										
Morayfield                                                     																										
	FIRST			1611	39.06		142	3.44		179	4.34		1772	42.97		95	2.30		7	0.17		318	7.71		4124	
	SECOND			1	14.29		1	14.29		0	0.00		1	14.29		3	42.86			Excluded		1	14.29		7	
		TOTAL		1612	39.09		143	3.47		179	4.34		1773	42.99		98	2.38					319	7.74		4124	
	THIRD			11	11.22		17	17.35		9	9.18		19	19.39			Excluded					42	42.86		98	
		TOTAL		1623	39.35		160	3.88		188	4.56		1792	43.45								361	8.75		4124	
	FOURTH			52	32.50			Excluded		65	40.63		18	11.25								25	15.63		160	
		TOTAL		1675	40.62					253	6.13		1810	43.89								386	9.36		4124	
	FIFTH			141	55.73						Excluded		76	30.04								36	14.23		253	
		TOTAL		1816	44.03								1886	45.73								422	10.23		4124	
	SIXTH			228	54.03								194	45.97									Excluded		422	
		TOTAL		2044	49.56								2080	50.44											4124	
													Elected													
																										
Morayfield East                                                																										
	FIRST			746	37.04		56	2.78		98	4.87		936	46.47		41	2.04		2	0.10		135	6.70		2014	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		746	37.04		56	2.78		98	4.87		937	46.52		41	2.04					136	6.75		2014	
	THIRD			11	26.83		3	7.32		4	9.76		6	14.63			Excluded					17	41.46		41	
		TOTAL		757	37.59		59	2.93		102	5.06		943	46.82								153	7.60		2014	
	FOURTH			21	35.59			Excluded		19	32.20		9	15.25								10	16.95		59	
		TOTAL		778	38.63					121	6.01		952	47.27								163	8.09		2014	
	FIFTH			71	58.68						Excluded		26	21.49								24	19.83		121	
		TOTAL		849	42.15								978	48.56								187	9.29		2014	
	SIXTH			91	48.66								96	51.34									Excluded		187	
		TOTAL		940	46.67								1074	53.33											2014	
													Elected													
																										
Morayfield West                                                																										
	FIRST			1001	37.75		59	2.22		127	4.79		1175	44.31		70	2.64		4	0.15		216	8.14		2652	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	100.00		4	
		TOTAL		1001	37.75		59	2.22		127	4.79		1175	44.31		70	2.64					220	8.30		2652	
	THIRD			10	14.29		5	7.14		11	15.71		16	22.86			Excluded					28	40.00		70	
		TOTAL		1011	38.12		64	2.41		138	5.20		1191	44.91								248	9.35		2652	
	FOURTH			24	37.50			Excluded		25	39.06		9	14.06								6	9.38		64	
		TOTAL		1035	39.03					163	6.15		1200	45.25								254	9.58		2652	
	FIFTH			113	69.33						Excluded		34	20.86								16	9.82		163	
		TOTAL		1148	43.29								1234	46.53								270	10.18		2652	
	SIXTH			156	57.78								114	42.22									Excluded		270	
		TOTAL		1304	49.17								1348	50.83											2652	
													Elected													
																										
Mount Mee                                                      																										
	FIRST			56	24.89		7	3.11		10	4.44		116	51.56		5	2.22		7	3.11		24	10.67		225	
	SECOND			0	0.00		0	0.00		0	0.00		1	14.29		4	57.14			Excluded		2	28.57		7	
		TOTAL		56	24.89		7	3.11		10	4.44		117	52.00		9	4.00					26	11.56		225	
	THIRD			0	0.00		0	0.00		0	0.00		3	33.33			Excluded					6	66.67		9	
		TOTAL		56	24.89		7	3.11		10	4.44		120	53.33								32	14.22		225	
	FOURTH			2	28.57			Excluded		5	71.43		0	0.00								0	0.00		7	
		TOTAL		58	25.78					15	6.67		120	53.33								32	14.22		225	
	FIFTH			11	73.33						Excluded		2	13.33								2	13.33		15	
		TOTAL		69	30.67								122	54.22								34	15.11		225	
	SIXTH			14	41.18								20	58.82									Excluded		34	
		TOTAL		83	36.89								142	63.11											225	
													Elected													
																										
Narangba                                                       																										
	FIRST			1090	34.75		133	4.24		185	5.90		1464	46.67		63	2.01		3	0.10		199	6.34		3137	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3	
		TOTAL		1090	34.75		134	4.27		185	5.90		1464	46.67		65	2.07					199	6.34		3137	
	THIRD			7	10.77		8	12.31		10	15.38		19	29.23			Excluded					21	32.31		65	
		TOTAL		1097	34.97		142	4.53		195	6.22		1483	47.27								220	7.01		3137	
	FOURTH			45	31.69			Excluded		63	44.37		21	14.79								13	9.15		142	
		TOTAL		1142	36.40					258	8.22		1504	47.94								233	7.43		3137	
	FIFTH			158	61.24						Excluded		69	26.74								31	12.02		258	
		TOTAL		1300	41.44								1573	50.14								264	8.42		3137	
	SIXTH			138	52.27								126	47.73									Excluded		264	
		TOTAL		1438	45.84								1699	54.16											3137	
													Elected													
																										
Narangba North                                                 																										
	FIRST			160	38.55		20	4.82		12	2.89		192	46.27		12	2.89		2	0.48		17	4.10		415	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		161	38.80		21	5.06		12	2.89		192	46.27		12	2.89					17	4.10		415	
	THIRD			1	8.33		2	16.67		1	8.33		1	8.33			Excluded					7	58.33		12	
		TOTAL		162	39.04		23	5.54		13	3.13		193	46.51								24	5.78		415	
	FOURTH			7	30.43			Excluded		15	65.22		1	4.35								0	0.00		23	
		TOTAL		169	40.72					28	6.75		194	46.75								24	5.78		415	
	FIFTH			12	42.86						Excluded		10	35.71								6	21.43		28	
		TOTAL		181	43.61								204	49.16								30	7.23		415	
	SIXTH			21	70.00								9	30.00									Excluded		30	
		TOTAL		202	48.67								213	51.33											415	
													Elected													
																										
Ningi                                                          																										
	FIRST			893	39.69		38	1.69		60	2.67		1021	45.38		32	1.42		0	0.00		206	9.16		2250	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		893	39.69		38	1.69		60	2.67		1021	45.38		32	1.42					206	9.16		2250	
	THIRD			3	9.38		5	15.63		2	6.25		8	25.00			Excluded					14	43.75		32	
		TOTAL		896	39.82		43	1.91		62	2.76		1029	45.73								220	9.78		2250	
	FOURTH			15	34.88			Excluded		16	37.21		8	18.60								4	9.30		43	
		TOTAL		911	40.49					78	3.47		1037	46.09								224	9.96		2250	
	FIFTH			46	58.97						Excluded		21	26.92								11	14.10		78	
		TOTAL		957	42.53								1058	47.02								235	10.44		2250	
	SIXTH			137	58.30								98	41.70									Excluded		235	
		TOTAL		1094	48.62								1156	51.38											2250	
													Elected													
																										
Peachester                                                     																										
	FIRST			172	28.57		29	4.82		23	3.82		296	49.17		14	2.33		0	0.00		68	11.30		602	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		172	28.57		29	4.82		23	3.82		296	49.17		14	2.33					68	11.30		602	
	THIRD			4	28.57		1	7.14		2	14.29		3	21.43			Excluded					4	28.57		14	
		TOTAL		176	29.24		30	4.98		25	4.15		299	49.67								72	11.96		602	
	FOURTH			12	40.00			Excluded		13	43.33		1	3.33								4	13.33		30	
		TOTAL		188	31.23					38	6.31		300	49.83								76	12.62		602	
