House of Representatives - 2001 Election: Queensland																				
Distribution of Preferences																				
By Polling Place																				
Lilley																				
				MCDONOUGH			ROSS			BOCQUEE			MEEHAN			SWAN				
		TOTAL		72	4.37		457	27.76								1117	67.86		1646	
	FOURTH				Excluded		25	34.72								47	65.28		72	
		TOTAL					482	29.28								1164	70.72		1646	
																Elected				
																				
Banyo East                                                     																				
	FIRST			62	3.48		532	29.85		89	4.99		46	2.58		1053	59.09		1782	
	SECOND			5	5.62		48	53.93			Excluded		16	17.98		20	22.47		89	
		TOTAL		67	3.76		580	32.55					62	3.48		1073	60.21		1782	
	THIRD			33	53.23		6	9.68						Excluded		23	37.10		62	
		TOTAL		100	5.61		586	32.88								1096	61.50		1782	
	FOURTH				Excluded		27	27.00								73	73.00		100	
		TOTAL					613	34.40								1169	65.60		1782	
																Elected				
																				
Boondall                                                       																				
	FIRST			236	5.52		1639	38.31		173	4.04		111	2.59		2119	49.53		4278	
	SECOND			20	11.56		90	52.02			Excluded		26	15.03		37	21.39		173	
		TOTAL		256	5.98		1729	40.42					137	3.20		2156	50.40		4278	
	THIRD			65	47.45		21	15.33						Excluded		51	37.23		137	
		TOTAL		321	7.50		1750	40.91								2207	51.59		4278	
	FOURTH				Excluded		120	37.38								201	62.62		321	
		TOTAL					1870	43.71								2408	56.29		4278	
																Elected				
																				
Brighton                                                       																				
	FIRST			133	7.12		519	27.78		108	5.78		52	2.78		1056	56.53		1868	
	SECOND			12	11.11		53	49.07			Excluded		15	13.89		28	25.93		108	
		TOTAL		145	7.76		572	30.62					67	3.59		1084	58.03		1868	
	THIRD			40	59.70		5	7.46						Excluded		22	32.84		67	
		TOTAL		185	9.90		577	30.89								1106	59.21		1868	
	FOURTH				Excluded		63	34.05								122	65.95		185	
		TOTAL					640	34.26								1228	65.74		1868	
																Elected				
																				
Brighton South                                                 																				
	FIRST			112	5.95		512	27.21		132	7.01		69	3.67		1057	56.16		1882	
	SECOND			18	13.64		70	53.03			Excluded		19	14.39		25	18.94		132	
		TOTAL		130	6.91		582	30.92					88	4.68		1082	57.49		1882	
	THIRD			56	63.64		6	6.82						Excluded		26	29.55		88	
		TOTAL		186	9.88		588	31.24								1108	58.87		1882	
	FOURTH				Excluded		62	33.33								124	66.67		186	
		TOTAL					650	34.54								1232	65.46		1882	
																Elected				
																				
Brisbane City (Lilley)                                         																				
	FIRST			58	12.89		139	30.89		17	3.78		45	10.00		191	42.44		450	
	SECOND			3	17.65		8	47.06			Excluded		4	23.53		2	11.76		17	
		TOTAL		61	13.56		147	32.67					49	10.89		193	42.89		450	
	THIRD			30	61.22		7	14.29						Excluded		12	24.49		49	
		TOTAL		91	20.22		154	34.22								205	45.56		450	
	FOURTH				Excluded		20	21.98								71	78.02		91	
		TOTAL					174	38.67								276	61.33		450	
																Elected				
																				
Chermside East                                                 																				
	FIRST			123	5.50		814	36.39		100	4.47		56	2.50		1144	51.14		2237	
	SECOND			11	11.00		52	52.00			Excluded		14	14.00		23	23.00		100	
		TOTAL		134	5.99		866	38.71					70	3.13		1167	52.17		2237	
	THIRD			36	51.43		11	15.71						Excluded		23	32.86		70	
		TOTAL		170	7.60		877	39.20								1190	53.20		2237	
	FOURTH				Excluded		53	31.18								117	68.82		170	
		TOTAL					930	41.57								1307	58.43		2237	
																Elected				
																				
Clayfield                                                      																				
	FIRST			105	6.17		993	58.31		28	1.64		50	2.94		527	30.95		1703	
	SECOND			6	21.43		12	42.86			Excluded		4	14.29		6	21.43		28	
		TOTAL		111	6.52		1005	59.01					54	3.17		533	31.30		1703	
	THIRD			31	57.41		6	11.11						Excluded		17	31.48		54	
		TOTAL		142	8.34		1011	59.37								550	32.30		1703	
	FOURTH				Excluded		57	40.14								85	59.86		142	
		TOTAL					1068	62.71								635	37.29		1703	
																Elected				
																				
Clayfield West                                                 																				
	FIRST			172	7.30		1327	56.35		46	1.95		103	4.37		707	30.02		2355	
	SECOND			7	15.22		19	41.30			Excluded		13	28.26		7	15.22		46	
		TOTAL		179	7.60		1346	57.15					116	4.93		714	30.32		2355	
	THIRD			57	49.14		15	12.93						Excluded		44	37.93		116	
		TOTAL		236	10.02		1361	57.79								758	32.19		2355	
	FOURTH				Excluded		76	32.20								160	67.80		236	
		TOTAL					1437	61.02								918	38.98		2355	
																Elected				
																				
Deagon                                                         																				
	FIRST			41	3.48		330	28.01		57	4.84		44	3.74		706	59.93		1178	
	SECOND			6	10.53		23	40.35			Excluded		16	28.07		12	21.05		57	
		TOTAL		47	3.99		353	29.97					60	5.09		718	60.95		1178	
	THIRD			27	45.00		5	8.33						Excluded		28	46.67		60	
		TOTAL		74	6.28		358	30.39								746	63.33		1178	
	FOURTH				Excluded		33	44.59								41	55.41		74	
		TOTAL					391	33.19								787	66.81		1178	
																Elected				
																				
Eventide Home                                                  																				
	FIRST			27	3.66		255	34.55		34	4.61		17	2.30		405	54.88		738	
	SECOND			0	0.00		17	50.00			Excluded		4	11.76		13	38.24		34	
		TOTAL		27	3.66		272	36.86					21	2.85		418	56.64		738	
	THIRD			11	52.38		1	4.76						Excluded		9	42.86		21	
		TOTAL		38	5.15		273	36.99								427	57.86		738	
	FOURTH				Excluded		11	28.95								27	71.05		38	
		TOTAL					284	38.48								454	61.52		738	
																Elected				
																				
Freemasons Homes                                               																				
	FIRST			9	2.43		162	43.78		16	4.32		2	0.54		181	48.92		370	
	SECOND			1	6.25		12	75.00			Excluded		1	6.25		2	12.50		16	
		TOTAL		10	2.70		174	47.03					3	0.81		183	49.46		370	
	THIRD			0	0.00		2	66.67						Excluded		1	33.33		3	
		TOTAL		10	2.70		176	47.57								184	49.73		370	
	FOURTH				Excluded		7	70.00								3	30.00		10	
		TOTAL					183	49.46								187	50.54		370	
																Elected				
																				
Geebung                                                        																				
	FIRST			132	5.50		875	36.44		105	4.37		61	2.54		1228	51.15		2401	
	SECOND			11	10.48		62	59.05			Excluded		14	13.33		18	17.14		105	
		TOTAL		143	5.96		937	39.03					75	3.12		1246	51.90		2401	
	THIRD			39	52.00		12	16.00						Excluded		24	32.00		75	
		TOTAL		182	7.58		949	39.53								1270	52.89		2401	
	FOURTH				Excluded		65	35.71								117	64.29		182	
		TOTAL					1014	42.23								1387	57.77		2401	
																Elected				
																				
Gordon Park                                                    																				
	FIRST			115	6.66		698	40.42		41	2.37		75	4.34		798	46.21		1727	
	SECOND			7	17.07		18	43.90			Excluded		7	17.07		9	21.95		41	
		TOTAL		122	7.06		716	41.46					82	4.75		807	46.73		1727	
	THIRD			47	57.32		6	7.32						Excluded		29	35.37		82	
		TOTAL		169	9.79		722	41.81								836	48.41		1727	
	FOURTH				Excluded		54	31.95								115	68.05		169	
		TOTAL					776	44.93								951	55.07		1727	
																Elected				
																				
Hamilton                                                       																				
	FIRST			149	6.27		1398	58.79		61	2.57		91	3.83		679	28.55		2378	
	SECOND			13	21.31		21	34.43			Excluded		12	19.67		15	24.59		61	
		TOTAL		162	6.81		1419	59.67					103	4.33		694	29.18		2378	
	THIRD			57	55.34		13	12.62						Excluded		33	32.04		103	
		TOTAL		219	9.21		1432	60.22								727	30.57		2378	
	FOURTH				Excluded		75	34.25								144	65.75		219	
		TOTAL					1507	63.37								871	36.63		2378	
																Elected				
																				
Hendra                                                         																				
	FIRST			56	4.13		727	53.65		20	1.48		42	3.10		510	37.64		1355	
	SECOND			3	15.00		4	20.00			Excluded		5	25.00		8	40.00		20	
		TOTAL		59	4.35		731	53.95					47	3.47		518	38.23		1355	
	THIRD			20	42.55		8	17.02						Excluded		19	40.43		47	
		TOTAL		79	5.83		739	54.54								537	39.63		1355	
	FOURTH				Excluded		33	41.77								46	58.23		79	
		TOTAL					772	56.97								583	43.03		1355	
																Elected				
																				
Hendra East                                                    																				
	FIRST			46	5.16		362	40.63		28	3.14		29	3.25		426	47.81		891	
	SECOND			4	14.29		11	39.29			Excluded		4	14.29		9	32.14		28	
		TOTAL		50	5.61		373	41.86					33	3.70		435	48.82		891	
	THIRD			17	51.52		6	18.18						Excluded		10	30.30		33	
		TOTAL		67	7.52		379	42.54								445	49.94		891	
	FOURTH				Excluded		24	35.82								43	64.18		67	
		TOTAL					403	45.23								488	54.77		891	
																Elected				
																				
Kalinga                                                        																				
	FIRST			114	6.79		748	44.52		36	2.14		90	5.36		692	41.19		1680	
	SECOND			9	25.00		12	33.33			Excluded		2	5.56		13	36.11		36	
		TOTAL		123	7.32		760	45.24					92	5.48		705	41.96		1680	
	THIRD			50	54.35		12	13.04						Excluded		30	32.61		92	
		TOTAL		173	10.30		772	45.95								735	43.75		1680	
	FOURTH				Excluded		62	35.84								111	64.16		173	
		TOTAL					834	49.64								846	50.36		1680	
																Elected				
																				
Kedron                                                         																				
	FIRST			128	6.81		682	36.28		85	4.52		78	4.15		907	48.24		1880	
	SECOND			9	10.59		25	29.41			Excluded		13	15.29		38	44.71		85	
		TOTAL		137	7.29		707	37.61					91	4.84		945	50.27		1880	
	THIRD			39	42.86		18	19.78						Excluded		34	37.36		91	
		TOTAL		176	9.36		725	38.56								979	52.07		1880	
	FOURTH				Excluded		72	40.91								104	59.09		176	
		TOTAL					797	42.39								1083	57.61		1880	
																Elected				
																				
Kedron Heights                                                 																				
	FIRST			87	6.13		538	37.91		49	3.45		69	4.86		676	47.64		1419	
	SECOND			5	10.20		23	46.94			Excluded		10	20.41		11	22.45		49	
		TOTAL		92	6.48		561	39.53					79	5.57		687	48.41		1419	
	THIRD			38	48.10		15	18.99						Excluded		26	32.91		79	
		TOTAL		130	9.16		576	40.59								713	50.25		1419	
	FOURTH				Excluded		30	23.08								100	76.92		130	
		TOTAL					606	42.71								813	57.29		1419	
																Elected				
																				
Lutwyche                                                       																				
	FIRST			61	5.11		433	36.30		37	3.10		59	4.95		603	50.54		1193	
	SECOND			5	13.51		15	40.54			Excluded		11	29.73		6	16.22		37	
		TOTAL		66	5.53		448	37.55					70	5.87		609	51.05		1193	
	THIRD			34	48.57		11	15.71						Excluded		25	35.71		70	
		TOTAL		100	8.38		459	38.47								634	53.14		1193	
	FOURTH				Excluded		39	39.00								61	61.00		100	
		TOTAL					498	41.74								695	58.26		1193	
																Elected				
																				
Northgate                                                      																				
	FIRST			51	3.68		427	30.79		60	4.33		42	3.03		807	58.18		1387	
	SECOND			5	8.33		31	51.67			Excluded		9	15.00		15	25.00		60	
		TOTAL		56	4.04		458	33.02					51	3.68		822	59.26		1387	
	THIRD			25	49.02		8	15.69						Excluded		18	35.29		51	
		TOTAL		81	5.84		466	33.60								840	60.56		1387	
	FOURTH				Excluded		30	37.04								51	62.96		81	
		TOTAL					496	35.76								891	64.24		1387	
																Elected				
																				
Nudgee                                                         																				
	FIRST			32	3.43		283	30.33		45	4.82		35	3.75		538	57.66		933	
	SECOND			8	17.78		18	40.00			Excluded		12	26.67		7	15.56		45	
		TOTAL		40	4.29		301	32.26					47	5.04		545	58.41		933	
	THIRD			23	48.94		5	10.64						Excluded		19	40.43		47	
		TOTAL		63	6.75		306	32.80								564	60.45		933	
	FOURTH				Excluded		27	42.86								36	57.14		63	
		TOTAL					333	35.69								600	64.31		933	
																Elected				
																				
Nudgee Beach                                                   																				
	FIRST			6	3.11		45	23.32		7	3.63		8	4.15		127	65.80		193	
	SECOND			3	42.86		1	14.29			Excluded		1	14.29		2	28.57		7	
		TOTAL		9	4.66		46	23.83					9	4.66		129	66.84		193	
	THIRD			6	66.67		1	11.11						Excluded		2	22.22		9	
		TOTAL		15	7.77		47	24.35								131	67.88		193	
	FOURTH				Excluded		4	26.67								11	73.33		15	
		TOTAL					51	26.42								142	73.58		193	
																Elected				
																				
Nundah                                                         																				
	FIRST			234	7.82		1052	35.14		125	4.18		166	5.54		1417	47.33		2994	
	SECOND			15	12.00		53	42.40			Excluded		30	24.00		27	21.60		125	
		TOTAL		249	8.32		1105	36.91					196	6.55		1444	48.23		2994	
	THIRD			94	47.96		25	12.76						Excluded		77	39.29		196	
		TOTAL		343	11.46		1130	37.74								1521	50.80		2994	
	FOURTH				Excluded		113	32.94								230	67.06		343	
		TOTAL					1243	41.52								1751	58.48		2994	
																Elected				
																				
Nundah North                                                   																				
	FIRST			66	5.81		465	40.93		42	3.70		35	3.08		528	46.48		1136	
	SECOND			5	11.90		14	33.33			Excluded		12	28.57		11	26.19		42	
		TOTAL		71	6.25		479	42.17					47	4.14		539	47.45		1136	
	THIRD			23	48.94		5	10.64						Excluded		19	40.43		47	
		TOTAL		94	8.27		484	42.61								558	49.12		1136	
	FOURTH				Excluded		43	45.74								51	54.26		94	
		TOTAL					527	46.39								609	53.61		1136	
																Elected				
																				
Nundah West                                                    																				
	FIRST			68	4.71		685	47.47		32	2.22		40	2.77		618	42.83		1443	
	SECOND			3	9.38		10	31.25			Excluded		11	34.38		8	25.00		32	
		TOTAL		71	4.92		695	48.16					51	3.53		626	43.38		1443	
	THIRD			29	56.86		7	13.73						Excluded		15	29.41		51	
		TOTAL		100	6.93		702	48.65								641	44.42		1443	
	FOURTH				Excluded		43	43.00								57	57.00		100	
		TOTAL					745	51.63								698	48.37		1443	
																Elected				
																				
Pinkenba                                                       																				
	FIRST			7	3.10		73	32.30		8	3.54		4	1.77		134	59.29		226	
	SECOND			0	0.00		5	62.50			Excluded		3	37.50		0	0.00		8	
		TOTAL		7	3.10		78	34.51					7	3.10		134	59.29		226	
	THIRD			3	42.86		1	14.29						Excluded		3	42.86		7	
		TOTAL		10	4.42		79	34.96								137	60.62		226	
	FOURTH				Excluded		6	60.00								4	40.00		10	
		TOTAL					85	37.61								141	62.39		226	
																Elected				
																				
Sandgate                                                       																				
	FIRST			159	6.22		791	30.96		90	3.52		123	4.81		1392	54.48		2555	
	SECOND			13	14.44		27	30.00			Excluded		25	27.78		25	27.78		90	
		TOTAL		172	6.73		818	32.02					148	5.79		1417	55.46		2555	
	THIRD			67	45.27		19	12.84						Excluded		62	41.89		148	
		TOTAL		239	9.35		837	32.76								1479	57.89		2555	
	FOURTH				Excluded		67	28.03								172	71.97		239	
		TOTAL					904	35.38								1651	64.62		2555	
																Elected				
																				
Shorncliffe                                                    																				
	FIRST			72	5.29		470	34.56		49	3.60		105	7.72		664	48.82		1360	
	SECOND			5	10.20		23	46.94			Excluded		10	20.41		11	22.45		49	
		TOTAL		77	5.66		493	36.25					115	8.46		675	49.63		1360	
	THIRD			45	39.13		8	6.96						Excluded		62	53.91		115	
		TOTAL		122	8.97		501	36.84								737	54.19		1360	
	FOURTH				Excluded		37	30.33								85	69.67		122	
		TOTAL					538	39.56								822	60.44		1360	
																Elected				
																				
Somerset Hills (Lilley)                                        																				
	FIRST			24	8.54		110	39.15		6	2.14		11	3.91		130	46.26		281	
	SECOND			0	0.00		2	33.33			Excluded		2	33.33		2	33.33		6	
		TOTAL		24	8.54		112	39.86					13	4.63		132	46.98		281	
	THIRD			4	30.77		4	30.77						Excluded		5	38.46		13	
		TOTAL		28	9.96		116	41.28								137	48.75		281	
	FOURTH				Excluded		15	53.57								13	46.43		28	
		TOTAL					131	46.62								150	53.38		281	
																Elected				
																				
Stafford (Lilley)                                              																				
	FIRST			72	5.96		462	38.21		41	3.39		63	5.21		571	47.23		1209	
	SECOND			6	14.63		19	46.34			Excluded		8	19.51		8	19.51		41	
		TOTAL		78	6.45		481	39.78					71	5.87		579	47.89		1209	
	THIRD			31	43.66		8	11.27						Excluded		32	45.07		71	
		TOTAL		109	9.02		489	40.45								611	50.54		1209	
	FOURTH				Excluded		42	38.53								67	61.47		109	
		TOTAL					531	43.92								678	56.08		1209	
																Elected				
																				
Taigum (Lilley)                                                																				
	FIRST			85	5.03		640	37.87		62	3.67		37	2.19		866	51.24		1690	
	SECOND			7	11.29		28	45.16			Excluded		12	19.35		15	24.19		62	
		TOTAL		92	5.44		668	39.53					49	2.90		881	52.13		1690	
	THIRD			26	53.06		4	8.16						Excluded		19	38.78		49	
		TOTAL		118	6.98		672	39.76								900	53.25		1690	
	FOURTH				Excluded		46	38.98								72	61.02		118	
		TOTAL					718	42.49								972	57.51		1690	
																Elected				
																				
Virginia                                                       																				
	FIRST			127	6.25		757	37.25		74	3.64		66	3.25		1008	49.61		2032	
	SECOND			10	13.51		31	41.89			Excluded		19	25.68		14	18.92		74	
		TOTAL		137	6.74		788	38.78					85	4.18		1022	50.30		2032	
	THIRD			37	43.53		11	12.94						Excluded		37	43.53		85	
		TOTAL		174	8.56		799	39.32								1059	52.12		2032	
	FOURTH				Excluded		60	34.48								114	65.52		174	
		TOTAL					859	42.27								1173	57.73		2032	
																Elected				
																				
Wavell Heights                                                 																				
	FIRST			83	5.25		552	34.89		46	2.91		66	4.17		835	52.78		1582	
	SECOND			3	6.52		21	45.65			Excluded		15	32.61		7	15.22		46	
		TOTAL		86	5.44		573	36.22					81	5.12		842	53.22		1582	
	THIRD			44	54.32		14	17.28						Excluded		23	28.40		81	
		TOTAL		130	8.22		587	37.10								865	54.68		1582	
	FOURTH				Excluded		49	37.69								81	62.31		130	
		TOTAL					636	40.20								946	59.80		1582	
																Elected				
																				
Whinstanes                                                     																				
	FIRST			24	3.84		248	39.68		17	2.72		16	2.56		320	51.20		625	
	SECOND			3	17.65		7	41.18			Excluded		6	35.29		1	5.88		17	
		TOTAL		27	4.32		255	40.80					22	3.52		321	51.36		625	
	THIRD			9	40.91		4	18.18						Excluded		9	40.91		22	
		TOTAL		36	5.76		259	41.44								330	52.80		625	
	FOURTH				Excluded		12	33.33								24	66.67		36	
		TOTAL					271	43.36								354	56.64		625	
																Elected				
																				
Wooloowin                                                      																				
	FIRST			124	9.79		455	35.94		34	2.69		74	5.85		579	45.73		1266	
	SECOND			2	5.88		15	44.12			Excluded		6	17.65		11	32.35		34	
		TOTAL		126	9.95		470	37.12					80	6.32		590	46.60		1266	
	THIRD			31	38.75		11	13.75						Excluded		38	47.50		80	
		TOTAL		157	12.40		481	37.99								628	49.61		1266	
	FOURTH				Excluded		54	34.39								103	65.61		157	
		TOTAL					535	42.26								731	57.74		1266	
																Elected				
																				
Zillmere                                                       																				
	FIRST			101	5.92		606	35.54		64	3.75		55	3.23		879	51.55		1705	
	SECOND			9	14.06		34	53.13			Excluded		9	14.06		12	18.75		64	
		TOTAL		110	6.45		640	37.54					64	3.75		891	52.26		1705	
	THIRD			31	48.44		12	18.75						Excluded		21	32.81		64	
		TOTAL		141	8.27		652	38.24								912	53.49		1705	
	FOURTH				Excluded		53	37.59								88	62.41		141	
		TOTAL					705	41.35								1000	58.65		1705	
																Elected				
																				
Zillmere North                                                 																				
	FIRST			85	4.85		430	24.56		82	4.68		44	2.51		1110	63.39		1751	
	SECOND			12	14.63		41	50.00			Excluded		13	15.85		16	19.51		82	
		TOTAL		97	5.54		471	26.90					57	3.26		1126	64.31		1751	
	THIRD			36	63.16		4	7.02						Excluded		17	29.82		57	
		TOTAL		133	7.60		475	27.13								1143	65.28		1751	
	FOURTH				Excluded		51	38.35								82	61.65		133	
		TOTAL					526	30.04								1225	69.96		1751	
																Elected				
																				
Special Hospital Team 1                                        																				
	FIRST			2	1.11		107	59.44		0	0.00		0	0.00		71	39.44		180	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	1.11		107	59.44					0	0.00		71	39.44		180	
	THIRD			0	0.00		0	0.00						Excluded		0	0.00		0	
		TOTAL		2	1.11		107	59.44								71	39.44		180	
	FOURTH				Excluded		2	100.00								0	0.00		2	
		TOTAL					109	60.56								71	39.44		180	
																Elected				
																				
Special Hospital Team 2                                        																				
	FIRST			2	2.33		49	56.98		1	1.16		2	2.33		32	37.21		86	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		2	2.33		49	56.98					3	3.49		32	37.21		86	
	THIRD			2	66.67		0	0.00						Excluded		1	33.33		3	
		TOTAL		4	4.65		49	56.98								33	38.37		86	
	FOURTH				Excluded		4	100.00								0	0.00		4	
		TOTAL					53	61.63								33	38.37		86	
																Elected				
																				
Special Hospital Team 3                                        																				
	FIRST			7	5.26		66	49.62		2	1.50		0	0.00		58	43.61		133	
	SECOND			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		7	5.26		68	51.13					0	0.00		58	43.61		133	
	THIRD			0	0.00		0	0.00						Excluded		0	0.00		0	
		TOTAL		7	5.26		68	51.13								58	43.61		133	
	FOURTH				Excluded		5	71.43								2	28.57		7	
		TOTAL					73	54.89								60	45.11		133	
																Elected				
																				
ABSENT																				
	FIRST			487	8.82		2173	39.34		244	4.42		356	6.44		2264	40.98		5524	
	SECOND			35	14.34		77	31.56			Excluded		72	29.51		60	24.59		244	
		TOTAL		522	9.45		2250	40.73					428	7.75		2324	42.07		5524	
	THIRD			214	50.00		100	23.36						Excluded		114	26.64		428	
		TOTAL		736	13.32		2350	42.54								2438	44.13		5524	
	FOURTH				Excluded		313	42.53								423	57.47		736	
		TOTAL					2663	48.21								2861	51.79		5524	
																Elected				
																				
POSTAL																				
	FIRST			141	2.83		1923	38.61		150	3.01		94	1.89		2673	53.66		4981	
	SECOND			20	13.33		68	45.33			Excluded		25	16.67		37	24.67		150	
		TOTAL		161	3.23		1991	39.97					119	2.39		2710	54.41		4981	
	THIRD			57	47.90		13	10.92						Excluded		49	41.18		119	
		TOTAL		218	4.38		2004	40.23								2759	55.39		4981	
	FOURTH				Excluded		99	45.41								119	54.59		218	
		TOTAL					2103	42.22								2878	57.78		4981	
																Elected				
																				
PRE POLL																				
	FIRST			178	5.82		1389	45.45		123	4.02		138	4.52		1228	40.18		3056	
	SECOND			15	12.20		62	50.41			Excluded		21	17.07		25	20.33		123	
		TOTAL		193	6.32		1451	47.48					159	5.20		1253	41.00		3056	
	THIRD			87	54.72		21	13.21						Excluded		51	32.08		159	
		TOTAL		280	9.16		1472	48.17								1304	42.67		3056	
	FOURTH				Excluded		121	43.21								159	56.79		280	
		TOTAL					1593	52.13								1463	47.87		3056	
																Elected				
																				
PROVISIONAL																				
	FIRST			35	6.51		165	30.67		32	5.95		26	4.83		280	52.04		538	
	SECOND			8	25.00		11	34.38			Excluded		4	12.50		9	28.13		32	
		TOTAL		43	7.99		176	32.71					30	5.58		289	53.72		538	
	THIRD			17	56.67		4	13.33						Excluded		9	30.00		30	
		TOTAL		60	11.15		180	33.46								298	55.39		538	
	FOURTH				Excluded		27	45.00								33	55.00		60	
		TOTAL					207	38.48								331	61.52		538	
																Elected				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
