House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							
Griffith (92367)																																							
		ROOKE			MCMAHON			WILSON			VASTA			RENDELL			GRAHAM			# RUDD			FORMAL			INFORMAL			TOTAL										
		Joseph			Edmund Gavin			Rob			Ross			David			Ann			Kevin												Two Candidate Preferred							
					HAN			GRN			LP			DEM			NP			ALP												 VASTA LP			# RUDD ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Morningside	14	0.72		60	3.10		67	3.46		605	31.27		89	4.60		31	1.60		1069	55.25		1935	95.60		89	4.40		2024	2.31		729	37.67		1206	62.33
	Morningside State School	3	0.21		32	2.22		61	4.23		487	33.75		101	7.00		18	1.25		741	51.35		1443	95.18		73	4.82		1516	1.73		574	39.78		869	60.22
	Mount Gravatt (Griffith)	15	1.31		35	3.05		61	5.32		443	38.62		69	6.02		30	2.62		494	43.07		1147	95.34		56	4.66		1203	1.38		532	46.38		615	53.62			
	Mount Gravatt East	33	0.91		98	2.69		78	2.14		1338	36.72		151	4.14		95	2.61		1851	50.80		3644	94.85		198	5.15		3842	4.39		1552	42.59		2092	57.41			
	Mt Petrie (Griffith)	5	0.55		22	2.40		10	1.09		486	53.00		31	3.38		25	2.73		338	36.86		917	95.12		47	4.88		964	1.10		537	58.56		380	41.44			
	Mount Thompson	6	0.40		50	3.36		37	2.48		525	35.23		54	3.62		32	2.15		786	52.75		1490	95.82		65	4.18		1555	1.78		616	41.34		874	58.66			
	Murarrie	5	0.37		59	4.40		22	1.64		235	17.51		41	3.06		21	1.56		959	71.46		1342	94.57		77	5.43		1419	1.62		297	22.13		1045	77.87			
	Norman Creek	8	0.41		38	1.94		67	3.41		678	34.54		90	4.58		38	1.94		1044	53.18		1963	95.94		83	4.06		2046	2.34		777	39.58		1186	60.42			
	Norman Park	5	0.36		25	1.78		55	3.91		515	36.65		70	4.98		28	1.99		707	50.32		1405	97.77		32	2.23		1437	1.64		588	41.85		817	58.15			
	Regina Caeli	1	0.19		4	0.75		13	2.44		249	46.80		22	4.14		15	2.82		228	42.86		532	97.97		11	2.03		543	0.62		276	51.88		256	48.12			
	St James	8	0.67		23	1.92		48	4.02		446	37.32		70	5.86		30	2.51		570	47.70		1195	95.60		55	4.40		1250	1.43		523	43.77		672	56.23			
	Seven Hills College	7	0.48		20	1.38		46	3.17		479	32.99		82	5.65		33	2.27		785	54.06		1452	96.61		51	3.39		1503	1.72		557	38.36		895	61.64			
	Seville Road	9	0.69		40	3.07		31	2.38		333	25.58		74	5.68		24	1.84		791	60.75		1302	95.38		63	4.62		1365	1.56		408	31.34		894	68.66			
	Tingalpa	18	0.51		126	3.59		60	1.71		1064	30.30		116	3.30		51	1.45		2077	59.14		3512	95.18		178	4.82		3690	4.22		1270	36.16		2242	63.84			
	Wondall Heights (Griffith)	4	1.02		15	3.81		4	1.02		102	25.89		21	5.33		6	1.52		242	61.42		394	94.48		23	5.52		417	0.48		123	31.22		271	68.78			
	Special Hospitals	7	1.71		16	3.90		2	0.49		190	46.34		3	0.73		9	2.20		183	44.63		410	98.80		5	1.20		415	0.47		219	53.41		191	46.59			
	Total Ordinary	392	0.56		1735	2.49		2122	3.05		26702	38.32		3109	4.46		1276	1.83		34345	49.29		69681	95.61		3201	4.39		72882	83.32		30526	43.81		39155	56.19			
	ABSENT	100	1.70		216	3.66		332	5.63		2231	37.85		404	6.85		143	2.43		2469	41.88		5895	95.65		268	4.35		6163	7.05		2792	47.36		3103	52.64			
	POSTAL	20	0.41		174	3.54		76	1.55		1936	39.38		103	2.10		101	2.05		2506	50.98		4916	98.52		74	1.48		4990	5.70		2202	44.79		2714	55.21			
	PRE_POLL	30	1.05		80	2.81		106	3.72		1218	42.74		179	6.28		65	2.28		1172	41.12		2850	97.37		77	2.63		2927	3.35		1441	50.56		1409	49.44			
	PROVISIONAL	5	1.06		15	3.18		35	7.42		162	34.32		34	7.20		6	1.27		215	45.55		472	92.19		40	7.81		512	0.59		199	42.16		273	57.84			
	Division Summary	547	0.65		2220	2.65		2671	3.19		32249	38.48		3829	4.57		1591	1.90		40707	48.57		83814	95.82		3660	4.18		87474	94.70		37160	44.34		46654	55.66			
																																							
																																							
																																							
																																							
																																							
