House of Representatives - 2001 Election: Queensland																			
Distribution of Preferences 																			
By Polling Place																			
Forde																			
					SMITH			ELSON			DICKSON			NGAHOORO			CLYNE		
	SECOND			15	29.41		6	11.76		21	41.18		9	17.65			Excluded		51
		TOTAL		434	22.21		1193	61.05		76	3.89		251	12.85					1954
	THIRD			34	44.74		27	35.53			Excluded		15	19.74					76
		TOTAL		468	23.95		1220	62.44					266	13.61					1954
	FOURTH			142	53.38		124	46.62						Excluded					266
		TOTAL		610	31.22		1344	68.78											1954
							Elected												
																			
Brisbane City (Forde)                                          																			
	FIRST			24	29.27		44	53.66		11	13.41		1	1.22		2	2.44		82
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		25	30.49		44	53.66		11	13.41		2	2.44					82
	THIRD			6	54.55		4	36.36			Excluded		1	9.09					11
		TOTAL		31	37.80		48	58.54					3	3.66					82
	FOURTH			0	0.00		3	100.00						Excluded					3
		TOTAL		31	37.80		51	62.20											82
							Elected												
																			
Canowindra (Forde)                                             																			
	FIRST			462	27.92		961	58.07		74	4.47		121	7.31		37	2.24		1655
	SECOND			11	29.73		4	10.81		16	43.24		6	16.22			Excluded		37
		TOTAL		473	28.58		965	58.31		90	5.44		127	7.67					1655
	THIRD			39	43.33		30	33.33			Excluded		21	23.33					90
		TOTAL		512	30.94		995	60.12					148	8.94					1655
	FOURTH			77	52.03		71	47.97						Excluded					148
		TOTAL		589	35.59		1066	64.41											1655
							Elected												
																			
Canungra                                                       																			
	FIRST			236	21.07		647	57.77		38	3.39		144	12.86		55	4.91		1120
	SECOND			13	23.64		7	12.73		26	47.27		9	16.36			Excluded		55
		TOTAL		249	22.23		654	58.39		64	5.71		153	13.66					1120
	THIRD			29	45.31		22	34.38			Excluded		13	20.31					64
		TOTAL		278	24.82		676	60.36					166	14.82					1120
	FOURTH			81	48.80		85	51.20						Excluded					166
		TOTAL		359	32.05		761	67.95											1120
							Elected												
																			
Cedar Creek                                                    																			
	FIRST			99	26.05		201	52.89		19	5.00		43	11.32		18	4.74		380
	SECOND			2	11.11		1	5.56		12	66.67		3	16.67			Excluded		18
		TOTAL		101	26.58		202	53.16		31	8.16		46	12.11					380
	THIRD			18	58.06		9	29.03			Excluded		4	12.90					31
		TOTAL		119	31.32		211	55.53					50	13.16					380
	FOURTH			30	60.00		20	40.00						Excluded					50
		TOTAL		149	39.21		231	60.79											380
							Elected												
																			
Coomera (Forde)                                                																			
	FIRST			293	30.55		494	51.51		63	6.57		81	8.45		28	2.92		959
	SECOND			5	17.86		6	21.43		10	35.71		7	25.00			Excluded		28
		TOTAL		298	31.07		500	52.14		73	7.61		88	9.18					959
	THIRD			36	49.32		30	41.10			Excluded		7	9.59					73
		TOTAL		334	34.83		530	55.27					95	9.91					959
	FOURTH			48	50.53		47	49.47						Excluded					95
		TOTAL		382	39.83		577	60.17											959
							Elected												
																			
Cornubia (Forde)                                               																			
	FIRST			74	22.02		219	65.18		17	5.06		18	5.36		8	2.38		336
	SECOND			3	37.50		1	12.50		3	37.50		1	12.50			Excluded		8
		TOTAL		77	22.92		220	65.48		20	5.95		19	5.65					336
	THIRD			7	35.00		11	55.00			Excluded		2	10.00					20
		TOTAL		84	25.00		231	68.75					21	6.25					336
	FOURTH			9	42.86		12	57.14						Excluded					21
		TOTAL		93	27.68		243	72.32											336
							Elected												
																			
Eagleby                                                        																			
	FIRST			529	48.62		404	37.13		29	2.67		106	9.74		20	1.84		1088
	SECOND			8	40.00		3	15.00		6	30.00		3	15.00			Excluded		20
		TOTAL		537	49.36		407	37.41		35	3.22		109	10.02					1088
	THIRD			21	60.00		9	25.71			Excluded		5	14.29					35
		TOTAL		558	51.29		416	38.24					114	10.48					1088
	FOURTH			68	59.65		46	40.35						Excluded					114
		TOTAL		626	57.54		462	42.46											1088
							Elected												
																			
Eagleby South                                                  																			
	FIRST			1141	49.14		837	36.05		82	3.53		205	8.83		57	2.45		2322
	SECOND			14	24.56		12	21.05		13	22.81		18	31.58			Excluded		57
		TOTAL		1155	49.74		849	36.56		95	4.09		223	9.60					2322
	THIRD			48	50.53		24	25.26			Excluded		23	24.21					95
		TOTAL		1203	51.81		873	37.60					246	10.59					2322
	FOURTH			150	60.98		96	39.02						Excluded					246
		TOTAL		1353	58.27		969	41.73											2322
							Elected												
																			
Edens Landing                                                  																			
	FIRST			643	38.14		808	47.92		71	4.21		114	6.76		50	2.97		1686
	SECOND			15	30.00		9	18.00		14	28.00		12	24.00			Excluded		50
		TOTAL		658	39.03		817	48.46		85	5.04		126	7.47					1686
	THIRD			44	51.76		29	34.12			Excluded		12	14.12					85
		TOTAL		702	41.64		846	50.18					138	8.19					1686
	FOURTH			60	43.48		78	56.52						Excluded					138
		TOTAL		762	45.20		924	54.80											1686
							Elected												
																			
Flagstone                                                      																			
	FIRST			336	34.36		417	42.64		59	6.03		141	14.42		25	2.56		978
	SECOND			7	28.00		1	4.00		10	40.00		7	28.00			Excluded		25
		TOTAL		343	35.07		418	42.74		69	7.06		148	15.13					978
	THIRD			39	56.52		13	18.84			Excluded		17	24.64					69
		TOTAL		382	39.06		431	44.07					165	16.87					978
	FOURTH			101	61.21		64	38.79						Excluded					165
		TOTAL		483	49.39		495	50.61											978
							Elected												
																			
Greenbank                                                      																			
	FIRST			855	34.87		1102	44.94		124	5.06		295	12.03		76	3.10		2452
	SECOND			19	25.00		9	11.84		33	43.42		15	19.74			Excluded		76
		TOTAL		874	35.64		1111	45.31		157	6.40		310	12.64					2452
	THIRD			86	54.78		48	30.57			Excluded		23	14.65					157
		TOTAL		960	39.15		1159	47.27					333	13.58					2452
	FOURTH			200	60.06		133	39.94						Excluded					333
		TOTAL		1160	47.31		1292	52.69											2452
							Elected												
																			
Helensvale North (Forde)                                       																			
	FIRST			84	30.32		128	46.21		21	7.58		27	9.75		17	6.14		277
	SECOND			3	17.65		4	23.53		8	47.06		2	11.76			Excluded		17
		TOTAL		87	31.41		132	47.65		29	10.47		29	10.47					277
	THIRD			11	37.93		6	20.69			Excluded		12	41.38					29
		TOTAL		98	35.38		138	49.82					41	14.80					277
	FOURTH			14	34.15		27	65.85						Excluded					41
		TOTAL		112	40.43		165	59.57											277
							Elected												
																			
Hillview                                                       																			
	FIRST			27	18.12		88	59.06		7	4.70		23	15.44		4	2.68		149
	SECOND			1	25.00		0	0.00		3	75.00		0	0.00			Excluded		4
		TOTAL		28	18.79		88	59.06		10	6.71		23	15.44					149
	THIRD			5	50.00		3	30.00			Excluded		2	20.00					10
		TOTAL		33	22.15		91	61.07					25	16.78					149
	FOURTH			11	44.00		14	56.00						Excluded					25
		TOTAL		44	29.53		105	70.47											149
							Elected												
																			
Jimboomba                                                      																			
	FIRST			1523	32.19		2186	46.21		269	5.69		584	12.34		169	3.57		4731
	SECOND			25	14.79		21	12.43		89	52.66		34	20.12			Excluded		169
		TOTAL		1548	32.72		2207	46.65		358	7.57		618	13.06					4731
	THIRD			208	58.10		91	25.42			Excluded		59	16.48					358
		TOTAL		1756	37.12		2298	48.57					677	14.31					4731
	FOURTH			352	51.99		325	48.01						Excluded					677
		TOTAL		2108	44.56		2623	55.44											4731
							Elected												
																			
Kalbar                                                         																			
	FIRST			143	16.96		531	62.99		27	3.20		128	15.18		14	1.66		843
	SECOND			3	21.43		2	14.29		8	57.14		1	7.14			Excluded		14
		TOTAL		146	17.32		533	63.23		35	4.15		129	15.30					843
	THIRD			13	37.14		9	25.71			Excluded		13	37.14					35
		TOTAL		159	18.86		542	64.29					142	16.84					843
	FOURTH			69	48.59		73	51.41						Excluded					142
		TOTAL		228	27.05		615	72.95											843
							Elected												
																			
Kerry                                                          																			
	FIRST			29	12.55		174	75.32		8	3.46		16	6.93		4	1.73		231
	SECOND			1	25.00		1	25.00		1	25.00		1	25.00			Excluded		4
		TOTAL		30	12.99		175	75.76		9	3.90		17	7.36					231
	THIRD			5	55.56		3	33.33			Excluded		1	11.11					9
		TOTAL		35	15.15		178	77.06					18	7.79					231
	FOURTH			6	33.33		12	66.67						Excluded					18
		TOTAL		41	17.75		190	82.25											231
							Elected												
																			
Logan Reserve                                                  																			
	FIRST			359	32.02		574	51.20		35	3.12		125	11.15		28	2.50		1121
	SECOND			9	32.14		5	17.86		8	28.57		6	21.43			Excluded		28
		TOTAL		368	32.83		579	51.65		43	3.84		131	11.69					1121
	THIRD			17	39.53		17	39.53			Excluded		9	20.93					43
		TOTAL		385	34.34		596	53.17					140	12.49					1121
	FOURTH			74	52.86		66	47.14						Excluded					140
		TOTAL		459	40.95		662	59.05											1121
							Elected												
																			
Logan Village                                                  																			
	FIRST			868	32.24		1257	46.69		145	5.39		357	13.26		65	2.41		2692
	SECOND			11	16.92		12	18.46		27	41.54		15	23.08			Excluded		65
		TOTAL		879	32.65		1269	47.14		172	6.39		372	13.82					2692
	THIRD			96	55.81		40	23.26			Excluded		36	20.93					172
		TOTAL		975	36.22		1309	48.63					408	15.16					2692
	FOURTH			247	60.54		161	39.46						Excluded					408
		TOTAL		1222	45.39		1470	54.61											2692
							Elected												
																			
Loganholme (Forde)                                             																			
	FIRST			619	39.40		718	45.70		68	4.33		121	7.70		45	2.86		1571
	SECOND			10	22.22		6	13.33		18	40.00		11	24.44			Excluded		45
		TOTAL		629	40.04		724	46.09		86	5.47		132	8.40					1571
	THIRD			32	37.21		32	37.21			Excluded		22	25.58					86
		TOTAL		661	42.08		756	48.12					154	9.80					1571
	FOURTH			87	56.49		67	43.51						Excluded					154
		TOTAL		748	47.61		823	52.39											1571
							Elected												
																			
Loganlea                                                       																			
	FIRST			743	43.35		714	41.66		90	5.25		129	7.53		38	2.22		1714
	SECOND			7	18.42		9	23.68		15	39.47		7	18.42			Excluded		38
		TOTAL		750	43.76		723	42.18		105	6.13		136	7.93					1714
	THIRD			64	60.95		21	20.00			Excluded		20	19.05					105
		TOTAL		814	47.49		744	43.41					156	9.10					1714
	FOURTH			90	57.69		66	42.31						Excluded					156
		TOTAL		904	52.74		810	47.26											1714
							Elected												
																			
Marsden (Forde)                                                																			
	FIRST			619	47.84		421	32.53		54	4.17		156	12.06		44	3.40		1294
	SECOND			12	27.27		8	18.18		15	34.09		9	20.45			Excluded		44
		TOTAL		631	48.76		429	33.15		69	5.33		165	12.75					1294
	THIRD			34	49.28		22	31.88			Excluded		13	18.84					69
		TOTAL		665	51.39		451	34.85					178	13.76					1294
	FOURTH			101	56.74		77	43.26						Excluded					178
		TOTAL		766	59.20		528	40.80											1294
							Elected												
																			
Mount Alford                                                   																			
	FIRST			42	12.80		224	68.29		8	2.44		51	15.55		3	0.91		328
	SECOND			0	0.00		2	66.67		0	0.00		1	33.33			Excluded		3
		TOTAL		42	12.80		226	68.90		8	2.44		52	15.85					328
	THIRD			4	50.00		2	25.00			Excluded		2	25.00					8
		TOTAL		46	14.02		228	69.51					54	16.46					328
	FOURTH			24	44.44		30	55.56						Excluded					54
		TOTAL		70	21.34		258	78.66											328
							Elected												
																			
Mount Warren Park                                              																			
	FIRST			1227	36.87		1670	50.18		183	5.50		193	5.80		55	1.65		3328
	SECOND			15	27.27		9	16.36		23	41.82		8	14.55			Excluded		55
		TOTAL		1242	37.32		1679	50.45		206	6.19		201	6.04					3328
	THIRD			107	51.94		65	31.55			Excluded		34	16.50					206
		TOTAL		1349	40.53		1744	52.40					235	7.06					3328
	FOURTH			102	43.40		133	56.60						Excluded					235
		TOTAL		1451	43.60		1877	56.40											3328
							Elected												
																			
Nerang West (Forde)                                            																			
	FIRST			134	23.97		312	55.81		35	6.26		40	7.16		38	6.80		559
	SECOND			9	23.68		11	28.95		16	42.11		2	5.26			Excluded		38
		TOTAL		143	25.58		323	57.78		51	9.12		42	7.51					559
	THIRD			31	60.78		15	29.41			Excluded		5	9.80					51
		TOTAL		174	31.13		338	60.47					47	8.41					559
	FOURTH			25	53.19		22	46.81						Excluded					47
		TOTAL		199	35.60		360	64.40											559
							Elected												
																			
Numinbah Valley                                                																			
	FIRST			22	20.18		56	51.38		5	4.59		20	18.35		6	5.50		109
	SECOND			5	83.33		0	0.00		1	16.67		0	0.00			Excluded		6
		TOTAL		27	24.77		56	51.38		6	5.50		20	18.35					109
	THIRD			5	83.33		1	16.67			Excluded		0	0.00					6
		TOTAL		32	29.36		57	52.29					20	18.35					109
	FOURTH			9	45.00		11	55.00						Excluded					20
		TOTAL		41	37.61		68	62.39											109
							Elected												
																			
Oxenford                                                       																			
	FIRST			513	25.73		1172	58.78		91	4.56		156	7.82		62	3.11		1994
	SECOND			13	20.97		9	14.52		26	41.94		14	22.58			Excluded		62
		TOTAL		526	26.38		1181	59.23		117	5.87		170	8.53					1994
	THIRD			55	47.01		43	36.75			Excluded		19	16.24					117
		TOTAL		581	29.14		1224	61.38					189	9.48					1994
	FOURTH			95	50.26		94	49.74						Excluded					189
		TOTAL		676	33.90		1318	66.10											1994
							Elected												
																			
Pacific Pines                                                  																			
	FIRST			327	29.70		625	56.77		42	3.81		74	6.72		33	3.00		1101
	SECOND			3	9.09		3	9.09		17	51.52		10	30.30			Excluded		33
		TOTAL		330	29.97		628	57.04		59	5.36		84	7.63					1101
	THIRD			30	50.85		24	40.68			Excluded		5	8.47					59
		TOTAL		360	32.70		652	59.22					89	8.08					1101
	FOURTH			39	43.82		50	56.18						Excluded					89
		TOTAL		399	36.24		702	63.76											1101
							Elected												
																			
Park Ridge (Forde)                                             																			
	FIRST			795	36.15		1021	46.43		98	4.46		223	10.14		62	2.82		2199
	SECOND			20	32.26		8	12.90		18	29.03		16	25.81			Excluded		62
		TOTAL		815	37.06		1029	46.79		116	5.28		239	10.87					2199
	THIRD			56	48.28		38	32.76			Excluded		22	18.97					116
		TOTAL		871	39.61		1067	48.52					261	11.87					2199
	FOURTH			142	54.41		119	45.59						Excluded					261
		TOTAL		1013	46.07		1186	53.93											2199
							Elected												
																			
Pimpama                                                        																			
	FIRST			60	19.23		209	66.99		13	4.17		17	5.45		13	4.17		312
	SECOND			5	38.46		2	15.38		5	38.46		1	7.69			Excluded		13
		TOTAL		65	20.83		211	67.63		18	5.77		18	5.77					312
	THIRD			9	50.00		7	38.89			Excluded		2	11.11					18
		TOTAL		74	23.72		218	69.87					20	6.41					312
	FOURTH			6	30.00		14	70.00						Excluded					20
		TOTAL		80	25.64		232	74.36											312
							Elected												
																			
Rathdowney                                                     																			
	FIRST			68	17.09		205	51.51		13	3.27		105	26.38		7	1.76		398
	SECOND			2	28.57		0	0.00		4	57.14		1	14.29			Excluded		7
		TOTAL		70	17.59		205	51.51		17	4.27		106	26.63					398
	THIRD			10	58.82		2	11.76			Excluded		5	29.41					17
		TOTAL		80	20.10		207	52.01					111	27.89					398
	FOURTH			57	51.35		54	48.65						Excluded					111
		TOTAL		137	34.42		261	65.58											398
							Elected												
																			
Roadvale                                                       																			
	FIRST			61	16.99		226	62.95		4	1.11		57	15.88		11	3.06		359
	SECOND			2	18.18		0	0.00		6	54.55		3	27.27			Excluded		11
		TOTAL		63	17.55		226	62.95		10	2.79		60	16.71					359
	THIRD			4	40.00		2	20.00			Excluded		4	40.00					10
		TOTAL		67	18.66		228	63.51					64	17.83					359
	FOURTH			42	65.63		22	34.38						Excluded					64
		TOTAL		109	30.36		250	69.64											359
							Elected												
																			
Shailer Park (Forde)                                           																			
	FIRST			185	30.48		356	58.65		24	3.95		25	4.12		17	2.80		607
	SECOND			4	23.53		2	11.76		6	35.29		5	29.41			Excluded		17
		TOTAL		189	31.14		358	58.98		30	4.94		30	4.94					607
	THIRD			9	30.00		13	43.33			Excluded		8	26.67					30
		TOTAL		198	32.62		371	61.12					38	6.26					607
	FOURTH			11	28.95		27	71.05						Excluded					38
		TOTAL		209	34.43		398	65.57											607
							Elected												
																			
St. Bernard                                                    																			
	FIRST			214	24.37		526	59.91		47	5.35		56	6.38		35	3.99		878
	SECOND			10	28.57		3	8.57		19	54.29		3	8.57			Excluded		35
		TOTAL		224	25.51		529	60.25		66	7.52		59	6.72					878
	THIRD			36	54.55		19	28.79			Excluded		11	16.67					66
		TOTAL		260	29.61		548	62.41					70	7.97					878
	FOURTH			27	38.57		43	61.43						Excluded					70
		TOTAL		287	32.69		591	67.31											878
							Elected												
																			
Studio Village                                                 																			
	FIRST			640	33.09		995	51.45		98	5.07		154	7.96		47	2.43		1934
	SECOND			15	31.91		7	14.89		18	38.30		7	14.89			Excluded		47
		TOTAL		655	33.87		1002	51.81		116	6.00		161	8.32					1934
	THIRD			65	56.03		38	32.76			Excluded		13	11.21					116
		TOTAL		720	37.23		1040	53.77					174	9.00					1934
	FOURTH			108	62.07		66	37.93						Excluded					174
		TOTAL		828	42.81		1106	57.19											1934
							Elected												
																			
Tamborine                                                      																			
	FIRST			313	29.47		495	46.61		56	5.27		156	14.69		42	3.95		1062
	SECOND			15	35.71		5	11.90		14	33.33		8	19.05			Excluded		42
		TOTAL		328	30.89		500	47.08		70	6.59		164	15.44					1062
	THIRD			36	51.43		18	25.71			Excluded		16	22.86					70
		TOTAL		364	34.27		518	48.78					180	16.95					1062
	FOURTH			94	52.22		86	47.78						Excluded					180
		TOTAL		458	43.13		604	56.87											1062
							Elected												
																			
Tamborine North                                                																			
	FIRST			567	26.92		1104	52.42		133	6.32		175	8.31		127	6.03		2106
	SECOND			29	22.83		16	12.60		62	48.82		20	15.75			Excluded		127
		TOTAL		596	28.30		1120	53.18		195	9.26		195	9.26					2106
	THIRD			134	68.72		45	23.08			Excluded		16	8.21					195
		TOTAL		730	34.66		1165	55.32					211	10.02					2106
	FOURTH			122	57.82		89	42.18						Excluded					211
		TOTAL		852	40.46		1254	59.54											2106
							Elected												
																			
Tamrookum                                                      																			
	FIRST			137	21.31		402	62.52		19	2.95		71	11.04		14	2.18		643
	SECOND			3	21.43		1	7.14		7	50.00		3	21.43			Excluded		14
		TOTAL		140	21.77		403	62.67		26	4.04		74	11.51					643
	THIRD			14	53.85		7	26.92			Excluded		5	19.23					26
		TOTAL		154	23.95		410	63.76					79	12.29					643
	FOURTH			42	53.16		37	46.84						Excluded					79
		TOTAL		196	30.48		447	69.52											643
							Elected												
																			
Upper Coomera                                                  																			
	FIRST			265	22.16		692	57.86		51	4.26		137	11.45		51	4.26		1196
	SECOND			20	39.22		8	15.69		12	23.53		11	21.57			Excluded		51
		TOTAL		285	23.83		700	58.53		63	5.27		148	12.37					1196
	THIRD			30	47.62		27	42.86			Excluded		6	9.52					63
		TOTAL		315	26.34		727	60.79					154	12.88					1196
	FOURTH			92	59.74		62	40.26						Excluded					154
		TOTAL		407	34.03		789	65.97											1196
							Elected												
																			
Waterford                                                      																			
	FIRST			138	35.94		186	48.44		12	3.13		37	9.64		11	2.86		384
	SECOND			4	36.36		3	27.27		2	18.18		2	18.18			Excluded		11
		TOTAL		142	36.98		189	49.22		14	3.65		39	10.16					384
	THIRD			6	42.86		7	50.00			Excluded		1	7.14					14
		TOTAL		148	38.54		196	51.04					40	10.42					384
	FOURTH			19	47.50		21	52.50						Excluded					40
		TOTAL		167	43.49		217	56.51											384
							Elected												
																			
Waterford West                                                 																			
	FIRST			1124	43.48		1045	40.43		131	5.07		220	8.51		65	2.51		2585
	SECOND			15	23.08		6	9.23		29	44.62		15	23.08			Excluded		65
		TOTAL		1139	44.06		1051	40.66		160	6.19		235	9.09					2585
	THIRD			90	56.25		46	28.75			Excluded		24	15.00					160
		TOTAL		1229	47.54		1097	42.44					259	10.02					2585
	FOURTH			150	57.92		109	42.08						Excluded					259
		TOTAL		1379	53.35		1206	46.65											2585
							Elected												
																			
Windaroo                                                       																			
	FIRST			598	29.30		1204	58.99		83	4.07		108	5.29		48	2.35		2041
	SECOND			9	18.75		9	18.75		20	41.67		10	20.83			Excluded		48
		TOTAL		607	29.74		1213	59.43		103	5.05		118	5.78					2041
	THIRD			55	53.40		36	34.95			Excluded		12	11.65					103
		TOTAL		662	32.44		1249	61.20					130	6.37					2041
	FOURTH			57	43.85		73	56.15						Excluded					130
		TOTAL		719	35.23		1322	64.77											2041
							Elected												
																			
Woodhill                                                       																			
	FIRST			220	25.67		481	56.13		28	3.27		114	13.30		14	1.63		857
	SECOND			2	14.29		2	14.29		6	42.86		4	28.57			Excluded		14
		TOTAL		222	25.90		483	56.36		34	3.97		118	13.77					857
	THIRD			16	47.06		10	29.41			Excluded		8	23.53					34
		TOTAL		238	27.77		493	57.53					126	14.70					857
	FOURTH			58	46.03		68	53.97						Excluded					126
		TOTAL		296	34.54		561	65.46											857
							Elected												
																			
Special Hospital Team 1                                        																			
	FIRST			13	46.43		14	50.00		1	3.57		0	0.00		0	0.00		28
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		13	46.43		14	50.00		1	3.57		0	0.00					28
	THIRD			0	0.00		1	100.00			Excluded		0	0.00					1
		TOTAL		13	46.43		15	53.57					0	0.00					28
	FOURTH			0	0.00		0	0.00						Excluded					0
		TOTAL		13	46.43		15	53.57											28
							Elected												
																			
Special Hospital Team 2                                        																			
	FIRST			42	48.84		38	44.19		5	5.81		1	1.16		0	0.00		86
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		42	48.84		38	44.19		5	5.81		1	1.16					86
	THIRD			2	40.00		3	60.00			Excluded		0	0.00					5
		TOTAL		44	51.16		41	47.67					1	1.16					86
	FOURTH			1	100.00		0	0.00						Excluded					1
		TOTAL		45	52.33		41	47.67											86
							Elected												
																			
Special Hospital Team 3                                        																			
	FIRST			31	25.83		81	67.50		3	2.50		4	3.33		1	0.83		120
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		31	25.83		82	68.33		3	2.50		4	3.33					120
	THIRD			2	66.67		1	33.33			Excluded		0	0.00					3
		TOTAL		33	27.50		83	69.17					4	3.33					120
	FOURTH			3	75.00		1	25.00						Excluded					4
		TOTAL		36	30.00		84	70.00											120
							Elected												
																			
ABSENT																			
	FIRST			1586	31.49		2357	46.80		355	7.05		485	9.63		253	5.02		5036
	SECOND			60	23.72		42	16.60		112	44.27		39	15.42			Excluded		253
		TOTAL		1646	32.68		2399	47.64		467	9.27		524	10.41					5036
	THIRD			215	46.04		166	35.55			Excluded		86	18.42					467
		TOTAL		1861	36.95		2565	50.93					610	12.11					5036
	FOURTH			249	40.82		361	59.18						Excluded					610
		TOTAL		2110	41.90		2926	58.10											5036
							Elected												
																			
POSTAL																			
	FIRST			1189	34.16		1808	51.94		146	4.19		266	7.64		72	2.07		3481
	SECOND			14	19.44		8	11.11		38	52.78		12	16.67			Excluded		72
		TOTAL		1203	34.56		1816	52.17		184	5.29		278	7.99					3481
	THIRD			96	52.17		55	29.89			Excluded		33	17.93					184
		TOTAL		1299	37.32		1871	53.75					311	8.93					3481
	FOURTH			121	38.91		190	61.09						Excluded					311
		TOTAL		1420	40.79		2061	59.21											3481
							Elected												
																			
PRE POLL																			
	FIRST			844	32.07		1333	50.65		127	4.83		230	8.74		98	3.72		2632
	SECOND			26	26.53		15	15.31		41	41.84		16	16.33			Excluded		98
		TOTAL		870	33.05		1348	51.22		168	6.38		246	9.35					2632
	THIRD			90	53.57		55	32.74			Excluded		23	13.69					168
		TOTAL		960	36.47		1403	53.31					269	10.22					2632
	FOURTH			114	42.38		155	57.62						Excluded					269
		TOTAL		1074	40.81		1558	59.19											2632
							Elected												
																			
PROVISIONAL																			
	FIRST			236	39.33		240	40.00		31	5.17		70	11.67		23	3.83		600
	SECOND			5	21.74		8	34.78		6	26.09		4	17.39			Excluded		23
		TOTAL		241	40.17		248	41.33		37	6.17		74	12.33					600
	THIRD			16	43.24		10	27.03			Excluded		11	29.73					37
		TOTAL		257	42.83		258	43.00					85	14.17					600
	FOURTH			39	45.88		46	54.12						Excluded					85
		TOTAL		296	49.33		304	50.67											600
							Elected												
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
