Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Dawson (87405)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Bowen		7	0.31		1073	47.27		1	0.04		471	20.75		36	1.59		45	1.98		23	1.01		0	0.00		310	13.66		202	8.90		26	1.15		75	3.30		1	0.04		2270	95.50		107	4.50		2377	2.86
Bowen Hospital		2	0.74		131	48.16		0	0.00		47	17.28		0	0.00		8	2.94		8	2.94		0	0.00		34	12.50		31	11.40		5	1.84		6	2.21		0	0.00		272	97.84		6	2.16		278	0.33
Brandon		1	0.12		232	28.16		1	0.12		210	25.49		4	0.49		16	1.94		13	1.58		1	0.12		117	14.20		191	23.18		13	1.58		24	2.91		1	0.12		824	97.40		22	2.60		846	1.02
Brisbane City (Dawson)		0	0.00		17	22.37		0	0.00		15	19.74		0	0.00		2	2.63		4	5.26		1	1.32		2	2.63		21	27.63		0	0.00		14	18.42		0	0.00		76	98.70		1	1.30		77	0.09
Bucasia		2	0.14		540	36.46		1	0.07		311	21.00		11	0.74		69	4.66		22	1.49		1	0.07		146	9.86		232	15.67		21	1.42		124	8.37		1	0.07		1481	96.42		55	3.58		1536	1.85
Calen		0	0.00		131	25.34		1	0.19		214	41.39		3	0.58		11	2.13		5	0.97		0	0.00		83	16.05		40	7.74		7	1.35		21	4.06		1	0.19		517	94.69		29	5.31		546	0.66
Canberra Street		4	0.56		321	45.34		1	0.14		128	18.08		6	0.85		14	1.98		11	1.55		1	0.14		89	12.57		82	11.58		10	1.41		41	5.79		0	0.00		708	97.93		15	2.07		723	0.87
Cannonvale Beach		5	0.19		745	28.01		3	0.11		666	25.04		21	0.79		105	3.95		68	2.56		2	0.08		210	7.89		625	23.50		27	1.02		181	6.80		2	0.08		2660	96.90		85	3.10		2745	3.30
Carmila		0	0.00		64	27.83		0	0.00		80	34.78		1	0.43		3	1.30		5	2.17		1	0.43		49	21.30		18	7.83		2	0.87		7	3.04		0	0.00		230	99.14		2	0.86		232	0.28
Chelona		0	0.00		109	24.89		0	0.00		193	44.06		4	0.91		3	0.68		3	0.68		1	0.23		73	16.67		35	7.99		4	0.91		12	2.74		1	0.23		438	94.81		24	5.19		462	0.56
Clare		0	0.00		35	12.96		0	0.00		114	42.22		2	0.74		2	0.74		0	0.00		1	0.37		25	9.26		87	32.22		2	0.74		2	0.74		0	0.00		270	98.54		4	1.46		274	0.33
Coningsby		1	0.15		173	25.82		0	0.00		271	40.45		4	0.60		22	3.28		8	1.19		2	0.30		85	12.69		68	10.15		8	1.19		28	4.18		0	0.00		670	96.40		25	3.60		695	0.84
Conway Beach		1	0.53		50	26.32		0	0.00		85	44.74		0	0.00		8	4.21		1	0.53		1	0.53		17	8.95		18	9.47		4	2.11		5	2.63		0	0.00		190	95.48		9	4.52		199	0.24
Cunningham Home		1	0.25		169	41.94		0	0.00		127	31.51		5	1.24		3	0.74		2	0.50		0	0.00		41	10.17		33	8.19		7	1.74		15	3.72		0	0.00		403	96.64		14	3.36		417	0.50
Dundula		3	0.43		307	43.86		5	0.71		161	23.00		5	0.71		5	0.71		8	1.14		3	0.43		117	16.71		53	7.57		14	2.00		19	2.71		0	0.00		700	95.76		31	4.24		731	0.88
East Ayr		12	0.67		574	32.07		1	0.06		273	15.25		22	1.23		14	0.78		19	1.06		3	0.17		251	14.02		527	29.44		29	1.62		65	3.63		0	0.00		1790	94.71		100	5.29		1890	2.27
Eimeo		5	0.20		845	33.81		3	0.12		629	25.17		13	0.52		80	3.20		35	1.40		2	0.08		243	9.72		451	18.05		25	1.00		165	6.60		3	0.12		2499	97.12		74	2.88		2573	3.09
Emmanuel		4	0.26		473	30.30		3	0.19		491	31.45		10	0.64		31	1.99		13	0.83		0	0.00		157	10.06		237	15.18		26	1.67		116	7.43		0	0.00		1561	97.14		46	2.86		1607	1.93
Eton		2	0.41		131	26.79		1	0.20		178	36.40		0	0.00		10	2.04		8	1.64		1	0.20		81	16.56		47	9.61		10	2.04		19	3.89		1	0.20		489	98.99		5	1.01		494	0.59
Eungella		1	0.53		41	21.58		0	0.00		52	27.37		2	1.05		11	5.79		6	3.16		2	1.05		40	21.05		17	8.95		2	1.05		16	8.42		0	0.00		190	97.94		4	2.06		194	0.23
Farleigh		1	0.23		136	30.84		0	0.00		149	33.79		2	0.45		17	3.85		11	2.49		0	0.00		54	12.24		43	9.75		5	1.13		23	5.22		0	0.00		441	95.87		19	4.13		460	0.55
Finch Hatton		1	0.35		102	35.42		3	1.04		96	33.33		2	0.69		10	3.47		5	1.74		0	0.00		36	12.50		19	6.60		5	1.74		9	3.13		0	0.00		288	96.97		9	3.03		297	0.36
Fitzgerald		5	0.24		758	35.89		4	0.19		529	25.05		27	1.28		57	2.70		30	1.42		3	0.14		234	11.08		298	14.11		32	1.52		135	6.39		0	0.00		2112	98.55		31	1.45		2143	2.58
Gargett		0	0.00		54	14.63		2	0.54		215	58.27		2	0.54		6	1.63		3	0.81		0	0.00		56	15.18		22	5.96		5	1.36		3	0.81		1	0.27		369	94.86		20	5.14		389	0.47
Giru		1	0.18		124	22.71		1	0.18		156	28.57		4	0.73		3	0.55		6	1.10		0	0.00		94	17.22		131	23.99		8	1.47		16	2.93		2	0.37		546	95.45		26	4.55		572	0.69
Glenella		3	0.30		300	29.76		2	0.20		321	31.85		6	0.60		23	2.28		12	1.19		1	0.10		115	11.41		151	14.98		11	1.09		61	6.05		2	0.20		1008	98.63		14	1.37		1022	1.23
Goose Ponds		9	0.66		560	41.27		3	0.22		324	23.88		12	0.88		33	2.43		12	0.88		1	0.07		178	13.12		150	11.05		18	1.33		57	4.20		0	0.00		1357	96.31		52	3.69		1409	1.69
Gumlu		2	1.43		41	29.29		0	0.00		47	33.57		1	0.71		1	0.71		0	0.00		1	0.71		10	7.14		28	20.00		6	4.29		3	2.14		0	0.00		140	95.24		7	4.76		147	0.18
Habana		3	0.77		93	23.85		2	0.51		139	35.64		1	0.26		11	2.82		6	1.54		0	0.00		66	16.92		49	12.56		7	1.79		13	3.33		0	0.00		390	95.59		18	4.41		408	0.49
Hampden		3	0.64		129	27.45		3	0.64		142	30.21		1	0.21		12	2.55		5	1.06		0	0.00		98	20.85		49	10.43		1	0.21		26	5.53		1	0.21		470	96.51		17	3.49		487	0.59
Homebush		0	0.00		69	21.23		1	0.31		153	47.08		1	0.31		7	2.15		7	2.15		0	0.00		56	17.23		20	6.15		4	1.23		7	2.15		0	0.00		325	95.87		14	4.13		339	0.41
Homefield		6	0.63		374	39.49		1	0.11		295	31.15		5	0.53		18	1.90		15	1.58		1	0.11		70	7.39		93	9.82		17	1.80		52	5.49		0	0.00		947	95.75		42	4.25		989	1.19
Home Hill		9	0.45		546	27.52		3	0.15		664	33.47		18	0.91		22	1.11		17	0.86		1	0.05		301	15.17		305	15.37		40	2.02		58	2.92		0	0.00		1984	94.66		112	5.34		2096	2.52
Inkerman		0	0.00		24	13.79		0	0.00		73	41.95		1	0.57		0	0.00		0	0.00		0	0.00		19	10.92		50	28.74		4	2.30		3	1.72		0	0.00		174	98.86		2	1.14		176	0.21
Jarvisfield		3	0.92		44	13.46		0	0.00		97	29.66		0	0.00		5	1.53		3	0.92		1	0.31		44	13.46		120	36.70		6	1.83		4	1.22		0	0.00		327	94.24		20	5.76		347	0.42
Kalamia		0	0.00		103	27.47		0	0.00		77	20.53		0	0.00		4	1.07		2	0.53		0	0.00		62	16.53		110	29.33		4	1.07		13	3.47		0	0.00		375	97.66		9	2.34		384	0.46
Koumala		2	0.41		109	22.34		0	0.00		192	39.34		4	0.82		7	1.43		3	0.61		0	0.00		126	25.82		21	4.30		7	1.43		17	3.48		0	0.00		488	97.41		13	2.59		501	0.60
Mackay		6	0.57		412	39.16		1	0.10		230	21.86		5	0.48		47	4.47		23	2.19		2	0.19		110	10.46		138	13.12		15	1.43		61	5.80		2	0.19		1052	96.43		39	3.57		1091	1.31
Mackay East		3	0.60		209	42.14		0	0.00		123	24.80		2	0.40		12	2.42		4	0.81		0	0.00		62	12.50		51	10.28		8	1.61		22	4.44		0	0.00		496	98.02		10	1.98		506	0.61
Mackay Hospital		0	0.00		197	38.55		1	0.20		137	26.81		2	0.39		13	2.54		11	2.15		2	0.39		53	10.37		55	10.76		6	1.17		34	6.65		0	0.00		511	97.52		13	2.48		524	0.63
Mackay Mater Hospital		2	0.38		171	32.26		1	0.19		145	27.36		4	0.75		18	3.40		3	0.57		2	0.38		47	8.87		84	15.85		4	0.75		48	9.06		1	0.19		530	96.19		21	3.81		551	0.66
Mackay South		15	0.56		1130	41.96		6	0.22		577	21.43		11	0.41		74	2.75		66	2.45		1	0.04		298	11.07		331	12.29		53	1.97		129	4.79		2	0.07		2693	96.42		100	3.58		2793	3.36
Mackay West		13	0.63		746	36.35		6	0.29		553	26.95		14	0.68		61	2.97		33	1.61		3	0.15		205	9.99		247	12.04		27	1.32		142	6.92		2	0.10		2052	97.21		59	2.79		2111	2.54
Marian		1	0.13		240	31.05		2	0.26		277	35.83		5	0.65		19	2.46		7	0.91		1	0.13		106	13.71		77	9.96		8	1.03		29	3.75		1	0.13		773	97.48		20	2.52		793	0.95
Merinda		1	0.22		181	39.18		2	0.43		151	32.68		0	0.00		7	1.52		9	1.95		0	0.00		65	14.07		25	5.41		5	1.08		15	3.25		1	0.22		462	96.25		18	3.75		480	0.58
Millaroo		0	0.00		8	7.41		1	0.93		53	49.07		0	0.00		0	0.00		0	0.00		0	0.00		14	12.96		26	24.07		4	3.70		2	1.85		0	0.00		108	95.58		5	4.42		113	0.14
Mirani		2	0.25		239	29.43		2	0.25		296	36.45		4	0.49		12	1.48		13	1.60		1	0.12		124	15.27		80	9.85		7	0.86		32	3.94		0	0.00		812	98.42		13	1.58		825	0.99
Mount Julian		2	0.78		68	26.56		1	0.39		95	37.11		0	0.00		5	1.95		10	3.91		1	0.39		28	10.94		35	13.67		3	1.17		8	3.13		0	0.00		256	94.81		14	5.19		270	0.32
Mount Ossa		0	0.00		28	15.64		1	0.56		98	54.75		1	0.56		4	2.23		2	1.12		0	0.00		31	17.32		12	6.70		0	0.00		2	1.12		0	0.00		179	97.28		5	2.72		184	0.22
Nebo Road		6	0.58		306	29.34		2	0.19		355	34.04		4	0.38		32	3.07		15	1.44		2	0.19		100	9.59		141	13.52		31	2.97		49	4.70		0	0.00		1043	98.03		21	1.97		1064	1.28
North Eton		0	0.00		39	25.32		1	0.65		64	41.56		0	0.00		3	1.95		3	1.95		0	0.00		19	12.34		15	9.74		2	1.30		8	5.19		0	0.00		154	98.09		3	1.91		157	0.19
North Mackay		3	0.39		292	38.22		3	0.39		172	22.51		12	1.57		22	2.88		12	1.57		1	0.13		106	13.87		77	10.08		10	1.31		54	7.07		0	0.00		764	96.22		30	3.78		794	0.95
Oakenden		0	0.00		16	19.05		0	0.00		40	47.62		0	0.00		3	3.57		0	0.00		0	0.00		10	11.90		6	7.14		2	2.38		7	8.33		0	0.00		84	95.45		4	4.55		88	0.11
Osborne		2	0.95		18	8.57		0	0.00		128	60.95		0	0.00		0	0.00		0	0.00		0	0.00		29	13.81		24	11.43		2	0.95		7	3.33		0	0.00		210	93.33		15	6.67		225	0.27
Parkside		1	0.20		165	32.67		0	0.00		80	15.84		9	1.78		10	1.98		7	1.39		1	0.20		62	12.28		150	29.70		7	1.39		13	2.57		0	0.00		505	97.30		14	2.70		519	0.62
Pioneer		7	0.49		570	39.50		2	0.14		358	24.81		23	1.59		33	2.29		15	1.04		2	0.14		130	9.01		199	13.79		19	1.32		84	5.82		1	0.07		1443	97.37		39	2.63		1482	1.78
Planlands		3	0.36		303	36.64		0	0.00		291	35.19		2	0.24		12	1.45		5	0.60		3	0.36		91	11.00		80	9.67		6	0.73		31	3.75		0	0.00		827	95.28		41	4.72		868	1.04
Proserpine		11	0.50		683	31.30		3	0.14		732	33.55		19	0.87		40	1.83		27	1.24		1	0.05		296	13.57		254	11.64		25	1.15		90	4.12		1	0.05		2182	95.45		104	4.55		2286	2.75
Proserpine Hospital		1	0.14		214	31.01		2	0.29		261	37.83		4	0.58		20	2.90		7	1.01		1	0.14		70	10.14		69	10.00		10	1.45		31	4.49		0	0.00		690	96.77		23	3.23		713	0.86
Queens Beach		4	0.38		448	42.91		3	0.29		254	24.33		34	3.26		23	2.20		18	1.72		1	0.10		130	12.45		82	7.85		11	1.05		35	3.35		1	0.10		1044	95.26		52	4.74		1096	1.32
Racecourse		1	0.29		88	25.73		1	0.29		168	49.12		1	0.29		3	0.88		4	1.17		0	0.00		26	7.60		36	10.53		5	1.46		8	2.34		1	0.29		342	95.00		18	5.00		360	0.43
Sarina Beach		0	0.00		132	35.20		0	0.00		99	26.40		0	0.00		10	2.67		3	0.80		0	0.00		53	14.13		50	13.33		7	1.87		20	5.33		1	0.27		375	98.43		6	1.57		381	0.46
Sarina Central		11	0.48		970	42.03		15	0.65		543	23.53		12	0.52		50	2.17		28	1.21		5	0.22		352	15.25		191	8.28		45	1.95		83	3.60		3	0.13		2308	96.37		87	3.63		2395	2.88
Sarina East		1	0.21		215	44.70		2	0.42		100	20.79		9	1.87		7	1.46		6	1.25		0	0.00		66	13.72		42	8.73		10	2.08		22	4.57		1	0.21		481	95.44		23	4.56		504	0.61
Sarina Range		0	0.00		21	19.27		0	0.00		31	28.44		0	0.00		3	2.75		5	4.59		0	0.00		31	28.44		11	10.09		1	0.92		6	5.50		0	0.00		109	100.00		0	0.00		109	0.13
Seaforth		4	0.53		245	32.36		1	0.13		247	32.63		5	0.66		20	2.64		5	0.66		1	0.13		138	18.23		64	8.45		2	0.26		24	3.17		1	0.13		757	93.92		49	6.08		806	0.97
Shinfield		0	0.00		69	27.49		0	0.00		69	27.49		2	0.80		4	1.59		7	2.79		1	0.40		58	23.11		23	9.16		4	1.59		13	5.18		1	0.40		251	96.17		10	3.83		261	0.31
Slade Point		5	0.28		760	42.79		6	0.34		363	20.44		10	0.56		57	3.21		43	2.42		1	0.06		207	11.66		203	11.43		21	1.18		98	5.52		2	0.11		1776	97.00		55	3.00		1831	2.20
Victoria Park		9	0.40		914	40.93		12	0.54		460	20.60		11	0.49		71	3.18		48	2.15		2	0.09		267	11.96		231	10.34		40	1.79		168	7.52		0	0.00		2233	96.42		83	3.58		2316	2.78
Walkerston		7	0.34		675	32.53		2	0.10		696	33.54		8	0.39		38	1.83		23	1.11		1	0.05		244	11.76		240	11.57		31	1.49		110	5.30		0	0.00		2075	97.37		56	2.63		2131	2.56
Special Hospitals		2	0.68		124	42.18		0	0.00		104	35.37		5	1.70		2	0.68		0	0.00		1	0.34		13	4.42		35	11.90		2	0.68		6	2.04		0	0.00		294	92.45		24	7.55		318	0.38
Total Ordinary		248	0.36		23684	34.62		142	0.21		18706	27.34		544	0.80		1592	2.33		971	1.42		83	0.12		8437	12.33		9659	14.12		970	1.42		3331	4.87		45	0.07		68412	96.54		2454	3.46		70866	85.18
ABSENT		14	0.33		1397	32.68		6	0.14		688	16.09		42	0.98		125	2.92		97	2.27		4	0.09		512	11.98		1049	24.54		71	1.66		268	6.27		2	0.05		4275	98.43		68	1.57		4343	5.22
POSTAL		7	0.22		1024	32.81		2	0.06		912	29.22		29	0.93		37	1.19		17	0.54		3	0.10		386	12.37		521	16.69		36	1.15		146	4.68		1	0.03		3121	98.42		50	1.58		3171	3.81
PRE_POLL		12	0.30		1294	32.88		10	0.25		997	25.33		25	0.64		113	2.87		62	1.58		9	0.23		380	9.65		722	18.34		45	1.14		267	6.78		0	0.00		3936	98.72		51	1.28		3987	4.79
PROVISIONAL		5	0.61		376	46.13		4	0.49		133	16.32		8	0.98		24	2.94		24	2.94		3	0.37		89	10.92		93	11.41		28	3.44		28	3.44		0	0.00		815	97.84		18	2.16		833	1.00
Division Summary		286	0.36		27775	34.48		164	0.2		21436	26.61		648	0.8		1891	2.35		1171	1.45		102	0.13		9804	12.17		12044	14.95		1150	1.43		4040	5.01		48	0.06		80559	96.83		2641	3.17		83200	95.19
