House of Representatives - 2001 Election: Queensland																														
Distribution of Preferences 																														
By Polling Place																														
Capricornia																														
				GILLHAM			CLARKE			LEVER			SCHUBACK			MURPHY			JOHNS			TAYLOR			MUIR			LIVERMORE		
		TOTAL	4	0.50		54	6.74		130	16.23		7	0.87					8	1.00		117	14.61		10	1.25		471	58.80		801
	THIRD			Excluded		2	50.00		1	25.00		0	0.00					0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL				56	6.99		131	16.35		7	0.87					8	1.00		117	14.61		11	1.37		471	58.80		801
	FOURTH					2	28.57		1	14.29			Excluded					0	0.00		4	57.14		0	0.00		0	0.00		7
		TOTAL				58	7.24		132	16.48								8	1.00		121	15.11		11	1.37		471	58.80		801
	FIFTH					1	9.09		0	0.00								2	18.18		2	18.18			Excluded		6	54.55		11
		TOTAL				59	7.37		132	16.48								10	1.25		123	15.36					477	59.55		801
	SIXTH					2	20.00		1	10.00									Excluded		2	20.00					5	50.00		10
		TOTAL				61	7.62		133	16.60											125	15.61					482	60.17		801
	SEVENTH						Excluded		31	50.82											16	26.23					14	22.95		61
		TOTAL							164	20.47											141	17.60					496	61.92		801
	EIGHTH								115	81.56												Excluded					26	18.44		141
		TOTAL							279	34.83																	522	65.17		801
																											Elected			
																														
Berserker                                                      																														
	FIRST		10	0.45		153	6.89		306	13.79		25	1.13		10	0.45		34	1.53		319	14.38		34	1.53		1328	59.85		2219
	SECOND		3	30.00		1	10.00		0	0.00		2	20.00			Excluded		0	0.00		1	10.00		1	10.00		2	20.00		10
		TOTAL	13	0.59		154	6.94		306	13.79		27	1.22					34	1.53		320	14.42		35	1.58		1330	59.94		2219
	THIRD			Excluded		10	76.92		2	15.38		0	0.00					0	0.00		0	0.00		1	7.69		0	0.00		13
		TOTAL				164	7.39		308	13.88		27	1.22					34	1.53		320	14.42		36	1.62		1330	59.94		2219
	FOURTH					10	37.04		3	11.11			Excluded					2	7.41		2	7.41		2	7.41		8	29.63		27
		TOTAL				174	7.84		311	14.02								36	1.62		322	14.51		38	1.71		1338	60.30		2219
	FIFTH					10	26.32		4	10.53								10	26.32		2	5.26			Excluded		12	31.58		38
		TOTAL				184	8.29		315	14.20								46	2.07		324	14.60					1350	60.84		2219
	SIXTH					6	13.04		8	17.39									Excluded		2	4.35					30	65.22		46
		TOTAL				190	8.56		323	14.56											326	14.69					1380	62.19		2219
	SEVENTH						Excluded		69	36.32											52	27.37					69	36.32		190
		TOTAL							392	17.67											378	17.03					1449	65.30		2219
	EIGHTH								319	84.39												Excluded					59	15.61		378
		TOTAL							711	32.04																	1508	67.96		2219
																											Elected			
																														
Bouldercombe                                                   																														
	FIRST		5	1.07		60	12.82		98	20.94		15	3.21		6	1.28		7	1.50		69	14.74		7	1.50		201	42.95		468
	SECOND		0	0.00		1	16.67		4	66.67		1	16.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		6
		TOTAL	5	1.07		61	13.03		102	21.79		16	3.42					7	1.50		69	14.74		7	1.50		201	42.95		468
	THIRD			Excluded		2	40.00		1	20.00		0	0.00					0	0.00		1	20.00		0	0.00		1	20.00		5
		TOTAL				63	13.46		103	22.01		16	3.42					7	1.50		70	14.96		7	1.50		202	43.16		468
	FOURTH					5	31.25		5	31.25			Excluded					3	18.75		1	6.25		0	0.00		2	12.50		16
		TOTAL				68	14.53		108	23.08								10	2.14		71	15.17		7	1.50		204	43.59		468
	FIFTH					0	0.00		1	14.29								1	14.29		1	14.29			Excluded		4	57.14		7
		TOTAL				68	14.53		109	23.29								11	2.35		72	15.38					208	44.44		468
	SIXTH					2	18.18		2	18.18									Excluded		1	9.09					6	54.55		11
		TOTAL				70	14.96		111	23.72											73	15.60					214	45.73		468
	SEVENTH						Excluded		25	35.71											21	30.00					24	34.29		70
		TOTAL							136	29.06											94	20.09					238	50.85		468
	EIGHTH								77	81.91												Excluded					17	18.09		94
		TOTAL							213	45.51																	255	54.49		468
																											Elected			
																														
Brisbane City (Capricornia)                                    																														
	FIRST		0	0.00		4	3.33		22	18.33		2	1.67		0	0.00		5	4.17		42	35.00		2	1.67		43	35.83		120
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		4	3.33		22	18.33		2	1.67					5	4.17		42	35.00		2	1.67		43	35.83		120
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				4	3.33		22	18.33		2	1.67					5	4.17		42	35.00		2	1.67		43	35.83		120
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		1	50.00		0	0.00		1	50.00		2
		TOTAL				4	3.33		22	18.33								5	4.17		43	35.83		2	1.67		44	36.67		120
	FIFTH					0	0.00		0	0.00								1	50.00		0	0.00			Excluded		1	50.00		2
		TOTAL				4	3.33		22	18.33								6	5.00		43	35.83					45	37.50		120
	SIXTH					1	16.67		0	0.00									Excluded		1	16.67					4	66.67		6
		TOTAL				5	4.17		22	18.33											44	36.67					49	40.83		120
	SEVENTH						Excluded		2	40.00											0	0.00					3	60.00		5
		TOTAL							24	20.00											44	36.67					52	43.33		120
	EIGHTH								41	93.18												Excluded					3	6.82		44
		TOTAL							65	54.17																	55	45.83		120
																											Elected			
																														
Burnett Street                                                 																														
	FIRST		1	0.17		36	5.94		123	20.30		5	0.83		4	0.66		8	1.32		69	11.39		2	0.33		358	59.08		606
	SECOND		0	0.00		0	0.00		0	0.00		2	50.00			Excluded		0	0.00		1	25.00		0	0.00		1	25.00		4
		TOTAL	1	0.17		36	5.94		123	20.30		7	1.16					8	1.32		70	11.55		2	0.33		359	59.24		606
	THIRD			Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				37	6.11		123	20.30		7	1.16					8	1.32		70	11.55		2	0.33		359	59.24		606
	FOURTH					1	14.29		3	42.86			Excluded					2	28.57		0	0.00		0	0.00		1	14.29		7
		TOTAL				38	6.27		126	20.79								10	1.65		70	11.55		2	0.33		360	59.41		606
	FIFTH					1	50.00		0	0.00								0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL				39	6.44		126	20.79								10	1.65		70	11.55					361	59.57		606
	SIXTH					1	10.00		1	10.00									Excluded		1	10.00					7	70.00		10
		TOTAL				40	6.60		127	20.96											71	11.72					368	60.73		606
	SEVENTH						Excluded		23	57.50											3	7.50					14	35.00		40
		TOTAL							150	24.75											74	12.21					382	63.04		606
	EIGHTH								68	91.89												Excluded					6	8.11		74
		TOTAL							218	35.97																	388	64.03		606
																											Elected			
																														
Capella                                                        																														
	FIRST		2	0.34		62	10.54		229	38.95		7	1.19		0	0.00		8	1.36		132	22.45		3	0.51		145	24.66		588
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	2	0.34		62	10.54		229	38.95		7	1.19					8	1.36		132	22.45		3	0.51		145	24.66		588
	THIRD			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				64	10.88		229	38.95		7	1.19					8	1.36		132	22.45		3	0.51		145	24.66		588
	FOURTH					3	42.86		2	28.57			Excluded					2	28.57		0	0.00		0	0.00		0	0.00		7
		TOTAL				67	11.39		231	39.29								10	1.70		132	22.45		3	0.51		145	24.66		588
	FIFTH					0	0.00		0	0.00								1	33.33		1	33.33			Excluded		1	33.33		3
		TOTAL				67	11.39		231	39.29								11	1.87		133	22.62					146	24.83		588
	SIXTH					0	0.00		3	27.27									Excluded		2	18.18					6	54.55		11
		TOTAL				67	11.39		234	39.80											135	22.96					152	25.85		588
	SEVENTH						Excluded		42	62.69											11	16.42					14	20.90		67
		TOTAL							276	46.94											146	24.83					166	28.23		588
	EIGHTH								126	86.30												Excluded					20	13.70		146
		TOTAL							402	68.37																	186	31.63		588
																											Elected			
																														
Cawarral                                                       																														
	FIRST		3	0.47		76	11.88		175	27.34		3	0.47		4	0.63		6	0.94		89	13.91		16	2.50		268	41.88		640
	SECOND		0	0.00		0	0.00		1	25.00		2	50.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL	3	0.47		76	11.88		176	27.50		5	0.78					7	1.09		89	13.91		16	2.50		268	41.88		640
	THIRD			Excluded		2	66.67		1	33.33		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				78	12.19		177	27.66		5	0.78					7	1.09		89	13.91		16	2.50		268	41.88		640
	FOURTH					0	0.00		1	20.00			Excluded					1	20.00		0	0.00		0	0.00		3	60.00		5
		TOTAL				78	12.19		178	27.81								8	1.25		89	13.91		16	2.50		271	42.34		640
	FIFTH					1	6.25		0	0.00								7	43.75		0	0.00			Excluded		8	50.00		16
		TOTAL				79	12.34		178	27.81								15	2.34		89	13.91					279	43.59		640
	SIXTH					2	13.33		4	26.67									Excluded		0	0.00					9	60.00		15
		TOTAL				81	12.66		182	28.44											89	13.91					288	45.00		640
	SEVENTH						Excluded		33	40.74											21	25.93					27	33.33		81
		TOTAL							215	33.59											110	17.19					315	49.22		640
	EIGHTH								95	86.36												Excluded					15	13.64		110
		TOTAL							310	48.44																	330	51.56		640
																											Elected			
																														
Clermont                                                       																														
	FIRST		10	0.75		119	8.97		312	23.53		10	0.75		8	0.60		13	0.98		276	20.81		8	0.60		570	42.99		1326
	SECOND		0	0.00		0	0.00		1	12.50		4	50.00			Excluded		0	0.00		1	12.50		1	12.50		1	12.50		8
		TOTAL	10	0.75		119	8.97		313	23.60		14	1.06					13	0.98		277	20.89		9	0.68		571	43.06		1326
	THIRD			Excluded		7	70.00		1	10.00		0	0.00					0	0.00		1	10.00		0	0.00		1	10.00		10
		TOTAL				126	9.50		314	23.68		14	1.06					13	0.98		278	20.97		9	0.68		572	43.14		1326
	FOURTH					3	21.43		4	28.57			Excluded					3	21.43		0	0.00		1	7.14		3	21.43		14
		TOTAL				129	9.73		318	23.98								16	1.21		278	20.97		10	0.75		575	43.36		1326
	FIFTH					2	20.00		3	30.00								2	20.00		1	10.00			Excluded		2	20.00		10
		TOTAL				131	9.88		321	24.21								18	1.36		279	21.04					577	43.51		1326
	SIXTH					0	0.00		5	27.78									Excluded		1	5.56					12	66.67		18
		TOTAL				131	9.88		326	24.59											280	21.12					589	44.42		1326
	SEVENTH						Excluded		70	53.44											23	17.56					38	29.01		131
		TOTAL							396	29.86											303	22.85					627	47.29		1326
	EIGHTH								270	89.11												Excluded					33	10.89		303
		TOTAL							666	50.23																	660	49.77		1326
																											Elected			
																														
Collinsville                                                   																														
	FIRST		19	1.75		64	5.90		51	4.70		4	0.37		6	0.55		23	2.12		155	14.30		2	0.18		760	70.11		1084
	SECOND		1	16.67		0	0.00		1	16.67		3	50.00			Excluded		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL	20	1.85		64	5.90		52	4.80		7	0.65					24	2.21		155	14.30		2	0.18		760	70.11		1084
	THIRD			Excluded		13	65.00		3	15.00		1	5.00					0	0.00		0	0.00		0	0.00		3	15.00		20
		TOTAL				77	7.10		55	5.07		8	0.74					24	2.21		155	14.30		2	0.18		763	70.39		1084
	FOURTH					5	62.50		1	12.50			Excluded					0	0.00		0	0.00		1	12.50		1	12.50		8
		TOTAL				82	7.56		56	5.17								24	2.21		155	14.30		3	0.28		764	70.48		1084
	FIFTH					2	66.67		0	0.00								0	0.00		0	0.00			Excluded		1	33.33		3
		TOTAL				84	7.75		56	5.17								24	2.21		155	14.30					765	70.57		1084
	SIXTH					1	4.17		5	20.83									Excluded		5	20.83					13	54.17		24
		TOTAL				85	7.84		61	5.63											160	14.76					778	71.77		1084
	SEVENTH						Excluded		45	52.94											15	17.65					25	29.41		85
		TOTAL							106	9.78											175	16.14					803	74.08		1084
	EIGHTH								147	84.00												Excluded					28	16.00		175
		TOTAL							253	23.34																	831	76.66		1084
																											Elected			
																														
Coppabella                                                     																														
	FIRST		3	2.40		5	4.00		23	18.40		0	0.00		2	1.60		2	1.60		10	8.00		0	0.00		80	64.00		125
	SECOND		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL	3	2.40		5	4.00		24	19.20		1	0.80					2	1.60		10	8.00		0	0.00		80	64.00		125
	THIRD			Excluded		1	33.33		1	33.33		1	33.33					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				6	4.80		25	20.00		2	1.60					2	1.60		10	8.00		0	0.00		80	64.00		125
	FOURTH					0	0.00		0	0.00			Excluded					1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL				6	4.80		25	20.00								3	2.40		10	8.00		1	0.80		80	64.00		125
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL				6	4.80		25	20.00								3	2.40		10	8.00					81	64.80		125
	SIXTH					0	0.00		0	0.00									Excluded		2	66.67					1	33.33		3
		TOTAL				6	4.80		25	20.00											12	9.60					82	65.60		125
	SEVENTH						Excluded		1	16.67											1	16.67					4	66.67		6
		TOTAL							26	20.80											13	10.40					86	68.80		125
	EIGHTH								10	76.92												Excluded					3	23.08		13
		TOTAL							36	28.80																	89	71.20		125
																											Elected			
																														
Crescent Lagoon                                                																														
	FIRST		5	0.45		74	6.60		185	16.50		3	0.27		2	0.18		31	2.77		181	16.15		13	1.16		627	55.93		1121
	SECOND		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL	5	0.45		74	6.60		187	16.68		3	0.27					31	2.77		181	16.15		13	1.16		627	55.93		1121
	THIRD			Excluded		3	60.00		1	20.00		0	0.00					0	0.00		0	0.00		1	20.00		0	0.00		5
		TOTAL				77	6.87		188	16.77		3	0.27					31	2.77		181	16.15		14	1.25		627	55.93		1121
	FOURTH					1	33.33		0	0.00			Excluded					1	33.33		0	0.00		0	0.00		1	33.33		3
		TOTAL				78	6.96		188	16.77								32	2.85		181	16.15		14	1.25		628	56.02		1121
	FIFTH					1	7.14		0	0.00								5	35.71		1	7.14			Excluded		7	50.00		14
		TOTAL				79	7.05		188	16.77								37	3.30		182	16.24					635	56.65		1121
	SIXTH					7	18.92		4	10.81									Excluded		3	8.11					23	62.16		37
		TOTAL				86	7.67		192	17.13											185	16.50					658	58.70		1121
	SEVENTH						Excluded		29	33.72											31	36.05					26	30.23		86
		TOTAL							221	19.71											216	19.27					684	61.02		1121
	EIGHTH								174	80.56												Excluded					42	19.44		216
		TOTAL							395	35.24																	726	64.76		1121
																											Elected			
																														
Depot Hill                                                     																														
	FIRST		5	0.90		63	11.37		50	9.03		2	0.36		2	0.36		5	0.90		47	8.48		6	1.08		374	67.51		554
	SECOND		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL	5	0.90		63	11.37		50	9.03		3	0.54					5	0.90		47	8.48		6	1.08		375	67.69		554
	THIRD			Excluded		3	60.00		1	20.00		1	20.00					0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL				66	11.91		51	9.21		4	0.72					5	0.90		47	8.48		6	1.08		375	67.69		554
	FOURTH					0	0.00		3	75.00			Excluded					0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL				66	11.91		54	9.75								5	0.90		47	8.48		7	1.26		375	67.69		554
	FIFTH					0	0.00		2	28.57								2	28.57		0	0.00			Excluded		3	42.86		7
		TOTAL				66	11.91		56	10.11								7	1.26		47	8.48					378	68.23		554
	SIXTH					0	0.00		2	28.57									Excluded		2	28.57					3	42.86		7
		TOTAL				66	11.91		58	10.47											49	8.84					381	68.77		554
	SEVENTH						Excluded		15	22.73											29	43.94					22	33.33		66
		TOTAL							73	13.18											78	14.08					403	72.74		554
	EIGHTH								59	75.64												Excluded					19	24.36		78
		TOTAL							132	23.83																	422	76.17		554
																											Elected			
																														
Dysart                                                         																														
	FIRST		12	1.13		77	7.28		116	10.96		4	0.38		4	0.38		15	1.42		92	8.70		4	0.38		734	69.38		1058
	SECOND		0	0.00		0	0.00		2	50.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL	12	1.13		77	7.28		118	11.15		6	0.57					15	1.42		92	8.70		4	0.38		734	69.38		1058
	THIRD			Excluded		6	50.00		3	25.00		2	16.67					1	8.33		0	0.00		0	0.00		0	0.00		12
		TOTAL				83	7.84		121	11.44		8	0.76					16	1.51		92	8.70		4	0.38		734	69.38		1058
	FOURTH					2	25.00		2	25.00			Excluded					3	37.50		0	0.00		0	0.00		1	12.50		8
		TOTAL				85	8.03		123	11.63								19	1.80		92	8.70		4	0.38		735	69.47		1058
	FIFTH					1	25.00		0	0.00								1	25.00		0	0.00			Excluded		2	50.00		4
		TOTAL				86	8.13		123	11.63								20	1.89		92	8.70					737	69.66		1058
	SIXTH					3	15.00		3	15.00									Excluded		6	30.00					8	40.00		20
		TOTAL				89	8.41		126	11.91											98	9.26					745	70.42		1058
	SEVENTH						Excluded		45	50.56											16	17.98					28	31.46		89
		TOTAL							171	16.16											114	10.78					773	73.06		1058
	EIGHTH								95	83.33												Excluded					19	16.67		114
		TOTAL							266	25.14																	792	74.86		1058
																											Elected			
																														
Emmaus College                                                 																														
	FIRST		3	0.31		46	4.68		215	21.87		4	0.41		3	0.31		14	1.42		158	16.07		5	0.51		535	54.43		983
	SECOND		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL	3	0.31		46	4.68		215	21.87		7	0.71					14	1.42		158	16.07		5	0.51		535	54.43		983
	THIRD			Excluded		0	0.00		0	0.00		1	33.33					1	33.33		1	33.33		0	0.00		0	0.00		3
		TOTAL				46	4.68		215	21.87		8	0.81					15	1.53		159	16.17		5	0.51		535	54.43		983
	FOURTH					1	12.50		0	0.00			Excluded					1	12.50		0	0.00		3	37.50		3	37.50		8
		TOTAL				47	4.78		215	21.87								16	1.63		159	16.17		8	0.81		538	54.73		983
	FIFTH					1	12.50		1	12.50								2	25.00		3	37.50			Excluded		1	12.50		8
		TOTAL				48	4.88		216	21.97								18	1.83		162	16.48					539	54.83		983
	SIXTH					4	22.22		5	27.78									Excluded		1	5.56					8	44.44		18
		TOTAL				52	5.29		221	22.48											163	16.58					547	55.65		983
	SEVENTH						Excluded		18	34.62											24	46.15					10	19.23		52
		TOTAL							239	24.31											187	19.02					557	56.66		983
	EIGHTH								166	88.77												Excluded					21	11.23		187
		TOTAL							405	41.20																	578	58.80		983
																											Elected			
																														
Emu Park                                                       																														
	FIRST		14	0.69		155	7.68		395	19.57		9	0.45		11	0.55		32	1.59		327	16.20		43	2.13		1032	51.14		2018
	SECOND		0	0.00		0	0.00		2	18.18		3	27.27			Excluded		2	18.18		2	18.18		0	0.00		2	18.18		11
		TOTAL	14	0.69		155	7.68		397	19.67		12	0.59					34	1.68		329	16.30		43	2.13		1034	51.24		2018
