House of Representatives - 2001 Election: Queensland																																
Distribution of Preferences																																
By Polling Place																																
Moncrieff																																
				TOBIAS			CARROLL			CIOBO			DOUGLAS			CHATTERJEE			ALECKSON			MILLAR			DERRICK			HEPBURN				
	SEVENTH									227	72.76			Excluded		38	12.18								47	15.06					312	
		TOTAL								3388	64.13					1311	24.82								584	11.05					5283	
	EIGHTH									221	37.84					363	62.16									Excluded					584	
		TOTAL								3609	68.31					1674	31.69														5283	
										Elected																						
																																
Arundel East                                                   																																
	FIRST			34	3.21		7	0.66		469	44.25		90	8.49		331	31.23		10	0.94		58	5.47		46	4.34		15	1.42		1060	
	SECOND			2	28.57			Excluded		2	28.57		1	14.29		0	0.00		1	14.29		0	0.00		0	0.00		1	14.29		7	
		TOTAL		36	3.40					471	44.43		91	8.58		331	31.23		11	1.04		58	5.47		46	4.34		16	1.51		1060	
	THIRD			2	18.18					0	0.00		2	18.18		3	27.27			Excluded		1	9.09		2	18.18		1	9.09		11	
		TOTAL		38	3.58					471	44.43		93	8.77		334	31.51					59	5.57		48	4.53		17	1.60		1060	
	FOURTH				Excluded					20	52.63		2	5.26		6	15.79					1	2.63		3	7.89		6	15.79		38	
		TOTAL								491	46.32		95	8.96		340	32.08					60	5.66		51	4.81		23	2.17		1060	
	FIFTH									3	13.04		3	13.04		2	8.70					3	13.04		12	52.17			Excluded		23	
		TOTAL								494	46.60		98	9.25		342	32.26					63	5.94		63	5.94					1060	
	SIXTH									20	31.75		11	17.46		17	26.98						Excluded		15	23.81					63	
		TOTAL								514	48.49		109	10.28		359	33.87								78	7.36					1060	
	SEVENTH									81	74.31			Excluded		12	11.01								16	14.68					109	
		TOTAL								595	56.13					371	35.00								94	8.87					1060	
	EIGHTH									38	40.43					56	59.57									Excluded					94	
		TOTAL								633	59.72					427	40.28														1060	
										Elected																						
																																
Ashmore                                                        																																
	FIRST			91	2.44		9	0.24		1844	49.53		345	9.27		841	22.59		14	0.38		221	5.94		202	5.43		156	4.19		3723	
	SECOND			8	88.89			Excluded		0	0.00		0	0.00		0	0.00		1	11.11		0	0.00		0	0.00		0	0.00		9	
		TOTAL		99	2.66					1844	49.53		345	9.27		841	22.59		15	0.40		221	5.94		202	5.43		156	4.19		3723	
	THIRD			4	26.67					3	20.00		1	6.67		5	33.33			Excluded		0	0.00		1	6.67		1	6.67		15	
		TOTAL		103	2.77					1847	49.61		346	9.29		846	22.72					221	5.94		203	5.45		157	4.22		3723	
	FOURTH				Excluded					44	42.72		20	19.42		6	5.83					9	8.74		14	13.59		10	9.71		103	
		TOTAL								1891	50.79		366	9.83		852	22.88					230	6.18		217	5.83		167	4.49		3723	
	FIFTH									27	16.17		8	4.79		30	17.96					14	8.38		88	52.69			Excluded		167	
		TOTAL								1918	51.52		374	10.05		882	23.69					244	6.55		305	8.19					3723	
	SIXTH									58	23.77		26	10.66		42	17.21						Excluded		118	48.36					244	
		TOTAL								1976	53.08		400	10.74		924	24.82								423	11.36					3723	
	SEVENTH									319	79.75			Excluded		39	9.75								42	10.50					400	
		TOTAL								2295	61.64					963	25.87								465	12.49					3723	
	EIGHTH									172	36.99					293	63.01									Excluded					465	
		TOTAL								2467	66.26					1256	33.74														3723	
										Elected																						
																																
Ashmore West                                                   																																
	FIRST			81	3.33		13	0.53		1140	46.82		199	8.17		646	26.53		11	0.45		153	6.28		104	4.27		88	3.61		2435	
	SECOND			5	38.46			Excluded		4	30.77		1	7.69		1	7.69		2	15.38		0	0.00		0	0.00		0	0.00		13	
		TOTAL		86	3.53					1144	46.98		200	8.21		647	26.57		13	0.53		153	6.28		104	4.27		88	3.61		2435	
	THIRD			2	15.38					1	7.69		1	7.69		1	7.69			Excluded		6	46.15		0	0.00		2	15.38		13	
		TOTAL		88	3.61					1145	47.02		201	8.25		648	26.61					159	6.53		104	4.27		90	3.70		2435	
	FOURTH				Excluded					39	44.32		13	14.77		8	9.09					4	4.55		14	15.91		10	11.36		88	
		TOTAL								1184	48.62		214	8.79		656	26.94					163	6.69		118	4.85		100	4.11		2435	
	FIFTH									14	14.00		8	8.00		20	20.00					13	13.00		45	45.00			Excluded		100	
		TOTAL								1198	49.20		222	9.12		676	27.76					176	7.23		163	6.69					2435	
	SIXTH									39	22.16		28	15.91		33	18.75						Excluded		76	43.18					176	
		TOTAL								1237	50.80		250	10.27		709	29.12								239	9.82					2435	
	SEVENTH									181	72.40			Excluded		25	10.00								44	17.60					250	
		TOTAL								1418	58.23					734	30.14								283	11.62					2435	
	EIGHTH									114	40.28					169	59.72									Excluded					283	
		TOTAL								1532	62.92					903	37.08														2435	
										Elected																						
																																
Benowa                                                         																																
	FIRST			100	2.56		13	0.33		2266	57.95		311	7.95		742	18.98		18	0.46		182	4.65		148	3.79		130	3.32		3910	
	SECOND			9	69.23			Excluded		0	0.00		1	7.69		1	7.69		1	7.69		0	0.00		1	7.69		0	0.00		13	
		TOTAL		109	2.79					2266	57.95		312	7.98		743	19.00		19	0.49		182	4.65		149	3.81		130	3.32		3910	
	THIRD			4	21.05					2	10.53		3	15.79		2	10.53			Excluded		5	26.32		1	5.26		2	10.53		19	
		TOTAL		113	2.89					2268	58.01		315	8.06		745	19.05					187	4.78		150	3.84		132	3.38		3910	
	FOURTH				Excluded					50	44.25		23	20.35		9	7.96					2	1.77		17	15.04		12	10.62		113	
		TOTAL								2318	59.28		338	8.64		754	19.28					189	4.83		167	4.27		144	3.68		3910	
	FIFTH									28	19.44		6	4.17		22	15.28					10	6.94		78	54.17			Excluded		144	
		TOTAL								2346	60.00		344	8.80		776	19.85					199	5.09		245	6.27					3910	
	SIXTH									54	27.14		34	17.09		23	11.56						Excluded		88	44.22					199	
		TOTAL								2400	61.38		378	9.67		799	20.43								333	8.52					3910	
	SEVENTH									304	80.42			Excluded		35	9.26								39	10.32					378	
		TOTAL								2704	69.16					834	21.33								372	9.51					3910	
	EIGHTH									127	34.14					245	65.86									Excluded					372	
		TOTAL								2831	72.40					1079	27.60														3910	
										Elected																						
																																
Brisbane City (Moncrieff)                                      																																
	FIRST			0	0.00		0	0.00		33	56.90		5	8.62		10	17.24		0	0.00		0	0.00		5	8.62		5	8.62		58	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00					33	56.90		5	8.62		10	17.24		0	0.00		0	0.00		5	8.62		5	8.62		58	
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00					33	56.90		5	8.62		10	17.24					0	0.00		5	8.62		5	8.62		58	
	FOURTH				Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL								33	56.90		5	8.62		10	17.24					0	0.00		5	8.62		5	8.62		58	
	FIFTH									0	0.00		1	20.00		2	40.00					0	0.00		2	40.00			Excluded		5	
		TOTAL								33	56.90		6	10.34		12	20.69					0	0.00		7	12.07					58	
	SIXTH									0	0.00		0	0.00		0	0.00						Excluded		0	0.00					0	
		TOTAL								33	56.90		6	10.34		12	20.69								7	12.07					58	
	SEVENTH									5	83.33			Excluded		0	0.00								1	16.67					6	
		TOTAL								38	65.52					12	20.69								8	13.79					58	
	EIGHTH									2	25.00					6	75.00									Excluded					8	
		TOTAL								40	68.97					18	31.03														58	
										Elected																						
																																
Broadbeach (Moncrieff)                                         																																
	FIRST			44	2.84		8	0.52		873	56.43		70	4.52		313	20.23		5	0.32		59	3.81		86	5.56		89	5.75		1547	
	SECOND			4	50.00			Excluded		2	25.00		1	12.50		0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		8	
		TOTAL		48	3.10					875	56.56		71	4.59		313	20.23		6	0.39		59	3.81		86	5.56		89	5.75		1547	
	THIRD			2	33.33					0	0.00		0	0.00		0	0.00			Excluded		3	50.00		1	16.67		0	0.00		6	
		TOTAL		50	3.23					875	56.56		71	4.59		313	20.23					62	4.01		87	5.62		89	5.75		1547	
	FOURTH				Excluded					28	56.00		6	12.00		4	8.00					2	4.00		4	8.00		6	12.00		50	
		TOTAL								903	58.37		77	4.98		317	20.49					64	4.14		91	5.88		95	6.14		1547	
	FIFTH									24	25.26		4	4.21		15	15.79					5	5.26		47	49.47			Excluded		95	
		TOTAL								927	59.92		81	5.24		332	21.46					69	4.46		138	8.92					1547	
	SIXTH									26	37.68		8	11.59		8	11.59						Excluded		27	39.13					69	
		TOTAL								953	61.60		89	5.75		340	21.98								165	10.67					1547	
	SEVENTH									67	75.28			Excluded		8	8.99								14	15.73					89	
		TOTAL								1020	65.93					348	22.50								179	11.57					1547	
	EIGHTH									75	41.90					104	58.10									Excluded					179	
		TOTAL								1095	70.78					452	29.22														1547	
										Elected																						
																																
Carrara                                                        																																
	FIRST			27	3.43		3	0.38		392	49.81		66	8.39		187	23.76		1	0.13		52	6.61		34	4.32		25	3.18		787	
	SECOND			1	33.33			Excluded		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		28	3.56					392	49.81		67	8.51		188	23.89		1	0.13		52	6.61		34	4.32		25	3.18		787	
	THIRD			0	0.00					1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		28	3.56					393	49.94		67	8.51		188	23.89					52	6.61		34	4.32		25	3.18		787	
	FOURTH				Excluded					10	35.71		4	14.29		7	25.00					1	3.57		3	10.71		3	10.71		28	
		TOTAL								403	51.21		71	9.02		195	24.78					53	6.73		37	4.70		28	3.56		787	
	FIFTH									3	10.71		3	10.71		7	25.00					2	7.14		13	46.43			Excluded		28	
		TOTAL								406	51.59		74	9.40		202	25.67					55	6.99		50	6.35					787	
	SIXTH									21	38.18		5	9.09		13	23.64						Excluded		16	29.09					55	
		TOTAL								427	54.26		79	10.04		215	27.32								66	8.39					787	
	SEVENTH									62	78.48			Excluded		7	8.86								10	12.66					79	
		TOTAL								489	62.13					222	28.21								76	9.66					787	
	EIGHTH									30	39.47					46	60.53									Excluded					76	
		TOTAL								519	65.95					268	34.05														787	
										Elected																						
																																
Chevron Island                                                 																																
	FIRST			46	2.66		7	0.40		983	56.76		129	7.45		352	20.32		9	0.52		71	4.10		71	4.10		64	3.70		1732	
	SECOND			2	28.57			Excluded		1	14.29		4	57.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	
		TOTAL		48	2.77					984	56.81		133	7.68		352	20.32		9	0.52		71	4.10		71	4.10		64	3.70		1732	
	THIRD			2	22.22					1	11.11		4	44.44		2	22.22			Excluded		0	0.00		0	0.00		0	0.00		9	
		TOTAL		50	2.89					985	56.87		137	7.91		354	20.44					71	4.10		71	4.10		64	3.70		1732	
	FOURTH				Excluded					19	38.00		7	14.00		2	4.00					3	6.00		13	26.00		6	12.00		50	
		TOTAL								1004	57.97		144	8.31		356	20.55					74	4.27		84	4.85		70	4.04		1732	
	FIFTH									10	14.29		5	7.14		16	22.86					4	5.71		35	50.00			Excluded		70	
		TOTAL								1014	58.55		149	8.60		372	21.48					78	4.50		119	6.87					1732	
	SIXTH									17	21.79		10	12.82		14	17.95						Excluded		37	47.44					78	
		TOTAL								1031	59.53		159	9.18		386	22.29								156	9.01					1732	
	SEVENTH									126	79.25			Excluded		11	6.92								22	13.84					159	
		TOTAL								1157	66.80					397	22.92								178	10.28					1732	
	EIGHTH									62	34.83					116	65.17									Excluded					178	
		TOTAL								1219	70.38					513	29.62														1732	
										Elected																						
																																
Earle Haven                                                    																																
	FIRST			16	3.00		1	0.19		323	60.60		31	5.82		119	22.33		4	0.75		22	4.13		11	2.06		6	1.13		533	
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		16	3.00					324	60.79		31	5.82		119	22.33		4	0.75		22	4.13		11	2.06		6	1.13		533	
	THIRD			0	0.00					0	0.00		3	75.00		0	0.00			Excluded		0	0.00		1	25.00		0	0.00		4	
		TOTAL		16	3.00					324	60.79		34	6.38		119	22.33					22	4.13		12	2.25		6	1.13		533	
	FOURTH				Excluded					11	68.75		2	12.50		2	12.50					1	6.25		0	0.00		0	0.00		16	
		TOTAL								335	62.85		36	6.75		121	22.70					23	4.32		12	2.25		6	1.13		533	
	FIFTH									0	0.00		2	33.33		0	0.00					1	16.67		3	50.00			Excluded		6	
		TOTAL								335	62.85		38	7.13		121	22.70					24	4.50		15	2.81					533	
	SIXTH									7	29.17		1	4.17		10	41.67						Excluded		6	25.00					24	
		TOTAL								342	64.17		39	7.32		131	24.58								21	3.94					533	
	SEVENTH									34	87.18			Excluded		4	10.26								1	2.56					39	
		TOTAL								376	70.54					135	25.33								22	4.13					533	
	EIGHTH									9	40.91					13	59.09									Excluded					22	
		TOTAL								385	72.23					148	27.77														533	
										Elected																						
																																
Evandale                                                       																																
	FIRST			69	2.72		10	0.39		1463	57.62		233	9.18		473	18.63		10	0.39		112	4.41		88	3.47		81	3.19		2539	
	SECOND			7	70.00			Excluded		0	0.00		1	10.00		0	0.00		1	10.00		0	0.00		0	0.00		1	10.00		10	
		TOTAL		76	2.99					1463	57.62		234	9.22		473	18.63		11	0.43		112	4.41		88	3.47		82	3.23		2539	
	THIRD			3	27.27					2	18.18		1	9.09		2	18.18			Excluded		1	9.09		1	9.09		1	9.09		11	
		TOTAL		79	3.11					1465	57.70		235	9.26		475	18.71					113	4.45		89	3.51		83	3.27		2539	
	FOURTH				Excluded					28	35.44		10	12.66		3	3.80					4	5.06		27	34.18		7	8.86		79	
		TOTAL								1493	58.80		245	9.65		478	18.83					117	4.61		116	4.57		90	3.54		2539	
	FIFTH									6	6.67		3	3.33		17	18.89					8	8.89		56	62.22			Excluded		90	
		TOTAL								1499	59.04		248	9.77		495	19.50					125	4.92		172	6.77					2539	
	SIXTH									40	32.00		15	12.00		15	12.00						Excluded		55	44.00					125	
		TOTAL								1539	60.61		263	10.36		510	20.09								227	8.94					2539	
	SEVENTH									216	82.13			Excluded		23	8.75								24	9.13					263	
		TOTAL								1755	69.12					533	20.99								251	9.89					2539	
	EIGHTH									102	40.64					149	59.36									Excluded					251	
		TOTAL								1857	73.14					682	26.86														2539	
										Elected																						
																																
Florida Gardens                                                																																
	FIRST			12	1.74		1	0.15		419	60.90		58	8.43		134	19.48		5	0.73		16	2.33		19	2.76		24	3.49		688	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		13	1.89					419	60.90		58	8.43		134	19.48		5	0.73		16	2.33		19	2.76		24	3.49		688	
	THIRD			0	0.00					1	20.00		3	60.00		0	0.00			Excluded		1	20.00		0	0.00		0	0.00		5	
		TOTAL		13	1.89					420	61.05		61	8.87		134	19.48					17	2.47		19	2.76		24	3.49		688	
	FOURTH				Excluded					8	61.54		1	7.69		1	7.69					0	0.00		1	7.69		2	15.38		13	
		TOTAL								428	62.21		62	9.01		135	19.62					17	2.47		20	2.91		26	3.78		688	
	FIFTH									2	7.69		0	0.00		5	19.23					4	15.38		15	57.69			Excluded		26	
		TOTAL								430	62.50		62	9.01		140	20.35					21	3.05		35	5.09					688	
	SIXTH									10	47.62		3	14.29		3	14.29						Excluded		5	23.81					21	
		TOTAL								440	63.95		65	9.45		143	20.78								40	5.81					688	
	SEVENTH									55	84.62			Excluded		4	6.15								6	9.23					65	
		TOTAL								495	71.95					147	21.37								46	6.69					688	
	EIGHTH									16	34.78					30	65.22									Excluded					46	
		TOTAL								511	74.27					177	25.73														688	
										Elected																						
																																
Gilston                                                        																																
	FIRST			20	2.21		2	0.22		513	56.81		58	6.42		172	19.05		0	0.00		73	8.08		31	3.43		34	3.77		903	
	SECOND			2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		22	2.44					513	56.81		58	6.42		172	19.05		0	0.00		73	8.08		31	3.43		34	3.77		903	
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		22	2.44					513	56.81		58	6.42		172	19.05					73	8.08		31	3.43		34	3.77		903	
	FOURTH				Excluded					8	36.36		5	22.73		1	4.55					2	9.09		2	9.09		4	18.18		22	
		TOTAL								521	57.70		63	6.98		173	19.16					75	8.31		33	3.65		38	4.21		903	
	FIFTH									7	18.42		3	7.89		7	18.42					0	0.00		21	55.26			Excluded		38	
		TOTAL								528	58.47		66	7.31		180	19.93					75	8.31		54	5.98					903	
	SIXTH									12	16.00		15	20.00		7	9.33						Excluded		41	54.67					75	
		TOTAL								540	59.80		81	8.97		187	20.71								95	10.52					903	
	SEVENTH									67	82.72			Excluded		5	6.17								9	11.11					81	
		TOTAL								607	67.22					192	21.26								104	11.52					903	
	EIGHTH									23	22.12					81	77.88									Excluded					104	
		TOTAL								630	69.77					273	30.23														903	
										Elected																						
																																
Harley Park                                                    																																
	FIRST			53	3.45		11	0.72		629	40.90		97	6.31		517	33.62		14	0.91		107	6.96		50	3.25		60	3.90		1538	
	SECOND			8	72.73			Excluded		1	9.09		1	9.09		0	0.00		0	0.00		1	9.09		0	0.00		0	0.00		11	
		TOTAL		61	3.97					630	40.96		98	6.37		517	33.62		14	0.91		108	7.02		50	3.25		60	3.90		1538	
	THIRD			0	0.00					2	14.29		2	14.29		2	14.29			Excluded		6	42.86		1	7.14		1	7.14		14	
		TOTAL		61	3.97					632	41.09		100	6.50		519	33.75					114	7.41		51	3.32		61	3.97		1538	
	FOURTH				Excluded					27	44.26		7	11.48		6	9.84					6	9.84		12	19.67		3	4.92		61	
		TOTAL								659	42.85		107	6.96		525	34.14					120	7.80		63	4.10		64	4.16		1538	
	FIFTH									7	10.94		4	6.25		14	21.88					6	9.38		33	51.56			Excluded		64	
		TOTAL								666	43.30		111	7.22		539	35.05					126	8.19		96	6.24					1538	
	SIXTH									36	28.57		20	15.87		25	19.84						Excluded		45	35.71					126	
		TOTAL								702	45.64		131	8.52		564	36.67								141	9.17					1538	
	SEVENTH									99	75.57			Excluded		15	11.45								17	12.98					131	
		TOTAL								801	52.08					579	37.65								158	10.27					1538	
	EIGHTH									54	34.18					104	65.82									Excluded					158	
		TOTAL								855	55.59					683	44.41														1538	
										Elected																						
																																
Isle Of Capri                                                  																																
	FIRST			79	3.42		6	0.26		1485	64.29		153	6.62		344	14.89		13	0.56		94	4.07		63	2.73		73	3.16		2310	
	SECOND			0	0.00			Excluded		3	50.00		0	0.00		2	33.33		0	0.00		0	0.00		0	0.00		1	16.67		6	
		TOTAL		79	3.42					1488	64.42		153	6.62		346	14.98		13	0.56		94	4.07		63	2.73		74	3.20		2310	
	THIRD			3	23.08					2	15.38		0	0.00		1	7.69			Excluded		7	53.85		0	0.00		0	0.00		13	
		TOTAL		82	3.55					1490	64.50		153	6.62		347	15.02					101	4.37		63	2.73		74	3.20		2310	
	FOURTH				Excluded					33	40.24		13	15.85		4	4.88					4	4.88		19	23.17		9	10.98		82	
		TOTAL								1523	65.93		166	7.19		351	15.19					105	4.55		82	3.55		83	3.59		2310	
	FIFTH									14	16.87		5	6.02		12	14.46					9	10.84		43	51.81			Excluded		83	
		TOTAL								1537	66.54		171	7.40		363	15.71					114	4.94		125	5.41					2310	
	SIXTH									22	19.30		23	20.18		17	14.91						Excluded		52	45.61					114	
		TOTAL								1559	67.49		194	8.40		380	16.45								177	7.66					2310	
	SEVENTH									165	85.05			Excluded		5	2.58								24	12.37					194	
		TOTAL								1724	74.63					385	16.67								201	8.70					2310	
	EIGHTH									78	38.81					123	61.19									Excluded					201	
		TOTAL								1802	78.01					508	21.99														2310	
										Elected																						
																																
Keebra Park                                                    																																
	FIRST			57	4.00		12	0.84		574	40.31		76	5.34		449	31.53		15	1.05		87	6.11		67	4.71		87	6.11		1424	
	SECOND			6	50.00			Excluded		3	25.00		1	8.33		1	8.33		1	8.33		0	0.00		0	0.00		0	0.00		12	
		TOTAL		63	4.42					577	40.52		77	5.41		450	31.60		16	1.12		87	6.11		67	4.71		87	6.11		1424	
	THIRD			2	12.50					5	31.25		1	6.25		0	0.00			Excluded		4	25.00		1	6.25		3	18.75		16	
		TOTAL		65	4.56					582	40.87		78	5.48		450	31.60					91	6.39		68	4.78		90	6.32		1424	
	FOURTH				Excluded					24	36.92		7	10.77		7	10.77					1	1.54		15	23.08		11	16.92		65	
		TOTAL								606	42.56		85	5.97		457	32.09					92	6.46		83	5.83		101	7.09		1424	
	FIFTH									10	9.90		7	6.93		19	18.81					12	11.88		53	52.48			Excluded		101	
		TOTAL								616	43.26		92	6.46		476	33.43					104	7.30		136	9.55					1424	
	SIXTH									28	26.92		10	9.62		16	15.38						Excluded		50	48.08					104	
		TOTAL								644	45.22		102	7.16		492	34.55								186	13.06					1424	
	SEVENTH									69	67.65			Excluded		17	16.67								16	15.69					102	
		TOTAL								713	50.07					509	35.74								202	14.19					1424	
	EIGHTH									83	41.09					119	58.91									Excluded					202	
		TOTAL								796	55.90					628	44.10														1424	
										Elected																						
																																
Labrador                                                       																																
	FIRST			78	2.51		21	0.68		1244	40.04		157	5.05		1064	34.25		30	0.97		221	7.11		161	5.18		131	4.22		3107	
	SECOND			10	47.62			Excluded		2	9.52		5	23.81		3	14.29		1	4.76		0	0.00		0	0.00		0	0.00		21	
		TOTAL		88	2.83					1246	40.10		162	5.21		1067	34.34		31	1.00		221	7.11		161	5.18		131	4.22		3107	
	THIRD			5	16.13					3	9.68		1	3.23		8	25.81			Excluded		11	35.48		2	6.45		1	3.23		31	
		TOTAL		93	2.99					1249	40.20		163	5.25		1075	34.60					232	7.47		163	5.25		132	4.25		3107	
	FOURTH				Excluded					40	43.01		9	9.68		7	7.53					11	11.83		18	19.35		8	8.60		93	
		TOTAL								1289	41.49		172	5.54		1082	34.82					243	7.82		181	5.83		140	4.51		3107	
	FIFTH									20	14.29		15	10.71		25	17.86					24	17.14		56	40.00			Excluded		140	
		TOTAL								1309	42.13		187	6.02		1107	35.63					267	8.59		237	7.63					3107	
	SIXTH									61	22.85		31	11.61		58	21.72						Excluded		117	43.82					267	
		TOTAL								1370	44.09		218	7.02		1165	37.50								354	11.39					3107	
	SEVENTH									144	66.06			Excluded		36	16.51								38	17.43					218	
		TOTAL								1514	48.73					1201	38.65								392	12.62					3107	
	EIGHTH									159	40.56					233	59.44									Excluded					392	
		TOTAL								1673	53.85					1434	46.15														3107	
										Elected																						
																																
Main Beach                                                     																																
	FIRST			88	4.15		4	0.19		1408	66.48		124	5.85		290	13.69		16	0.76		63	2.97		56	2.64		69	3.26		2118	
	SECOND			2	50.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		90	4.25					1409	66.53		125	5.90		290	13.69		16	0.76		63	2.97		56	2.64		69	3.26		2118	
	THIRD			5	31.25					0	0.00		3	18.75		0	0.00			Excluded		6	37.50		1	6.25		1	6.25		16	
		TOTAL		95	4.49					1409	66.53		128	6.04		290	13.69					69	3.26		57	2.69		70	3.31		2118	
	FOURTH				Excluded					40	42.11		12	12.63		3	3.16					10	10.53		28	29.47		2	2.11		95	
		TOTAL								1449	68.41		140	6.61		293	13.83					79	3.73		85	4.01		72	3.40		2118	
	FIFTH									16	22.22		5	6.94		15	20.83					7	9.72		29	40.28			Excluded		72	
		TOTAL								1465	69.17		145	6.85		308	14.54					86	4.06		114	5.38					2118	
	SIXTH									14	16.28		18	20.93		14	16.28						Excluded		40	46.51					86	
		TOTAL								1479	69.83		163	7.70		322	15.20								154	7.27					2118	
	SEVENTH									132	80.98			Excluded		15	9.20								16	9.82					163	
		TOTAL								1611	76.06					337	15.91								170	8.03					2118	
	EIGHTH									70	41.18					100	58.82									Excluded					170	
		TOTAL								1681	79.37					437	20.63														2118	
										Elected																						
																																
Mermaid Waters (Moncrieff)                                     																																
	FIRST			18	2.53		7	0.98		389	54.63		39	5.48		157	22.05		5	0.70		32	4.49		44	6.18		21	2.95		712	
	SECOND			3	42.86			Excluded		0	0.00		2	28.57		1	14.29		1	14.29		0	0.00		0	0.00		0	0.00		7	
		TOTAL		21	2.95					389	54.63		41	5.76		158	22.19		6	0.84		32	4.49		44	6.18		21	2.95		712	
	THIRD			3	50.00					0	0.00		0	0.00		1	16.67			Excluded		0	0.00		1	16.67		1	16.67		6	
		TOTAL		24	3.37					389	54.63		41	5.76		159	22.33					32	4.49		45	6.32		22	3.09		712	
	FOURTH				Excluded					11	45.83		7	29.17		2	8.33					0	0.00		1	4.17		3	12.50		24	
		TOTAL								400	56.18		48	6.74		161	22.61					32	4.49		46	6.46		25	3.51		712	
	FIFTH									5	20.00		1	4.00		5	20.00					0	0.00		14	56.00			Excluded		25	
		TOTAL								405	56.88		49	6.88		166	23.31					32	4.49		60	8.43					712	
