Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Kennedy (84739)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Bluewater		7	0.49		476	33.38		3	0.21		198	13.88		12	0.84		44	3.09		28	1.96		4	0.28		249	17.46		333	23.35		17	1.19		54	3.79		1	0.07		1426	97.47		37	2.53		1463	1.84
Boulia		2	1.11		74	41.11		0	0.00		31	17.22		0	0.00		12	6.67		1	0.56		0	0.00		19	10.56		38	21.11		1	0.56		2	1.11		0	0.00		180	100.00		0	0.00		180	0.23
Bramston Beach		0	0.00		13	13.27		0	0.00		13	13.27		0	0.00		3	3.06		1	1.02		0	0.00		45	45.92		17	17.35		0	0.00		6	6.12		0	0.00		98	98.99		1	1.01		99	0.12
Brisbane City (Kennedy)		0	0.00		11	20.75		0	0.00		11	20.75		3	5.66		3	5.66		0	0.00		0	0.00		5	9.43		11	20.75		1	1.89		8	15.09		0	0.00		53	100.00		0	0.00		53	0.07
Burketown		2	2.35		44	51.76		0	0.00		8	9.41		0	0.00		1	1.18		3	3.53		0	0.00		12	14.12		9	10.59		2	2.35		4	4.71		0	0.00		85	98.84		1	1.16		86	0.11
Butchers Creek		0	0.00		21	14.89		0	0.00		22	15.60		0	0.00		9	6.38		1	0.71		0	0.00		60	42.55		13	9.22		2	1.42		13	9.22		0	0.00		141	98.60		2	1.40		143	0.18
Camooweal		1	1.16		43	50.00		0	0.00		19	22.09		0	0.00		0	0.00		1	1.16		1	1.16		6	6.98		12	13.95		1	1.16		2	2.33		0	0.00		86	96.63		3	3.37		89	0.11
Cardwell		0	0.00		170	21.41		4	0.50		155	19.52		11	1.39		16	2.02		9	1.13		0	0.00		217	27.33		176	22.17		19	2.39		17	2.14		0	0.00		794	96.13		32	3.87		826	1.04
Charters Towers		10	0.81		386	31.18		6	0.48		254	20.52		12	0.97		18	1.45		18	1.45		0	0.00		207	16.72		246	19.87		28	2.26		53	4.28		0	0.00		1238	97.79		28	2.21		1266	1.59
Charters Towers Central		7	0.69		307	30.19		3	0.29		189	18.58		14	1.38		16	1.57		17	1.67		3	0.29		235	23.11		160	15.73		29	2.85		36	3.54		1	0.10		1017	98.83		12	1.17		1029	1.30
Charters Towers North		3	1.15		87	33.21		0	0.00		62	23.66		5	1.91		5	1.91		2	0.76		1	0.38		35	13.36		44	16.79		3	1.15		13	4.96		2	0.76		262	98.13		5	1.87		267	0.34
Chillagoe		1	0.57		34	19.32		0	0.00		32	18.18		0	0.00		3	1.70		0	0.00		0	0.00		63	35.80		27	15.34		15	8.52		1	0.57		0	0.00		176	99.44		1	0.56		177	0.22
Cloncurry		7	0.56		421	33.47		3	0.24		282	22.42		16	1.27		14	1.11		18	1.43		1	0.08		133	10.57		277	22.02		33	2.62		52	4.13		1	0.08		1258	98.13		24	1.87		1282	1.61
Croydon		1	0.72		46	33.33		0	0.00		22	15.94		1	0.72		2	1.45		1	0.72		0	0.00		44	31.88		19	13.77		1	0.72		1	0.72		0	0.00		138	100.00		0	0.00		138	0.17
Dajarra		2	2.38		58	69.05		0	0.00		10	11.90		0	0.00		1	1.19		0	0.00		0	0.00		1	1.19		5	5.95		5	5.95		2	2.38		0	0.00		84	100.00		0	0.00		84	0.11
Dimbulah		4	0.70		149	26.09		5	0.88		80	14.01		6	1.05		11	1.93		2	0.35		4	0.70		196	34.33		78	13.66		15	2.63		21	3.68		0	0.00		571	94.38		34	5.62		605	0.76
Doomadgee		4	1.07		289	77.48		1	0.27		25	6.70		7	1.88		3	0.80		3	0.80		2	0.54		1	0.27		19	5.09		16	4.29		3	0.80		0	0.00		373	96.88		12	3.12		385	0.48
East Palmerston		0	0.00		30	13.82		0	0.00		52	23.96		5	2.30		0	0.00		3	1.38		0	0.00		67	30.88		51	23.50		4	1.84		5	2.30		0	0.00		217	97.75		5	2.25		222	0.28
Einasleigh		0	0.00		4	12.90		0	0.00		13	41.94		0	0.00		0	0.00		0	0.00		0	0.00		12	38.71		2	6.45		0	0.00		0	0.00		0	0.00		31	91.18		3	8.82		34	0.04
El Arish		5	1.19		118	28.16		0	0.00		83	19.81		4	0.95		5	1.19		9	2.15		1	0.24		93	22.20		78	18.62		4	0.95		19	4.53		0	0.00		419	95.66		19	4.34		438	0.55
Emerald Creek		0	0.00		32	11.99		1	0.37		61	22.85		2	0.75		5	1.87		4	1.50		0	0.00		90	33.71		54	20.22		8	3.00		10	3.75		0	0.00		267	96.74		9	3.26		276	0.35
Evelyn Central		1	1.64		14	22.95		1	1.64		8	13.11		1	1.64		0	0.00		0	0.00		0	0.00		28	45.90		5	8.20		0	0.00		3	4.92		0	0.00		61	96.83		2	3.17		63	0.08
Feluga		2	0.83		44	18.18		0	0.00		76	31.40		0	0.00		5	2.07		2	0.83		0	0.00		56	23.14		42	17.36		1	0.41		14	5.79		0	0.00		242	96.41		9	3.59		251	0.32
Flying Fish Point		0	0.00		86	30.39		0	0.00		35	12.37		2	0.71		11	3.89		7	2.47		0	0.00		69	24.38		61	21.55		2	0.71		9	3.18		1	0.35		283	97.59		7	2.41		290	0.37
Forrest Beach		3	0.51		161	27.20		0	0.00		88	14.86		5	0.84		15	2.53		9	1.52		2	0.34		141	23.82		124	20.95		12	2.03		31	5.24		1	0.17		592	99.00		6	1.00		598	0.75
Forsayth		0	0.00		10	13.51		0	0.00		16	21.62		0	0.00		0	0.00		1	1.35		1	1.35		24	32.43		20	27.03		0	0.00		2	2.70		0	0.00		74	100.00		0	0.00		74	0.09
Garradunga		1	0.40		38	15.38		0	0.00		58	23.48		2	0.81		2	0.81		6	2.43		1	0.40		58	23.48		73	29.55		3	1.21		5	2.02		0	0.00		247	97.24		7	2.76		254	0.32
Georgetown		2	1.40		27	18.88		0	0.00		39	27.27		2	1.40		0	0.00		2	1.40		0	0.00		32	22.38		29	20.28		6	4.20		4	2.80		0	0.00		143	100.00		0	0.00		143	0.18
Goondi		6	0.55		371	34.01		1	0.09		184	16.87		24	2.20		9	0.82		6	0.55		1	0.09		215	19.71		219	20.07		26	2.38		28	2.57		1	0.09		1091	96.21		43	3.79		1134	1.43
Gordonvale		8	0.31		773	29.49		6	0.23		427	16.29		42	1.60		56	2.14		33	1.26		10	0.38		495	18.89		582	22.21		28	1.07		159	6.07		2	0.08		2621	96.32		100	3.68		2721	3.43
Greenvale		3	3.45		15	17.24		0	0.00		16	18.39		0	0.00		0	0.00		1	1.15		0	0.00		29	33.33		21	24.14		0	0.00		2	2.30		0	0.00		87	100.00		0	0.00		87	0.11
Halifax		0	0.00		249	41.99		5	0.84		72	12.14		9	1.52		7	1.18		11	1.85		0	0.00		126	21.25		91	15.35		7	1.18		16	2.70		0	0.00		593	95.65		27	4.35		620	0.78
Happy Valley		8	0.91		290	33.11		0	0.00		118	13.47		11	1.26		19	2.17		12	1.37		1	0.11		129	14.73		226	25.80		16	1.83		44	5.02		2	0.23		876	97.88		19	2.12		895	1.13
Hawkins Creek		0	0.00		23	13.29		0	0.00		48	27.75		3	1.73		1	0.58		3	1.73		0	0.00		45	26.01		45	26.01		3	1.73		2	1.16		0	0.00		173	96.11		7	3.89		180	0.23
Healy		4	0.33		408	34.14		0	0.00		133	11.13		13	1.09		31	2.59		24	2.01		3	0.25		149	12.47		315	26.36		21	1.76		91	7.62		3	0.25		1195	99.17		10	0.83		1205	1.52
Herberton		2	0.33		194	31.96		1	0.16		87	14.33		4	0.66		38	6.26		15	2.47		0	0.00		147	24.22		83	13.67		8	1.32		28	4.61		0	0.00		607	98.38		10	1.62		617	0.78
Homestead		0	0.00		36	50.00		0	0.00		14	19.44		1	1.39		0	0.00		0	0.00		0	0.00		13	18.06		7	9.72		1	1.39		0	0.00		0	0.00		72	98.63		1	1.37		73	0.09
Hughenden		4	0.57		273	38.94		3	0.43		112	15.98		1	0.14		6	0.86		4	0.57		0	0.00		173	24.68		89	12.70		21	3.00		15	2.14		0	0.00		701	95.63		32	4.37		733	0.92
Ingham		7	0.37		578	30.49		3	0.16		308	16.24		40	2.11		14	0.74		27	1.42		3	0.16		382	20.15		420	22.15		51	2.69		62	3.27		1	0.05		1896	95.42		91	4.58		1987	2.50
Ingham Hospital		14	1.21		394	33.94		1	0.09		191	16.45		18	1.55		6	0.52		14	1.21		2	0.17		163	14.04		294	25.32		21	1.81		40	3.45		3	0.26		1161	96.59		41	3.41		1202	1.51
Innisfail		19	0.96		673	33.89		4	0.20		285	14.35		29	1.46		34	1.71		29	1.46		4	0.20		324	16.31		468	23.56		42	2.11		73	3.68		2	0.10		1986	96.03		82	3.97		2068	2.60
Innisfail East		3	0.24		430	34.90		1	0.08		174	14.12		29	2.35		10	0.81		17	1.38		3	0.24		231	18.75		259	21.02		26	2.11		48	3.90		1	0.08		1232	98.40		20	1.60		1252	1.58
Innisfail Hospital		3	0.46		219	33.33		2	0.30		102	15.53		23	3.50		9	1.37		8	1.22		0	0.00		98	14.92		155	23.59		14	2.13		23	3.50		1	0.15		657	96.33		25	3.67		682	0.86
Innot Hot Springs		0	0.00		27	18.75		0	0.00		33	22.92		0	0.00		7	4.86		3	2.08		0	0.00		47	32.64		19	13.19		1	0.69		7	4.86		0	0.00		144	97.30		4	2.70		148	0.19
Irvinebank		0	0.00		28	40.58		0	0.00		4	5.80		0	0.00		2	2.90		2	2.90		0	0.00		24	34.78		6	8.70		0	0.00		3	4.35		0	0.00		69	98.57		1	1.43		70	0.09
Julia Creek		1	0.38		55	20.91		0	0.00		68	25.86		2	0.76		5	1.90		1	0.38		0	0.00		42	15.97		75	28.52		11	4.18		3	1.14		0	0.00		263	97.41		7	2.59		270	0.34
Kairi		0	0.00		68	15.85		2	0.47		100	23.31		7	1.63		10	2.33		3	0.70		2	0.47		119	27.74		81	18.88		6	1.40		31	7.23		0	0.00		429	97.72		10	2.28		439	0.55
Kalkadoon		6	0.88		312	45.88		3	0.44		77	11.32		4	0.59		11	1.62		14	2.06		0	0.00		81	11.91		107	15.74		24	3.53		41	6.03		0	0.00		680	95.51		32	4.49		712	0.90
Karumba		2	0.62		69	21.50		0	0.00		36	11.21		1	0.31		5	1.56		6	1.87		0	0.00		80	24.92		96	29.91		9	2.80		17	5.30		0	0.00		321	96.11		13	3.89		334	0.42
Kennedy		0	0.00		50	22.42		0	0.00		64	28.70		7	3.14		4	1.79		0	0.00		1	0.45		49	21.97		37	16.59		4	1.79		7	3.14		0	0.00		223	98.24		4	1.76		227	0.29
Kurrimine Beach		2	0.49		87	21.12		1	0.24		91	22.09		2	0.49		5	1.21		2	0.49		0	0.00		105	25.49		105	25.49		1	0.24		10	2.43		1	0.24		412	97.17		12	2.83		424	0.53
Long Pocket		1	0.60		13	7.83		2	1.20		40	24.10		0	0.00		4	2.41		1	0.60		0	0.00		57	34.34		37	22.29		3	1.81		8	4.82		0	0.00		166	98.81		2	1.19		168	0.21
Lower Tully		2	0.53		65	17.20		0	0.00		96	25.40		1	0.26		3	0.79		8	2.12		0	0.00		115	30.42		73	19.31		3	0.79		12	3.17		0	0.00		378	97.17		11	2.83		389	0.49
Lucinda		4	1.28		83	26.52		1	0.32		56	17.89		2	0.64		5	1.60		4	1.28		0	0.00		98	31.31		50	15.97		6	1.92		4	1.28		0	0.00		313	96.01		13	3.99		326	0.41
Mcdonnell Creek		0	0.00		31	15.58		0	0.00		43	21.61		0	0.00		8	4.02		0	0.00		0	0.00		71	35.68		39	19.60		1	0.50		6	3.02		0	0.00		199	97.07		6	2.93		205	0.26
Mckinlay		0	0.00		3	11.11		0	0.00		5	18.52		0	0.00		0	0.00		0	0.00		0	0.00		6	22.22		12	44.44		1	3.70		0	0.00		0	0.00		27	100.00		0	0.00		27	0.03
Macknade		3	1.14		74	28.14		0	0.00		56	21.29		3	1.14		3	1.14		3	1.14		2	0.76		63	23.95		44	16.73		6	2.28		6	2.28		0	0.00		263	97.05		8	2.95		271	0.34
Malanda		4	0.22		369	20.75		4	0.22		321	18.05		27	1.52		71	3.99		30	1.69		2	0.11		483	27.17		367	20.64		16	0.90		82	4.61		2	0.11		1778	97.53		45	2.47		1823	2.29
Mareeba		17	0.63		668	24.89		6	0.22		508	18.93		24	0.89		41	1.53		26	0.97		4	0.15		690	25.71		511	19.04		65	2.42		122	4.55		2	0.07		2684	93.98		172	6.02		2856	3.59
Mareeba Hospital		5	0.53		267	28.50		5	0.53		179	19.10		12	1.28		11	1.17		7	0.75		2	0.21		254	27.11		150	16.01		16	1.71		29	3.09		0	0.00		937	94.65		53	5.35		990	1.25
Mareeba West		7	0.61		362	31.51		3	0.26		187	16.28		5	0.44		19	1.65		16	1.39		2	0.17		304	26.46		177	15.40		16	1.39		50	4.35		1	0.09		1149	96.88		37	3.12		1186	1.49
Mena Creek		0	0.00		57	15.41		0	0.00		78	21.08		3	0.81		17	4.59		11	2.97		0	0.00		113	30.54		71	19.19		7	1.89		13	3.51		0	0.00		370	98.93		4	1.07		374	0.47
Millaa Millaa		2	0.50		86	21.34		0	0.00		95	23.57		4	0.99		14	3.47		5	1.24		0	0.00		139	34.49		40	9.93		5	1.24		13	3.23		0	0.00		403	98.77		5	1.23		408	0.51
Mingela		0	0.00		8	20.51		0	0.00		14	35.90		0	0.00		0	0.00		0	0.00		0	0.00		12	30.77		3	7.69		1	2.56		1	2.56		0	0.00		39	100.00		0	0.00		39	0.05
Miriwinni		3	0.66		63	13.85		2	0.44		96	21.10		2	0.44		18	3.96		5	1.10		1	0.22		134	29.45		110	24.18		5	1.10		16	3.52		0	0.00		455	95.39		22	4.61		477	0.60
Mission Beach		2	0.31		146	22.43		0	0.00		86	13.21		3	0.46		48	7.37		14	2.15		0	0.00		104	15.98		199	30.57		7	1.08		41	6.30		1	0.15		651	97.46		17	2.54		668	0.84
Moresby		3	1.06		58	20.57		0	0.00		67	23.76		2	0.71		6	2.13		1	0.35		0	0.00		70	24.82		64	22.70		2	0.71		9	3.19		0	0.00		282	98.26		5	1.74		287	0.36
Mornington Island		21	5.26		282	70.68		6	1.50		21	5.26		2	0.50		5	1.25		3	0.75		3	0.75		5	1.25		33	8.27		9	2.26		8	2.01		1	0.25		399	85.62		67	14.38		466	0.59
Mount Garnet		1	0.36		109	39.64		2	0.73		38	13.82		3	1.09		7	2.55		2	0.73		0	0.00		75	27.27		29	10.55		5	1.82		4	1.45		0	0.00		275	94.50		16	5.50		291	0.37
Mount Isa		14	0.77		612	33.46		3	0.16		231	12.63		25	1.37		42	2.30		24	1.31		1	0.05		305	16.68		410	22.42		35	1.91		125	6.83		2	0.11		1829	96.42		68	3.58		1897	2.39
Mount Isa Hospital		1	0.24		175	42.58		0	0.00		41	9.98		5	1.22		17	4.14		10	2.43		2	0.49		41	9.98		68	16.55		16	3.89		35	8.52		0	0.00		411	96.93		13	3.07		424	0.53
Mount Isa West		4	1.01		159	40.15		2	0.51		38	9.60		2	0.51		5	1.26		12	3.03		1	0.25		60	15.15		73	18.43		6	1.52		33	8.33		1	0.25		396	98.51		6	1.49		402	0.51
Mount Surprise		0	0.00		17	20.99		0	0.00		17	20.99		0	0.00		2	2.47		5	6.17		0	0.00		18	22.22		18	22.22		2	2.47		2	2.47		0	0.00		81	98.78		1	1.22		82	0.10
Mourilyan		8	1.00		219	27.41		3	0.38		143	17.90		12	1.50		11	1.38		17	2.13		2	0.25		207	25.91		139	17.40		14	1.75		24	3.00		0	0.00		799	95.23		40	4.77		839	1.06
Murray Upper		5	1.82		81	29.56		0	0.00		64	23.36		5	1.82		5	1.82		8	2.92		0	0.00		51	18.61		49	17.88		2	0.73		4	1.46		0	0.00		274	95.47		13	4.53		287	0.36
Mutchilba		3	1.30		42	18.26		1	0.43		49	21.30		1	0.43		3	1.30		4	1.74		3	1.30		52	22.61		58	25.22		2	0.87		11	4.78		1	0.43		230	95.04		12	4.96		242	0.30
Normanton		2	0.36		321	57.63		2	0.36		64	11.49		2	0.36		2	0.36		8	1.44		1	0.18		54	9.69		76	13.64		11	1.97		14	2.51		0	0.00		557	96.03		23	3.97		580	0.73
Pentland		0	0.00		32	21.19		1	0.66		25	16.56		0	0.00		2	1.32		1	0.66		1	0.66		51	33.77		30	19.87		4	2.65		4	2.65		0	0.00		151	96.79		5	3.21		156	0.20
Prairie		0	0.00		11	19.64		0	0.00		20	35.71		0	0.00		0	0.00		0	0.00		0	0.00		14	25.00		11	19.64		0	0.00		0	0.00		0	0.00		56	98.25		1	1.75		57	0.07
Queenton		8	0.59		449	33.11		4	0.29		256	18.88		10	0.74		18	1.33		17	1.25		7	0.52		292	21.53		222	16.37		45	3.32		27	1.99		1	0.07		1356	96.03		56	3.97		1412	1.78
Ravenshoe		13	1.24		216	20.65		0	0.00		189	18.07		4	0.38		59	5.64		16	1.53		0	0.00		323	30.88		139	13.29		32	3.06		52	4.97		3	0.29		1046	97.39		28	2.61		1074	1.35
Ravenswood		1	0.46		65	30.09		0	0.00		32	14.81		1	0.46		8	3.70		3	1.39		0	0.00		44	20.37		46	21.30		5	2.31		11	5.09		0	0.00		216	96.00		9	4.00		225	0.28
Richmond		3	0.74		125	30.79		2	0.49		148	36.45		2	0.49		6	1.48		4	0.99		2	0.49		46	11.33		49	12.07		11	2.71		8	1.97		0	0.00		406	97.13		12	2.87		418	0.53
Richmond Hill		11	1.16		293	30.97		2	0.21		204	21.56		9	0.95		16	1.69		6	0.63		3	0.32		175	18.50		170	17.97		11	1.16		46	4.86		0	0.00		946	96.73		32	3.27		978	1.23
Rollingstone		5	0.82		188	30.77		0	0.00		105	17.18		1	0.16		12	1.96		11	1.80		0	0.00		98	16.04		154	25.20		15	2.45		22	3.60		0	0.00		611	98.07		12	1.93		623	0.78
Silkwood		5	1.37		84	23.01		0	0.00		72	19.73		0	0.00		10	2.74		4	1.10		3	0.82		101	27.67		71	19.45		8	2.19		7	1.92		0	0.00		365	91.25		35	8.75		400	0.50
Soldiers Hill		6	0.61		386	39.39		2	0.20		133	13.57		9	0.92		19	1.94		13	1.33		3	0.31		149	15.20		186	18.98		19	1.94		53	5.41		2	0.20		980	97.22		28	2.78		1008	1.27
South Johnstone		4	1.12		109	30.45		0	0.00		57	15.92		6	1.68		5	1.40		11	3.07		1	0.28		77	21.51		69	19.27		10	2.79		9	2.51		0	0.00		358	96.50		13	3.50		371	0.47
South Mission Beach		3	0.44		147	21.59		1	0.15		116	17.03		4	0.59		24	3.52		16	2.35		0	0.00		112	16.45		209	30.69		11	1.62		37	5.43		1	0.15		681	96.73		23	3.27		704	0.89
Sunset		4	0.31		463	35.48		3	0.23		147	11.26		12	0.92		36	2.76		23	1.76		4	0.31		197	15.10		325	24.90		28	2.15		61	4.67		2	0.15		1305	97.32		36	2.68		1341	1.69
Tolga		5	0.40		241	19.31		4	0.32		255	20.43		12	0.96		27	2.16		23	1.84		3	0.24		358	28.69		253	20.27		22	1.76		44	3.53		1	0.08		1248	97.42		33	2.58		1281	1.61
Toobanna		0	0.00		87	23.90		1	0.27		95	26.10		0	0.00		3	0.82		2	0.55		1	0.27		83	22.80		71	19.51		12	3.30		9	2.47		0	0.00		364	97.07		11	2.93		375	0.47
Townview		8	0.84		345	36.28		2	0.21		121	12.72		16	1.68		14	1.47		19	2.00		0	0.00		160	16.82		189	19.87		32	3.36		45	4.73		0	0.00		951	97.04		29	2.96		980	1.23
Trebonne		1	0.23		75	17.16		1	0.23		125	28.60		5	1.14		5	1.14		2	0.46		1	0.23		102	23.34		95	21.74		15	3.43		10	2.29		0	0.00		437	97.76		10	2.24		447	0.56
Tully		9	0.68		372	28.29		6	0.46		324	24.64		10	0.76		29	2.21		17	1.29		1	0.08		263	20.00		216	16.43		19	1.44		47	3.57		2	0.15		1315	97.70		31	2.30		1346	1.69
Tully Hospital		4	0.61		209	31.96		2	0.31		145	22.17		4	0.61		1	0.15		9	1.38		0	0.00		116	17.74		147	22.48		7	1.07		10	1.53		0	0.00		654	96.46		24	3.54		678	0.85
Upper Barron		0	0.00		14	10.94		0	0.00		25	19.53		4	3.13		1	0.78		8	6.25		0	0.00		46	35.94		27	21.09		1	0.78		2	1.56		0	0.00		128	99.22		1	0.78		129	0.16
Upper Stone		1	1.45		9	13.04		0	0.00		28	40.58		1	1.45		2	2.90		0	0.00		1	1.45		15	21.74		10	14.49		1	1.45		1	1.45		0	0.00		69	100.00		0	0.00		69	0.09
Victoria Estate		0	0.00		75	15.09		1	0.20		121	24.35		4	0.80		7	1.41		4	0.80		0	0.00		140	28.17		127	25.55		8	1.61		10	2.01		0	0.00		497	98.22		9	1.78		506	0.64
Walkamin		0	0.00		41	14.44		3	1.06		81	28.52		3	1.06		7	2.46		2	0.70		2	0.70		69	24.30		54	19.01		8	2.82		14	4.93		0	0.00		284	96.27		11	3.73		295	0.37
Wangan		4	0.78		127	24.61		0	0.00		90	17.44		12	2.33		6	1.16		6	1.16		0	0.00		136	26.36		113	21.90		14	2.71		8	1.55		0	0.00		516	96.81		17	3.19		533	0.67
Wondecla		2	0.75		51	19.25		3	1.13		21	7.92		5	1.89		15	5.66		6	2.26		2	0.75		99	37.36		47	17.74		4	1.51		10	3.77		0	0.00		265	98.51		4	1.49		269	0.34
Yungaburra		4	0.38		214	20.44		2	0.19		189	18.05		15	1.43		60	5.73		10	0.96		4	0.38		271	25.88		191	18.24		12	1.15		73	6.97		2	0.19		1047	97.85		23	2.15		1070	1.35
Special Hospitals		3	0.94		136	42.50		6	1.88		73	22.81		2	0.63		2	0.63		0	0.00		1	0.31		45	14.06		44	13.75		5	1.56		3	0.94		0	0.00		320	94.67		18	5.33		338	0.43
Total Ordinary		399	0.61		19027	29.18		162	0.25		11407	17.49		745	1.14		1380	2.12		893	1.37		128	0.20		13889	21.30		13193	20.23		1245	1.91		2685	4.12		57	0.09		65210	96.66		2252	3.34		67462	84.92
ABSENT		31	0.59		1486	28.45		8	0.15		602	11.52		63	1.21		164	3.14		94	1.80		7	0.13		882	16.88		1502	28.75		105	2.01		273	5.23		7	0.13		5224	98.16		98	1.84		5322	6.70
POSTAL		15	0.41		616	16.73		10	0.27		1252	34.00		30	0.81		37	1.00		31	0.84		1	0.03		717	19.47		816	22.16		59	1.60		94	2.55		4	0.11		3682	98.74		47	1.26		3729	4.69
PRE_POLL		3	0.16		574	29.80		0	0.00		224	11.63		24	1.25		55	2.86		29	1.51		5	0.26		318	16.51		515	26.74		30	1.56		142	7.37		7	0.36		1926	98.52		29	1.48		1955	2.46
PROVISIONAL		12	1.26		374	39.37		4	0.42		99	10.42		10	1.05		26	2.74		20	2.11		1	0.11		176	18.53		155	16.32		39	4.11		33	3.47		1	0.11		950	97.34		26	2.66		976	1.23
Division Summary		460	0.6		22077	28.67		184	0.24		13584	17.64		872	1.13		1662	2.16		1067	1.39		142	0.18		15982	20.76		16181	21.02		1478	1.92		3227	4.19		76	0.1		76992	96.91		2452	3.09		79444	93.75
