House of Representatives - 2001 Election: Queensland																				
Distribution of Preferences																				
By Polling Place																				
Rankin																				
				EMERSON			WOOD			MACKENZIE			LLOYD			DOBSON				
	FOURTH			2	66.67		1	33.33			Excluded								3	
		TOTAL		88	53.01		78	46.99											166	
				Elected																
																				
Special Hospital Team 2                                        																				
	FIRST			45	40.54		56	50.45		6	5.41		3	2.70		1	0.90		111	
	SECOND			0	0.00		1	33.33		2	66.67			Excluded		0	0.00		3	
		TOTAL		45	40.54		57	51.35		8	7.21					1	0.90		111	
	THIRD			0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		45	40.54		57	51.35		9	8.11								111	
	FOURTH			4	44.44		5	55.56			Excluded								9	
		TOTAL		49	44.14		62	55.86											111	
				Elected																
																				
Special Hospital Team 3                                        																				
	FIRST			34	45.33		36	48.00		5	6.67		0	0.00		0	0.00		75	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		34	45.33		36	48.00		5	6.67					0	0.00		75	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		34	45.33		36	48.00		5	6.67								75	
	FOURTH			2	40.00		3	60.00			Excluded								5	
		TOTAL		36	48.00		39	52.00											75	
				Elected																
																				
ABSENT																				
	FIRST			2146	43.14		1882	37.84		381	7.66		239	4.80		326	6.55		4974	
	SECOND			65	27.20		30	12.55		39	16.32			Excluded		105	43.93		239	
		TOTAL		2211	44.45		1912	38.44		420	8.44					431	8.67		4974	
	THIRD			222	51.51		127	29.47		82	19.03						Excluded		431	
		TOTAL		2433	48.91		2039	40.99		502	10.09								4974	
	FOURTH			226	45.02		276	54.98			Excluded								502	
		TOTAL		2659	53.46		2315	46.54											4974	
				Elected																
																				
POSTAL																				
	FIRST			1760	51.84		1179	34.73		297	8.75		52	1.53		107	3.15		3395	
	SECOND			10	19.23		6	11.54		4	7.69			Excluded		32	61.54		52	
		TOTAL		1770	52.14		1185	34.90		301	8.87					139	4.09		3395	
	THIRD			66	47.48		47	33.81		26	18.71						Excluded		139	
		TOTAL		1836	54.08		1232	36.29		327	9.63								3395	
	FOURTH			137	41.90		190	58.10			Excluded								327	
		TOTAL		1973	58.11		1422	41.89											3395	
				Elected																
																				
PRE POLL																				
	FIRST			1324	49.26		984	36.61		176	6.55		66	2.46		138	5.13		2688	
	SECOND			14	21.21		9	13.64		8	12.12			Excluded		35	53.03		66	
		TOTAL		1338	49.78		993	36.94		184	6.85					173	6.44		2688	
	THIRD			85	49.13		62	35.84		26	15.03						Excluded		173	
		TOTAL		1423	52.94		1055	39.25		210	7.81								2688	
	FOURTH			93	44.29		117	55.71			Excluded								210	
		TOTAL		1516	56.40		1172	43.60											2688	
				Elected																
																				
PROVISIONAL																				
	FIRST			257	58.41		109	24.77		34	7.73		20	4.55		20	4.55		440	
	SECOND			2	10.00		3	15.00		3	15.00			Excluded		12	60.00		20	
		TOTAL		259	58.86		112	25.45		37	8.41					32	7.27		440	
	THIRD			15	46.88		10	31.25		7	21.88						Excluded		32	
		TOTAL		274	62.27		122	27.73		44	10.00								440	
	FOURTH			16	36.36		28	63.64			Excluded								44	
		TOTAL		290	65.91		150	34.09											440	
				Elected																
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
