House of Representatives - 2001 Election: Queensland																						
Distribution of Preferences																						
By Polling Place																						
Fairfax																						
					SOMLYAY			JACKSON			MACKELLAR			RINGROSE			HENDERSON			PAULGER		
	THIRD			2	5.26					3	7.89			Excluded		15	39.47		18	47.37		38
		TOTAL		196	44.24					18	4.06					177	39.95		52	11.74		443
	FOURTH			6	33.33						Excluded					4	22.22		8	44.44		18
		TOTAL		202	45.60											181	40.86		60	13.54		443
	FIFTH			25	41.67											35	58.33			Excluded		60
		TOTAL		227	51.24											216	48.76					443
				Elected																		
																						
Cooran                                                         																						
	FIRST			208	32.96		37	5.86		81	12.84		44	6.97		212	33.60		49	7.77		631
	SECOND			3	8.11			Excluded		3	8.11		20	54.05		7	18.92		4	10.81		37
		TOTAL		211	33.44					84	13.31		64	10.14		219	34.71		53	8.40		631
	THIRD			12	18.75					3	4.69			Excluded		27	42.19		22	34.38		64
		TOTAL		223	35.34					87	13.79					246	38.99		75	11.89		631
	FOURTH			13	14.94						Excluded					16	18.39		58	66.67		87
		TOTAL		236	37.40											262	41.52		133	21.08		631
	FIFTH			46	34.59											87	65.41			Excluded		133
		TOTAL		282	44.69											349	55.31					631
				Elected																		
																						
Cooroy                                                         																						
	FIRST			1281	44.90		128	4.49		229	8.03		170	5.96		684	23.97		361	12.65		2853
	SECOND			14	10.94			Excluded		6	4.69		63	49.22		26	20.31		19	14.84		128
		TOTAL		1295	45.39					235	8.24		233	8.17		710	24.89		380	13.32		2853
	THIRD			23	9.87					16	6.87			Excluded		103	44.21		91	39.06		233
		TOTAL		1318	46.20					251	8.80					813	28.50		471	16.51		2853
	FOURTH			50	19.92						Excluded					38	15.14		163	64.94		251
		TOTAL		1368	47.95											851	29.83		634	22.22		2853
	FIFTH			290	45.74											344	54.26			Excluded		634
		TOTAL		1658	58.11											1195	41.89					2853
				Elected																		
																						
Deep Creek                                                     																						
	FIRST			118	35.76		13	3.94		56	16.97		10	3.03		82	24.85		51	15.45		330
	SECOND			3	23.08			Excluded		1	7.69		4	30.77		3	23.08		2	15.38		13
		TOTAL		121	36.67					57	17.27		14	4.24		85	25.76		53	16.06		330
	THIRD			2	14.29					1	7.14			Excluded		3	21.43		8	57.14		14
		TOTAL		123	37.27					58	17.58					88	26.67		61	18.48		330
	FOURTH			15	25.86						Excluded					4	6.90		39	67.24		58
		TOTAL		138	41.82											92	27.88		100	30.30		330
	FIFTH			51	51.00											49	49.00			Excluded		100
		TOTAL		189	57.27											141	42.73					330
				Elected																		
																						
Eumundi                                                        																						
	FIRST			757	41.43		80	4.38		126	6.90		210	11.49		443	24.25		211	11.55		1827
	SECOND			11	13.75			Excluded		1	1.25		38	47.50		12	15.00		18	22.50		80
		TOTAL		768	42.04					127	6.95		248	13.57		455	24.90		229	12.53		1827
	THIRD			27	10.89					10	4.03			Excluded		138	55.65		73	29.44		248
		TOTAL		795	43.51					137	7.50					593	32.46		302	16.53		1827
	FOURTH			31	22.63						Excluded					28	20.44		78	56.93		137
		TOTAL		826	45.21											621	33.99		380	20.80		1827
	FIFTH			169	44.47											211	55.53			Excluded		380
		TOTAL		995	54.46											832	45.54					1827
				Elected																		
																						
Federal                                                        																						
	FIRST			110	43.31		14	5.51		36	14.17		8	3.15		43	16.93		43	16.93		254
	SECOND			3	21.43			Excluded		0	0.00		6	42.86		4	28.57		1	7.14		14
		TOTAL		113	44.49					36	14.17		14	5.51		47	18.50		44	17.32		254
	THIRD			2	14.29					2	14.29			Excluded		6	42.86		4	28.57		14
		TOTAL		115	45.28					38	14.96					53	20.87		48	18.90		254
	FOURTH			9	23.68						Excluded					8	21.05		21	55.26		38
		TOTAL		124	48.82											61	24.02		69	27.17		254
	FIFTH			32	46.38											37	53.62			Excluded		69
		TOTAL		156	61.42											98	38.58					254
				Elected																		
																						
Goomboorian                                                    																						
	FIRST			228	44.97		11	2.17		96	18.93		16	3.16		85	16.77		71	14.00		507
	SECOND			0	0.00			Excluded		1	9.09		6	54.55		3	27.27		1	9.09		11
		TOTAL		228	44.97					97	19.13		22	4.34		88	17.36		72	14.20		507
	THIRD			1	4.55					2	9.09			Excluded		12	54.55		7	31.82		22
		TOTAL		229	45.17					99	19.53					100	19.72		79	15.58		507
	FOURTH			21	21.21						Excluded					15	15.15		63	63.64		99
		TOTAL		250	49.31											115	22.68		142	28.01		507
	FIFTH			72	50.70											70	49.30			Excluded		142
		TOTAL		322	63.51											185	36.49					507
				Elected																		
																						
Gympie Central                                                 																						
	FIRST			926	43.35		96	4.49		245	11.47		46	2.15		558	26.12		265	12.41		2136
	SECOND			19	19.79			Excluded		2	2.08		38	39.58		24	25.00		13	13.54		96
		TOTAL		945	44.24					247	11.56		84	3.93		582	27.25		278	13.01		2136
	THIRD			5	5.95					4	4.76			Excluded		34	40.48		41	48.81		84
		TOTAL		950	44.48					251	11.75					616	28.84		319	14.93		2136
	FOURTH			59	23.51						Excluded					44	17.53		148	58.96		251
		TOTAL		1009	47.24											660	30.90		467	21.86		2136
	FIFTH			217	46.47											250	53.53			Excluded		467
		TOTAL		1226	57.40											910	42.60					2136
				Elected																		
																						
Gympie East                                                    																						
	FIRST			590	39.68		61	4.10		169	11.37		45	3.03		426	28.65		196	13.18		1487
	SECOND			5	8.20			Excluded		10	16.39		13	21.31		17	27.87		16	26.23		61
		TOTAL		595	40.01					179	12.04		58	3.90		443	29.79		212	14.26		1487
	THIRD			6	10.34					7	12.07			Excluded		20	34.48		25	43.10		58
		TOTAL		601	40.42					186	12.51					463	31.14		237	15.94		1487
	FOURTH			50	26.88						Excluded					36	19.35		100	53.76		186
		TOTAL		651	43.78											499	33.56		337	22.66		1487
	FIFTH			166	49.26											171	50.74			Excluded		337
		TOTAL		817	54.94											670	45.06					1487
				Elected																		
																						
Gympie North                                                   																						
	FIRST			822	48.24		48	2.82		218	12.79		19	1.12		421	24.71		176	10.33		1704
	SECOND			18	37.50			Excluded		5	10.42		9	18.75		10	20.83		6	12.50		48
		TOTAL		840	49.30					223	13.09		28	1.64		431	25.29		182	10.68		1704
	THIRD			3	10.71					1	3.57			Excluded		11	39.29		13	46.43		28
		TOTAL		843	49.47					224	13.15					442	25.94		195	11.44		1704
	FOURTH			48	21.43						Excluded					31	13.84		145	64.73		224
		TOTAL		891	52.29											473	27.76		340	19.95		1704
	FIFTH			154	45.29											186	54.71			Excluded		340
		TOTAL		1045	61.33											659	38.67					1704
				Elected																		
																						
Gympie South                                                   																						
	FIRST			971	45.61		102	4.79		259	12.17		31	1.46		523	24.57		243	11.41		2129
	SECOND			21	20.59			Excluded		6	5.88		39	38.24		22	21.57		14	13.73		102
		TOTAL		992	46.59					265	12.45		70	3.29		545	25.60		257	12.07		2129
	THIRD			7	10.00					4	5.71			Excluded		24	34.29		35	50.00		70
		TOTAL		999	46.92					269	12.64					569	26.73		292	13.72		2129
	FOURTH			58	21.56						Excluded					35	13.01		176	65.43		269
		TOTAL		1057	49.65											604	28.37		468	21.98		2129
	FIFTH			202	43.16											266	56.84			Excluded		468
		TOTAL		1259	59.14											870	40.86					2129
				Elected																		
																						
Gympie West                                                    																						
	FIRST			536	46.65		42	3.66		117	10.18		23	2.00		280	24.37		151	13.14		1149
	SECOND			4	9.52			Excluded		3	7.14		18	42.86		11	26.19		6	14.29		42
		TOTAL		540	47.00					120	10.44		41	3.57		291	25.33		157	13.66		1149
	THIRD			4	9.76					2	4.88			Excluded		11	26.83		24	58.54		41
		TOTAL		544	47.35					122	10.62					302	26.28		181	15.75		1149
	FOURTH			37	30.33						Excluded					17	13.93		68	55.74		122
		TOTAL		581	50.57											319	27.76		249	21.67		1149
	FIFTH			119	47.79											130	52.21			Excluded		249
		TOTAL		700	60.92											449	39.08					1149
				Elected																		
																						
Imbil                                                          																						
	FIRST			315	42.45		18	2.43		112	15.09		28	3.77		143	19.27		126	16.98		742
	SECOND			4	22.22			Excluded		2	11.11		8	44.44		1	5.56		3	16.67		18
		TOTAL		319	42.99					114	15.36		36	4.85		144	19.41		129	17.39		742
	THIRD			3	8.33					7	19.44			Excluded		12	33.33		14	38.89		36
		TOTAL		322	43.40					121	16.31					156	21.02		143	19.27		742
	FOURTH			34	28.10						Excluded					18	14.88		69	57.02		121
		TOTAL		356	47.98											174	23.45		212	28.57		742
	FIFTH			101	47.64											111	52.36			Excluded		212
		TOTAL		457	61.59											285	38.41					742
				Elected																		
																						
Jones Hill                                                     																						
	FIRST			490	49.75		27	2.74		151	15.33		10	1.02		171	17.36		136	13.81		985
	SECOND			5	18.52			Excluded		1	3.70		9	33.33		5	18.52		7	25.93		27
		TOTAL		495	50.25					152	15.43		19	1.93		176	17.87		143	14.52		985
	THIRD			4	21.05					1	5.26			Excluded		4	21.05		10	52.63		19
		TOTAL		499	50.66					153	15.53					180	18.27		153	15.53		985
	FOURTH			41	26.80						Excluded					9	5.88		103	67.32		153
		TOTAL		540	54.82											189	19.19		256	25.99		985
	FIFTH			146	57.03											110	42.97			Excluded		256
		TOTAL		686	69.64											299	30.36					985
				Elected																		
																						
Kandanga                                                       																						
	FIRST			163	40.55		8	1.99		75	18.66		14	3.48		72	17.91		70	17.41		402
	SECOND			1	12.50			Excluded		1	12.50		2	25.00		3	37.50		1	12.50		8
		TOTAL		164	40.80					76	18.91		16	3.98		75	18.66		71	17.66		402
	THIRD			1	6.25					3	18.75			Excluded		4	25.00		8	50.00		16
		TOTAL		165	41.04					79	19.65					79	19.65		79	19.65		402
	FOURTH			14	17.72						Excluded					10	12.66		55	69.62		79
		TOTAL		179	44.53											89	22.14		134	33.33		402
	FIFTH			73	54.48											61	45.52			Excluded		134
		TOTAL		252	62.69											150	37.31					402
				Elected																		
																						
Kenilworth                                                     																						
	FIRST			210	36.21		12	2.07		46	7.93		32	5.52		106	18.28		174	30.00		580
	SECOND			3	25.00			Excluded		1	8.33		5	41.67		2	16.67		1	8.33		12
		TOTAL		213	36.72					47	8.10		37	6.38		108	18.62		175	30.17		580
	THIRD			3	8.11					3	8.11			Excluded		17	45.95		14	37.84		37
		TOTAL		216	37.24					50	8.62					125	21.55		189	32.59		580
	FOURTH			14	28.00						Excluded					9	18.00		27	54.00		50
		TOTAL		230	39.66											134	23.10		216	37.24		580
	FIFTH			111	51.39											105	48.61			Excluded		216
		TOTAL		341	58.79											239	41.21					580
				Elected																		
																						
Kin Kin                                                        																						
	FIRST			101	32.90		9	2.93		51	16.61		22	7.17		76	24.76		48	15.64		307
	SECOND			0	0.00			Excluded		1	11.11		4	44.44		2	22.22		2	22.22		9
		TOTAL		101	32.90					52	16.94		26	8.47		78	25.41		50	16.29		307
	THIRD			2	7.69					0	0.00			Excluded		17	65.38		7	26.92		26
		TOTAL		103	33.55					52	16.94					95	30.94		57	18.57		307
	FOURTH			9	17.31						Excluded					8	15.38		35	67.31		52
		TOTAL		112	36.48											103	33.55		92	29.97		307
	FIFTH			42	45.65											50	54.35			Excluded		92
		TOTAL		154	50.16											153	49.84					307
				Elected																		
																						
Kureelpa                                                       																						
	FIRST			318	51.37		20	3.23		37	5.98		21	3.39		123	19.87		100	16.16		619
	SECOND			3	15.00			Excluded		1	5.00		11	55.00		5	25.00		0	0.00		20
		TOTAL		321	51.86					38	6.14		32	5.17		128	20.68		100	16.16		619
	THIRD			4	12.50					0	0.00			Excluded		13	40.63		15	46.88		32
		TOTAL		325	52.50					38	6.14					141	22.78		115	18.58		619
	FOURTH			12	31.58						Excluded					3	7.89		23	60.53		38
		TOTAL		337	54.44											144	23.26		138	22.29		619
	FIFTH			67	48.55											71	51.45			Excluded		138
		TOTAL		404	65.27											215	34.73					619
				Elected																		
																						
Kybong                                                         																						
	FIRST			186	48.82		11	2.89		67	17.59		7	1.84		57	14.96		53	13.91		381
	SECOND			3	27.27			Excluded		1	9.09		4	36.36		3	27.27		0	0.00		11
		TOTAL		189	49.61					68	17.85		11	2.89		60	15.75		53	13.91		381
	THIRD			0	0.00					2	18.18			Excluded		2	18.18		7	63.64		11
		TOTAL		189	49.61					70	18.37					62	16.27		60	15.75		381
	FOURTH			18	25.71						Excluded					10	14.29		42	60.00		70
		TOTAL		207	54.33											72	18.90		102	26.77		381
	FIFTH			53	51.96											49	48.04			Excluded		102
		TOTAL		260	68.24											121	31.76					381
				Elected																		
																						
Mapleton                                                       																						
	FIRST			483	44.76		67	6.21		65	6.02		59	5.47		249	23.08		156	14.46		1079
	SECOND			2	2.99			Excluded		1	1.49		35	52.24		17	25.37		12	17.91		67
		TOTAL		485	44.95					66	6.12		94	8.71		266	24.65		168	15.57		1079
	THIRD			5	5.32					0	0.00			Excluded		45	47.87		44	46.81		94
		TOTAL		490	45.41					66	6.12					311	28.82		212	19.65		1079
	FOURTH			15	22.73						Excluded					5	7.58		46	69.70		66
		TOTAL		505	46.80											316	29.29		258	23.91		1079
	FIFTH			105	40.70											153	59.30			Excluded		258
		TOTAL		610	56.53											469	43.47					1079
				Elected																		
																						
Monkland                                                       																						
	FIRST			293	47.56		15	2.44		80	12.99		9	1.46		136	22.08		83	13.47		616
	SECOND			3	20.00			Excluded		1	6.67		4	26.67		4	26.67		3	20.00		15
		TOTAL		296	48.05					81	13.15		13	2.11		140	22.73		86	13.96		616
	THIRD			2	15.38					0	0.00			Excluded		5	38.46		6	46.15		13
		TOTAL		298	48.38					81	13.15					145	23.54		92	14.94		616
	FOURTH			21	25.93						Excluded					18	22.22		42	51.85		81
		TOTAL		319	51.79											163	26.46		134	21.75		616
	FIFTH			51	38.06											83	61.94			Excluded		134
		TOTAL		370	60.06											246	39.94					616
				Elected																		
																						
Montville                                                      																						
	FIRST			286	48.97		26	4.45		34	5.82		45	7.71		131	22.43		62	10.62		584
	SECOND			3	11.54			Excluded		1	3.85		13	50.00		4	15.38		5	19.23		26
		TOTAL		289	49.49					35	5.99		58	9.93		135	23.12		67	11.47		584
	THIRD			7	12.07					3	5.17			Excluded		24	41.38		24	41.38		58
		TOTAL		296	50.68					38	6.51					159	27.23		91	15.58		584
	FOURTH			18	47.37						Excluded					1	2.63		19	50.00		38
		TOTAL		314	53.77											160	27.40		110	18.84		584
	FIFTH			59	53.64											51	46.36			Excluded		110
		TOTAL		373	63.87											211	36.13					584
				Elected																		
																						
Mothar Mountain                                                																						
	FIRST			92	39.32		11	4.70		50	21.37		7	2.99		48	20.51		26	11.11		234
	SECOND			3	27.27			Excluded		2	18.18		3	27.27		2	18.18		1	9.09		11
		TOTAL		95	40.60					52	22.22		10	4.27		50	21.37		27	11.54		234
	THIRD			1	10.00					1	10.00			Excluded		3	30.00		5	50.00		10
		TOTAL		96	41.03					53	22.65					53	22.65		32	13.68		234
	FOURTH			12	22.64						Excluded					6	11.32		35	66.04		53
		TOTAL		108	46.15											59	25.21		67	28.63		234
	FIFTH			32	47.76											35	52.24			Excluded		67
		TOTAL		140	59.83											94	40.17					234
				Elected																		
																						
Mount Coolum                                                   																						
	FIRST			760	44.89		92	5.43		86	5.08		106	6.26		551	32.55		98	5.79		1693
	SECOND			12	13.04			Excluded		5	5.43		43	46.74		23	25.00		9	9.78		92
		TOTAL		772	45.60					91	5.38		149	8.80		574	33.90		107	6.32		1693
	THIRD			18	12.08					6	4.03			Excluded		52	34.90		73	48.99		149
		TOTAL		790	46.66					97	5.73					626	36.98		180	10.63		1693
	FOURTH			20	20.62						Excluded					15	15.46		62	63.92		97
		TOTAL		810	47.84											641	37.86		242	14.29		1693
	FIFTH			106	43.80											136	56.20			Excluded		242
		TOTAL		916	54.11											777	45.89					1693
				Elected																		
																						
Mudjimba                                                       																						
	FIRST			464	44.49		58	5.56		71	6.81		52	4.99		336	32.21		62	5.94		1043
	SECOND			4	6.90			Excluded		7	12.07		32	55.17		8	13.79		7	12.07		58
		TOTAL		468	44.87					78	7.48		84	8.05		344	32.98		69	6.62		1043
	THIRD			4	4.76					4	4.76			Excluded		29	34.52		47	55.95		84
		TOTAL		472	45.25					82	7.86					373	35.76		116	11.12		1043
	FOURTH			22	26.83						Excluded					19	23.17		41	50.00		82
		TOTAL		494	47.36											392	37.58		157	15.05		1043
	FIFTH			44	28.03											113	71.97			Excluded		157
		TOTAL		538	51.58											505	48.42					1043
				Elected																		
																						
Nambour                                                        																						
	FIRST			968	41.98		121	5.25		189	8.20		118	5.12		598	25.93		312	13.53		2306
	SECOND			16	13.22			Excluded		11	9.09		57	47.11		18	14.88		19	15.70		121
		TOTAL		984	42.67					200	8.67		175	7.59		616	26.71		331	14.35		2306
	THIRD			16	9.14					9	5.14			Excluded		59	33.71		91	52.00		175
		TOTAL		1000	43.37					209	9.06					675	29.27		422	18.30		2306
	FOURTH			46	22.01						Excluded					33	15.79		130	62.20		209
		TOTAL		1046	45.36											708	30.70		552	23.94		2306
	FIFTH			236	42.75											316	57.25			Excluded		552
		TOTAL		1282	55.59											1024	44.41					2306
				Elected																		
																						
Nambour Hospital                                               																						
	FIRST			477	46.49		42	4.09		63	6.14		39	3.80		250	24.37		155	15.11		1026
	SECOND			5	11.90			Excluded		3	7.14		19	45.24		6	14.29		9	21.43		42
		TOTAL		482	46.98					66	6.43		58	5.65		256	24.95		164	15.98		1026
	THIRD			7	12.07					5	8.62			Excluded		23	39.66		23	39.66		58
		TOTAL		489	47.66					71	6.92					279	27.19		187	18.23		1026
	FOURTH			19	26.76						Excluded					11	15.49		41	57.75		71
		TOTAL		508	49.51											290	28.27		228	22.22		1026
	FIFTH			99	43.42											129	56.58			Excluded		228
		TOTAL		607	59.16											419	40.84					1026
				Elected																		
																						
Nambour South                                                  																						
	FIRST			408	44.74		40	4.39		62	6.80		42	4.61		217	23.79		143	15.68		912
	SECOND			7	17.50			Excluded		1	2.50		13	32.50		13	32.50		6	15.00		40
		TOTAL		415	45.50					63	6.91		55	6.03		230	25.22		149	16.34		912
	THIRD			10	18.18					3	5.45			Excluded		15	27.27		27	49.09		55
		TOTAL		425	46.60					66	7.24					245	26.86		176	19.30		912
	FOURTH			12	18.18						Excluded					7	10.61		47	71.21		66
		TOTAL		437	47.92											252	27.63		223	24.45		912
	FIFTH			96	43.05											127	56.95			Excluded		223
		TOTAL		533	58.44											379	41.56					912
				Elected																		
																						
Nambour West                                                   																						
	FIRST			330	48.39		18	2.64		53	7.77		21	3.08		154	22.58		106	15.54		682
	SECOND			1	5.56			Excluded		2	11.11		3	16.67		8	44.44		4	22.22		18
		TOTAL		331	48.53					55	8.06		24	3.52		162	23.75		110	16.13		682
	THIRD			3	12.50					2	8.33			Excluded		15	62.50		4	16.67		24
		TOTAL		334	48.97					57	8.36					177	25.95		114	16.72		682
	FOURTH			11	19.30						Excluded					7	12.28		39	68.42		57
		TOTAL		345	50.59											184	26.98		153	22.43		682
	FIFTH			74	48.37											79	51.63			Excluded		153
		TOTAL		419	61.44											263	38.56					682
				Elected																		
																						
Noosa Heads                                                    																						
	FIRST			1832	52.13		257	7.31		95	2.70		264	7.51		940	26.75		126	3.59		3514
	SECOND			38	14.79			Excluded		7	2.72		137	53.31		49	19.07		26	10.12		257
		TOTAL		1870	53.22					102	2.90		401	11.41		989	28.14		152	4.33		3514
	THIRD			53	13.22					15	3.74			Excluded		178	44.39		155	38.65		401
		TOTAL		1923	54.72					117	3.33					1167	33.21		307	8.74		3514
	FOURTH			29	24.79						Excluded					29	24.79		59	50.43		117
		TOTAL		1952	55.55											1196	34.04		366	10.42		3514
	FIFTH			132	36.07											234	63.93			Excluded		366
		TOTAL		2084	59.31											1430	40.69					3514
				Elected																		
																						
Noosaville                                                     																						
	FIRST			1948	61.39		158	4.98		119	3.75		125	3.94		679	21.40		144	4.54		3173
	SECOND			27	17.09			Excluded		6	3.80		83	52.53		28	17.72		14	8.86		158
		TOTAL		1975	62.24					125	3.94		208	6.56		707	22.28		158	4.98		3173
	THIRD			31	14.90					11	5.29			Excluded		72	34.62		94	45.19		208
		TOTAL		2006	63.22					136	4.29					779	24.55		252	7.94		3173
	FOURTH			41	30.15						Excluded					23	16.91		72	52.94		136
		TOTAL		2047	64.51											802	25.28		324	10.21		3173
	FIFTH			105	32.41											219	67.59			Excluded		324
		TOTAL		2152	67.82											1021	32.18					3173
				Elected																		
																						
Noosaville School                                              																						
	FIRST			895	55.35		57	3.53		114	7.05		65	4.02		364	22.51		122	7.54		1617
	SECOND			10	17.54			Excluded		4	7.02		17	29.82		18	31.58		8	14.04		57
		TOTAL		905	55.97					118	7.30		82	5.07		382	23.62		130	8.04		1617
	THIRD			10	12.20					5	6.10			Excluded		34	41.46		33	40.24		82
		TOTAL		915	56.59					123	7.61					416	25.73		163	10.08		1617
	FOURTH			33	26.83						Excluded					12	9.76		78	63.41		123
		TOTAL		948	58.63											428	26.47		241	14.90		1617
	FIFTH			115	47.72											126	52.28			Excluded		241
		TOTAL		1063	65.74											554	34.26					1617
				Elected																		
																						
Noosaville West                                                																						
	FIRST			881	58.50		75	4.98		78	5.18		66	4.38		316	20.98		90	5.98		1506
	SECOND			19	25.33			Excluded		8	10.67		26	34.67		18	24.00		4	5.33		75
		TOTAL		900	59.76					86	5.71		92	6.11		334	22.18		94	6.24		1506
	THIRD			8	8.70					4	4.35			Excluded		38	41.30		42	45.65		92
		TOTAL		908	60.29					90	5.98					372	24.70		136	9.03		1506
	FOURTH			25	27.78						Excluded					19	21.11		46	51.11		90
		TOTAL		933	61.95											391	25.96		182	12.08		1506
	FIFTH			79	43.41											103	56.59			Excluded		182
		TOTAL		1012	67.20											494	32.80					1506
				Elected																		
																						
North Arm                                                      																						
	FIRST			81	36.99		6	2.74		26	11.87		12	5.48		43	19.63		51	23.29		219
	SECOND			2	33.33			Excluded		1	16.67		1	16.67		2	33.33		0	0.00		6
		TOTAL		83	37.90					27	12.33		13	5.94		45	20.55		51	23.29		219
	THIRD			3	23.08					0	0.00			Excluded		8	61.54		2	15.38		13
		TOTAL		86	39.27					27	12.33					53	24.20		53	24.20		219
	FOURTH			4	14.81						Excluded					1	3.70		22	81.48		27
		TOTAL		90	41.10											54	24.66		75	34.25		219
	FIFTH			33	44.00											42	56.00			Excluded		75
		TOTAL		123	56.16											96	43.84					219
				Elected																		
																						
North Shore                                                    																						
	FIRST			30	62.50		2	4.17		7	14.58		2	4.17		3	6.25		4	8.33		48
	SECOND			1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		31	64.58					7	14.58		3	6.25		3	6.25		4	8.33		48
	THIRD			3	100.00					0	0.00			Excluded		0	0.00		0	0.00		3
		TOTAL		34	70.83					7	14.58					3	6.25		4	8.33		48
	FOURTH			3	42.86						Excluded					1	14.29		3	42.86		7
		TOTAL		37	77.08											4	8.33		7	14.58		48
