House of Representatives - 2001 Election: Queensland																				
Distribution of Preferences																				
By Polling Place																				
Oxley																				
				ARMSTRONG			KUNZELMANN			MCKEON			PARER			RIPOLL				
	SECOND			21	13.91		69	45.70			Excluded		23	15.23		38	25.17		151	
		TOTAL		367	11.22		248	7.58					754	23.06		1901	58.13		3270	
	THIRD			51	20.56			Excluded					54	21.77		143	57.66		248	
		TOTAL		418	12.78								808	24.71		2044	62.51		3270	
	FOURTH				Excluded								285	68.18		133	31.82		418	
		TOTAL											1093	33.43		2177	66.57		3270	
																Elected				
																				
Grand Ave                                                      																				
	FIRST			93	5.30		134	7.63		44	2.51		847	48.23		638	36.33		1756	
	SECOND			3	6.82		21	47.73			Excluded		9	20.45		11	25.00		44	
		TOTAL		96	5.47		155	8.83					856	48.75		649	36.96		1756	
	THIRD			26	16.77			Excluded					48	30.97		81	52.26		155	
		TOTAL		122	6.95								904	51.48		730	41.57		1756	
	FOURTH				Excluded								80	65.57		42	34.43		122	
		TOTAL											984	56.04		772	43.96		1756	
																Elected				
																				
Harrisville                                                    																				
	FIRST			46	15.70		14	4.78		9	3.07		138	47.10		86	29.35		293	
	SECOND			4	44.44		2	22.22			Excluded		2	22.22		1	11.11		9	
		TOTAL		50	17.06		16	5.46					140	47.78		87	29.69		293	
	THIRD			7	43.75			Excluded					2	12.50		7	43.75		16	
		TOTAL		57	19.45								142	48.46		94	32.08		293	
	FOURTH				Excluded								43	75.44		14	24.56		57	
		TOTAL											185	63.14		108	36.86		293	
																Elected				
																				
Inala                                                          																				
	FIRST			142	5.44		127	4.86		61	2.34		589	22.55		1693	64.82		2612	
	SECOND			9	14.75		32	52.46			Excluded		9	14.75		11	18.03		61	
		TOTAL		151	5.78		159	6.09					598	22.89		1704	65.24		2612	
	THIRD			23	14.47			Excluded					43	27.04		93	58.49		159	
		TOTAL		174	6.66								641	24.54		1797	68.80		2612	
	FOURTH				Excluded								112	64.37		62	35.63		174	
		TOTAL											753	28.83		1859	71.17		2612	
																Elected				
																				
Inala West                                                     																				
	FIRST			66	4.63		47	3.30		33	2.32		264	18.53		1015	71.23		1425	
	SECOND			5	15.15		16	48.48			Excluded		3	9.09		9	27.27		33	
		TOTAL		71	4.98		63	4.42					267	18.74		1024	71.86		1425	
	THIRD			12	19.05			Excluded					15	23.81		36	57.14		63	
		TOTAL		83	5.82								282	19.79		1060	74.39		1425	
	FOURTH				Excluded								53	63.86		30	36.14		83	
		TOTAL											335	23.51		1090	76.49		1425	
																Elected				
																				
Ipswich                                                        																				
	FIRST			36	10.14		15	4.23		13	3.66		111	31.27		180	50.70		355	
	SECOND			1	7.69		7	53.85			Excluded		0	0.00		5	38.46		13	
		TOTAL		37	10.42		22	6.20					111	31.27		185	52.11		355	
	THIRD			6	27.27			Excluded					3	13.64		13	59.09		22	
		TOTAL		43	12.11								114	32.11		198	55.77		355	
	FOURTH				Excluded								32	74.42		11	25.58		43	
		TOTAL											146	41.13		209	58.87		355	
																Elected				
																				
Ipswich Hospital                                               																				
	FIRST			32	14.75		16	7.37		8	3.69		81	37.33		80	36.87		217	
	SECOND			1	12.50		2	25.00			Excluded		3	37.50		2	25.00		8	
		TOTAL		33	15.21		18	8.29					84	38.71		82	37.79		217	
	THIRD			2	11.11			Excluded					7	38.89		9	50.00		18	
		TOTAL		35	16.13								91	41.94		91	41.94		217	
	FOURTH				Excluded								30	85.71		5	14.29		35	
		TOTAL											121	55.76		96	44.24		217	
																Elected				
																				
Kruger School                                                  																				
	FIRST			511	12.76		249	6.22		153	3.82		1082	27.02		2010	50.19		4005	
	SECOND			17	11.11		58	37.91			Excluded		35	22.88		43	28.10		153	
		TOTAL		528	13.18		307	7.67					1117	27.89		2053	51.26		4005	
	THIRD			63	20.52			Excluded					93	30.29		151	49.19		307	
		TOTAL		591	14.76								1210	30.21		2204	55.03		4005	
	FOURTH				Excluded								364	61.59		227	38.41		591	
		TOTAL											1574	39.30		2431	60.70		4005	
																Elected				
																				
Newtown Ipswich                                                																				
	FIRST			100	10.95		52	5.70		31	3.40		341	37.35		389	42.61		913	
	SECOND			4	12.90		13	41.94			Excluded		5	16.13		9	29.03		31	
		TOTAL		104	11.39		65	7.12					346	37.90		398	43.59		913	
	THIRD			12	18.46			Excluded					17	26.15		36	55.38		65	
		TOTAL		116	12.71								363	39.76		434	47.54		913	
	FOURTH				Excluded								70	60.34		46	39.66		116	
		TOTAL											433	47.43		480	52.57		913	
																Elected				
																				
North Booval                                                   																				
	FIRST			142	11.20		57	4.50		40	3.15		380	29.97		649	51.18		1268	
	SECOND			4	10.00		19	47.50			Excluded		3	7.50		14	35.00		40	
		TOTAL		146	11.51		76	5.99					383	30.21		663	52.29		1268	
	THIRD			23	30.26			Excluded					22	28.95		31	40.79		76	
		TOTAL		169	13.33								405	31.94		694	54.73		1268	
	FOURTH				Excluded								94	55.62		75	44.38		169	
		TOTAL											499	39.35		769	60.65		1268	
																Elected				
																				
Pallara                                                        																				
	FIRST			43	7.39		21	3.61		23	3.95		282	48.45		213	36.60		582	
	SECOND			3	13.04		9	39.13			Excluded		4	17.39		7	30.43		23	
		TOTAL		46	7.90		30	5.15					286	49.14		220	37.80		582	
	THIRD			6	20.00			Excluded					11	36.67		13	43.33		30	
		TOTAL		52	8.93								297	51.03		233	40.03		582	
	FOURTH				Excluded								30	57.69		22	42.31		52	
		TOTAL											327	56.19		255	43.81		582	
																Elected				
																				
Peak Crossing                                                  																				
	FIRST			113	17.20		26	3.96		9	1.37		299	45.51		210	31.96		657	
	SECOND			1	11.11		4	44.44			Excluded		1	11.11		3	33.33		9	
		TOTAL		114	17.35		30	4.57					300	45.66		213	32.42		657	
	THIRD			8	26.67			Excluded					7	23.33		15	50.00		30	
		TOTAL		122	18.57								307	46.73		228	34.70		657	
	FOURTH				Excluded								74	60.66		48	39.34		122	
		TOTAL											381	57.99		276	42.01		657	
																Elected				
																				
Raceview School                                                																				
	FIRST			407	13.26		210	6.84		80	2.61		1020	33.24		1352	44.05		3069	
	SECOND			14	17.50		28	35.00			Excluded		19	23.75		19	23.75		80	
		TOTAL		421	13.72		238	7.75					1039	33.85		1371	44.67		3069	
	THIRD			55	23.11			Excluded					67	28.15		116	48.74		238	
		TOTAL		476	15.51								1106	36.04		1487	48.45		3069	
	FOURTH				Excluded								326	68.49		150	31.51		476	
		TOTAL											1432	46.66		1637	53.34		3069	
																Elected				
																				
Redbank                                                        																				
	FIRST			91	13.89		30	4.58		24	3.66		121	18.47		389	59.39		655	
	SECOND			7	29.17		10	41.67			Excluded		3	12.50		4	16.67		24	
		TOTAL		98	14.96		40	6.11					124	18.93		393	60.00		655	
	THIRD			11	27.50			Excluded					15	37.50		14	35.00		40	
		TOTAL		109	16.64								139	21.22		407	62.14		655	
	FOURTH				Excluded								75	68.81		34	31.19		109	
		TOTAL											214	32.67		441	67.33		655	
																Elected				
																				
Redbank Plains                                                 																				
	FIRST			336	15.98		86	4.09		77	3.66		577	27.45		1026	48.81		2102	
	SECOND			10	12.99		29	37.66			Excluded		18	23.38		20	25.97		77	
		TOTAL		346	16.46		115	5.47					595	28.31		1046	49.76		2102	
	THIRD			35	30.43			Excluded					34	29.57		46	40.00		115	
		TOTAL		381	18.13								629	29.92		1092	51.95		2102	
	FOURTH				Excluded								246	64.57		135	35.43		381	
		TOTAL											875	41.63		1227	58.37		2102	
																Elected				
																				
Richlands                                                      																				
	FIRST			134	12.61		39	3.67		34	3.20		272	25.59		584	54.94		1063	
	SECOND			4	11.76		20	58.82			Excluded		3	8.82		7	20.59		34	
		TOTAL		138	12.98		59	5.55					275	25.87		591	55.60		1063	
	THIRD			14	23.73			Excluded					13	22.03		32	54.24		59	
		TOTAL		152	14.30								288	27.09		623	58.61		1063	
	FOURTH				Excluded								97	63.82		55	36.18		152	
		TOTAL											385	36.22		678	63.78		1063	
																Elected				
																				
Richlands East                                                 																				
	FIRST			87	6.52		33	2.47		31	2.32		167	12.51		1017	76.18		1335	
	SECOND			4	12.90		11	35.48			Excluded		4	12.90		12	38.71		31	
		TOTAL		91	6.82		44	3.30					171	12.81		1029	77.08		1335	
	THIRD			6	13.64			Excluded					13	29.55		25	56.82		44	
		TOTAL		97	7.27								184	13.78		1054	78.95		1335	
	FOURTH				Excluded								59	60.82		38	39.18		97	
		TOTAL											243	18.20		1092	81.80		1335	
																Elected				
																				
Riverview                                                      																				
	FIRST			115	10.36		45	4.05		29	2.61		233	20.99		688	61.98		1110	
	SECOND			4	13.79		14	48.28			Excluded		4	13.79		7	24.14		29	
		TOTAL		119	10.72		59	5.32					237	21.35		695	62.61		1110	
	THIRD			22	37.29			Excluded					9	15.25		28	47.46		59	
		TOTAL		141	12.70								246	22.16		723	65.14		1110	
	FOURTH				Excluded								96	68.09		45	31.91		141	
		TOTAL											342	30.81		768	69.19		1110	
																Elected				
																				
Serviceton South                                               																				
	FIRST			132	6.72		103	5.25		39	1.99		409	20.84		1280	65.21		1963	
	SECOND			3	7.69		23	58.97			Excluded		6	15.38		7	17.95		39	
		TOTAL		135	6.88		126	6.42					415	21.14		1287	65.56		1963	
	THIRD			27	21.43			Excluded					33	26.19		66	52.38		126	
		TOTAL		162	8.25								448	22.82		1353	68.93		1963	
	FOURTH				Excluded								82	50.62		80	49.38		162	
		TOTAL											530	27.00		1433	73.00		1963	
																Elected				
																				
Silkstone                                                      																				
	FIRST			369	12.62		174	5.95		101	3.45		894	30.57		1386	47.40		2924	
	SECOND			20	19.80		43	42.57			Excluded		12	11.88		26	25.74		101	
		TOTAL		389	13.30		217	7.42					906	30.98		1412	48.29		2924	
	THIRD			41	18.89			Excluded					60	27.65		116	53.46		217	
		TOTAL		430	14.71								966	33.04		1528	52.26		2924	
	FOURTH				Excluded								298	69.30		132	30.70		430	
		TOTAL											1264	43.23		1660	56.77		2924	
																Elected				
																				
Springfield                                                    																				
	FIRST			148	8.06		129	7.03		74	4.03		634	34.53		851	46.35		1836	
	SECOND			10	13.51		38	51.35			Excluded		9	12.16		17	22.97		74	
		TOTAL		158	8.61		167	9.10					643	35.02		868	47.28		1836	
	THIRD			37	22.16			Excluded					52	31.14		78	46.71		167	
		TOTAL		195	10.62								695	37.85		946	51.53		1836	
	FOURTH				Excluded								130	66.67		65	33.33		195	
		TOTAL											825	44.93		1011	55.07		1836	
																Elected				
																				
West Ipswich                                                   																				
	FIRST			68	13.77		29	5.87		22	4.45		140	28.34		235	47.57		494	
	SECOND			4	18.18		7	31.82			Excluded		4	18.18		7	31.82		22	
		TOTAL		72	14.57		36	7.29					144	29.15		242	48.99		494	
	THIRD			7	19.44			Excluded					6	16.67		23	63.89		36	
		TOTAL		79	15.99								150	30.36		265	53.64		494	
	FOURTH				Excluded								51	64.56		28	35.44		79	
		TOTAL											201	40.69		293	59.31		494	
																Elected				
																				
Special Hospital Team 1                                        																				
	FIRST			7	8.33		2	2.38		1	1.19		31	36.90		43	51.19		84	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		7	8.33		2	2.38					31	36.90		44	52.38		84	
	THIRD			0	0.00			Excluded					0	0.00		2	100.00		2	
		TOTAL		7	8.33								31	36.90		46	54.76		84	
	FOURTH				Excluded								4	57.14		3	42.86		7	
		TOTAL											35	41.67		49	58.33		84	
																Elected				
																				
Special Hospital Team 2                                        																				
	FIRST			16	8.89		6	3.33		3	1.67		67	37.22		88	48.89		180	
	SECOND			2	66.67		0	0.00			Excluded		0	0.00		1	33.33		3	
		TOTAL		18	10.00		6	3.33					67	37.22		89	49.44		180	
	THIRD			2	33.33			Excluded					2	33.33		2	33.33		6	
		TOTAL		20	11.11								69	38.33		91	50.56		180	
	FOURTH				Excluded								19	95.00		1	5.00		20	
		TOTAL											88	48.89		92	51.11		180	
																Elected				
																				
ABSENT																				
	FIRST			602	12.68		338	7.12		277	5.84		1565	32.98		1964	41.38		4746	
	SECOND			35	12.64		130	46.93			Excluded		45	16.25		67	24.19		277	
		TOTAL		637	13.42		468	9.86					1610	33.92		2031	42.79		4746	
	THIRD			102	21.79			Excluded					142	30.34		224	47.86		468	
		TOTAL		739	15.57								1752	36.92		2255	47.51		4746	
	FOURTH				Excluded								451	61.03		288	38.97		739	
		TOTAL											2203	46.42		2543	53.58		4746	
																Elected				
																				
POSTAL																				
	FIRST			376	12.39		101	3.33		57	1.88		880	29.00		1620	53.39		3034	
	SECOND			7	12.28		28	49.12			Excluded		9	15.79		13	22.81		57	
		TOTAL		383	12.62		129	4.25					889	29.30		1633	53.82		3034	
	THIRD			24	18.60			Excluded					38	29.46		67	51.94		129	
		TOTAL		407	13.41								927	30.55		1700	56.03		3034	
	FOURTH				Excluded								264	64.86		143	35.14		407	
		TOTAL											1191	39.26		1843	60.74		3034	
																Elected				
																				
PRE POLL																				
	FIRST			243	11.23		140	6.47		76	3.51		769	35.55		935	43.23		2163	
	SECOND			13	17.11		32	42.11			Excluded		10	13.16		21	27.63		76	
		TOTAL		256	11.84		172	7.95					779	36.01		956	44.20		2163	
	THIRD			35	20.35			Excluded					51	29.65		86	50.00		172	
		TOTAL		291	13.45								830	38.37		1042	48.17		2163	
	FOURTH				Excluded								180	61.86		111	38.14		291	
		TOTAL											1010	46.69		1153	53.31		2163	
																Elected				
																				
PROVISIONAL																				
	FIRST			50	11.14		19	4.23		23	5.12		88	19.60		269	59.91		449	
	SECOND			10	43.48		5	21.74			Excluded		4	17.39		4	17.39		23	
		TOTAL		60	13.36		24	5.35					92	20.49		273	60.80		449	
	THIRD			7	29.17			Excluded					6	25.00		11	45.83		24	
		TOTAL		67	14.92								98	21.83		284	63.25		449	
	FOURTH				Excluded								47	70.15		20	29.85		67	
		TOTAL											145	32.29		304	67.71		449	
																Elected				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
