House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Brisbane																								
				MONSOUR			JANSEN			NIELSEN			LAVELLE			EKERT			DEWAR			BEVIS		
	THIRD		24	75.00		1	3.13		1	3.13						Excluded		3	9.38		3	9.38		32
		TOTAL	584	44.38		20	1.52		118	8.97								124	9.42		470	35.71		1316
	FOURTH		6	30.00			Excluded		7	35.00								1	5.00		6	30.00		20
		TOTAL	590	44.83					125	9.50								125	9.50		476	36.17		1316
	FIFTH		13	10.40						Excluded								80	64.00		32	25.60		125
		TOTAL	603	45.82														205	15.58		508	38.60		1316
	SIXTH		43	20.98															Excluded		162	79.02		205
		TOTAL	646	49.09																	670	50.91		1316
																					Elected			
																								
Brisbane City (Brisbane)                                       																								
	FIRST		806	37.33		37	1.71		203	9.40		27	1.25		50	2.32		310	14.36		726	33.63		2159
	SECOND		0	0.00		0	0.00		19	70.37			Excluded		0	0.00		4	14.81		4	14.81		27
		TOTAL	806	37.33		37	1.71		222	10.28					50	2.32		314	14.54		730	33.81		2159
	THIRD		40	80.00		2	4.00		1	2.00						Excluded		5	10.00		2	4.00		50
		TOTAL	846	39.18		39	1.81		223	10.33								319	14.78		732	33.90		2159
	FOURTH		21	53.85			Excluded		9	23.08								1	2.56		8	20.51		39
		TOTAL	867	40.16					232	10.75								320	14.82		740	34.28		2159
	FIFTH		15	6.47						Excluded								153	65.95		64	27.59		232
		TOTAL	882	40.85														473	21.91		804	37.24		2159
	SIXTH		121	25.58															Excluded		352	74.42		473
		TOTAL	1003	46.46																	1156	53.54		2159
																					Elected			
																								
Buranda                                                        																								
	FIRST		172	28.76		35	5.85		54	9.03		8	1.34		20	3.34		51	8.53		258	43.14		598
	SECOND		0	0.00		1	12.50		5	62.50			Excluded		0	0.00		1	12.50		1	12.50		8
		TOTAL	172	28.76		36	6.02		59	9.87					20	3.34		52	8.70		259	43.31		598
	THIRD		16	80.00		2	10.00		1	5.00						Excluded		0	0.00		1	5.00		20
		TOTAL	188	31.44		38	6.35		60	10.03								52	8.70		260	43.48		598
	FOURTH		21	55.26			Excluded		5	13.16								6	15.79		6	15.79		38
		TOTAL	209	34.95					65	10.87								58	9.70		266	44.48		598
	FIFTH		8	12.31						Excluded								40	61.54		17	26.15		65
		TOTAL	217	36.29														98	16.39		283	47.32		598
	SIXTH		30	30.61															Excluded		68	69.39		98
		TOTAL	247	41.30																	351	58.70		598
																					Elected			
																								
Dorrington                                                     																								
	FIRST		515	43.35		31	2.61		57	4.80		13	1.09		16	1.35		94	7.91		462	38.89		1188
	SECOND		1	7.69		0	0.00		7	53.85			Excluded		1	7.69		0	0.00		4	30.77		13
		TOTAL	516	43.43		31	2.61		64	5.39					17	1.43		94	7.91		466	39.23		1188
	THIRD		14	82.35		0	0.00		0	0.00						Excluded		2	11.76		1	5.88		17
		TOTAL	530	44.61		31	2.61		64	5.39								96	8.08		467	39.31		1188
	FOURTH		18	58.06			Excluded		5	16.13								1	3.23		7	22.58		31
		TOTAL	548	46.13					69	5.81								97	8.16		474	39.90		1188
	FIFTH		6	8.70						Excluded								37	53.62		26	37.68		69
		TOTAL	554	46.63														134	11.28		500	42.09		1188
	SIXTH		43	32.09															Excluded		91	67.91		134
		TOTAL	597	50.25																	591	49.75		1188
																					Elected			
																								
Dutton Park                                                    																								
	FIRST		281	27.99		11	1.10		111	11.06		23	2.29		18	1.79		74	7.37		486	48.41		1004
	SECOND		3	13.04		0	0.00		18	78.26			Excluded		0	0.00		2	8.70		0	0.00		23
		TOTAL	284	28.29		11	1.10		129	12.85					18	1.79		76	7.57		486	48.41		1004
	THIRD		16	88.89		0	0.00		0	0.00						Excluded		0	0.00		2	11.11		18
		TOTAL	300	29.88		11	1.10		129	12.85								76	7.57		488	48.61		1004
	FOURTH		6	54.55			Excluded		1	9.09								1	9.09		3	27.27		11
		TOTAL	306	30.48					130	12.95								77	7.67		491	48.90		1004
	FIFTH		8	6.15						Excluded								83	63.85		39	30.00		130
		TOTAL	314	31.27														160	15.94		530	52.79		1004
	SIXTH		30	18.75															Excluded		130	81.25		160
		TOTAL	344	34.26																	660	65.74		1004
																					Elected			
																								
East Brisbane                                                  																								
	FIRST		956	38.83		56	2.27		170	6.90		37	1.50		72	2.92		211	8.57		960	38.99		2462
	SECOND		0	0.00		5	13.51		23	62.16			Excluded		1	2.70		4	10.81		4	10.81		37
		TOTAL	956	38.83		61	2.48		193	7.84					73	2.97		215	8.73		964	39.16		2462
	THIRD		56	76.71		1	1.37		6	8.22						Excluded		5	6.85		5	6.85		73
		TOTAL	1012	41.10		62	2.52		199	8.08								220	8.94		969	39.36		2462
	FOURTH		25	40.32			Excluded		17	27.42								10	16.13		10	16.13		62
		TOTAL	1037	42.12					216	8.77								230	9.34		979	39.76		2462
	FIFTH		31	14.35						Excluded								127	58.80		58	26.85		216
		TOTAL	1068	43.38														357	14.50		1037	42.12		2462
	SIXTH		93	26.05															Excluded		264	73.95		357
		TOTAL	1161	47.16																	1301	52.84		2462
																					Elected			
																								
Enoggera                                                       																								
	FIRST		488	41.96		42	3.61		65	5.59		6	0.52		21	1.81		104	8.94		437	37.58		1163
	SECOND		0	0.00		0	0.00		4	66.67			Excluded		0	0.00		2	33.33		0	0.00		6
		TOTAL	488	41.96		42	3.61		69	5.93					21	1.81		106	9.11		437	37.58		1163
	THIRD		20	95.24		0	0.00		0	0.00						Excluded		1	4.76		0	0.00		21
		TOTAL	508	43.68		42	3.61		69	5.93								107	9.20		437	37.58		1163
	FOURTH		16	38.10			Excluded		9	21.43								5	11.90		12	28.57		42
		TOTAL	524	45.06					78	6.71								112	9.63		449	38.61		1163
	FIFTH		15	19.23						Excluded								38	48.72		25	32.05		78
		TOTAL	539	46.35														150	12.90		474	40.76		1163
	SIXTH		49	32.67															Excluded		101	67.33		150
		TOTAL	588	50.56																	575	49.44		1163
																					Elected			
																								
Ferny Grove (Brisbane)                                         																								
	FIRST		100	42.19		10	4.22		10	4.22		1	0.42		10	4.22		9	3.80		97	40.93		237
	SECOND		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL	100	42.19		10	4.22		11	4.64					10	4.22		9	3.80		97	40.93		237
	THIRD		6	60.00		1	10.00		0	0.00						Excluded		2	20.00		1	10.00		10
		TOTAL	106	44.73		11	4.64		11	4.64								11	4.64		98	41.35		237
	FOURTH		4	36.36			Excluded		2	18.18								4	36.36		1	9.09		11
		TOTAL	110	46.41					13	5.49								15	6.33		99	41.77		237
	FIFTH		4	30.77						Excluded								7	53.85		2	15.38		13
		TOTAL	114	48.10														22	9.28		101	42.62		237
	SIXTH		9	40.91															Excluded		13	59.09		22
		TOTAL	123	51.90																	114	48.10		237
																					Elected			
																								
Fortitude Valley                                               																								
	FIRST		213	37.43		16	2.81		42	7.38		6	1.05		14	2.46		57	10.02		221	38.84		569
	SECOND		0	0.00		0	0.00		5	83.33			Excluded		0	0.00		1	16.67		0	0.00		6
		TOTAL	213	37.43		16	2.81		47	8.26					14	2.46		58	10.19		221	38.84		569
	THIRD		10	71.43		0	0.00		1	7.14						Excluded		0	0.00		3	21.43		14
		TOTAL	223	39.19		16	2.81		48	8.44								58	10.19		224	39.37		569
	FOURTH		6	37.50			Excluded		4	25.00								3	18.75		3	18.75		16
		TOTAL	229	40.25					52	9.14								61	10.72		227	39.89		569
	FIFTH		7	13.46						Excluded								27	51.92		18	34.62		52
		TOTAL	236	41.48														88	15.47		245	43.06		569
	SIXTH		23	26.14															Excluded		65	73.86		88
		TOTAL	259	45.52																	310	54.48		569
																					Elected			
																								
Gaythorne                                                      																								
	FIRST		426	34.95		22	1.80		45	3.69		5	0.41		27	2.21		88	7.22		606	49.71		1219
	SECOND		0	0.00		2	40.00		2	40.00			Excluded		0	0.00		0	0.00		1	20.00		5
		TOTAL	426	34.95		24	1.97		47	3.86					27	2.21		88	7.22		607	49.79		1219
	THIRD		25	92.59		0	0.00		1	3.70						Excluded		1	3.70		0	0.00		27
		TOTAL	451	37.00		24	1.97		48	3.94								89	7.30		607	49.79		1219
	FOURTH		11	45.83			Excluded		4	16.67								3	12.50		6	25.00		24
		TOTAL	462	37.90					52	4.27								92	7.55		613	50.29		1219
	FIFTH		8	15.38						Excluded								27	51.92		17	32.69		52
		TOTAL	470	38.56														119	9.76		630	51.68		1219
	SIXTH		40	33.61															Excluded		79	66.39		119
		TOTAL	510	41.84																	709	58.16		1219
																					Elected			
																								
Grange                                                         																								
	FIRST		346	39.59		24	2.75		39	4.46		2	0.23		19	2.17		66	7.55		378	43.25		874
	SECOND		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL	347	39.70		24	2.75		39	4.46					20	2.29		66	7.55		378	43.25		874
	THIRD		17	85.00		0	0.00		1	5.00						Excluded		1	5.00		1	5.00		20
		TOTAL	364	41.65		24	2.75		40	4.58								67	7.67		379	43.36		874
	FOURTH		13	54.17			Excluded		5	20.83								3	12.50		3	12.50		24
		TOTAL	377	43.14					45	5.15								70	8.01		382	43.71		874
	FIFTH		5	11.11						Excluded								27	60.00		13	28.89		45
		TOTAL	382	43.71														97	11.10		395	45.19		874
	SIXTH		23	23.71															Excluded		74	76.29		97
		TOTAL	405	46.34																	469	53.66		874
																					Elected			
																								
Grange West                                                    																								
	FIRST		304	40.59		14	1.87		46	6.14		8	1.07		14	1.87		50	6.68		313	41.79		749
	SECOND		2	25.00		1	12.50		3	37.50			Excluded		2	25.00		0	0.00		0	0.00		8
		TOTAL	306	40.85		15	2.00		49	6.54					16	2.14		50	6.68		313	41.79		749
	THIRD		15	93.75		0	0.00		0	0.00						Excluded		1	6.25		0	0.00		16
		TOTAL	321	42.86		15	2.00		49	6.54								51	6.81		313	41.79		749
	FOURTH		7	46.67			Excluded		3	20.00								0	0.00		5	33.33		15
		TOTAL	328	43.79					52	6.94								51	6.81		318	42.46		749
	FIFTH		6	11.54						Excluded								27	51.92		19	36.54		52
		TOTAL	334	44.59														78	10.41		337	44.99		749
	SIXTH		19	24.36															Excluded		59	75.64		78
		TOTAL	353	47.13																	396	52.87		749
																					Elected			
																								
Grovely (Brisbane)                                             																								
	FIRST		106	25.98		25	6.13		18	4.41		3	0.74		6	1.47		39	9.56		211	51.72		408
	SECOND		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		3
		TOTAL	106	25.98		26	6.37		19	4.66					6	1.47		40	9.80		211	51.72		408
	THIRD		5	83.33		0	0.00		0	0.00						Excluded		0	0.00		1	16.67		6
		TOTAL	111	27.21		26	6.37		19	4.66								40	9.80		212	51.96		408
	FOURTH		8	30.77			Excluded		9	34.62								3	11.54		6	23.08		26
		TOTAL	119	29.17					28	6.86								43	10.54		218	53.43		408
	FIFTH		5	17.86						Excluded								14	50.00		9	32.14		28
		TOTAL	124	30.39														57	13.97		227	55.64		408
	SIXTH		19	33.33															Excluded		38	66.67		57
		TOTAL	143	35.05																	265	64.95		408
																					Elected			
																								
Hill End                                                       																								
	FIRST		427	28.24		24	1.59		229	15.15		44	2.91		25	1.65		155	10.25		608	40.21		1512
	SECOND		0	0.00		1	2.27		38	86.36			Excluded		1	2.27		3	6.82		1	2.27		44
		TOTAL	427	28.24		25	1.65		267	17.66					26	1.72		158	10.45		609	40.28		1512
	THIRD		25	96.15		0	0.00		0	0.00						Excluded		1	3.85		0	0.00		26
		TOTAL	452	29.89		25	1.65		267	17.66								159	10.52		609	40.28		1512
	FOURTH		15	60.00			Excluded		1	4.00								7	28.00		2	8.00		25
		TOTAL	467	30.89					268	17.72								166	10.98		611	40.41		1512
	FIFTH		12	4.48						Excluded								158	58.96		98	36.57		268
		TOTAL	479	31.68														324	21.43		709	46.89		1512
	SIXTH		45	13.89															Excluded		279	86.11		324
		TOTAL	524	34.66																	988	65.34		1512
																					Elected			
																								
Holy Spirit                                                    																								
	FIRST		839	39.73		48	2.27		166	7.86		9	0.43		29	1.37		243	11.51		778	36.84		2112
	SECOND		0	0.00		0	0.00		8	88.89			Excluded		0	0.00		0	0.00		1	11.11		9
		TOTAL	839	39.73		48	2.27		174	8.24					29	1.37		243	11.51		779	36.88		2112
	THIRD		25	86.21		1	3.45		2	6.90						Excluded		0	0.00		1	3.45		29
		TOTAL	864	40.91		49	2.32		176	8.33								243	11.51		780	36.93		2112
	FOURTH		27	55.10			Excluded		8	16.33								5	10.20		9	18.37		49
		TOTAL	891	42.19					184	8.71								248	11.74		789	37.36		2112
	FIFTH		16	8.70						Excluded								123	66.85		45	24.46		184
		TOTAL	907	42.95														371	17.57		834	39.49		2112
	SIXTH		80	21.56															Excluded		291	78.44		371
		TOTAL	987	46.73																	1125	53.27		2112
																					Elected			
																								
Ithaca Creek                                                   																								
	FIRST		520	39.33		21	1.59		105	7.94		7	0.53		26	1.97		102	7.72		541	40.92		1322
	SECOND		0	0.00		0	0.00		4	57.14			Excluded		0	0.00		0	0.00		3	42.86		7
		TOTAL	520	39.33		21	1.59		109	8.25					26	1.97		102	7.72		544	41.15		1322
	THIRD		22	84.62		2	7.69		1	3.85						Excluded		1	3.85		0	0.00		26
		TOTAL	542	41.00		23	1.74		110	8.32								103	7.79		544	41.15		1322
	FOURTH		15	65.22			Excluded		2	8.70								2	8.70		4	17.39		23
		TOTAL	557	42.13					112	8.47								105	7.94		548	41.45		1322
	FIFTH		10	8.93						Excluded								78	69.64		24	21.43		112
		TOTAL	567	42.89														183	13.84		572	43.27		1322
	SIXTH		39	21.31															Excluded		144	78.69		183
		TOTAL	606	45.84																	716	54.16		1322
																					Elected			
																								
Ithaca South                                                   																								
	FIRST		648	42.41		22	1.44		153	10.01		9	0.59		29	1.90		165	10.80		502	32.85		1528
	SECOND		2	22.22		0	0.00		6	66.67			Excluded		0	0.00		1	11.11		0	0.00		9
		TOTAL	650	42.54		22	1.44		159	10.41					29	1.90		166	10.86		502	32.85		1528
	THIRD		24	82.76		2	6.90		0	0.00						Excluded		3	10.34		0	0.00		29
		TOTAL	674	44.11		24	1.57		159	10.41								169	11.06		502	32.85		1528
	FOURTH		12	50.00			Excluded		7	29.17								4	16.67		1	4.17		24
		TOTAL	686	44.90					166	10.86								173	11.32		503	32.92		1528
	FIFTH		11	6.63						Excluded								111	66.87		44	26.51		166
		TOTAL	697	45.62														284	18.59		547	35.80		1528
	SIXTH		59	20.77															Excluded		225	79.23		284
		TOTAL	756	49.48																	772	50.52		1528
																					Elected			
																								
Kangaroo Point                                                 																								
	FIRST		917	51.46		39	2.19		98	5.50		10	0.56		39	2.19		139	7.80		540	30.30		1782
	SECOND		0	0.00		0	0.00		6	60.00			Excluded		2	20.00		0	0.00		2	20.00		10
		TOTAL	917	51.46		39	2.19		104	5.84					41	2.30		139	7.80		542	30.42		1782
	THIRD		32	78.05		1	2.44		2	4.88						Excluded		4	9.76		2	4.88		41
		TOTAL	949	53.25		40	2.24		106	5.95								143	8.02		544	30.53		1782
	FOURTH		20	50.00			Excluded		7	17.50								7	17.50		6	15.00		40
		TOTAL	969	54.38					113	6.34								150	8.42		550	30.86		1782
	FIFTH		13	11.50						Excluded								64	56.64		36	31.86		113
		TOTAL	982	55.11														214	12.01		586	32.88		1782
	SIXTH		62	28.97															Excluded		152	71.03		214
		TOTAL	1044	58.59																	738	41.41		1782
																					Elected			
																								
Kelvin Grove                                                   																								
	FIRST		467	39.71		20	1.70		118	10.03		19	1.62		26	2.21		153	13.01		373	31.72		1176
	SECOND		1	5.26		1	5.26		12	63.16			Excluded		2	10.53		2	10.53		1	5.26		19
		TOTAL	468	39.80		21	1.79		130	11.05					28	2.38		155	13.18		374	31.80		1176
	THIRD		21	75.00		0	0.00		0	0.00						Excluded		5	17.86		2	7.14		28
		TOTAL	489	41.58		21	1.79		130	11.05								160	13.61		376	31.97		1176
	FOURTH		13	61.90			Excluded		3	14.29								1	4.76		4	19.05		21
		TOTAL	502	42.69					133	11.31								161	13.69		380	32.31		1176
	FIFTH		8	6.02						Excluded								92	69.17		33	24.81		133
		TOTAL	510	43.37														253	21.51		413	35.12		1176
	SIXTH		62	24.51															Excluded		191	75.49		253
		TOTAL	572	48.64																	604	51.36		1176
																					Elected			
																								
Keperra (Brisbane)                                             																								
	FIRST		955	41.89		65	2.85		78	3.42		9	0.39		74	3.25		104	4.56		995	43.64		2280
	SECOND		2	22.22		1	11.11		2	22.22			Excluded		1	11.11		2	22.22		1	11.11		9
		TOTAL	957	41.97		66	2.89		80	3.51					75	3.29		106	4.65		996	43.68		2280
	THIRD		62	82.67		2	2.67		2	2.67						Excluded		3	4.00		6	8.00		75
		TOTAL	1019	44.69		68	2.98		82	3.60								109	4.78		1002	43.95		2280
	FOURTH		30	44.12			Excluded		14	20.59								9	13.24		15	22.06		68
		TOTAL	1049	46.01					96	4.21								118	5.18		1017	44.61		2280
	FIFTH		20	20.83						Excluded								45	46.88		31	32.29		96
		TOTAL	1069	46.89														163	7.15		1048	45.96		2280
	SIXTH		54	33.13															Excluded		109	66.87		163
		TOTAL	1123	49.25																	1157	50.75		2280
																					Elected			
																								
Mater Hospital                                                 																								
	FIRST		384	38.83		25	2.53		83	8.39		7	0.71		7	0.71		74	7.48		409	41.35		989
	SECOND		0	0.00		0	0.00		5	71.43			Excluded		0	0.00		1	14.29		1	14.29		7
		TOTAL	384	38.83		25	2.53		88	8.90					7	0.71		75	7.58		410	41.46		989
	THIRD		5	71.43		0	0.00		0	0.00						Excluded		0	0.00		2	28.57		7
		TOTAL	389	39.33		25	2.53		88	8.90								75	7.58		412	41.66		989
	FOURTH		8	32.00			Excluded		6	24.00								6	24.00		5	20.00		25
		TOTAL	397	40.14					94	9.50								81	8.19		417	42.16		989
	FIFTH		9	9.57						Excluded								53	56.38		32	34.04		94
		TOTAL	406	41.05														134	13.55		449	45.40		989
	SIXTH		26	19.40															Excluded		108	80.60		134
		TOTAL	432	43.68																	557	56.32		989
																					Elected			
																								
Merthyr                                                        																								
	FIRST		519	41.92		17	1.37		90	7.27		14	1.13		23	1.86		124	10.02		451	36.43		1238
	SECOND		0	0.00		0	0.00		9	64.29			Excluded		1	7.14		2	14.29		2	14.29		14
		TOTAL	519	41.92		17	1.37		99	8.00					24	1.94		126	10.18		453	36.59		1238
	THIRD		17	70.83		0	0.00		3	12.50						Excluded		1	4.17		3	12.50		24
		TOTAL	536	43.30		17	1.37		102	8.24								127	10.26		456	36.83		1238
	FOURTH		6	35.29			Excluded		3	17.65								4	23.53		4	23.53		17
		TOTAL	542	43.78					105	8.48								131	10.58		460	37.16		1238
	FIFTH		12	11.43						Excluded								64	60.95		29	27.62		105
		TOTAL	554	44.75														195	15.75		489	39.50		1238
	SIXTH		41	21.03															Excluded		154	78.97		195
		TOTAL	595	48.06																	643	51.94		1238
																					Elected			
																								
Milton                                                         																								
	FIRST		1297	43.45		44	1.47		281	9.41		29	0.97		70	2.35		349	11.69		915	30.65		2985
	SECOND		4	13.79		0	0.00		16	55.17			Excluded		1	3.45		3	10.34		5	17.24		29
		TOTAL	1301	43.58		44	1.47		297	9.95					71	2.38		352	11.79		920	30.82		2985
	THIRD		54	76.06		1	1.41		1	1.41						Excluded		12	16.90		3	4.23		71
		TOTAL	1355	45.39		45	1.51		298	9.98								364	12.19		923	30.92		2985
	FOURTH		18	40.00			Excluded		7	15.56								7	15.56		13	28.89		45
		TOTAL	1373	46.00					305	10.22								371	12.43		936	31.36		2985
	FIFTH		27	8.85						Excluded								209	68.52		69	22.62		305
		TOTAL	1400	46.90														580	19.43		1005	33.67		2985
	SIXTH		150	25.86															Excluded		430	74.14		580
		TOTAL	1550	51.93																	1435	48.07		2985
																					Elected			
																								
Mitchelton (Brisbane)                                          																								
	FIRST		732	37.54		69	3.54		104	5.33		16	0.82		55	2.82		128	6.56		846	43.38		1950
	SECOND		1	6.25		5	31.25		7	43.75			Excluded		1	6.25		1	6.25		1	6.25		16
		TOTAL	733	37.59		74	3.79		111	5.69					56	2.87		129	6.62		847	43.44		1950
	THIRD		48	85.71		1	1.79		2	3.57						Excluded		2	3.57		3	5.36		56
		TOTAL	781	40.05		75	3.85		113	5.79								131	6.72		850	43.59		1950
	FOURTH		44	58.67			Excluded		14	18.67								5	6.67		12	16.00		75
		TOTAL	825	42.31					127	6.51								136	6.97		862	44.21		1950
	FIFTH		14	11.02						Excluded								76	59.84		37	29.13		127
		TOTAL	839	43.03														212	10.87		899	46.10		1950
	SIXTH		58	27.36															Excluded		154	72.64		212
		TOTAL	897	46.00																	1053	54.00		1950
																					Elected			
																								
New Farm                                                       																								
	FIRST		1290	40.44		42	1.32		255	7.99		36	1.13		61	1.91		391	12.26		1115	34.95		3190
	SECOND		1	2.78		2	5.56		20	55.56			Excluded		2	5.56		3	8.33		8	22.22		36
		TOTAL	1291	40.47		44	1.38		275	8.62					63	1.97		394	12.35		1123	35.20		3190
	THIRD		50	79.37		0	0.00		3	4.76						Excluded		2	3.17		8	12.70		63
		TOTAL	1341	42.04		44	1.38		278	8.71								396	12.41		1131	35.45		3190
	FOURTH		21	47.73			Excluded		11	25.00								3	6.82		9	20.45		44
		TOTAL	1362	42.70					289	9.06								399	12.51		1140	35.74		3190
	FIFTH		23	7.96						Excluded								196	67.82		70	24.22		289
		TOTAL	1385	43.42														595	18.65		1210	37.93		3190
	SIXTH		137	23.03															Excluded		458	76.97		595
		TOTAL	1522	47.71																	1668	52.29		3190
																					Elected			
																								
Newmarket                                                      																								
	FIRST		781	40.70		41	2.14		124	6.46		9	0.47		44	2.29		185	9.64		735	38.30		1919
	SECOND		2	22.22		0	0.00		6	66.67			Excluded		0	0.00		0	0.00		1	11.11		9
		TOTAL	783	40.80		41	2.14		130	6.77					44	2.29		185	9.64		736	38.35		1919
	THIRD		31	70.45		1	2.27		4	9.09						Excluded		5	11.36		3	6.82		44
		TOTAL	814	42.42		42	2.19		134	6.98								190	9.90		739	38.51		1919
	FOURTH		18	42.86			Excluded		7	16.67								8	19.05		9	21.43		42
		TOTAL	832	43.36					141	7.35								198	10.32		748	38.98		1919
	FIFTH		20	14.18						Excluded								79	56.03		42	29.79		141
		TOTAL	852	44.40														277	14.43		790	41.17		1919
	SIXTH		58	20.94															Excluded		219	79.06		277
		TOTAL	910	47.42																	1009	52.58		1919
																					Elected			
																								
Newmarket South                                                																								
	FIRST		283	40.03		27	3.82		29	4.10		6	0.85		16	2.26		55	7.78		291	41.16		707
	SECOND		0	0.00		0	0.00		3	50.00			Excluded		1	16.67		2	33.33		0	0.00		6
		TOTAL	283	40.03		27	3.82		32	4.53					17	2.40		57	8.06		291	41.16		707
	THIRD		16	94.12		1	5.88		0	0.00						Excluded		0	0.00		0	0.00		17
		TOTAL	299	42.29		28	3.96		32	4.53								57	8.06		291	41.16		707
