House of Representatives - 2001 Election: Queensland																			
Distribution of Preferences																			
By Polling Place																			
Fadden																			
					MERLEHAN			WOOLFORD			JULL			COTTER			COYLE		
		TOTAL		751	37.38					1258	62.62								2009
										Elected									
																			
Coombabah High                                                 																			
	FIRST			478	38.80		35	2.84		562	45.62		58	4.71		99	8.04		1232
	SECOND			11	31.43			Excluded		7	20.00		11	31.43		6	17.14		35
		TOTAL		489	39.69					569	46.19		69	5.60		105	8.52		1232
	THIRD			39	56.52					18	26.09			Excluded		12	17.39		69
		TOTAL		528	42.86					587	47.65					117	9.50		1232
	FOURTH			48	41.03					69	58.97						Excluded		117
		TOTAL		576	46.75					656	53.25								1232
										Elected									
																			
Coomera (Fadden)                                               																			
	FIRST			272	27.78		47	4.80		498	50.87		48	4.90		114	11.64		979
	SECOND			12	25.53			Excluded		9	19.15		19	40.43		7	14.89		47
		TOTAL		284	29.01					507	51.79		67	6.84		121	12.36		979
	THIRD			32	47.76					20	29.85			Excluded		15	22.39		67
		TOTAL		316	32.28					527	53.83					136	13.89		979
	FOURTH			74	54.41					62	45.59						Excluded		136
		TOTAL		390	39.84					589	60.16								979
										Elected									
																			
Cornubia (Fadden)                                              																			
	FIRST			196	26.42		29	3.91		438	59.03		38	5.12		41	5.53		742
	SECOND			4	13.79			Excluded		7	24.14		15	51.72		3	10.34		29
		TOTAL		200	26.95					445	59.97		53	7.14		44	5.93		742
	THIRD			25	47.17					20	37.74			Excluded		8	15.09		53
		TOTAL		225	30.32					465	62.67					52	7.01		742
	FOURTH			19	36.54					33	63.46						Excluded		52
		TOTAL		244	32.88					498	67.12								742
										Elected									
																			
Eight Mile Plains (Fadden)                                     																			
	FIRST			611	34.10		69	3.85		916	51.12		89	4.97		107	5.97		1792
	SECOND			21	30.43			Excluded		9	13.04		34	49.28		5	7.25		69
		TOTAL		632	35.27					925	51.62		123	6.86		112	6.25		1792
	THIRD			69	56.10					35	28.46			Excluded		19	15.45		123
		TOTAL		701	39.12					960	53.57					131	7.31		1792
	FOURTH			53	40.46					78	59.54						Excluded		131
		TOTAL		754	42.08					1038	57.92								1792
										Elected									
																			
Helensvale                                                     																			
	FIRST			770	29.70		77	2.97		1438	55.46		111	4.28		197	7.60		2593
	SECOND			24	31.17			Excluded		15	19.48		29	37.66		9	11.69		77
		TOTAL		794	30.62					1453	56.04		140	5.40		206	7.94		2593
	THIRD			71	50.71					46	32.86			Excluded		23	16.43		140
		TOTAL		865	33.36					1499	57.81					229	8.83		2593
	FOURTH			103	44.98					126	55.02						Excluded		229
		TOTAL		968	37.33					1625	62.67								2593
										Elected									
																			
Helensvale North (Fadden)                                      																			
	FIRST			806	25.91		85	2.73		1914	61.52		87	2.80		219	7.04		3111
	SECOND			19	22.35			Excluded		21	24.71		35	41.18		10	11.76		85
		TOTAL		825	26.52					1935	62.20		122	3.92		229	7.36		3111
	THIRD			60	49.18					39	31.97			Excluded		23	18.85		122
		TOTAL		885	28.45					1974	63.45					252	8.10		3111
	FOURTH			139	55.16					113	44.84						Excluded		252
		TOTAL		1024	32.92					2087	67.08								3111
										Elected									
																			
Hope Island                                                    																			
	FIRST			263	17.55		42	2.80		1082	72.18		37	2.47		75	5.00		1499
	SECOND			14	33.33			Excluded		8	19.05		16	38.10		4	9.52		42
		TOTAL		277	18.48					1090	72.72		53	3.54		79	5.27		1499
	THIRD			21	39.62					23	43.40			Excluded		9	16.98		53
		TOTAL		298	19.88					1113	74.25					88	5.87		1499
	FOURTH			45	51.14					43	48.86						Excluded		88
		TOTAL		343	22.88					1156	77.12								1499
										Elected									
																			
Jacobs Well                                                    																			
	FIRST			134	30.18		5	1.13		216	48.65		10	2.25		79	17.79		444
	SECOND			1	20.00			Excluded		2	40.00		1	20.00		1	20.00		5
		TOTAL		135	30.41					218	49.10		11	2.48		80	18.02		444
	THIRD			7	63.64					2	18.18			Excluded		2	18.18		11
		TOTAL		142	31.98					220	49.55					82	18.47		444
	FOURTH			41	50.00					41	50.00						Excluded		82
		TOTAL		183	41.22					261	58.78								444
										Elected									
																			
Kimberley Park                                                 																			
	FIRST			475	28.51		49	2.94		989	59.36		92	5.52		61	3.66		1666
	SECOND			18	36.73			Excluded		9	18.37		16	32.65		6	12.24		49
		TOTAL		493	29.59					998	59.90		108	6.48		67	4.02		1666
	THIRD			63	58.33					38	35.19			Excluded		7	6.48		108
		TOTAL		556	33.37					1036	62.18					74	4.44		1666
	FOURTH			30	40.54					44	59.46						Excluded		74
		TOTAL		586	35.17					1080	64.83								1666
										Elected									
																			
Lamb Island                                                    																			
	FIRST			81	43.78		11	5.95		63	34.05		10	5.41		20	10.81		185
	SECOND			3	27.27			Excluded		1	9.09		7	63.64		0	0.00		11
		TOTAL		84	45.41					64	34.59		17	9.19		20	10.81		185
	THIRD			9	52.94					5	29.41			Excluded		3	17.65		17
		TOTAL		93	50.27					69	37.30					23	12.43		185
	FOURTH			14	60.87					9	39.13						Excluded		23
		TOTAL		107	57.84					78	42.16								185
										Elected									
																			
Macleay Island                                                 																			
	FIRST			384	45.99		23	2.75		326	39.04		16	1.92		86	10.30		835
	SECOND			14	60.87			Excluded		1	4.35		7	30.43		1	4.35		23
		TOTAL		398	47.66					327	39.16		23	2.75		87	10.42		835
	THIRD			14	60.87					6	26.09			Excluded		3	13.04		23
		TOTAL		412	49.34					333	39.88					90	10.78		835
	FOURTH			39	43.33					51	56.67						Excluded		90
		TOTAL		451	54.01					384	45.99								835
										Elected									
																			
Mt Cotton                                                      																			
	FIRST			412	30.56		43	3.19		755	56.01		66	4.90		72	5.34		1348
	SECOND			11	25.58			Excluded		11	25.58		18	41.86		3	6.98		43
		TOTAL		423	31.38					766	56.82		84	6.23		75	5.56		1348
	THIRD			48	57.14					21	25.00			Excluded		15	17.86		84
		TOTAL		471	34.94					787	58.38					90	6.68		1348
	FOURTH			32	35.56					58	64.44						Excluded		90
		TOTAL		503	37.31					845	62.69								1348
										Elected									
																			
Paradise Lakes                                                 																			
	FIRST			574	37.15		40	2.59		749	48.48		52	3.37		130	8.41		1545
	SECOND			11	27.50			Excluded		8	20.00		18	45.00		3	7.50		40
		TOTAL		585	37.86					757	49.00		70	4.53		133	8.61		1545
	THIRD			35	50.00					20	28.57			Excluded		15	21.43		70
		TOTAL		620	40.13					777	50.29					148	9.58		1545
	FOURTH			58	39.19					90	60.81						Excluded		148
		TOTAL		678	43.88					867	56.12								1545
										Elected									
																			
Paradise Point                                                 																			
	FIRST			795	25.75		74	2.40		1927	62.42		69	2.24		222	7.19		3087
	SECOND			27	36.49			Excluded		15	20.27		24	32.43		8	10.81		74
		TOTAL		822	26.63					1942	62.91		93	3.01		230	7.45		3087
	THIRD			49	52.69					26	27.96			Excluded		18	19.35		93
		TOTAL		871	28.22					1968	63.75					248	8.03		3087
	FOURTH			117	47.18					131	52.82						Excluded		248
		TOTAL		988	32.01					2099	67.99								3087
										Elected									
																			
Redland Bay                                                    																			
	FIRST			1194	35.34		80	2.37		1784	52.80		138	4.08		183	5.42		3379
	SECOND			18	22.50			Excluded		12	15.00		42	52.50		8	10.00		80
		TOTAL		1212	35.87					1796	53.15		180	5.33		191	5.65		3379
	THIRD			99	55.00					49	27.22			Excluded		32	17.78		180
		TOTAL		1311	38.80					1845	54.60					223	6.60		3379
	FOURTH			97	43.50					126	56.50						Excluded		223
		TOTAL		1408	41.67					1971	58.33								3379
										Elected									
																			
Rochedale (Fadden)                                             																			
	FIRST			256	28.67		34	3.81		508	56.89		41	4.59		54	6.05		893
	SECOND			9	26.47			Excluded		2	5.88		20	58.82		3	8.82		34
		TOTAL		265	29.68					510	57.11		61	6.83		57	6.38		893
	THIRD			39	63.93					15	24.59			Excluded		7	11.48		61
		TOTAL		304	34.04					525	58.79					64	7.17		893
	FOURTH			16	25.00					48	75.00						Excluded		64
		TOTAL		320	35.83					573	64.17								893
										Elected									
																			
Rochedale South                                                																			
	FIRST			1032	35.90		85	2.96		1463	50.89		136	4.73		159	5.53		2875
	SECOND			32	37.65			Excluded		16	18.82		28	32.94		9	10.59		85
		TOTAL		1064	37.01					1479	51.44		164	5.70		168	5.84		2875
	THIRD			93	56.71					51	31.10			Excluded		20	12.20		164
		TOTAL		1157	40.24					1530	53.22					188	6.54		2875
	FOURTH			75	39.89					113	60.11						Excluded		188
		TOTAL		1232	42.85					1643	57.15								2875
										Elected									
																			
Runaway Bay                                                    																			
	FIRST			905	22.67		67	1.68		2693	67.46		124	3.11		203	5.09		3992
	SECOND			21	31.34			Excluded		15	22.39		26	38.81		5	7.46		67
		TOTAL		926	23.20					2708	67.84		150	3.76		208	5.21		3992
	THIRD			77	51.33					59	39.33			Excluded		14	9.33		150
		TOTAL		1003	25.13					2767	69.31					222	5.56		3992
	FOURTH			117	52.70					105	47.30						Excluded		222
		TOTAL		1120	28.06					2872	71.94								3992
										Elected									
																			
Russell Island                                                 																			
	FIRST			323	43.71		13	1.76		295	39.92		30	4.06		78	10.55		739
	SECOND			5	38.46			Excluded		1	7.69		5	38.46		2	15.38		13
		TOTAL		328	44.38					296	40.05		35	4.74		80	10.83		739
	THIRD			22	62.86					6	17.14			Excluded		7	20.00		35
		TOTAL		350	47.36					302	40.87					87	11.77		739
	FOURTH			40	45.98					47	54.02						Excluded		87
		TOTAL		390	52.77					349	47.23								739
										Elected									
																			
Shailer Park (Fadden)                                          																			
	FIRST			1101	26.55		122	2.94		2509	60.50		234	5.64		181	4.36		4147
	SECOND			36	29.51			Excluded		24	19.67		52	42.62		10	8.20		122
		TOTAL		1137	27.42					2533	61.08		286	6.90		191	4.61		4147
	THIRD			161	56.29					95	33.22			Excluded		30	10.49		286
		TOTAL		1298	31.30					2628	63.37					221	5.33		4147
	FOURTH			91	41.18					130	58.82						Excluded		221
		TOTAL		1389	33.49					2758	66.51								4147
										Elected									
																			
Slacks Creek (Fadden)                                          																			
	FIRST			1230	33.08		110	2.96		1992	53.58		211	5.68		175	4.71		3718
	SECOND			34	30.91			Excluded		18	16.36		45	40.91		13	11.82		110
		TOTAL		1264	34.00					2010	54.06		256	6.89		188	5.06		3718
	THIRD			134	52.34					84	32.81			Excluded		38	14.84		256
		TOTAL		1398	37.60					2094	56.32					226	6.08		3718
	FOURTH			87	38.50					139	61.50						Excluded		226
		TOTAL		1485	39.94					2233	60.06								3718
										Elected									
																			
Springwood Central                                             																			
	FIRST			681	33.73		59	2.92		1088	53.89		97	4.80		94	4.66		2019
	SECOND			25	42.37			Excluded		11	18.64		18	30.51		5	8.47		59
		TOTAL		706	34.97					1099	54.43		115	5.70		99	4.90		2019
	THIRD			60	52.17					39	33.91			Excluded		16	13.91		115
		TOTAL		766	37.94					1138	56.36					115	5.70		2019
	FOURTH			51	44.35					64	55.65						Excluded		115
		TOTAL		817	40.47					1202	59.53								2019
										Elected									
																			
Springwood Road                                                																			
	FIRST			1283	32.06		110	2.75		2197	54.90		230	5.75		182	4.55		4002
	SECOND			25	22.73			Excluded		24	21.82		49	44.55		12	10.91		110
		TOTAL		1308	32.68					2221	55.50		279	6.97		194	4.85		4002
	THIRD			135	48.39					109	39.07			Excluded		35	12.54		279
		TOTAL		1443	36.06					2330	58.22					229	5.72		4002
	FOURTH			94	41.05					135	58.95						Excluded		229
		TOTAL		1537	38.41					2465	61.59								4002
										Elected									
																			
Victoria Point                                                 																			
	FIRST			1288	34.12		115	3.05		2032	53.83		156	4.13		184	4.87		3775
	SECOND			35	30.43			Excluded		20	17.39		53	46.09		7	6.09		115
		TOTAL		1323	35.05					2052	54.36		209	5.54		191	5.06		3775
	THIRD			119	56.94					57	27.27			Excluded		33	15.79		209
		TOTAL		1442	38.20					2109	55.87					224	5.93		3775
	FOURTH			90	40.18					134	59.82						Excluded		224
		TOTAL		1532	40.58					2243	59.42								3775
										Elected									
																			
Victoria Point South                                           																			
	FIRST			803	35.88		44	1.97		1209	54.02		81	3.62		101	4.51		2238
	SECOND			13	29.55			Excluded		11	25.00		19	43.18		1	2.27		44
		TOTAL		816	36.46					1220	54.51		100	4.47		102	4.56		2238
	THIRD			43	43.00					35	35.00			Excluded		22	22.00		100
		TOTAL		859	38.38					1255	56.08					124	5.54		2238
	FOURTH			56	45.16					68	54.84						Excluded		124
		TOTAL		915	40.88					1323	59.12								2238
										Elected									
																			
Woongoolba                                                     																			
	FIRST			190	26.24		10	1.38		405	55.94		17	2.35		102	14.09		724
	SECOND			4	40.00			Excluded		3	30.00		3	30.00		0	0.00		10
		TOTAL		194	26.80					408	56.35		20	2.76		102	14.09		724
	THIRD			9	45.00					7	35.00			Excluded		4	20.00		20
		TOTAL		203	28.04					415	57.32					106	14.64		724
	FOURTH			59	55.66					47	44.34						Excluded		106
		TOTAL		262	36.19					462	63.81								724
										Elected									
																			
Special Hospital Team 1                                        																			
	FIRST			44	29.93		0	0.00		94	63.95		2	1.36		7	4.76		147
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		44	29.93					94	63.95		2	1.36		7	4.76		147
	THIRD			1	50.00					1	50.00			Excluded		0	0.00		2
		TOTAL		45	30.61					95	64.63					7	4.76		147
	FOURTH			1	14.29					6	85.71						Excluded		7
		TOTAL		46	31.29					101	68.71								147
										Elected									
																			
Special Hospital Team 2                                        																			
	FIRST			25	39.68		3	4.76		33	52.38		0	0.00		2	3.17		63
	SECOND			1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3
		TOTAL		26	41.27					34	53.97		1	1.59		2	3.17		63
	THIRD			0	0.00					0	0.00			Excluded		1	100.00		1
		TOTAL		26	41.27					34	53.97					3	4.76		63
	FOURTH			2	66.67					1	33.33						Excluded		3
		TOTAL		28	44.44					35	55.56								63
										Elected									
																			
ABSENT																			
	FIRST			1553	30.03		325	6.28		2563	49.56		342	6.61		389	7.52		5172
	SECOND			97	29.85			Excluded		70	21.54		133	40.92		25	7.69		325
		TOTAL		1650	31.90					2633	50.91		475	9.18		414	8.00		5172
	THIRD			244	51.37					160	33.68			Excluded		71	14.95		475
		TOTAL		1894	36.62					2793	54.00					485	9.38		5172
	FOURTH			201	41.44					284	58.56						Excluded		485
		TOTAL		2095	40.51					3077	59.49								5172
										Elected									
																			
POSTAL																			
	FIRST			1017	26.09		70	1.80		2427	62.26		129	3.31		255	6.54		3898
	SECOND			18	25.71			Excluded		12	17.14		34	48.57		6	8.57		70
		TOTAL		1035	26.55					2439	62.57		163	4.18		261	6.70		3898
	THIRD			73	44.79					62	38.04			Excluded		28	17.18		163
		TOTAL		1108	28.42					2501	64.16					289	7.41		3898
	FOURTH			132	45.67					157	54.33						Excluded		289
		TOTAL		1240	31.81					2658	68.19								3898
										Elected									
																			
PRE POLL																			
	FIRST			1044	28.84		110	3.04		2068	57.13		157	4.34		241	6.66		3620
	SECOND			29	26.36			Excluded		16	14.55		49	44.55		16	14.55		110
		TOTAL		1073	29.64					2084	57.57		206	5.69		257	7.10		3620
	THIRD			96	46.60					78	37.86			Excluded		32	15.53		206
		TOTAL		1169	32.29					2162	59.72					289	7.98		3620
	FOURTH			111	38.41					178	61.59						Excluded		289
		TOTAL		1280	35.36					2340	64.64								3620
										Elected									
																			
PROVISIONAL																			
	FIRST			139	35.55		14	3.58		196	50.13		16	4.09		26	6.65		391
	SECOND			6	42.86			Excluded		3	21.43		3	21.43		2	14.29		14
		TOTAL		145	37.08					199	50.90		19	4.86		28	7.16		391
	THIRD			11	57.89					5	26.32			Excluded		3	15.79		19
		TOTAL		156	39.90					204	52.17					31	7.93		391
	FOURTH			15	48.39					16	51.61						Excluded		31
		TOTAL		171	43.73					220	56.27								391
										Elected									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
