Senate - 2001 Election: Queensland																																																
First Preference Votes by Group																																																
By Polling Place																																																
Dickson (88001)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Eatons Hill		6	0.14		984	23.56		1	0.02		102	2.44		83	1.99		152	3.64		39	0.93		5	0.12		222	5.32		2151	51.51		26	0.62		402	9.63		3	0.07		4176	98.37		69	1.63		4245	5.01
Everton Hills		6	0.22		847	30.39		2	0.07		96	3.44		41	1.47		85	3.05		42	1.51		2	0.07		180	6.46		1159	41.59		17	0.61		305	10.94		5	0.18		2787	98.52		42	1.48		2829	3.34
Everton Park (Dickson)		7	0.68		358	35.00		0	0.00		29	2.83		12	1.17		22	2.15		12	1.17		2	0.20		62	6.06		422	41.25		7	0.68		88	8.60		2	0.20		1023	96.51		37	3.49		1060	1.25
Everton Park North (Dickson)		5	0.44		342	29.84		0	0.00		30	2.62		20	1.75		43	3.75		19	1.66		1	0.09		49	4.28		496	43.28		13	1.13		127	11.08		1	0.09		1146	97.53		29	2.47		1175	1.39
Ferny Grove (Dickson)		11	0.30		1102	30.37		2	0.06		136	3.75		62	1.71		121	3.33		51	1.41		9	0.25		165	4.55		1536	42.33		31	0.85		401	11.05		2	0.06		3629	97.74		84	2.26		3713	4.38
Ferny Hills		8	0.28		889	31.17		2	0.07		116	4.07		32	1.12		128	4.49		55	1.93		6	0.21		153	5.36		1097	38.46		28	0.98		334	11.71		4	0.14		2852	98.01		58	1.99		2910	3.43
Ferny Hills North		10	0.30		1025	30.59		1	0.03		143	4.27		53	1.58		141	4.21		44	1.31		3	0.09		133	3.97		1393	41.57		24	0.72		378	11.28		3	0.09		3351	97.98		69	2.02		3420	4.03
Grovely (Dickson)		9	0.47		665	34.56		0	0.00		51	2.65		26	1.35		71	3.69		42	2.18		2	0.10		87	4.52		770	40.02		10	0.52		189	9.82		2	0.10		1924	97.47		50	2.53		1974	2.33
Kallangur		23	0.49		1956	41.89		7	0.15		141	3.02		64	1.37		151	3.23		69	1.48		8	0.17		398	8.52		1474	31.57		87	1.86		289	6.19		2	0.04		4669	96.37		176	3.63		4845	5.72
Kallangur East		8	0.56		581	40.71		2	0.14		49	3.43		23	1.61		35	2.45		24	1.68		0	0.00		121	8.48		438	30.69		24	1.68		119	8.34		3	0.21		1427	97.07		43	2.93		1470	1.73
Kallangur West		5	0.67		296	39.84		0	0.00		17	2.29		7	0.94		36	4.85		12	1.62		1	0.13		59	7.94		228	30.69		18	2.42		64	8.61		0	0.00		743	97.76		17	2.24		760	0.90
Keperra (Dickson)		1	0.21		142	30.28		0	0.00		23	4.90		16	3.41		13	2.77		6	1.28		0	0.00		35	7.46		189	40.30		4	0.85		38	8.10		2	0.43		469	97.91		10	2.09		479	0.57
Kurwongbah		3	0.13		763	33.15		3	0.13		54	2.35		20	0.87		84	3.65		34	1.48		0	0.00		138	5.99		908	39.44		30	1.30		262	11.38		3	0.13		2302	98.67		31	1.33		2333	2.75
Lawnton		13	0.43		1227	41.04		3	0.10		103	3.44		38	1.27		93	3.11		35	1.17		4	0.13		243	8.13		926	30.97		29	0.97		274	9.16		2	0.07		2990	96.30		115	3.70		3105	3.66
Mitchelton (Dickson)		3	0.72		133	31.74		0	0.00		9	2.15		4	0.95		30	7.16		11	2.63		2	0.48		24	5.73		152	36.28		0	0.00		49	11.69		2	0.48		419	98.36		7	1.64		426	0.50
Mount Nebo		2	0.63		68	21.25		1	0.31		5	1.56		4	1.25		83	25.94		5	1.56		0	0.00		21	6.56		74	23.13		2	0.63		55	17.19		0	0.00		320	98.46		5	1.54		325	0.38
Murrumba Downs		7	0.23		995	33.06		1	0.03		87	2.89		37	1.23		47	1.56		24	0.80		2	0.07		198	6.58		1389	46.15		36	1.20		186	6.18		1	0.03		3010	97.41		80	2.59		3090	3.65
Oxford Park (Dickson)		3	0.37		332	41.29		0	0.00		38	4.73		6	0.75		31	3.86		15	1.87		0	0.00		43	5.35		247	30.72		9	1.12		79	9.83		1	0.12		804	97.10		24	2.90		828	0.98
Petrie		11	0.37		925	31.42		2	0.07		99	3.36		46	1.56		104	3.53		41	1.39		1	0.03		255	8.66		1145	38.89		32	1.09		281	9.54		2	0.07		2944	97.13		87	2.87		3031	3.58
Samford		10	0.27		699	19.12		0	0.00		286	7.82		35	0.96		253	6.92		30	0.82		2	0.05		186	5.09		1750	47.88		14	0.38		387	10.59		3	0.08		3655	97.21		105	2.79		3760	4.44
Strathpine		4	0.20		784	38.56		1	0.05		77	3.79		31	1.52		73	3.59		36	1.77		4	0.20		148	7.28		707	34.78		25	1.23		142	6.98		1	0.05		2033	96.76		68	3.24		2101	2.48
Strathpine East		3	0.23		521	40.11		1	0.08		42	3.23		18	1.39		24	1.85		18	1.39		0	0.00		84	6.47		475	36.57		17	1.31		95	7.31		1	0.08		1299	97.01		40	2.99		1339	1.58
Strathpine West		5	0.25		798	39.82		0	0.00		63	3.14		32	1.60		63	3.14		30	1.50		3	0.15		175	8.73		624	31.14		27	1.35		181	9.03		3	0.15		2004	96.72		68	3.28		2072	2.44
Warner		5	0.21		717	30.29		0	0.00		117	4.94		28	1.18		78	3.30		27	1.14		3	0.13		146	6.17		1034	43.68		28	1.18		183	7.73		1	0.04		2367	97.53		60	2.47		2427	2.86
Special Hospitals		0	0.00		82	25.87		1	0.32		16	5.05		3	0.95		2	0.63		0	0.00		0	0.00		4	1.26		195	61.51		1	0.32		12	3.79		1	0.32		317	96.06		13	3.94		330	0.39
Total Ordinary		224	0.32		22848	32.33		39	0.06		2724	3.85		960	1.36		2531	3.58		942	1.33		77	0.11		4419	6.25		28578	40.43		727	1.03		6549	9.27		62	0.09		70680	97.44		1858	2.56		72538	85.57
ABSENT		12	0.23		1650	31.85		3	0.06		198	3.82		60	1.16		252	4.86		132	2.55		10	0.19		306	5.91		1937	37.39		85	1.64		530	10.23		6	0.12		5181	98.63		72	1.37		5253	6.20
POSTAL		8	0.23		1175	34.12		1	0.03		98	2.85		48	1.39		79	2.29		19	0.55		5	0.15		239	6.94		1486	43.15		32	0.93		251	7.29		3	0.09		3444	98.46		54	1.54		3498	4.13
PRE_POLL		5	0.17		915	30.73		1	0.03		85	2.85		48	1.61		96	3.22		38	1.28		11	0.37		183	6.15		1254	42.11		35	1.18		305	10.24		2	0.07		2978	98.90		33	1.10		3011	3.55
PROVISIONAL		3	0.67		177	39.25		2	0.44		11	2.44		3	0.67		26	5.76		14	3.10		0	0.00		23	5.10		148	32.82		15	3.33		29	6.43		0	0.00		451	96.16		18	3.84		469	0.55
Division Summary		252	0.3		26765	32.35		46	0.06		3116	3.77		1119	1.35		2984	3.61		1145	1.38		103	0.12		5170	6.25		33403	40.37		894	1.08		7664	9.26		73	0.09		82734	97.6		2035	2.4		84769	96.33
