Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Oxley (84787)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Carole Park		9	0.82		610	55.76		5	0.46		19	1.74		11	1.01		26	2.38		21	1.92		3	0.27		113	10.33		194	17.73		31	2.83		52	4.75		0	0.00		1094	96.81		36	3.19		1130	1.40
Central School		7	0.63		375	33.72		0	0.00		47	4.23		15	1.35		33	2.97		17	1.53		1	0.09		175	15.74		358	32.19		10	0.90		72	6.47		2	0.18		1112	97.54		28	2.46		1140	1.41
Churchill (Oxley)		3	0.15		683	33.95		0	0.00		56	2.78		22	1.09		24	1.19		16	0.80		3	0.15		239	11.88		796	39.56		16	0.80		152	7.55		2	0.10		2012	98.39		33	1.61		2045	2.53
Collingwood Park		12	0.69		694	39.73		1	0.06		29	1.66		25	1.43		44	2.52		19	1.09		2	0.11		198	11.33		581	33.26		21	1.20		119	6.81		2	0.11		1747	97.27		49	2.73		1796	2.22
Dinmore		5	0.61		413	50.18		2	0.24		19	2.31		12	1.46		21	2.55		19	2.31		0	0.00		124	15.07		153	18.59		12	1.46		43	5.22		0	0.00		823	95.59		38	4.41		861	1.07
Durack		19	1.05		1141	62.97		2	0.11		51	2.81		17	0.94		22	1.21		18	0.99		1	0.06		126	6.95		290	16.00		36	1.99		89	4.91		0	0.00		1812	96.03		75	3.97		1887	2.34
Eastern Heights		6	0.38		622	39.00		4	0.25		55	3.45		9	0.56		27	1.69		12	0.75		0	0.00		249	15.61		514	32.23		11	0.69		86	5.39		0	0.00		1595	96.26		62	3.74		1657	2.05
East Ipswich School		4	0.29		619	44.56		1	0.07		20	1.44		11	0.79		35	2.52		22	1.58		1	0.07		219	15.77		344	24.77		19	1.37		94	6.77		0	0.00		1389	96.39		52	3.61		1441	1.78
Flinders View		5	0.23		722	33.53		1	0.05		57	2.65		34	1.58		27	1.25		23	1.07		1	0.05		335	15.56		782	36.32		20	0.93		146	6.78		0	0.00		2153	97.07		65	2.93		2218	2.75
Forest Lake		13	0.35		1280	34.05		0	0.00		129	3.43		50	1.33		94	2.50		37	0.98		4	0.11		240	6.38		1523	40.52		31	0.82		358	9.52		0	0.00		3759	97.81		84	2.19		3843	4.76
Forest Lake East		9	0.51		603	34.07		2	0.11		59	3.33		24	1.36		41	2.32		19	1.07		1	0.06		87	4.92		726	41.02		13	0.73		186	10.51		0	0.00		1770	97.31		49	2.69		1819	2.25
Forest Place Retirement Village		2	0.37		149	27.39		1	0.18		21	3.86		4	0.74		11	2.02		0	0.00		0	0.00		25	4.60		308	56.62		2	0.37		21	3.86		0	0.00		544	90.67		56	9.33		600	0.74
Gailes		8	0.73		595	54.59		0	0.00		19	1.74		9	0.83		22	2.02		18	1.65		1	0.09		140	12.84		196	17.98		25	2.29		57	5.23		0	0.00		1090	96.46		40	3.54		1130	1.40
Goodna		17	0.50		1710	50.73		4	0.12		78	2.31		33	0.98		116	3.44		50	1.48		4	0.12		397	11.78		691	20.50		47	1.39		223	6.62		1	0.03		3371	94.88		182	5.12		3553	4.40
Grand Ave		6	0.33		580	32.19		0	0.00		26	1.44		15	0.83		31	1.72		12	0.67		1	0.06		95	5.27		836	46.39		19	1.05		181	10.04		0	0.00		1802	97.93		38	2.07		1840	2.28
Harrisville		3	1.01		66	22.15		0	0.00		85	28.52		6	2.01		5	1.68		1	0.34		0	0.00		64	21.48		44	14.77		2	0.67		22	7.38		0	0.00		298	97.07		9	2.93		307	0.38
Inala		24	0.89		1592	59.09		7	0.26		87	3.23		19	0.71		45	1.67		22	0.82		0	0.00		132	4.90		589	21.86		24	0.89		152	5.64		1	0.04		2694	96.04		111	3.96		2805	3.47
Inala West		17	1.17		936	64.51		2	0.14		37	2.55		5	0.34		44	3.03		17	1.17		0	0.00		69	4.76		245	16.88		31	2.14		48	3.31		0	0.00		1451	95.78		64	4.22		1515	1.88
Ipswich		5	1.40		163	45.53		2	0.56		9	2.51		3	0.84		10	2.79		2	0.56		1	0.28		46	12.85		98	27.37		6	1.68		13	3.63		0	0.00		358	95.72		16	4.28		374	0.46
Ipswich Hospital		1	0.45		83	37.39		0	0.00		5	2.25		2	0.90		6	2.70		3	1.35		0	0.00		30	13.51		77	34.68		3	1.35		12	5.41		0	0.00		222	96.10		9	3.90		231	0.29
Kruger School		24	0.58		1867	45.12		4	0.10		100	2.42		59	1.43		113	2.73		47	1.14		4	0.10		536	12.95		1006	24.31		76	1.84		301	7.27		1	0.02		4138	96.30		159	3.70		4297	5.32
Newtown Ipswich		3	0.32		334	35.84		1	0.11		36	3.86		15	1.61		33	3.54		9	0.97		2	0.21		122	13.09		302	32.40		10	1.07		64	6.87		1	0.11		932	97.18		27	2.82		959	1.19
North Booval		8	0.63		542	42.71		1	0.08		39	3.07		12	0.95		33	2.60		20	1.58		0	0.00		204	16.08		330	26.00		10	0.79		70	5.52		0	0.00		1269	95.92		54	4.08		1323	1.64
Pallara		2	0.34		185	31.14		0	0.00		10	1.68		5	0.84		26	4.38		6	1.01		1	0.17		68	11.45		249	41.92		8	1.35		34	5.72		0	0.00		594	95.50		28	4.50		622	0.77
Peak Crossing		1	0.15		176	26.63		0	0.00		109	16.49		11	1.66		6	0.91		5	0.76		0	0.00		125	18.91		187	28.29		16	2.42		25	3.78		0	0.00		661	97.06		20	2.94		681	0.84
Raceview School		9	0.29		1184	37.55		0	0.00		67	2.12		39	1.24		61	1.93		30	0.95		3	0.10		504	15.98		976	30.95		33	1.05		245	7.77		2	0.06		3153	96.81		104	3.19		3257	4.03
Redbank		4	0.60		333	50.00		0	0.00		11	1.65		8	1.20		14	2.10		11	1.65		2	0.30		124	18.62		112	16.82		13	1.95		33	4.95		1	0.15		666	95.83		29	4.17		695	0.86
Redbank Plains		14	0.64		909	41.37		2	0.09		56	2.55		25	1.14		67	3.05		40	1.82		2	0.09		387	17.61		553	25.17		30	1.37		109	4.96		3	0.14		2197	96.23		86	3.77		2283	2.83
Richlands		6	0.56		533	49.63		3	0.28		44	4.10		10	0.93		21	1.96		14	1.30		2	0.19		131	12.20		238	22.16		13	1.21		59	5.49		0	0.00		1074	94.88		58	5.12		1132	1.40
Richlands East		24	1.76		932	68.53		1	0.07		57	4.19		8	0.59		16	1.18		14	1.03		2	0.15		89	6.54		157	11.54		26	1.91		34	2.50		0	0.00		1360	95.77		60	4.23		1420	1.76
Riverview		11	0.97		616	54.37		0	0.00		17	1.50		14	1.24		28	2.47		16	1.41		3	0.26		149	13.15		202	17.83		25	2.21		51	4.50		1	0.09		1133	96.10		46	3.90		1179	1.46
Serviceton South		16	0.81		1188	60.40		3	0.15		66	3.36		20	1.02		24	1.22		31	1.58		3	0.15		120	6.10		337	17.13		33	1.68		124	6.30		2	0.10		1967	95.21		99	4.79		2066	2.56
Silkstone		19	0.64		1244	41.94		2	0.07		66	2.23		27	0.91		67	2.26		38	1.28		2	0.07		482	16.25		797	26.87		32	1.08		187	6.30		3	0.10		2966	95.96		125	4.04		3091	3.83
Springfield		11	0.58		787	41.51		0	0.00		51	2.69		19	1.00		48	2.53		22	1.16		3	0.16		171	9.02		612	32.28		26	1.37		146	7.70		0	0.00		1896	97.53		48	2.47		1944	2.41
West Ipswich		6	1.20		211	42.37		0	0.00		20	4.02		10	2.01		20	4.02		8	1.61		0	0.00		72	14.46		121	24.30		4	0.80		26	5.22		0	0.00		498	97.08		15	2.92		513	0.64
Special Hospitals		2	0.76		120	45.45		0	0.00		25	9.47		6	2.27		1	0.38		2	0.76		2	0.76		22	8.33		76	28.79		0	0.00		8	3.03		0	0.00		264	97.78		6	2.22		270	0.33
Total Ordinary		382	0.57		29664	44.02		56	0.08		2106	3.12		754	1.12		1594	2.37		851	1.26		74	0.11		7916	11.75		18692	27.73		884	1.31		4395	6.52		27	0.04		67395	96.46		2475	3.54		69870	86.54
ABSENT		14	0.28		1917	38.14		4	0.08		140	2.79		68	1.35		206	4.10		110	2.19		4	0.08		525	10.45		1560	31.04		102	2.03		373	7.42		3	0.06		5026	98.03		101	1.97		5127	6.35
POSTAL		15	0.53		1305	46.05		3	0.11		81	2.86		41	1.45		34	1.20		19	0.67		2	0.07		419	14.78		759	26.78		26	0.92		129	4.55		1	0.04		2834	98.16		53	1.84		2887	3.58
PRE_POLL		6	0.27		842	37.62		2	0.09		57	2.55		36	1.61		59	2.64		28	1.25		3	0.13		280	12.51		741	33.11		29	1.30		152	6.79		3	0.13		2238	98.72		29	1.28		2267	2.81
PROVISIONAL		3	0.53		314	55.77		0	0.00		11	1.95		1	0.18		19	3.37		10	1.78		0	0.00		58	10.30		110	19.54		15	2.66		21	3.73		1	0.18		563	96.40		21	3.60		584	0.72
Division Summary		420	0.54		34042	43.61		65	0.08		2395	3.07		900	1.15		1912	2.45		1018	1.3		83	0.11		9198	11.78		21862	28.01		1056	1.35		5070	6.5		35	0.04		78056	96.68		2679	3.32		80735	95.22
