Senate - 2001 Election: Queensland 																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Rankin (85204)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Harris Fields		9	0.32		1485	53.61		2	0.07		43	1.55		38	1.37		57	2.06		38	1.37		3	0.11		252	9.10		658	23.75		54	1.95		130	4.69		1	0.04		2770	91.33		263	8.67		3033	3.78
Kingston		22	0.77		1540	53.83		4	0.14		70	2.45		43	1.50		60	2.10		41	1.43		3	0.10		295	10.31		573	20.03		88	3.08		120	4.19		2	0.07		2861	95.91		122	4.09		2983	3.72
Kuraby (Rankin)		5	0.53		364	38.72		0	0.00		37	3.94		19	2.02		25	2.66		10	1.06		3	0.32		51	5.43		344	36.60		13	1.38		69	7.34		0	0.00		940	96.31		36	3.69		976	1.22
Loganholme (Rankin)		10	0.48		673	32.61		1	0.05		83	4.02		32	1.55		39	1.89		29	1.41		4	0.19		185	8.96		845	40.94		26	1.26		137	6.64		0	0.00		2064	96.22		81	3.78		2145	2.68
Mabel Park		21	0.60		1709	49.12		8	0.23		105	3.02		61	1.75		94	2.70		50	1.44		3	0.09		308	8.85		874	25.12		69	1.98		175	5.03		2	0.06		3479	94.33		209	5.67		3688	4.60
Marsden (Rankin)		10	0.48		1005	48.50		1	0.05		30	1.45		19	0.92		36	1.74		49	2.36		3	0.14		263	12.69		523	25.24		37	1.79		94	4.54		2	0.10		2072	97.05		63	2.95		2135	2.66
Park Ridge (Rankin)		7	0.39		613	34.19		2	0.11		81	4.52		25	1.39		47	2.62		17	0.95		3	0.17		232	12.94		635	35.42		29	1.62		99	5.52		3	0.17		1793	97.18		52	2.82		1845	2.30
Regents Park		9	0.36		1077	43.08		2	0.08		70	2.80		25	1.00		38	1.52		32	1.28		1	0.04		196	7.84		877	35.08		44	1.76		127	5.08		2	0.08		2500	95.60		115	4.40		2615	3.26
Runcorn (Rankin)		12	0.40		1229	40.67		4	0.13		105	3.47		26	0.86		86	2.85		28	0.93		3	0.10		163	5.39		1114	36.86		40	1.32		210	6.95		2	0.07		3022	95.91		129	4.09		3151	3.93
Runcorn Heights		16	0.37		1719	39.76		1	0.02		208	4.81		41	0.95		76	1.76		38	0.88		4	0.09		216	5.00		1584	36.64		28	0.65		391	9.04		1	0.02		4323	96.39		162	3.61		4485	5.60
Slacks Creek (Rankin)		0	0.00		155	35.96		0	0.00		20	4.64		5	1.16		19	4.41		5	1.16		1	0.23		26	6.03		161	37.35		6	1.39		33	7.66		0	0.00		431	97.29		12	2.71		443	0.55
Sunnybank (Rankin)		0	0.00		131	39.58		0	0.00		12	3.63		3	0.91		15	4.53		5	1.51		0	0.00		21	6.34		118	35.65		3	0.91		23	6.95		0	0.00		331	97.64		8	2.36		339	0.42
Sunnybank Hills		13	0.25		1889	36.82		3	0.06		280	5.46		37	0.72		90	1.75		41	0.80		4	0.08		188	3.66		2154	41.99		77	1.50		352	6.86		2	0.04		5130	96.68		176	3.32		5306	6.62
Woodridge		24	1.03		1277	54.76		0	0.00		52	2.23		21	0.90		46	1.97		36	1.54		3	0.13		244	10.46		482	20.67		51	2.19		96	4.12		0	0.00		2332	94.53		135	5.47		2467	3.08
Woodridge North		14	0.69		1114	55.20		5	0.25		42	2.08		26	1.29		31	1.54		28	1.39		3	0.15		214	10.60		413	20.47		30	1.49		98	4.86		0	0.00		2018	95.01		106	4.99		2124	2.65
Yugumbir		19	0.49		1645	42.77		1	0.03		88	2.29		48	1.25		68	1.77		71	1.85		5	0.13		259	6.73		1301	33.83		53	1.38		287	7.46		1	0.03		3846	95.96		162	4.04		4008	5.00
Special Hospitals		2	0.58		144	41.74		0	0.00		19	5.51		1	0.29		2	0.58		0	0.00		0	0.00		18	5.22		155	44.93		2	0.58		2	0.58		0	0.00		345	92.49		28	7.51		373	0.47
Total Ordinary		301	0.46		28210	43.41		50	0.08		1963	3.02		757	1.16		1308	2.01		849	1.31		73	0.11		4855	7.47		21534	33.13		1018	1.57		4047	6.23		25	0.04		64990	95.91		2771	4.09		67761	84.56
ABSENT		21	0.39		2074	38.49		6	0.11		160	2.97		55	1.02		172	3.19		118	2.19		11	0.20		383	7.11		1869	34.69		107	1.99		410	7.61		2	0.04		5388	97.66		129	2.34		5517	6.88
POSTAL		22	0.69		1408	44.01		3	0.09		104	3.25		32	1.00		50	1.56		12	0.38		8	0.25		325	10.16		1051	32.85		45	1.41		136	4.25		3	0.09		3199	98.37		53	1.63		3252	4.06
PRE_POLL		17	0.60		1237	43.82		0	0.00		78	2.76		32	1.13		57	2.02		31	1.10		9	0.32		230	8.15		906	32.09		61	2.16		165	5.84		0	0.00		2823	97.65		68	2.35		2891	3.61
PROVISIONAL		3	0.44		343	50.29		1	0.15		20	2.93		3	0.44		12	1.76		14	2.05		2	0.29		44	6.45		185	27.13		20	2.93		35	5.13		0	0.00		682	95.52		32	4.48		714	0.89
Division Summary		364	0.47		33272	43.16		60	0.08		2325	3.02		879	1.14		1599	2.07		1024	1.33		103	0.13		5837	7.57		25545	33.14		1251	1.62		4793	6.22		30	0.04		77082	96.19		3053	3.81		80135	94.05
