House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Groom																										
					KANE			WUERSCHING			HOY			MACFARLANE			KING			BERRY			EYRES			
		TOTAL											488	71.55		194	28.45								682	
													Elected													
																										
Charlton                                                       																										
	FIRST			17	2.80		85	14.00		60	9.88		315	51.89		93	15.32		22	3.62		15	2.47		607	
	SECOND			2	9.09		5	22.73		5	22.73		1	4.55		4	18.18			Excluded		5	22.73		22	
		TOTAL		19	3.13		90	14.83		65	10.71		316	52.06		97	15.98					20	3.29		607	
	THIRD			7	35.00		3	15.00		4	20.00		2	10.00		4	20.00						Excluded		20	
		TOTAL		26	4.28		93	15.32		69	11.37		318	52.39		101	16.64								607	
	FOURTH				Excluded		8	30.77		6	23.08		5	19.23		7	26.92								26	
		TOTAL					101	16.64		75	12.36		323	53.21		108	17.79								607	
	FIFTH						40	53.33			Excluded		15	20.00		20	26.67								75	
		TOTAL					141	23.23					338	55.68		128	21.09								607	
	SIXTH							Excluded					114	80.85		27	19.15								141	
		TOTAL											452	74.46		155	25.54								607	
													Elected													
																										
Clifton                                                        																										
	FIRST			17	2.13		84	10.54		137	17.19		392	49.18		124	15.56		24	3.01		19	2.38		797	
	SECOND			1	4.17		6	25.00		8	33.33		4	16.67		1	4.17			Excluded		4	16.67		24	
		TOTAL		18	2.26		90	11.29		145	18.19		396	49.69		125	15.68					23	2.89		797	
	THIRD			8	34.78		2	8.70		3	13.04		2	8.70		8	34.78						Excluded		23	
		TOTAL		26	3.26		92	11.54		148	18.57		398	49.94		133	16.69								797	
	FOURTH				Excluded		9	34.62		2	7.69		4	15.38		11	42.31								26	
		TOTAL					101	12.67		150	18.82		402	50.44		144	18.07								797	
	FIFTH						59	39.33			Excluded		37	24.67		54	36.00								150	
		TOTAL					160	20.08					439	55.08		198	24.84								797	
	SIXTH							Excluded					129	80.63		31	19.38								160	
		TOTAL											568	71.27		229	28.73								797	
													Elected													
																										
Darling Heights                                                																										
	FIRST			145	4.55		279	8.76		203	6.37		1536	48.23		782	24.55		86	2.70		154	4.84		3185	
	SECOND			15	17.44		13	15.12		11	12.79		13	15.12		13	15.12			Excluded		21	24.42		86	
		TOTAL		160	5.02		292	9.17		214	6.72		1549	48.63		795	24.96					175	5.49		3185	
	THIRD			94	53.71		12	6.86		6	3.43		25	14.29		38	21.71						Excluded		175	
		TOTAL		254	7.97		304	9.54		220	6.91		1574	49.42		833	26.15								3185	
	FOURTH				Excluded		59	23.23		33	12.99		48	18.90		114	44.88								254	
		TOTAL					363	11.40		253	7.94		1622	50.93		947	29.73								3185	
	FIFTH						101	39.92			Excluded		80	31.62		72	28.46								253	
		TOTAL					464	14.57					1702	53.44		1019	31.99								3185	
	SIXTH							Excluded					370	79.74		94	20.26								464	
		TOTAL											2072	65.05		1113	34.95								3185	
													Elected													
																										
Drayton                                                        																										
	FIRST			38	2.56		172	11.57		173	11.64		682	45.90		338	22.75		51	3.43		32	2.15		1486	
	SECOND			5	9.80		8	15.69		19	37.25		5	9.80		7	13.73			Excluded		7	13.73		51	
		TOTAL		43	2.89		180	12.11		192	12.92		687	46.23		345	23.22					39	2.62		1486	
	THIRD			12	30.77		6	15.38		4	10.26		6	15.38		11	28.21						Excluded		39	
		TOTAL		55	3.70		186	12.52		196	13.19		693	46.64		356	23.96								1486	
	FOURTH				Excluded		9	16.36		14	25.45		10	18.18		22	40.00								55	
		TOTAL					195	13.12		210	14.13		703	47.31		378	25.44								1486	
	FIFTH						74	35.24			Excluded		53	25.24		83	39.52								210	
		TOTAL					269	18.10					756	50.87		461	31.02								1486	
	SIXTH							Excluded					211	78.44		58	21.56								269	
		TOTAL											967	65.07		519	34.93								1486	
													Elected													
																										
Fairview Heights                                               																										
	FIRST			24	2.40		108	10.81		70	7.01		491	49.15		249	24.92		28	2.80		29	2.90		999	
	SECOND			6	21.43		7	25.00		3	10.71		1	3.57		4	14.29			Excluded		7	25.00		28	
		TOTAL		30	3.00		115	11.51		73	7.31		492	49.25		253	25.33					36	3.60		999	
	THIRD			18	50.00		5	13.89		0	0.00		6	16.67		7	19.44						Excluded		36	
		TOTAL		48	4.80		120	12.01		73	7.31		498	49.85		260	26.03								999	
	FOURTH				Excluded		13	27.08		9	18.75		8	16.67		18	37.50								48	
		TOTAL					133	13.31		82	8.21		506	50.65		278	27.83								999	
	FIFTH						34	41.46			Excluded		18	21.95		30	36.59								82	
		TOTAL					167	16.72					524	52.45		308	30.83								999	
	SIXTH							Excluded					135	80.84		32	19.16								167	
		TOTAL											659	65.97		340	34.03								999	
													Elected													
																										
Felton East                                                    																										
	FIRST			0	0.00		40	28.17		16	11.27		76	53.52		5	3.52		4	2.82		1	0.70		142	
	SECOND			0	0.00		2	50.00		2	50.00		0	0.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		0	0.00		42	29.58		18	12.68		76	53.52		5	3.52					1	0.70		142	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		0	0.00		42	29.58		18	12.68		77	54.23		5	3.52								142	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00								0	
		TOTAL					42	29.58		18	12.68		77	54.23		5	3.52								142	
	FIFTH						4	22.22			Excluded		12	66.67		2	11.11								18	
		TOTAL					46	32.39					89	62.68		7	4.93								142	
	SIXTH							Excluded					39	84.78		7	15.22								46	
		TOTAL											128	90.14		14	9.86								142	
													Elected													
																										
Gabbinbar                                                      																										
	FIRST			64	3.49		204	11.12		101	5.50		1023	55.75		357	19.46		36	1.96		50	2.72		1835	
	SECOND			5	13.89		5	13.89		7	19.44		7	19.44		5	13.89			Excluded		7	19.44		36	
		TOTAL		69	3.76		209	11.39		108	5.89		1030	56.13		362	19.73					57	3.11		1835	
	THIRD			22	38.60		5	8.77		2	3.51		13	22.81		15	26.32						Excluded		57	
		TOTAL		91	4.96		214	11.66		110	5.99		1043	56.84		377	20.54								1835	
	FOURTH				Excluded		19	20.88		7	7.69		12	13.19		53	58.24								91	
		TOTAL					233	12.70		117	6.38		1055	57.49		430	23.43								1835	
	FIFTH						38	32.48			Excluded		34	29.06		45	38.46								117	
		TOTAL					271	14.77					1089	59.35		475	25.89								1835	
	SIXTH							Excluded					217	80.07		54	19.93								271	
		TOTAL											1306	71.17		529	28.83								1835	
													Elected													
																										
Geham                                                          																										
	FIRST			13	3.37		54	13.99		57	14.77		158	40.93		63	16.32		24	6.22		17	4.40		386	
	SECOND			6	25.00		3	12.50		5	20.83		2	8.33		4	16.67			Excluded		4	16.67		24	
		TOTAL		19	4.92		57	14.77		62	16.06		160	41.45		67	17.36					21	5.44		386	
	THIRD			12	57.14		2	9.52		4	19.05		2	9.52		1	4.76						Excluded		21	
		TOTAL		31	8.03		59	15.28		66	17.10		162	41.97		68	17.62								386	
	FOURTH				Excluded		4	12.90		2	6.45		2	6.45		23	74.19								31	
		TOTAL					63	16.32		68	17.62		164	42.49		91	23.58								386	
	FIFTH						27	39.71			Excluded		13	19.12		28	41.18								68	
		TOTAL					90	23.32					177	45.85		119	30.83								386	
	SIXTH							Excluded					69	76.67		21	23.33								90	
		TOTAL											246	63.73		140	36.27								386	
													Elected													
																										
Glenvale                                                       																										
	FIRST			44	2.28		203	10.53		186	9.65		1031	53.50		358	18.58		60	3.11		45	2.34		1927	
	SECOND			11	18.33		9	15.00		11	18.33		7	11.67		12	20.00			Excluded		10	16.67		60	
		TOTAL		55	2.85		212	11.00		197	10.22		1038	53.87		370	19.20					55	2.85		1927	
	THIRD			19	34.55		7	12.73		3	5.45		15	27.27		11	20.00						Excluded		55	
		TOTAL		74	3.84		219	11.36		200	10.38		1053	54.64		381	19.77								1927	
	FOURTH				Excluded		16	21.62		12	16.22		16	21.62		30	40.54								74	
		TOTAL					235	12.20		212	11.00		1069	55.47		411	21.33								1927	
	FIFTH						78	36.79			Excluded		57	26.89		77	36.32								212	
		TOTAL					313	16.24					1126	58.43		488	25.32								1927	
	SIXTH							Excluded					254	81.15		59	18.85								313	
		TOTAL											1380	71.61		547	28.39								1927	
													Elected													
																										
Goombungee                                                     																										
	FIRST			11	1.76		142	22.72		70	11.20		236	37.76		131	20.96		24	3.84		11	1.76		625	
	SECOND			0	0.00		2	8.33		14	58.33		2	8.33		3	12.50			Excluded		3	12.50		24	
		TOTAL		11	1.76		144	23.04		84	13.44		238	38.08		134	21.44					14	2.24		625	
	THIRD			5	35.71		1	7.14		1	7.14		3	21.43		4	28.57						Excluded		14	
		TOTAL		16	2.56		145	23.20		85	13.60		241	38.56		138	22.08								625	
	FOURTH				Excluded		3	18.75		4	25.00		1	6.25		8	50.00								16	
		TOTAL					148	23.68		89	14.24		242	38.72		146	23.36								625	
	FIFTH						31	34.83			Excluded		19	21.35		39	43.82								89	
		TOTAL					179	28.64					261	41.76		185	29.60								625	
	SIXTH							Excluded					157	87.71		22	12.29								179	
		TOTAL											418	66.88		207	33.12								625	
													Elected													
																										
Gowrie                                                         																										
	FIRST			21	2.77		114	15.04		87	11.48		364	48.02		102	13.46		55	7.26		15	1.98		758	
	SECOND			2	3.64		7	12.73		16	29.09		5	9.09		18	32.73			Excluded		7	12.73		55	
		TOTAL		23	3.03		121	15.96		103	13.59		369	48.68		120	15.83					22	2.90		758	
	THIRD			11	50.00		2	9.09		3	13.64		3	13.64		3	13.64						Excluded		22	
		TOTAL		34	4.49		123	16.23		106	13.98		372	49.08		123	16.23								758	
	FOURTH				Excluded		8	23.53		7	20.59		7	20.59		12	35.29								34	
		TOTAL					131	17.28		113	14.91		379	50.00		135	17.81								758	
	FIFTH						43	38.05			Excluded		27	23.89		43	38.05								113	
		TOTAL					174	22.96					406	53.56		178	23.48								758	
	SIXTH							Excluded					140	80.46		34	19.54								174	
		TOTAL											546	72.03		212	27.97								758	
													Elected													
																										
Greenmount East                                                																										
	FIRST			6	1.41		63	14.79		76	17.84		209	49.06		47	11.03		21	4.93		4	0.94		426	
	SECOND			3	14.29		3	14.29		5	23.81		0	0.00		3	14.29			Excluded		7	33.33		21	
		TOTAL		9	2.11		66	15.49		81	19.01		209	49.06		50	11.74					11	2.58		426	
	THIRD			2	18.18		0	0.00		4	36.36		2	18.18		3	27.27						Excluded		11	
		TOTAL		11	2.58		66	15.49		85	19.95		211	49.53		53	12.44								426	
	FOURTH				Excluded		5	45.45		1	9.09		0	0.00		5	45.45								11	
		TOTAL					71	16.67		86	20.19		211	49.53		58	13.62								426	
	FIFTH						24	27.91			Excluded		12	13.95		50	58.14								86	
		TOTAL					95	22.30					223	52.35		108	25.35								426	
	SIXTH							Excluded					75	78.95		20	21.05								95	
		TOTAL											298	69.95		128	30.05								426	
													Elected													
																										
Harlaxton                                                      																										
	FIRST			75	4.64		133	8.23		146	9.03		708	43.78		445	27.52		49	3.03		61	3.77		1617	
	SECOND			11	22.45		4	8.16		4	8.16		6	12.24		12	24.49			Excluded		12	24.49		49	
		TOTAL		86	5.32		137	8.47		150	9.28		714	44.16		457	28.26					73	4.51		1617	
	THIRD			27	36.99		8	10.96		8	10.96		8	10.96		22	30.14						Excluded		73	
		TOTAL		113	6.99		145	8.97		158	9.77		722	44.65		479	29.62								1617	
	FOURTH				Excluded		29	25.66		20	17.70		14	12.39		50	44.25								113	
		TOTAL					174	10.76		178	11.01		736	45.52		529	32.71								1617	
	FIFTH						65	36.52			Excluded		44	24.72		69	38.76								178	
		TOTAL					239	14.78					780	48.24		598	36.98								1617	
	SIXTH							Excluded					181	75.73		58	24.27								239	
		TOTAL											961	59.43		656	40.57								1617	
													Elected													
																										
Harlaxton North                                                																										
	FIRST			11	4.44		11	4.44		21	8.47		96	38.71		102	41.13		3	1.21		4	1.61		248	
	SECOND			0	0.00		2	66.67		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		11	4.44		13	5.24		21	8.47		96	38.71		103	41.53					4	1.61		248	
	THIRD			0	0.00		0	0.00		1	25.00		2	50.00		1	25.00						Excluded		4	
		TOTAL		11	4.44		13	5.24		22	8.87		98	39.52		104	41.94								248	
	FOURTH				Excluded		5	45.45		1	9.09		1	9.09		4	36.36								11	
		TOTAL					18	7.26		23	9.27		99	39.92		108	43.55								248	
	FIFTH						7	30.43			Excluded		6	26.09		10	43.48								23	
		TOTAL					25	10.08					105	42.34		118	47.58								248	
	SIXTH							Excluded					19	76.00		6	24.00								25	
		TOTAL											124	50.00		124	50.00								248	
													Elected													
																										
Harristown                                                     																										
	FIRST			116	4.23		228	8.31		278	10.13		1186	43.21		747	27.21		71	2.59		119	4.34		2745	
	SECOND			9	12.68		6	8.45		14	19.72		9	12.68		16	22.54			Excluded		17	23.94		71	
		TOTAL		125	4.55		234	8.52		292	10.64		1195	43.53		763	27.80					136	4.95		2745	
	THIRD			60	44.12		12	8.82		11	8.09		23	16.91		30	22.06						Excluded		136	
		TOTAL		185	6.74		246	8.96		303	11.04		1218	44.37		793	28.89								2745	
	FOURTH				Excluded		45	24.32		21	11.35		36	19.46		83	44.86								185	
		TOTAL					291	10.60		324	11.80		1254	45.68		876	31.91								2745	
	FIFTH						119	36.73			Excluded		84	25.93		121	37.35								324	
		TOTAL					410	14.94					1338	48.74		997	36.32								2745	
	SIXTH							Excluded					321	78.29		89	21.71								410	
		TOTAL											1659	60.44		1086	39.56								2745	
													Elected													
																										
Harristown East                                                																										
	FIRST			39	2.84		128	9.34		106	7.73		642	46.83		383	27.94		24	1.75		49	3.57		1371	
	SECOND			7	29.17		1	4.17		3	12.50		3	12.50		3	12.50			Excluded		7	29.17		24	
		TOTAL		46	3.36		129	9.41		109	7.95		645	47.05		386	28.15					56	4.08		1371	
	THIRD			22	39.29		3	5.36		5	8.93		8	14.29		18	32.14						Excluded		56	
		TOTAL		68	4.96		132	9.63		114	8.32		653	47.63		404	29.47								1371	
	FOURTH				Excluded		28	41.18		9	13.24		10	14.71		21	30.88								68	
		TOTAL					160	11.67		123	8.97		663	48.36		425	31.00								1371	
	FIFTH						59	47.97			Excluded		25	20.33		39	31.71								123	
		TOTAL					219	15.97					688	50.18		464	33.84								1371	
	SIXTH							Excluded					182	83.11		37	16.89								219	
		TOTAL											870	63.46		501	36.54								1371	
													Elected													
																										
Highfields                                                     																										
	FIRST			85	3.35		234	9.23		197	7.77		1393	54.93		476	18.77		71	2.80		80	3.15		2536	
	SECOND			11	15.49		6	8.45		18	25.35		12	16.90		13	18.31			Excluded		11	15.49		71	
		TOTAL		96	3.79		240	9.46		215	8.48		1405	55.40		489	19.28					91	3.59		2536	
	THIRD			37	40.66		11	12.09		7	7.69		9	9.89		27	29.67						Excluded		91	
		TOTAL		133	5.24		251	9.90		222	8.75		1414	55.76		516	20.35								2536	
	FOURTH				Excluded		26	19.55		17	12.78		15	11.28		75	56.39								133	
		TOTAL					277	10.92		239	9.42		1429	56.35		591	23.30								2536	
	FIFTH						77	32.22			Excluded		60	25.10		102	42.68								239	
		TOTAL					354	13.96					1489	58.71		693	27.33								2536	
	SIXTH							Excluded					280	79.10		74	20.90								354	
		TOTAL											1769	69.76		767	30.24								2536	
													Elected													
																										
Jondaryan                                                      																										
	FIRST			3	1.15		83	31.80		31	11.88		87	33.33		28	10.73		26	9.96		3	1.15		261	
	SECOND			0	0.00		3	11.54		14	53.85		2	7.69		3	11.54			Excluded		4	15.38		26	
		TOTAL		3	1.15		86	32.95		45	17.24		89	34.10		31	11.88					7	2.68		261	
	THIRD			0	0.00		2	28.57		2	28.57		1	14.29		2	28.57						Excluded		7	
		TOTAL		3	1.15		88	33.72		47	18.01		90	34.48		33	12.64								261	
	FOURTH				Excluded		1	33.33		1	33.33		1	33.33		0	0.00								3	
		TOTAL					89	34.10		48	18.39		91	34.87		33	12.64								261	
	FIFTH						22	45.83			Excluded		9	18.75		17	35.42								48	
		TOTAL					111	42.53					100	38.31		50	19.16								261	
	SIXTH							Excluded					98	88.29		13	11.71								111	
		TOTAL											198	75.86		63	24.14								261	
													Elected													
																										
Kingsthorpe                                                    																										
	FIRST			19	2.21		88	10.24		136	15.83		322	37.49		231	26.89		49	5.70		14	1.63		859	
	SECOND			3	6.12		5	10.20		17	34.69		6	12.24		13	26.53			Excluded		5	10.20		49	
		TOTAL		22	2.56		93	10.83		153	17.81		328	38.18		244	28.41					19	2.21		859	
	THIRD			9	47.37		3	15.79		0	0.00		1	5.26		6	31.58						Excluded		19	
		TOTAL		31	3.61		96	11.18		153	17.81		329	38.30		250	29.10								859	
	FOURTH				Excluded		11	35.48		8	25.81		1	3.23		11	35.48								31	
		TOTAL					107	12.46		161	18.74		330	38.42		261	30.38								859	
	FIFTH						50	31.06			Excluded		33	20.50		78	48.45								161	
		TOTAL					157	18.28					363	42.26		339	39.46								859	
	SIXTH							Excluded					122	77.71		35	22.29								157	
		TOTAL											485	56.46		374	43.54								859	
													Elected													
																										
Kulpi                                                          																										
	FIRST			0	0.00		55	29.26		35	18.62		64	34.04		15	7.98		16	8.51		3	1.60		188	
	SECOND			1	6.25		5	31.25		6	37.50		1	6.25		2	12.50			Excluded		1	6.25		16	
		TOTAL		1	0.53		60	31.91		41	21.81		65	34.57		17	9.04					4	2.13		188	
	THIRD			1	25.00		0	0.00		1	25.00		1	25.00		1	25.00						Excluded		4	
		TOTAL		2	1.06		60	31.91		42	22.34		66	35.11		18	9.57								188	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		1	50.00								2	
		TOTAL					61	32.45		42	22.34		66	35.11		19	10.11								188	
	FIFTH						27	64.29			Excluded		7	16.67		8	19.05								42	
		TOTAL					88	46.81					73	38.83		27	14.36								188	
	SIXTH							Excluded					81	92.05		7	7.95								88	
		TOTAL											154	81.91		34	18.09								188	
													Elected													
																										
Maclagan                                                       																										
	FIRST			0	0.00		35	35.35		19	19.19		29	29.29		4	4.04		10	10.10		2	2.02		99	
	SECOND			0	0.00		4	40.00		4	40.00		0	0.00		1	10.00			Excluded		1	10.00		10	
		TOTAL		0	0.00		39	39.39		23	23.23		29	29.29		5	5.05					3	3.03		99	
	THIRD			2	66.67		0	0.00		0	0.00		1	33.33		0	0.00						Excluded		3	
		TOTAL		2	2.02		39	39.39		23	23.23		30	30.30		5	5.05								99	
	FOURTH				Excluded		0	0.00		1	50.00		1	50.00		0	0.00								2	
		TOTAL					39	39.39		24	24.24		31	31.31		5	5.05								99	
	FIFTH						13	54.17			Excluded		4	16.67		7	29.17								24	
		TOTAL					52	52.53					35	35.35		12	12.12								99	
	SIXTH							Excluded					45	86.54		7	13.46								52	
		TOTAL											80	80.81		19	19.19								99	
													Elected													
																										
Meringandan                                                    																										
	FIRST			23	3.80		82	13.53		82	13.53		249	41.09		136	22.44		22	3.63		12	1.98		606	
	SECOND			4	18.18		3	13.64		8	36.36		1	4.55		1	4.55			Excluded		5	22.73		22	
		TOTAL		27	4.46		85	14.03		90	14.85		250	41.25		137	22.61					17	2.81		606	
	THIRD			7	41.18		1	5.88		2	11.76		6	35.29		1	5.88						Excluded		17	
		TOTAL		34	5.61		86	14.19		92	15.18		256	42.24		138	22.77								606	
	FOURTH				Excluded		9	26.47		5	14.71		5	14.71		15	44.12								34	
		TOTAL					95	15.68		97	16.01		261	43.07		153	25.25								606	
	FIFTH						44	45.36			Excluded		25	25.77		28	28.87								97	
		TOTAL					139	22.94					286	47.19		181	29.87								606	
	SIXTH							Excluded					111	79.86		28	20.14								139	
		TOTAL											397	65.51		209	34.49								606	
													Elected													
																										
Middle Ridge                                                   																										
	FIRST			81	2.46		352	10.69		206	6.25		1852	56.22		661	20.07		66	2.00		76	2.31		3294	
	SECOND			5	7.58		8	12.12		11	16.67		16	24.24		11	16.67			Excluded		15	22.73		66	
		TOTAL		86	2.61		360	10.93		217	6.59		1868	56.71		672	20.40					91	2.76		3294	
	THIRD			41	45.05		6	6.59		4	4.40		11	12.09		29	31.87						Excluded		91	
		TOTAL		127	3.86		366	11.11		221	6.71		1879	57.04		701	21.28								3294	
	FOURTH				Excluded		31	24.41		15	11.81		24	18.90		57	44.88								127	
		TOTAL					397	12.05		236	7.16		1903	57.77		758	23.01								3294	
	FIFTH						85	36.02			Excluded		61	25.85		90	38.14								236	
		TOTAL					482	14.63					1964	59.62		848	25.74								3294	
	SIXTH							Excluded					390	80.91		92	19.09								482	
		TOTAL											2354	71.46		940	28.54								3294	
													Elected													
																										
Mount Lofty                                                    																										
	FIRST			55	4.17		103	7.80		78	5.91		592	44.85		421	31.89		38	2.88		33	2.50		1320	
	SECOND			1	2.63		7	18.42		8	21.05		5	13.16		10	26.32			Excluded		7	18.42		38	
