House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
McPherson																										
				LIGHT			LEWIS			MAY			BRADLEY			TRIGGER			GOODWIN			WHITE				
	SECOND			2	15.38		1	7.69		0	0.00		7	53.85		1	7.69			Excluded		2	15.38		13	
		TOTAL		123	7.99		54	3.51		866	56.23		17	1.10		360	23.38					120	7.79		1540	
	THIRD			9	52.94		2	11.76		2	11.76			Excluded		2	11.76					2	11.76		17	
		TOTAL		132	8.57		56	3.64		868	56.36					362	23.51					122	7.92		1540	
	FOURTH			50	40.98		3	2.46		34	27.87					35	28.69						Excluded		122	
		TOTAL		182	11.82		59	3.83		902	58.57					397	25.78								1540	
	FIFTH			29	49.15			Excluded		21	35.59					9	15.25								59	
		TOTAL		211	13.70					923	59.94					406	26.36								1540	
	SIXTH				Excluded					102	48.34					109	51.66								211	
		TOTAL								1025	66.56					515	33.44								1540	
										Elected																
																										
Burleigh Heads                                                 																										
	FIRST			301	7.60		227	5.73		2066	52.16		21	0.53		1114	28.12		25	0.63		207	5.23		3961	
	SECOND			1	4.00		2	8.00		4	16.00		13	52.00		2	8.00			Excluded		3	12.00		25	
		TOTAL		302	7.62		229	5.78		2070	52.26		34	0.86		1116	28.17					210	5.30		3961	
	THIRD			7	20.59		3	8.82		10	29.41			Excluded		5	14.71					9	26.47		34	
		TOTAL		309	7.80		232	5.86		2080	52.51					1121	28.30					219	5.53		3961	
	FOURTH			126	57.53		10	4.57		37	16.89					46	21.00						Excluded		219	
		TOTAL		435	10.98		242	6.11		2117	53.45					1167	29.46								3961	
	FIFTH			115	47.52			Excluded		72	29.75					55	22.73								242	
		TOTAL		550	13.89					2189	55.26					1222	30.85								3961	
	SIXTH				Excluded					242	44.00					308	56.00								550	
		TOTAL								2431	61.37					1530	38.63								3961	
										Elected																
																										
Burleigh North                                                 																										
	FIRST			26	3.93		27	4.08		360	54.38		2	0.30		230	34.74		2	0.30		15	2.27		662	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		26	3.93		27	4.08		360	54.38		3	0.45		231	34.89					15	2.27		662	
	THIRD			1	33.33		1	33.33		1	33.33			Excluded		0	0.00					0	0.00		3	
		TOTAL		27	4.08		28	4.23		361	54.53					231	34.89					15	2.27		662	
	FOURTH			3	20.00		3	20.00		1	6.67					8	53.33						Excluded		15	
		TOTAL		30	4.53		31	4.68		362	54.68					239	36.10								662	
	FIFTH			13	41.94			Excluded		10	32.26					8	25.81								31	
		TOTAL		43	6.50					372	56.19					247	37.31								662	
	SIXTH				Excluded					22	51.16					21	48.84								43	
		TOTAL								394	59.52					268	40.48								662	
										Elected																
																										
Burleigh Waters                                                																										
	FIRST			231	4.97		275	5.91		2393	51.44		26	0.56		1526	32.80		21	0.45		180	3.87		4652	
	SECOND			4	19.05		1	4.76		4	19.05		7	33.33		2	9.52			Excluded		3	14.29		21	
		TOTAL		235	5.05		276	5.93		2397	51.53		33	0.71		1528	32.85					183	3.93		4652	
	THIRD			10	30.30		4	12.12		8	24.24			Excluded		7	21.21					4	12.12		33	
		TOTAL		245	5.27		280	6.02		2405	51.70					1535	33.00					187	4.02		4652	
	FOURTH			104	55.61		12	6.42		24	12.83					47	25.13						Excluded		187	
		TOTAL		349	7.50		292	6.28		2429	52.21					1582	34.01								4652	
	FIFTH			142	48.63			Excluded		99	33.90					51	17.47								292	
		TOTAL		491	10.55					2528	54.34					1633	35.10								4652	
	SIXTH				Excluded					193	39.31					298	60.69								491	
		TOTAL								2721	58.49					1931	41.51								4652	
										Elected																
																										
Burleigh West                                                  																										
	FIRST			78	5.52		74	5.23		779	55.09		13	0.92		399	28.22		11	0.78		60	4.24		1414	
	SECOND			1	9.09		1	9.09		2	18.18		4	36.36		2	18.18			Excluded		1	9.09		11	
		TOTAL		79	5.59		75	5.30		781	55.23		17	1.20		401	28.36					61	4.31		1414	
	THIRD			4	23.53		1	5.88		6	35.29			Excluded		3	17.65					3	17.65		17	
		TOTAL		83	5.87		76	5.37		787	55.66					404	28.57					64	4.53		1414	
	FOURTH			22	34.38		8	12.50		13	20.31					21	32.81						Excluded		64	
		TOTAL		105	7.43		84	5.94		800	56.58					425	30.06								1414	
	FIFTH			26	30.95			Excluded		35	41.67					23	27.38								84	
		TOTAL		131	9.26					835	59.05					448	31.68								1414	
	SIXTH				Excluded					52	39.69					79	60.31								131	
		TOTAL								887	62.73					527	37.27								1414	
										Elected																
																										
Coolangatta                                                    																										
	FIRST			49	5.17		48	5.07		458	48.36		8	0.84		319	33.69		26	2.75		39	4.12		947	
	SECOND			3	11.54		3	11.54		7	26.92		5	19.23		4	15.38			Excluded		4	15.38		26	
		TOTAL		52	5.49		51	5.39		465	49.10		13	1.37		323	34.11					43	4.54		947	
	THIRD			5	38.46		3	23.08		3	23.08			Excluded		1	7.69					1	7.69		13	
		TOTAL		57	6.02		54	5.70		468	49.42					324	34.21					44	4.65		947	
	FOURTH			20	45.45		5	11.36		8	18.18					11	25.00						Excluded		44	
		TOTAL		77	8.13		59	6.23		476	50.26					335	35.37								947	
	FIFTH			29	49.15			Excluded		18	30.51					12	20.34								59	
		TOTAL		106	11.19					494	52.16					347	36.64								947	
	SIXTH				Excluded					37	34.91					69	65.09								106	
		TOTAL								531	56.07					416	43.93								947	
										Elected																
																										
Currumbin                                                      																										
	FIRST			131	5.19		168	6.66		1257	49.82		16	0.63		866	34.32		10	0.40		75	2.97		2523	
	SECOND			0	0.00		0	0.00		0	0.00		5	50.00		2	20.00			Excluded		3	30.00		10	
		TOTAL		131	5.19		168	6.66		1257	49.82		21	0.83		868	34.40					78	3.09		2523	
	THIRD			6	28.57		3	14.29		5	23.81			Excluded		4	19.05					3	14.29		21	
		TOTAL		137	5.43		171	6.78		1262	50.02					872	34.56					81	3.21		2523	
	FOURTH			47	58.02		5	6.17		13	16.05					16	19.75						Excluded		81	
		TOTAL		184	7.29		176	6.98		1275	50.54					888	35.20								2523	
	FIFTH			76	43.18			Excluded		56	31.82					44	25.00								176	
		TOTAL		260	10.31					1331	52.75					932	36.94								2523	
	SIXTH				Excluded					92	35.38					168	64.62								260	
		TOTAL								1423	56.40					1100	43.60								2523	
										Elected																
																										
Currumbin Valley                                               																										
	FIRST			23	7.26		41	12.93		159	50.16		4	1.26		79	24.92		2	0.63		9	2.84		317	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		23	7.26		41	12.93		160	50.47		5	1.58		79	24.92					9	2.84		317	
	THIRD			2	40.00		0	0.00		2	40.00			Excluded		1	20.00					0	0.00		5	
		TOTAL		25	7.89		41	12.93		162	51.10					80	25.24					9	2.84		317	
	FOURTH			5	55.56		0	0.00		0	0.00					4	44.44						Excluded		9	
		TOTAL		30	9.46		41	12.93		162	51.10					84	26.50								317	
	FIFTH			21	51.22			Excluded		13	31.71					7	17.07								41	
		TOTAL		51	16.09					175	55.21					91	28.71								317	
	SIXTH				Excluded					11	21.57					40	78.43								51	
		TOTAL								186	58.68					131	41.32								317	
										Elected																
																										
Currumbin Waters                                               																										
	FIRST			103	4.67		126	5.71		1168	52.97		18	0.82		715	32.43		12	0.54		63	2.86		2205	
	SECOND			2	16.67		1	8.33		1	8.33		4	33.33		1	8.33			Excluded		3	25.00		12	
		TOTAL		105	4.76		127	5.76		1169	53.02		22	1.00		716	32.47					66	2.99		2205	
	THIRD			5	22.73		3	13.64		3	13.64			Excluded		5	22.73					6	27.27		22	
		TOTAL		110	4.99		130	5.90		1172	53.15					721	32.70					72	3.27		2205	
	FOURTH			32	44.44		2	2.78		14	19.44					24	33.33						Excluded		72	
		TOTAL		142	6.44		132	5.99		1186	53.79					745	33.79								2205	
	FIFTH			77	58.33			Excluded		31	23.48					24	18.18								132	
		TOTAL		219	9.93					1217	55.19					769	34.88								2205	
	SIXTH				Excluded					69	31.51					150	68.49								219	
		TOTAL								1286	58.32					919	41.68								2205	
										Elected																
																										
Elanora                                                        																										
	FIRST			112	4.18		155	5.78		1469	54.81		17	0.63		779	29.07		9	0.34		139	5.19		2680	
	SECOND			0	0.00		0	0.00		1	11.11		7	77.78		0	0.00			Excluded		1	11.11		9	
		TOTAL		112	4.18		155	5.78		1470	54.85		24	0.90		779	29.07					140	5.22		2680	
	THIRD			5	20.83		6	25.00		6	25.00			Excluded		5	20.83					2	8.33		24	
		TOTAL		117	4.37		161	6.01		1476	55.07					784	29.25					142	5.30		2680	
	FOURTH			77	54.23		6	4.23		20	14.08					39	27.46						Excluded		142	
		TOTAL		194	7.24		167	6.23		1496	55.82					823	30.71								2680	
	FIFTH			82	49.10			Excluded		63	37.72					22	13.17								167	
		TOTAL		276	10.30					1559	58.17					845	31.53								2680	
	SIXTH				Excluded					79	28.62					197	71.38								276	
		TOTAL								1638	61.12					1042	38.88								2680	
										Elected																
																										
Elanora High                                                   																										
	FIRST			88	3.69		171	7.16		1232	51.59		11	0.46		793	33.21		10	0.42		83	3.48		2388	
	SECOND			0	0.00		1	10.00		1	10.00		4	40.00		0	0.00			Excluded		4	40.00		10	
		TOTAL		88	3.69		172	7.20		1233	51.63		15	0.63		793	33.21					87	3.64		2388	
	THIRD			2	13.33		4	26.67		3	20.00			Excluded		3	20.00					3	20.00		15	
		TOTAL		90	3.77		176	7.37		1236	51.76					796	33.33					90	3.77		2388	
	FOURTH			34	37.78		5	5.56		21	23.33					30	33.33						Excluded		90	
		TOTAL		124	5.19		181	7.58		1257	52.64					826	34.59								2388	
	FIFTH			95	52.49			Excluded		59	32.60					27	14.92								181	
		TOTAL		219	9.17					1316	55.11					853	35.72								2388	
	SIXTH				Excluded					79	36.07					140	63.93								219	
		TOTAL								1395	58.42					993	41.58								2388	
										Elected																
																										
Kirra                                                          																										
	FIRST			91	6.29		101	6.98		625	43.19		14	0.97		556	38.42		18	1.24		42	2.90		1447	
	SECOND			3	16.67		3	16.67		4	22.22		4	22.22		1	5.56			Excluded		3	16.67		18	
		TOTAL		94	6.50		104	7.19		629	43.47		18	1.24		557	38.49					45	3.11		1447	
	THIRD			1	5.56		5	27.78		5	27.78			Excluded		3	16.67					4	22.22		18	
		TOTAL		95	6.57		109	7.53		634	43.81					560	38.70					49	3.39		1447	
	FOURTH			19	38.78		3	6.12		13	26.53					14	28.57						Excluded		49	
		TOTAL		114	7.88		112	7.74		647	44.71					574	39.67								1447	
	FIFTH			40	35.71			Excluded		44	39.29					28	25.00								112	
		TOTAL		154	10.64					691	47.75					602	41.60								1447	
	SIXTH				Excluded					72	46.75					82	53.25								154	
		TOTAL								763	52.73					684	47.27								1447	
										Elected																
																										
Mermaid Beach                                                  																										
	FIRST			80	6.17		62	4.78		796	61.42		15	1.16		282	21.76		4	0.31		57	4.40		1296	
	SECOND			0	0.00		0	0.00		0	0.00		2	50.00		2	50.00			Excluded		0	0.00		4	
		TOTAL		80	6.17		62	4.78		796	61.42		17	1.31		284	21.91					57	4.40		1296	
	THIRD			4	23.53		2	11.76		5	29.41			Excluded		4	23.53					2	11.76		17	
		TOTAL		84	6.48		64	4.94		801	61.81					288	22.22					59	4.55		1296	
	FOURTH			34	57.63		2	3.39		9	15.25					14	23.73						Excluded		59	
		TOTAL		118	9.10		66	5.09		810	62.50					302	23.30								1296	
	FIFTH			21	31.82			Excluded		27	40.91					18	27.27								66	
		TOTAL		139	10.73					837	64.58					320	24.69								1296	
	SIXTH				Excluded					58	41.73					81	58.27								139	
		TOTAL								895	69.06					401	30.94								1296	
										Elected																
																										
Mermaid Waters (McPherson)                                     																										
	FIRST			96	3.42		146	5.20		1699	60.57		17	0.61		693	24.71		15	0.53		139	4.96		2805	
	SECOND			3	20.00		2	13.33		0	0.00		8	53.33		0	0.00			Excluded		2	13.33		15	
		TOTAL		99	3.53		148	5.28		1699	60.57		25	0.89		693	24.71					141	5.03		2805	
	THIRD			2	8.00		3	12.00		11	44.00			Excluded		4	16.00					5	20.00		25	
		TOTAL		101	3.60		151	5.38		1710	60.96					697	24.85					146	5.20		2805	
	FOURTH			79	54.11		7	4.79		25	17.12					35	23.97						Excluded		146	
		TOTAL		180	6.42		158	5.63		1735	61.85					732	26.10								2805	
	FIFTH			74	46.84			Excluded		56	35.44					28	17.72								158	
		TOTAL		254	9.06					1791	63.85					760	27.09								2805	
	SIXTH				Excluded					91	35.83					163	64.17								254	
		TOTAL								1882	67.09					923	32.91								2805	
										Elected																
																										
Merrimac (McPherson)                                           																										
	FIRST			72	4.17		106	6.14		1038	60.17		12	0.70		427	24.75		10	0.58		60	3.48		1725	
	SECOND			1	10.00		0	0.00		3	30.00		3	30.00		0	0.00			Excluded		3	30.00		10	
		TOTAL		73	4.23		106	6.14		1041	60.35		15	0.87		427	24.75					63	3.65		1725	
	THIRD			3	20.00		4	26.67		3	20.00			Excluded		2	13.33					3	20.00		15	
		TOTAL		76	4.41		110	6.38		1044	60.52					429	24.87					66	3.83		1725	
	FOURTH			26	39.39		5	7.58		13	19.70					22	33.33						Excluded		66	
		TOTAL		102	5.91		115	6.67		1057	61.28					451	26.14								1725	
	FIFTH			55	47.83			Excluded		42	36.52					18	15.65								115	
		TOTAL		157	9.10					1099	63.71					469	27.19								1725	
	SIXTH				Excluded					71	45.22					86	54.78								157	
		TOTAL								1170	67.83					555	32.17								1725	
										Elected																
																										
Merrimac High                                                  																										
	FIRST			43	3.03		69	4.87		891	62.83		13	0.92		356	25.11		13	0.92		33	2.33		1418	
	SECOND			0	0.00		0	0.00		1	7.69		3	23.08		3	23.08			Excluded		6	46.15		13	
		TOTAL		43	3.03		69	4.87		892	62.91		16	1.13		359	25.32					39	2.75		1418	
	THIRD			1	6.25		4	25.00		3	18.75			Excluded		4	25.00					4	25.00		16	
		TOTAL		44	3.10		73	5.15		895	63.12					363	25.60					43	3.03		1418	
	FOURTH			18	41.86		2	4.65		8	18.60					15	34.88						Excluded		43	
		TOTAL		62	4.37		75	5.29		903	63.68					378	26.66								1418	
	FIFTH			37	49.33			Excluded		22	29.33					16	21.33								75	
		TOTAL		99	6.98					925	65.23					394	27.79								1418	
	SIXTH				Excluded					41	41.41					58	58.59								99	
		TOTAL								966	68.12					452	31.88								1418	
										Elected																
																										
Miami                                                          																										
	FIRST			153	8.81		96	5.53		830	47.78		14	0.81		583	33.56		10	0.58		51	2.94		1737	
	SECOND			1	10.00		0	0.00		0	0.00		4	40.00		0	0.00			Excluded		5	50.00		10	
		TOTAL		154	8.87		96	5.53		830	47.78		18	1.04		583	33.56					56	3.22		1737	
	THIRD			4	22.22		3	16.67		3	16.67			Excluded		4	22.22					4	22.22		18	
		TOTAL		158	9.10		99	5.70		833	47.96					587	33.79					60	3.45		1737	
	FOURTH			31	51.67		6	10.00		7	11.67					16	26.67						Excluded		60	
		TOTAL		189	10.88		105	6.04		840	48.36					603	34.72								1737	
	FIFTH			37	35.24			Excluded		43	40.95					25	23.81								105	
		TOTAL		226	13.01					883	50.83					628	36.15								1737	
	SIXTH				Excluded					101	44.69					125	55.31								226	
		TOTAL								984	56.65					753	43.35								1737	
										Elected																
																										
Miami West                                                     																										
	FIRST			143	4.66		152	4.95		1740	56.71		29	0.95		878	28.62		17	0.55		109	3.55		3068	
	SECOND			0	0.00		1	5.88		2	11.76		6	35.29		6	35.29			Excluded		2	11.76		17	
		TOTAL		143	4.66		153	4.99		1742	56.78		35	1.14		884	28.81					111	3.62		3068	
	THIRD			10	28.57		5	14.29		13	37.14			Excluded		2	5.71					5	14.29		35	
		TOTAL		153	4.99		158	5.15		1755	57.20					886	28.88					116	3.78		3068	
	FOURTH			49	42.24		6	5.17		17	14.66					44	37.93						Excluded		116	
		TOTAL		202	6.58		164	5.35		1772	57.76					930	30.31								3068	
	FIFTH			70	42.68			Excluded		60	36.59					34	20.73								164	
		TOTAL		272	8.87					1832	59.71					964	31.42								3068	
	SIXTH				Excluded					111	40.81					161	59.19								272	
		TOTAL								1943	63.33					1125	36.67								3068	
										Elected																
																										
Moana Park (McPherson)                                         																										
	FIRST			17	3.45		37	7.51		296	60.04		5	1.01		114	23.12		7	1.42		17	3.45		493	
	SECOND			1	14.29		0	0.00		0	0.00		4	57.14		1	14.29			Excluded		1	14.29		7	
		TOTAL		18	3.65		37	7.51		296	60.04		9	1.83		115	23.33					18	3.65		493	
	THIRD			2	22.22		1	11.11		2	22.22			Excluded		1	11.11					3	33.33		9	
		TOTAL		20	4.06		38	7.71		298	60.45					116	23.53					21	4.26		493	
	FOURTH			13	61.90		1	4.76		1	4.76					6	28.57						Excluded		21	
		TOTAL		33	6.69		39	7.91		299	60.65					122	24.75								493	
	FIFTH			10	25.64			Excluded		23	58.97					6	15.38								39	
		TOTAL		43	8.72					322	65.31					128	25.96								493	
	SIXTH				Excluded					22	51.16					21	48.84								43	
		TOTAL								344	69.78					149	30.22								493	
										Elected																
																										
Mudgeeraba                                                     																										
	FIRST			100	5.17		136	7.03		1178	60.91		11	0.57		411	21.25		16	0.83		82	4.24		1934	
	SECOND			1	6.25		2	12.50		1	6.25		8	50.00		1	6.25			Excluded		3	18.75		16	
		TOTAL		101	5.22		138	7.14		1179	60.96		19	0.98		412	21.30					85	4.40		1934	
	THIRD			4	21.05		2	10.53		4	21.05			Excluded		2	10.53					7	36.84		19	
		TOTAL		105	5.43		140	7.24		1183	61.17					414	21.41					92	4.76		1934	
	FOURTH			39	42.39		4	4.35		20	21.74					29	31.52						Excluded		92	
		TOTAL		144	7.45		144	7.45		1203	62.20					443	22.91								1934	
	FIFTH			60	41.67			Excluded		59	40.97					25	17.36								144	
		TOTAL		204	10.55					1262	65.25					468	24.20								1934	
	SIXTH				Excluded					79	38.73					125	61.27								204	
		TOTAL								1341	69.34					593	30.66								1934	
										Elected																
																										
Palm Beach                                                     																										
	FIRST			82	4.14		127	6.41		1059	53.48		12	0.61		633	31.97		12	0.61		55	2.78		1980	
	SECOND			2	16.67		0	0.00		1	8.33		5	41.67		2	16.67			Excluded		2	16.67		12	
		TOTAL		84	4.24		127	6.41		1060	53.54		17	0.86		635	32.07					57	2.88		1980	
	THIRD			5	29.41		3	17.65		4	23.53			Excluded		2	11.76					3	17.65		17	
		TOTAL		89	4.49		130	6.57		1064	53.74					637	32.17					60	3.03		1980	
	FOURTH			34	56.67		2	3.33		11	18.33					13	21.67						Excluded		60	
		TOTAL		123	6.21		132	6.67		1075	54.29					650	32.83								1980	
	FIFTH			65	49.24			Excluded		41	31.06					26	19.70								132	
		TOTAL		188	9.49					1116	56.36					676	34.14								1980	
	SIXTH				Excluded					75	39.89					113	60.11								188	
		TOTAL								1191	60.15					789	39.85								1980	
										Elected																
																										
Palm Beach North                                               																										
	FIRST			176	5.46		177	5.49		1646	51.09		25	0.78		1031	32.00		17	0.53		150	4.66		3222	
	SECOND			1	5.88		1	5.88		3	17.65		9	52.94		0	0.00			Excluded		3	17.65		17	
		TOTAL		177	5.49		178	5.52		1649	51.18		34	1.06		1031	32.00					153	4.75		3222	
	THIRD			11	32.35		9	26.47		5	14.71			Excluded		3	8.82					6	17.65		34	
		TOTAL		188	5.83		187	5.80		1654	51.33					1034	32.09					159	4.93		3222	
	FOURTH			82	51.57		11	6.92		16	10.06					50	31.45						Excluded		159	
		TOTAL		270	8.38		198	6.15		1670	51.83					1084	33.64								3222	
	FIFTH			93	46.97			Excluded		66	33.33					39	19.70								198	
		TOTAL		363	11.27					1736	53.88					1123	34.85								3222	
	SIXTH				Excluded					158	43.53					205	56.47								363	
		TOTAL								1894	58.78					1328	41.22								3222	
										Elected																
																										
Palm Beach South                                               																										
	FIRST			171	6.85		135	5.40		1181	47.28		16	0.64		861	34.47		12	0.48		122	4.88		2498	
	SECOND			1	8.33		1	8.33		1	8.33		4	33.33		3	25.00			Excluded		2	16.67		12	
		TOTAL		172	6.89		136	5.44		1182	47.32		20	0.80		864	34.59					124	4.96		2498	
	THIRD			5	25.00		3	15.00		8	40.00			Excluded		1	5.00					3	15.00		20	
		TOTAL		177	7.09		139	5.56		1190	47.64					865	34.63					127	5.08		2498	
	FOURTH			71	55.91		6	4.72		14	11.02					36	28.35						Excluded		127	
		TOTAL		248	9.93		145	5.80		1204	48.20					901	36.07								2498	
	FIFTH			77	53.10			Excluded		32	22.07					36	24.83								145	
		TOTAL		325	13.01					1236	49.48					937	37.51								2498	
	SIXTH				Excluded					120	36.92					205	63.08								325	
		TOTAL								1356	54.28					1142	45.72								2498	
										Elected																
																										
Reedy Creek                                                    																										
	FIRST			43	3.50		79	6.43		730	59.45		12	0.98		317	25.81		9	0.73		38	3.09		1228	
	SECOND			0	0.00		1	11.11		0	0.00		6	66.67		1	11.11			Excluded		1	11.11		9	
		TOTAL		43	3.50		80	6.51		730	59.45		18	1.47		318	25.90					39	3.18		1228	
	THIRD			2	11.11		1	5.56		4	22.22			Excluded		5	27.78					6	33.33		18	
		TOTAL		45	3.66		81	6.60		734	59.77					323	26.30					45	3.66		1228	
	FOURTH			20	44.44		4	8.89		13	28.89					8	17.78						Excluded		45	
		TOTAL		65	5.29		85	6.92		747	60.83					331	26.95								1228	
	FIFTH			44	51.76			Excluded		26	30.59					15	17.65								85	
		TOTAL		109	8.88					773	62.95					346	28.18								1228	
	SIXTH				Excluded					51	46.79					58	53.21								109	
		TOTAL								824	67.10					404	32.90								1228	
										Elected																
																										
Robina                                                         																										
	FIRST			86	2.95		106	3.64		1951	66.93		15	0.51		640	21.96		8	0.27		109	3.74		2915	
	SECOND			0	0.00		0	0.00		1	12.50		5	62.50		1	12.50			Excluded		1	12.50		8	
		TOTAL		86	2.95		106	3.64		1952	66.96		20	0.69		641	21.99					110	3.77		2915	
	THIRD			6	30.00		5	25.00		6	30.00			Excluded		0	0.00					3	15.00		20	
		TOTAL		92	3.16		111	3.81		1958	67.17					641	21.99					113	3.88		2915	
	FOURTH			62	54.87		7	6.19		23	20.35					21	18.58						Excluded		113	
		TOTAL		154	5.28		118	4.05		1981	67.96					662	22.71								2915	
	FIFTH			58	49.15			Excluded		23	19.49					37	31.36								118	
		TOTAL		212	7.27					2004	68.75					699	23.98								2915	
	SIXTH				Excluded					95	44.81					117	55.19								212	
		TOTAL								2099	72.01					816	27.99								2915	
										Elected																
																										
Robina North                                                   																										
	FIRST			65	2.25		111	3.85		1984	68.82		18	0.62		579	20.08		5	0.17		121	4.20		2883	
	SECOND			0	0.00		2	40.00		0	0.00		3	60.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		65	2.25		113	3.92		1984	68.82		21	0.73		579	20.08					121	4.20		2883	
	THIRD			4	19.05		2	9.52		6	28.57			Excluded		3	14.29					6	28.57		21	
		TOTAL		69	2.39		115	3.99		1990	69.03					582	20.19					127	4.41		2883	
	FOURTH			76	59.84		4	3.15		12	9.45					35	27.56						Excluded		127	
		TOTAL		145	5.03		119	4.13		2002	69.44					617	21.40								2883	
	FIFTH			55	46.22			Excluded		47	39.50					17	14.29								119	
		TOTAL		200	6.94					2049	71.07					634	21.99								2883	
	SIXTH				Excluded					80	40.00					120	60.00								200	
		TOTAL								2129	73.85					754	26.15								2883	
										Elected																
																										
Robina Town                                                    																										
	FIRST			53	3.66		55	3.80		856	59.16		10	0.69		395	27.30		9	0.62		69	4.77		1447	
	SECOND			0	0.00		1	11.11		0	0.00		2	22.22		1	11.11			Excluded		5	55.56		9	
		TOTAL		53	3.66		56	3.87		856	59.16		12	0.83		396	27.37					74	5.11		1447	
	THIRD			1	8.33		3	25.00		3	25.00			Excluded		3	25.00					2	16.67		12	
		TOTAL		54	3.73		59	4.08		859	59.36					399	27.57					76	5.25		1447	
	FOURTH			37	48.68		6	7.89		12	15.79					21	27.63						Excluded		76	
		TOTAL		91	6.29		65	4.49		871	60.19					420	29.03								1447	
	FIFTH			22	33.85			Excluded		27	41.54					16	24.62								65	
		TOTAL		113	7.81					898	62.06					436	30.13								1447	
	SIXTH				Excluded					48	42.48					65	57.52								113	
		TOTAL								946	65.38					501	34.62								1447	
										Elected																
																										
Springbrook                                                    																										
	FIRST			56	20.14		16	5.76		101	36.33		0	0.00		86	30.94		2	0.72		17	6.12		278	
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		57	20.50		16	5.76		101	36.33		1	0.36		86	30.94					17	6.12		278	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00					0	0.00		1	
		TOTAL		57	20.50		16	5.76		101	36.33					87	31.29					17	6.12		278	
	FOURTH			11	64.71		0	0.00		1	5.88					5	29.41						Excluded		17	
		TOTAL		68	24.46		16	5.76		102	36.69					92	33.09								278	
	FIFTH			9	56.25			Excluded		6	37.50					1	6.25								16	
		TOTAL		77	27.70					108	38.85					93	33.45								278	
	SIXTH				Excluded					16	20.78					61	79.22								77	
		TOTAL								124	44.60					154	55.40								278	
										Elected																
																										
Stephens                                                       																										
	FIRST			101	3.72		233	8.58		1292	47.55		17	0.63		946	34.82		14	0.52		114	4.20		2717	
	SECOND			3	21.43		1	7.14		1	7.14		6	42.86		1	7.14			Excluded		2	14.29		14	
		TOTAL		104	3.83		234	8.61		1293	47.59		23	0.85		947	34.85					116	4.27		2717	
	THIRD			4	17.39		4	17.39		8	34.78			Excluded		2	8.70					5	21.74		23	
		TOTAL		108	3.97		238	8.76		1301	47.88					949	34.93					121	4.45		2717	
	FOURTH			73	60.33		4	3.31		24	19.83					20	16.53						Excluded		121	
		TOTAL		181	6.66		242	8.91		1325	48.77					969	35.66								2717	
