Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Braddon (67749)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Cuprona		5	4.35		0	0.00		6	5.22		0	0.00		15	13.04		61	53.04		1	0.87		1	0.87		25	21.74		0	0.00		1	0.87		0	0.00		115	96.64		4	3.36		119	0.18
Currie		12	1.54		0	0.00		55	7.05		0	0.00		83	10.64		421	53.97		0	0.00		25	3.21		181	23.21		1	0.13		1	0.13		1	0.13		780	97.14		23	2.86		803	1.23
Devonport Central		27	1.23		2	0.09		51	2.33		6	0.27		217	9.92		1009	46.12		1	0.05		91	4.16		757	34.60		16	0.73		4	0.18		7	0.32		2188	96.56		78	3.44		2266	3.47
Devonport North		5	0.69		1	0.14		21	2.92		0	0.00		51	7.08		364	50.56		0	0.00		23	3.19		247	34.31		6	0.83		1	0.14		1	0.14		720	97.43		19	2.57		739	1.13
Don		3	0.51		3	0.51		15	2.56		0	0.00		91	15.50		266	45.32		2	0.34		22	3.75		177	30.15		6	1.02		2	0.34		0	0.00		587	96.86		19	3.14		606	0.93
East Devonport		26	1.13		5	0.22		102	4.43		3	0.13		126	5.48		763	33.16		2	0.09		56	2.43		1200	52.15		14	0.61		2	0.09		2	0.09		2301	95.04		120	4.96		2421	3.70
Edith Creek		3	1.52		1	0.51		19	9.64		1	0.51		13	6.60		85	43.15		0	0.00		7	3.55		64	32.49		2	1.02		1	0.51		1	0.51		197	98.01		4	1.99		201	0.31
Elliott		4	1.76		0	0.00		12	5.29		1	0.44		28	12.33		94	41.41		1	0.44		8	3.52		75	33.04		3	1.32		0	0.00		1	0.44		227	97.01		7	2.99		234	0.36
Forest		3	0.77		1	0.26		20	5.15		0	0.00		33	8.51		226	58.25		0	0.00		14	3.61		89	22.94		2	0.52		0	0.00		0	0.00		388	97.00		12	3.00		400	0.61
Forth		9	1.18		0	0.00		32	4.19		0	0.00		121	15.86		382	50.07		0	0.00		19	2.49		194	25.43		4	0.52		1	0.13		1	0.13		763	97.95		16	2.05		779	1.19
Gawler		7	1.85		0	0.00		21	5.54		0	0.00		42	11.08		210	55.41		0	0.00		9	2.37		87	22.96		3	0.79		0	0.00		0	0.00		379	96.19		15	3.81		394	0.60
Grassy		3	2.50		0	0.00		13	10.83		0	0.00		10	8.33		52	43.33		0	0.00		3	2.50		38	31.67		0	0.00		1	0.83		0	0.00		120	99.17		1	0.83		121	0.19
Gunns Plains		0	0.00		0	0.00		5	6.41		0	0.00		15	19.23		40	51.28		0	0.00		4	5.13		13	16.67		1	1.28		0	0.00		0	0.00		78	95.12		4	4.88		82	0.13
Havenview		7	1.24		1	0.18		31	5.48		0	0.00		42	7.42		166	29.33		1	0.18		26	4.59		283	50.00		8	1.41		1	0.18		0	0.00		566	97.25		16	2.75		582	0.89
Highclere		2	1.28		1	0.64		19	12.18		0	0.00		14	8.97		62	39.74		0	0.00		7	4.49		50	32.05		1	0.64		0	0.00		0	0.00		156	95.71		7	4.29		163	0.25
Irishtown		2	0.68		0	0.00		10	3.38		1	0.34		11	3.72		172	58.11		1	0.34		8	2.70		87	29.39		4	1.35		0	0.00		0	0.00		296	97.05		9	2.95		305	0.47
Latrobe		52	2.25		3	0.13		106	4.58		7	0.30		183	7.90		841	36.33		2	0.09		54	2.33		1040	44.92		17	0.73		1	0.04		9	0.39		2315	95.70		104	4.30		2419	3.70
Marrawah		2	0.87		0	0.00		33	14.29		0	0.00		26	11.26		117	50.65		0	0.00		10	4.33		42	18.18		1	0.43		0	0.00		0	0.00		231	97.06		7	2.94		238	0.36
Mawbanna		1	1.79		0	0.00		5	8.93		0	0.00		1	1.79		35	62.50		0	0.00		1	1.79		12	21.43		0	0.00		0	0.00		1	1.79		56	100.00		0	0.00		56	0.09
Melrose		4	2.96		0	0.00		1	0.74		0	0.00		25	18.52		69	51.11		0	0.00		2	1.48		32	23.70		1	0.74		1	0.74		0	0.00		135	97.12		4	2.88		139	0.21
Miandetta		2	0.47		0	0.00		18	4.24		2	0.47		39	9.18		202	47.53		0	0.00		10	2.35		151	35.53		1	0.24		0	0.00		0	0.00		425	97.48		11	2.52		436	0.67
Montagu		0	0.00		0	0.00		3	2.07		0	0.00		7	4.83		89	61.38		0	0.00		2	1.38		43	29.66		1	0.69		0	0.00		0	0.00		145	95.39		7	4.61		152	0.23
Montello		18	1.33		2	0.15		49	3.63		1	0.07		79	5.85		413	30.59		0	0.00		52	3.85		724	53.63		10	0.74		2	0.15		0	0.00		1350	95.95		57	4.05		1407	2.15
Moorleah		2	1.23		0	0.00		10	6.13		0	0.00		32	19.63		61	37.42		0	0.00		8	4.91		49	30.06		1	0.61		0	0.00		0	0.00		163	100.00		0	0.00		163	0.25
Moriarty		5	2.00		1	0.40		18	7.20		0	0.00		21	8.40		142	56.80		0	0.00		8	3.20		52	20.80		3	1.20		0	0.00		0	0.00		250	96.90		8	3.10		258	0.39
Natone		3	1.65		0	0.00		11	6.04		0	0.00		22	12.09		73	40.11		0	0.00		3	1.65		67	36.81		3	1.65		0	0.00		0	0.00		182	95.29		9	4.71		191	0.29
Nietta		1	1.67		0	0.00		4	6.67		0	0.00		13	21.67		21	35.00		0	0.00		2	3.33		18	30.00		1	1.67		0	0.00		0	0.00		60	96.77		2	3.23		62	0.09
Nixon Street		30	1.11		3	0.11		86	3.18		1	0.04		243	8.98		1226	45.32		0	0.00		110	4.07		982	36.30		13	0.48		3	0.11		8	0.30		2705	96.50		98	3.50		2803	4.29
North Motton		4	1.82		0	0.00		16	7.27		1	0.45		23	10.45		121	55.00		1	0.45		8	3.64		46	20.91		0	0.00		0	0.00		0	0.00		220	94.02		14	5.98		234	0.36
Penguin		25	1.20		2	0.10		110	5.30		2	0.10		219	10.54		846	40.73		2	0.10		64	3.08		789	37.99		15	0.72		0	0.00		3	0.14		2077	95.85		90	4.15		2167	3.31
Port Sorell		19	1.08		2	0.11		100	5.67		3	0.17		169	9.59		767	43.51		2	0.11		56	3.18		629	35.68		13	0.74		1	0.06		2	0.11		1763	96.76		59	3.24		1822	2.79
Preston		2	2.70		0	0.00		6	8.11		3	4.05		12	16.22		34	45.95		0	0.00		2	2.70		15	20.27		0	0.00		0	0.00		0	0.00		74	94.87		4	5.13		78	0.12
Reekara		1	1.04		0	0.00		8	8.33		0	0.00		5	5.21		62	64.58		0	0.00		4	4.17		15	15.63		1	1.04		0	0.00		0	0.00		96	98.97		1	1.03		97	0.15
Riana		7	3.18		1	0.45		14	6.36		0	0.00		24	10.91		120	54.55		0	0.00		8	3.64		43	19.55		1	0.45		1	0.45		1	0.45		220	95.65		10	4.35		230	0.35
Ridgley		5	0.75		1	0.15		30	4.49		0	0.00		55	8.23		291	43.56		0	0.00		15	2.25		265	39.67		5	0.75		1	0.15		0	0.00		668	95.98		28	4.02		696	1.06
Rocky Cape		2	0.52		1	0.26		29	7.59		0	0.00		32	8.38		170	44.50		1	0.26		14	3.66		131	34.29		2	0.52		0	0.00		0	0.00		382	95.50		18	4.50		400	0.61
Sassafras		9	3.63		1	0.40		12	4.84		1	0.40		9	3.63		161	64.92		0	0.00		4	1.61		50	20.16		0	0.00		0	0.00		1	0.40		248	98.80		3	1.20		251	0.38
Savage River		1	1.89		0	0.00		5	9.43		0	0.00		3	5.66		17	32.08		0	0.00		4	7.55		23	43.40		0	0.00		0	0.00		0	0.00		53	100.00		0	0.00		53	0.08
Shorewell Park		3	0.28		0	0.00		32	2.97		1	0.09		100	9.28		519	48.14		0	0.00		37	3.43		369	34.23		12	1.11		2	0.19		3	0.28		1078	97.03		33	2.97		1111	1.70
Sisters Beach		3	1.49		4	1.98		0	0.00		0	0.00		32	15.84		76	37.62		0	0.00		6	2.97		75	37.13		5	2.48		0	0.00		1	0.50		202	98.54		3	1.46		205	0.31
Sisters Creek		1	0.57		1	0.57		6	3.41		0	0.00		30	17.05		78	44.32		0	0.00		6	3.41		50	28.41		4	2.27		0	0.00		0	0.00		176	97.24		5	2.76		181	0.28
Smithton		28	1.16		3	0.12		111	4.61		2	0.08		108	4.48		1209	50.17		2	0.08		80	3.32		849	35.23		17	0.71		0	0.00		1	0.04		2410	95.48		114	4.52		2524	3.86
Somerset		28	1.24		2	0.09		139	6.14		1	0.04		161	7.11		877	38.75		2	0.09		96	4.24		919	40.61		31	1.37		1	0.04		6	0.27		2263	95.81		99	4.19		2362	3.61
South Burnie		6	1.70		0	0.00		11	3.12		0	0.00		24	6.80		147	41.64		0	0.00		7	1.98		157	44.48		1	0.28		0	0.00		0	0.00		353	97.25		10	2.75		363	0.56
South Riana		4	2.33		0	0.00		21	12.21		0	0.00		11	6.40		87	50.58		0	0.00		10	5.81		38	22.09		1	0.58		0	0.00		0	0.00		172	93.48		12	6.52		184	0.28
Sprent		3	1.53		0	0.00		18	9.18		0	0.00		21	10.71		95	48.47		0	0.00		5	2.55		51	26.02		3	1.53		0	0.00		0	0.00		196	98.49		3	1.51		199	0.30
Spreyton		24	1.90		2	0.16		55	4.36		1	0.08		111	8.80		575	45.56		1	0.08		39	3.09		443	35.10		6	0.48		2	0.16		3	0.24		1262	96.26		49	3.74		1311	2.01
Stanley		2	0.48		0	0.00		14	3.36		4	0.96		63	15.11		163	39.09		5	1.20		2	0.48		161	38.61		2	0.48		0	0.00		1	0.24		417	97.20		12	2.80		429	0.66
Stowport		2	0.90		0	0.00		13	5.88		1	0.45		20	9.05		105	47.51		0	0.00		7	3.17		69	31.22		2	0.90		0	0.00		2	0.90		221	92.08		19	7.92		240	0.37
Sulphur Creek		4	1.07		0	0.00		14	3.75		0	0.00		46	12.33		188	50.40		1	0.27		15	4.02		104	27.88		1	0.27		0	0.00		0	0.00		373	96.63		13	3.37		386	0.59
Togari		0	0.00		0	0.00		6	7.06		0	0.00		6	7.06		54	63.53		0	0.00		2	2.35		17	20.00		0	0.00		0	0.00		0	0.00		85	98.84		1	1.16		86	0.13
Turners Beach		6	0.75		1	0.12		42	5.22		1	0.12		72	8.96		440	54.73		1	0.12		11	1.37		225	27.99		2	0.25		1	0.12		2	0.25		804	96.06		33	3.94		837	1.28
Ulverstone Central		8	0.63		1	0.08		65	5.11		0	0.00		127	9.98		617	48.47		0	0.00		37	2.91		399	31.34		13	1.02		3	0.24		3	0.24		1273	96.51		46	3.49		1319	2.02
Ulverstone East		8	0.79		3	0.30		54	5.35		1	0.10		75	7.43		514	50.94		0	0.00		21	2.08		325	32.21		3	0.30		1	0.10		4	0.40		1009	96.46		37	3.54		1046	1.60
Ulverstone South		24	1.16		4	0.19		97	4.71		4	0.19		168	8.15		957	46.43		3	0.15		63	3.06		731	35.47		4	0.19		4	0.19		2	0.10		2061	95.37		100	4.63		2161	3.31
Ulverstone West		24	1.24		5	0.26		120	6.20		2	0.10		138	7.12		838	43.26		3	0.15		54	2.79		743	38.36		9	0.46		0	0.00		1	0.05		1937	96.46		71	3.54		2008	3.07
Upper Burnie		10	0.75		3	0.23		59	4.43		0	0.00		105	7.88		537	40.29		0	0.00		36	2.70		571	42.84		8	0.60		2	0.15		2	0.15		1333	95.01		70	4.99		1403	2.15
Valley Road		41	1.84		3	0.13		88	3.94		3	0.13		118	5.29		993	44.51		1	0.04		90	4.03		874	39.18		10	0.45		3	0.13		7	0.31		2231	95.92		95	4.08		2326	3.56
Waratah		1	0.75		0	0.00		12	8.96		0	0.00		10	7.46		46	34.33		0	0.00		3	2.24		62	46.27		0	0.00		0	0.00		0	0.00		134	93.71		9	6.29		143	0.22
Wesley Vale		6	1.76		0	0.00		15	4.40		1	0.29		41	12.02		198	58.06		0	0.00		9	2.64		69	20.23		2	0.59		0	0.00		0	0.00		341	96.88		11	3.13		352	0.54
Wivenhoe		5	1.44		0	0.00		16	4.60		0	0.00		28	8.05		155	44.54		1	0.29		12	3.45		124	35.63		6	1.72		1	0.29		0	0.00		348	95.87		15	4.13		363	0.56
Wynyard Central		24	1.18		5	0.25		99	4.86		5	0.25		215	10.57		830	40.79		0	0.00		96	4.72		725	35.63		27	1.33		2	0.10		7	0.34		2035	95.90		87	4.10		2122	3.25
Wynyard East		4	0.76		0	0.00		24	4.59		1	0.19		59	11.28		156	29.83		0	0.00		26	4.97		244	46.65		7	1.34		0	0.00		2	0.38		523	96.67		18	3.33		541	0.83
Wynyard West		8	0.79		1	0.10		45	4.46		1	0.10		95	9.42		408	40.48		1	0.10		31	3.08		409	40.58		7	0.69		1	0.10		1	0.10		1008	96.37		38	3.63		1046	1.60
Yolla		4	0.99		0	0.00		22	5.45		0	0.00		62	15.35		158	39.11		1	0.25		22	5.45		127	31.44		5	1.24		2	0.50		1	0.25		404	95.73		18	4.27		422	0.65
Special Hospitals		14	2.50		4	0.71		20	3.57		1	0.18		18	3.21		289	51.52		2	0.36		10	1.78		186	33.16		12	2.14		3	0.53		2	0.36		561	96.56		20	3.44		581	0.89
Total Ordinary		696	1.25		81	0.15		2603	4.68		72	0.13		4806	8.64		24102	43.31		45	0.08		1848	3.32		20817	37.41		413	0.74		56	0.10		112	0.20		55651	96.17		2216	3.83		57867	88.51
ABSENT		22	1.02		2	0.09		78	3.60		2	0.09		280	12.93		910	42.03		2	0.09		128	5.91		712	32.89		20	0.92		3	0.14		6	0.28		2165	98.68		29	1.32		2194	3.36
POSTAL		20	0.96		0	0.00		102	4.92		4	0.19		180	8.68		991	47.81		1	0.05		67	3.23		673	32.47		23	1.11		7	0.34		5	0.24		2073	98.71		27	1.29		2100	3.21
PRE_POLL		50	1.96		5	0.20		120	4.71		3	0.12		189	7.42		1162	45.64		4	0.16		131	5.15		854	33.54		19	0.75		5	0.20		4	0.16		2546	98.23		46	1.77		2592	3.96
PROVISIONAL		19	3.16		7	1.16		21	3.49		1	0.17		49	8.15		180	29.95		3	0.50		21	3.49		293	48.75		5	0.83		1	0.17		1	0.17		601	96.31		23	3.69		624	0.95
Division Summary		807	1.28		95	0.15		2924	4.64		82	0.13		5504	8.73		27345	43.38		55	0.09		2195	3.48		23349	37.04		480	0.76		72	0.11		128	0.2		63036	96.42		2341	3.58		65377	96.5
