House of Representatives - 2001 Election: Tasmania																			
Distribution of Preferences 																			
By Polling Place																			
																			
Braddon																			
				SIDEBOTTOM			PATTISON			THOMPSON			COOPER			PICKFORD			
																			
Burnie                                                         																			
	FIRST			647	48.36		507	37.89		98	7.32		40	2.99		46	3.44		1338
	SECOND			11	27.50		8	20.00		18	45.00			Excluded		3	7.50		40
		TOTAL		658	49.18		515	38.49		116	8.67					49	3.66		1338
	THIRD			14	28.57		12	24.49		23	46.94						Excluded		49
		TOTAL		672	50.22		527	39.39		139	10.39								1338
	FOURTH			100	71.94		39	28.06			Excluded								139
		TOTAL		772	57.70		566	42.30											1338
				Elected															
																			
Calder                                                         																			
	FIRST			32	34.78		39	42.39		12	13.04		4	4.35		5	5.43		92
	SECOND			1	25.00		0	0.00		3	75.00			Excluded		0	0.00		4
		TOTAL		33	35.87		39	42.39		15	16.30					5	5.43		92
	THIRD			0	0.00		2	40.00		3	60.00						Excluded		5
		TOTAL		33	35.87		41	44.57		18	19.57								92
	FOURTH			14	77.78		4	22.22			Excluded								18
		TOTAL		47	51.09		45	48.91											92
				Elected															
																			
Cooee                                                          																			
	FIRST			399	44.88		394	44.32		44	4.95		28	3.15		24	2.70		889
	SECOND			11	39.29		3	10.71		12	42.86			Excluded		2	7.14		28
		TOTAL		410	46.12		397	44.66		56	6.30					26	2.92		889
	THIRD			10	38.46		11	42.31		5	19.23						Excluded		26
		TOTAL		420	47.24		408	45.89		61	6.86								889
	FOURTH			41	67.21		20	32.79			Excluded								61
		TOTAL		461	51.86		428	48.14											889
				Elected															
																			
Cuprona                                                        																			
	FIRST			46	38.98		51	43.22		8	6.78		3	2.54		10	8.47		118
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3
		TOTAL		47	39.83		52	44.07		8	6.78					11	9.32		118
	THIRD			5	45.45		3	27.27		3	27.27						Excluded		11
		TOTAL		52	44.07		55	46.61		11	9.32								118
	FOURTH			7	63.64		4	36.36			Excluded								11
		TOTAL		59	50.00		59	50.00											118
				Elected															
																			
Currie                                                         																			
	FIRST			276	35.94		372	48.44		48	6.25		20	2.60		52	6.77		768
	SECOND			7	35.00		8	40.00		5	25.00			Excluded		0	0.00		20
		TOTAL		283	36.85		380	49.48		53	6.90					52	6.77		768
	THIRD			20	38.46		20	38.46		12	23.08						Excluded		52
		TOTAL		303	39.45		400	52.08		65	8.46								768
	FOURTH			39	60.00		26	40.00			Excluded								65
		TOTAL		342	44.53		426	55.47											768
				Elected															
																			
Devonport Central                                              																			
	FIRST			985	45.02		954	43.60		134	6.12		69	3.15		46	2.10		2188
	SECOND			22	31.88		10	14.49		29	42.03			Excluded		8	11.59		69
		TOTAL		1007	46.02		964	44.06		163	7.45					54	2.47		2188
	THIRD			19	35.19		20	37.04		15	27.78						Excluded		54
		TOTAL		1026	46.89		984	44.97		178	8.14								2188
	FOURTH			119	66.85		59	33.15			Excluded								178
		TOTAL		1145	52.33		1043	47.67											2188
				Elected															
																			
Devonport North                                                																			
	FIRST			313	43.35		352	48.75		22	3.05		8	1.11		27	3.74		722
	SECOND			1	12.50		0	0.00		5	62.50			Excluded		2	25.00		8
		TOTAL		314	43.49		352	48.75		27	3.74					29	4.02		722
	THIRD			12	41.38		10	34.48		7	24.14						Excluded		29
		TOTAL		326	45.15		362	50.14		34	4.71								722
	FOURTH			24	70.59		10	29.41			Excluded								34
		TOTAL		350	48.48		372	51.52											722
				Elected															
																			
Don                                                            																			
	FIRST			257	43.49		264	44.67		40	6.77		23	3.89		7	1.18		591
	SECOND			3	13.04		5	21.74		12	52.17			Excluded		3	13.04		23
		TOTAL		260	43.99		269	45.52		52	8.80					10	1.69		591
	THIRD			4	40.00		3	30.00		3	30.00						Excluded		10
		TOTAL		264	44.67		272	46.02		55	9.31								591
	FOURTH			39	70.91		16	29.09			Excluded								55
		TOTAL		303	51.27		288	48.73											591
				Elected															
																			
East Devonport                                                 																			
	FIRST			1414	61.34		662	28.72		77	3.34		68	2.95		84	3.64		2305
	SECOND			20	29.41		10	14.71		27	39.71			Excluded		11	16.18		68
		TOTAL		1434	62.21		672	29.15		104	4.51					95	4.12		2305
	THIRD			40	42.11		30	31.58		25	26.32						Excluded		95
		TOTAL		1474	63.95		702	30.46		129	5.60								2305
	FOURTH			77	59.69		52	40.31			Excluded								129
		TOTAL		1551	67.29		754	32.71											2305
				Elected															
																			
Edith Creek                                                    																			
	FIRST			80	42.33		78	41.27		10	5.29		5	2.65		16	8.47		189
	SECOND			3	60.00		0	0.00		1	20.00			Excluded		1	20.00		5
		TOTAL		83	43.92		78	41.27		11	5.82					17	8.99		189
	THIRD			3	17.65		5	29.41		9	52.94						Excluded		17
		TOTAL		86	45.50		83	43.92		20	10.58								189
	FOURTH			10	50.00		10	50.00			Excluded								20
		TOTAL		96	50.79		93	49.21											189
				Elected															
																			
Elliott                                                        																			
	FIRST			96	41.74		91	39.57		24	10.43		7	3.04		12	5.22		230
	SECOND			0	0.00		3	42.86		1	14.29			Excluded		3	42.86		7
		TOTAL		96	41.74		94	40.87		25	10.87					15	6.52		230
	THIRD			2	13.33		7	46.67		6	40.00						Excluded		15
		TOTAL		98	42.61		101	43.91		31	13.48								230
	FOURTH			22	70.97		9	29.03			Excluded								31
		TOTAL		120	52.17		110	47.83											230
				Elected															
																			
Forest                                                         																			
	FIRST			135	34.44		210	53.57		22	5.61		9	2.30		16	4.08		392
	SECOND			2	22.22		2	22.22		3	33.33			Excluded		2	22.22		9
		TOTAL		137	34.95		212	54.08		25	6.38					18	4.59		392
	THIRD			4	22.22		9	50.00		5	27.78						Excluded		18
		TOTAL		141	35.97		221	56.38		30	7.65								392
	FOURTH			19	63.33		11	36.67			Excluded								30
		TOTAL		160	40.82		232	59.18											392
				Elected															
																			
Forth                                                          																			
	FIRST			317	41.44		348	45.49		59	7.71		16	2.09		25	3.27		765
	SECOND			3	18.75		2	12.50		11	68.75			Excluded		0	0.00		16
		TOTAL		320	41.83		350	45.75		70	9.15					25	3.27		765
	THIRD			11	44.00		4	16.00		10	40.00						Excluded		25
		TOTAL		331	43.27		354	46.27		80	10.46								765
	FOURTH			54	67.50		26	32.50			Excluded								80
		TOTAL		385	50.33		380	49.67											765
				Elected															
																			
Gawler                                                         																			
	FIRST			136	35.42		200	52.08		21	5.47		8	2.08		19	4.95		384
	SECOND			3	37.50		2	25.00		1	12.50			Excluded		2	25.00		8
		TOTAL		139	36.20		202	52.60		22	5.73					21	5.47		384
	THIRD			8	38.10		6	28.57		7	33.33						Excluded		21
		TOTAL		147	38.28		208	54.17		29	7.55								384
	FOURTH			18	62.07		11	37.93			Excluded								29
		TOTAL		165	42.97		219	57.03											384
				Elected															
																			
Grassy                                                         																			
	FIRST			52	43.70		48	40.34		5	4.20		3	2.52		11	9.24		119
	SECOND			0	0.00		1	33.33		2	66.67			Excluded		0	0.00		3
		TOTAL		52	43.70		49	41.18		7	5.88					11	9.24		119
	THIRD			2	18.18		3	27.27		6	54.55						Excluded		11
		TOTAL		54	45.38		52	43.70		13	10.92								119
	FOURTH			5	38.46		8	61.54			Excluded								13
		TOTAL		59	49.58		60	50.42											119
				Elected															
																			
Gunns Plains                                                   																			
	FIRST			23	28.75		37	46.25		16	20.00		2	2.50		2	2.50		80
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2
		TOTAL		24	30.00		37	46.25		17	21.25					2	2.50		80
	THIRD			0	0.00		0	0.00		2	100.00						Excluded		2
		TOTAL		24	30.00		37	46.25		19	23.75								80
	FOURTH			11	57.89		8	42.11			Excluded								19
		TOTAL		35	43.75		45	56.25											80
				Elected															
																			
Havenview                                                      																			
	FIRST			341	60.46		144	25.53		28	4.96		18	3.19		33	5.85		564
	SECOND			6	33.33		2	11.11		10	55.56			Excluded		0	0.00		18
		TOTAL		347	61.52		146	25.89		38	6.74					33	5.85		564
	THIRD			16	48.48		5	15.15		12	36.36						Excluded		33
		TOTAL		363	64.36		151	26.77		50	8.87								564
	FOURTH			32	64.00		18	36.00			Excluded								50
		TOTAL		395	70.04		169	29.96											564
				Elected															
																			
Highclere                                                      																			
	FIRST			68	43.59		57	36.54		10	6.41		7	4.49		14	8.97		156
	SECOND			2	28.57		1	14.29		1	14.29			Excluded		3	42.86		7
		TOTAL		70	44.87		58	37.18		11	7.05					17	10.90		156
	THIRD			8	47.06		3	17.65		6	35.29						Excluded		17
		TOTAL		78	50.00		61	39.10		17	10.90								156
	FOURTH			10	58.82		7	41.18			Excluded								17
		TOTAL		88	56.41		68	43.59											156
				Elected															
																			
Irishtown                                                      																			
	FIRST			125	42.37		152	51.53		3	1.02		5	1.69		10	3.39		295
	SECOND			2	40.00		2	40.00		1	20.00			Excluded		0	0.00		5
		TOTAL		127	43.05		154	52.20		4	1.36					10	3.39		295
	THIRD			3	30.00		4	40.00		3	30.00						Excluded		10
		TOTAL		130	44.07		158	53.56		7	2.37								295
	FOURTH			6	85.71		1	14.29			Excluded								7
		TOTAL		136	46.10		159	53.90											295
				Elected															
																			
Latrobe                                                        																			
	FIRST			1296	55.74		770	33.12		113	4.86		46	1.98		100	4.30		2325
	SECOND			18	39.13		7	15.22		13	28.26			Excluded		8	17.39		46
		TOTAL		1314	56.52		777	33.42		126	5.42					108	4.65		2325
	THIRD			41	37.96		31	28.70		36	33.33						Excluded		108
		TOTAL		1355	58.28		808	34.75		162	6.97								2325
	FOURTH			98	60.49		64	39.51			Excluded								162
		TOTAL		1453	62.49		872	37.51											2325
				Elected															
																			
Marrawah                                                       																			
	FIRST			69	29.87		108	46.75		20	8.66		8	3.46		26	11.26		231
	SECOND			1	12.50		1	12.50		5	62.50			Excluded		1	12.50		8
		TOTAL		70	30.30		109	47.19		25	10.82					27	11.69		231
	THIRD			7	25.93		9	33.33		11	40.74						Excluded		27
		TOTAL		77	33.33		118	51.08		36	15.58								231
	FOURTH			21	58.33		15	41.67			Excluded								36
		TOTAL		98	42.42		133	57.58											231
				Elected															
																			
Mawbanna                                                       																			
	FIRST			19	33.93		29	51.79		3	5.36		0	0.00		5	8.93		56
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		19	33.93		29	51.79		3	5.36					5	8.93		56
	THIRD			0	0.00		3	60.00		2	40.00						Excluded		5
		TOTAL		19	33.93		32	57.14		5	8.93								56
	FOURTH			1	20.00		4	80.00			Excluded								5
		TOTAL		20	35.71		36	64.29											56
				Elected															
																			
Melrose                                                        																			
	FIRST			51	37.50		59	43.38		17	12.50		5	3.68		4	2.94		136
	SECOND			0	0.00		1	20.00		3	60.00			Excluded		1	20.00		5
		TOTAL		51	37.50		60	44.12		20	14.71					5	3.68		136
	THIRD			4	80.00		1	20.00		0	0.00						Excluded		5
		TOTAL		55	40.44		61	44.85		20	14.71								136
	FOURTH			12	60.00		8	40.00			Excluded								20
		TOTAL		67	49.26		69	50.74											136
				Elected															
																			
Miandetta                                                      																			
	FIRST			182	43.54		175	41.87		28	6.70		16	3.83		17	4.07		418
	SECOND			4	25.00		4	25.00		6	37.50			Excluded		2	12.50		16
		TOTAL		186	44.50		179	42.82		34	8.13					19	4.55		418
	THIRD			8	42.11		6	31.58		5	26.32						Excluded		19
		TOTAL		194	46.41		185	44.26		39	9.33								418
	FOURTH			16	41.03		23	58.97			Excluded								39
		TOTAL		210	50.24		208	49.76											418
				Elected															
																			
Montagu                                                        																			
	FIRST			61	41.50		75	51.02		7	4.76		0	0.00		4	2.72		147
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		61	41.50		75	51.02		7	4.76					4	2.72		147
	THIRD			1	25.00		2	50.00		1	25.00						Excluded		4
		TOTAL		62	42.18		77	52.38		8	5.44								147
	FOURTH			6	75.00		2	25.00			Excluded								8
		TOTAL		68	46.26		79	53.74											147
				Elected															
																			
Montello                                                       																			
	FIRST			865	64.07		343	25.41		56	4.15		45	3.33		41	3.04		1350
	SECOND			24	53.33		7	15.56		11	24.44			Excluded		3	6.67		45
		TOTAL		889	65.85		350	25.93		67	4.96					44	3.26		1350
	THIRD			23	52.27		11	25.00		10	22.73						Excluded		44
		TOTAL		912	67.56		361	26.74		77	5.70								1350
	FOURTH			50	64.94		27	35.06			Excluded								77
		TOTAL		962	71.26		388	28.74											1350
				Elected															
																			
Moorleah                                                       																			
	FIRST			59	36.42		56	34.57		26	16.05		10	6.17		11	6.79		162
	SECOND			6	60.00		0	0.00		4	40.00			Excluded		0	0.00		10
		TOTAL		65	40.12		56	34.57		30	18.52					11	6.79		162
	THIRD			2	18.18		5	45.45		4	36.36						Excluded		11
		TOTAL		67	41.36		61	37.65		34	20.99								162
	FOURTH			28	82.35		6	17.65			Excluded								34
		TOTAL		95	58.64		67	41.36											162
				Elected															
																			
Moriarty                                                       																			
	FIRST			71	28.51		143	57.43		13	5.22		5	2.01		17	6.83		249
	SECOND			0	0.00		1	20.00		1	20.00			Excluded		3	60.00		5
		TOTAL		71	28.51		144	57.83		14	5.62					20	8.03		249
	THIRD			6	30.00		9	45.00		5	25.00						Excluded		20
		TOTAL		77	30.92		153	61.45		19	7.63								249
	FOURTH			12	63.16		7	36.84			Excluded								19
		TOTAL		89	35.74		160	64.26											249
				Elected															
																			
Natone                                                         																			
	FIRST			80	44.20		68	37.57		15	8.29		4	2.21		14	7.73		181
	SECOND			0	0.00		1	25.00		3	75.00			Excluded		0	0.00		4
		TOTAL		80	44.20		69	38.12		18	9.94					14	7.73		181
	THIRD			6	42.86		4	28.57		4	28.57						Excluded		14
		TOTAL		86	47.51		73	40.33		22	12.15								181
	FOURTH			17	77.27		5	22.73			Excluded								22
		TOTAL		103	56.91		78	43.09											181
				Elected															
																			
Nietta                                                         																			
	FIRST			24	39.34		20	32.79		10	16.39		1	1.64		6	9.84		61
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		24	39.34		20	32.79		11	18.03					6	9.84		61
	THIRD			1	16.67		2	33.33		3	50.00						Excluded		6
		TOTAL		25	40.98		22	36.07		14	22.95								61
	FOURTH			9	64.29		5	35.71			Excluded								14
		TOTAL		34	55.74		27	44.26											61
				Elected															
																			
Nixon Street                                                   																			
	FIRST			1318	48.47		1103	40.57		117	4.30		100	3.68		81	2.98		2719
	SECOND			30	30.00		18	18.00		42	42.00			Excluded		10	10.00		100
		TOTAL		1348	49.58		1121	41.23		159	5.85					91	3.35		2719
	THIRD			36	39.56		26	28.57		29	31.87						Excluded		91
		TOTAL		1384	50.90		1147	42.18		188	6.91								2719
	FOURTH			135	71.81		53	28.19			Excluded								188
		TOTAL		1519	55.87		1200	44.13											2719
				Elected															
																			
North Motton                                                   																			
	FIRST			70	31.39		104	46.64		22	9.87		5	2.24		22	9.87		223
	SECOND			2	40.00		2	40.00		1	20.00			Excluded		0	0.00		5
		TOTAL		72	32.29		106	47.53		23	10.31					22	9.87		223
	THIRD			4	18.18		11	50.00		7	31.82						Excluded		22
		TOTAL		76	34.08		117	52.47		30	13.45								223
	FOURTH			24	80.00		6	20.00			Excluded								30
		TOTAL		100	44.84		123	55.16											223
				Elected															
																			
Penguin                                                        																			
	FIRST			1031	49.24		761	36.34		137	6.54		54	2.58		111	5.30		2094
	SECOND			23	42.59		10	18.52		17	31.48			Excluded		4	7.41		54
		TOTAL		1054	50.33		771	36.82		154	7.35					115	5.49		2094
	THIRD			39	33.91		51	44.35		25	21.74						Excluded		115
		TOTAL		1093	52.20		822	39.26		179	8.55								2094
	FOURTH			115	64.25		64	35.75			Excluded								179
		TOTAL		1208	57.69		886	42.31											2094
				Elected															
																			
Port Sorell                                                    																			
	FIRST			780	44.12		756	42.76		99	5.60		44	2.49		89	5.03		1768
	SECOND			15	34.09		10	22.73		13	29.55			Excluded		6	13.64		44
		TOTAL		795	44.97		766	43.33		112	6.33					95	5.37		1768
	THIRD			34	35.79		38	40.00		23	24.21						Excluded		95
		TOTAL		829	46.89		804	45.48		135	7.64								1768
	FOURTH			91	67.41		44	32.59			Excluded								135
		TOTAL		920	52.04		848	47.96											1768
				Elected															
																			
Preston                                                        																			
	FIRST			23	31.08		32	43.24		12	16.22		1	1.35		6	8.11		74
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		23	31.08		32	43.24		12	16.22					7	9.46		74
	THIRD			4	57.14		1	14.29		2	28.57						Excluded		7
		TOTAL		27	36.49		33	44.59		14	18.92								74
	FOURTH			8	57.14		6	42.86			Excluded								14
		TOTAL		35	47.30		39	52.70											74
				Elected															
																			
Reekara                                                        																			
	FIRST			30	32.26		52	55.91		4	4.30		2	2.15		5	5.38		93
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2
		TOTAL		30	32.26		53	56.99		5	5.38					5	5.38		93
	THIRD			0	0.00		4	80.00		1	20.00						Excluded		5
		TOTAL		30	32.26		57	61.29		6	6.45								93
	FOURTH			4	66.67		2	33.33			Excluded								6
		TOTAL		34	36.56		59	63.44											93
				Elected															
																			
Riana                                                          																			
	FIRST			89	40.27		99	44.80		18	8.14		5	2.26		10	4.52		221
	SECOND			0	0.00		0	0.00		5	100.00			Excluded		0	0.00		5
		TOTAL		89	40.27		99	44.80		23	10.41					10	4.52		221
	THIRD			2	20.00		5	50.00		3	30.00						Excluded		10
		TOTAL		91	41.18		104	47.06		26	11.76								221
	FOURTH			18	69.23		8	30.77			Excluded								26
		TOTAL		109	49.32		112	50.68											221
				Elected															
																			
Ridgley                                                        																			
	FIRST			327	48.09		280	41.18		32	4.71		13	1.91		28	4.12		680
	SECOND			5	38.46		3	23.08		5	38.46			Excluded		0	0.00		13
		TOTAL		332	48.82		283	41.62		37	5.44					28	4.12		680
	THIRD			12	42.86		12	42.86		4	14.29						Excluded		28
		TOTAL		344	50.59		295	43.38		41	6.03								680
	FOURTH			28	68.29		13	31.71			Excluded								41
		TOTAL		372	54.71		308	45.29											680
				Elected															
																			
Rocky Cape                                                     																			
	FIRST			174	45.91		148	39.05		19	5.01		13	3.43		25	6.60		379
	SECOND			2	15.38		3	23.08		7	53.85			Excluded		1	7.69		13
		TOTAL		176	46.44		151	39.84		26	6.86					26	6.86		379
	THIRD			7	26.92		8	30.77		11	42.31						Excluded		26
		TOTAL		183	48.28		159	41.95		37	9.76								379
	FOURTH			23	62.16		14	37.84			Excluded								37
		TOTAL		206	54.35		173	45.65											379
				Elected															
																			
Sassafras                                                      																			
	FIRST			74	29.96		152	61.54		4	1.62		4	1.62		13	5.26		247
	SECOND			1	25.00		1	25.00		2	50.00			Excluded		0	0.00		4
		TOTAL		75	30.36		153	61.94		6	2.43					13	5.26		247
	THIRD			5	38.46		4	30.77		4	30.77						Excluded		13
		TOTAL		80	32.39		157	63.56		10	4.05								247
	FOURTH			5	50.00		5	50.00			Excluded								10
		TOTAL		85	34.41		162	65.59											247
				Elected															
																			
Savage River                                                   																			
	FIRST			26	50.00		12	23.08		6	11.54		3	5.77		5	9.62		52
	SECOND			1	33.33		0	0.00		2	66.67			Excluded		0	0.00		3
		TOTAL		27	51.92		12	23.08		8	15.38					5	9.62		52
	THIRD			4	80.00		1	20.00		0	0.00						Excluded		5
		TOTAL		31	59.62		13	25.00		8	15.38								52
	FOURTH			5	62.50		3	37.50			Excluded								8
		TOTAL		36	69.23		16	30.77											52
				Elected															
																			
Shorewell Park                                                 																			
	FIRST			512	47.02		475	43.62		46	4.22		27	2.48		29	2.66		1089
	SECOND			6	22.22		8	29.63		12	44.44			Excluded		1	3.70		27
		TOTAL		518	47.57		483	44.35		58	5.33					30	2.75		1089
	THIRD			7	23.33		13	43.33		10	33.33						Excluded		30
		TOTAL		525	48.21		496	45.55		68	6.24								1089
	FOURTH			50	73.53		18	26.47			Excluded								68
		TOTAL		575	52.80		514	47.20											1089
				Elected															
																			
Sisters Beach                                                  																			
	FIRST			110	54.73		68	33.83		18	8.96		3	1.49		2	1.00		201
	SECOND			0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3
		TOTAL		110	54.73		71	35.32		18	8.96					2	1.00		201
	THIRD			0	0.00		0	0.00		2	100.00						Excluded		2
		TOTAL		110	54.73		71	35.32		20	9.95								201
	FOURTH			13	65.00		7	35.00			Excluded								20
		TOTAL		123	61.19		78	38.81											201
				Elected															
																			
Sisters Creek                                                  																			
	FIRST			69	39.20		74	42.05		17	9.66		10	5.68		6	3.41		176
	SECOND			4	40.00		3	30.00		3	30.00			Excluded		0	0.00		10
		TOTAL		73	41.48		77	43.75		20	11.36					6	3.41		176
	THIRD			2	33.33		2	33.33		2	33.33						Excluded		6
		TOTAL		75	42.61		79	44.89		22	12.50								176
	FOURTH			16	72.73		6	27.27			Excluded								22
		TOTAL		91	51.70		85	48.30											176
				Elected															
																			
Smithton                                                       																			
	FIRST			1149	47.23		1093	44.92		63	2.59		55	2.26		73	3.00		2433
	SECOND			24	43.64		9	16.36		15	27.27			Excluded		7	12.73		55
		TOTAL		1173	48.21		1102	45.29		78	3.21					80	3.29		2433
	THIRD			34	42.50		32	40.00		14	17.50						Excluded		80
		TOTAL		1207	49.61		1134	46.61		92	3.78								2433
	FOURTH			49	53.26		43	46.74			Excluded								92
		TOTAL		1256	51.62		1177	48.38											2433
				Elected															
																			
Somerset                                                       																			
	FIRST			1209	53.14		794	34.90		96	4.22		59	2.59		117	5.14		2275
	SECOND			12	20.34		19	32.20		18	30.51			Excluded		10	16.95		59
		TOTAL		1221	53.67		813	35.74		114	5.01					127	5.58		2275
	THIRD			34	26.77		45	35.43		48	37.80						Excluded		127
		TOTAL		1255	55.16		858	37.71		162	7.12								2275
	FOURTH			104	64.20		58	35.80			Excluded								162
		TOTAL		1359	59.74		916	40.26											2275
				Elected															
																			
South Burnie                                                   																			
	FIRST			181	51.71		129	36.86		18	5.14		9	2.57		13	3.71		350
	SECOND			2	22.22		2	22.22		4	44.44			Excluded		1	11.11		9
		TOTAL		183	52.29		131	37.43		22	6.29					14	4.00		350
	THIRD			5	35.71		7	50.00		2	14.29						Excluded		14
		TOTAL		188	53.71		138	39.43		24	6.86								350
	FOURTH			16	66.67		8	33.33			Excluded								24
		TOTAL		204	58.29		146	41.71											350
				Elected															
																			
South Riana                                                    																			
	FIRST			54	31.21		80	46.24		7	4.05		10	5.78		22	12.72		173
	SECOND			3	30.00		2	20.00		3	30.00			Excluded		2	20.00		10
		TOTAL		57	32.95		82	47.40		10	5.78					24	13.87		173
	THIRD			9	37.50		7	29.17		8	33.33						Excluded		24
		TOTAL		66	38.15		89	51.45		18	10.40								173
	FOURTH			9	50.00		9	50.00			Excluded								18
		TOTAL		75	43.35		98	56.65											173
				Elected															
																			
Sprent                                                         																			
	FIRST			85	43.59		79	40.51		17	8.72		1	0.51		13	6.67		195
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		86	44.10		79	40.51		17	8.72					13	6.67		195
	THIRD			1	7.69		9	69.23		3	23.08						Excluded		13
		TOTAL		87	44.62		88	45.13		20	10.26								195
	FOURTH			15	75.00		5	25.00			Excluded								20
		TOTAL		102	52.31		93	47.69											195
				Elected															
																			
Spreyton                                                       																			
	FIRST			581	46.15		528	41.94		68	5.40		30	2.38		52	4.13		1259
	SECOND			9	30.00		3	10.00		13	43.33			Excluded		5	16.67		30
		TOTAL		590	46.86		531	42.18		81	6.43					57	4.53		1259
	THIRD			22	38.60		15	26.32		20	35.09						Excluded		57
		TOTAL		612	48.61		546	43.37		101	8.02								1259
	FOURTH			62	61.39		39	38.61			Excluded								101
		TOTAL		674	53.53		585	46.47											1259
				Elected															
																			
Stanley                                                        																			
	FIRST			214	51.32		141	33.81		39	9.35		11	2.64		12	2.88		417
	SECOND			3	27.27		1	9.09		4	36.36			Excluded		3	27.27		11
		TOTAL		217	52.04		142	34.05		43	10.31					15	3.60		417
	THIRD			6	40.00		1	6.67		8	53.33						Excluded		15
		TOTAL		223	53.48		143	34.29		51	12.23								417
	FOURTH			39	76.47		12	23.53			Excluded								51
		TOTAL		262	62.83		155	37.17											417
				Elected															
																			
Stowport                                                       																			
	FIRST			93	42.27		98	44.55		11	5.00		6	2.73		12	5.45		220
	SECOND			3	50.00		1	16.67		1	16.67			Excluded		1	16.67		6
