House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Lyons (62942)												
		Candidate		                  	"ADAMS, Dick"		                	"PAGE, Geoff"		                	Total	
		"ANDERSON, Sonia (DEM)"	4		2	50.00		2	50.00		4	
		Total	34		73	43.98		93	56.02		166	

	Bronte											
			1st Prefs		42	58.33		30	41.67		72	
		"BATCHELOR, Neil (HAN)"	9		4	44.44		5	55.56		9	
		"MORRIS, Tim (GRN)"	2		2	100.00		0	0.00		2	
		"ANDERSON, Sonia (DEM)"	2		2	100.00		0	0.00		2	
		Total	13		50	58.82		35	41.18		85	

	Buckland											
			1st Prefs		45	45.92		53	54.08		98	
		"BATCHELOR, Neil (HAN)"	8		7	87.50		1	12.50		8	
		"MORRIS, Tim (GRN)"	0		0	0.00		0	0.00		0	
		"ANDERSON, Sonia (DEM)"	4		3	75.00		1	25.00		4	
		Total	12		55	50.00		55	50.00		110	

	Campania											
			1st Prefs		180	47.00		203	53.00		383	
		"BATCHELOR, Neil (HAN)"	17		6	35.29		11	64.71		17	
		"MORRIS, Tim (GRN)"	23		16	69.57		7	30.43		23	
		"ANDERSON, Sonia (DEM)"	22		10	45.45		12	54.55		22	
		Total	62		212	47.64		233	52.36		445	

	Campbell Town											
			1st Prefs		383	70.93		157	29.07		540	
		"BATCHELOR, Neil (HAN)"	50		26	52.00		24	48.00		50	
		"MORRIS, Tim (GRN)"	21		15	71.43		6	28.57		21	
		"ANDERSON, Sonia (DEM)"	18		11	61.11		7	38.89		18	
		Total	89		435	69.16		194	30.84		629	

	Carrick											
			1st Prefs		159	42.40		216	57.60		375	
		"BATCHELOR, Neil (HAN)"	23		10	43.48		13	56.52		23	
		"MORRIS, Tim (GRN)"	32		18	56.25		14	43.75		32	
		"ANDERSON, Sonia (DEM)"	30		12	40.00		18	60.00		30	
		Total	85		199	43.26		261	56.74		460	

	Chudleigh											
			1st Prefs		72	37.50		120	62.50		192	
		"BATCHELOR, Neil (HAN)"	23		11	47.83		12	52.17		23	
		"MORRIS, Tim (GRN)"	29		20	68.97		9	31.03		29	
		"ANDERSON, Sonia (DEM)"	16		8	50.00		8	50.00		16	
		Total	68		111	42.69		149	57.31		260	

	Claude Road											
			1st Prefs		60	46.88		68	53.13		128	
		"BATCHELOR, Neil (HAN)"	8		3	37.50		5	62.50		8	
		"MORRIS, Tim (GRN)"	23		19	82.61		4	17.39		23	
		"ANDERSON, Sonia (DEM)"	6		5	83.33		1	16.67		6	
		Total	37		87	52.73		78	47.27		165	

	Colebrook											
			1st Prefs		127	67.20		62	32.80		189	
		"BATCHELOR, Neil (HAN)"	15		10	66.67		5	33.33		15	
		"MORRIS, Tim (GRN)"	10		6	60.00		4	40.00		10	
		"ANDERSON, Sonia (DEM)"	11		8	72.73		3	27.27		11	
		Total	36		151	67.11		74	32.89		225	

	Coles Bay											
			1st Prefs		56	44.09		71	55.91		127	
		"BATCHELOR, Neil (HAN)"	3		2	66.67		1	33.33		3	
		"MORRIS, Tim (GRN)"	16		10	62.50		6	37.50		16	
		"ANDERSON, Sonia (DEM)"	6		4	66.67		2	33.33		6	
		Total	25		72	47.37		80	52.63		152	

	Copping											
			1st Prefs		71	50.35		70	49.65		141	
		"BATCHELOR, Neil (HAN)"	9		8	88.89		1	11.11		9	
		"MORRIS, Tim (GRN)"	42		34	80.95		8	19.05		42	
		"ANDERSON, Sonia (DEM)"	6		4	66.67		2	33.33		6	
		Total	57		117	59.09		81	40.91		198	

	Cressy											
			1st Prefs		323	57.58		238	42.42		561	
		"BATCHELOR, Neil (HAN)"	79		45	56.96		34	43.04		79	
		"MORRIS, Tim (GRN)"	29		22	75.86		7	24.14		29	
		"ANDERSON, Sonia (DEM)"	20		13	65.00		7	35.00		20	
		Total	128		403	58.49		286	41.51		689	

	Deloraine											
			1st Prefs		680	43.04		900	56.96		1580	
		"BATCHELOR, Neil (HAN)"	92		47	51.09		45	48.91		92	
		"MORRIS, Tim (GRN)"	206		156	75.73		50	24.27		206	
		"ANDERSON, Sonia (DEM)"	87		49	56.32		38	43.68		87	
		Total	385		932	47.43		1033	52.57		1965	

	Dodges Ferry											
			1st Prefs		875	64.72		477	35.28		1352	
		"BATCHELOR, Neil (HAN)"	62		38	61.29		24	38.71		62	
		"MORRIS, Tim (GRN)"	164		133	81.10		31	18.90		164	
		"ANDERSON, Sonia (DEM)"	106		58	54.72		48	45.28		106	
		Total	332		1104	65.56		580	34.44		1684	

	Dromedary											
			1st Prefs		123	58.57		87	41.43		210	
		"BATCHELOR, Neil (HAN)"	19		10	52.63		9	47.37		19	
		"MORRIS, Tim (GRN)"	13		7	53.85		6	46.15		13	
		"ANDERSON, Sonia (DEM)"	15		8	53.33		7	46.67		15	
		Total	47		148	57.59		109	42.41		257	

	Dunalley											
			1st Prefs		194	56.07		152	43.93		346	
		"BATCHELOR, Neil (HAN)"	22		13	59.09		9	40.91		22	
		"MORRIS, Tim (GRN)"	34		23	67.65		11	32.35		34	
		"ANDERSON, Sonia (DEM)"	10		8	80.00		2	20.00		10	
		Total	66		238	57.77		174	42.23		412	

	Elizabeth Town											
			1st Prefs		95	36.26		167	63.74		262	
		"BATCHELOR, Neil (HAN)"	21		11	52.38		10	47.62		21	
		"MORRIS, Tim (GRN)"	35		29	82.86		6	17.14		35	
		"ANDERSON, Sonia (DEM)"	10		8	80.00		2	20.00		10	
		Total	66		143	43.60		185	56.40		328	

	Ellendale											
			1st Prefs		82	61.65		51	38.35		133	
		"BATCHELOR, Neil (HAN)"	10		6	60.00		4	40.00		10	
		"MORRIS, Tim (GRN)"	11		8	72.73		3	27.27		11	
		"ANDERSON, Sonia (DEM)"	2		1	50.00		1	50.00		2	
		Total	23		97	62.18		59	37.82		156	

	Epping											
			1st Prefs		68	45.95		80	54.05		148	
		"BATCHELOR, Neil (HAN)"	11		8	72.73		3	27.27		11	
		"MORRIS, Tim (GRN)"	3		1	33.33		2	66.67		3	
		"ANDERSON, Sonia (DEM)"	8		3	37.50		5	62.50		8	
		Total	22		80	47.06		90	52.94		170	

	Evandale											
			1st Prefs		430	51.19		410	48.81		840	
		"BATCHELOR, Neil (HAN)"	35		15	42.86		20	57.14		35	
		"MORRIS, Tim (GRN)"	97		67	69.07		30	30.93		97	
		"ANDERSON, Sonia (DEM)"	65		38	58.46		27	41.54		65	
		Total	197		550	53.04		487	46.96		1037	

	Exeter											
			1st Prefs		422	47.10		474	52.90		896	
		"BATCHELOR, Neil (HAN)"	44		22	50.00		22	50.00		44	
		"MORRIS, Tim (GRN)"	97		79	81.44		18	18.56		97	
		"ANDERSON, Sonia (DEM)"	83		56	67.47		27	32.53		83	
		Total	224		579	51.70		541	48.30		1120	

	Fingal											
			1st Prefs		199	78.35		55	21.65		254	
		"BATCHELOR, Neil (HAN)"	14		13	92.86		1	7.14		14	
		"MORRIS, Tim (GRN)"	4		2	50.00		2	50.00		4	
		"ANDERSON, Sonia (DEM)"	7		2	28.57		5	71.43		7	
		Total	25		216	77.42		63	22.58		279	

	Forcett											
			1st Prefs		128	50.00		128	50.00		256	
		"BATCHELOR, Neil (HAN)"	22		10	45.45		12	54.55		22	
		"MORRIS, Tim (GRN)"	32		24	75.00		8	25.00		32	
		"ANDERSON, Sonia (DEM)"	24		14	58.33		10	41.67		24	
		Total	78		176	52.69		158	47.31		334	

	Frankford											
			1st Prefs		51	48.57		54	51.43		105	
		"BATCHELOR, Neil (HAN)"	6		5	83.33		1	16.67		6	
		"MORRIS, Tim (GRN)"	14		13	92.86		1	7.14		14	
		"ANDERSON, Sonia (DEM)"	4		3	75.00		1	25.00		4	
		Total	24		72	55.81		57	44.19		129	

	Glengarry											
			1st Prefs		122	50.83		118	49.17		240	
		"BATCHELOR, Neil (HAN)"	14		10	71.43		4	28.57		14	
		"MORRIS, Tim (GRN)"	25		19	76.00		6	24.00		25	
		"ANDERSON, Sonia (DEM)"	10		5	50.00		5	50.00		10	
		Total	49		156	53.98		133	46.02		289	

	Glenora											
			1st Prefs		134	71.28		54	28.72		188	
		"BATCHELOR, Neil (HAN)"	15		11	73.33		4	26.67		15	
		"MORRIS, Tim (GRN)"	11		10	90.91		1	9.09		11	
		"ANDERSON, Sonia (DEM)"	4		2	50.00		2	50.00		4	
		Total	30		157	72.02		61	27.98		218	

	Granton											
			1st Prefs		124	49.21		128	50.79		252	
		"BATCHELOR, Neil (HAN)"	20		11	55.00		9	45.00		20	
		"MORRIS, Tim (GRN)"	15		12	80.00		3	20.00		15	
		"ANDERSON, Sonia (DEM)"	10		4	40.00		6	60.00		10	
		Total	45		151	50.84		146	49.16		297	

	Gravelly Beach											
			1st Prefs		243	48.70		256	51.30		499	
		"BATCHELOR, Neil (HAN)"	13		6	46.15		7	53.85		13	
		"MORRIS, Tim (GRN)"	67		47	70.15		20	29.85		67	
		"ANDERSON, Sonia (DEM)"	36		21	58.33		15	41.67		36	
		Total	116		317	51.54		298	48.46		615	

	Gretna											
			1st Prefs		83	54.25		70	45.75		153	
		"BATCHELOR, Neil (HAN)"	7		4	57.14		3	42.86		7	
		"MORRIS, Tim (GRN)"	7		4	57.14		3	42.86		7	
		"ANDERSON, Sonia (DEM)"	9		5	55.56		4	44.44		9	
		Total	23		96	54.55		80	45.45		176	

	Hadspen											
			1st Prefs		460	50.38		453	49.62		913	
		"BATCHELOR, Neil (HAN)"	33		11	33.33		22	66.67		33	
		"MORRIS, Tim (GRN)"	53		33	62.26		20	37.74		53	
		"ANDERSON, Sonia (DEM)"	56		35	62.50		21	37.50		56	
		Total	142		539	51.09		516	48.91		1055	

	Hagley											
			1st Prefs		68	27.20		182	72.80		250	
		"BATCHELOR, Neil (HAN)"	15		4	26.67		11	73.33		15	
		"MORRIS, Tim (GRN)"	30		23	76.67		7	23.33		30	
		"ANDERSON, Sonia (DEM)"	16		10	62.50		6	37.50		16	
		Total	61		105	33.76		206	66.24		311	

	Hamilton											
			1st Prefs		96	65.75		50	34.25		146	
		"BATCHELOR, Neil (HAN)"	7		4	57.14		3	42.86		7	
		"MORRIS, Tim (GRN)"	6		1	16.67		5	83.33		6	
		"ANDERSON, Sonia (DEM)"	4		0	0.00		4	100.00		4	
		Total	17		101	61.96		62	38.04		163	

	Kelso											
			1st Prefs		59	47.97		64	52.03		123	
		"BATCHELOR, Neil (HAN)"	12		7	58.33		5	41.67		12	
		"MORRIS, Tim (GRN)"	8		6	75.00		2	25.00		8	
		"ANDERSON, Sonia (DEM)"	6		6	100.00		0	0.00		6	
		Total	26		78	52.35		71	47.65		149	

	Kempton											
			1st Prefs		168	71.49		67	28.51		235	
		"BATCHELOR, Neil (HAN)"	21		9	42.86		12	57.14		21	
		"MORRIS, Tim (GRN)"	11		10	90.91		1	9.09		11	
		"ANDERSON, Sonia (DEM)"	9		5	55.56		4	44.44		9	
		Total	41		192	69.57		84	30.43		276	

	Lachlan											
			1st Prefs		144	66.36		73	33.64		217	
		"BATCHELOR, Neil (HAN)"	8		6	75.00		2	25.00		8	
		"MORRIS, Tim (GRN)"	47		41	87.23		6	12.77		47	
		"ANDERSON, Sonia (DEM)"	13		8	61.54		5	38.46		13	
		Total	68		199	69.82		86	30.18		285	

	Legana (Lyons)											
			1st Prefs		226	35.76		406	64.24		632	
		"BATCHELOR, Neil (HAN)"	23		16	69.57		7	30.43		23	
		"MORRIS, Tim (GRN)"	65		43	66.15		22	33.85		65	
		"ANDERSON, Sonia (DEM)"	35		21	60.00		14	40.00		35	
		Total	123		306	40.53		449	59.47		755	

	Levendale											
			1st Prefs		57	57.58		42	42.42		99	
		"BATCHELOR, Neil (HAN)"	5		3	60.00		2	40.00		5	
		"MORRIS, Tim (GRN)"	3		3	100.00		0	0.00		3	
		"ANDERSON, Sonia (DEM)"	5		5	100.00		0	0.00		5	
		Total	13		68	60.71		44	39.29		112	

	Longford											
			1st Prefs		954	56.12		746	43.88		1700	
		"BATCHELOR, Neil (HAN)"	158		102	64.56		56	35.44		158	
		"MORRIS, Tim (GRN)"	94		66	70.21		28	29.79		94	
		"ANDERSON, Sonia (DEM)"	83		50	60.24		33	39.76		83	
		Total	335		1172	57.59		863	42.41		2035	

	Lower Barrington											
			1st Prefs		118	36.20		208	63.80		326	
		"BATCHELOR, Neil (HAN)"	17		11	64.71		6	35.29		17	
		"MORRIS, Tim (GRN)"	30		21	70.00		9	30.00		30	
		"ANDERSON, Sonia (DEM)"	18		15	83.33		3	16.67		18	
		Total	65		165	42.20		226	57.80		391	

	Magra											
			1st Prefs		271	69.31		120	30.69		391	
		"BATCHELOR, Neil (HAN)"	34		15	44.12		19	55.88		34	
		"MORRIS, Tim (GRN)"	14		9	64.29		5	35.71		14	
		"ANDERSON, Sonia (DEM)"	11		9	81.82		2	18.18		11	
		Total	59		304	67.56		146	32.44		450	

	Mathinna											
			1st Prefs		71	85.54		12	14.46		83	
		"BATCHELOR, Neil (HAN)"	13		8	61.54		5	38.46		13	
		"MORRIS, Tim (GRN)"	10		8	80.00		2	20.00		10	
		"ANDERSON, Sonia (DEM)"	0		0	0.00		0	0.00		0	
		Total	23		87	82.08		19	17.92		106	

	Maydena											
			1st Prefs		76	64.41		42	35.59		118	
		"BATCHELOR, Neil (HAN)"	10		4	40.00		6	60.00		10	
		"MORRIS, Tim (GRN)"	26		15	57.69		11	42.31		26	
		"ANDERSON, Sonia (DEM)"	4		3	75.00		1	25.00		4	
		Total	40		98	62.03		60	37.97		158	

	Meander											
			1st Prefs		50	36.50		87	63.50		137	
		"BATCHELOR, Neil (HAN)"	19		6	31.58		13	68.42		19	
		"MORRIS, Tim (GRN)"	48		40	83.33		8	16.67		48	
		"ANDERSON, Sonia (DEM)"	7		4	57.14		3	42.86		7	
		Total	74		100	47.39		111	52.61		211	

	Midway Point											
			1st Prefs		732	60.35		481	39.65		1213	
		"BATCHELOR, Neil (HAN)"	54		37	68.52		17	31.48		54	
		"MORRIS, Tim (GRN)"	65		52	80.00		13	20.00		65	
		"ANDERSON, Sonia (DEM)"	64		38	59.38		26	40.63		64	
		Total	183		859	61.53		537	38.47		1396	

	Miena											
			1st Prefs		53	56.99		40	43.01		93	
		"BATCHELOR, Neil (HAN)"	6		4	66.67		2	33.33		6	
		"MORRIS, Tim (GRN)"	4		4	100.00		0	0.00		4	
		"ANDERSON, Sonia (DEM)"	3		2	66.67		1	33.33		3	
		Total	13		63	59.43		43	40.57		106	

	Mole Creek											
			1st Prefs		111	39.93		167	60.07		278	
		"BATCHELOR, Neil (HAN)"	33		12	36.36		21	63.64		33	
		"MORRIS, Tim (GRN)"	33		29	87.88		4	12.12		33	
		"ANDERSON, Sonia (DEM)"	15		11	73.33		4	26.67		15	
		Total	81		163	45.40		196	54.60		359	

	Molesworth											
			1st Prefs		137	68.84		62	31.16		199	
		"BATCHELOR, Neil (HAN)"	11		5	45.45		6	54.55		11	
		"MORRIS, Tim (GRN)"	34		29	85.29		5	14.71		34	
		"ANDERSON, Sonia (DEM)"	14		8	57.14		6	42.86		14	
		Total	59		179	69.38		79	30.62		258	

	New Norfolk											
			1st Prefs		1389	70.26		588	29.74		1977	
		"BATCHELOR, Neil (HAN)"	117		67	57.26		50	42.74		117	
		"MORRIS, Tim (GRN)"	115		85	73.91		30	26.09		115	
		"ANDERSON, Sonia (DEM)"	82		53	64.63		29	35.37		82	
		Total	314		1594	69.58		697	30.42		2291	

	New Norfolk North											
			1st Prefs		678	81.69		152	18.31		830	
		"BATCHELOR, Neil (HAN)"	49		33	67.35		16	32.65		49	
		"MORRIS, Tim (GRN)"	32		24	75.00		8	25.00		32	
		"ANDERSON, Sonia (DEM)"	30		19	63.33		11	36.67		30	
		Total	111		754	80.13		187	19.87		941	

	Nubeena											
			1st Prefs		279	62.28		169	37.72		448	
		"BATCHELOR, Neil (HAN)"	19		11	57.89		8	42.11		19	
		"MORRIS, Tim (GRN)"	67		53	79.10		14	20.90		67	
		"ANDERSON, Sonia (DEM)"	17		11	64.71		6	35.29		17	
		Total	103		354	64.25		197	35.75		551	

	Oatlands											
			1st Prefs		309	58.63		218	41.37		527	
		"BATCHELOR, Neil (HAN)"	29		20	68.97		9	31.03		29	
		"MORRIS, Tim (GRN)"	29		22	75.86		7	24.14		29	
		"ANDERSON, Sonia (DEM)"	14		10	71.43		4	28.57		14	
		Total	72		361	60.27		238	39.73		599	

	Orford											
			1st Prefs		178	45.76		211	54.24		389	
		"BATCHELOR, Neil (HAN)"	17		9	52.94		8	47.06		17	
		"MORRIS, Tim (GRN)"	27		22	81.48		5	18.52		27	
		"ANDERSON, Sonia (DEM)"	23		13	56.52		10	43.48		23	
		Total	67		222	48.68		234	51.32		456	

	Ouse											
			1st Prefs		117	58.79		82	41.21		199	
		"BATCHELOR, Neil (HAN)"	13		8	61.54		5	38.46		13	
		"MORRIS, Tim (GRN)"	7		6	85.71		1	14.29		7	
		"ANDERSON, Sonia (DEM)"	8		3	37.50		5	62.50		8	
		Total	28		134	59.03		93	40.97		227	

	Parattah											
			1st Prefs		86	67.19		42	32.81		128	
		"BATCHELOR, Neil (HAN)"	5		3	60.00		2	40.00		5	
		"MORRIS, Tim (GRN)"	6		4	66.67		2	33.33		6	
		"ANDERSON, Sonia (DEM)"	9		6	66.67		3	33.33		9	
		Total	20		99	66.89		49	33.11		148	

	Perth											
			1st Prefs		822	57.89		598	42.11		1420	
		"BATCHELOR, Neil (HAN)"	75		43	57.33		32	42.67		75	
		"MORRIS, Tim (GRN)"	78		53	67.95		25	32.05		78	
		"ANDERSON, Sonia (DEM)"	66		40	60.61		26	39.39		66	
		Total	219		958	58.45		681	41.55		1639	

	Pontville											
			1st Prefs		223	58.99		155	41.01		378	
		"BATCHELOR, Neil (HAN)"	18		10	55.56		8	44.44		18	
		"MORRIS, Tim (GRN)"	29		19	65.52		10	34.48		29	
		"ANDERSON, Sonia (DEM)"	22		12	54.55		10	45.45		22	
		Total	69		264	59.06		183	40.94		447	

	Port Arthur											
			1st Prefs		87	59.18		60	40.82		147	
		"BATCHELOR, Neil (HAN)"	8		6	75.00		2	25.00		8	
		"MORRIS, Tim (GRN)"	17		13	76.47		4	23.53		17	
		"ANDERSON, Sonia (DEM)"	9		6	66.67		3	33.33		9	
		Total	34		112	61.88		69	38.12		181	

	Primrose Sands											
			1st Prefs		259	78.01		73	21.99		332	
		"BATCHELOR, Neil (HAN)"	20		10	50.00		10	50.00		20	
		"MORRIS, Tim (GRN)"	18		12	66.67		6	33.33		18	
		"ANDERSON, Sonia (DEM)"	18		10	55.56		8	44.44		18	
		Total	56		291	75.00		97	25.00		388	

	Pyengana											
			1st Prefs		35	42.17		48	57.83		83	
		"BATCHELOR, Neil (HAN)"	2		1	50.00		1	50.00		2	
		"MORRIS, Tim (GRN)"	19		12	63.16		7	36.84		19	
		"ANDERSON, Sonia (DEM)"	3		1	33.33		2	66.67		3	
		Total	24		49	45.79		58	54.21		107	

	Queenstown											
			1st Prefs		687	63.67		392	36.33		1079	
		"BATCHELOR, Neil (HAN)"	65		40	61.54		25	38.46		65	
		"MORRIS, Tim (GRN)"	41		28	68.29		13	31.71		41	
		"ANDERSON, Sonia (DEM)"	26		13	50.00		13	50.00		26	
		Total	132		768	63.42		443	36.58		1211	

	Railton											
			1st Prefs		340	56.48		262	43.52		602	
		"BATCHELOR, Neil (HAN)"	44		20	45.45		24	54.55		44	
		"MORRIS, Tim (GRN)"	29		21	72.41		8	27.59		29	
		"ANDERSON, Sonia (DEM)"	37		19	51.35		18	48.65		37	
		Total	110		400	56.18		312	43.82		712	

	Richmond											
			1st Prefs		397	51.42		375	48.58		772	
		"BATCHELOR, Neil (HAN)"	29		17	58.62		12	41.38		29	
		"MORRIS, Tim (GRN)"	82		55	67.07		27	32.93		82	
		"ANDERSON, Sonia (DEM)"	54		33	61.11		21	38.89		54	
		Total	165		502	53.58		435	46.42		937	

	Rosebery											
			1st Prefs		350	81.21		81	18.79		431	
		"BATCHELOR, Neil (HAN)"	39		27	69.23		12	30.77		39	
		"MORRIS, Tim (GRN)"	6		4	66.67		2	33.33		6	
		"ANDERSON, Sonia (DEM)"	27		21	77.78		6	22.22		27	
		Total	72		402	79.92		101	20.08		503	

	Ross											
			1st Prefs		143	60.59		93	39.41		236	
		"BATCHELOR, Neil (HAN)"	10		8	80.00		2	20.00		10	
		"MORRIS, Tim (GRN)"	10		5	50.00		5	50.00		10	
		"ANDERSON, Sonia (DEM)"	7		6	85.71		1	14.29		7	
		Total	27		162	61.60		101	38.40		263	

	St Helens											
			1st Prefs		792	58.24		568	41.76		1360	
		"BATCHELOR, Neil (HAN)"	97		47	48.45		50	51.55		97	
		"MORRIS, Tim (GRN)"	126		101	80.16		25	19.84		126	
		"ANDERSON, Sonia (DEM)"	65		41	63.08		24	36.92		65	
		Total	288		981	59.53		667	40.47		1648	

	St Marys											
			1st Prefs		335	75.11		111	24.89		446	
		"BATCHELOR, Neil (HAN)"	29		22	75.86		7	24.14		29	
		"MORRIS, Tim (GRN)"	66		56	84.85		10	15.15		66	
		"ANDERSON, Sonia (DEM)"	20		12	60.00		8	40.00		20	
		Total	115		425	75.76		136	24.24		561	

	Saltwater River											
			1st Prefs		55	59.78		37	40.22		92	
		"BATCHELOR, Neil (HAN)"	4		1	25.00		3	75.00		4	
		"MORRIS, Tim (GRN)"	5		2	40.00		3	60.00		5	
		"ANDERSON, Sonia (DEM)"	5		3	60.00		2	40.00		5	
		Total	14		61	57.55		45	42.45		106	

	Scamander											
			1st Prefs		302	66.37		153	33.63		455	
		"BATCHELOR, Neil (HAN)"	19		10	52.63		9	47.37		19	
		"MORRIS, Tim (GRN)"	45		38	84.44		7	15.56		45	
		"ANDERSON, Sonia (DEM)"	22		9	40.91		13	59.09		22	
		Total	86		359	66.36		182	33.64		541	

	Sheffield											
			1st Prefs		418	44.33		525	55.67		943	
		"BATCHELOR, Neil (HAN)"	70		29	41.43		41	58.57		70	
		"MORRIS, Tim (GRN)"	83		68	81.93		15	18.07		83	
		"ANDERSON, Sonia (DEM)"	59		32	54.24		27	45.76		59	
		Total	212		547	47.36		608	52.64		1155	

	Sidmouth											
			1st Prefs		205	48.12		221	51.88		426	
		"BATCHELOR, Neil (HAN)"	29		14	48.28		15	51.72		29	
		"MORRIS, Tim (GRN)"	42		33	78.57		9	21.43		42	
		"ANDERSON, Sonia (DEM)"	27		16	59.26		11	40.74		27	
		Total	98		268	51.15		256	48.85		524	

	Sorell											
			1st Prefs		876	52.61		789	47.39		1665	
		"BATCHELOR, Neil (HAN)"	92		57	61.96		35	38.04		92	
		"MORRIS, Tim (GRN)"	115		93	80.87		22	19.13		115	
		"ANDERSON, Sonia (DEM)"	86		44	51.16		42	48.84		86	
		Total	293		1070	54.65		888	45.35		1958	

	Strahan											
			1st Prefs		196	57.31		146	42.69		342	
		"BATCHELOR, Neil (HAN)"	28		13	46.43		15	53.57		28	
		"MORRIS, Tim (GRN)"	30		25	83.33		5	16.67		30	
		"ANDERSON, Sonia (DEM)"	15		10	66.67		5	33.33		15	
		Total	73		244	58.80		171	41.20		415	

	Swansea											
			1st Prefs		324	57.24		242	42.76		566	
		"BATCHELOR, Neil (HAN)"	22		15	68.18		7	31.82		22	
		"MORRIS, Tim (GRN)"	36		29	80.56		7	19.44		36	
		"ANDERSON, Sonia (DEM)"	15		6	40.00		9	60.00		15	
		Total	73		374	58.53		265	41.47		639	

	Taranna											
			1st Prefs		137	57.56		101	42.44		238	
		"BATCHELOR, Neil (HAN)"	19		12	63.16		7	36.84		19	
		"MORRIS, Tim (GRN)"	50		40	80.00		10	20.00		50	
		"ANDERSON, Sonia (DEM)"	13		11	84.62		2	15.38		13	
		Total	82		200	62.50		120	37.50		320	

	Tea Tree											
			1st Prefs		52	37.68		86	62.32		138	
		"BATCHELOR, Neil (HAN)"	12		8	66.67		4	33.33		12	
		"MORRIS, Tim (GRN)"	11		10	90.91		1	9.09		11	
		"ANDERSON, Sonia (DEM)"	9		2	22.22		7	77.78		9	
		Total	32		72	42.35		98	57.65		170	

	Triabunna											
			1st Prefs		375	64.32		208	35.68		583	
		"BATCHELOR, Neil (HAN)"	44		31	70.45		13	29.55		44	
		"MORRIS, Tim (GRN)"	26		18	69.23		8	30.77		26	
