Senate - 2001 Election: Tasmania															
Tasmania - Result of the Transfer and Distribution of Preferences															
Election of 6 Senators (counts required: 97)															
															
Quota = 308662 +1 =  44095															
                6+1															

				First			Count 2			Count 3			Count 4		
				Preference		Votes	Progress		Votes	Progress		Votes	Progress		
	Candidate			Votes	Status	Transfd	Totals	Status 	Transfd	Totals	Status	 Transfd	Totals	Status	
A	"CRACK, M."	TFP		3492		5	3497		5	3502		3	3505		
A	"JACKSON, D."	TFP		229		3	232		0	232		1	233		
A	"PRESSER, J."	TFP		174		1	175		2	177		1	178		
															
B	"BRISTOW, J.T."	HPA		353		1	354		1	355		1	356		
B	PETHERBRIDGE-de	HPA		13		0	13		0	13		0	13		
															
C	"BOAG, B."	HAN		9668		24	9692		15	9707		11	9718		
C	"STOKES, P."	HAN		501		1	502		2	504		3	507		
															
D	"BONNER, S."			371		1	372		2	374		3	377		
D	"HOWARD, G."			43		0	43		0	43		0	43		
															
E	"BROWN, B."	GRN		42568		96	42664		141	42805		48	42853		
															
F	"CALVERT, P."	LP		110281	Elected	-66186	44095	Elected	0	44095	Elected	0	44095	Elected	
F	"WATSON, J."	LP		4278		65178	69456	Elected	0	69456	Elected	-25361	44095	Elected	
F	"COLBECK, R."	LP		967		483	1450		9	1459		24931	26390		
F	"PARRY, S."	LP		4194		261	4455		3	4458		283	4741		
															
G	"BAINBRIDGE, A."			327		6	333		1	334		2	336		
G	"CLEARY, S."			62		9	71		0	71		5	76		
															
H	"BUTLER, D."	DEM		13987		24	14011		48	14059		22	14081		
H	"TOOHEY, B."	DEM		286		0	286		6	292		1	293		
															
I	"MACKAY, S."	ALP		105727	Elected	0	105727	Elected	-61632	44095	Elected	0	44095	Elected	
I	"SHERRY, N."	ALP		6974		42	7016		60767	67783	Elected	0	67783	Elected	
I	"BILYK, C."	ALP		1008		1	1009		577	1586		15	1601		
															
J	"PULLINGER, P."	LFF		1842		11	1853		11	1864		5	1869		
J	"THOMAS, M."	LFF		50		1	51		5	56		2	58		
															
K	"CONSANDINE, P."	RPA		357		1	358		7	365		1	366		
K	"LAWATSCH, B."	RPA		11		0	11		1	12		0	12		
															
UG	"LARNER, R."	CEC		82		0	82		0	82		0	82		
UG	"MARMARINOS, J.V."	IND		85		0	85		0	85		0	85		
G	"BAINBRIDGE, A."		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"CLEARY, S."		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"BUTLER, D."	DEM	16	14406		14	14420		4	14424		117	14541	
H	"TOOHEY, B."	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"MACKAY, S."	ALP	0	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected
I	"SHERRY, N."	ALP	0	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected
I	"BILYK, C."	ALP	13	25142		11	25153		14	25167		88	25255	
														
J	"PULLINGER, P."	LFF	13	1945		9	1954		1	1955		93	2048	
J	"THOMAS, M."	LFF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"CONSANDINE, P."	RPA	-387	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"LAWATSCH, B."	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded		
																
UG	"LARNER, R."	CEC	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded		
UG	"MARMARINOS, J.V."	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded		
UG	"LANE, H."	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded		
UG	"LOCKETT, E."	IND	17	725		20	745		7	752		-752	0	Excluded		
																
	Exhausted Votes		1	66		1	67		1	68		8	76			
	Loss by Fraction		3	85		3	88		2	90		2	92			
																
	Total Votes		387	308662		428	308662		549	308662		752	308662			
																
																
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded				
			"35. CONSANDINE, P"			"19. BONNER, S."			"18. STOKES, P."			"40. LOCKETT, E."				
												Candidate Elected				
												"5. BROWN, B."		
														
														
				Count 78			Count 79-84			Count 85-90			Count 91-96	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidate		Transfd	Totals	Status	Transfd	Totals	Status 	Transfd	Totals	Status 	Transfd	Totals	Status
A	"CRACK, M."	TFP	0	3981		40	4021		-4021	0	Excluded	0	0	Excluded
A	"JACKSON, D."	TFP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
A	"PRESSER, J."	TFP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"BRISTOW, J.T."	HPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
B	PETHERBRIDGE-de	HPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"BOAG, B."	HAN	0	10581		57	10638		3697	14335		-14335	0	Excluded
C	"STOKES, P."	HAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"BONNER, S."		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"HOWARD, G."		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"BROWN, B."	GRN	-4	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected
														
F	"CALVERT, P."	LP	0	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected
F	"WATSON, J."	LP	0	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected
F	"COLBECK, R."	LP	0	26737		142	26879		4627	31506		9986	41492	
F	"PARRY, S."	LP	0	4872		59	4931		-4931	0	Excluded	0	0	Excluded
														
G	"BAINBRIDGE, A."		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"CLEARY, S."		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"BUTLER, D."	DEM	0	14541		1633	16174		269	16443		3440	19883	
H	"TOOHEY, B."	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"MACKAY, S."	ALP	0	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected	
I	"SHERRY, N."	ALP	0	44095	Elected	0	44095	Elected	0	44095	Elected	0	44095	Elected	
I	"BILYK, C."	ALP	0	25255		115	25370		306	25676		852	26528		
															
J	"PULLINGER, P."	LFF	2	2050	Excluded	-2050	0	Excluded	0	0	Excluded	0	0	Excluded	
J	"THOMAS, M."	LFF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
															
K	"CONSANDINE, P."	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
K	"LAWATSCH, B."	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
															
UG	"LARNER, R."	CEC	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
UG	"MARMARINOS, J.V."	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
UG	"LANE, H."	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
UG	"LOCKETT, E."	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded	
															
	Exhausted Votes		0	76		4	80		67	147		68	215		
	Loss by Fraction		2	94		0	94		-14	80		-11	69			
																
	Total Votes		4	308662		2050	308662		8966	308662		14346	308662			
																
																
	Notes		Surplus Distributed			Candidate Excluded			Candidates Excluded			Candidate Excluded				
			"BROWN, B."			"33. PULLINGER, P."			"12. CRACK, M."			"17. BOAG, B."				
									"25. PARRY, S."							
																
																
																
				Count 97												
			Votes	Progress												
	Candidate		Transfd	Totals	Status											
A	"CRACK, M."	TFP	0	0	Excluded											
A	"JACKSON, D."	TFP	0	0	Excluded											
A	"PRESSER, J."	TFP	0	0	Excluded									
														
B	"BRISTOW, J.T."	HPA	0	0	Excluded									
B	PETHERBRIDGE-de	HPA	0	0	Excluded									
														
C	"BOAG, B."	HAN	0	0	Excluded									
C	"STOKES, P."	HAN	0	0	Excluded									
														
D	"BONNER, S."		0	0	Excluded									
D	"HOWARD, G."		0	0	Excluded									
														
E	"BROWN, B."	GRN	0	44095	Elected									
														
F	"CALVERT, P."	LP	0	44095	Elected									
F	"WATSON, J."	LP	0	44095	Elected									
F	"COLBECK, R."	LP	10484	51976	Elected									
F	"PARRY, S."	LP	0	0	Excluded									
														
G	"BAINBRIDGE, A."		0	0	Excluded									
G	"CLEARY, S."		0	0	Excluded									
														
H	"BUTLER, D."	DEM	-19700	183	Excluded									
H	"TOOHEY, B."	DEM	0	0	Excluded									
														
I	"MACKAY, S."	ALP	0	44095	Elected									
I	"SHERRY, N."	ALP	0	44095	Elected									
I	"BILYK, C."	ALP	9164	35692										
														
J	"PULLINGER, P."	LFF	0	0	Excluded									
J	"THOMAS, M."	LFF	0	0	Excluded									
														
K	"CONSANDINE, P."	RPA	0	0	Excluded									
K	"LAWATSCH, B."	RPA	0	0	Excluded											
																
UG	"LARNER, R."	CEC	0	0	Excluded											
UG	"MARMARINOS, J.V."	IND	0	0	Excluded											
UG	"LANE, H."	IND	0	0	Excluded											
UG	"LOCKETT, E."	IND	0	0	Excluded											
																
	Exhausted Votes		52	267												
	Loss by Fraction		0	69												
																
	Total Votes		19700	308662												
																
																
	Notes		Candidate Excluded													
			"28. BUTLER, D."													
			Candidate Elected													
			"6. COLBECK, R."											
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
