General Information - 2001 Election: Tasmania				
Polling Places				
				
Bass				
Polling Place Name	Premises	Address	Suburb	
Blessington Upper	North Esk Memorial Hall	Blessington Rd	UPPER BLESSINGTON	
Branxholm	Branxholm Primary School	Albert St	BRANXHOLM	
Bridport	"Exhibition Room, Bridport Hall"	Main St	BRIDPORT	
Cape Barren Island	Cape Barren Island School		CAPE BARREN ISLAND	
Cosgrove Park	Cosgrove Park	Off Waveney St	SOUTH LAUNCESTON	
Derby	Derby Online Centre	Main St	DERBY	
Dilston	Dilston War Memorial Hall	East Tamar Hwy	DILSTON	
East Launceston	East Launceston Primary School	Abbott St	EAST LAUNCESTON	
Elphin	Newstead College	30 Cypress St	NEWSTEAD	
Emita	Furneaux Hall	Palana Rd	EMITA	
Five Ways	St Marks Church Hall	6 Hobart Rd	SOUTH LAUNCESTON	
Newstead	Police Citizens & Youth Club	148 Abbott St	NEWSTEAD
Norwood	Norwood Primary School	Norwood Ave	NORWOOD
Nunamara	Nunamara Public Hall	Tasman Hwy	NUNAMARA
Pioneer	Hall and Community Centre		PIONEER
Pipers River	Coronation Hall	School Rd	PIPERS RIVER
Prospect	St Patricks College	282 Westbury Rd	PROSPECT
Prospect Vale	Residential Retirement Village	Casino Rise	PROSPECT VALE
Ravenswood	Community Centre	Prossers Forest Rd	RAVENSWOOD
Ringarooma	Ringarooma Hall	Charles St	RINGAROOMA
Riverside	Riverside Primary School	Cleghorn Ave	RIVERSIDE
Riverside West	St Francis Church Hall	Pomona Rd	RIVERSIDE
Rocherlea	Rocherlea Primary School	Lilydale Rd	ROCHERLEA
St Leonards	St Leonards Primary School	St Leonards Rd	ST LEONARDS
Scottsdale	Mechanic's Hall	King St	SCOTTSDALE
South Launceston	Jaycees Community Centre	34 Mulgrave St	SOUTH LAUNCESTON
Summerhill	Summerdale Community Hall	Stanley St	SUMMERHILL
Trevallyn	Trevallyn Primary School	Gorge Rd	TREVALLYN
Waverley	Waverley Community Centre	Naroo St	WAVERLEY
West Launceston	West Launceston Primary School	Basin Rd	WEST LAUNCESTON
Weymouth	Weymouth Hall	Major St	WEYMOUTH
Whitemark	Whitemark Council Chambers	Davies St	WHITEMARK
Windmill Hill	East Launceston Bowling Club	Adelaide St	EAST LAUNCESTON
Winnaleah	Winnaleah Memorial Hall	Main St	WINNALEAH
Young Town	Young Town Primary School	Napier St	YOUNG TOWN


Braddon			
Polling Place Name	Premises	Address	Suburb
Abbotsham	Abbotsham Public Hall	Castra Rd	ABBOTSHAM
Acton	Acton Primary School	Thorne St	BURNIE
Addison Street	Addison Street Scout Hall	Addison St	DEVONPORT
Ambleside	Mersey Rowing Club	River Rd	DEVONPORT
Blythe Heads	Blythe Heads Public Hall	Sice Ave	BLYTHE HEADS
Boat Harbour	Boat Harbour Primary School	Bass Hwy	BOAT HARBOUR
Brooklyn	Brooklyn Primary School	Latrobe St	BURNIE
Burnie	Burnie City Council Chambers	Wilson St	BURNIE
Calder	Calder Public Hall	Calder Rd	CALDER
Cooee	Cooee Primary School	Fidler St	BURNIE
Cuprona	Cuprona Hall	Cuprona Rd	CUPRONA
Currie	Currie Council Chambers	George St	CURRIE
Devonport Central	St Johns Parish Hall	Fenton St	DEVONPORT
Devonport North	Devonport North Child Care Centre	62 North St	DEVONPORT
Don	Don Memorial Hall	17 Forth Rd	DON
East Devonport	East Devonport Primary School	19 Thomas St	DEVONPORT
Edith Creek	Edith Creek Primary School	Trowutta Rd	EDITH CREEK
Elliott	Elliott Community Centre	Murchison Hwy	ELLIOTT
Forest	Forest Primary School	Mengha Rd	FOREST
Forth	Forth Town Hall	Forth Main Rd	FORTH
Gawler	Gawler Public Hall	Top Gawler Rd	GAWLER
Grassy	Grassy Club	Grassy Rd	GRASSY
Gunns Plains	Gunns Plains Public Hall	Gunns Plains Rd	GUNNS PLAINS
Havenview	Havenview Primary School	Marriott St	BURNIE
Highclere	Highclere Community Centre	Mount Rd	HIGHCLERE
Irishtown	Irishtown Lodge Arthur Temple	Irishtown Rd	IRISHTOWN
Latrobe	Latrobe Memorial Hall	170 Gilbert St	LATROBE
Marrawah	Marrawah Memorial Hall	Comeback Rd	MARRAWAH
Mawbanna	Mawbanna Memorial Hall	Mawbanna Rd	MAWBANNA
Melrose	Melrose Memorial Hall	Melrose Rd	MELROSE
Miandetta	Mersey Heights Support School	113 Middle Rd	DEVONPORT
Montagu	Montagu Fire Station	Montagu Rd	MONTAGU
Montello	Montello Primary School	Bird St	BURNIE
Moorleah	Moorleah Community Centre	Preolenna Rd	MOORLEAH
Moriarty	Moriarty Hall	1 Bonneys La	MORIARTY
Natone	Natone Primary School	Upper Natone Rd	NATONE
Nietta	Nietta Public Hall	South Nietta Rd	NIETTA
Nixon Street	Nixon St Primary School	Nixon St	DEVONPORT
North Motton	North Motton Community Hall	Preston Main Rd	NORTH MOTTON
Penguin	Uniting Church Hall	Main Road	PENGUIN
Port Sorell	Port Sorell Memorial Hall	Meredith St	PORT SORELL
Preston	Preston Community Centre	Preston Rd	PRESTON
Reekara	Reekara Community Hall	North Rd	REEKARA
Riana	Riana Community Centre	Pine Rd	RIANA
Ridgley	Ridgley Primary School	104 Mount Rd	RIDGLEY
Rocky Cape	Rocky Cape Public Hall	Bass Hwy	ROCKY CAPE
Sassafras	Sassafras Primary School	50 School Rd	SASSAFRAS
Savage River	Savage River Training Centre	Corinna Rd	SAVAGE RIVER
Shorewell Park	Hellyer College	Mooreville Rd	BURNIE
Sisters Beach	Sisters Beach Fire Station	Honeysuckle Ave	SISTERS BEACH
Sisters Creek	Sisters Creek Community Hall	Bass Hwy	SISTERS CREEK
Smithton	Smithton Uniting Church Hall	45 Goldie St	SMITHTON
Somerset	Somerset Primary School	Wragg St	SOMERSET
South Burnie	Burnie South MTT Depot	Strahan St	BURNIE
South Riana	South Riana Public Hall	Pine Rd	SOUTH RIANA
Sprent	Sprent Primary School	Castra Rd	SPRENT
Spreyton	Spreyton Primary School	Mersey Main Rd	SPREYTON
Stanley	Stanley Primary School	Wilson St	STANLEY
Stowport	Stowport Public Hall	Natone Rd	STOWPORT
Sulphur Creek	Sulphur Creek Memorial Hall	Bass Hwy	SULPHUR CREEK
Togari	Togari Community Centre	Bass Hwy	TOGARI
Turners Beach	Turners Beach Community and Recreation Centre	Henry St	TURNERS BEACH
Ulverstone Central	Red Cross Hall	King Edward St	ULVERSTONE
Ulverstone East	East Ulverstone Primary School	Crawford St	ULVERSTONE
Ulverstone South	Ulverstone High School	Leven St	ULVERSTONE
Ulverstone West	West Ulverstone Primary School	Josephine St	ULVERSTONE
Upper Burnie	Upper Burnie Primary School	4 Johnson St	BURNIE
Valley Road	Devonport TAFE Valley Road Entrance	Valley Rd	DEVONPORT
Waratah	Waratah Primary School	Ritchie St	WARATAH
Wesley Vale	Wesley Vale Primary School	West Wind Dr	WESLEY VALE
Wivenhoe	Wivenhoe Campus Leighland Christian School	Stowport Rd	BURNIE
Wynyard Central	Wynyard Senior Citizens Club Rooms	Jackson St	WYNYARD
Wynyard East	Bowick St Campus Table Cape Primary School	Bowick St	WYNYARD
Wynyard West	Wynyard High School	Jenner St	WYNYARD
Yolla	Yolla District High School	School La	YOLLA


Denison			
Polling Place Name	Premises	Address	Suburb
Abbotsfield	Abbotsfield Primary School	Abbotsfield Rd	CLAREMONT
Albuera	Albuera Street Primary School	Albuera St	BATTERY POINT
Austins Ferry	St Virgil's College	195 Main Road	AUSTINS FERRY
Battery Point	St Georges Church Hall	28 Cromwell St	BATTERY POINT
Bowen Road	Bowen Road Primary School	35 Bowen Road	MOONAH
Brent Street	Brent Street Primary School	79a Brent Street	GLENORCHY
Cascades	Hobart Family Church Hall	34 Degraves Street	SOUTH HOBART
Chigwell	Mt Faulkner Primary School	Allunga Rd	CHIGWELL
Claremont	Country Music Club of South. Tas	14 Main Rd	CLAREMONT
Collinsvale	Collinsvale Primary School	508 Collinsvale Rd	COLLINSVALE
Cornelian Bay	St Bedes Hall	Cressy St	NEW TOWN
Cosgrove	Cosgrove High School	Main Rd	GLENORCHY
Creek Road	Lenah Valley Masonic Centre	Colebrook St	LENAH VALLEY
Cross Street	Uniting Church Hall	Cross St	NEW TOWN
Dynnyrne	Princes St Primary School	Cnr Princes & Randall Sts	SANDY BAY
Elizabeth Street	Elizabeth College	256 Elizabeth St	NORTH HOBART
Elwick	Glenorchy YMCA Youth Centre	8A Constance Ave	GLENORCHY
Fern Tree	Fern Tree Community Centre	Stephenson Pl	FERN TREE
Glenorchy	Glenorchy Primary School	Cnr Main Rd & Kensington St	GLENORCHY
Glenorchy East	Glenorchy Council Chambers	374 Main Rd	GLENORCHY
Goodwood	Goodwood Primary School	Elmsleigh Rd	DERWENT PARK
Hill Street	Whisk Restaurant	108 Lansdowne Cres	WEST HOBART
Hobart	Town Hall Conference Room	Elizabeth St	HOBART
Hobart Central	Scots Child Care Centre	6 Melville St	HOBART
Hobart North	St Margaret's Hall	Federal St	NORTH HOBART
Hobart South	St Francis Xavier's Church Hall	34 Angelsea Street	SOUTH HOBART
Hobart West	Goulburn St Primary School	Forest Rd	WEST HOBART
Lansdowne Crescent	Lansdowne Crescent Primary School	Gourlay St	WEST HOBART
Lenah Valley	St Andrews Hall	Lenah Valley Rd	LENAH VALLEY
Lower Sandy Bay	St Stephens Church Hall	Sandy Bay Rd	SANDY BAY
Lutana	St Annes Anglican Church Hall	27 Ashbolt Crescent	LUTANA
Montrose	Girl Guides Hall	Booth Ave	GLENORCHY
Moonah	St Therese's School	24 Hopkins Street	MOONAH
Moonah North	Baptist Church Hall	185 Main Rd	MOONAH
Mount Nelson	Mt Nelson Primary School	388 Nelson Rd	MOUNT NELSON
Mount Stuart	Mt Stuart Primary School	106 Gillon Cresent	MOUNT STUART
Newdegate	Lawrenny Court	131 Hill St	WEST HOBART
New Town	Friends Junior School Hall	393 Argyle St	NORTH HOBART
Queenborough	10th Hobart Scout Hall	King St	SANDY BAY
Roseneath	Roseneath Primary School	Cammeray Rd	CLAREMONT
Rosetta	Rosetta High School	Foreshore Rd	ROSETTA
St Johns Park	Amenities Building St John's Park	St John's Ave	NEW TOWN
St Peters	St Peters Hall	Cnr Brisbane/Harrington Sts	HOBART
Sandy Bay	St Peter's Church Hall	Grosvenor St	SANDY BAY
Sandy Bay Beach	Harold Gregg Centre	1 Southerwood Dr	SANDY BAY
Swan	Uniting Church Sunday School	Swan St	NORTH HOBART
Taroona	Taroona Primary School Assembly Hall	104 Channel Hwy	TAROONA
Tolosa	Tolosa Hall	148 Tolosa St	GLENORCHY
Waimea Heights	Waimea Heights Primary School	12 Balfour Ct	SANDY BAY
Windermere	Claremont High School	Cadbury Rd	CLAREMONT


Franklin			
Polling Place Name	Premises	Address	Suburb
Adventure Bay	Adventure Bay Hall	Main Rd	ADVENTURE BAY
Alonnah	Alonnah Community Centre	14 School Rd	ALONNAH
Barnes Bay	Barnes Bay CWA Rooms	Main Rd	BARNES BAY
Bellerive	Police And Citizens Youth Club	10 Scott St	BELLERIVE
Blackmans Bay	Blackmans Bay Hall	Esplanade	BLACKMANS BAY
Bligh	Warrane Mornington Neighbourhood Centre	150a Bligh St	WARRANE
Bridgewater	Bridgewater High School	McShane Rd	BRIDGEWATER
Cambridge	Cambridge Primary School	976 Cambridge Rd	CAMBRIDGE
Clarendon Vale	Clarendon Vale Primary School	Mockridge Rd	CLARENDON VALE
Cradoc	Cradoc Hall	Channel Hwy	CRADOC
Cygnet	Cygnet Town Hall	Mary St	CYGNET
Dover	Dover District School	Huon Hwy	DOVER
Franklin	Palais Theatre	Main Rd	FRANKLIN
Gagebrook	Herdsmans Cove Primary School	Lamprill Cir	GAGEBROOK
Geeveston	Geeveston District School	Arve Rd	GEEVESTON
Geilston Bay	Geilston Bay High School	271 East Derwent Hwy	GEILSTON BAY
Glen Huon	Glen Huon Primary School	Main Rd	GLEN HUON
Grove	Mountain River Memorial Hall	Mountain River Road	MOUNTAIN RIVER
Howden	Howden Progress Association Hall	Howden Rd	HOWDEN
Howrah	Howrah Primary School	Howrah Rd	HOWRAH
Huonville	Salvation Army Hall	35 Wilmot Rd	HUONVILLE
Judbury	Judbury Hall	Glen Huon Rd	JUDBURY
Kettering	Kettering Community Centre	Channel Hwy	KETTERING
Kingston	Kingston High School	Channel Hwy	KINGSTON
Kingston Beach	Kingston Beach Hall	Beach Rd	KINGSTON BEACH
Lauderdale	Lauderale Community Hall	South Arm Rd	LAUDERDALE
Lindisfarne	St Aidans Church Hall	Lincoln St	LINDISFARNE
Loatta Road	Lindisfarne Primary School	Loatta Rd	LINDISFARNE
Margate	Margate Hall	Channel Hwy	MARGATE
Middleton	South Channel Community Centre	McDowell St	MIDDLETON
Montagu Bay	Montagu Bay Primary School	10 Conara Rd	MONTAGU BAY
Mornington	MacKillop College	39 Currajong St	MORNINGTON
Opossum Bay	Opossum Bay Store	2 Pier Rd	OPOSSUM BAY
Port Huon	Waterside Workers Amenities Room	Huon Hwy	PORT HUON
Ranelagh	Soldiers Memorial Hall	Marguerite St	RANELAGH
Risdon Vale	Risdon Vale Primary School	Heather Rd	RISDON VALE
Rokeby	Rokeby Community Centre	Hart Pl	ROKEBY
Sandfly	Sandfly Hall	Sandfly Rd	SANDFLY
Sandford	Sandford Hall	973 South Arm Rd	SANDFORD
Seven Mile Beach	Seven Mile Beach Camp Centre	23 Leyden Ave	SEVEN MILE BEACH
Snug	Snug Primary School	Channel Hwy	SNUG
South Arm	South Arm Primary School	Harmony La	SOUTH ARM
Southport	Southport Fire Station	Police Rd	SOUTHPORT
Strathblane	Raminea Hall	Huon Hwy	RAMINEA
Surges Bay	Surges Bay Hall	Esperance Coast Rd	SURGES BAY
Tranmere	Tranmere Hall	Tranmere Rd	HOWRAH
Warrane	Warrane Primary School	Cambridge Rd	WARRANE
Wentworth Street	Clarence High School	Wentworth St	BELLERIVE
Woodbridge	Woodbridge Recreation Hall	Channel Hwy	WOODBRIDGE


Lyons			
Polling Place Name	Premises	Address	Suburb
Avoca	Avoca Primary School	St Pauls Pl	AVOCA
Bagdad	Bagdad Primary School Hall	Midland Hwy	BAGDAD
Beaconsfield	Beaconsfield Meeting Rooms	West St	BEACONSFIELD
Beauty Point	Beauty Point (Sandy Beach) Bowls Club	cnr Mainwaring and Flinders Sts	BEAUTY POINT
Bicheno	Bicheno War Memorial Hall	Burgess St	BICHENO
Bishopsbourne	Bishopsbourne Community Centre	Recreation Ground	BISHOPSBOURNE
Bothwell	Bothwell Town Hall	Alexander St	BOTHWELL
Bracknell	Bracknell War Memorial Hall	Louisa St	BRACKNELL
Brighton	Brighton Primary School	27 Downie St	BRIGHTON
Broadmarsh	Broadmarsh Hall	Elderslie Rd	BROADMARSH
Bronte	Bronte Park Highland Village	Marlborough Hwy	BRONTE PARK
Buckland	Buckland Memorial Hall	Kent St	BUCKLAND
Campania	Campania Hall	Reeve St	CAMPANIA
Campbell Town	Campbell Town Town Hall	High St	CAMPBELL TOWN
Carrick	Carrick Public Hall	Meander Valley Hwy	CARRICK
Chudleigh	Chudleigh Memorial Hall	Sorell St	CHUDLEIGH
Claude Road	Claude Road Memorial Hall	Claude Rd	CLAUDE ROAD
Colebrook	Colebrook Fire Station	Colebrook Rd	COLEBROOK
Coles Bay	Coles Bay Community Hall	Harold St	COLES BAY
Copping	Copping Hall	Off Marion Bay Rd	COPPING
Cressy	Cressy Community Hall	Main St	CRESSY
Deloraine	Deloraine High School	East Barrack St	DELORAINE
Dodges Ferry	Dodges Ferry Community Recreation Centre	Lewisham Rd	DODGES FERRY
Dromedary	Dromedary (Millvale) Community Hall	Millvale Rd	DROMEDARY
Dunalley	Dunalley District High School	Bay St	DUNALLEY
Elizabeth Town	Elizabeth Town Fire Station	Bass Hwy	ELIZABETH TOWN
Ellendale	Ellendale Hall	Ellendale Rd	ELLENDALE
Epping	Epping Forest Public Hall	Midland Hwy	EPPING FOREST
Evandale	Evandale Primary School	Barclay St	EVANDALE
Exeter	Exeter High School	Glen-Ard-Mohr Rd	EXETER
Fingal	Fingal Council Chambers	Talbot St	FINGAL
Forcett	Forcett Public Hall	Arthur Hwy	FORCETT
Frankford	Frankford Memorial Hall	Frankford Hwy	FRANKFORD
Glengarry	Glengarry Public Hall	Frankford Hwy	GLENGARRY
Glenora	Glenora District High School	Glenora Rd	BUSHY PARK
Granton	Granton Memorial Hall	Lyell Hwy	GRANTON
Gravelly Beach	Gravelly Beach Main Hall	Edinburgh Park Off Gravelly Beach Rd	GRAVELLY BEACH
Gretna	Gretna (St Marys Parish) Hall	Lyell Hwy	GRETNA
Hadspen	Hadspen Memorial Hall	Main St	HADSPEN
Hagley	Hagley Uniting Church Hall	Bass Hwy	HAGLEY
Hamilton	Hamilton Hall	Tarleton St	HAMILTON
Kelso	Kelso Community Centre	Foreshore Rd	KELSO
Kempton	Kempton Council Chambers	Main St	KEMPTON
Lachlan	Lachlan Community Hall	Lachlan Rd	LACHLAN
Legana (Lyons)	Legana Memorial Hall	Fulton St	LEGANA
Levendale	Levendale Primary School	Woodsdale Rd	LEVENDALE
Longford	Longford War Memorial Hall	Wellington St	LONGFORD
Lower Barrington	Lower Barrington Public Hall	Sheffield Rd	LOWER BARRINGTON
Magra	Magra CWA Building	Back River Rd	MAGRA
Mathinna	Mathinna Community Centre	High St	MATHINNA
Maydena	Maydena Primary School	Kallista Rd	MAYDENA
Meander	Meander Primary School	Main Rd	MEANDER
Midway Point	Midway Point Community Hall	Raynors Rd	MIDWAY POINT
Miena	Great Lake Community Centre	Cnr Cidergum Dr and Jones Rd	MIENA
Mole Creek	Mole Creek Primary School	School Rd	MOLE CREEK
Molesworth	Molesworth Primary School	Molesworth Rd	MOLESWORTH
New Norfolk	New Norfolk Uniting Church Hall	Burnett St	NEW NORFOLK
New Norfolk North	New Norfolk (Fairview) Primary School Hall	North Cres	NEW NORFOLK
Nubeena	Nubeena Council Chambers	Main Rd	NUBEENA
Oatlands	"Oatlands Council Chambers, Court Room"	71 High St	OATLANDS
Orford	Orford Community Hall	Charles St	ORFORD
Ouse	Ouse Online Centre	Main Rd	OUSE
Parattah	Parattah Jubilee Hall	Tunnack Rd	PARATTAH
Perth	Perth Community Centre	173 Fairtlough St	PERTH
Pontville	Pontville Old Council Chambers	262 Midland Hwy	PONTVILLE
Port Arthur	Port Arthur Sports Ground	Nubeena Rd	PORT ARTHUR
Primrose Sands	Primrose Sands Fire Station	Esplanade	PRIMROSE SANDS
Pyengana	Pyengana War Memorial Hall	St Columba Falls Rd	PYENGANA
Queenstown	Queenstown Memorial Hall	Cnr Bowes St and Orr St	QUEENSTOWN
Railton	Railton Primary School	Foster St	RAILTON
Richmond	Richmond Hall	Bridge St	RICHMOND
Rosebery	Rosebery Child Care Centre	2 William St	ROSEBERY
Ross	Ross Library Reading Room	Church St	ROSS
St Helens	St Helens Memorial Hall	Cecilia St	ST HELENS
St Marys	St Marys Community Hall	Main St	ST MARYS
Saltwater River	Saltwater River Public Hall	Saltwater River Rd	SALTWATER RIVER
Scamander	Scamander Sports and Community Complex	Old Coach Rd	SCAMANDER
Sheffield	Sheffield Town Hall	High St	SHEFFIELD
Sidmouth	Sidmouth War Memorial Hall	Batman Hwy	SIDMOUTH
Sorell	St Georges Church Hall	Gordon St	SORELL
Strahan	Strahan Primary School	Bay St	STRAHAN
Swansea	Swansea Town Hall	Franklin St	SWANSEA
Taranna	Tasman Peninsula Community Centre	Gourlay St	TARANNA
Tea Tree	Tea Tree Public Hall	Briar Bank Rd	TEA TREE
Triabunna	"Triabunna Council Chambers, Recreation Room"	Vicary St	TRIABUNNA
Tullah	Tullah Hydro Office	Farrell St	TULLAH
Tunbridge	Tunbridge Town Hall	Old Main Rd	TUNBRIDGE
Tunnack	Tunnack Public Hall	Tunnack Rd	TUNNACK
Wayatinah	Wayatinah Hall	Second St	WAYATINAH
Westbury	Westbury Meander Valley Council Hall	26 Lyall St	WESTBURY
Westerway	Westerway Primary School	Gordon River Rd	WESTERWAY
Whitemore	Whitemore Hall	Whitemore Rd	WHITEMORE
Wilmot	Wilmot Memorial Hall	53 Main St	WILMOT
Zeehan	Zeehan Primary School	Belstead St	ZEEHAN
