House of Representatives - 2001 Election: Tasmania																				
Distribution of Preferences																				
By Polling Place																				
																				
Lyons																				
				BATCHELOR			ADAMS			MORRIS			PAGE			ANDERSON				
	FIRST			68	4.75		801	55.97		50	3.49		449	31.38		63	4.40		1431	
	SECOND			7	11.11		18	28.57		13	20.63		25	39.68			Excluded		63	
		TOTAL		75	5.24		819	57.23		63	4.40		474	33.12					1431	
	THIRD				Excluded		29	38.67		20	26.67		26	34.67					75	
		TOTAL					848	59.26		83	5.80		500	34.94					1431	
	FOURTH						55	66.27			Excluded		28	33.73					83	
		TOTAL					903	63.10					528	36.90					1431	
							Elected													
																				
Broadmarsh                                                     																				
	FIRST			16	9.64		55	33.13		14	8.43		77	46.39		4	2.41		166	
	SECOND			0	0.00		2	50.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		16	9.64		57	34.34		15	9.04		78	46.99					166	
	THIRD				Excluded		4	25.00		1	6.25		11	68.75					16	
		TOTAL					61	36.75		16	9.64		89	53.61					166	
	FOURTH						12	75.00			Excluded		4	25.00					16	
		TOTAL					73	43.98					93	56.02					166	
							Elected													
																				
Bronte                                                         																				
	FIRST			9	10.59		42	49.41		2	2.35		30	35.29		2	2.35		85	
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00			Excluded		2	
		TOTAL		9	10.59		42	49.41		4	4.71		30	35.29					85	
	THIRD				Excluded		3	33.33		3	33.33		3	33.33					9	
		TOTAL					45	52.94		7	8.24		33	38.82					85	
	FOURTH						5	71.43			Excluded		2	28.57					7	
		TOTAL					50	58.82					35	41.18					85	
							Elected													
																				
Buckland                                                       																				
	FIRST			8	7.27		45	40.91		0	0.00		53	48.18		4	3.64		110	
	SECOND			0	0.00		2	50.00		2	50.00		0	0.00			Excluded		4	
		TOTAL		8	7.27		47	42.73		2	1.82		53	48.18					110	
	THIRD				Excluded		6	75.00		1	12.50		1	12.50					8	
		TOTAL					53	48.18		3	2.73		54	49.09					110	
	FOURTH						2	66.67			Excluded		1	33.33					3	
		TOTAL					55	50.00					55	50.00					110	
							Elected													
																				
Campania                                                       																				
	FIRST			17	3.82		180	40.45		23	5.17		203	45.62		22	4.94		445	
	SECOND			5	22.73		2	9.09		9	40.91		6	27.27			Excluded		22	
		TOTAL		22	4.94		182	40.90		32	7.19		209	46.97					445	
	THIRD				Excluded		5	22.73		8	36.36		9	40.91					22	
		TOTAL					187	42.02		40	8.99		218	48.99					445	
	FOURTH						25	62.50			Excluded		15	37.50					40	
		TOTAL					212	47.64					233	52.36					445	
							Elected													
																				
Campbell Town                                                  																				
	FIRST			50	7.95		383	60.89		21	3.34		157	24.96		18	2.86		629	
	SECOND			4	22.22		7	38.89		4	22.22		3	16.67			Excluded		18	
		TOTAL		54	8.59		390	62.00		25	3.97		160	25.44					629	
	THIRD				Excluded		22	40.74		9	16.67		23	42.59					54	
		TOTAL					412	65.50		34	5.41		183	29.09					629	
	FOURTH						23	67.65			Excluded		11	32.35					34	
		TOTAL					435	69.16					194	30.84					629	
							Elected													
																				
Carrick                                                        																				
	FIRST			23	5.00		159	34.57		32	6.96		216	46.96		30	6.52		460	
	SECOND			3	10.00		6	20.00		7	23.33		14	46.67			Excluded		30	
		TOTAL		26	5.65		165	35.87		39	8.48		230	50.00					460	
	THIRD				Excluded		10	38.46		6	23.08		10	38.46					26	
		TOTAL					175	38.04		45	9.78		240	52.17					460	
	FOURTH						24	53.33			Excluded		21	46.67					45	
		TOTAL					199	43.26					261	56.74					460	
							Elected													
																				
Chudleigh                                                      																				
	FIRST			23	8.85		72	27.69		29	11.15		120	46.15		16	6.15		260	
	SECOND			2	12.50		3	18.75		5	31.25		6	37.50			Excluded		16	
		TOTAL		25	9.62		75	28.85		34	13.08		126	48.46					260	
	THIRD				Excluded		7	28.00		8	32.00		10	40.00					25	
		TOTAL					82	31.54		42	16.15		136	52.31					260	
	FOURTH						29	69.05			Excluded		13	30.95					42	
		TOTAL					111	42.69					149	57.31					260	
							Elected													
																				
Claude Road                                                    																				
	FIRST			8	4.85		60	36.36		23	13.94		68	41.21		6	3.64		165	
	SECOND			0	0.00		1	16.67		4	66.67		1	16.67			Excluded		6	
		TOTAL		8	4.85		61	36.97		27	16.36		69	41.82					165	
	THIRD				Excluded		2	25.00		3	37.50		3	37.50					8	
		TOTAL					63	38.18		30	18.18		72	43.64					165	
	FOURTH						24	80.00			Excluded		6	20.00					30	
		TOTAL					87	52.73					78	47.27					165	
							Elected													
																				
Colebrook                                                      																				
	FIRST			15	6.67		127	56.44		10	4.44		62	27.56		11	4.89		225	
	SECOND			2	18.18		3	27.27		5	45.45		1	9.09			Excluded		11	
		TOTAL		17	7.56		130	57.78		15	6.67		63	28.00					225	
	THIRD				Excluded		9	52.94		4	23.53		4	23.53					17	
		TOTAL					139	61.78		19	8.44		67	29.78					225	
	FOURTH						12	63.16			Excluded		7	36.84					19	
		TOTAL					151	67.11					74	32.89					225	
							Elected													
																				
Coles Bay                                                      																				
	FIRST			3	1.97		56	36.84		16	10.53		71	46.71		6	3.95		152	
	SECOND			0	0.00		1	16.67		3	50.00		2	33.33			Excluded		6	
		TOTAL		3	1.97		57	37.50		19	12.50		73	48.03					152	
	THIRD				Excluded		2	66.67		0	0.00		1	33.33					3	
		TOTAL					59	38.82		19	12.50		74	48.68					152	
	FOURTH						13	68.42			Excluded		6	31.58					19	
		TOTAL					72	47.37					80	52.63					152	
							Elected													
																				
Copping                                                        																				
	FIRST			9	4.55		71	35.86		42	21.21		70	35.35		6	3.03		198	
	SECOND			0	0.00		2	33.33		3	50.00		1	16.67			Excluded		6	
		TOTAL		9	4.55		73	36.87		45	22.73		71	35.86					198	
	THIRD				Excluded		8	88.89		0	0.00		1	11.11					9	
		TOTAL					81	40.91		45	22.73		72	36.36					198	
	FOURTH						36	80.00			Excluded		9	20.00					45	
		TOTAL					117	59.09					81	40.91					198	
							Elected													
																				
Cressy                                                         																				
	FIRST			79	11.47		323	46.88		29	4.21		238	34.54		20	2.90		689	
	SECOND			0	0.00		8	40.00		8	40.00		4	20.00			Excluded		20	
		TOTAL		79	11.47		331	48.04		37	5.37		242	35.12					689	
	THIRD				Excluded		41	51.90		8	10.13		30	37.97					79	
		TOTAL					372	53.99		45	6.53		272	39.48					689	
	FOURTH						31	68.89			Excluded		14	31.11					45	
		TOTAL					403	58.49					286	41.51					689	
							Elected													
																				
Deloraine                                                      																				
	FIRST			92	4.68		680	34.61		206	10.48		900	45.80		87	4.43		1965	
	SECOND			9	10.34		23	26.44		32	36.78		23	26.44			Excluded		87	
		TOTAL		101	5.14		703	35.78		238	12.11		923	46.97					1965	
	THIRD				Excluded		39	38.61		19	18.81		43	42.57					101	
		TOTAL					742	37.76		257	13.08		966	49.16					1965	
	FOURTH						190	73.93			Excluded		67	26.07					257	
		TOTAL					932	47.43					1033	52.57					1965	
							Elected													
																				
Dodges Ferry                                                   																				
	FIRST			62	3.68		875	51.96		164	9.74		477	28.33		106	6.29		1684	
	SECOND			5	4.72		29	27.36		42	39.62		30	28.30			Excluded		106	
		TOTAL		67	3.98		904	53.68		206	12.23		507	30.11					1684	
	THIRD				Excluded		32	47.76		14	20.90		21	31.34					67	
		TOTAL					936	55.58		220	13.06		528	31.35					1684	
	FOURTH						168	76.36			Excluded		52	23.64					220	
		TOTAL					1104	65.56					580	34.44					1684	
							Elected													
																				
Dromedary                                                      																				
	FIRST			19	7.39		123	47.86		13	5.06		87	33.85		15	5.84		257	
	SECOND			3	20.00		6	40.00		2	13.33		4	26.67			Excluded		15	
		TOTAL		22	8.56		129	50.19		15	5.84		91	35.41					257	
	THIRD				Excluded		9	40.91		3	13.64		10	45.45					22	
		TOTAL					138	53.70		18	7.00		101	39.30					257	
	FOURTH						10	55.56			Excluded		8	44.44					18	
		TOTAL					148	57.59					109	42.41					257	
							Elected													
																				
Dunalley                                                       																				
	FIRST			22	5.34		194	47.09		34	8.25		152	36.89		10	2.43		412	
	SECOND			0	0.00		5	50.00		3	30.00		2	20.00			Excluded		10	
		TOTAL		22	5.34		199	48.30		37	8.98		154	37.38					412	
	THIRD				Excluded		10	45.45		3	13.64		9	40.91					22	
		TOTAL					209	50.73		40	9.71		163	39.56					412	
	FOURTH						29	72.50			Excluded		11	27.50					40	
		TOTAL					238	57.77					174	42.23					412	
							Elected													
																				
Elizabeth Town                                                 																				
	FIRST			21	6.40		95	28.96		35	10.67		167	50.91		10	3.05		328	
	SECOND			0	0.00		6	60.00		3	30.00		1	10.00			Excluded		10	
		TOTAL		21	6.40		101	30.79		38	11.59		168	51.22					328	
	THIRD				Excluded		10	47.62		1	4.76		10	47.62					21	
		TOTAL					111	33.84		39	11.89		178	54.27					328	
	FOURTH						32	82.05			Excluded		7	17.95					39	
		TOTAL					143	43.60					185	56.40					328	
							Elected													
																				
Ellendale                                                      																				
	FIRST			10	6.41		82	52.56		11	7.05		51	32.69		2	1.28		156	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		10	6.41		83	53.21		11	7.05		52	33.33					156	
	THIRD				Excluded		5	50.00		1	10.00		4	40.00					10	
		TOTAL					88	56.41		12	7.69		56	35.90					156	
	FOURTH						9	75.00			Excluded		3	25.00					12	
		TOTAL					97	62.18					59	37.82					156	
							Elected													
																				
Epping                                                         																				
	FIRST			11	6.47		68	40.00		3	1.76		80	47.06		8	4.71		170	
	SECOND			2	25.00		1	12.50		4	50.00		1	12.50			Excluded		8	
		TOTAL		13	7.65		69	40.59		7	4.12		81	47.65					170	
	THIRD				Excluded		8	61.54		2	15.38		3	23.08					13	
		TOTAL					77	45.29		9	5.29		84	49.41					170	
	FOURTH						3	33.33			Excluded		6	66.67					9	
		TOTAL					80	47.06					90	52.94					170	
							Elected													
																				
Evandale                                                       																				
	FIRST			35	3.38		430	41.47		97	9.35		410	39.54		65	6.27		1037	
	SECOND			8	12.31		17	26.15		23	35.38		17	26.15			Excluded		65	
		TOTAL		43	4.15		447	43.11		120	11.57		427	41.18					1037	
	THIRD				Excluded		17	39.53		7	16.28		19	44.19					43	
		TOTAL					464	44.74		127	12.25		446	43.01					1037	
	FOURTH						86	67.72			Excluded		41	32.28					127	
		TOTAL					550	53.04					487	46.96					1037	
							Elected													
																				
Exeter                                                         																				
	FIRST			44	3.93		422	37.68		97	8.66		474	42.32		83	7.41		1120	
	SECOND			7	8.43		25	30.12		35	42.17		16	19.28			Excluded		83	
		TOTAL		51	4.55		447	39.91		132	11.79		490	43.75					1120	
	THIRD				Excluded		16	31.37		12	23.53		23	45.10					51	
		TOTAL					463	41.34		144	12.86		513	45.80					1120	
	FOURTH						116	80.56			Excluded		28	19.44					144	
		TOTAL					579	51.70					541	48.30					1120	
							Elected													
																				
Fingal                                                         																				
	FIRST			14	5.02		199	71.33		4	1.43		55	19.71		7	2.51		279	
	SECOND			1	14.29		2	28.57		2	28.57		2	28.57			Excluded		7	
		TOTAL		15	5.38		201	72.04		6	2.15		57	20.43					279	
	THIRD				Excluded		7	46.67		7	46.67		1	6.67					15	
		TOTAL					208	74.55		13	4.66		58	20.79					279	
	FOURTH						8	61.54			Excluded		5	38.46					13	
		TOTAL					216	77.42					63	22.58					279	
							Elected													
																				
Forcett                                                        																				
	FIRST			22	6.59		128	38.32		32	9.58		128	38.32		24	7.19		334	
	SECOND			1	4.17		9	37.50		7	29.17		7	29.17			Excluded		24	
		TOTAL		23	6.89		137	41.02		39	11.68		135	40.42					334	
	THIRD				Excluded		9	39.13		5	21.74		9	39.13					23	
		TOTAL					146	43.71		44	13.17		144	43.11					334	
	FOURTH						30	68.18			Excluded		14	31.82					44	
		TOTAL					176	52.69					158	47.31					334	
							Elected													
																				
Frankford                                                      																				
	FIRST			6	4.65		51	39.53		14	10.85		54	41.86		4	3.10		129	
	SECOND			0	0.00		2	50.00		2	50.00		0	0.00			Excluded		4	
		TOTAL		6	4.65		53	41.09		16	12.40		54	41.86					129	
	THIRD				Excluded		4	66.67		2	33.33		0	0.00					6	
		TOTAL					57	44.19		18	13.95		54	41.86					129	
	FOURTH						15	83.33			Excluded		3	16.67					18	
		TOTAL					72	55.81					57	44.19					129	
							Elected													
																				
Glengarry                                                      																				
	FIRST			14	4.84		122	42.21		25	8.65		118	40.83		10	3.46		289	
	SECOND			2	20.00		3	30.00		4	40.00		1	10.00			Excluded		10	
		TOTAL		16	5.54		125	43.25		29	10.03		119	41.18					289	
	THIRD				Excluded		7	43.75		4	25.00		5	31.25					16	
		TOTAL					132	45.67		33	11.42		124	42.91					289	
	FOURTH						24	72.73			Excluded		9	27.27					33	
		TOTAL					156	53.98					133	46.02					289	
							Elected													
																				
Glenora                                                        																				
	FIRST			15	6.88		134	61.47		11	5.05		54	24.77		4	1.83		218	
	SECOND			0	0.00		2	50.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		15	6.88		136	62.39		12	5.50		55	25.23					218	
	THIRD				Excluded		10	66.67		2	13.33		3	20.00					15	
		TOTAL					146	66.97		14	6.42		58	26.61					218	
	FOURTH						11	78.57			Excluded		3	21.43					14	
		TOTAL					157	72.02					61	27.98					218	
							Elected													
																				
Granton                                                        																				
	FIRST			20	6.73		124	41.75		15	5.05		128	43.10		10	3.37		297	
	SECOND			1	10.00		3	30.00		1	10.00		5	50.00			Excluded		10	
		TOTAL		21	7.07		127	42.76		16	5.39		133	44.78					297	
	THIRD				Excluded		11	52.38		2	9.52		8	38.10					21	
		TOTAL					138	46.46		18	6.06		141	47.47					297	
	FOURTH						13	72.22			Excluded		5	27.78					18	
		TOTAL					151	50.84					146	49.16					297	
							Elected													
																				
Gravelly Beach                                                 																				
	FIRST			13	2.11		243	39.51		67	10.89		256	41.63		36	5.85		615	
	SECOND			0	0.00		13	36.11		12	33.33		11	30.56			Excluded		36	
		TOTAL		13	2.11		256	41.63		79	12.85		267	43.41					615	
	THIRD				Excluded		6	46.15		1	7.69		6	46.15					13	
		TOTAL					262	42.60		80	13.01		273	44.39					615	
	FOURTH						55	68.75			Excluded		25	31.25					80	
		TOTAL					317	51.54					298	48.46					615	
							Elected													
																				
Gretna                                                         																				
	FIRST			7	3.98		83	47.16		7	3.98		70	39.77		9	5.11		176	
	SECOND			0	0.00		3	33.33		3	33.33		3	33.33			Excluded		9	
		TOTAL		7	3.98		86	48.86		10	5.68		73	41.48					176	
	THIRD				Excluded		4	57.14		2	28.57		1	14.29					7	
		TOTAL					90	51.14		12	6.82		74	42.05					176	
	FOURTH						6	50.00			Excluded		6	50.00					12	
		TOTAL					96	54.55					80	45.45					176	
							Elected													
																				
Hadspen                                                        																				
	FIRST			33	3.13		460	43.60		53	5.02		453	42.94		56	5.31		1055	
	SECOND			4	7.14		23	41.07		15	26.79		14	25.00			Excluded		56	
		TOTAL		37	3.51		483	45.78		68	6.45		467	44.27					1055	
	THIRD				Excluded		10	27.03		1	2.70		26	70.27					37	
		TOTAL					493	46.73		69	6.54		493	46.73					1055	
	FOURTH						46	66.67			Excluded		23	33.33					69	
		TOTAL					539	51.09					516	48.91					1055	
							Elected													
																				
Hagley                                                         																				
	FIRST			15	4.82		68	21.86		30	9.65		182	58.52		16	5.14		311	
	SECOND			2	12.50		3	18.75		8	50.00		3	18.75			Excluded		16	
		TOTAL		17	5.47		71	22.83		38	12.22		185	59.49					311	
	THIRD				Excluded		5	29.41		4	23.53		8	47.06					17	
		TOTAL					76	24.44		42	13.50		193	62.06					311	
	FOURTH						29	69.05			Excluded		13	30.95					42	
		TOTAL					105	33.76					206	66.24					311	
							Elected													
																				
Hamilton                                                       																				
	FIRST			7	4.29		96	58.90		6	3.68		50	30.67		4	2.45		163	
	SECOND			0	0.00		0	0.00		1	25.00		3	75.00			Excluded		4	
		TOTAL		7	4.29		96	58.90		7	4.29		53	32.52					163	
	THIRD				Excluded		3	42.86		3	42.86		1	14.29					7	
		TOTAL					99	60.74		10	6.13		54	33.13					163	
	FOURTH						2	20.00			Excluded		8	80.00					10	
		TOTAL					101	61.96					62	38.04					163	
							Elected													
																				
Kelso                                                          																				
	FIRST			12	8.05		59	39.60		8	5.37		64	42.95		6	4.03		149	
	SECOND			0	0.00		3	50.00		3	50.00		0	0.00			Excluded		6	
		TOTAL		12	8.05		62	41.61		11	7.38		64	42.95					149	
	THIRD				Excluded		5	41.67		5	41.67		2	16.67					12	
		TOTAL					67	44.97		16	10.74		66	44.30					149	
	FOURTH						11	68.75			Excluded		5	31.25					16	
		TOTAL					78	52.35					71	47.65					149	
							Elected													
																				
Kempton                                                        																				
	FIRST			21	7.61		168	60.87		11	3.99		67	24.28		9	3.26		276	
	SECOND			0	0.00		3	33.33		5	55.56		1	11.11			Excluded		9	
		TOTAL		21	7.61		171	61.96		16	5.80		68	24.64					276	
	THIRD				Excluded		7	33.33		4	19.05		10	47.62					21	
		TOTAL					178	64.49		20	7.25		78	28.26					276	
	FOURTH						14	70.00			Excluded		6	30.00					20	
		TOTAL					192	69.57					84	30.43					276	
							Elected													
																				
Lachlan                                                        																				
	FIRST			8	2.81		144	50.53		47	16.49		73	25.61		13	4.56		285	
	SECOND			1	7.69		3	23.08		5	38.46		4	30.77			Excluded		13	
		TOTAL		9	3.16		147	51.58		52	18.25		77	27.02					285	
	THIRD				Excluded		5	55.56		3	33.33		1	11.11					9	
		TOTAL					152	53.33		55	19.30		78	27.37					285	
	FOURTH						47	85.45			Excluded		8	14.55					55	
		TOTAL					199	69.82					86	30.18					285	
							Elected													
																				
Legana (Lyons)                                                 																				
	FIRST			23	3.05		226	29.93		65	8.61		406	53.77		35	4.64		755	
	SECOND			0	0.00		10	28.57		15	42.86		10	28.57			Excluded		35	
		TOTAL		23	3.05		236	31.26		80	10.60		416	55.10					755	
	THIRD				Excluded		14	60.87		3	13.04		6	26.09					23	
		TOTAL					250	33.11		83	10.99		422	55.89					755	
	FOURTH						56	67.47			Excluded		27	32.53					83	
		TOTAL					306	40.53					449	59.47					755	
							Elected													
																				
Levendale                                                      																				
	FIRST			5	4.46		57	50.89		3	2.68		42	37.50		5	4.46		112	
	SECOND			0	0.00		2	40.00		3	60.00		0	0.00			Excluded		5	
		TOTAL		5	4.46		59	52.68		6	5.36		42	37.50					112	
	THIRD				Excluded		2	40.00		1	20.00		2	40.00					5	
		TOTAL					61	54.46		7	6.25		44	39.29					112	
	FOURTH						7	100.00			Excluded		0	0.00					7	
		TOTAL					68	60.71					44	39.29					112	
							Elected													
																				
Longford                                                       																				
	FIRST			158	7.76		954	46.88		94	4.62		746	36.66		83	4.08		2035	
	SECOND			9	10.84		31	37.35		20	24.10		23	27.71			Excluded		83	
		TOTAL		167	8.21		985	48.40		114	5.60		769	37.79					2035	
	THIRD				Excluded		92	55.09		29	17.37		46	27.54					167	
		TOTAL					1077	52.92		143	7.03		815	40.05					2035	
	FOURTH						95	66.43			Excluded		48	33.57					143	
		TOTAL					1172	57.59					863	42.41					2035	
							Elected													
																				
Lower Barrington                                               																				
	FIRST			17	4.35		118	30.18		30	7.67		208	53.20		18	4.60		391	
	SECOND			0	0.00		7	38.89		8	44.44		3	16.67			Excluded		18	
		TOTAL		17	4.35		125	31.97		38	9.72		211	53.96					391	
	THIRD				Excluded		9	52.94		3	17.65		5	29.41					17	
		TOTAL					134	34.27		41	10.49		216	55.24					391	
	FOURTH						31	75.61			Excluded		10	24.39					41	
		TOTAL					165	42.20					226	57.80					391	
							Elected													
																				
Magra                                                          																				
	FIRST			34	7.56		271	60.22		14	3.11		120	26.67		11	2.44		450	
	SECOND			0	0.00		9	81.82		1	9.09		1	9.09			Excluded		11	
		TOTAL		34	7.56		280	62.22		15	3.33		121	26.89					450	
	THIRD				Excluded		14	41.18		6	17.65		14	41.18					34	
		TOTAL					294	65.33		21	4.67		135	30.00					450	
	FOURTH						10	47.62			Excluded		11	52.38					21	
		TOTAL					304	67.56					146	32.44					450	
							Elected													
																				
Mathinna                                                       																				
	FIRST			13	12.26		71	66.98		10	9.43		12	11.32		0	0.00		106	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		13	12.26		71	66.98		10	9.43		12	11.32					106	
	THIRD				Excluded		6	46.15		3	23.08		4	30.77					13	
		TOTAL					77	72.64		13	12.26		16	15.09					106	
	FOURTH						10	76.92			Excluded		3	23.08					13	
		TOTAL					87	82.08					19	17.92					106	
							Elected													
																				
Maydena                                                        																				
	FIRST			10	6.33		76	48.10		26	16.46		42	26.58		4	2.53		158	
	SECOND			0	0.00		3	75.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		10	6.33		79	50.00		26	16.46		43	27.22					158	
	THIRD				Excluded		4	40.00		0	0.00		6	60.00					10	
		TOTAL					83	52.53		26	16.46		49	31.01					158	
	FOURTH						15	57.69			Excluded		11	42.31					26	
		TOTAL					98	62.03					60	37.97					158	
							Elected													
																				
Meander                                                        																				
	FIRST			19	9.00		50	23.70		48	22.75		87	41.23		7	3.32		211	
	SECOND			0	0.00		2	28.57		2	28.57		3	42.86			Excluded		7	
		TOTAL		19	9.00		52	24.64		50	23.70		90	42.65					211	
	THIRD				Excluded		4	21.05		3	15.79		12	63.16					19	
		TOTAL					56	26.54		53	25.12		102	48.34					211	
	FOURTH						44	83.02			Excluded		9	16.98					53	
		TOTAL					100	47.39					111	52.61					211	
							Elected													
																				
Midway Point                                                   																				
	FIRST			54	3.87		732	52.44		65	4.66		481	34.46		64	4.58		1396	
	SECOND			1	1.56		26	40.63		18	28.13		19	29.69			Excluded		64	
		TOTAL		55	3.94		758	54.30		83	5.95		500	35.82					1396	
	THIRD				Excluded		27	49.09		14	25.45		14	25.45					55	
		TOTAL					785	56.23		97	6.95		514	36.82					1396	
	FOURTH						74	76.29			Excluded		23	23.71					97	
		TOTAL					859	61.53					537	38.47					1396	
							Elected													
																				
Miena                                                          																				
	FIRST			6	5.66		53	50.00		4	3.77		40	37.74		3	2.83		106	
	SECOND			1	33.33		1	33.33		0	0.00		1	33.33			Excluded		3	
		TOTAL		7	6.60		54	50.94		4	3.77		41	38.68					106	
	THIRD				Excluded		4	57.14		3	42.86		0	0.00					7	
		TOTAL					58	54.72		7	6.60		41	38.68					106	
	FOURTH						5	71.43			Excluded		2	28.57					7	
		TOTAL					63	59.43					43	40.57					106	
							Elected													
																				
Mole Creek                                                     																				
	FIRST			33	9.19		111	30.92		33	9.19		167	46.52		15	4.18		359	
	SECOND			3	20.00		4	26.67		4	26.67		4	26.67			Excluded		15	
		TOTAL		36	10.03		115	32.03		37	10.31		171	47.63					359	
	THIRD				Excluded		12	33.33		9	25.00		15	41.67					36	
		TOTAL					127	35.38		46	12.81		186	51.81					359	
	FOURTH						36	78.26			Excluded		10	21.74					46	
		TOTAL					163	45.40					196	54.60					359	
							Elected													
																				
Molesworth                                                     																				
	FIRST			11	4.26		137	53.10		34	13.18		62	24.03		14	5.43		258	
	SECOND			1	7.14		5	35.71		5	35.71		3	21.43			Excluded		14	
		TOTAL		12	4.65		142	55.04		39	15.12		65	25.19					258	
	THIRD				Excluded		4	33.33		4	33.33		4	33.33					12	
		TOTAL					146	56.59		43	16.67		69	26.74					258	
	FOURTH						33	76.74			Excluded		10	23.26					43	
		TOTAL					179	69.38					79	30.62					258	
							Elected													
																				
New Norfolk                                                    																				
	FIRST			117	5.11		1389	60.63		115	5.02		588	25.67		82	3.58		2291	
	SECOND			5	6.10		32	39.02		27	32.93		18	21.95			Excluded		82	
		TOTAL		122	5.33		1421	62.03		142	6.20		606	26.45					2291	
	THIRD				Excluded		57	46.72		27	22.13		38	31.15					122	
		TOTAL					1478	64.51		169	7.38		644	28.11					2291	
	FOURTH						116	68.64			Excluded		53	31.36					169	
