House of Representatives - 2001 Election: Tasmania																												
Distribution of Preferences 																												
By Polling Place																												
																												
Bass																												
				COLLINS			DOCKRAY			BOOTH			LARNER			BENNEWORTH			O'BYRNE			COLGRAVE			HARDMAN			
	THIRD			0	0.00		0	0.00		0	0.00					4	28.57		8	57.14		2	14.29			Excluded		14
		TOTAL		35	3.06		21	1.84		61	5.33					558	48.78		440	38.46		29	2.53					1144
	FOURTH			0	0.00			Excluded		3	14.29					11	52.38		6	28.57		1	4.76					21
		TOTAL		35	3.06					64	5.59					569	49.74		446	38.99		30	2.62					1144
	FIFTH				Excluded					11	31.43					14	40.00		6	17.14		4	11.43					35
		TOTAL								75	6.56					583	50.96		452	39.51		34	2.97					1144
	SIXTH									7	20.59					10	29.41		17	50.00			Excluded					34
		TOTAL								82	7.17					593	51.84		469	41.00								1144
	SEVENTH										Excluded					27	32.93		55	67.07								82
		TOTAL														620	54.20		524	45.80								1144
																			Elected									
																												
Cape Barren Island                                             																												
	FIRST			1	3.33		1	3.33		2	6.67		1	3.33		5	16.67		19	63.33		0	0.00		1	3.33		30
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	3.33		1	3.33		2	6.67					6	20.00		19	63.33		0	0.00		1	3.33		30
	THIRD			0	0.00		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		1	3.33		1	3.33		3	10.00					6	20.00		19	63.33		0	0.00					30
	FOURTH			0	0.00			Excluded		0	0.00					1	100.00		0	0.00		0	0.00					1
		TOTAL		1	3.33					3	10.00					7	23.33		19	63.33		0	0.00					30
	FIFTH				Excluded					1	100.00					0	0.00		0	0.00		0	0.00					1
		TOTAL								4	13.33					7	23.33		19	63.33		0	0.00					30
	SIXTH									0	0.00					0	0.00		0	0.00			Excluded					0
		TOTAL								4	13.33					7	23.33		19	63.33								30
	SEVENTH										Excluded					1	25.00		3	75.00								4
		TOTAL														8	26.67		22	73.33								30
																			Elected									
																												
Cosgrove Park                                                  																												
	FIRST			7	2.07		4	1.18		11	3.25		0	0.00		161	47.63		138	40.83		12	3.55		5	1.48		338
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	2.07		4	1.18		11	3.25					161	47.63		138	40.83		12	3.55		5	1.48		338
	THIRD			3	60.00		0	0.00		0	0.00					0	0.00		1	20.00		1	20.00			Excluded		5
		TOTAL		10	2.96		4	1.18		11	3.25					161	47.63		139	41.12		13	3.85					338
	FOURTH			0	0.00			Excluded		1	25.00					2	50.00		1	25.00		0	0.00					4
		TOTAL		10	2.96					12	3.55					163	48.22		140	41.42		13	3.85					338
	FIFTH				Excluded					6	60.00					3	30.00		0	0.00		1	10.00					10
		TOTAL								18	5.33					166	49.11		140	41.42		14	4.14					338
	SIXTH									5	35.71					3	21.43		6	42.86			Excluded					14
		TOTAL								23	6.80					169	50.00		146	43.20								338
	SEVENTH										Excluded					10	43.48		13	56.52								23
		TOTAL														179	52.96		159	47.04								338
																			Elected									
																												
Derby                                                          																												
	FIRST			7	5.19		3	2.22		9	6.67		0	0.00		56	41.48		56	41.48		2	1.48		2	1.48		135
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	5.19		3	2.22		9	6.67					56	41.48		56	41.48		2	1.48		2	1.48		135
	THIRD			2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		2
		TOTAL		9	6.67		3	2.22		9	6.67					56	41.48		56	41.48		2	1.48					135
	FOURTH			1	33.33			Excluded		0	0.00					2	66.67		0	0.00		0	0.00					3
		TOTAL		10	7.41					9	6.67					58	42.96		56	41.48		2	1.48					135
	FIFTH				Excluded					5	50.00					4	40.00		1	10.00		0	0.00					10
		TOTAL								14	10.37					62	45.93		57	42.22		2	1.48					135
	SIXTH									1	50.00					0	0.00		1	50.00			Excluded					2
		TOTAL								15	11.11					62	45.93		58	42.96								135
	SEVENTH										Excluded					3	20.00		12	80.00								15
		TOTAL														65	48.15		70	51.85								135
																			Elected									
																												
Dilston                                                        																												
	FIRST			28	4.26		12	1.82		63	9.57		3	0.46		291	44.22		234	35.56		18	2.74		9	1.37		658
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		28	4.26		12	1.82		65	9.88					291	44.22		235	35.71		18	2.74		9	1.37		658
	THIRD			3	33.33		2	22.22		0	0.00					1	11.11		0	0.00		3	33.33			Excluded		9
		TOTAL		31	4.71		14	2.13		65	9.88					292	44.38		235	35.71		21	3.19					658
	FOURTH			3	21.43			Excluded		4	28.57					3	21.43		4	28.57		0	0.00					14
		TOTAL		34	5.17					69	10.49					295	44.83		239	36.32		21	3.19					658
	FIFTH				Excluded					14	41.18					10	29.41		7	20.59		3	8.82					34
		TOTAL								83	12.61					305	46.35		246	37.39		24	3.65					658
	SIXTH									12	50.00					9	37.50		3	12.50			Excluded					24
		TOTAL								95	14.44					314	47.72		249	37.84								658
	SEVENTH										Excluded					29	30.53		66	69.47								95
		TOTAL														343	52.13		315	47.87								658
																			Elected									
																												
East Launceston                                                																												
	FIRST			16	1.23		21	1.61		159	12.20		2	0.15		608	46.66		433	33.23		59	4.53		5	0.38		1303
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		16	1.23		21	1.61		160	12.28					609	46.74		433	33.23		59	4.53		5	0.38		1303
	THIRD			0	0.00		0	0.00		0	0.00					4	80.00		0	0.00		1	20.00			Excluded		5
		TOTAL		16	1.23		21	1.61		160	12.28					613	47.05		433	33.23		60	4.60					1303
	FOURTH			1	4.76			Excluded		7	33.33					7	33.33		4	19.05		2	9.52					21
		TOTAL		17	1.30					167	12.82					620	47.58		437	33.54		62	4.76					1303
	FIFTH				Excluded					5	29.41					8	47.06		4	23.53		0	0.00					17
		TOTAL								172	13.20					628	48.20		441	33.84		62	4.76					1303
	SIXTH									30	48.39					14	22.58		18	29.03			Excluded					62
		TOTAL								202	15.50					642	49.27		459	35.23								1303
	SEVENTH										Excluded					61	30.20		141	69.80								202
		TOTAL														703	53.95		600	46.05								1303
																			Elected									
																												
Elphin                                                         																												
	FIRST			18	2.95		12	1.97		60	9.84		2	0.33		245	40.16		243	39.84		23	3.77		7	1.15		610
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		18	2.95		13	2.13		61	10.00					245	40.16		243	39.84		23	3.77		7	1.15		610
	THIRD			2	28.57		0	0.00		0	0.00					1	14.29		1	14.29		3	42.86			Excluded		7
		TOTAL		20	3.28		13	2.13		61	10.00					246	40.33		244	40.00		26	4.26					610
	FOURTH			0	0.00			Excluded		5	38.46					7	53.85		1	7.69		0	0.00					13
		TOTAL		20	3.28					66	10.82					253	41.48		245	40.16		26	4.26					610
	FIFTH				Excluded					12	60.00					3	15.00		2	10.00		3	15.00					20
		TOTAL								78	12.79					256	41.97		247	40.49		29	4.75					610
	SIXTH									15	51.72					1	3.45		13	44.83			Excluded					29
		TOTAL								93	15.25					257	42.13		260	42.62								610
	SEVENTH										Excluded					34	36.56		59	63.44								93
		TOTAL														291	47.70		319	52.30								610
																			Elected									
																												
Emita                                                          																												
	FIRST			8	17.39		1	2.17		2	4.35		0	0.00		20	43.48		11	23.91		4	8.70		0	0.00		46
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	17.39		1	2.17		2	4.35					20	43.48		11	23.91		4	8.70		0	0.00		46
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		8	17.39		1	2.17		2	4.35					20	43.48		11	23.91		4	8.70					46
	FOURTH			0	0.00			Excluded		0	0.00					1	100.00		0	0.00		0	0.00					1
		TOTAL		8	17.39					2	4.35					21	45.65		11	23.91		4	8.70					46
	FIFTH				Excluded					1	12.50					4	50.00		1	12.50		2	25.00					8
		TOTAL								3	6.52					25	54.35		12	26.09		6	13.04					46
	SIXTH									1	16.67					3	50.00		2	33.33			Excluded					6
		TOTAL								4	8.70					28	60.87		14	30.43								46
	SEVENTH										Excluded					1	25.00		3	75.00								4
		TOTAL														29	63.04		17	36.96								46
																			Elected									
																												
Five Ways                                                      																												
	FIRST			39	2.35		22	1.33		105	6.33		5	0.30		692	41.69		721	43.43		58	3.49		18	1.08		1660
	SECOND			1	20.00		0	0.00		1	20.00			Excluded		2	40.00		0	0.00		1	20.00		0	0.00		5
		TOTAL		40	2.41		22	1.33		106	6.39					694	41.81		721	43.43		59	3.55		18	1.08		1660
	THIRD			4	22.22		0	0.00		0	0.00					6	33.33		3	16.67		5	27.78			Excluded		18
		TOTAL		44	2.65		22	1.33		106	6.39					700	42.17		724	43.61		64	3.86					1660
	FOURTH			3	13.64			Excluded		4	18.18					10	45.45		4	18.18		1	4.55					22
		TOTAL		47	2.83					110	6.63					710	42.77		728	43.86		65	3.92					1660
	FIFTH				Excluded					19	40.43					8	17.02		14	29.79		6	12.77					47
		TOTAL								129	7.77					718	43.25		742	44.70		71	4.28					1660
	SIXTH									20	28.17					19	26.76		32	45.07			Excluded					71
		TOTAL								149	8.98					737	44.40		774	46.63								1660
	SEVENTH										Excluded					55	36.91		94	63.09								149
		TOTAL														792	47.71		868	52.29								1660
																			Elected									
																												
General Hospital                                               																												
	FIRST			10	2.05		7	1.43		58	11.89		1	0.20		176	36.07		209	42.83		20	4.10		7	1.43		488
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		10	2.05		7	1.43		59	12.09					176	36.07		209	42.83		20	4.10		7	1.43		488
	THIRD			1	14.29		0	0.00		1	14.29					1	14.29		3	42.86		1	14.29			Excluded		7
		TOTAL		11	2.25		7	1.43		60	12.30					177	36.27		212	43.44		21	4.30					488
	FOURTH			2	28.57			Excluded		3	42.86					2	28.57		0	0.00		0	0.00					7
		TOTAL		13	2.66					63	12.91					179	36.68		212	43.44		21	4.30					488
	FIFTH				Excluded					4	30.77					4	30.77		2	15.38		3	23.08					13
		TOTAL								67	13.73					183	37.50		214	43.85		24	4.92					488
	SIXTH									7	29.17					5	20.83		12	50.00			Excluded					24
		TOTAL								74	15.16					188	38.52		226	46.31								488
	SEVENTH										Excluded					25	33.78		49	66.22								74
		TOTAL														213	43.65		275	56.35								488
																			Elected									
																												
George Town                                                    																												
	FIRST			97	5.14		15	0.80		80	4.24		6	0.32		500	26.51		1130	59.92		45	2.39		13	0.69		1886
	SECOND			0	0.00		0	0.00		2	33.33			Excluded		1	16.67		1	16.67		1	16.67		1	16.67		6
		TOTAL		97	5.14		15	0.80		82	4.35					501	26.56		1131	59.97		46	2.44		14	0.74		1886
	THIRD			3	21.43		0	0.00		0	0.00					1	7.14		4	28.57		6	42.86			Excluded		14
		TOTAL		100	5.30		15	0.80		82	4.35					502	26.62		1135	60.18		52	2.76					1886
	FOURTH			4	26.67			Excluded		1	6.67					5	33.33		3	20.00		2	13.33					15
		TOTAL		104	5.51					83	4.40					507	26.88		1138	60.34		54	2.86					1886
	FIFTH				Excluded					53	50.96					17	16.35		18	17.31		16	15.38					104
		TOTAL								136	7.21					524	27.78		1156	61.29		70	3.71					1886
	SIXTH									25	35.71					11	15.71		34	48.57			Excluded					70
		TOTAL								161	8.54					535	28.37		1190	63.10								1886
	SEVENTH										Excluded					84	52.17		77	47.83								161
		TOTAL														619	32.82		1267	67.18								1886
																			Elected									
																												
George Town South                                              																												
	FIRST			27	3.06		9	1.02		35	3.96		1	0.11		267	30.24		522	59.12		17	1.93		5	0.57		883
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		27	3.06		9	1.02		36	4.08					267	30.24		522	59.12		17	1.93		5	0.57		883
	THIRD			3	60.00		1	20.00		0	0.00					0	0.00		0	0.00		1	20.00			Excluded		5
		TOTAL		30	3.40		10	1.13		36	4.08					267	30.24		522	59.12		18	2.04					883
	FOURTH			3	30.00			Excluded		2	20.00					2	20.00		0	0.00		3	30.00					10
		TOTAL		33	3.74					38	4.30					269	30.46		522	59.12		21	2.38					883
	FIFTH				Excluded					16	48.48					7	21.21		4	12.12		6	18.18					33
		TOTAL								54	6.12					276	31.26		526	59.57		27	3.06					883
	SIXTH									8	29.63					6	22.22		13	48.15			Excluded					27
		TOTAL								62	7.02					282	31.94		539	61.04								883
	SEVENTH										Excluded					30	48.39		32	51.61								62
		TOTAL														312	35.33		571	64.67								883
																			Elected									
																												
Gladstone                                                      																												
	FIRST			5	2.98		3	1.79		3	1.79		0	0.00		55	32.74		88	52.38		3	1.79		11	6.55		168
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	2.98		3	1.79		3	1.79					55	32.74		88	52.38		3	1.79		11	6.55		168
	THIRD			3	27.27		1	9.09		0	0.00					1	9.09		2	18.18		4	36.36			Excluded		11
		TOTAL		8	4.76		4	2.38		3	1.79					56	33.33		90	53.57		7	4.17					168
	FOURTH			0	0.00			Excluded		3	75.00					0	0.00		0	0.00		1	25.00					4
		TOTAL		8	4.76					6	3.57					56	33.33		90	53.57		8	4.76					168
	FIFTH				Excluded					3	37.50					1	12.50		3	37.50		1	12.50					8
		TOTAL								9	5.36					57	33.93		93	55.36		9	5.36					168
	SIXTH									2	22.22					3	33.33		4	44.44			Excluded					9
		TOTAL								11	6.55					60	35.71		97	57.74								168
	SEVENTH										Excluded					8	72.73		3	27.27								11
		TOTAL														68	40.48		100	59.52								168
																			Elected									
																												
Hillwood                                                       																												
	FIRST			16	4.22		7	1.85		26	6.86		1	0.26		166	43.80		143	37.73		13	3.43		7	1.85		379
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		16	4.22		7	1.85		26	6.86					167	44.06		143	37.73		13	3.43		7	1.85		379
	THIRD			0	0.00		1	14.29		1	14.29					0	0.00		1	14.29		4	57.14			Excluded		7
		TOTAL		16	4.22		8	2.11		27	7.12					167	44.06		144	37.99		17	4.49					379
	FOURTH			1	12.50			Excluded		2	25.00					3	37.50		2	25.00		0	0.00					8
		TOTAL		17	4.49					29	7.65					170	44.85		146	38.52		17	4.49					379
	FIFTH				Excluded					5	29.41					4	23.53		7	41.18		1	5.88					17
		TOTAL								34	8.97					174	45.91		153	40.37		18	4.75					379
	SIXTH									4	22.22					4	22.22		10	55.56			Excluded					18
		TOTAL								38	10.03					178	46.97		163	43.01								379
	SEVENTH										Excluded					16	42.11		22	57.89								38
		TOTAL														194	51.19		185	48.81								379
																			Elected									
																												
Inveresk                                                       																												
	FIRST			41	3.84		11	1.03		78	7.31		5	0.47		247	23.15		634	59.42		32	3.00		19	1.78		1067
	SECOND			2	40.00		0	0.00		1	20.00			Excluded		1	20.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		43	4.03		11	1.03		79	7.40					248	23.24		635	59.51		32	3.00		19	1.78		1067
	THIRD			4	21.05		0	0.00		3	15.79					2	10.53		5	26.32		5	26.32			Excluded		19
		TOTAL		47	4.40		11	1.03		82	7.69					250	23.43		640	59.98		37	3.47					1067
	FOURTH			3	27.27			Excluded		2	18.18					5	45.45		1	9.09		0	0.00					11
		TOTAL		50	4.69					84	7.87					255	23.90		641	60.07		37	3.47					1067
	FIFTH				Excluded					28	56.00					10	20.00		10	20.00		2	4.00					50
		TOTAL								112	10.50					265	24.84		651	61.01		39	3.66					1067
	SIXTH									18	46.15					9	23.08		12	30.77			Excluded					39
		TOTAL								130	12.18					274	25.68		663	62.14								1067
	SEVENTH										Excluded					51	39.23		79	60.77								130
		TOTAL														325	30.46		742	69.54								1067
																			Elected									
																												
Invermay                                                       																												
	FIRST			29	3.30		15	1.71		56	6.38		3	0.34		280	31.89		448	51.03		34	3.87		13	1.48		878
	SECOND			1	33.33		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		30	3.42		15	1.71		58	6.61					280	31.89		448	51.03		34	3.87		13	1.48		878
	THIRD			4	30.77		1	7.69		2	15.38					2	15.38		1	7.69		3	23.08			Excluded		13
		TOTAL		34	3.87		16	1.82		60	6.83					282	32.12		449	51.14		37	4.21					878
	FOURTH			1	6.25			Excluded		3	18.75					7	43.75		2	12.50		3	18.75					16
		TOTAL		35	3.99					63	7.18					289	32.92		451	51.37		40	4.56					878
	FIFTH				Excluded					16	45.71					6	17.14		7	20.00		6	17.14					35
		TOTAL								79	9.00					295	33.60		458	52.16		46	5.24					878
	SIXTH									23	50.00					6	13.04		17	36.96			Excluded					46
		TOTAL								102	11.62					301	34.28		475	54.10								878
	SEVENTH										Excluded					49	48.04		53	51.96								102
		TOTAL														350	39.86		528	60.14								878
																			Elected									
																												
Karoola                                                        																												
	FIRST			5	1.94		16	6.20		7	2.71		0	0.00		116	44.96		104	40.31		5	1.94		5	1.94		258
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	1.94		16	6.20		7	2.71					116	44.96		104	40.31		5	1.94		5	1.94		258
	THIRD			1	20.00		1	20.00		0	0.00					0	0.00		1	20.00		2	40.00			Excluded		5
		TOTAL		6	2.33		17	6.59		7	2.71					116	44.96		105	40.70		7	2.71					258
	FOURTH			0	0.00			Excluded		7	41.18					7	41.18		3	17.65		0	0.00					17
		TOTAL		6	2.33					14	5.43					123	47.67		108	41.86		7	2.71					258
	FIFTH				Excluded					3	50.00					2	33.33		1	16.67		0	0.00					6
		TOTAL								17	6.59					125	48.45		109	42.25		7	2.71					258
	SIXTH									2	28.57					0	0.00		5	71.43			Excluded					7
		TOTAL								19	7.36					125	48.45		114	44.19								258
	SEVENTH										Excluded					10	52.63		9	47.37								19
		TOTAL														135	52.33		123	47.67								258
																			Elected									
																												
Kings Meadows                                                  																												
	FIRST			43	2.70		15	0.94		72	4.53		3	0.19		662	41.61		731	45.95		51	3.21		14	0.88		1591
	SECOND			0	0.00		0	0.00		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		3
		TOTAL		43	2.70		15	0.94		73	4.59					662	41.61		732	46.01		51	3.21		15	0.94		1591
	THIRD			3	20.00		0	0.00		0	0.00					2	13.33		1	6.67		9	60.00			Excluded		15
		TOTAL		46	2.89		15	0.94		73	4.59					664	41.73		733	46.07		60	3.77					1591
	FOURTH			3	20.00			Excluded		2	13.33					6	40.00		3	20.00		1	6.67					15
		TOTAL		49	3.08					75	4.71					670	42.11		736	46.26		61	3.83					1591
	FIFTH				Excluded					17	34.69					17	34.69		11	22.45		4	8.16					49
		TOTAL								92	5.78					687	43.18		747	46.95		65	4.09					1591
	SIXTH									27	41.54					13	20.00		25	38.46			Excluded					65
		TOTAL								119	7.48					700	44.00		772	48.52								1591
	SEVENTH										Excluded					45	37.82		74	62.18								119
		TOTAL														745	46.83		846	53.17								1591
																			Elected									
																												
Lady Barron                                                    																												
	FIRST			14	11.20		1	0.80		10	8.00		2	1.60		51	40.80		43	34.40		3	2.40		1	0.80		125
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		14	11.20		2	1.60		11	8.80					51	40.80		43	34.40		3	2.40		1	0.80		125
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		14	11.20		2	1.60		11	8.80					51	40.80		44	35.20		3	2.40					125
	FOURTH			0	0.00			Excluded		2	100.00					0	0.00		0	0.00		0	0.00					2
		TOTAL		14	11.20					13	10.40					51	40.80		44	35.20		3	2.40					125
	FIFTH				Excluded					7	50.00					6	42.86		1	7.14		0	0.00					14
		TOTAL								20	16.00					57	45.60		45	36.00		3	2.40					125
	SIXTH									1	33.33					0	0.00		2	66.67			Excluded					3
		TOTAL								21	16.80					57	45.60		47	37.60								125
	SEVENTH										Excluded					7	33.33		14	66.67								21
		TOTAL														64	51.20		61	48.80								125
																			Elected									
																												
Launceston                                                     																												
	FIRST			17	2.34		12	1.65		90	12.40		1	0.14		269	37.05		276	38.02		52	7.16		9	1.24		726
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		17	2.34		12	1.65		91	12.53					269	37.05		276	38.02		52	7.16		9	1.24		726
	THIRD			3	33.33		0	0.00		0	0.00					1	11.11		1	11.11		4	44.44			Excluded		9
		TOTAL		20	2.75		12	1.65		91	12.53					270	37.19		277	38.15		56	7.71					726
	FOURTH			0	0.00			Excluded		4	33.33					5	41.67		2	16.67		1	8.33					12
		TOTAL		20	2.75					95	13.09					275	37.88		279	38.43		57	7.85					726
	FIFTH				Excluded					9	45.00					5	25.00		5	25.00		1	5.00					20
		TOTAL								104	14.33					280	38.57		284	39.12		58	7.99					726
	SIXTH									31	53.45					11	18.97		16	27.59			Excluded					58
		TOTAL								135	18.60					291	40.08		300	41.32								726
	SEVENTH										Excluded					35	25.93		100	74.07								135
		TOTAL														326	44.90		400	55.10								726
																			Elected									
																												
Launceston Central                                             																												
	FIRST			11	1.09		26	2.57		136	13.43		4	0.39		437	43.14		326	32.18		63	6.22		10	0.99		1013
	SECOND			2	50.00		1	25.00		0	0.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		13	1.28		27	2.67		136	13.43					437	43.14		326	32.18		64	6.32		10	0.99		1013
	THIRD			0	0.00		2	20.00		0	0.00					2	20.00		3	30.00		3	30.00			Excluded		10
		TOTAL		13	1.28		29	2.86		136	13.43					439	43.34		329	32.48		67	6.61					1013
	FOURTH			3	10.34			Excluded		9	31.03					10	34.48		3	10.34		4	13.79					29
		TOTAL		16	1.58					145	14.31					449	44.32		332	32.77		71	7.01					1013
	FIFTH				Excluded					4	25.00					6	37.50		3	18.75		3	18.75					16
		TOTAL								149	14.71					455	44.92		335	33.07		74	7.31					1013
	SIXTH									32	43.24					13	17.57		29	39.19			Excluded					74
		TOTAL								181	17.87					468	46.20		364	35.93								1013
	SEVENTH										Excluded					47	25.97		134	74.03								181
		TOTAL														515	50.84		498	49.16								1013
																			Elected									
																												
Lebrina                                                        																												
	FIRST			6	2.79		9	4.19		22	10.23		1	0.47		80	37.21		88	40.93		3	1.40		6	2.79		215
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		6	2.79		10	4.65		22	10.23					80	37.21		88	40.93		3	1.40		6	2.79		215
	THIRD			3	50.00		0	0.00		2	33.33					0	0.00		0	0.00		1	16.67			Excluded		6
		TOTAL		9	4.19		10	4.65		24	11.16					80	37.21		88	40.93		4	1.86					215
	FOURTH			0	0.00			Excluded		4	40.00					4	40.00		1	10.00		1	10.00					10
		TOTAL		9	4.19					28	13.02					84	39.07		89	41.40		5	2.33					215
	FIFTH				Excluded					1	11.11					4	44.44		3	33.33		1	11.11					9
		TOTAL								29	13.49					88	40.93		92	42.79		6	2.79					215
	SIXTH									0	0.00					4	66.67		2	33.33			Excluded					6
		TOTAL								29	13.49					92	42.79		94	43.72								215
	SEVENTH										Excluded					10	34.48		19	65.52								29
		TOTAL														102	47.44		113	52.56								215
																			Elected									
																												
Legana (Bass)                                                  																												
	FIRST			31	2.32		25	1.87		85	6.35		2	0.15		676	50.52		428	31.99		73	5.46		18	1.35		1338
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		31	2.32		26	1.94		85	6.35					676	50.52		429	32.06		73	5.46		18	1.35		1338
	THIRD			5	27.78		0	0.00		2	11.11					4	22.22		2	11.11		5	27.78			Excluded		18
		TOTAL		36	2.69		26	1.94		87	6.50					680	50.82		431	32.21		78	5.83					1338
	FOURTH			5	19.23			Excluded		5	19.23					9	34.62		6	23.08		1	3.85					26
		TOTAL		41	3.06					92	6.88					689	51.49		437	32.66		79	5.90					1338
	FIFTH				Excluded					12	29.27					16	39.02		11	26.83		2	4.88					41
		TOTAL								104	7.77					705	52.69		448	33.48		81	6.05					1338
	SIXTH									35	43.21					17	20.99		29	35.80			Excluded					81
		TOTAL								139	10.39					722	53.96		477	35.65								1338
	SEVENTH										Excluded					49	35.25		90	64.75								139
		TOTAL														771	57.62		567	42.38								1338
																			Elected									
																												
Lilydale                                                       																												
	FIRST			35	5.43		66	10.25		65	10.09		0	0.00		210	32.61		239	37.11		22	3.42		7	1.09		644
