House of Representatives - 2001 Election: Tasmania																
Distribution of Preferences																
 By Polling Place																
																
Denison																
				KERR			EDWARDS			HAMPSON			STEVEN			
		TOTAL		1309	72.64								493	27.36		1802
				Elected												
																
Claremont                                                      																
	FIRST			915	64.48		57	4.02		55	3.88		392	27.63		1419
	SECOND			24	42.11			Excluded		15	26.32		18	31.58		57
		TOTAL		939	66.17					70	4.93		410	28.89		1419
	THIRD			49	70.00						Excluded		21	30.00		70
		TOTAL		988	69.63								431	30.37		1419
				Elected												
																
Collinsvale                                                    																
	FIRST			224	63.28		18	5.08		43	12.15		69	19.49		354
	SECOND			7	38.89			Excluded		10	55.56		1	5.56		18
		TOTAL		231	65.25					53	14.97		70	19.77		354
	THIRD			44	83.02						Excluded		9	16.98		53
		TOTAL		275	77.68								79	22.32		354
				Elected												
																
Cornelian Bay                                                  																
	FIRST			269	47.53		29	5.12		58	10.25		210	37.10		566
	SECOND			13	44.83			Excluded		12	41.38		4	13.79		29
		TOTAL		282	49.82					70	12.37		214	37.81		566
	THIRD			54	77.14						Excluded		16	22.86		70
		TOTAL		336	59.36								230	40.64		566
				Elected												
																
Cosgrove                                                       																
	FIRST			499	62.61		41	5.14		53	6.65		204	25.60		797
	SECOND			21	51.22			Excluded		12	29.27		8	19.51		41
		TOTAL		520	65.24					65	8.16		212	26.60		797
	THIRD			48	73.85						Excluded		17	26.15		65
		TOTAL		568	71.27								229	28.73		797
				Elected												
																
Creek Road                                                     																
	FIRST			630	47.16		71	5.31		127	9.51		508	38.02		1336
	SECOND			23	32.39			Excluded		38	53.52		10	14.08		71
		TOTAL		653	48.88					165	12.35		518	38.77		1336
	THIRD			120	72.73						Excluded		45	27.27		165
		TOTAL		773	57.86								563	42.14		1336
				Elected												
																
Cross Street                                                   																
	FIRST			930	52.54		124	7.01		184	10.40		532	30.06		1770
	SECOND			52	41.94			Excluded		57	45.97		15	12.10		124
		TOTAL		982	55.48					241	13.62		547	30.90		1770
	THIRD			196	81.33						Excluded		45	18.67		241
		TOTAL		1178	66.55								592	33.45		1770
				Elected												
																
Dynnyrne                                                       																
	FIRST			434	38.82		115	10.29		188	16.82		381	34.08		1118
	SECOND			32	27.83			Excluded		64	55.65		19	16.52		115
		TOTAL		466	41.68					252	22.54		400	35.78		1118
	THIRD			201	79.76						Excluded		51	20.24		252
		TOTAL		667	59.66								451	40.34		1118
				Elected												
																
Elizabeth Street                                               																
	FIRST			349	43.90		87	10.94		179	22.52		180	22.64		795
	SECOND			32	36.78			Excluded		43	49.43		12	13.79		87
		TOTAL		381	47.92					222	27.92		192	24.15		795
	THIRD			187	84.23						Excluded		35	15.77		222
		TOTAL		568	71.45								227	28.55		795
				Elected												
																
Elwick                                                         																
	FIRST			278	72.77		13	3.40		11	2.88		80	20.94		382
	SECOND			4	30.77			Excluded		6	46.15		3	23.08		13
		TOTAL		282	73.82					17	4.45		83	21.73		382
	THIRD			10	58.82						Excluded		7	41.18		17
		TOTAL		292	76.44								90	23.56		382
				Elected												
																
Fern Tree                                                      																
	FIRST			187	42.50		46	10.45		121	27.50		86	19.55		440
	SECOND			16	34.78			Excluded		25	54.35		5	10.87		46
		TOTAL		203	46.14					146	33.18		91	20.68		440
	THIRD			122	83.56						Excluded		24	16.44		146
		TOTAL		325	73.86								115	26.14		440
				Elected												
																
Glenorchy                                                      																
	FIRST			1737	62.96		137	4.97		117	4.24		768	27.84		2759
	SECOND			53	38.69			Excluded		53	38.69		31	22.63		137
		TOTAL		1790	64.88					170	6.16		799	28.96		2759
	THIRD			113	66.47						Excluded		57	33.53		170
		TOTAL		1903	68.97								856	31.03		2759
				Elected												
																
Glenorchy East                                                 																
	FIRST			1295	63.82		92	4.53		111	5.47		531	26.17		2029
	SECOND			44	47.83			Excluded		36	39.13		12	13.04		92
		TOTAL		1339	65.99					147	7.24		543	26.76		2029
	THIRD			111	75.51						Excluded		36	24.49		147
		TOTAL		1450	71.46								579	28.54		2029
				Elected												
																
Goodwood                                                       																
	FIRST			641	72.18		50	5.63		37	4.17		160	18.02		888
	SECOND			14	28.00			Excluded		27	54.00		9	18.00		50
		TOTAL		655	73.76					64	7.21		169	19.03		888
	THIRD			44	68.75						Excluded		20	31.25		64
		TOTAL		699	78.72								189	21.28		888
				Elected												
																
Hill Street                                                    																
	FIRST			318	47.53		57	8.52		171	25.56		123	18.39		669
	SECOND			18	31.58			Excluded		35	61.40		4	7.02		57
		TOTAL		336	50.22					206	30.79		127	18.98		669
	THIRD			174	84.47						Excluded		32	15.53		206
		TOTAL		510	76.23								159	23.77		669
				Elected												
																
Hobart                                                         																
	FIRST			290	41.55		63	9.03		171	24.50		174	24.93		698
	SECOND			17	26.98			Excluded		34	53.97		12	19.05		63
		TOTAL		307	43.98					205	29.37		186	26.65		698
	THIRD			165	80.49						Excluded		40	19.51		205
		TOTAL		472	67.62								226	32.38		698
				Elected												
																
Hobart Central                                                 																
	FIRST			106	45.49		18	7.73		48	20.60		61	26.18		233
	SECOND			3	16.67			Excluded		12	66.67		3	16.67		18
		TOTAL		109	46.78					60	25.75		64	27.47		233
	THIRD			45	75.00						Excluded		15	25.00		60
		TOTAL		154	66.09								79	33.91		233
				Elected												
																
Hobart North                                                   																
	FIRST			343	54.88		41	6.56		78	12.48		163	26.08		625
	SECOND			16	39.02			Excluded		17	41.46		8	19.51		41
		TOTAL		359	57.44					95	15.20		171	27.36		625
	THIRD			81	85.26						Excluded		14	14.74		95
		TOTAL		440	70.40								185	29.60		625
				Elected												
																
Hobart South                                                   																
	FIRST			755	44.78		130	7.71		342	20.28		459	27.22		1686
	SECOND			34	26.15			Excluded		83	63.85		13	10.00		130
		TOTAL		789	46.80					425	25.21		472	28.00		1686
	THIRD			365	85.88						Excluded		60	14.12		425
		TOTAL		1154	68.45								532	31.55		1686
				Elected												
																
Hobart West                                                    																
	FIRST			408	46.31		82	9.31		202	22.93		189	21.45		881
	SECOND			20	24.39			Excluded		52	63.41		10	12.20		82
		TOTAL		428	48.58					254	28.83		199	22.59		881
	THIRD			223	87.80						Excluded		31	12.20		254
		TOTAL		651	73.89								230	26.11		881
				Elected												
																
Lansdowne Crescent                                             																
	FIRST			370	45.23		78	9.54		146	17.85		224	27.38		818
	SECOND			20	25.64			Excluded		53	67.95		5	6.41		78
		TOTAL		390	47.68					199	24.33		229	28.00		818
	THIRD			168	84.42						Excluded		31	15.58		199
		TOTAL		558	68.22								260	31.78		818
				Elected												
																
Lenah Valley                                                   																
	FIRST			763	47.24		122	7.55		142	8.79		588	36.41		1615
	SECOND			38	31.15			Excluded		60	49.18		24	19.67		122
		TOTAL		801	49.60					202	12.51		612	37.89		1615
	THIRD			146	72.28						Excluded		56	27.72		202
		TOTAL		947	58.64								668	41.36		1615
				Elected												
																
Lower Sandy Bay                                                																
	FIRST			566	26.91		137	6.51		199	9.46		1201	57.11		2103
	SECOND			50	36.50			Excluded		58	42.34		29	21.17		137
		TOTAL		616	29.29					257	12.22		1230	58.49		2103
	THIRD			179	69.65						Excluded		78	30.35		257
		TOTAL		795	37.80								1308	62.20		2103
				Elected												
																
Lutana                                                         																
	FIRST			624	63.80		37	3.78		46	4.70		271	27.71		978
	SECOND			18	48.65			Excluded		15	40.54		4	10.81		37
		TOTAL		642	65.64					61	6.24		275	28.12		978
	THIRD			39	63.93						Excluded		22	36.07		61
		TOTAL		681	69.63								297	30.37		978
				Elected												
																
Montrose                                                       																
	FIRST			288	60.63		22	4.63		12	2.53		153	32.21		475
	SECOND			8	36.36			Excluded		6	27.27		8	36.36		22
		TOTAL		296	62.32					18	3.79		161	33.89		475
	THIRD			13	72.22						Excluded		5	27.78		18
		TOTAL		309	65.05								166	34.95		475
				Elected												
																
Moonah                                                         																
	FIRST			1198	58.55		107	5.23		124	6.06		617	30.16		2046
	SECOND			41	38.32			Excluded		45	42.06		21	19.63		107
		TOTAL		1239	60.56					169	8.26		638	31.18		2046
	THIRD			125	73.96						Excluded		44	26.04		169
		TOTAL		1364	66.67								682	33.33		2046
				Elected												
																
Moonah North                                                   																
	FIRST			580	59.30		67	6.85		55	5.62		276	28.22		978
	SECOND			21	31.34			Excluded		33	49.25		13	19.40		67
		TOTAL		601	61.45					88	9.00		289	29.55		978
	THIRD			62	70.45						Excluded		26	29.55		88
		TOTAL		663	67.79								315	32.21		978
				Elected												
																
Mount Nelson                                                   																
	FIRST			475	39.72		90	7.53		151	12.63		480	40.13		1196
	SECOND			26	28.89			Excluded		46	51.11		18	20.00		90
		TOTAL		501	41.89					197	16.47		498	41.64		1196
	THIRD			145	73.60						Excluded		52	26.40		197
		TOTAL		646	54.01								550	45.99		1196
				Elected												
																
Mount Stuart                                                   																
	FIRST			357	44.91		69	8.68		76	9.56		293	36.86		795
	SECOND			28	40.58			Excluded		28	40.58		13	18.84		69
		TOTAL		385	48.43					104	13.08		306	38.49		795
	THIRD			84	80.77						Excluded		20	19.23		104
		TOTAL		469	58.99								326	41.01		795
				Elected												
																
New Town                                                       																
	FIRST			377	44.25		62	7.28		124	14.55		289	33.92		852
	SECOND			24	38.71			Excluded		29	46.77		9	14.52		62
		TOTAL		401	47.07					153	17.96		298	34.98		852
	THIRD			119	77.78						Excluded		34	22.22		153
		TOTAL		520	61.03								332	38.97		852
				Elected												
																
Newdegate                                                      																
	FIRST			600	49.18		107	8.77		163	13.36		350	28.69		1220
	SECOND			41	38.32			Excluded		51	47.66		15	14.02		107
		TOTAL		641	52.54					214	17.54		365	29.92		1220
	THIRD			184	85.98						Excluded		30	14.02		214
		TOTAL		825	67.62								395	32.38		1220
				Elected												
																
Queenborough                                                   																
	FIRST			233	45.87		33	6.50		76	14.96		166	32.68		508
	SECOND			14	42.42			Excluded		16	48.48		3	9.09		33
		TOTAL		247	48.62					92	18.11		169	33.27		508
	THIRD			78	84.78						Excluded		14	15.22		92
		TOTAL		325	63.98								183	36.02		508
				Elected												
																
Roseneath                                                      																
	FIRST			251	74.93		8	2.39		19	5.67		57	17.01		335
	SECOND			5	62.50			Excluded		2	25.00		1	12.50		8
		TOTAL		256	76.42					21	6.27		58	17.31		335
	THIRD			12	57.14						Excluded		9	42.86		21
		TOTAL		268	80.00								67	20.00		335
				Elected												
																
Rosetta                                                        																
	FIRST			421	50.97		46	5.57		42	5.08		317	38.38		826
	SECOND			12	26.09			Excluded		24	52.17		10	21.74		46
		TOTAL		433	52.42					66	7.99		327	39.59		826
	THIRD			47	71.21						Excluded		19	28.79		66
		TOTAL		480	58.11								346	41.89		826
				Elected												
																
Sandy Bay                                                      																
	FIRST			586	34.63		138	8.16		240	14.18		728	43.03		1692
	SECOND			42	30.43			Excluded		73	52.90		23	16.67		138
		TOTAL		628	37.12					313	18.50		751	44.39		1692
	THIRD			233	74.44						Excluded		80	25.56		313
		TOTAL		861	50.89								831	49.11		1692
				Elected												
																
Sandy Bay Beach                                                																
	FIRST			292	30.48		54	5.64		76	7.93		536	55.95		958
	SECOND			11	20.37			Excluded		28	51.85		15	27.78		54
		TOTAL		303	31.63					104	10.86		551	57.52		958
	THIRD			67	64.42						Excluded		37	35.58		104
		TOTAL		370	38.62								588	61.38		958
				Elected												
																
St Johns Park                                                  																
	FIRST			191	54.73		33	9.46		38	10.89		87	24.93		349
	SECOND			10	30.30			Excluded		18	54.55		5	15.15		33
		TOTAL		201	57.59					56	16.05		92	26.36		349
	THIRD			43	76.79						Excluded		13	23.21		56
		TOTAL		244	69.91								105	30.09		349
				Elected												
																
St Peters                                                      																
	FIRST			192	45.71		38	9.05		89	21.19		101	24.05		420
	SECOND			13	34.21			Excluded		19	50.00		6	15.79		38
		TOTAL		205	48.81					108	25.71		107	25.48		420
	THIRD			85	78.70						Excluded		23	21.30		108
		TOTAL		290	69.05								130	30.95		420
				Elected												
																
Swan                                                           																
	FIRST			303	50.08		59	9.75		111	18.35		132	21.82		605
	SECOND			13	22.03			Excluded		36	61.02		10	16.95		59
		TOTAL		316	52.23					147	24.30		142	23.47		605
	THIRD			132	89.80						Excluded		15	10.20		147
		TOTAL		448	74.05								157	25.95		605
				Elected												
																
Taroona                                                        																
	FIRST			591	39.14		129	8.54		226	14.97		564	37.35		1510
	SECOND			38	29.46			Excluded		68	52.71		23	17.83		129
		TOTAL		629	41.66					294	19.47		587	38.87		1510
	THIRD			228	77.55						Excluded		66	22.45		294
		TOTAL		857	56.75								653	43.25		1510
				Elected												
																
Tolosa                                                         																
	FIRST			1051	66.23		79	4.98		46	2.90		411	25.90		1587
	SECOND			32	40.51			Excluded		29	36.71		18	22.78		79
		TOTAL		1083	68.24					75	4.73		429	27.03		1587
	THIRD			52	69.33						Excluded		23	30.67		75
		TOTAL		1135	71.52								452	28.48		1587
				Elected												
																
Waimea Heights                                                 																
	FIRST			209	29.69		46	6.53		63	8.95		386	54.83		704
	SECOND			13	28.26			Excluded		27	58.70		6	13.04		46
		TOTAL		222	31.53					90	12.78		392	55.68		704
	THIRD			65	72.22						Excluded		25	27.78		90
		TOTAL		287	40.77								417	59.23		704
				Elected												
																
Windermere                                                     																
	FIRST			712	64.73		50	4.55		29	2.64		309	28.09		1100
	SECOND			24	48.00			Excluded		23	46.00		3	6.00		50
		TOTAL		736	66.91					52	4.73		312	28.36		1100
	THIRD			36	69.23						Excluded		16	30.77		52
		TOTAL		772	70.18								328	29.82		1100
				Elected												
																
Special Hospital Team 1                                        																
	FIRST			97	76.98		4	3.17		2	1.59		23	18.25		126
	SECOND			2	50.00			Excluded		1	25.00		1	25.00		4
		TOTAL		99	78.57					3	2.38		24	19.05		126
	THIRD			3	100.00						Excluded		0	0.00		3
		TOTAL		102	80.95								24	19.05		126
				Elected												
																
Special Hospital Team 2                                        																
	FIRST			53	44.54		7	5.88		4	3.36		55	46.22		119
	SECOND			4	57.14			Excluded		2	28.57		1	14.29		7
		TOTAL		57	47.90					6	5.04		56	47.06		119
	THIRD			3	50.00						Excluded		3	50.00		6
		TOTAL		60	50.42								59	49.58		119
				Elected												
																
Special Hospital Team 3                                        																
	FIRST			71	42.77		6	3.61		4	2.41		85	51.20		166
	SECOND			2	33.33			Excluded		2	33.33		2	33.33		6
		TOTAL		73	43.98					6	3.61		87	52.41		166
	THIRD			3	50.00						Excluded		3	50.00		6
		TOTAL		76	45.78								90	54.22		166
				Elected												
																
Special Hospital Team 4                                        																
	FIRST			31	43.66		3	4.23		1	1.41		36	50.70		71
	SECOND			0	0.00			Excluded		1	33.33		2	66.67		3
		TOTAL		31	43.66					2	2.82		38	53.52		71
	THIRD			2	100.00						Excluded		0	0.00		2
		TOTAL		33	46.48								38	53.52		71
				Elected												
																
ABSENT																
	FIRST			1472	48.34		233	7.65		401	13.17		939	30.84		3045
	SECOND			83	35.62			Excluded		105	45.06		45	19.31		233
		TOTAL		1555	51.07					506	16.62		984	32.32		3045
	THIRD			381	75.30						Excluded		125	24.70		506
		TOTAL		1936	63.58								1109	36.42		3045
				Elected												
																
POSTAL																
	FIRST			1572	51.32		129	4.21		226	7.38		1136	37.09		3063
	SECOND			47	36.43			Excluded		57	44.19		25	19.38		129
		TOTAL		1619	52.86					283	9.24		1161	37.90		3063
	THIRD			208	73.50						Excluded		75	26.50		283
		TOTAL		1827	59.65								1236	40.35		3063
				Elected												
																
PRE POLL																
	FIRST			1239	43.34		258	9.02		424	14.83		938	32.81		2859
	SECOND			88	34.11			Excluded		122	47.29		48	18.60		258
		TOTAL		1327	46.41					546	19.10		986	34.49		2859
	THIRD			438	80.22						Excluded		108	19.78		546
		TOTAL		1765	61.73								1094	38.27		2859
				Elected												
																
PROVISIONAL																
	FIRST			314	53.22		63	10.68		102	17.29		111	18.81		590
	SECOND			26	41.27			Excluded		27	42.86		10	15.87		63
		TOTAL		340	57.63					129	21.86		121	20.51		590
	THIRD			98	75.97						Excluded		31	24.03		129
		TOTAL		438	74.24								152	25.76		590
				Elected												
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
