House of Representatives - 2001 Election: Tasmania																			
Distribution of Preferences 																			
By Polling Place																			
																			
Franklin																			
				BASTICK			MANSKEY			QUICK			MULLOY			HODGMAN			
	FIRST			41	15.89		8	3.10		112	43.41		6	2.33		91	35.27		258
	SECOND			3	50.00		0	0.00		0	0.00			Excluded		3	50.00		6
		TOTAL		44	17.05		8	3.10		112	43.41					94	36.43		258
	THIRD			5	62.50			Excluded		2	25.00					1	12.50		8
		TOTAL		49	18.99					114	44.19					95	36.82		258
	FOURTH				Excluded					42	85.71					7	14.29		49
		TOTAL								156	60.47					102	39.53		258
										Elected									
																			
Montagu Bay                                                    																			
	FIRST			97	7.86		70	5.67		555	44.98		22	1.78		490	39.71		1234
	SECOND			3	13.64		2	9.09		8	36.36			Excluded		9	40.91		22
		TOTAL		100	8.10		72	5.83		563	45.62					499	40.44		1234
	THIRD			32	44.44			Excluded		28	38.89					12	16.67		72
		TOTAL		132	10.70					591	47.89					511	41.41		1234
	FOURTH				Excluded					107	81.06					25	18.94		132
		TOTAL								698	56.56					536	43.44		1234
										Elected									
																			
Mornington                                                     																			
	FIRST			21	4.95		13	3.07		259	61.08		14	3.30		117	27.59		424
	SECOND			2	14.29		2	14.29		7	50.00			Excluded		3	21.43		14
		TOTAL		23	5.42		15	3.54		266	62.74					120	28.30		424
	THIRD			8	53.33			Excluded		6	40.00					1	6.67		15
		TOTAL		31	7.31					272	64.15					121	28.54		424
	FOURTH				Excluded					24	77.42					7	22.58		31
		TOTAL								296	69.81					128	30.19		424
										Elected									
																			
Opossum Bay                                                    																			
	FIRST			11	6.96		6	3.80		57	36.08		4	2.53		80	50.63		158
	SECOND			0	0.00		1	25.00		1	25.00			Excluded		2	50.00		4
		TOTAL		11	6.96		7	4.43		58	36.71					82	51.90		158
	THIRD			4	57.14			Excluded		2	28.57					1	14.29		7
		TOTAL		15	9.49					60	37.97					83	52.53		158
	FOURTH				Excluded					10	66.67					5	33.33		15
		TOTAL								70	44.30					88	55.70		158
										Elected									
																			
Port Huon                                                      																			
	FIRST			11	5.02		4	1.83		95	43.38		1	0.46		108	49.32		219
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		11	5.02		4	1.83		95	43.38					109	49.77		219
	THIRD			2	50.00			Excluded		1	25.00					1	25.00		4
		TOTAL		13	5.94					96	43.84					110	50.23		219
	FOURTH				Excluded					11	84.62					2	15.38		13
		TOTAL								107	48.86					112	51.14		219
										Elected									
																			
Ranelagh                                                       																			
	FIRST			82	13.18		23	3.70		259	41.64		11	1.77		247	39.71		622
	SECOND			2	18.18		2	18.18		5	45.45			Excluded		2	18.18		11
		TOTAL		84	13.50		25	4.02		264	42.44					249	40.03		622
	THIRD			11	44.00			Excluded		8	32.00					6	24.00		25
		TOTAL		95	15.27					272	43.73					255	41.00		622
	FOURTH				Excluded					78	82.11					17	17.89		95
		TOTAL								350	56.27					272	43.73		622
										Elected									
																			
Risdon Vale                                                    																			
	FIRST			63	4.34		44	3.03		1049	72.25		37	2.55		259	17.84		1452
	SECOND			7	18.92		13	35.14		12	32.43			Excluded		5	13.51		37
		TOTAL		70	4.82		57	3.93		1061	73.07					264	18.18		1452
	THIRD			28	49.12			Excluded		22	38.60					7	12.28		57
		TOTAL		98	6.75					1083	74.59					271	18.66		1452
	FOURTH				Excluded					74	75.51					24	24.49		98
		TOTAL								1157	79.68					295	20.32		1452
										Elected									
																			
Rokeby                                                         																			
	FIRST			76	4.70		54	3.34		1112	68.73		41	2.53		335	20.70		1618
	SECOND			6	14.63		10	24.39		20	48.78			Excluded		5	12.20		41
		TOTAL		82	5.07		64	3.96		1132	69.96					340	21.01		1618
	THIRD			32	50.00			Excluded		22	34.38					10	15.63		64
		TOTAL		114	7.05					1154	71.32					350	21.63		1618
	FOURTH				Excluded					89	78.07					25	21.93		114
		TOTAL								1243	76.82					375	23.18		1618
										Elected									
																			
Sandfly                                                        																			
	FIRST			149	19.61		32	4.21		255	33.55		22	2.89		302	39.74		760
	SECOND			3	13.64		3	13.64		9	40.91			Excluded		7	31.82		22
		TOTAL		152	20.00		35	4.61		264	34.74					309	40.66		760
	THIRD			21	60.00			Excluded		10	28.57					4	11.43		35
		TOTAL		173	22.76					274	36.05					313	41.18		760
	FOURTH				Excluded					139	80.35					34	19.65		173
		TOTAL								413	54.34					347	45.66		760
										Elected									
																			
Sandford                                                       																			
	FIRST			181	17.24		54	5.14		423	40.29		17	1.62		375	35.71		1050
	SECOND			0	0.00		3	17.65		7	41.18			Excluded		7	41.18		17
		TOTAL		181	17.24		57	5.43		430	40.95					382	36.38		1050
	THIRD			30	52.63			Excluded		18	31.58					9	15.79		57
		TOTAL		211	20.10					448	42.67					391	37.24		1050
	FOURTH				Excluded					162	76.78					49	23.22		211
		TOTAL								610	58.10					440	41.90		1050
										Elected									
																			
Seven Mile Beach                                               																			
	FIRST			91	13.11		28	4.03		283	40.78		14	2.02		278	40.06		694
	SECOND			0	0.00		2	14.29		2	14.29			Excluded		10	71.43		14
		TOTAL		91	13.11		30	4.32		285	41.07					288	41.50		694
	THIRD			18	60.00			Excluded		7	23.33					5	16.67		30
		TOTAL		109	15.71					292	42.07					293	42.22		694
	FOURTH				Excluded					89	81.65					20	18.35		109
		TOTAL								381	54.90					313	45.10		694
										Elected									
																			
Snug                                                           																			
	FIRST			120	14.22		56	6.64		343	40.64		19	2.25		306	36.26		844
	SECOND			2	10.53		2	10.53		8	42.11			Excluded		7	36.84		19
		TOTAL		122	14.45		58	6.87		351	41.59					313	37.09		844
	THIRD			32	55.17			Excluded		16	27.59					10	17.24		58
		TOTAL		154	18.25					367	43.48					323	38.27		844
	FOURTH				Excluded					135	87.66					19	12.34		154
		TOTAL								502	59.48					342	40.52		844
										Elected									
																			
South Arm                                                      																			
	FIRST			54	11.18		22	4.55		216	44.72		5	1.04		186	38.51		483
	SECOND			0	0.00		2	40.00		1	20.00			Excluded		2	40.00		5
		TOTAL		54	11.18		24	4.97		217	44.93					188	38.92		483
	THIRD			11	45.83			Excluded		9	37.50					4	16.67		24
		TOTAL		65	13.46					226	46.79					192	39.75		483
	FOURTH				Excluded					50	76.92					15	23.08		65
		TOTAL								276	57.14					207	42.86		483
										Elected									
																			
Southport                                                      																			
	FIRST			32	17.68		8	4.42		86	47.51		7	3.87		48	26.52		181
	SECOND			3	42.86		0	0.00		2	28.57			Excluded		2	28.57		7
		TOTAL		35	19.34		8	4.42		88	48.62					50	27.62		181
	THIRD			4	50.00			Excluded		2	25.00					2	25.00		8
		TOTAL		39	21.55					90	49.72					52	28.73		181
	FOURTH				Excluded					35	89.74					4	10.26		39
		TOTAL								125	69.06					56	30.94		181
										Elected									
																			
Strathblane                                                    																			
	FIRST			12	9.68		0	0.00		56	45.16		5	4.03		51	41.13		124
	SECOND			0	0.00		1	20.00		4	80.00			Excluded		0	0.00		5
		TOTAL		12	9.68		1	0.81		60	48.39					51	41.13		124
	THIRD			1	100.00			Excluded		0	0.00					0	0.00		1
		TOTAL		13	10.48					60	48.39					51	41.13		124
	FOURTH				Excluded					12	92.31					1	7.69		13
		TOTAL								72	58.06					52	41.94		124
										Elected									
																			
Surges Bay                                                     																			
	FIRST			13	8.72		1	0.67		42	28.19		2	1.34		91	61.07		149
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2
		TOTAL		13	8.72		2	1.34		43	28.86					91	61.07		149
	THIRD			0	0.00			Excluded		1	50.00					1	50.00		2
		TOTAL		13	8.72					44	29.53					92	61.74		149
	FOURTH				Excluded					13	100.00					0	0.00		13
		TOTAL								57	38.26					92	61.74		149
										Elected									
																			
Tranmere                                                       																			
	FIRST			134	7.38		99	5.45		729	40.17		34	1.87		819	45.12		1815
	SECOND			13	38.24		2	5.88		8	23.53			Excluded		11	32.35		34
		TOTAL		147	8.10		101	5.56		737	40.61					830	45.73		1815
	THIRD			44	43.56			Excluded		37	36.63					20	19.80		101
		TOTAL		191	10.52					774	42.64					850	46.83		1815
	FOURTH				Excluded					144	75.39					47	24.61		191
		TOTAL								918	50.58					897	49.42		1815
										Elected									
																			
Warrane                                                        																			
	FIRST			111	8.11		51	3.73		821	60.01		29	2.12		356	26.02		1368
	SECOND			3	10.34		6	20.69		7	24.14			Excluded		13	44.83		29
		TOTAL		114	8.33		57	4.17		828	60.53					369	26.97		1368
	THIRD			32	56.14			Excluded		16	28.07					9	15.79		57
		TOTAL		146	10.67					844	61.70					378	27.63		1368
	FOURTH				Excluded					107	73.29					39	26.71		146
		TOTAL								951	69.52					417	30.48		1368
										Elected									
																			
Wentworth Street                                               																			
	FIRST			109	8.88		77	6.27		566	46.09		16	1.30		460	37.46		1228
	SECOND			1	6.25		3	18.75		4	25.00			Excluded		8	50.00		16
		TOTAL		110	8.96		80	6.51		570	46.42					468	38.11		1228
	THIRD			39	48.75			Excluded		22	27.50					19	23.75		80
		TOTAL		149	12.13					592	48.21					487	39.66		1228
	FOURTH				Excluded					113	75.84					36	24.16		149
		TOTAL								705	57.41					523	42.59		1228
										Elected									
																			
Woodbridge                                                     																			
	FIRST			89	25.95		19	5.54		120	34.99		9	2.62		106	30.90		343
	SECOND			2	22.22		0	0.00		2	22.22			Excluded		5	55.56		9
		TOTAL		91	26.53		19	5.54		122	35.57					111	32.36		343
	THIRD			12	63.16			Excluded		5	26.32					2	10.53		19
		TOTAL		103	30.03					127	37.03					113	32.94		343
	FOURTH				Excluded					87	84.47					16	15.53		103
		TOTAL								214	62.39					129	37.61		343
										Elected									
																			
Special Hospital Team 1                                        																			
	FIRST			15	8.02		3	1.60		77	41.18		2	1.07		90	48.13		187
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2
		TOTAL		15	8.02		3	1.60		78	41.71					91	48.66		187
	THIRD			0	0.00			Excluded		3	100.00					0	0.00		3
		TOTAL		15	8.02					81	43.32					91	48.66		187
	FOURTH				Excluded					9	60.00					6	40.00		15
		TOTAL								90	48.13					97	51.87		187
										Elected									
																			
Special Hospital Team 2                                        																			
	FIRST			9	4.66		4	2.07		52	26.94		2	1.04		126	65.28		193
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		10	5.18		4	2.07		52	26.94					127	65.80		193
	THIRD			3	75.00			Excluded		0	0.00					1	25.00		4
		TOTAL		13	6.74					52	26.94					128	66.32		193
	FOURTH				Excluded					9	69.23					4	30.77		13
		TOTAL								61	31.61					132	68.39		193
										Elected									
																			
ABSENT																			
	FIRST			461	13.27		255	7.34		1446	41.64		67	1.93		1244	35.82		3473
	SECOND			15	22.39		7	10.45		18	26.87			Excluded		27	40.30		67
		TOTAL		476	13.71		262	7.54		1464	42.15					1271	36.60		3473
	THIRD			135	51.53			Excluded		82	31.30					45	17.18		262
		TOTAL		611	17.59					1546	44.51					1316	37.89		3473
	FOURTH				Excluded					474	77.58					137	22.42		611
		TOTAL								2020	58.16					1453	41.84		3473
										Elected									
																			
POSTAL																			
	FIRST			176	6.63		111	4.18		1239	46.70		62	2.34		1065	40.14		2653
	SECOND			10	16.13		8	12.90		24	38.71			Excluded		20	32.26		62
		TOTAL		186	7.01		119	4.49		1263	47.61					1085	40.90		2653
	THIRD			68	57.14			Excluded		35	29.41					16	13.45		119
		TOTAL		254	9.57					1298	48.93					1101	41.50		2653
	FOURTH				Excluded					181	71.26					73	28.74		254
		TOTAL								1479	55.75					1174	44.25		2653
										Elected									
																			
PRE POLL																			
	FIRST			264	12.57		151	7.19		785	37.36		39	1.86		862	41.03		2101
	SECOND			3	7.69		8	20.51		13	33.33			Excluded		15	38.46		39
		TOTAL		267	12.71		159	7.57		798	37.98					877	41.74		2101
	THIRD			76	47.80			Excluded		51	32.08					32	20.13		159
		TOTAL		343	16.33					849	40.41					909	43.27		2101
	FOURTH				Excluded					259	75.51					84	24.49		343
		TOTAL								1108	52.74					993	47.26		2101
										Elected									
																			
PROVISIONAL																			
	FIRST			57	12.42		27	5.88		243	52.94		10	2.18		122	26.58		459
	SECOND			2	20.00		1	10.00		5	50.00			Excluded		2	20.00		10
		TOTAL		59	12.85		28	6.10		248	54.03					124	27.02		459
	THIRD			19	67.86			Excluded		4	14.29					5	17.86		28
		TOTAL		78	16.99					252	54.90					129	28.10		459
	FOURTH				Excluded					64	82.05					14	17.95		78
		TOTAL								316	68.85					143	31.15		459
										Elected									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
