House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences 																												
By Polling Place																												
																												
Berowra																												
				SPARKS			BALL			CHOI			SLATER			RUDDOCK			GALE			NANNELLI			GALLAGHER			
	SECOND			5	9.43		6	11.32		2	3.77		9	16.98		12	22.64		9	16.98		10	18.87			Excluded		53
		TOTAL		231	7.20		75	2.34		25	0.78		822	25.62		1833	57.12		150	4.67		73	2.27					3209
	THIRD			5	20.00		1	4.00			Excluded		3	12.00		7	28.00		5	20.00		4	16.00					25
		TOTAL		236	7.35		76	2.37					825	25.71		1840	57.34		155	4.83		77	2.40					3209
	FOURTH			15	19.74			Excluded					10	13.16		33	43.42		11	14.47		7	9.21					76
		TOTAL		251	7.82								835	26.02		1873	58.37		166	5.17		84	2.62					3209
	FIFTH			13	15.48								8	9.52		41	48.81		22	26.19			Excluded					84
		TOTAL		264	8.23								843	26.27		1914	59.64		188	5.86								3209
	SIXTH			93	49.47								66	35.11		29	15.43			Excluded								188
		TOTAL		357	11.12								909	28.33		1943	60.55											3209
	SEVENTH				Excluded								228	63.87		129	36.13											357
		TOTAL											1137	35.43		2072	64.57											3209
																Elected												
																												
Berowra Heights                                                																												
	FIRST			104	5.89		45	2.55		5	0.28		458	25.92		956	54.10		117	6.62		57	3.23		25	1.41		1767
	SECOND			4	16.00		2	8.00		0	0.00		5	20.00		4	16.00		9	36.00		1	4.00			Excluded		25
		TOTAL		108	6.11		47	2.66		5	0.28		463	26.20		960	54.33		126	7.13		58	3.28					1767
	THIRD			2	40.00		1	20.00			Excluded		1	20.00		0	0.00		1	20.00		0	0.00					5
		TOTAL		110	6.23		48	2.72					464	26.26		960	54.33		127	7.19		58	3.28					1767
	FOURTH			11	22.92			Excluded					9	18.75		18	37.50		5	10.42		5	10.42					48
		TOTAL		121	6.85								473	26.77		978	55.35		132	7.47		63	3.57					1767
	FIFTH			7	11.11								6	9.52		41	65.08		9	14.29			Excluded					63
		TOTAL		128	7.24								479	27.11		1019	57.67		141	7.98								1767
	SIXTH			67	47.52								48	34.04		26	18.44			Excluded								141
		TOTAL		195	11.04								527	29.82		1045	59.14											1767
	SEVENTH				Excluded								145	74.36		50	25.64											195
		TOTAL											672	38.03		1095	61.97											1767
																Elected												
																												
Berowra Waters                                                 																												
	FIRST			2	2.63		4	5.26		0	0.00		17	22.37		49	64.47		3	3.95		0	0.00		1	1.32		76
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		2	2.63		4	5.26		0	0.00		18	23.68		49	64.47		3	3.95		0	0.00					76
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		2	2.63		4	5.26					18	23.68		49	64.47		3	3.95		0	0.00					76
	FOURTH			0	0.00			Excluded					3	75.00		1	25.00		0	0.00		0	0.00					4
		TOTAL		2	2.63								21	27.63		50	65.79		3	3.95		0	0.00					76
	FIFTH			0	0.00								0	0.00		0	0.00		0	0.00			Excluded					0
		TOTAL		2	2.63								21	27.63		50	65.79		3	3.95								76
	SIXTH			3	100.00								0	0.00		0	0.00			Excluded								3
		TOTAL		5	6.58								21	27.63		50	65.79											76
	SEVENTH				Excluded								3	60.00		2	40.00											5
		TOTAL											24	31.58		52	68.42											76
																Elected												
																												
Bowden Brae                                                    																												
	FIRST			20	4.12		10	2.06		5	1.03		82	16.91		329	67.84		30	6.19		6	1.24		3	0.62		485
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33		0	0.00		1	33.33			Excluded		3
		TOTAL		20	4.12		10	2.06		5	1.03		83	17.11		330	68.04		30	6.19		7	1.44					485
	THIRD			3	60.00		0	0.00			Excluded		2	40.00		0	0.00		0	0.00		0	0.00					5
		TOTAL		23	4.74		10	2.06					85	17.53		330	68.04		30	6.19		7	1.44					485
	FOURTH			3	30.00			Excluded					2	20.00		4	40.00		0	0.00		1	10.00					10
		TOTAL		26	5.36								87	17.94		334	68.87		30	6.19		8	1.65					485
	FIFTH			6	75.00								0	0.00		1	12.50		1	12.50			Excluded					8
		TOTAL		32	6.60								87	17.94		335	69.07		31	6.39								485
	SIXTH			18	58.06								6	19.35		7	22.58			Excluded								31
		TOTAL		50	10.31								93	19.18		342	70.52											485
	SEVENTH				Excluded								39	78.00		11	22.00											50
		TOTAL											132	27.22		353	72.78											485
																Elected												
																												
Brooklyn                                                       																												
	FIRST			31	6.94		23	5.15		1	0.22		142	31.77		213	47.65		24	5.37		2	0.45		11	2.46		447
	SECOND			3	27.27		0	0.00		0	0.00		4	36.36		0	0.00		3	27.27		1	9.09			Excluded		11
		TOTAL		34	7.61		23	5.15		1	0.22		146	32.66		213	47.65		27	6.04		3	0.67					447
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1
		TOTAL		34	7.61		24	5.37					146	32.66		213	47.65		27	6.04		3	0.67					447
	FOURTH			3	12.50			Excluded					4	16.67		11	45.83		3	12.50		3	12.50					24
		TOTAL		37	8.28								150	33.56		224	50.11		30	6.71		6	1.34					447
	FIFTH			0	0.00								1	16.67		1	16.67		4	66.67			Excluded					6
		TOTAL		37	8.28								151	33.78		225	50.34		34	7.61								447
	SIXTH			25	73.53								6	17.65		3	8.82			Excluded								34
		TOTAL		62	13.87								157	35.12		228	51.01											447
	SEVENTH				Excluded								53	85.48		9	14.52											62
		TOTAL											210	46.98		237	53.02											447
																Elected												
																												
Cheltenham                                                     																												
	FIRST			108	8.23		17	1.29		17	1.29		263	20.03		766	58.34		109	8.30		25	1.90		8	0.61		1313
	SECOND			0	0.00		3	37.50		0	0.00		1	12.50		0	0.00		2	25.00		2	25.00			Excluded		8
		TOTAL		108	8.23		20	1.52		17	1.29		264	20.11		766	58.34		111	8.45		27	2.06					1313
	THIRD			6	35.29		0	0.00			Excluded		4	23.53		5	29.41		2	11.76		0	0.00					17
		TOTAL		114	8.68		20	1.52					268	20.41		771	58.72		113	8.61		27	2.06					1313
	FOURTH			2	10.00			Excluded					2	10.00		6	30.00		4	20.00		6	30.00					20
		TOTAL		116	8.83								270	20.56		777	59.18		117	8.91		33	2.51					1313
	FIFTH			3	9.09								2	6.06		19	57.58		9	27.27			Excluded					33
		TOTAL		119	9.06								272	20.72		796	60.62		126	9.60								1313
	SIXTH			51	40.48								61	48.41		14	11.11			Excluded								126
		TOTAL		170	12.95								333	25.36		810	61.69											1313
	SEVENTH				Excluded								119	70.00		51	30.00											170
		TOTAL											452	34.42		861	65.58											1313
																Elected												
																												
Cherrybrook                                                    																												
	FIRST			131	4.47		35	1.19		58	1.98		706	24.07		1819	62.02		91	3.10		60	2.05		33	1.13		2933
	SECOND			7	21.21		4	12.12		2	6.06		6	18.18		6	18.18		6	18.18		2	6.06			Excluded		33
		TOTAL		138	4.71		39	1.33		60	2.05		712	24.28		1825	62.22		97	3.31		62	2.11					2933
	THIRD			11	18.33		1	1.67			Excluded		31	51.67		7	11.67		9	15.00		1	1.67					60
		TOTAL		149	5.08		40	1.36					743	25.33		1832	62.46		106	3.61		63	2.15					2933
	FOURTH			6	15.00			Excluded					8	20.00		17	42.50		2	5.00		7	17.50					40
		TOTAL		155	5.28								751	25.61		1849	63.04		108	3.68		70	2.39					2933
	FIFTH			9	12.86								14	20.00		43	61.43		4	5.71			Excluded					70
		TOTAL		164	5.59								765	26.08		1892	64.51		112	3.82								2933
	SIXTH			55	49.11								45	40.18		12	10.71			Excluded								112
		TOTAL		219	7.47								810	27.62		1904	64.92											2933
	SEVENTH				Excluded								158	72.15		61	27.85											219
		TOTAL											968	33.00		1965	67.00											2933
																Elected												
																												
Cherrybrook Central                                            																												
	FIRST			40	4.34		11	1.19		10	1.08		202	21.91		596	64.64		22	2.39		35	3.80		6	0.65		922
	SECOND			2	33.33		1	16.67		0	0.00		1	16.67		1	16.67		1	16.67		0	0.00			Excluded		6
		TOTAL		42	4.56		12	1.30		10	1.08		203	22.02		597	64.75		23	2.49		35	3.80					922
	THIRD			7	70.00		0	0.00			Excluded		2	20.00		1	10.00		0	0.00		0	0.00					10
		TOTAL		49	5.31		12	1.30					205	22.23		598	64.86		23	2.49		35	3.80					922
	FOURTH			1	8.33			Excluded					3	25.00		6	50.00		2	16.67		0	0.00					12
		TOTAL		50	5.42								208	22.56		604	65.51		25	2.71		35	3.80					922
	FIFTH			3	8.57								7	20.00		23	65.71		2	5.71			Excluded					35
		TOTAL		53	5.75								215	23.32		627	68.00		27	2.93								922
	SIXTH			10	37.04								11	40.74		6	22.22			Excluded								27
		TOTAL		63	6.83								226	24.51		633	68.66											922
	SEVENTH				Excluded								38	60.32		25	39.68											63
		TOTAL											264	28.63		658	71.37											922
																Elected												
																												
Cherrybrook South                                              																												
	FIRST			58	4.92		14	1.19		17	1.44		224	19.02		797	67.66		35	2.97		28	2.38		5	0.42		1178
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		3	60.00		1	20.00		0	0.00			Excluded		5
		TOTAL		59	5.01		14	1.19		17	1.44		224	19.02		800	67.91		36	3.06		28	2.38					1178
	THIRD			3	17.65		1	5.88			Excluded		2	11.76		5	29.41		5	29.41		1	5.88					17
		TOTAL		62	5.26		15	1.27					226	19.19		805	68.34		41	3.48		29	2.46					1178
	FOURTH			0	0.00			Excluded					5	33.33		8	53.33		0	0.00		2	13.33					15
		TOTAL		62	5.26								231	19.61		813	69.02		41	3.48		31	2.63					1178
	FIFTH			2	6.45								4	12.90		24	77.42		1	3.23			Excluded					31
		TOTAL		64	5.43								235	19.95		837	71.05		42	3.57								1178
	SIXTH			21	50.00								10	23.81		11	26.19			Excluded								42
		TOTAL		85	7.22								245	20.80		848	71.99											1178
	SEVENTH				Excluded								61	71.76		24	28.24											85
		TOTAL											306	25.98		872	74.02											1178
																Elected												
																												
Cowan                                                          																												
	FIRST			20	6.67		17	5.67		1	0.33		88	29.33		137	45.67		19	6.33		9	3.00		9	3.00		300
	SECOND			0	0.00		1	11.11		0	0.00		5	55.56		0	0.00		2	22.22		1	11.11			Excluded		9
		TOTAL		20	6.67		18	6.00		1	0.33		93	31.00		137	45.67		21	7.00		10	3.33					300
	THIRD			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00					1
		TOTAL		20	6.67		18	6.00					94	31.33		137	45.67		21	7.00		10	3.33					300
	FOURTH			5	27.78			Excluded					5	27.78		3	16.67		2	11.11		3	16.67					18
		TOTAL		25	8.33								99	33.00		140	46.67		23	7.67		13	4.33					300
	FIFTH			3	23.08								2	15.38		6	46.15		2	15.38			Excluded					13
		TOTAL		28	9.33								101	33.67		146	48.67		25	8.33								300
	SIXTH			15	60.00								6	24.00		4	16.00			Excluded								25
		TOTAL		43	14.33								107	35.67		150	50.00											300
	SEVENTH				Excluded								29	67.44		14	32.56											43
		TOTAL											136	45.33		164	54.67											300
																Elected												
																												
Dangar Island                                                  																												
	FIRST			17	13.71		0	0.00		2	1.61		40	32.26		30	24.19		30	24.19		3	2.42		2	1.61		124
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		18	14.52		0	0.00		2	1.61		40	32.26		30	24.19		30	24.19		4	3.23					124
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00					2
		TOTAL		18	14.52		0	0.00					40	32.26		31	25.00		31	25.00		4	3.23					124
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		18	14.52								40	32.26		31	25.00		31	25.00		4	3.23					124
	FIFTH			2	50.00								0	0.00		0	0.00		2	50.00			Excluded					4
		TOTAL		20	16.13								40	32.26		31	25.00		33	26.61								124
	SIXTH			23	69.70								8	24.24		2	6.06			Excluded								33
		TOTAL		43	34.68								48	38.71		33	26.61											124
	SEVENTH				Excluded								38	88.37		5	11.63											43
		TOTAL											86	69.35		38	30.65											124
																Elected												
																												
Dural (Berowra)                                                																												
	FIRST			75	4.71		31	1.95		6	0.38		218	13.69		1162	72.99		68	4.27		19	1.19		13	0.82		1592
	SECOND			2	15.38		2	15.38		0	0.00		2	15.38		3	23.08		3	23.08		1	7.69			Excluded		13
		TOTAL		77	4.84		33	2.07		6	0.38		220	13.82		1165	73.18		71	4.46		20	1.26					1592
	THIRD			2	33.33		0	0.00			Excluded		2	33.33		1	16.67		1	16.67		0	0.00					6
		TOTAL		79	4.96		33	2.07					222	13.94		1166	73.24		72	4.52		20	1.26					1592
	FOURTH			5	15.15			Excluded					1	3.03		15	45.45		10	30.30		2	6.06					33
		TOTAL		84	5.28								223	14.01		1181	74.18		82	5.15		22	1.38					1592
	FIFTH			3	13.64								0	0.00		18	81.82		1	4.55			Excluded					22
		TOTAL		87	5.46								223	14.01		1199	75.31		83	5.21								1592
	SIXTH			31	37.35								39	46.99		13	15.66			Excluded								83
		TOTAL		118	7.41								262	16.46		1212	76.13											1592
	SEVENTH				Excluded								81	68.64		37	31.36											118
		TOTAL											343	21.55		1249	78.45											1592
																Elected												
																												
Epping Heights (Berowra)                                       																												
	FIRST			10	6.37		1	0.64		3	1.91		40	25.48		91	57.96		8	5.10		4	2.55		0	0.00		157
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		10	6.37		1	0.64		3	1.91		40	25.48		91	57.96		8	5.10		4	2.55					157
	THIRD			0	0.00		0	0.00			Excluded		3	100.00		0	0.00		0	0.00		0	0.00					3
		TOTAL		10	6.37		1	0.64					43	27.39		91	57.96		8	5.10		4	2.55					157
	FOURTH			0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00					1
		TOTAL		10	6.37								43	27.39		92	58.60		8	5.10		4	2.55					157
	FIFTH			0	0.00								0	0.00		4	100.00		0	0.00			Excluded					4
		TOTAL		10	6.37								43	27.39		96	61.15		8	5.10								157
	SIXTH			5	62.50								2	25.00		1	12.50			Excluded								8
		TOTAL		15	9.55								45	28.66		97	61.78											157
	SEVENTH				Excluded								11	73.33		4	26.67											15
		TOTAL											56	35.67		101	64.33											157
																Elected												
																												
Galston                                                        																												
	FIRST			69	4.17		33	2.00		7	0.42		237	14.34		1136	68.72		112	6.78		39	2.36		20	1.21		1653
	SECOND			4	20.00		1	5.00		2	10.00		0	0.00		5	25.00		5	25.00		3	15.00			Excluded		20
		TOTAL		73	4.42		34	2.06		9	0.54		237	14.34		1141	69.03		117	7.08		42	2.54					1653
	THIRD			1	11.11		1	11.11			Excluded		1	11.11		1	11.11		5	55.56		0	0.00					9
		TOTAL		74	4.48		35	2.12					238	14.40		1142	69.09		122	7.38		42	2.54					1653
	FOURTH			6	17.14			Excluded					5	14.29		12	34.29		5	14.29		7	20.00					35
		TOTAL		80	4.84								243	14.70		1154	69.81		127	7.68		49	2.96					1653
	FIFTH			3	6.12								5	10.20		37	75.51		4	8.16			Excluded					49
		TOTAL		83	5.02								248	15.00		1191	72.05		131	7.92								1653
	SIXTH			67	51.15								44	33.59		20	15.27			Excluded								131
		TOTAL		150	9.07								292	17.66		1211	73.26											1653
	SEVENTH				Excluded								99	66.00		51	34.00											150
		TOTAL											391	23.65		1262	76.35											1653
																Elected												
																												
Glenorie                                                       																												
	FIRST			73	4.93		57	3.85		5	0.34		237	15.99		1025	69.16		53	3.58		10	0.67		22	1.48		1482
	SECOND			3	13.64		2	9.09		1	4.55		3	13.64		4	18.18		5	22.73		4	18.18			Excluded		22
		TOTAL		76	5.13		59	3.98		6	0.40		240	16.19		1029	69.43		58	3.91		14	0.94					1482
	THIRD			0	0.00		0	0.00			Excluded		4	66.67		1	16.67		1	16.67		0	0.00					6
		TOTAL		76	5.13		59	3.98					244	16.46		1030	69.50		59	3.98		14	0.94					1482
	FOURTH			10	16.95			Excluded					8	13.56		25	42.37		6	10.17		10	16.95					59
		TOTAL		86	5.80								252	17.00		1055	71.19		65	4.39		24	1.62					1482
	FIFTH			4	16.67								1	4.17		9	37.50		10	41.67			Excluded					24
		TOTAL		90	6.07								253	17.07		1064	71.79		75	5.06								1482
	SIXTH			36	48.00								15	20.00		24	32.00			Excluded								75
		TOTAL		126	8.50								268	18.08		1088	73.41											1482
	SEVENTH				Excluded								87	69.05		39	30.95											126
		TOTAL											355	23.95		1127	76.05											1482
																Elected												
																												
Hillside Central                                               																												
	FIRST			15	5.60		9	3.36		0	0.00		29	10.82		196	73.13		16	5.97		0	0.00		3	1.12		268
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		3
		TOTAL		16	5.97		9	3.36		0	0.00		30	11.19		196	73.13		16	5.97		1	0.37					268
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		16	5.97		9	3.36					30	11.19		196	73.13		16	5.97		1	0.37					268
	FOURTH			1	11.11			Excluded					2	22.22		4	44.44		2	22.22		0	0.00					9
		TOTAL		17	6.34								32	11.94		200	74.63		18	6.72		1	0.37					268
	FIFTH			0	0.00								0	0.00		1	100.00		0	0.00			Excluded					1
		TOTAL		17	6.34								32	11.94		201	75.00		18	6.72								268
	SIXTH			10	55.56								6	33.33		2	11.11			Excluded								18
		TOTAL		27	10.07								38	14.18		203	75.75											268
	SEVENTH				Excluded								19	70.37		8	29.63											27
		TOTAL											57	21.27		211	78.73											268
																Elected												
																												
Hornsby                                                        																												
	FIRST			95	6.11		47	3.02		38	2.44		457	29.37		749	48.14		109	7.01		20	1.29		41	2.63		1556
	SECOND			6	14.63		0	0.00		1	2.44		8	19.51		12	29.27		11	26.83		3	7.32			Excluded		41
		TOTAL		101	6.49		47	3.02		39	2.51		465	29.88		761	48.91		120	7.71		23	1.48					1556
	THIRD			10	25.64		1	2.56			Excluded		11	28.21		9	23.08		6	15.38		2	5.13					39
		TOTAL		111	7.13		48	3.08					476	30.59		770	49.49		126	8.10		25	1.61					1556
	FOURTH			9	18.75			Excluded					13	27.08		17	35.42		6	12.50		3	6.25					48
		TOTAL		120	7.71								489	31.43		787	50.58		132	8.48		28	1.80					1556
	FIFTH			6	21.43								1	3.57		14	50.00		7	25.00			Excluded					28
		TOTAL		126	8.10								490	31.49		801	51.48		139	8.93								1556
	SIXTH			60	43.17								56	40.29		23	16.55			Excluded								139
		TOTAL		186	11.95								546	35.09		824	52.96											1556
	SEVENTH				Excluded								134	72.04		52	27.96											186
		TOTAL											680	43.70		876	56.30											1556
																Elected												
																												
Hornsby Central                                                																												
	FIRST			153	6.42		45	1.89		85	3.57		757	31.75		1135	47.61		105	4.40		45	1.89		59	2.47		2384
	SECOND			6	10.17		6	10.17		9	15.25		10	16.95		14	23.73		10	16.95		4	6.78			Excluded		59
		TOTAL		159	6.67		51	2.14		94	3.94		767	32.17		1149	48.20		115	4.82		49	2.06					2384
	THIRD			20	21.28		2	2.13			Excluded		37	39.36		16	17.02		13	13.83		6	6.38					94
		TOTAL		179	7.51		53	2.22					804	33.72		1165	48.87		128	5.37		55	2.31					2384
	FOURTH			10	18.87			Excluded					10	18.87		15	28.30		4	7.55		14	26.42					53
		TOTAL		189	7.93								814	34.14		1180	49.50		132	5.54		69	2.89					2384
	FIFTH			11	15.94								13	18.84		36	52.17		9	13.04			Excluded					69
		TOTAL		200	8.39								827	34.69		1216	51.01		141	5.91								2384
	SIXTH			67	47.52								50	35.46		24	17.02			Excluded								141
		TOTAL		267	11.20								877	36.79		1240	52.01											2384
	SEVENTH				Excluded								186	69.66		81	30.34											267
		TOTAL											1063	44.59		1321	55.41											2384
																Elected												
																												
Hornsby East                                                   																												
	FIRST			62	5.49		23	2.04		33	2.92		413	36.55		516	45.66		43	3.81		13	1.15		27	2.39		1130
	SECOND			1	3.70		1	3.70		1	3.70		7	25.93		10	37.04		7	25.93		0	0.00			Excluded		27
		TOTAL		63	5.58		24	2.12		34	3.01		420	37.17		526	46.55		50	4.42		13	1.15					1130
	THIRD			2	5.88		0	0.00			Excluded		21	61.76		9	26.47		2	5.88		0	0.00					34
		TOTAL		65	5.75		24	2.12					441	39.03		535	47.35		52	4.60		13	1.15					1130
	FOURTH			7	29.17			Excluded					3	12.50		6	25.00		2	8.33		6	25.00					24
		TOTAL		72	6.37								444	39.29		541	47.88		54	4.78		19	1.68					1130
	FIFTH			5	26.32								5	26.32		6	31.58		3	15.79			Excluded					19
		TOTAL		77	6.81								449	39.73		547	48.41		57	5.04								1130
	SIXTH			22	38.60								22	38.60		13	22.81			Excluded								57
		TOTAL		99	8.76								471	41.68		560	49.56											1130
	SEVENTH				Excluded								68	68.69		31	31.31											99
		TOTAL											539	47.70		591	52.30											1130
																Elected												
																												
Hornsby Heights                                                																												
	FIRST			207	7.96		48	1.85		25	0.96		563	21.66		1532	58.95		120	4.62		52	2.00		52	2.00		2599
	SECOND			6	11.54		8	15.38		7	13.46		10	19.23		9	17.31		8	15.38		4	7.69			Excluded		52
		TOTAL		213	8.20		56	2.15		32	1.23		573	22.05		1541	59.29		128	4.92		56	2.15					2599
	THIRD			12	37.50		4	12.50			Excluded		5	15.63		4	12.50		6	18.75		1	3.13					32
		TOTAL		225	8.66		60	2.31					578	22.24		1545	59.45		134	5.16		57	2.19					2599
	FOURTH			14	23.33			Excluded					10	16.67		24	40.00		9	15.00		3	5.00					60
		TOTAL		239	9.20								588	22.62		1569	60.37		143	5.50		60	2.31					2599
	FIFTH			6	10.00								5	8.33		38	63.33		11	18.33			Excluded					60
		TOTAL		245	9.43								593	22.82		1607	61.83		154	5.93								2599
	SIXTH			83	53.90								40	25.97		31	20.13			Excluded								154
		TOTAL		328	12.62								633	24.36		1638	63.02											2599
	SEVENTH				Excluded								226	68.90		102	31.10											328
		TOTAL											859	33.05		1740	66.95											2599
																Elected												
																												
Hornsby Hospital                                               																												
	FIRST			13	4.74		7	2.55		5	1.82		92	33.58		133	48.54		18	6.57		4	1.46		2	0.73		274
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2
		TOTAL		13	4.74		7	2.55		5	1.82		92	33.58		134	48.91		18	6.57		5	1.82					274
	THIRD			0	0.00		0	0.00			Excluded		5	100.00		0	0.00		0	0.00		0	0.00					5
		TOTAL		13	4.74		7	2.55					97	35.40		134	48.91		18	6.57		5	1.82					274
	FOURTH			0	0.00			Excluded					1	14.29		2	28.57		0	0.00		4	57.14					7
		TOTAL		13	4.74								98	35.77		136	49.64		18	6.57		9	3.28					274
	FIFTH			1	11.11								1	11.11		5	55.56		2	22.22			Excluded					9
		TOTAL		14	5.11								99	36.13		141	51.46		20	7.30								274
	SIXTH			9	45.00								7	35.00		4	20.00			Excluded								20
		TOTAL		23	8.39								106	38.69		145	52.92											274
	SEVENTH				Excluded								13	56.52		10	43.48											23
		TOTAL											119	43.43		155	56.57											274
																Elected												
																												
Hornsby North                                                  																												
	FIRST			138	7.37		40	2.14		21	1.12		441	23.56		1039	55.50		111	5.93		48	2.56		34	1.82		1872
	SECOND			2	5.88		2	5.88		2	5.88		8	23.53		6	17.65		11	32.35		3	8.82			Excluded		34
		TOTAL		140	7.48		42	2.24		23	1.23		449	23.99		1045	55.82		122	6.52		51	2.72					1872
	THIRD			7	30.43		0	0.00			Excluded		9	39.13		2	8.70		2	8.70		3	13.04					23
		TOTAL		147	7.85		42	2.24					458	24.47		1047	55.93		124	6.62		54	2.88					1872
	FOURTH			7	16.67			Excluded					4	9.52		21	50.00		8	19.05		2	4.76					42
		TOTAL		154	8.23								462	24.68		1068	57.05		132	7.05		56	2.99					1872
	FIFTH			5	8.93								11	19.64		35	62.50		5	8.93			Excluded					56
		TOTAL		159	8.49								473	25.27		1103	58.92		137	7.32								1872
	SIXTH			77	56.20								38	27.74		22	16.06			Excluded								137
		TOTAL		236	12.61								511	27.30		1125	60.10											1872
	SEVENTH				Excluded								186	78.81		50	21.19											236
		TOTAL											697	37.23		1175	62.77											1872
																Elected												
																												
