House of Representatives - 2001 Election: New South Wales																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Mitchell (86647)																																									
	MUDGEE			# CADMAN			BAGGS			TAYLOR			MCSHANE			GREGORY			BURKE			EDER			FORMAL			INFORMAL			TOTAL										
	David			Alan			David			Cindy			John			Ken			Stephen			Dale												Two Candidate Preferred							
	AFI			LP			DEM			GRN			ALP			CTA			IND			HAN												# CADMAN LP			 MCSHANE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Kellyville	82	1.74		3109	65.98		227	4.82		133	2.82		903	19.16		108	2.29		37	0.79		113	2.40		4712	94.24		288	5.76		5000	6.04		3466	73.56		1246	26.44
Kenthurst	20	0.83		1702	70.51		116	4.81		95	3.94		315	13.05		59	2.44		24	0.99		83	3.44		2414	95.08		125	4.92		2539	3.07		1919	79.49		495	20.51
Kilvinton	10	4.39		163	71.49		3	1.32		4	1.75		38	16.67		4	1.75		3	1.32		3	1.32		228	91.20		22	8.80		250	0.30		179	78.51		49	21.49
Maraylya (Mitchell)	13	3.81		252	73.90		2	0.59		8	2.35		41	12.02		2	0.59		4	1.17		19	5.57		341	93.17		25	6.83		366	0.44		287	84.16		54	15.84
Matthew Pearce	26	1.71		897	58.90		47	3.09		40	2.63		448	29.42		23	1.51		9	0.59		33	2.17		1523	95.91		65	4.09		1588	1.92		992	65.13		531	34.87
Model Farms	41	1.90		1278	59.14		106	4.91		53	2.45		559	25.87		27	1.25		22	1.02		75	3.47		2161	94.08		136	5.92		2297	2.78		1433	66.31		728	33.69
Mowll	4	0.94		333	77.99		7	1.64		7	1.64		59	13.82		11	2.58		1	0.23		5	1.17		427	93.23		31	6.77		458	0.55		353	82.67		74	17.33			
Muirfield	17	1.30		757	57.83		103	7.87		49	3.74		322	24.60		29	2.22		5	0.38		27	2.06		1309	95.06		68	4.94		1377	1.66		859	65.62		450	34.38			
Murray Farm	35	1.06		1913	58.13		183	5.56		115	3.49		867	26.34		87	2.64		28	0.85		63	1.91		3291	94.90		177	5.10		3468	4.19		2160	65.63		1131	34.37			
Northmead High	21	1.41		833	55.94		73	4.90		46	3.09		433	29.08		29	1.95		15	1.01		39	2.62		1489	95.20		75	4.80		1564	1.89		938	63.00		551	37.00			
North Rocks (Mitchell)	30	1.39		1183	54.97		123	5.72		55	2.56		614	28.53		61	2.83		16	0.74		70	3.25		2152	95.64		98	4.36		2250	2.72		1404	65.24		748	34.76			
Oakhill Drive (Mitchell)	22	1.26		1074	61.72		58	3.33		45	2.59		470	27.01		50	2.87		4	0.23		17	0.98		1740	95.19		88	4.81		1828	2.21		1174	67.47		566	32.53			
Rondelay	23	1.12		1352	65.89		73	3.56		73	3.56		410	19.98		35	1.71		17	0.83		69	3.36		2052	96.07		84	3.93		2136	2.58		1507	73.44		545	26.56			
Rouse Hill	52	2.39		1485	68.12		53	2.43		36	1.65		401	18.39		33	1.51		24	1.10		96	4.40		2180	94.37		130	5.63		2310	2.79		1680	77.06		500	22.94			
Samuel Gilbert	49	1.28		2609	67.96		196	5.11		76	1.98		711	18.52		76	1.98		26	0.68		96	2.50		3839	95.36		187	4.64		4026	4.86		2896	75.44		943	24.56			
Sydney (Mitchell)	3	2.88		51	49.04		6	5.77		3	2.88		36	34.62		2	1.92		2	1.92		1	0.96		104	95.41		5	4.59		109	0.13		59	56.73		45	43.27			
The Hills Private Hospital	3	1.78		111	65.68		7	4.14		3	1.78		38	22.49		2	1.18		1	0.59		4	2.37		169	95.48		8	4.52		177	0.21		121	71.60		48	28.40			
Thompsons Corner (Mitchell)	16	1.45		683	61.98		51	4.63		35	3.18		263	23.87		18	1.63		12	1.09		24	2.18		1102	95.91		47	4.09		1149	1.39		752	68.24		350	31.76			
West Pennant Hills	5	0.85		385	65.59		23	3.92		17	2.90		131	22.32		15	2.56		9	1.53		2	0.34		587	97.51		15	2.49		602	0.73		414	70.53		173	29.47			
Wirreanda	3	0.52		407	70.78		19	3.30		10	1.74		113	19.65		17	2.96		2	0.35		4	0.70		575	94.11		36	5.89		611	0.74		437	76.00		138	24.00			
Special Hospitals	0	0.00		36	81.82		1	2.27		1	2.27		6	13.64		0	0.00		0	0.00		0	0.00		44	89.80		5	10.20		49	0.06		37	84.09		7	15.91			
Total Ordinary	918	1.38		42252	63.50		3174	4.77		1961	2.95		14484	21.77		1446	2.17		549	0.83		1755	2.64		66539	95.30		3280	4.70		69819	84.37		47395	71.23		19144	28.77			
ABSENT	215	3.78		3199	56.28		325	5.72		339	5.96		1172	20.62		116	2.04		89	1.57		229	4.03		5684	95.93		241	4.07		5925	7.16		3896	68.54		1788	31.46			
POSTAL	32	1.14		1993	71.13		95	3.39		58	2.07		442	15.77		60	2.14		28	1.00		94	3.35		2802	98.01		57	1.99		2859	3.45		2207	78.77		595	21.23			
PRE_POLL	65	1.76		2368	64.02		158	4.27		103	2.78		815	22.03		52	1.41		40	1.08		98	2.65		3699	96.83		121	3.17		3820	4.62		2652	71.70		1047	28.30			
PROVISIONAL	5	1.62		183	59.42		17	5.52		9	2.92		74	24.03		7	2.27		6	1.95		7	2.27		308	92.22		26	7.78		334	0.40		216	70.13		92	29.87			
Division Summary	1235	1.56		49995	63.26		3769	4.77		2470	3.13		16987	21.49		1681	2.13		712	0.90		2183	2.76		79032	95.50		3725	4.50		82757	95.51		56366	71.32		22666	28.68			
																																									
																																									
																																									
																																									
																																									
