House of Representatives - 2001 Election: New South Wales																														
First Preference Votes and TCP 																														
By Candidate by Polling Place																														

Sydney (86143)																														
	# PLIBERSEK			HICKMAN			PETTETT			PARKER			FORMAL			INFORMAL			TOTAL											
	Tanya			Sydney			Jeff			Jamie												Two Candidate Preferred								
	ALP			DEM			LP			GRN												# PLIBERSEK ALP			 PETTETT LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Newtown North (Sydney)	668	42.47		225	14.30		264	16.78		416	26.45		1573	96.56		56	3.44		1629	2.10		1235	78.51		338	21.49
Paddington South (Sydney)	579	34.48		163	9.71		699	41.63		238	14.18		1679	96.66		58	3.34		1737	2.24		895	53.31		784	46.69
Potts Point	1065	38.24		286	10.27		1050	37.70		384	13.79		2785	96.13		112	3.87		2897	3.73		1628	58.46		1157	41.54
Prince Alfred Hospital	225	42.61		71	13.45		165	31.25		67	12.69		528	97.06		16	2.94		544	0.70		325	61.55		203	38.45
Pyrmont	633	37.10		185	10.84		734	43.02		154	9.03		1706	95.74		76	4.26		1782	2.29		874	51.23		832	48.77
Rachel Forster Hospital	770	53.81		142	9.92		361	25.23		158	11.04		1431	94.83		78	5.17		1509	1.94		1014	70.86		417	29.14
Redfern	966	58.94		162	9.88		373	22.76		138	8.42		1639	88.36		216	11.64		1855	2.39		1203	73.40		436	26.60
Redfern East	1160	62.70		138	7.46		393	21.24		159	8.59		1850	91.36		175	8.64		2025	2.61		1389	75.08		461	24.92
Rosebery	730	53.36		74	5.41		508	37.13		56	4.09		1368	93.96		88	6.04		1456	1.88		824	60.23		544	39.77
Roslyn Gardens	439	39.30		110	9.85		422	37.78		146	13.07		1117	94.26		68	5.74		1185	1.53		645	57.74		472	42.26
Rozelle	1190	41.93		270	9.51		900	31.71		478	16.84		2838	95.81		124	4.19		2962	3.81		1803	63.53		1035	36.47
St Vincents Hospital	123	44.24		37	13.31		78	28.06		40	14.39		278	99.29		2	0.71		280	0.36		177	63.67		101	36.33
South Sydney Hospital	58	53.21		9	8.26		28	25.69		14	12.84		109	93.97		7	6.03		116	0.15		73	66.97		36	33.03			
Surry Hills	220	48.03		61	13.32		98	21.40		79	17.25		458	96.62		16	3.38		474	0.61		337	73.58		121	26.42			
Surry Hills North	682	41.92		268	16.47		423	26.00		254	15.61		1627	95.43		78	4.57		1705	2.20		1108	68.10		519	31.90			
Surry Hills South	706	43.77		255	15.81		377	23.37		275	17.05		1613	96.47		59	3.53		1672	2.15		1141	70.74		472	29.26			
Sydney (Sydney)	1144	39.56		273	9.44		1152	39.83		323	11.17		2892	95.92		123	4.08		3015	3.88		1596	55.19		1296	44.81			
Toxteth	496	47.28		84	8.01		244	23.26		225	21.45		1049	96.42		39	3.58		1088	1.40		763	72.74		286	27.26			
Ultimo	575	55.02		85	8.13		279	26.70		106	10.14		1045	94.57		60	5.43		1105	1.42		723	69.19		322	30.81			
Waterloo	602	69.20		31	3.56		177	20.34		60	6.90		870	92.26		73	7.74		943	1.21		665	76.44		205	23.56			
Woolloomooloo	517	50.05		83	8.03		323	31.27		110	10.65		1033	95.12		53	4.88		1086	1.40		653	63.21		380	36.79			
Zetland	113	43.97		16	6.23		107	41.63		21	8.17		257	93.45		18	6.55		275	0.35		138	53.70		119	46.30			
Special Hospitals	123	54.91		4	1.79		91	40.63		6	2.68		224	95.32		11	4.68		235	0.30		127	56.70		97	43.30			
Total Ordinary	26531	45.32		6274	10.72		17046	29.12		8685	14.84		58536	95.55		2723	4.45		61259	78.89		38783	66.25		19753	33.75			
ABSENT	2948	38.29		906	11.77		2624	34.08		1222	15.87		7700	95.87		332	4.13		8032	10.34		4581	59.49		3119	40.51			
POSTAL	1012	45.50		172	7.73		817	36.74		223	10.03		2224	98.32		38	1.68		2262	2.91		1326	59.62		898	40.38			
PRE_POLL	2079	41.53		625	12.49		1675	33.46		627	12.52		5006	97.17		146	2.83		5152	6.63		3041	60.75		1965	39.25			
PROVISIONAL	392	43.90		116	12.99		218	24.41		167	18.70		893	94.40		53	5.60		946	1.22		632	70.77		261	29.23			
Division Summary	32962	44.33		8093	10.88		22380	30.10		10924	14.69		74359	95.76		3292	4.24		77651	90.14		48363	65.04		25996	34.96			
																													
																													
																													
																													
																													
