Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Mackellar (86505)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Collaroy Plateau		91	3.54		34	1.32		4	0.16		1	0.04		17	0.66		1	0.04		208	8.09		16	0.62		7	0.27		468	18.20		16	0.62		1	0.04		12	0.47		0	0.00		2	0.08		3	0.12		1533	59.63		9	0.35		1	0.04		129	5.02		0	0.00		1	0.04		15	0.58		2	0.08		2571	96.65		89	3.35		2660	3.25
Coster Street		29	2.83		33	3.22		3	0.29		0	0.00		9	0.88		0	0.00		98	9.55		5	0.49		4	0.39		195	19.01		4	0.39		0	0.00		9	0.88		0	0.00		1	0.10		1	0.10		585	57.02		4	0.39		0	0.00		34	3.31		2	0.19		1	0.10		9	0.88		0	0.00		1026	95.98		43	4.02		1069	1.31
Cromer		105	3.65		68	2.36		2	0.07		0	0.00		24	0.83		1	0.03		259	9.00		24	0.83		1	0.03		543	18.87		17	0.59		1	0.03		25	0.87		0	0.00		4	0.14		1	0.03		1631	56.67		16	0.56		3	0.10		130	4.52		0	0.00		1	0.03		21	0.73		1	0.03		2878	96.61		101	3.39		2979	3.64
Cromer East		35	3.70		11	1.16		0	0.00		0	0.00		17	1.80		1	0.11		71	7.51		6	0.63		1	0.11		207	21.90		4	0.42		0	0.00		10	1.06		0	0.00		2	0.21		2	0.21		523	55.34		2	0.21		2	0.21		44	4.66		0	0.00		0	0.00		7	0.74		0	0.00		945	94.31		57	5.69		1002	1.22
Dee Why (Mackellar)		84	2.98		56	1.99		15	0.53		1	0.04		72	2.56		2	0.07		239	8.48		29	1.03		4	0.14		789	28.00		10	0.35		1	0.04		18	0.64		1	0.04		4	0.14		4	0.14		1308	46.42		15	0.53		10	0.35		137	4.86		0	0.00		0	0.00		17	0.60		2	0.07		2818	95.01		148	4.99		2966	3.62
Dee Why Central (Mackellar)		15	2.73		5	0.91		5	0.91		2	0.36		12	2.18		6	1.09		36	6.55		1	0.18		2	0.36		161	29.27		6	1.09		0	0.00		4	0.73		0	0.00		0	0.00		0	0.00		247	44.91		2	0.36		3	0.55		37	6.73		0	0.00		1	0.18		5	0.91		0	0.00		550	94.99		29	5.01		579	0.71
Elanora		70	3.19		49	2.23		3	0.14		0	0.00		9	0.41		5	0.23		259	11.81		13	0.59		0	0.00		274	12.49		16	0.73		0	0.00		21	0.96		0	0.00		1	0.05		1	0.05		1274	58.09		9	0.41		4	0.18		162	7.39		0	0.00		0	0.00		20	0.91		3	0.14		2193	97.90		47	2.10		2240	2.74
Forest High		41	2.97		33	2.39		15	1.09		2	0.14		3	0.22		2	0.14		134	9.70		12	0.87		3	0.22		227	16.44		6	0.43		0	0.00		11	0.80		0	0.00		5	0.36		3	0.22		765	55.39		13	0.94		5	0.36		89	6.44		0	0.00		1	0.07		11	0.80		0	0.00		1381	97.46		36	2.54		1417	1.73
Frenchs Forest (Mackellar)		45	3.75		17	1.42		2	0.17		0	0.00		11	0.92		1	0.08		121	10.07		9	0.75		0	0.00		213	17.74		4	0.33		1	0.08		8	0.67		0	0.00		1	0.08		1	0.08		688	57.29		3	0.25		1	0.08		61	5.08		0	0.00		1	0.08		9	0.75		4	0.33		1201	98.36		20	1.64		1221	1.49
Kambora		17	1.97		17	1.97		0	0.00		1	0.12		3	0.35		0	0.00		62	7.20		5	0.58		1	0.12		119	13.82		7	0.81		0	0.00		1	0.12		0	0.00		1	0.12		0	0.00		573	66.55		6	0.70		2	0.23		39	4.53		0	0.00		0	0.00		6	0.70		1	0.12		861	97.18		25	2.82		886	1.08
Lagoon Street		56	4.23		25	1.89		0	0.00		1	0.08		15	1.13		1	0.08		123	9.29		11	0.83		2	0.15		257	19.41		8	0.60		1	0.08		8	0.60		1	0.08		2	0.15		3	0.23		708	53.47		6	0.45		5	0.38		76	5.74		0	0.00		1	0.08		13	0.98		1	0.08		1324	96.08		54	3.92		1378	1.68
Mimosa		53	2.13		63	2.53		2	0.08		1	0.04		18	0.72		1	0.04		216	8.68		22	0.88		5	0.20		372	14.95		16	0.64		1	0.04		9	0.36		0	0.00		1	0.04		6	0.24		1567	62.96		7	0.28		4	0.16		107	4.30		0	0.00		0	0.00		14	0.56		4	0.16		2489	98.22		45	1.78		2534	3.10
Mona Vale		162	3.83		71	1.68		8	0.19		0	0.00		53	1.25		3	0.07		346	8.17		36	0.85		6	0.14		689	16.27		19	0.45		4	0.09		29	0.68		1	0.02		2	0.05		5	0.12		2537	59.91		17	0.40		6	0.14		222	5.24		1	0.02		0	0.00		16	0.38		2	0.05		4235	96.27		164	3.73		4399	5.37
Mona Vale Beach		48	3.22		26	1.74		1	0.07		0	0.00		6	0.40		1	0.07		164	11.01		17	1.14		1	0.07		209	14.03		7	0.47		1	0.07		14	0.94		0	0.00		2	0.13		0	0.00		855	57.38		3	0.20		4	0.27		119	7.99		0	0.00		2	0.13		10	0.67		0	0.00		1490	97.32		41	2.68		1531	1.87
Mona Vale Hospital		36	5.04		11	1.54		1	0.14		1	0.14		3	0.42		4	0.56		83	11.62		5	0.70		2	0.28		186	26.05		6	0.84		0	0.00		5	0.70		0	0.00		0	0.00		1	0.14		339	47.48		1	0.14		2	0.28		25	3.50		0	0.00		0	0.00		3	0.42		0	0.00		714	97.54		18	2.46		732	0.89
Mona Vale North		33	2.44		25	1.85		0	0.00		0	0.00		7	0.52		3	0.22		148	10.94		15	1.11		2	0.15		172	12.71		8	0.59		1	0.07		9	0.67		1	0.07		2	0.15		3	0.22		829	61.27		3	0.22		4	0.30		77	5.69		0	0.00		0	0.00		10	0.74		1	0.07		1353	98.26		24	1.74		1377	1.68
Narrabeen		79	3.41		29	1.25		1	0.04		1	0.04		26	1.12		3	0.13		241	10.41		33	1.42		2	0.09		413	17.83		13	0.56		1	0.04		26	1.12		0	0.00		2	0.09		6	0.26		1222	52.76		11	0.47		2	0.09		178	7.69		2	0.09		1	0.04		23	0.99		1	0.04		2316	96.66		80	3.34		2396	2.93
Narrabeen North		114	4.38		72	2.77		0	0.00		0	0.00		17	0.65		2	0.08		260	10.00		31	1.19		5	0.19		559	21.49		18	0.69		1	0.04		26	1.00		2	0.08		0	0.00		2	0.08		1323	50.87		17	0.65		5	0.19		121	4.65		0	0.00		1	0.04		25	0.96		0	0.00		2601	96.37		98	3.63		2699	3.30
Narraweena		169	4.64		62	1.70		8	0.22		2	0.05		64	1.76		0	0.00		248	6.81		39	1.07		5	0.14		889	24.41		19	0.52		4	0.11		31	0.85		1	0.03		2	0.05		2	0.05		1885	51.76		26	0.71		5	0.14		147	4.04		2	0.05		0	0.00		32	0.88		0	0.00		3642	94.30		220	5.70		3862	4.72
Newport		76	3.45		23	1.04		0	0.00		1	0.05		7	0.32		2	0.09		185	8.39		31	1.41		1	0.05		331	15.01		6	0.27		0	0.00		11	0.50		0	0.00		1	0.05		7	0.32		1306	59.23		5	0.23		3	0.14		186	8.44		0	0.00		0	0.00		23	1.04		0	0.00		2205	97.22		63	2.78		2268	2.77
Newport Beach		35	1.76		14	0.70		1	0.05		1	0.05		15	0.75		2	0.10		195	9.80		22	1.11		0	0.00		326	16.38		11	0.55		1	0.05		19	0.95		0	0.00		2	0.10		5	0.25		1131	56.83		7	0.35		3	0.15		188	9.45		0	0.00		0	0.00		10	0.50		2	0.10		1990	97.88		43	2.12		2033	2.48
Palm Beach		24	2.36		15	1.48		1	0.10		1	0.10		8	0.79		0	0.00		81	7.98		7	0.69		2	0.20		156	15.37		7	0.69		1	0.10		11	1.08		0	0.00		1	0.10		0	0.00		583	57.44		3	0.30		3	0.30		105	10.34		0	0.00		1	0.10		4	0.39		1	0.10		1015	96.85		33	3.15		1048	1.28
RSL Retirement Village		40	5.94		7	1.04		1	0.15		0	0.00		4	0.59		0	0.00		28	4.16		2	0.30		2	0.30		133	19.76		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		436	64.78		2	0.30		2	0.30		11	1.63		0	0.00		0	0.00		4	0.59		0	0.00		673	94.26		41	5.74		714	0.87
Scotland Island		6	2.49		5	2.07		0	0.00		0	0.00		1	0.41		0	0.00		54	22.41		7	2.90		0	0.00		43	17.84		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		70	29.05		0	0.00		0	0.00		53	21.99		0	0.00		0	0.00		1	0.41		0	0.00		241	98.77		3	1.23		244	0.30
Sydney (Mackellar)		1	0.93		1	0.93		1	0.93		0	0.00		1	0.93		0	0.00		12	11.11		3	2.78		0	0.00		25	23.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.93		52	48.15		2	1.85		0	0.00		9	8.33		0	0.00		0	0.00		0	0.00		0	0.00		108	99.08		1	0.92		109	0.13
Terrey Hills		88	4.05		52	2.40		1	0.05		1	0.05		14	0.64		4	0.18		165	7.60		15	0.69		5	0.23		302	13.91		8	0.37		0	0.00		11	0.51		0	0.00		0	0.00		2	0.09		1363	62.78		6	0.28		2	0.09		118	5.44		0	0.00		1	0.05		13	0.60		0	0.00		2171	97.79		49	2.21		2220	2.71
Warriewood		75	4.57		33	2.01		0	0.00		0	0.00		14	0.85		0	0.00		142	8.65		23	1.40		0	0.00		333	20.29		9	0.55		0	0.00		8	0.49		0	0.00		2	0.12		4	0.24		870	53.02		9	0.55		2	0.12		109	6.64		0	0.00		0	0.00		8	0.49		0	0.00		1641	95.63		75	4.37		1716	2.10
Wheeler Heights		83	3.97		50	2.39		1	0.05		1	0.05		16	0.76		2	0.10		207	9.89		13	0.62		6	0.29		399	19.07		12	0.57		0	0.00		16	0.76		1	0.05		1	0.05		2	0.10		1162	55.54		6	0.29		2	0.10		98	4.68		0	0.00		1	0.05		12	0.57		1	0.05		2092	97.62		51	2.38		2143	2.62
Special Hospitals		14	3.60		2	0.51		0	0.00		0	0.00		3	0.77		2	0.51		14	3.60		0	0.00		0	0.00		97	24.94		0	0.00		0	0.00		2	0.51		0	0.00		0	0.00		1	0.26		245	62.98		0	0.00		1	0.26		5	1.29		0	0.00		0	0.00		3	0.77		0	0.00		389	96.77		13	3.23		402	0.49
Total Ordinary		2204	3.29		1194	1.78		101	0.15		27	0.04		586	0.87		74	0.11		6079	9.07		601	0.90		97	0.14		11978	17.86		352	0.52		25	0.04		444	0.66		10	0.01		47	0.07		89	0.13		38045	56.74		281	0.42		121	0.18		4188	6.25		9	0.01		16	0.02		453	0.68		32	0.05		67053	96.81		2207	3.19		69260	84.61
ABSENT		195	3.48		84	1.50		12	0.21		4	0.07		66	1.18		8	0.14		467	8.33		89	1.59		6	0.11		959	17.10		51	0.91		2	0.04		50	0.89		4	0.07		6	0.11		19	0.34		2930	52.24		35	0.62		11	0.20		538	9.59		1	0.02		5	0.09		64	1.14		3	0.05		5609	98.40		91	1.60		5700	6.96
POSTAL		91	4.42		45	2.19		1	0.05		2	0.10		18	0.87		4	0.19		140	6.80		3	0.15		2	0.10		320	15.54		7	0.34		0	0.00		9	0.44		0	0.00		0	0.00		2	0.10		1302	63.23		11	0.53		3	0.15		71	3.45		1	0.05		1	0.05		25	1.21		1	0.05		2059	99.52		10	0.48		2069	2.53
PRE_POLL		172	4.01		64	1.49		9	0.21		3	0.07		34	0.79		10	0.23		384	8.96		29	0.68		6	0.14		721	16.82		26	0.61		1	0.02		30	0.70		0	0.00		3	0.07		6	0.14		2497	58.26		18	0.42		10	0.23		225	5.25		1	0.02		0	0.00		35	0.82		2	0.05		4286	99.10		39	0.90		4325	5.28
PROVISIONAL		13	2.59		8	1.60		2	0.40		0	0.00		10	2.00		0	0.00		45	8.98		6	1.20		2	0.40		91	18.16		1	0.20		0	0.00		9	1.80		0	0.00		0	0.00		3	0.60		257	51.30		7	1.40		0	0.00		41	8.18		0	0.00		0	0.00		6	1.20		0	0.00		501	99.21		4	0.79		505	0.62
Division Summary		2675	3.36		1395	1.75		125	0.16		36	0.05		714	0.9		96	0.12		7115	8.95		728	0.92		113	0.14		14069	17.7		437	0.55		28	0.04		542	0.68		14	0.02		56	0.07		119	0.15		45031	56.64		352	0.44		145	0.18		5063	6.37		12	0.02		22	0.03		583	0.73		38	0.05		79508	97.13		2351	2.87		81859	94.63
