House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences																									
By Polling Place																									
																									
Warringah																									
				LAM			MACDONALD			HERAGHTY			ABBOTT			BURRIDGE			FERGUSON			KELLY			
	FIRST			74	3.59		790	38.28		224	10.85		903	43.75		41	1.99		1	0.05		31	1.50		2064
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		74	3.59		790	38.28		224	10.85		903	43.75		42	2.03					31	1.50		2064
	THIRD			0	0.00		14	45.16		4	12.90		12	38.71		1	3.23						Excluded		31
		TOTAL		74	3.59		804	38.95		228	11.05		915	44.33		43	2.08								2064
	FOURTH			19	44.19		13	30.23		3	6.98		8	18.60			Excluded								43
		TOTAL		93	4.51		817	39.58		231	11.19		923	44.72											2064
	FIFTH				Excluded		68	73.12		16	17.20		9	9.68											93
		TOTAL					885	42.88		247	11.97		932	45.16											2064
	SIXTH						219	88.66			Excluded		28	11.34											247
		TOTAL					1104	53.49					960	46.51											2064
													Elected												
																									
Middle Harbour (Warringah)                                     																									
	FIRST			45	2.82		385	24.15		144	9.03		966	60.60		38	2.38		2	0.13		14	0.88		1594
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2
		TOTAL		46	2.89		385	24.15		144	9.03		967	60.66		38	2.38					14	0.88		1594
	THIRD			2	14.29		2	14.29		1	7.14		6	42.86		3	21.43						Excluded		14
		TOTAL		48	3.01		387	24.28		145	9.10		973	61.04		41	2.57								1594
	FOURTH			10	24.39		17	41.46		3	7.32		11	26.83			Excluded								41
		TOTAL		58	3.64		404	25.35		148	9.28		984	61.73											1594
	FIFTH				Excluded		39	67.24		12	20.69		7	12.07											58
		TOTAL					443	27.79		160	10.04		991	62.17											1594
	SIXTH						132	82.50			Excluded		28	17.50											160
		TOTAL					575	36.07					1019	63.93											1594
													Elected												
																									
Mosman                                                         																									
	FIRST			138	3.15		1100	25.12		394	9.00		2560	58.46		144	3.29		6	0.14		37	0.84		4379
	SECOND			2	33.33		0	0.00		1	16.67		2	33.33		0	0.00			Excluded		1	16.67		6
		TOTAL		140	3.20		1100	25.12		395	9.02		2562	58.51		144	3.29					38	0.87		4379
	THIRD			2	5.26		10	26.32		7	18.42		15	39.47		4	10.53						Excluded		38
		TOTAL		142	3.24		1110	25.35		402	9.18		2577	58.85		148	3.38								4379
	FOURTH			31	20.95		68	45.95		18	12.16		31	20.95			Excluded								148
		TOTAL		173	3.95		1178	26.90		420	9.59		2608	59.56											4379
	FIFTH				Excluded		110	63.58		32	18.50		31	17.92											173
		TOTAL					1288	29.41		452	10.32		2639	60.26											4379
	SIXTH						402	88.94			Excluded		50	11.06											452
		TOTAL					1690	38.59					2689	61.41											4379
													Elected												
																									
Mosman Bay                                                     																									
	FIRST			72	2.91		777	31.36		156	6.30		1404	56.66		46	1.86		5	0.20		18	0.73		2478
	SECOND			1	20.00		2	40.00		0	0.00		1	20.00		0	0.00			Excluded		1	20.00		5
		TOTAL		73	2.95		779	31.44		156	6.30		1405	56.70		46	1.86					19	0.77		2478
	THIRD			0	0.00		6	31.58		1	5.26		11	57.89		1	5.26						Excluded		19
		TOTAL		73	2.95		785	31.68		157	6.34		1416	57.14		47	1.90								2478
	FOURTH			10	21.28		23	48.94		3	6.38		11	23.40			Excluded								47
		TOTAL		83	3.35		808	32.61		160	6.46		1427	57.59											2478
	FIFTH				Excluded		65	78.31		10	12.05		8	9.64											83
		TOTAL					873	35.23		170	6.86		1435	57.91											2478
	SIXTH						150	88.24			Excluded		20	11.76											170
		TOTAL					1023	41.28					1455	58.72											2478
													Elected												
																									
Mosman West                                                    																									
	FIRST			7	1.05		201	30.09		64	9.58		368	55.09		15	2.25		3	0.45		10	1.50		668
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3
		TOTAL		8	1.20		201	30.09		64	9.58		368	55.09		16	2.40					11	1.65		668
	THIRD			1	9.09		3	27.27		1	9.09		4	36.36		2	18.18						Excluded		11
		TOTAL		9	1.35		204	30.54		65	9.73		372	55.69		18	2.69								668
	FOURTH			4	22.22		8	44.44		2	11.11		4	22.22			Excluded								18
		TOTAL		13	1.95		212	31.74		67	10.03		376	56.29											668
	FIFTH				Excluded		7	53.85		2	15.38		4	30.77											13
		TOTAL					219	32.78		69	10.33		380	56.89											668
	SIXTH						59	85.51			Excluded		10	14.49											69
		TOTAL					278	41.62					390	58.38											668
													Elected												
																									
North Balgowlah                                                																									
	FIRST			54	2.57		838	39.85		179	8.51		952	45.27		42	2.00		3	0.14		35	1.66		2103
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		1	33.33			Excluded		0	0.00		3
		TOTAL		54	2.57		838	39.85		179	8.51		954	45.36		43	2.04					35	1.66		2103
	THIRD			4	11.43		13	37.14		3	8.57		13	37.14		2	5.71						Excluded		35
		TOTAL		58	2.76		851	40.47		182	8.65		967	45.98		45	2.14								2103
	FOURTH			14	31.11		16	35.56		7	15.56		8	17.78			Excluded								45
		TOTAL		72	3.42		867	41.23		189	8.99		975	46.36											2103
	FIFTH				Excluded		42	58.33		16	22.22		14	19.44											72
		TOTAL					909	43.22		205	9.75		989	47.03											2103
	SIXTH						179	87.32			Excluded		26	12.68											205
		TOTAL					1088	51.74					1015	48.26											2103
													Elected												
																									
North Manly                                                    																									
	FIRST			25	2.54		282	28.66		148	15.04		485	49.29		13	1.32		5	0.51		26	2.64		984
	SECOND			0	0.00		2	40.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		5
		TOTAL		25	2.54		284	28.86		148	15.04		486	49.39		13	1.32					28	2.85		984
	THIRD			2	7.14		10	35.71		2	7.14		12	42.86		2	7.14						Excluded		28
		TOTAL		27	2.74		294	29.88		150	15.24		498	50.61		15	1.52								984
	FOURTH			6	40.00		5	33.33		1	6.67		3	20.00			Excluded								15
		TOTAL		33	3.35		299	30.39		151	15.35		501	50.91											984
	FIFTH				Excluded		21	63.64		7	21.21		5	15.15											33
		TOTAL					320	32.52		158	16.06		506	51.42											984
	SIXTH						140	88.61			Excluded		18	11.39											158
		TOTAL					460	46.75					524	53.25											984
													Elected												
																									
Queenscliff                                                    																									
	FIRST			89	5.01		669	37.65		157	8.84		786	44.23		48	2.70		7	0.39		21	1.18		1777
	SECOND			2	28.57		3	42.86		1	14.29		1	14.29		0	0.00			Excluded		0	0.00		7
		TOTAL		91	5.12		672	37.82		158	8.89		787	44.29		48	2.70					21	1.18		1777
	THIRD			2	9.52		5	23.81		3	14.29		10	47.62		1	4.76						Excluded		21
		TOTAL		93	5.23		677	38.10		161	9.06		797	44.85		49	2.76								1777
